address_1,senior_care_community_number_1,residence_hall_dormitory,state_province,worship_facility_gross_floor,supermarket_grocery_gross,census_tract,senior_care_community_number_2,energy_alerts,data_center_pdu_input_site,hotel_amount_of_laundry,estimated_data_flag_other,estimated_data_flag_natural,hospital_general_medical_5,senior_care_community_number_3,national_median_site_eui,refrigerated_warehouse_gross,site_energy_use_kbtu,weather_normalized_source,multifamily_housing_number_3,multifamily_housing_gross,supermarket_grocery_worker,supermarket_grocery_number_1,residence_hall_dormitory_4,hospital_general_medical,electricity_sourced_from,estimated_data_flag_diesel,bank_branch_worker_density,retail_store_gross_floor,multifamily_housing_maximum,k_12_school_cooking_facilities,multifamily_housing_number_4,medical_office_number_of,supermarket_grocery_percent,outdoor_water_use_all_water,hotel_gym_fitness_center,hotel_full_service_spa_floor,medical_office_percent_that,retail_store_number_of_walk,estimated_data_flag_fuel_1,supermarket_grocery_walk,supermarket_grocery_weekly,source_energy_use_kbtu,multifamily_housing_primary,bank_branch_weekly_operating,retail_store_exterior_entrance,data_center_national_median,k_12_school_refrigeration,percent_better_than_national,bank_branch_number_of_workers
201 West 72nd Street,Not Available,Not Available,New York,Not Available,Not Available,159.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,23941435.3,177.9,220,246461,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,22,Not Available,377,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43027108,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
300 Madison Avenue,Not Available,Not Available,New York,Not Available,Not Available,82.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,155.8,Not Available,127048278.2,344.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,368598671.5,Not Available,Not Available,1,1.82,Not Available,-23.9,Not Available
1177 Avenue of the Americas,Not Available,Not Available,New York,Not Available,Not Available,119.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95.9,Not Available,88671797.8,268.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,260114532.8,Not Available,Not Available,Not Available,1.82,Not Available,-5.8,Not Available
641 Lexington Avenue,Not Available,Not Available,New York,Not Available,Not Available,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,134.8,Not Available,56779834.6,276.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,115990500.2,Not Available,Not Available,Not Available,Not Available,Not Available,-2,Not Available
137 Varick St,Not Available,Not Available,New York,Not Available,Not Available,37.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,88.3,Not Available,4361485.9,143.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12540869.3,Not Available,Not Available,Not Available,Not Available,Not Available,-42.4,Not Available
1919 Williamsbridge Road,Not Available,Not Available,New York,Not Available,Not Available,250.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5245757.7,146.7,60,55000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,218,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7652217.2,Fuel Oil (No. 2),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
891 Park Avenue,Not Available,Not Available,New York,Not Available,Not Available,140.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,1857565.8,114.6,15,27040,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16,Not Available,26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3140974.2,Fuel Oil (No. 2),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
159-10 71ST AVE,Not Available,Not Available,New York,Not Available,Not Available,122701.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,16823236.1,178.8,137,209525,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8,Not Available,206,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36658981,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1647-55 Macombs Road,Not Available,Not Available,New York,Not Available,Not Available,21502.0,Not Available,Data > 120 days old<br>Temporary values used for meter entries<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4753302.3,125.1,48,64630,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,98,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7879798.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
24-01 44th Road,Not Available,Not Available,New York,Not Available,Not Available,19.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,118.9,Not Available,23570146.8,239.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65923477.8,Not Available,Not Available,Not Available,1.82,Not Available,-28,Not Available
18 E 41st,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,110,Not Available,8592906,164.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19200429.5,Not Available,Not Available,Not Available,Not Available,Not Available,-29.8,Not Available
560 Lexington Avenue,Not Available,Not Available,New York,Not Available,Not Available,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,93.7,Not Available,21772075.6,200.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,66661216.4,Not Available,Not Available,Not Available,Not Available,Not Available,-29.4,Not Available
1600 Sedgwick Ave.,Not Available,Not Available,New York,Not Available,Not Available,20501.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,42644349.5,176,383,348363,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25,Not Available,719,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,62136441.3,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
25 East 83rd Street,Not Available,Not Available,New York,Not Available,Not Available,142.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4846638.1,120.8,88,93252,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12,Not Available,154,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11557107.1,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
9216 7th Avenue,Not Available,Not Available,New York,Not Available,Not Available,152.0,Not Available,Less than 1 year of data<br>Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,57,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available
900 Third Ave,Not Available,Not Available,New York,Not Available,Not Available,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,91.9,Not Available,34829166.7,176.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,104794556.3,Not Available,Not Available,1,Not Available,Not Available,-36,Not Available
148 WEST 37TH STREET,Not Available,Not Available,New York,Not Available,Not Available,109.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,119.2,Not Available,6682314.5,122,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6216,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,12999562.4,Not Available,Not Available,1,Not Available,Not Available,-45.3,Not Available
56-45 Main Street,Not Available,Not Available,New York,Not Available,Not Available,799.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,439,Not Available,309.2,Not Available,178726333.6,607.2,Not Available,Not Available,Not Available,Not Available,Not Available,590371,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,351056408.4,Not Available,Not Available,Not Available,Not Available,Not Available,-2.1,Not Available
8635 21 AVE PLPM,Not Available,Not Available,New York,Not Available,Not Available,290.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7616097.5,111.3,120,109630,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,268,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11764326.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1160 5th Avenue,Not Available,Not Available,New York,Not Available,Not Available,16002.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7740426.3,130.9,72,90849,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,174,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13191352.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
110 Meisner Ave,2,Not Available,New York,Not Available,Not Available,279.0,10,Not Available,Not Available,Not Available,Not Available,No,Not Available,4,110.8,Not Available,4424927.1,168.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8768202,Not Available,Not Available,Not Available,Not Available,Not Available,-25.8,Not Available
One Wall Street,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Less than 1 year of data<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,67,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.03,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68,Not Available,Not Available,Not Available,Not Available,2220
3 UN Plaza,Not Available,Not Available,New York,Not Available,Not Available,88.0,Not Available,Less than 1 year of data<br>Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1956 Crotona Parkway,Not Available,Not Available,New York,Not Available,Not Available,359.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6969398.3,134,35,76268,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,Not Available,51,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,10218663.8,Fuel Oil (No. 2),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
599 Lexington,Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,92.7,Not Available,80337305.4,253.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,12501,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,Not Available,Not Available,268305078.7,Not Available,168,1,1.82,Not Available,-16.8,0
4 Times Square,Not Available,Not Available,New York,Not Available,Not Available,119.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,156.7,Not Available,195188375,282.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,62864,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Not Available,Not Available,Not Available,451489545.7,Not Available,Not Available,1,1.82,Not Available,-22.2,Not Available
930 Saint Nicholas Avenue,Not Available,Not Available,New York,Not Available,Not Available,239.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4832880.3,126.2,57,52550,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,135,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6723952.2,Fuel Oil (No. 2),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
399 Park Avenue,Not Available,Not Available,New York,Not Available,Not Available,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,113.8,Not Available,159834276.9,273.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.06,10210,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25,Not Available,Not Available,Not Available,455835274.4,Not Available,50,1,1.82,Not Available,-17.9,36
838 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,122.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7200073.8,286.7,10,62857,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13,Not Available,36,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18012215,District Steam,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
866 UN Plaza,Not Available,Not Available,New York,Not Available,Not Available,8603.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,141,Not Available,38132945.5,213.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.82,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81876394,Not Available,60,Not Available,Not Available,Not Available,-28.1,10
640 Fifth Avenue,Not Available,Not Available,New York,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,114.7,Not Available,31025200.5,263.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39001,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,94941350.6,Not Available,Not Available,1,1.82,Not Available,-24.2,Not Available
71-61 159th Street,2,Not Available,New York,Not Available,Not Available,122701.0,39,Not Available,Not Available,Not Available,Not Available,No,Not Available,0,115.3,Not Available,24024639,220.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,37092161.8,Not Available,Not Available,Not Available,Not Available,Not Available,25.6,Not Available
327 Central Park West,Not Available,Not Available,New York,Not Available,Not Available,177.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,7616937.3,126.9,85,97972,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16,Not Available,154,31,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,13232491.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
520 East 72nd Street,Not Available,Not Available,New York,Not Available,Not Available,124.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,2,Not Available,Not Available,Not Available,22254026.7,199.4,244,167396,Not Available,Not Available,Not Available,5000,Not Available,Not Available,Not Available,Not Available,18,Not Available,272,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33856861.6,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"3940,3960 Broadway",Not Available,Not Available,New York,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,68,Not Available,35196099.9,956.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,68939577.7,Not Available,Not Available,Not Available,Not Available,Not Available,642.5,Not Available
153 East 57th Street,Not Available,Not Available,New York,Not Available,Not Available,11203.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,11304391.9,155.2,188,129049,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6800,20,Not Available,81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,21573981.9,Not Available,Not Available,1,Not Available,Not Available,Not Available,Not Available
251 West 39th Street,Not Available,Not Available,New York,Not Available,Not Available,113.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,70,Not Available,3135424.9,85.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,9655315.8,Not Available,Not Available,1,Not Available,Not Available,-59.6,Not Available
394 ARGYLE RD HCM,Not Available,Not Available,New York,Not Available,Not Available,526.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,10916217.6,102.1,138,176670,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,272,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16704453.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
603 West 148th Street,Not Available,Not Available,New York,10411,Not Available,233.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2017951.8,80.2,49,55454,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11,Not Available,97,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5334527.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
110 Post Avenue,Not Available,Not Available,New York,Not Available,Not Available,293.0,Not Available,Less than 1 year of data<br>Data > 120 days old<br>Temporary values used for meter entries<br>> 65 days in electrical meter entry<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,10057078.4,123.7,72,106215,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,91,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13136623.3,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
200 Riverside Boulevard,Not Available,Not Available,New York,Not Available,Not Available,155.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,55606299.1,134.4,377,740377,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,46,Not Available,715,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,97416406.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2754 Hylan Blvd,Not Available,Not Available,New York,Not Available,79804,12806.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,246.2,Not Available,13089362.4,448.6,Not Available,Not Available,0.75,38,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.19,168,35807595.7,Not Available,Not Available,Not Available,Not Available,Not Available,-33.4,Not Available
