property_name,city,swimming_pool_location_of,retail_store_number_of_open,retail_store_worker_density,senior_care_community_gross,target_site_eui_kbtu_ft,hotel_number_of_rooms,k_12_school_weekend_operation,hospital_general_medical_3,energy_star_certification_4,electricity_use_grid_purchase_1,swimming_pool_months_in_use,multifamily_housing_number_1,energy_current_date,natural_gas_use_kbtu,supermarket_grocery_cooking,data_center_it_site_energy,fuel_oil_4_use_kbtu,district_hot_water_use_kbtu,space_alerts,office_gross_floor_area_ft,avoided_emissions_offsite,estimated_data_flag_district_2,refrigerated_warehouse_weekly,swimming_pool_approximate,energy_star_certification_2,fuel_oil_2_use_kbtu,custom_property_id_1_id,multifamily_housing_percent,hospital_general_medical_4,bank_branch_percent_that,office_computer_density_number,hotel_room_density_number,hotel_worker_density_number,office_percent_that_can_be,longitude,multifamily_housing_number_2,property_floor_area_buildings,county,year_built,natural_gas_use_therms,senior_care_community_maximum,data_center_gross_floor_area,non_refrigerated_warehouse,district_steam_use_kbtu,supermarket_grocery_number,nta,estimated_data_flag,worship_facility_computer,residence_hall_dormitory_3,multifamily_housing_number,release_date,multifamily_housing_government,worship_facility_cooking,bbl,borough,energy_star_certification,non_refrigerated_warehouse_5,non_refrigerated_warehouse_4,total_ghg_emissions_mtco2e
51 Madison,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,29-NOV-12,23529056.8,Not Available,Not Available,31-JAN-13,2987719.35,Not Available,0,Not Available,Not Available,Not Available,1350101,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (20-MAR-13),Not Available,1016880,Not Available,Not Available,100,4.8,Not Available,Not Available,100,-73.986402,Not Available,1524197,NEW YORK,1928,29877.2,Not Available,8700,Not Available,67479327.9,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,No,Not Available,Not Available,Not Available,2013-05-31T10:34:46.000,Not Available,Not Available,1008560024.0,MANHATTAN,Reviewed and Approved,Not Available,Not Available,13023.84
"Concourse One CompanyM, LLC",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,26908.1,Not Available,Not Available,31-DEC-12,503319.35,Not Available,Not Available,Not Available,Not Available,Less than One Full Year of Space Attribute Data,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2007406,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.909313,Not Available,0,BRONX,1921,5033.2,Not Available,Not Available,Not Available,Not Available,Not Available,Mount Hope,No,Not Available,Not Available,Not Available,2013-05-30T05:49:08.000,Not Available,Not Available,2027950007.0,BRONX,Not Available,Not Available,Not Available,35.4
Lincoln Center Performing Arts,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,25962770.6,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1081023;1081022;1028831;1028832,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.982421,Not Available,467300,NEW YORK,1960,Not Available,Not Available,Not Available,Not Available,1.18746E+11,Not Available,Lincoln Square,No,Not Available,Not Available,Not Available,2013-05-27T05:17:54.000,Not Available,Not Available,1011340001.0,MANHATTAN,Not Available,Not Available,Not Available,9383283.01
30 East 37th Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,572651.6,Not Available,10,31-JAN-13,143341.35,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,4792826.67,1017185,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.981211,10,92697,NEW YORK,1952,1433.4,Not Available,Not Available,Not Available,Not Available,Not Available,Murray Hill-Kips Bay,No,Not Available,Not Available,104,2013-05-31T12:02:12.000,0,Not Available,1008667502.0,MANHATTAN,Not Available,Not Available,Not Available,543.67
MMS407 - 570 Riverside Dr,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,510308,Not Available,Not Available,31-DEC-12,1203356.67,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,BIN: 1059948,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.95831,Not Available,86453,NEW YORK,1925,12033.6,Not Available,Not Available,Not Available,Not Available,Not Available,Manhattanville,No,Not Available,Not Available,Not Available,2013-05-13T10:02:13.000,Not Available,Not Available,,MANHATTAN,Not Available,Not Available,Not Available,227.49
Roosevelt Hospital,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,15,Not Available,28390141.9,Not Available,Not Available,31-DEC-12,927900,Not Available,Not Available,Not Available,Not Available,Using default values for Space Use attributes.<br>Using temporary values for Space Use attributes.<br>,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1082718;1813279;1085140,Not Available,2240,Not Available,Not Available,Not Available,Not Available,Not Available,-73.987689,Not Available,861357,NEW YORK,1963,9279,Not Available,Not Available,Not Available,95181226.38,Not Available,Lincoln Square,No,Not Available,Not Available,Not Available,2013-04-23T12:35:02.000,Not Available,Not Available,1010680001.0,MANHATTAN,Not Available,Not Available,Not Available,16658.54
Rose Building,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,7654400,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1077844,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.984547,Not Available,115200,NEW YORK,1980,Not Available,Not Available,Not Available,Not Available,16795711440,Not Available,Lincoln Square,No,Not Available,1,Not Available,2013-05-27T05:17:54.000,Not Available,Not Available,1011370061.0,MANHATTAN,Not Available,Not Available,Not Available,1328473.46
322 West 57th Street Condominium,New York,Not Available,4,1.01,Not Available,0,Not Available,Not Available,Not Available,Not Available,2647347.1,Not Available,204,31-DEC-12,564286.76,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",27260,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1025450,90,Not Available,Not Available,5.14,Not Available,Not Available,100,-73.983755,269,821576,NEW YORK,1978,5642.9,Not Available,Not Available,Not Available,Not Available,Not Available,Clinton,No,Not Available,Not Available,582,2013-05-28T11:03:44.000,0,Not Available,1010477503.0,MANHATTAN,Not Available,Not Available,Not Available,4519.44
CBRE-1166 Avenue of the Americas,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,23921441,Not Available,Not Available,31-DEC-12,Not Available,Not Available,0,Not Available,Not Available,Not Available,1779804,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1071414,Not Available,Not Available,Not Available,2.8,Not Available,Not Available,100,-73.982526,Not Available,1797825,NEW YORK,1974,Not Available,Not Available,10051,Not Available,118891972.3,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-28T04:46:56.000,Not Available,Not Available,1012617501.0,MANHATTAN,Not Available,Not Available,Not Available,17049.61
"151 West, LLC",New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,247858.6,Not Available,4,31-DEC-12,4024854.55,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1062451,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.948374,0,62604,NEW YORK,1914,40248.5,Not Available,Not Available,Not Available,Not Available,Not Available,Hamilton Heights,No,Not Available,Not Available,0,2013-06-17T07:12:30.000,0,Not Available,1020970040.0,MANHATTAN,Not Available,Not Available,Not Available,293.52
165 East 60th Street Inc.,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,126503.8,Not Available,4,31-DEC-12,270953.13,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,1590918.73,1041927,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.967021,40,29369,NEW YORK,1930,2709.5,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,No,Not Available,Not Available,15,2013-05-31T12:02:12.000,0,Not Available,1013950029.0,MANHATTAN,Not Available,Not Available,Not Available,171.98
8 West 40th Street,New York,Not Available,7,2.86,Not Available,93.6,Not Available,Not Available,Not Available,Not Available,1872422.3,Not Available,Not Available,28-FEB-13,771948.39,Not Available,Not Available,1985423.85,Not Available,Not Available,113657,607.42,Not Available,Not Available,Not Available,No Status Available,Not Available,1016048,Not Available,Not Available,Not Available,3.98,Not Available,Not Available,100,-73.982289,Not Available,121758,NEW YORK,1913,7719.5,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-04-27T06:48:26.000,Not Available,Not Available,1008410054.0,MANHATTAN,Not Available,Not Available,Not Available,1025.9
"2020 Grand Realty, L.L.C.",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,276121,Not Available,0,31-DEC-12,4290800,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,0,2008630,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.853325,33,50400,BRONX,1925,42908,Not Available,Not Available,Not Available,Not Available,Not Available,Pelham Parkway,No,Not Available,Not Available,0,2013-06-17T07:12:30.000,0,Not Available,2042730029.0,BRONX,Not Available,Not Available,Not Available,316.72
"Deegan Two Company, LLC",Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,291807,Not Available,0,31-DEC-12,3655154.84,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2086829,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.913829,0,70400,BRONX,1932,36551.5,Not Available,Not Available,Not Available,Not Available,Not Available,University Heights-Morris Heights,No,Not Available,Not Available,0,2013-05-30T05:49:08.000,0,Not Available,2032330090.0,BRONX,Not Available,Not Available,Not Available,287.93
Nippon Club Tower,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31-DEC-11,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,76328,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.32,Not Available,Not Available,100,-73.978708,Not Available,76328,NEW YORK,1991,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-05-31T10:34:46.000,Not Available,Not Available,1010107503.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
55 Broad Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,8067322,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,400143,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1000821,Not Available,Not Available,Not Available,4.66,Not Available,Not Available,100,-74.011505,Not Available,410295,NEW YORK,1967,Not Available,Not Available,Not Available,Not Available,13017450.19,Not Available,Battery Park City-Lower Manhattan,No,Not Available,Not Available,Not Available,2013-05-30T09:10:55.000,Not Available,Not Available,1000250001.0,MANHATTAN,Not Available,Not Available,Not Available,3612.05
2 Sutton Place South,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,299536.5,Not Available,0,31-JAN-13,8947009.31,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Using temporary values for Space Use attributes.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1040470,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.960753,15,217275,NEW YORK,1938,89470.1,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,127,2013-05-31T12:02:12.000,0,Not Available,1013680025.0,MANHATTAN,Not Available,Not Available,Not Available,571.94
17 W 60,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,95041.4,Not Available,Not Available,31-DEC-12,3027.94,Not Available,Not Available,Not Available,Not Available,Not Available,74250,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,100,-73.982765,Not Available,74250,NEW YORK,1921,30.3,Not Available,Not Available,Not Available,Not Available,Not Available,Lincoln Square,No,Not Available,Not Available,Not Available,2013-05-07T12:32:55.000,Not Available,Not Available,1011130013.0,MANHATTAN,Not Available,Not Available,Not Available,196.13
Fifth at 42nd LLC,New York,Not Available,0,1,Not Available,0,Not Available,Not Available,Not Available,Not Available,5792008.4,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,"Using default values for Space Use attributes.<br>Weekly operating hours is much lower than normal for Basement, Base Bldg.<br> Weekly operating hours is much lower than normal for 1st Base Bldg.<br>",256200,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.96,Not Available,Not Available,100,-73.980744,Not Available,281627,NEW YORK,2006,Not Available,Not Available,Not Available,Not Available,5519147.53,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-04-03T12:00:03.000,Not Available,Not Available,1012770002.0,MANHATTAN,Not Available,Not Available,Not Available,2291.17
0559 Hicksville,Hicksville,Not Available,Not Available,Not Available,Not Available,189.3,Not Available,Not Available,Not Available,Not Available,2832443.2,Not Available,Not Available,31-JAN-13,2909573.08,1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,54689,NASSAU,Not Available,29095.7,Not Available,Not Available,Not Available,Not Available,10,,No,Not Available,Not Available,Not Available,2013-05-15T06:33:10.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,1985
New York Mercantile Exchange,New York,Not Available,Not Available,Not Available,Not Available,148.6,Not Available,Not Available,Not Available,Not Available,16314333.9,Not Available,Not Available,31-DEC-12,886487.1,Not Available,0,Not Available,Not Available,Not Available,545769,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1085502,Not Available,Not Available,100,9.89,Not Available,Not Available,100,,Not Available,622439,NEW YORK,1997,8864.9,Not Available,28800,Not Available,35735272.6,Not Available,,No,Not Available,Not Available,Not Available,2013-04-19T07:25:55.000,Not Available,Not Available,,,Not Available,Not Available,Not Available,8094.66
9419,Middle Village,Not Available,5,0.3,Not Available,46.7,Not Available,Not Available,Not Available,Not Available,2139839,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,4443103,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.892028,Not Available,139755,QUEENS,1999,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ridgewood,No,Not Available,Not Available,Not Available,2013-04-29T06:52:17.000,Not Available,Not Available,4036050001.0,QUEENS,Not Available,Not Available,Not Available,685.48
127 West 79th Street - Clifton House Owners Corp,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,738872.8,Not Available,0,31-DEC-12,225909.38,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,5890497.59,1031759,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.976432,70,132158,NEW YORK,1926,2259.1,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,No,Not Available,Not Available,70,2013-05-31T12:02:12.000,0,Not Available,1012100019.0,MANHATTAN,Not Available,Not Available,Not Available,682.06
110 Wall Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,3454836.4,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,292627,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1000872,Not Available,Not Available,Not Available,2.39,Not Available,Not Available,100,-74.006694,Not Available,292627,NEW YORK,1965,Not Available,Not Available,Not Available,Not Available,16260238.65,Not Available,Battery Park City-Lower Manhattan,No,Not Available,Not Available,Not Available,2013-05-30T09:10:55.000,Not Available,Not Available,1000370008.0,MANHATTAN,Not Available,Not Available,Not Available,2390.48
257 West 86th Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,360116.5,Not Available,6,31-DEC-12,249227.57,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,3121143.36,1033196,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.977065,24,68821,NEW YORK,1907,2492.3,Not Available,Not Available,Not Available,Not Available,Not Available,Upper West Side,No,Not Available,Not Available,18,2013-05-31T12:02:12.000,0,Not Available,1012340007.0,MANHATTAN,Not Available,Not Available,Not Available,358.23
195 Bowery,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,442752.7,Not Available,0,31-DEC-12,2308934.7,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1079085,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.993744,28,42978,NEW YORK,1900,23089.3,Not Available,Not Available,Not Available,Not Available,Not Available,Chinatown,No,Not Available,Not Available,16,2013-05-31T12:02:12.000,0,Not Available,1004257501.0,MANHATTAN,Not Available,Not Available,Not Available,264.67
Zuckerman,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,49006533.3,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1087313; 1045575,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.957301,Not Available,735888,NEW YORK,2006,Not Available,Not Available,Not Available,Not Available,158925560.9,Not Available,Lenox Hill-Roosevelt Island,No,Not Available,Not Available,Not Available,2013-04-29T09:25:24.000,Not Available,Not Available,,MANHATTAN,Not Available,Not Available,Not Available,28246.13
345 East 81st Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,1252119.4,Not Available,23,31-DEC-12,665522.3,1,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1049854,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.952952,0,215606,NEW YORK,1968,6655.2,Not Available,Not Available,Not Available,Not Available,Not Available,Yorkville,No,Not Available,Not Available,200,2013-05-31T12:02:12.000,0,Not Available,1015440019.0,MANHATTAN,Not Available,Not Available,Not Available,1267.53
Pratt Store,Bklyn,Not Available,0,0.33,Not Available,0,Not Available,Not Available,Not Available,Not Available,146400,Not Available,Not Available,31-DEC-12,265900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3853174,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.962666,Not Available,15000,KINGS,2005,2659,Not Available,Not Available,Not Available,Not Available,Not Available,Clinton Hill,No,Not Available,Not Available,Not Available,2013-05-13T06:28:15.000,Not Available,Not Available,3019050120.0,BROOKLYN,Not Available,Not Available,Not Available,61.04
"COD, LLC",New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,480828.2,Not Available,4,31-DEC-12,2837108.82,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1047510,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.957995,22,57666,NEW YORK,1922,28371.1,Not Available,Not Available,Not Available,Not Available,Not Available,Upper East Side-Carnegie Hill,No,Not Available,Not Available,30,2013-06-17T07:12:30.000,0,Not Available,1015090020.0,MANHATTAN,Not Available,Not Available,Not Available,304.96
1307-11-15 Merriam Realty L.L.C.,Bronx,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,326768,Not Available,0,31-DEC-12,176400,Not Available,Not Available,5603360.16,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,2007979,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.853325,37,77000,BRONX,1925,1764,Not Available,Not Available,Not Available,Not Available,Not Available,Pelham Parkway,No,Not Available,Not Available,0,2013-04-17T08:09:14.000,0,Not Available,2042730029.0,BRONX,Not Available,Not Available,Not Available,526.29
150 WILLIAM STREET L.P.,NEW YORK,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,6771797.7,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,587831,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,BIN# 1001280,Not Available,Not Available,Not Available,4.5,Not Available,Not Available,100,-74.005905,Not Available,587831,NEW YORK,1968,Not Available,Not Available,Not Available,Not Available,31263126.64,Not Available,Battery Park City-Lower Manhattan,No,Not Available,Not Available,Not Available,2013-05-14T10:32:59.000,Not Available,Not Available,1000930001.0,MANHATTAN,Not Available,Not Available,Not Available,4637.53
4 WFC,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,53710025.8,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,No Status Available,Not Available,1000060,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,-74.015677,Not Available,1615675,NEW YORK,1986,Not Available,Not Available,Not Available,Not Available,42398670.39,Not Available,Battery Park City-Lower Manhattan,No,Not Available,Not Available,Not Available,2013-05-29T10:50:50.000,Not Available,Not Available,1000160150.0,MANHATTAN,Not Available,Not Available,Not Available,28565.59
candid litho printing ltd,long lsland city,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,9321325,Not Available,Not Available,31-DEC-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,57000,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.79,Not Available,Not Available,25,-73.944033,Not Available,57000,QUEENS,1930,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Hunters Point-Sunnyside-West Maspeth,No,Not Available,Not Available,Not Available,2013-03-22T07:50:12.000,Not Available,Not Available,4001000012.0,QUEENS,Not Available,Not Available,Not Available,2986.03
340 Madison Avenue,New York,Not Available,2,2.13,Not Available,0,Not Available,Not Available,Not Available,15-AUG-12,17365935.5,Not Available,Not Available,28-FEB-13,207714.73,Not Available,Not Available,Not Available,Not Available,Weekly operating hours is much lower than normal for Vacant Office.<br>,755764,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (26-AUG-12),2418022.64,1035357,Not Available,Not Available,Not Available,4.76,Not Available,Not Available,100,-73.978513,Not Available,783161,NEW YORK,1928,2077.1,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-06-06T14:24:46.000,Not Available,Not Available,1012780014.0,MANHATTAN,Not Available,Not Available,Not Available,5825.52
1429 SHORE PKWY PLP,Brooklyn,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,477223.8,Not Available,Not Available,31-DEC-12,4772879,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,3336453,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-74.005916,Not Available,85757,KINGS,1900,47728.8,Not Available,Not Available,Not Available,Not Available,Not Available,Bath Beach,No,Not Available,Not Available,Not Available,2013-05-29T08:05:34.000,0,Not Available,3064680016.0,BROOKLYN,Not Available,Not Available,Not Available,406.79
Packer Collegiate Institute,Brooklyn,Not Available,Not Available,Not Available,Not Available,56.1,Not Available,1,Not Available,Not Available,626654.5,Not Available,Not Available,31-DEC-12,3114647.63,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,0,3391484,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.992287,Not Available,131848,KINGS,1854,31146.5,Not Available,Not Available,Not Available,Not Available,Not Available,Brooklyn Heights-Cobble Hill,No,Not Available,Not Available,Not Available,2013-05-21T06:53:20.000,Not Available,Not Available,3002650010.0,BROOKLYN,Not Available,Not Available,Not Available,366.44
