property_name,city,swimming_pool_location_of,retail_store_number_of_open,retail_store_worker_density,senior_care_community_gross,target_site_eui_kbtu_ft,hotel_number_of_rooms,k_12_school_weekend_operation,hospital_general_medical_3,energy_star_certification_4,electricity_use_grid_purchase_1,swimming_pool_months_in_use,multifamily_housing_number_1,energy_current_date,natural_gas_use_kbtu,supermarket_grocery_cooking,data_center_it_site_energy,fuel_oil_4_use_kbtu,district_hot_water_use_kbtu,space_alerts,office_gross_floor_area_ft,avoided_emissions_offsite,estimated_data_flag_district_2,refrigerated_warehouse_weekly,swimming_pool_approximate,energy_star_certification_2,fuel_oil_2_use_kbtu,custom_property_id_1_id,multifamily_housing_percent,hospital_general_medical_4,bank_branch_percent_that,office_computer_density_number,hotel_room_density_number,hotel_worker_density_number,office_percent_that_can_be,longitude,multifamily_housing_number_2,property_floor_area_buildings,county,year_built,natural_gas_use_therms,senior_care_community_maximum,data_center_gross_floor_area,non_refrigerated_warehouse,district_steam_use_kbtu,supermarket_grocery_number,nta,estimated_data_flag,worship_facility_computer,residence_hall_dormitory_3,multifamily_housing_number,release_date,multifamily_housing_government,worship_facility_cooking,bbl,borough,energy_star_certification,non_refrigerated_warehouse_5,non_refrigerated_warehouse_4,total_ghg_emissions_mtco2e
GC 63 Madison Ave,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,12221657.1,Not Available,Not Available,28-FEB-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,786069,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1016889,Not Available,Not Available,Not Available,3.58,Not Available,Not Available,100,-73.98607,Not Available,786069,NEW YORK,1962,Not Available,Not Available,Not Available,Not Available,53265117.19,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,No,Not Available,Not Available,Not Available,2013-06-13T14:07:11.000,Not Available,Not Available,1008570024.0,MANHATTAN,Not Available,Not Available,Not Available,8120.42
676 Riverside Drive,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,342038.6,Not Available,7,31-DEC-12,5288038.71,Not Available,Not Available,0,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1062372,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.95217,10,102068,NEW YORK,1910,52880.4,Not Available,Not Available,Not Available,Not Available,Not Available,Hamilton Heights,No,Not Available,Not Available,28,2013-05-22T05:42:06.000,0,Not Available,1020910048.0,MANHATTAN,Not Available,Not Available,Not Available,390.89
250 West 24th Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,463555,Not Available,12,31-DEC-12,220171.1,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1084993,90,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.996651,0,74545,NEW YORK,1939,2201.7,Not Available,Not Available,Not Available,Not Available,Not Available,Hudson Yards-Chelsea-Flatiron-Union Square,No,Not Available,Not Available,50,2013-05-30T10:19:25.000,0,Not Available,1007730012.0,MANHATTAN,Not Available,Not Available,Not Available,644.64
TEN WEST THIRTH THIRD ASSOCIATES,NEW YORK,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,14-SEP-12,5216663.6,Not Available,Not Available,31-DEC-12,121200,Not Available,Not Available,Not Available,Not Available,Not Available,357630,Not Available,Not Available,Not Available,Not Available,Application - Label Sent (19-SEP-12),Not Available,BIN# 1083631,Not Available,Not Available,Not Available,1.4,Not Available,Not Available,100,-73.985607,Not Available,382200,NEW YORK,1914,1212,Not Available,Not Available,Not Available,Not Available,Not Available,Midtown-Midtown South,No,Not Available,Not Available,Not Available,2013-04-24T05:59:00.000,Not Available,Not Available,1008340049.0,MANHATTAN,Not Available,Not Available,Not Available,2252.22
880 Third Ave,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,2357559.9,Not Available,Not Available,31-JAN-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,142235,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1036473,Not Available,Not Available,Not Available,1.03,Not Available,Not Available,100,-73.969254,Not Available,142235,NEW YORK,1964,Not Available,Not Available,Not Available,Not Available,9520967.94,Not Available,Turtle Bay-East Midtown,No,Not Available,Not Available,Not Available,2013-04-27T06:48:26.000,Not Available,Not Available,1013080033.0,MANHATTAN,Not Available,Not Available,Not Available,1506.91
MMS422 - South Street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,2421958.9,Not Available,Not Available,31-DEC-12,1567111.14,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,BIN: 1003205,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.99433,Not Available,255084,NEW YORK,1927,15671.1,Not Available,Not Available,Not Available,Not Available,Not Available,Chinatown,No,Not Available,Not Available,Not Available,2013-05-13T10:02:13.000,Not Available,Not Available,1002500001.0,MANHATTAN,Not Available,Not Available,Not Available,859.23
MMS408 - West 43rd street,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,816669.7,Not Available,Not Available,31-DEC-12,2048868.6,Not Available,Not Available,Not Available,Not Available,"""Other"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,BIN: 1026923,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.99661,Not Available,150644,NEW YORK,1920,20488.7,Not Available,Not Available,Not Available,Not Available,Not Available,Clinton,No,Not Available,Not Available,Not Available,2013-05-13T10:02:13.000,Not Available,Not Available,1010720010.0,MANHATTAN,Not Available,Not Available,Not Available,370.62
Church Center For The United Nations,NY,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30-NOV-12,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,54600,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.43,Not Available,Not Available,100,-73.969066,Not Available,63000,NEW YORK,1962,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Turtle Bay-East Midtown,No,1,Not Available,Not Available,2013-05-30T07:04:09.000,Not Available,0,1013360030.0,MANHATTAN,Not Available,Not Available,Not Available,Not Available
100 Central Park South,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,780326.4,Not Available,7,31-DEC-12,791902,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1023755,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.97656,9,100840,NEW YORK,1918,7919,Not Available,Not Available,Not Available,3659036.88,Not Available,Midtown-Midtown South,No,Not Available,Not Available,81,2013-05-28T13:59:57.000,0,Not Available,1010117505.0,MANHATTAN,Not Available,Not Available,Not Available,580.98
220 Riverside Boulevard,New York,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,6451031.8,Not Available,4,31-DEC-12,35009780,Not Available,Not Available,Not Available,Not Available,"""Multifamily Housing"" space types must be <=10% of Total Floor Space.<br>Less than 50% of the Total Floor Space can be benchmarked.<br>Less than One Full Year of Space Attribute Data",Not Available,Not Available,Not Available,Not Available,Not Available,No Status Available,Not Available,1086065,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,-73.987882,880,795215,NEW YORK,2000,350097.8,Not Available,Not Available,Not Available,Not Available,Not Available,Lincoln Square,No,Not Available,Not Available,440,2013-05-28T13:59:57.000,0,Not Available,1011717502.0,MANHATTAN,Not Available,Not Available,Not Available,3929.07
