pivot-metric,pivot-value,job_filing_number,latitude,longitude,total_fee,designprofessional_city,owner_type,house_number,zip,amount_due,last_objection_date,asbestosabatementcompliance,total_construction_floor
block,1243.0,M00985309-P1,40.794723,-73.973581,12684.1,LONG ISLAND CITY,Private,720,10025,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",400
block,3040.0,X00319354-P1,40.858099,-73.892919,325.0,JAMAICA,Private,4656,10458,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,1307.0,M00205778-P1,40.757839,-73.971372,3591.0,MORRISTOWN,Private,595,10022,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",649
no_good_check,,Q00462228-I1,40.756003,-73.855487,0.0,JAMAICA,City owned Non- NYCHA,34-40,11368,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,Q00098797-I1,40.598877,-73.799569,369.2,,Private,69-24,11692,0,2019-03-08T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",30
block,1169.0,B00271978-I1,40.675367,-73.970892,225.9,FORT LEE,Private,2,11238,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",125
no_good_check,,B00362854-I1,40.69474,-73.95467,2048.1,NEW CITY,Private,722,11205,0,,The scope of work requires related asbestos abatement as defined in the regulations of the NYC DEP.,20550
no_good_check,,X00151477-I1,40.87365,-73.866155,246.5,CORONA,Private,3315,10467,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",12
block,9620.0,Q08001549-P1,40.703428,-73.813796,325.0,COLONIA,Private,88-36,11435,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,2123.0,M00303793-I1,40.83908,-73.937503,0.0,,Private-Tax Exempt,2154,10032,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",32
no_good_check,,B00793731-I1,40.596349,-73.95082,576.1,WEST MILFORD,Private,2657,11229,0,2022-08-19T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",145
no_good_check,,M00535267-I1,40.749515,-74.004533,3109.9,CORONA,Private,530,10001,0,2021-06-30T00:00:00.000,The scope of work is not an asbestos project as defined in the regulation of the NYC DEP. DEP Control# is required,1
block,2134.0,M00539622-I1,40.833691,-73.945925,1091.1,FORT LEE,Private,611,10032,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",65
no_good_check,,M08015759-P3,40.757978,-73.979783,355.0,LONG ISLAND CITY,Private,32,10036,0,2025-08-15T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,588.0,M00033475-I1,40.732547,-74.005174,287.7,BRONX,Private,19,10014,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",100
block,15780.0,Q00336071-I1,40.595196,-73.755477,205.3,,Private,20-26,11691,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
block,786.0,M01153704-I1,40.752646,-73.989439,318.6,MORRISTOWN,Private,492,10018,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,M00443167-I1,40.770766,-73.953059,473.1,,Private,416,10075,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,5929.0,B00213803-I1,40.631144,-74.026379,236.2,,Private,353,11209,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",50
block,932.0,M00349659-I1,40.738893,-73.977089,0.0,LONG ISLAND CITY,Private-Tax Exempt,445,10016,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",1200
no_good_check,,M01187555-I1,40.708642,-74.008541,554.6,WEST CALDWELL,Private,59,10038,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",12
no_good_check,,M00298535-I1,40.762421,-73.976684,689.4,BRONX,Private,57,10019,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",100
block,6129.0,B00267667-I1,40.614502,-74.037362,401.0,,Private,9801,11209,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",400
block,3183.0,B00166565-I1,40.698883,-73.930739,555.5,,Private,176,11221,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",25
no_good_check,,B00147251-I1,40.668134,-73.897802,905.7,CARMEL,Private,331,11207,0,2019-04-05T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
block,418.0,Q00569114-P1,40.750834,-73.936944,325.0,LONG ISLAND CITY,Private,41-05,11101,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",496
block,6662.0,B00176383-I1,40.605267,-73.967725,298.0,,Private,587,11223,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,M00485425-P2,40.751502,-73.997697,325.0,,Private,401,10001,0,2021-10-21T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",1824452
no_good_check,,M00871400-I1,40.723297,-74.000772,246.5,WEST MILFORD,Private,72,10012,0,2023-05-31T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",225
no_good_check,,B00244888-I1,40.695281,-73.957259,256.8,DOBBS FERRY,Private,108,11205,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,Q00569114-P1,40.750834,-73.936944,325.0,LONG ISLAND CITY,Private,41-05,11101,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",496
no_good_check,,X00078681-I1,40.827771,-73.91454,0.0,BRONX,City owned Non- NYCHA,984,10456,0,2019-02-21T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",100
block,586.0,M00209908-I1,40.731029,-74.004272,236.2,DOBBS FERRY,Private,41,10014,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",242
no_good_check,,M01153704-I1,40.752646,-73.989439,318.6,MORRISTOWN,Private,492,10018,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,B00038501-I1,40.639452,-74.011509,379.5,CORONA,Private,623,11220,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
no_good_check,,S00336735-I1,40.643264,-74.077159,401.0,,Private,120,10301,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",60
no_good_check,,M00908898-A8,40.719196,-73.993304,355.0,LONG ISLAND CITY,Private,125,10002,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",198
no_good_check,,B00614836-I1,40.611679,-73.979344,205.3,,Private,1457,11204,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",60
block,5612.0,B00297139-I1,40.635041,-73.984943,215.6,,Private,4412,11219,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
block,7490.0,Q01185942-I1,40.753629,-73.757491,0.0,NEW ROCHELLE,State,221-35,11364,0,2025-03-19T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,B00176383-I1,40.605267,-73.967725,298.0,,Private,587,11223,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,1566.0,M00232883-I1,40.776523,-73.948506,0.0,,Private-Tax Exempt,419,10028,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
no_good_check,,M00232883-I1,40.776523,-73.948506,0.0,,Private-Tax Exempt,419,10028,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
block,1158.0,M00316853-I1,40.77678,-73.982987,585.5,WEST CALDWELL,Private,200,10023,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",12
no_good_check,,X00812831-I1,40.827858,-73.864953,0.0,,NYCHA,1810,10472,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",10
block,496.0,M00281929-I1,40.722581,-73.99776,308.3,,Private,75,10012,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",5903
no_good_check,,X00282856-I1,40.892561,-73.898853,0.0,,Private-Tax Exempt,231,10471,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",47
block,208.0,B00128307-P2,40.699412,-73.99582,3972.1,CORONA,Private,122,11201,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
block,2619.0,X00805379-I1,40.821166,-73.908854,0.0,,Private-Tax Exempt,829,10456,0,2023-04-05T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",28
no_good_check,,B00350450-I1,40.57718,-73.960499,308.3,,Private,3109,11235,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",100
block,895.0,M00513706-I1,40.750122,-73.979114,1070.5,,Private,81,10016,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
no_good_check,,S00586096-I1,40.602978,-74.150192,0.0,,State,2802 B,10314,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",400
no_good_check,,M00797302-I1,40.763255,-73.974633,246.5,NEW ROCHELLE,Private,9,10019,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",50
no_good_check,,Q00310405-I1,40.704025,-73.798437,0.0,,City owned Non- NYCHA,161-04,11432,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",600
no_good_check,,M00243228-I1,40.754329,-73.998578,400.1,,Private,460,10001,0,2019-10-23T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",538520
block,3183.0,X08028198-I1,40.859448,-73.901113,0.0,STATEN ISLAND,City owned Non- NYCHA,2347,10468,0,2022-11-09T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",1000
block,1475.0,M01042875-I1,40.760933,-73.957748,0.0,,Private-Tax Exempt,500,10065,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",45
block,5904.0,X00127322-I1,40.889213,-73.909777,287.7,,Private,3755,10463,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",100
no_good_check,,B00595356-P2,40.664864,-73.896964,100.0,JAMAICA,Private-Tax Exempt,461,11207,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,M00324727-I1,40.761014,-73.985052,339.2,,Private,224,10019,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",400
no_good_check,,M00137176-I1,40.755915,-73.986681,473.1,WOODLAND PARK,Private,7,10036,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",685
block,920.0,M00246379-I1,40.749023,-73.974314,267.1,,Private,222,10016,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",3700
block,15.0,M00187497-P2,40.705886,-74.015293,4384.1,CARMEL,Private,28,10004,0,,The scope of work requires related asbestos abatement as defined in the regulations of the NYC DEP.,200
block,581.0,M00265014-I1,40.728638,-74.005322,195.0,,Private,207,10014,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",300
block,3769.0,B00147251-I1,40.668134,-73.897802,905.7,CARMEL,Private,331,11207,0,2019-04-05T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
block,5480.0,B08036942-I1,40.625903,-73.983382,328.9,WEST MILFORD,Private,5311,11204,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",225
no_good_check,,M00189767-I1,40.771794,-73.955452,2110.8,WEST MILFORD,Private,313,10075,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",142
block,5778.0,B01100578-I1,40.645338,-74.022864,0.0,,City owned Non- NYCHA,140 A,11220,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",5000
block,1945.0,M01250318-I1,40.806548,-73.956361,420.7,CORONA,Private,365,10026,0,2025-11-06T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",10
no_good_check,,M00349659-I1,40.738893,-73.977089,0.0,LONG ISLAND CITY,Private-Tax Exempt,445,10016,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",1200
no_good_check,,M00794190-P1,40.772308,-73.94653,4384.1,BRONX,Private,1,10028,0,2023-01-06T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",100
block,805.0,M00671891-I1,40.747138,-73.99118,2224.1,CARMEL,Private,135,10001,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
block,1603.0,M00106968-I1,40.787734,-73.953246,225.9,,Private,53,10029,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",50
block,1892.0,M00141773-I1,40.803201,-73.969363,760.6,HUNTINGTON,Private,351,10025,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",4
no_good_check,,Q00088272-P1,40.764202,-73.832893,325.0,NEW YORK,Private,134-37,11354,0,2020-07-09T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",354032
block,841.0,B00038501-I1,40.639452,-74.011509,379.5,CORONA,Private,623,11220,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
block,2010.0,M00419982-I1,40.818224,-73.938831,1039.6,CORONA,Private,127,10030,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",19
block,4256.0,X00144370-I1,40.849793,-73.868874,1544.3,CORONA,Private,1944,10462,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",15
no_good_check,20.0,B00597605-I1,40.607091,-73.962689,379.8,,Private,941,11223,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",29
block,117.0,Q00078845-I1,40.748925,-73.913652,287.7,,Private,50-01,11104,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",600
no_good_check,,B00347797-I1,40.581168,-73.983479,225.0,MORRISTOWN,Private,2702,11224,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",35312
block,1614.0,M00927235-I1,40.795745,-73.950029,6457.4,HUNTINGTON,Private,1270,10029,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",12
