job_filing_number,job_number,bin,gl_company,depacp5controlno,worker_compensation_company,building_type,applicant_city,applicant_license_number,signedoff_date,applicant_businessname,disability_expirationdate
M00513706-I1,M00513706,1019460,ACCREDITED SURETY AND CAS,,ACCREDITED SURETY AND CAS,Other,ASTORIA,L - 249018,2025-06-19T00:00:00.000,CENTENNIAL ELEVATOR INDUSTRIES,2023-03-31T00:00:00.000
M01250318-I1,M01250318,1059091,GREAT AMERICAN INSURANCE CO,,WESCO INSURANCE COMPANY,Other,BROOKLYN,L - 610186,,K & J LIFT INC,2026-09-15T00:00:00.000
B00567397-I1,B00567397,3064932,OLD REPUBLIC INS CO,,OLD REPUBLIC INS CO,2 Family,"LONG ISLAND CITY,",L - 038001,2022-10-07T00:00:00.000,"KONE, INC",2022-12-31T00:00:00.000
M00106411-I1,M00106411,1018239,GREAT AMERICAN INS CO,,NYSIF,Other,LONG ISLAND CITY,L - 026001,2019-10-16T00:00:00.000,CONSOLIDATED ELE. IND.INC,2020-12-31T00:00:00.000
X00711352-I1,X00711352,2000862,GREAT AMERICAN INS CO,,JM Associates/Burnham & Co.,Other,BRONX,L - 562001,2023-02-22T00:00:00.000,SWIFT ELEVATOR CORP,2023-12-31T00:00:00.000
M00248017-I1,M00248017,1035768,CINCINNATI SPECIALTY,,NATIONAL LIABILITY & FIRE,Other,NEW YORK,L - 074066,2019-12-15T00:00:00.000,NORTH AMERICAN ELEVATOR,2020-12-31T00:00:00.000
B00206109-I1,B00206109,3107742,ZURICH INSURANCE CO,,AMERICAN ZURICH INS CO,Other,NEW YORK,L - 074085,,SCHINDLER ELEVATOR CORP,2020-11-01T00:00:00.000
X00181872-I1,X00181872,2017676,GREAT AMERICAN INSURANCE,,NEW YORK STATE INS FUND,Other,BRONX,L - 353003,2019-09-10T00:00:00.000,ELTECH INDUSTRIES INC,2020-11-10T00:00:00.000
M00435958-I1,M00435958,1048245,LLOYDS OF LONDON,,NEW YORK STATE INS FUND,Other,BRONX,L - 353003,2021-07-06T00:00:00.000,ELTECH INDUSTRIES INC,2021-11-08T00:00:00.000
B00517775-I1,B00517775,3335892,ZURICH AMERICAN INS,,AMERICAN ZURICH INS COMP,Other,NEW YORK,L - 377001,2022-01-05T00:00:00.000,"SLADE INDUSTRIES, INC",2022-01-01T00:00:00.000
B00540838-I1,B00540838,3060075,GREAT AMERICAN INS,,EVEREST PREMIER INS COMP,Other,BROOKLYN,L - 589001,2021-12-20T00:00:00.000,SENTRY ELEVATOR CORP,2022-08-28T00:00:00.000
M00226761-I1,M00226761,1001068,GREAT AMERICAN INSURANCE,,NEW YORK STATE INS FUND,Other,GLENDALE,L - 554005,2020-02-26T00:00:00.000,"ALL-WAYS ELEVATOR, INC",2020-07-20T00:00:00.000
M00908898-A8,M00908898,1091812,GREAT AMERICAN INS CO,,U.S. FIRE INSURANCE COMPANY,Other,BROOKLYN,L - 220001,,MAJOR ELEVATOR CORP,2026-06-21T00:00:00.000
M00190657-I1,M00190657,1076745,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,STATEN ISLAND,L - 610058,2019-11-05T00:00:00.000,MOVING UP LIFTS INC,2020-06-26T00:00:00.000
Q01214453-I1,Q01214453,4625118,Certain Underwriters at Lvod,,INSURANCE COMPANY OF THE WES,Other,PISCATAWAY,PE - 076655,,YL ENGINEERING PLLC,2026-01-09T00:00:00.000
Q00256635-I1,Q00256635,4615631,GREAT AMERICAN E & S INS,,NEW YORK STATE INS FUND,Other,OZONE PARK,L - 523001,2020-01-14T00:00:00.000,L.C.D. ELEVATOR REPAIR IN,2021-03-20T00:00:00.000
M01004227-I1,M01004227,1006266,LLOYDS OF LONDON,,THE CHARTER OAK FIRE INSURANCE COMPANY,Other,BROOKLYN,L - 610047,2024-05-20T00:00:00.000,PRECISION ELEVATOR CORP,2024-12-31T00:00:00.000
Q00401084-I1,Q00401084,4457807,GUIDEONE MUTUAL INS CO,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 366001,2020-10-20T00:00:00.000,NOUVEAU ELEVATOR IND INC,2020-12-31T00:00:00.000
X00055075-I1,X00055075,2008517,AMERICA EMPIRE SURPLUS LI,,NY STATE INSURANCE FUND,Other,BRONX,L - 071001,2019-01-29T00:00:00.000,GUARDSMAN ELEVATOR CO INC,2019-12-31T00:00:00.000
Q00774126-I1,Q00774126,4006948,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 510001,2022-09-16T00:00:00.000,CENTURY VERTICAL SYS. INC,2022-12-31T00:00:00.000
M00231296-I1,M00231296,1034345,BRIDGEWAY INSURANCE COMP,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 402001,2022-08-06T00:00:00.000,"TRANSEL ELEV & ELECT,INC",2022-12-31T00:00:00.000
M00118081-I1,M00118081,1085735,HARTFORD FIRE INSURANCE,,NEW HAMPSHIRE INS CO,Other,NEW YORK,L - 056129,2019-06-06T00:00:00.000,OTIS ELEVATOR COMPANY,2019-09-30T00:00:00.000
M00316853-I1,M00316853,1.030358E+6,GREAT AMERICAN INS CO,,QBE INS CORP,Other,NEW YORK,L - 601001,2022-03-31T00:00:00.000,MOBILITY ELEV & LIFT CO I,2022-05-23T00:00:00.000
B01184063-P1,B01184063,3002558,Construction Risk Partners,,New York State Insurance Fund,Other,LONG ISLAND CITY,L - 402001,,"TRANSEL ELEV & ELECT,INC",2025-12-31T00:00:00.000
B00032005-P1,B00032005,3024704,GREAT AMERICAN INS COMPAN,,NEW JERSEY MANUFACTURERS,Other,NEW YORK,L - 556001,,LIBERTY ELEVATOR CORP,2019-09-14T00:00:00.000
X00078681-I1,X00078681,2097111,ACCIDENT FUND INS CO OF,,NYSIF,Other,LONG ISLAND CITY,L - 412001,2020-02-05T00:00:00.000,P.S. MARCATO ELEV. CO INC,2021-12-31T00:00:00.000
B00147251-I1,B00147251,3328017,AMERICA EMPIRE SURPLUS LI,,NEW YORK STATE INS FUND,Other,BRONX,L - 071001,2019-10-31T00:00:00.000,GUARDSMAN ELEVATOR CO INC,2019-12-31T00:00:00.000
X00499783-I1,X00499783,2011426,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,ASTORIA,L - 106001,2021-05-03T00:00:00.000,ARROW ELEVATOR INC.,2021-12-31T00:00:00.000
Q00900187-P9,Q00900187,4624972,OLD REPUBLIC INS CO,,OLD REPUBLIC INS CO,Other,"LONG ISLAND CITY,",L - 038001,,"KONE, INC",2025-12-31T00:00:00.000
M00546215-I1,M00546215,1014343,GREAT AMERICAN INS CO,,QBE INS CORP,Other,NEW YORK,L - 601001,2021-09-30T00:00:00.000,MOBILITY ELEV & LIFT CO I,2022-05-23T00:00:00.000
M00068426-I1,M00068426,1083347,HISCOX INSURANCE COMPANY,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 412001,2019-07-18T00:00:00.000,P.S. MARCATO ELEV. CO INC,2018-12-31T00:00:00.000
Q00618056-I1,Q00618056,4430526,GREAT AMERICAN INS CO,,QBE INS CORP,Other,NEW YORK,L - 601001,2022-09-12T00:00:00.000,MOBILITY ELEV & LIFT CO I,2023-05-23T00:00:00.000
M00139033-I1,M00139033,1022051,CINCINNATI SPECIALTY UNDE,,NJ MANUFACTURERS INS GRP,Other,LONG ISLAND CITY,L - 165001,2021-04-06T00:00:00.000,CENTURY ELEV. MAIN. CORP.,2021-01-01T00:00:00.000
B00162794-I1,B00162794,3339189,GREAT AMERICAN INS COM,,NEW YORK STATE INS FUND,Other,QUEENS VILLAGE,L - 574001,2020-01-02T00:00:00.000,NEW YORK TECH INDUSTRIES,2020-12-31T00:00:00.000
X00253882-I1,X00253882,2116375,HARTFORD FIRE INSURANCE,,AIU INSURANCE COMPANY,Other,NEW YORK,L - 056128,2019-11-11T00:00:00.000,OTIS ELEVATOR COMPANY,2021-09-30T00:00:00.000
Q00130224-I1,Q00130224,4315226,HARTFORD FIRE INSURANCE,,NEW HAMPSHIRE INS CO,Other,NEW YORK,L - 056099,2019-10-25T00:00:00.000,OTIS ELEVATOR COMPANY,2019-09-30T00:00:00.000
Q00259911-I1,Q00259911,4299223,GREAT AMERICAN ALLIANCE,,LM INSURANCE CORPORATION,Other,LONG ISLAND CITY,L - 082001,2019-12-05T00:00:00.000,AMERICAN ELEVATOR&MACHINE,2021-12-31T00:00:00.000
M00504581-I1,M00504581,1090547,GREAT AMERICAN INS,,EVEREST PREMIER INS COMP,Other,BROOKLYN,L - 589001,2022-05-16T00:00:00.000,SENTRY ELEVATOR CORP,2022-08-28T00:00:00.000
Q00438812-I1,Q00438812,4030858,OLD REPUBLIC INS CO,,OLD REPUBLIC INS CO,Other,"LONG ISLAND CITY,",L - 038001,2021-07-08T00:00:00.000,"KONE, INC",2021-12-31T00:00:00.000
X00667488-I1,X00667488,2130561,BRIDGEWAY INS COMPANY,,HIGHVIEW NATIONAL INS CO,Other,BROOKLYN,L - 556001,2022-08-29T00:00:00.000,MILLENNIUM ELEV ENT LLC,2022-12-31T00:00:00.000
M00547319-I1,M00547319,1030136,GREAT AMERICAN ALLIANCE,,NEW YORK STATE INS FUND,Other,NEW YORK,L - 487003,2021-09-30T00:00:00.000,GOTHAM ELEV INSPECT INC,2021-12-31T00:00:00.000
X00244641-I1,X00244641,2018686,GREAT AMERICAN INS CO,,LM INSURANCE CORP,Other,NEW YORK,L - 292001,2020-07-22T00:00:00.000,"D&D ELEVATOR MAINT, INC",2020-12-31T00:00:00.000
M00447336-P2,M00447336,1035737,THE PRINCETON EXCESS AND,,UNITED STATES FIRE INS CO,Other,NEW YORK,L - 581005,,G-TECH ELEVATOR ASSOCIATE,2022-09-15T00:00:00.000
B00532012-I1,B00532012,340002100.00%,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,STATEN ISLAND,L - 422001,2022-10-21T00:00:00.000,ACTION ELEVATOR INC,2022-12-31T00:00:00.000
M01113310-I1,M01113310,1014759,CLEAR BLUE SPECIALTY INS,,CONTINENTAL INDEMNITY CO,Other,HUNTINGDON VALLEY,PE - 079601,,PLAN B ENGINEERING,2025-05-14T00:00:00.000
B00542385-I1,B00542385,3011086,GREAT AMERICAN INS,,CRUM & FORSTER INDEMNITY,Other,BROOKLYN,L - 589001,,SENTRY ELEVATOR CORP,2025-08-28T00:00:00.000
B00133025-I1,B00133025,3198154,GREAT AMERICAN INS CO,,EVEREST NATIONAL INS CO,Other,BROOKLYN,L - 429005,2019-02-26T00:00:00.000,PRECISION ELEVATOR CORP,2020-08-01T00:00:00.000
B00604141-I1,B00604141,3346119,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,STATEN ISLAND,L - 422001,2022-01-25T00:00:00.000,ACTION ELEVATOR INC,2022-12-31T00:00:00.000
B00763177-I1,B00763177,3114553,BRIDGEWAY INSURANCE COMPANY,,HIGHVIEW NATIONAL INSURANCE COMPANY,Other,BROOKLYN,L - 556001,,MILLENNIUM ELEV ENT LLC,2024-12-31T00:00:00.000
Q00255769-I1,Q00255769,4303817,GREAT AMERICAN ALLIANCE,,NEW YORK STATE INS FUND,Other,FLUSHING,L - 388001,2019-11-07T00:00:00.000,ELEV REFURBISHING CORP,2020-12-31T00:00:00.000
M00162752-I1,M00162752,1003489,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 560001,2021-01-27T00:00:00.000,AMBER ELEV INSPECTION INC,2020-12-31T00:00:00.000
M00419982-I1,M00419982,1060086,GREAT AMERICAN INS,,EVEREST PREMIER INS COMP,Other,BROOKLYN,L - 589001,2021-06-09T00:00:00.000,SENTRY ELEVATOR CORP,2022-08-28T00:00:00.000
X00691380-P2,X00691380,2057558,GREAT AMERICAN E & S INS,,JM Associates/Burnham & Co,Other,FRESH MEADOW,L - 579001,,L.C.D. ELEVATOR REPAIR IN,2024-06-30T00:00:00.000
M00090324-P1,M00090324,1015728,GREAT AMERICAN E & S INS,,NEW YORK STATE INS FUND,Other,OZONE PARK,L - 523001,,L.C.D. ELEVATOR REPAIR IN,2019-12-31T00:00:00.000
X00543738-I1,X00543738,2130756,UTICA FIRST INSURANCE CO,,NYSIF,Other,METUCHEN,PE - 084781,2022-10-20T00:00:00.000,"PATUXENT ENGINEERING, LLC",2021-12-31T00:00:00.000
Q00423087-I1,Q00,4439752,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,STATEN ISLAND,L - 422001,2021-03-19T00:00:00.000,ACTION ELEVATOR INC,2021-12-31T00:00:00.000
M00145210-I1,M00145210,1014811,CINCINNATI SPECIALTY UNDE,,NJ MANUFACTURERS INS GRP,Other,LONG ISLAND CITY,L - 165001,2019-09-18T00:00:00.000,CENTURY ELEV. MAIN. CORP.,2021-01-01T00:00:00.000
M01325325-I1,M01325325,1091777,Arch Insurance Co,,Arch Indemnity Insurance Co.,Other,NEW ROCHELLE,PE - 083125,,"UNIVERSAL BUILDERS SUPPLY, LLC",2026-09-30T00:00:00.000
B00285023-I1,B00285023,3248660,WESTERN WORLD INS COMPANY,,NYSIF,Other,BROOKLYN,L - 610142,,SIGNATURE ELEVATOR MNTCE,2021-03-18T00:00:00.000
B00023494-I1,B00023494,3014437,GREAT AMERICAN INS CO,,NY STATE INSURANCE FUND,Other,BROOKLYN,L - 583001,2018-08-21T00:00:00.000,UTU ELEVATOR INC,2018-12-31T00:00:00.000
M00269656-I1,M00269656,1034220,GREAT AMERICAN INS CO,,NYSIF,Other,LONG ISLAND CITY,L - 026001,2020-03-11T00:00:00.000,CONSOLIDATED ELE. IND.INC,2020-12-31T00:00:00.000
B00570812-I1,B00570812,3394062,NORTHFIELD EXCESS & SURPL,,NYSIF,Other,BROOKLYN,L - 610029,,SIGNATURE ELEV MNTCE,2021-12-31T00:00:00.000
M00287060-I1,M00287060,1048290,STATE NATIONAL INS CO,,NEW YORK STATE INS FUND,Other,BROOKLYN,L - 346001,,DUNWELL ELEVATOR ELEC.IND,2020-12-31T00:00:00.000
M00321721-I1,M00321721,1031514,CINCINNATI SPECIALTY UNDE,,NJ MANUFACTURERS INS GRP,Other,LONG ISLAND CITY,L - 165001,2020-09-28T00:00:00.000,CENTURY ELEV. MAIN. CORP.,2021-01-01T00:00:00.000
M00348121-I1,M00348121,1044896,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,BROOKLYN,L - 508001,2020-06-18T00:00:00.000,GENCO ELEVATOR INC,2021-12-31T00:00:00.000
M00236356-I1,M00236356,1003049,OLD REPUBLIC INS CO,,OLD REPUBLIC INS CO,Other,"LONG ISLAND CITY,",L - 038001,2019-11-26T00:00:00.000,"KONE, INC",2020-12-31T00:00:00.000
M00023163-I1,M00023163,1090766,PRINCETON EXCESS&SURPLUS,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 402001,2019-05-04T00:00:00.000,"TRANSEL ELEV & ELECT,INC",2020-12-31T00:00:00.000
M00172633-I1,M00172633,1064458,GREAT AMERICAN INSURANCE,,NEW YORK STATE INS FUND,Other,BRONX,L - 353003,2019-12-10T00:00:00.000,ELTECH INDUSTRIES INC,2020-11-10T00:00:00.000
B00587387-S8,B00587387,3429244,NATIONAL UNION FIRE INS,,AIU Insurance Company,Other,NEW YORK,L - 056128,,OTIS ELEVATOR COMPANY,2026-12-31T00:00:00.000
