app_id,license_nbr,app_chairs,city,dpqa,send_package_dd,swc_tables,hearing_dd,cp,nan with business_name,Approved with business_name,Pending Review with business_name
35829-2019-RSWC,1395264-DCA,37,BROOKLYN,Issued Temp Op Letter,2019-12-23T00:00:00.000,21,2020-02-13T00:00:00.000,Pending Review,,,GRAHAM RESTAURANT LLC
15080-2019-RSWC,1457685-DCA,46,NEW YORK,Withdrawal - Refund Request,2019-03-25T00:00:00.000,23,2019-05-16T00:00:00.000,,,SARABETH'S PAS LLC,
23522-2019-RSWC,2041410-DCA,54,NEW YORK,Issued Temp Op Letter,2019-07-11T00:00:00.000,25,,Pending Review,,,NEW YORK BURGER 10th AVE INC.
20815-2019-RSWC,1323624-DCA,18,NEW YORK,Issued Temp Op Letter,2019-05-28T00:00:00.000,9,,Pending Review,,,"SHARAKU, INC."
1009-2018-ASWC,,26,NEW YORK,Review Completed,2018-01-26T00:00:00.000,6,2020-04-17T00:00:00.000,Proceed,,,ELEVEN FOOD AND BEVERAGE INC.
18213-2019-RSWC,2058401-DCA,21,BRONX,Issued Temp Op Letter,2019-04-24T00:00:00.000,9,2019-06-14T00:00:00.000,Pending Review,,,3713 RIVERDALE REST CORP.
2781-2020-RSWC,2030898-DCA,12,NEW YORK,Issued Temp Op Letter,2020-02-06T00:00:00.000,6,,Pending Review,,,ZEP LLC
31960-2019-RSWC,1251803-DCA,8,NEW YORK,Issued Temp Op Letter,2019-11-14T00:00:00.000,4,2020-01-06T00:00:00.000,Pending Review,,,PQ FIRST INC
8475-2018-RSWC,0916146-DCA,16,NEW YORK,Issued Temp Op Letter,2018-05-18T00:00:00.000,9,,Pending Review,,,"HUSSIEN ENVIRONMENT, INC."
34790-2019-RSWC,2044905-DCA,12,NEW YORK,Issued Temp Op Letter,2019-12-11T00:00:00.000,6,2020-02-13T00:00:00.000,Pending Review,,,EVOO GROUP LLC
19318-2019-RSWC,1398066-DCA,40,NEW YORK,Issued Temp Op Letter,2019-05-23T00:00:00.000,11,2020-01-29T00:00:00.000,Proceed Objections Cured,,,UNCLE ABIES DELI ON FIRST INC.
2751-2020-RSWC,1341402-DCA,34,NEW YORK,Issued Temp Op Letter,2020-02-06T00:00:00.000,12,,Pending Review,,,DONIZETTI LLC
36469-2019-RSWC,2059550-DCA,34,BROOKLYN,Issued Temp Op Letter,2019-12-31T00:00:00.000,14,2020-03-06T00:00:00.000,Pending Review,,,SWEET CHICK FLATBUSH LLC
12693-2019-ASWC,2092160-DCA,16,NEW YORK,Withdrawal - Refund Request,,8,,,E & A BAGEL CORP.,,
35841-2019-RSWC,1248652-DCA,10,NEW YORK,Issued Temp Op Letter,2020-02-14T00:00:00.000,5,2020-03-05T00:00:00.000,Pending Review,,,22 EAST 54TH STREET RESTAURANT CORP.
297-2020-RSWC,1251412-DCA,34,BRONX,Under Review,2020-01-10T00:00:00.000,9,2020-03-06T00:00:00.000,Pending Review,,,SAMMY'S S.B. REST. CORP.
35828-2019-RSWC,1467798-DCA,12,NEW YORK,Issued Temp Op Letter,2019-12-23T00:00:00.000,6,2020-02-20T00:00:00.000,Pending Review,,,P12 NEW YORK LLC
8278-2018-RSWC,1283643-DCA,16,NEW YORK,Issued Temp Op Letter,2018-05-10T00:00:00.000,5,,Pending Review,,,JPS VENTURES INC.
18656-2019-RSWC,2063387-DCA,32,NEW YORK,Issued Temp Op Letter,2019-04-25T00:00:00.000,5,2019-06-14T00:00:00.000,Proceed,,,MAC 1 FOOD AND BEVERAGE LLC
19210-2019-RSWC,2042425-DCA,20,NEW YORK,Issued Temp Op Letter,2019-05-07T00:00:00.000,6,2020-03-06T00:00:00.000,Proceed,,,HERM LLC
13275-2017-ASWC,2060235-DCA,48,FLUSHING,Under Review,2017-09-25T00:00:00.000,12,,Pending Review,,,"HASHEM MELECH, INC"
35191-2019-RSWC,1469750-DCA,70,NEW YORK,Issued Temp Op Letter,2019-12-13T00:00:00.000,33,2020-02-13T00:00:00.000,Pending Review,,,BUBBYS MP LLC
7337-2019-RSWC,1347394-DCA,18,BROOKLYN,Issued Temp Op Letter,2019-02-14T00:00:00.000,7,2019-04-10T00:00:00.000,Pending Review,,,CAFE ARGENTINO INC.
20102- 2019-RSWC,2042255-DCA,35,NEW YORK,Issued Temp Op Letter,2019-05-20T00:00:00.000,19,,Pending Review,,,LENWICH 54TH LLC
14524-2017-ASWC,2059443-DCA,26,NEW YORK,Under Review,2017-12-01T00:00:00.000,13,,Pending Review,,,53 WEST 72ND STREET CAFE LLC
