code,audgrp10,start13,date12,start11,interest,end07,date09,date03,req5,audgrp04,audgrp08,req1,end01,end05,audgrp01,soc,start05,date13,end09,audgrp02,dbn,req2,audgrp09,start10,audgrp03,date02,req6,start04,end12,date11,sci,date01,start14,start01,eng,end06
,Queens/Staten Island A - L Students auditioning for a single studio in Dance or Drama only,12:00 PM,"Sunday, 12/8/2013",8:00 AM,Performing Arts,,"Saturday, 11/16/2013","Sunday, 11/3/2013",,Brooklyn A - Z Students auditioning for two or more* studios or Technical Theatre,Manhattan S - Z Students auditioning for a single studio except Technical Theatre,,,,Bronx A - Z Students auditioning for a single or multiple studios,80-100,8:00 AM,"Sunday, 12/8/2013",,Brooklyn A - L Students auditioning for a single studio except Technical Theatre,03M485,,Manhattan A - Z Students auditioning for two or more* studios or Technical Theatre,8:00 AM,Brooklyn M - Z Students auditioning for a single studio except Technical Theatre,"Sunday, 11/3/2013",,8:00 AM,,"Sunday, 11/24/2013",80-100,"Saturday, 11/23/2013",8:00 AM,8:00 AM,80-100,
K49B,,,,,Law & Government,,,,,,,Review of Attendance & Punctuality,,,,75-100,,,,,16K498,,,,,,,,,,75-100,,,,75-100,
L01R,,,,,Environmental Science,,,,,,,,,,,,,,,,21K344,,,,,,,,,,,,,,,
X76X,,,,,Communications,,,,,,,,,,,,,,,,11X253,,,,,,,,,,,,,,,
Q30J,,,,,Humanities & Interdisciplinary,,,,,,,Review of Attendance & Punctuality,,,,65-100,,,,,24Q520,,,,,,,,,,65-100,,,,65-100,
Q12C,,,,,Environmental Science,11:30 AM,,"Saturday, 11/16/2013",,Last name S-Z for single audition (Music only or Art only),Last name A-L for single audition (Music only or Art only),,11:30 AM,11:30 AM,Last name M-Z for single audition & Last Name A-Z for multiple auditions,85-100,9:30 AM,,,Last name A-L for single audition (Music only or Art only),26Q495,,,,Last name M-R for single audition & Last name M-Z for multiple auditions,"Sunday, 11/3/2013",,4:00 PM,,,85-100,"Sunday, 11/3/2013",,9:30 AM,85-100,1:30 PM
Q10G,,,,,Performing Arts,,,,,,,,,,,75-100,,,,,27Q480,,,,,,,,,,75-100,,,,75-100,
R60K,,,,,Engineering,,,,,,,,,,,75-100,,,,,31R600,,,,,,,,,,75-100,,,,75-100,
K57K,Fine and Visual Arts; Last Name M-S,,,1:00 PM,Visual Art & Design,,"Sunday, 11/17/2013","Sunday, 11/17/2013",,Instrumental & Vocal Music and Studio Theatre; Last Name J - L,Fine and Visual Arts; Last Name A-F,,,,Instrumental & Vocal Music and Studio Theatre; Last Name A - C,,12:30 PM,,,Instrumental & Vocal Music and Studio Theatre; Last Name D - F,21K525,,Fine and Visual Arts; Last Name G-L,9:00 AM,Instrumental & Vocal Music and Studio Theatre; Last Name G - I,"Sunday, 11/17/2013",,9:30 AM,,"Saturday, 11/23/2013",,"Sunday, 11/17/2013",,12:30 PM,,
X43A,,,,,Humanities & Interdisciplinary,,,,,,,Open to English speakers only: not for English Language Learners.,,,,,,,,,10X477,For English Language Learners: an ESL immersion academy for recently arrived international students with fewer than 4 years in the United States.,,,,,,,,,,,,,,
K67H,,,,,Health Professions,,,,,,,,,,,,,,,,21K620,,,,,,,,,,,,,,,
K56B,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,21K540,,,,,,,,,,,,,,,
M95A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,02M449,,,,,,,,,,,,,,,
M36X,,,,,"Hospitality, Travel and Tourism",,,,,,,,,,,,,,,,02M296,,,,,,,,,,,,,,,
K21B,,,,,Culinary Arts,,,,,,,,,,,65-100,,,,,15K497,Interview,,,,,,,,,65-100,,,,65-100,
M37X,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,02M294,,,,,,,,,,,,,,,
X38B,,,,,Performing Arts,,,,,,,,,,,,,,,,10X546,,,,,,,,,,,,,,,
K27A,,,,,Humanities & Interdisciplinary,,,,,,,Review of Attendance & Punctuality,,,,80-100,,,,,15K464,,,,,,,,,,80-100,,,,80-100,
A17A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,03M403,,,,,,,,,,,,,,,
X78A,,,,,Computer Science & Technology,,,,,,,Review of Attendance & Punctuality,,,,80-100,,,,,10X368,,,,,,,,,,80-100,,,,80-100,
X22A,,,,,Health Professions,,,,,,,,,,,,,,,,11X290,,,,,,,,,,,,,,,
K09X,,,,,Architecture,,,,,,,,,,,,,,,,14K558,,,,,,,,,,,,,,,
Q22A,,,,,Computer Science & Technology,,,,,,,,,,,,,,,,30Q502,,,,,,,,,,,,,,,
A22A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,02M427,,,,,,,,,,,,,,,
A24A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,06M423,,,,,,,,,,,,,,,
M62A,,,,,Science & Math,,,,,,,Review of Attendance & Punctuality,,,,80-100,,,,,06M552,,,,,,,,,,80-100,,,,80-100,
Q44A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,29Q326,,,,,,,,,,,,,,,
Q50A,,,,,Engineering,,,,,,,,,,,,,,,,27Q400,,,,,,,,,,,,,,,
L59A,,,,,Engineering,,,,,,,,,,,,,,,,13K674,,,,,,,,,,,,,,,
R19G,,,,,Performing Arts,,,,,,,,,,,,,,,,31R450,,,,,,,,,,,,,,,
Y64A,,,,,Humanities & Interdisciplinary,,,,,,,Open only to New York City residents living in the United States whose home language is not English and are English Language Learners as per New York City Department of Education guidelines.,,,,,,,,,09X564,,,,,,,,,,,,,,,
Y54A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,12X511,,,,,,,,,,,,,,,
K87H,,,,,Performing Arts,,,,,,,,,,,,,,,,14K474,,,,,,,,,,,,,,,
M55A,,,,,Science & Math,,,,,,,Writing Sample,,,,80-100,,,,,03M541,,,,,,,,,,80-100,,,,80-100,
K75A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,14K685,,,,,,,,,,,,,,,
Q68L,,,,,Engineering,,,,,,,,,,,75-100,,,,,24Q600,,,,,,,,,,75-100,,,,75-100,
Q29H,,,,,Humanities & Interdisciplinary,,,,,,,Review of Attendance & Punctuality,,,,75-100,,,,,30Q450,Review of Attendance & Punctuality,,,,,,,,,75-100,,,,75-100,
K03R,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,15K448,,,,,,,,,,,,,,,
X53A,,,,,Law & Government,,,,,,,,,,,,,,,,10X439,,,,,,,,,,,,,,,
R20E,,,,,Business,,,,,,,,,,,,,,,,31R440,,,,,,,,,,,,,,,
R17A,,,,,Business,,,,,,,,,,,80-100,,,,,31R460,,,,,,,,,,80-100,,,,80-100,
K70I,,,,,Computer Science & Technology,,,,,,,,,,,75-100,,,,,13K605,,,,,,,,,,75-100,,,,75-100,
Q23Z,,,,,Zoned,,,,,,,,,,,,,,,,24Q485,,,,,,,,,,,,,,,
R10M,,,,,Health Professions,,,,,,,,,,,,,,,,31R445,,,,,,,,,,,,,,,
X75A,,,,,Visual Art & Design,,,,,,,,,,,,,,,,12X692,,,,,,,,,,,,,,,
X88X,,,,,Health Professions,,,,,,,,,,,,,,,,11X249,,,,,,,,,,,,,,,
X03R,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,09X250,,,,,,,,,,,,,,,
K60L,,,,,Engineering,,,,,,,,,,,,,,,,14K610,,,,,,,,,,,,,,,
Q85A,,,,,Communications,,,,,,,,,,,,,,,,25Q285,,,,,,,,,,,,,,,
X33M,,,,,Performing Arts,,,"Saturday, 12/14/2013",,,,,9:00 PM,,All Auditioning Students,,,,,All Auditioning Students,10X442,,,,All Auditioning Students,"Friday, 12/13/2013",,,,,,"Friday, 11/22/2013",,5:00 PM,,
M26W,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",,,,Humanities & Interdisciplinary,2:30 PM,"Friday, 11/22/2013","Thursday, 11/7/2013",,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)","All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",,7:00 PM,2:30 PM,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",,11:30 AM,,7:00 PM,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",03M415,,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",11:30 AM,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)","Saturday, 11/2/2013",,4:00 PM,,,,"Friday, 11/1/2013",,4:00 PM,,7:00 PM
M70A,,,,,Health Professions,,,,,,,Review of Attendance & Punctuality,,,,85-100,,,,,02M420,,,,,,,,,,85-100,,,,85-100,
Q14Z,,,,,Zoned,,,,,,,,,,,,,,,,25Q425,,,,,,,,,,,,,,,
R15J,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,31R080,,,,,,,,,,,,,,,
X69D,,,,,Engineering,,,,,,,,,,,,,,,,07X600,,,,,,,,,,,,,,,
M88A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,06M348,,,,,,,,,,,,,,,
M91A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,02M419,,,,,,,,,,,,,,,
Q83A,,,,,Engineering,,,,,,,Review of Attendance & Punctuality,,,,75-100,,,,,27Q650,Review of Attendance & Punctuality,,,,,,,,,75-100,,,,75-100,
K16C,,,,,Science & Math,,,,,,,,,,,,,,,,20K505,,,,,,,,,,,,,,,
X52A,,,,,Business,,,,,,,,,,,,,,,,10X438,,,,,,,,,,,,,,,
,,,,,Humanities & Interdisciplinary,,,,,,,"Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admission Test (SHSAT). Students should speak to their guidance counselors in the Fall to register for the SHSAT. Guidance counselors will provide each student with an Admission Ticket indicating the date, location and time of the SHSAT. The ticket must be presented at the test site. Students should inform their guidance counselor if they are unable to test on the assigned day.",,,,,,,,,10X696,,,,,,,,,,,,,,,
Q35P,,,,,Law & Government,,,,,,,,,,,75-100,,,,,27Q475,,,,,,,,,,75-100,,,,75-100,
R30Z,,,,,Zoned,,,,,,,,,,,,,,,,31R455,,,,,,,,,,,,,,,
Q67N,,,,,Engineering,,,,,,,,,,,75-100,,,,,28Q620,,,,,,,,,,75-100,,,,75-100,
A85A,,,,,Performing Arts,,,,,,,,,,,,,,,,03M859,,,,,,,,,,,,,,,
X25H,,,,,Engineering,,,,,,,,,,,80-100,,,,,11X455,,,,,,,,,,80-100,,,,80-100,
M94A,,,,,Humanities & Interdisciplinary,,,,,,,Review of Attendance & Punctuality,,,,80-100,,,,,02M439,,,,,,,,,,80-100,,,,80-100,
A23A,,,,,Computer Science & Technology,,,,,,,,,,,,,,,,02M507,,,,,,,,,,,,,,,
Y28A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,08X269,,,,,,,,,,,,,,,
M26M,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",,,,Performing Arts,2:30 PM,"Friday, 11/22/2013","Thursday, 11/7/2013",,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)","All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",,7:00 PM,2:30 PM,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",,11:30 AM,,7:00 PM,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",03M415,,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",11:30 AM,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)","Saturday, 11/2/2013",,4:00 PM,,,,"Friday, 11/1/2013",,4:00 PM,,7:00 PM
K91B,,,,,Law & Government,,,,,,,,,,,,,,,,15K519,,,,,,,,,,,,,,,
Y01T,,,,,Science & Math,,,,,,,,,,,,,,,,08X282,,,,,,,,,,,,,,,
K71J,,,,,Engineering,,,,,,,,,,,,,,,,13K670,,,,,,,,,,80-100,,,,,
M74A,,,,,Humanities & Interdisciplinary,,,,,,,Review of Attendance & Punctuality,,,,85-100,,,,,02M412,,,,,,,,,,85-100,,,,85-100,
K47K,,,,,Performing Arts,,,"Wednesday, 12/11/2013",,Citywide Students (ALL Boroughs),,,7:00 PM,,Brooklyn Students (Priority),,,,,Brooklyn Students (Priority),15K656,,,,Citywide Students (ALL Boroughs),"Saturday, 11/16/2013",,9:00 AM,,,,"Wednesday, 11/13/2013",,4:00 PM,,
L31A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,18K589,,,,,,,,,,,,,,,
Q16J,,,,,Science & Math,,,"Thursday, 11/14/2013",,Last name P-T,,,7:00 PM,7:00 PM,Last name A-E,90-100,4:00 PM,,,Last name F-J,26Q415,,,,Last name K-O,"Wednesday, 11/13/2013",,4:00 PM,,,90-100,"Tuesday, 11/12/2013",,4:00 PM,90-100,7:00 PM
Q63A,,,,,Health Professions,,,,,,,,,,,,,,,,24Q236,,,,,,,,,,,,,,,
M70B,,,,,Health Professions,,,,,,,Interview,,,,,,,,,02M420,,,,,,,,,,,,,,,
L38A,,,,,Visual Art & Design,,,,,,,,,,,,,,,,21K559,,,,,,,,,,,,,,,
X43B,,,,,Humanities & Interdisciplinary,,,,,,,Writing Sample,,,,,,,,,10X477,Writing Sample,,,,,,,,,,,,,,
K60J,,,,,Engineering,,,,,,,,,,,,,,,,14K610,,,,,,,,,,,,,,,
M33A,,,,,Science & Math,,,,,,,,,,,,,,,,06M468,,,,,,,,,,,,,,,
Q19Z,,,,,Zoned,,,"Wednesday, 11/13/2013",,,,,8:00 PM,,Last Name A-L,,,,,Last Name M-Z,28Q440,,,,Make-up for all students by appointment,"Tuesday, 11/12/2013",,,,,,"Thursday, 11/7/2013",,4:00 PM,,
Q68N,,,,,Computer Science & Technology,,,,,,,,,,,80-100,,,,,24Q600,,,,,,,,,,80-100,,,,80-100,
K69P,,,,,Computer Science & Technology,,,,,,,,,,,,,,,,19K615,,,,,,,,,,,,,,,
R60I,,,,,Visual Art & Design,,,,,,,,,,,75-100,,,,,31R600,,,,,,,,,,75-100,,,,75-100,
Y37A,,,,,Science & Math,,,,,,,,,,,,,,,,08X367,,,,,,,,,,,,,,,
M01A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,05M367,,,,,,,,,,,,,,,
R20T,,,,,Science & Math,,,,,,,,,,,,,,,,31R440,,,,,,,,,,,,,,,
X42A,,,,,Humanities & Interdisciplinary,,,,,,,Writing Sample,,,,75-100,,,,,10X434,,,,,,,,,,75-100,,,,75-100,
L66A,,,,,Science & Math,,,,,,,,,,,80-100,,,,,14K614,,,,,,,,,,80-100,,,,80-100,
X48B,,,,,Visual Art & Design,,,,,,,,,,,,,,,,11X544,,,,,,,,,,,,,,,
X81X,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,09X297,,,,,,,,,,,,,,,
X64X,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,11X265,,,,,,,,,,,,,,,
X39A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,10X549,,,,,,,,,,,,,,,
X16A,,,,,Computer Science & Technology,,,,,,,,,,,,,,,,08X405,Academic Portfolio,,,,,,,,,,,,,,
A37A,,,,,Science & Math,,,,,,,,,,,,,,,,04M372,,,,,,,,,,,,,,,
K24J,,,,,Science & Math,,,,,,,,,,,85-100,,,,,21K410,,,,,,,,,,85-100,,,,85-100,
X35B,,,,,Visual Art & Design,,,,,,,,,,,,,,,,11X418,,,,,,,,,,,,,,,
Q16A,,,,,Law & Government,,,"Thursday, 11/14/2013",,Last name P-T,,,7:00 PM,7:00 PM,Last name A-E,,4:00 PM,,,Last name F-J,26Q415,,,,Last name K-O,"Wednesday, 11/13/2013",,4:00 PM,,,,"Tuesday, 11/12/2013",,4:00 PM,,7:00 PM
X38A,,,,,Performing Arts,,,,,,,,,,,,,,,,10X546,,,,,,,,,,,,,,,
L53A,,,,,Performing Arts,,,,,,,,,,,,,,,,19K683,,,,,,,,,,,,,,,
Q59A,,,,,Health Professions,,,,,,,"Standardized Test Scores: Math Level(s) 3-4, English Language Arts Level(s) 3-4",,,,,,,,,29Q243,,,,,,,,,,,,,,,
Q84A,,,,,Communications,,,,,,,,,,,,,,,,29Q283,,,,,,,,,,,,,,,
Q61A,,,,,Engineering,,,,,,,Review of Attendance & Punctuality,,,,,,,,,30Q258,,,,,,,,,,,,,,,
Q24H,,,,,Humanities & Interdisciplinary,,,"Wednesday, 1/29/2014",,All students,,,12:00 PM,,All students,80-100,,,,All students,28Q505,,,,All students,"Tuesday, 1/28/2014",,9:00 AM,,,80-100,"Monday, 1/27/2014",,9:00 AM,80-100,
M99A,,,,,Humanities & Interdisciplinary,,,,,,,Review of Attendance & Punctuality,,,,80-100,,,,,02M605,,,,,,,,,,80-100,,,,80-100,
Q60A,,,,,Engineering,,,,,,,Review of Attendance & Punctuality,,,,85-100,,,,,24Q610,Review of Attendance & Punctuality,,,,,,,,,85-100,,,,85-100,
L61A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,15K592,,,,,,,,,,,,,,,
K57L,Fine and Visual Arts; Last Name M-S,,,1:00 PM,Performing Arts,,"Sunday, 11/17/2013","Sunday, 11/17/2013",,Instrumental & Vocal Music and Studio Theatre; Last Name J - L,Fine and Visual Arts; Last Name A-F,,,,Instrumental & Vocal Music and Studio Theatre; Last Name A - C,,12:30 PM,,,Instrumental & Vocal Music and Studio Theatre; Last Name D - F,21K525,,Fine and Visual Arts; Last Name G-L,9:00 AM,Instrumental & Vocal Music and Studio Theatre; Last Name G - I,"Sunday, 11/17/2013",,9:30 AM,,"Saturday, 11/23/2013",,"Sunday, 11/17/2013",,12:30 PM,,
Q89A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,80-100,,,,,28Q896,,,,,,,,,,80-100,,,,80-100,
Q53J,,,,,Visual Art & Design,,,,,,,,11:30 AM,,Institute of Visual Arts (Q53J),,,,,,29Q498,,,,,,,,,,,"Saturday, 10/12/2013",,9:30 AM,,
Q15Z,,,,,Zoned,,,,,,,,,,,,,,,,30Q445,,,,,,,,,,,,,,,
X06R,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,09X276,,,,,,,,,,,,,,,
Q02A,,,,,Communications,,,,,,,,,,,,,,,,27Q308,,,,,,,,,,,,,,,
Y47A,,,,,Humanities & Interdisciplinary,,,,,,,Open only to New York City residents who are English Language Learners (ELL).,,,,,,,,,08X432,,,,,,,,,,,,,,,
Q60Q,,,,,Computer Science & Technology,,,,,,,,,,,80-100,,,,,24Q610,,,,,,,,,,80-100,,,,80-100,
L33A,,,,,Performing Arts,,,,,,,,,,,,,,,,18K567,,,,,,,,,,,,,,,
Q38Z,,,,,Zoned,,,,,,,,,,,,,,,,26Q435,,,,,,,,,,,,,,,
Y24A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,10X342,,,,,,,,,,,,,,,
X44X,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,07X473,,,,,,,,,,,,,,,
Q38L,,,,,Engineering,,,,,,,,,,,75-100,,,,,26Q435,,,,,,,,,,75-100,,,,75-100,
A18A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,02M437,,,,,,,,,,,,,,,
M39A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,03M860,,,,,,,,,,,,,,,
,Queens/Staten Island A - L Students auditioning for a single studio in Dance or Drama only,12:00 PM,"Sunday, 12/8/2013",8:00 AM,Visual Art & Design,,"Saturday, 11/16/2013","Sunday, 11/3/2013",,Brooklyn A - Z Students auditioning for two or more* studios or Technical Theatre,Manhattan S - Z Students auditioning for a single studio except Technical Theatre,,,,Bronx A - Z Students auditioning for a single or multiple studios,80-100,8:00 AM,"Sunday, 12/8/2013",,Brooklyn A - L Students auditioning for a single studio except Technical Theatre,03M485,,Manhattan A - Z Students auditioning for two or more* studios or Technical Theatre,8:00 AM,Brooklyn M - Z Students auditioning for a single studio except Technical Theatre,"Sunday, 11/3/2013",,8:00 AM,,"Sunday, 11/24/2013",80-100,"Saturday, 11/23/2013",8:00 AM,8:00 AM,80-100,
Y35A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,12X267,,,,,,,,,,,,,,,
Q26G,,,,,Science & Math,,,,,,,,,,,,,,,,28Q350,,,,,,,,,,,,,,,
L50A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,18K642,,,,,,,,,,,,,,,
K64C,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,17K546,,,,,,,,,,,,,,,
Q85F,,,,,Science & Math,,,,,,,,,,,,,,,,25Q285,,,,,,,,,,,,,,,
K28H,,,,,Humanities & Interdisciplinary,,,,,,,,,,,85-100,,,,,20K445,,,,,,,,,,85-100,,,,85-100,
M19J,,,,,Engineering,,,,,,,,,,,80-100,,,,,06M540,,,,,,,,,,80-100,,,,80-100,
R20Z,,,,,Zoned,,,,,,,,,,,,,,,,31R440,,,,,,,,,,,,,,,
X25C,,,,,Computer Science & Technology,,,,,,,,,,,,,,,,11X455,,,,,,,,,,,,,,,
X62X,,,,,Health Professions,,,,,,,,,,,,,,,,10X237,,,,,,,,,,,,,,,
K06C,,,,,Film/Video,,,,,,,,,,,,,,,,17K537,,,,,,,,,,,,,,,
K70E,,,,,Engineering,,,,,,,,,,,75-100,,,,,13K605,,,,,,,,,,75-100,,,,75-100,
Q04R,,,,,Science & Math,,,,,,,,,,,,,,,,29Q248,,,,,,,,,,,,,,,
M79A,,,,,Business,,,,,,,,,,,,,,,,02M489,,,,,,,,,,,,,,,
K69M,,,,,Engineering,,,,,,,,,,,70-100,,,,,19K615,,,,,,,,,,70-100,,,,70-100,
L22A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,19K404,,,,,,,,,,,,,,,
Q67V,,,,,Health Professions,,,,,,,,,,,,,,,,28Q620,,,,,,,,,,85-100,,,,85-100,
M16K,,,,,Science & Math,,,,,,,,,,,80-100,,,,,04M435,,,,,,,,,,85-100,,,,80-100,
Q06C,,,,,Engineering,,,,,,,,,,,,,,,,27Q302,,,,,,,,,,,,,,,
A21A,,,,,Humanities & Interdisciplinary,,,,,,,Writing Sample,,,,80-100,,,,,03M417,,,,,,,,,,80-100,,,,80-100,
M45A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,02M529,,,,,,,,,,,,,,,
Q19M,,,,,Law & Government,,,"Wednesday, 11/13/2013",,,,,8:00 PM,,Last Name A-L,,,,,Last Name M-Z,28Q440,,,,Make-up for all students by appointment,"Tuesday, 11/12/2013",,,,,,"Thursday, 11/7/2013",,4:00 PM,,
Q34A,,,,,Business,,,,,,,,12:00 PM,,Major Art,,,,,Major Art,24Q455,Review of Attendance & Punctuality,,,,"Tuesday, 11/5/2013",,,,,,"Saturday, 10/19/2013",,9:00 AM,,
K38R,,,,,Humanities & Interdisciplinary,,,,,,,Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,,,,,,,,,21K337,,,,,,,,,,,,,,,
A25A,,,,,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,02M422,,,,,,,,,,,,,,,
M26D,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",,,,Performing Arts,2:30 PM,"Friday, 11/22/2013","Thursday, 11/7/2013",,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)","All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",,7:00 PM,2:30 PM,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",,11:30 AM,,7:00 PM,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",03M415,,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)",11:30 AM,"All Students (Dance, Drama, Vocal Music, Instrumental Music, Visual Arts)","Saturday, 11/2/2013",,4:00 PM,,,,"Friday, 11/1/2013",,4:00 PM,,7:00 PM
K50J,,,,,Science & Math,,,,,,,,,,,85-100,,,,,17K600,,,,,,,,,,85-100,,,,85-100,
