dbn,ethnicity_amerindian_pct_1,teacher_ethnicity_white_pct,n_pct_core_sci_all,val_attendance_k8_all,near_pct_asian,val_chronic_absent_ems_allem,val_pct_accel_p_all,ethnicity_pacific_pct,val_hs_9gr_credits_all,val_pct_accel_try_sci_all,qr_3_1,near_pct_amerindian,ethnicity_asian_pct_dist,val_prof_pct_watn3_mthlevel2,iep,n_pct_core_mth_all,qr_1_2,val_prof_2plus_watn3_elalevel1,n_ele_core_all,val_pct_accelerated_all,val_pct_accel_sci_all,ethnicity_white_pct_dist,val_pct_accel_try_lote_all,cap_sc_pct,val_chronic_absent_ems_alleh,teacher_ethnicity_hispanic,near_pct_pacific,median_distance,principal,val_pct_accel_p_sci_all,rr_p,val_prof_2plus_watn3_mthlevel1,val_ele_core_all,enrollment,ethnicity_hispanic_pct,val_chronic_absent_ems_alleb,eni_pct_k8,gender_female_pct,near_pct_hispanic,dates_of_review,n_prof_pct_watn3_mthlevel34,n_pct_accel_try_sci_all,ethnicity_asian_pct,n_prof_pct_watn5_elalevel2,survey_pp_se,n_pct_accel_mth_all,n_interaction_k8_all,teacher_attendance,rr_s,rating_mth_grade_5_pct_rs,hra_elig_pct
08X269,0.011,0.491,277,0.933,0.005,No Data,No Data,0.0,0.895,0,Proficient,0.004,0.06,No Data,0.319,277,Developing,No Data,No Data,0,0,0.038,0,0.116,0.797,0.226,0.001,0.4,DAVID VAZQUEZ,No Data,0%,No Data,No Data,285,0.814,0.804,0.919,0.558,0.695,2017-03-01T00:00:00.000,No Data,90,0.004,28,0.35,90,291,0.971,0%,2.37,0.838
06M328,0.003,0.238,156,0.901,0.011,No Data,No Data,0.0,0.798,0,Proficient,0.004,0.009,No Data,0.389,156,Developing,No Data,No Data,0,0,0.023,0,0.15,0.714,0.619,0.0,0.5,Olga Quiles,No Data,0%,No Data,No Data,167,0.826,0.524,0.922,0.413,0.769,2018-01-01T00:00:00.000,No Data,65,0.012,9,0.72,65,166,0.988,93%,2.14,0.856
14K582,0.004,0.5,316,0.925,0.069,No Data,1,0.0,0.904,0.287,Proficient,0.004,0.037,No Data,0.319,316,Proficient,No Data,No Data,0.287,0.287,0.126,0,0.082,0.751,0.2,0.002,0.6,JEFFREY MERCED,1,4%,No Data,No Data,329,0.699,0.663,0.875,0.444,0.612,2018-12-01T00:00:00.000,No Data,87,0.012,20,0.85,87,325,0.988,0%,2.28,0.781
09X204,0.005,0.698,No Data,0.936,0.005,No Data,No Data,0.0,No Data,No Data,No Data,0.006,0.008,0.091,0.262,No Data,Proficient,No Data,106,No Data,No Data,0.013,No Data,0.087,0.805,0.163,0.004,0.2,Amanda Blatter,No Data,79%,No Data,0.996,585,0.713,0.835,0.913,0.494,0.709,2014-12-02T00:00:00.000,69,No Data,0.007,No Data,0.89,No Data,602,0.969,,No Data,0.836
12X463,0.013,0.194,No Data,0.939,0.006,No Data,No Data,0.004,No Data,No Data,Proficient,0.01,0.037,No Data,0.298,No Data,Proficient,No Data,45,No Data,No Data,0.015,No Data,0.166,0.781,0.516,0.004,0.2,DEBRA JONES,No Data,58%,0.19,0.993,265,0.536,0.817,0.957,0.487,0.588,2017-05-01T00:00:00.000,14,No Data,0.004,No Data,0.86,No Data,277,0.973,,No Data,0.891
02M077,0.003,0.882,No Data,0.962,0.083,0.896,No Data,0.003,No Data,No Data,Well Developed,0.006,0.265,No Data,0.066,No Data,Well Developed,No Data,49,No Data,No Data,0.445,No Data,0.0,0.864,0,0.003,1.2,Sandra Miller,No Data,46%,No Data,1,362,0.061,No Data,0.112,0.478,0.393,2018-02-01T00:00:00.000,58,No Data,0.381,No Data,0.79,No Data,358,0.981,,No Data,0.055
04M497,0.01,No Data,No Data,0.931,0.054,1,No Data,0.007,No Data,No Data,Developing,0.007,0.036,No Data,0.293,No Data,Developing,No Data,22,No Data,No Data,0.035,No Data,0.0,0.742,No Data,0.003,0.6,"Feldberg, Gabriel",No Data,46%,No Data,1,150,0.42,0.778,0.586,0.473,0.529,2018-02-01T00:00:00.000,1,No Data,0.093,No Data,No Data,No Data,157,0.988,,No Data,0.36
27Q104,0.062,0.694,No Data,0.92,0.025,No Data,No Data,0.011,No Data,No Data,Proficient,0.02,0.213,0.216,0.213,No Data,Proficient,0.174,90,No Data,No Data,0.049,No Data,0.109,0.704,No Data,0.016,0.4,KATHLEEN GRADY,No Data,55%,0.226,0.981,568,0.521,0.709,0.875,0.437,0.357,2018-03-01T00:00:00.000,24,No Data,0.026,No Data,0.94,No Data,588,0.97,,No Data,0.794
24Q307,0.006,0.479,No Data,0.96,0.038,No Data,No Data,0.005,No Data,No Data,Proficient,0.003,0.185,0.444,0.229,No Data,Proficient,0.235,128,No Data,No Data,0.1,No Data,0.078,0.902,0.219,0.001,0.2,CECILIA JACKSON,No Data,74%,0.438,0.993,873,0.952,No Data,0.868,0.51,0.943,2018-01-01T00:00:00.000,75,No Data,0.019,No Data,0.8,No Data,866,0.984,,No Data,0.811
14K196,0.006,0.655,No Data,0.917,0.015,No Data,No Data,0.0,No Data,No Data,No Data,0.006,0.037,No Data,0.275,No Data,Proficient,No Data,56,No Data,No Data,0.223,No Data,0.078,0.701,0.31,0.0,0.3,Janine Colon,No Data,49%,No Data,0.988,269,0.743,0.643,0.875,0.55,0.714,2016-01-05T00:00:00.000,19,No Data,0.011,No Data,0.93,No Data,271,0.975,,No Data,0.788
29Q360,0.042,0.625,No Data,0.959,0.075,No Data,No Data,0.0,No Data,No Data,Proficient,0.036,0.186,No Data,0.113,No Data,Proficient,No Data,No Data,No Data,No Data,0.018,No Data,0.0,No Data,No Data,0.009,1.1,Rachel Thomas,No Data,86%,No Data,No Data,240,0.038,0.927,0.451,0.525,0.139,2018-02-01T00:00:00.000,No Data,No Data,0.004,No Data,0.92,No Data,239,0.984,,No Data,0.383
09X323,0.004,0.25,369,0.904,0.015,No Data,No Data,0.008,0.849,0,Proficient,0.006,0.008,No Data,0.258,369,Developing,No Data,No Data,0,0,0.012,0,0.089,0.683,0.325,0.004,0.5,Lauren Hasson,No Data,19%,No Data,No Data,383,0.661,0.613,0.958,0.504,0.656,2017-02-01T00:00:00.000,No Data,140,0.008,35,No Data,140,396,0.98,0%,2.42,0.903
28Q287,0.036,0.214,344,0.918,0.116,No Data,1,0.078,0.939,0.276,Proficient,0.047,0.262,No Data,0.214,344,Proficient,No Data,No Data,0.276,0.276,0.151,0,0.103,0.657,No Data,0.02,0.8,Jakub Lau,1,5%,No Data,No Data,359,0.259,0.676,0.799,0.446,0.266,2019-02-01T00:00:00.000,No Data,98,0.173,30,0.66,98,365,0.972,89%,2.5,0.727
17K221,0.013,No Data,No Data,0.911,0.002,No Data,No Data,0.01,No Data,No Data,Proficient,0.01,0.027,No Data,0.219,No Data,Developing,No Data,37,No Data,No Data,0.049,No Data,0.085,0.579,No Data,0.002,0.3,Stephanie Martin,No Data,35%,No Data,0.873,201,0.085,0.658,0.857,0.488,0.122,2018-03-01T00:00:00.000,21,No Data,0.0,No Data,0.76,No Data,200,0.984,,No Data,0.806
25Q024,0.005,0.6,No Data,0.964,0.844,No Data,No Data,0.001,No Data,No Data,Well Developed,0.005,0.562,0.767,0.114,No Data,Well Developed,0.2,179,No Data,No Data,0.115,No Data,0.032,0.806,No Data,0.0,0.3,DEBRA CASSIDY,No Data,51%,0.867,0.984,1031,0.115,No Data,0.73,0.466,0.125,2018-11-01T00:00:00.000,136,No Data,0.846,No Data,0.83,No Data,1047,0.985,,No Data,0.645
05M362,0.011,0.75,290,0.969,0.028,No Data,0.989,0.007,0.987,0.928,Well Developed,0.012,0.019,No Data,0.195,290,Well Developed,No Data,No Data,0.928,0.928,0.061,0.897,0.041,0.946,No Data,0.004,1.4,Miriam Nightengale,1,2%,No Data,No Data,292,0.315,0.857,0.476,0.497,0.46,2018-12-01T00:00:00.000,No Data,97,0.106,13,0.74,97,292,0.98,0%,3.97,0.347
19K557,0.017,0.259,No Data,0.909,0.01,No Data,No Data,0.0,No Data,No Data,No Data,0.007,0.095,0,0.31,No Data,Proficient,No Data,39,No Data,No Data,0.02,No Data,0.057,0.568,0.259,0.0,0.1,Irene Spence,No Data,40%,No Data,0.953,261,0.341,0.695,0.954,0.442,0.275,2015-02-05T00:00:00.000,12,No Data,0.004,No Data,No Data,No Data,270,0.978,,No Data,0.881
08X100,0.012,0.674,No Data,0.9,0.01,No Data,No Data,0.0,No Data,No Data,Proficient,0.01,0.055,No Data,0.32,No Data,Proficient,0,81,No Data,No Data,0.044,No Data,0.148,0.569,0.186,0.0,0.2,ARIANA ARBOLINO,No Data,41%,0.212,1,506,0.674,0.615,0.912,0.48,0.594,2019-12-01T00:00:00.000,15,No Data,0.008,No Data,No Data,No Data,509,0.966,,No Data,0.836
10X095,0.007,0.57,446,0.912,0.026,No Data,0.983,0.006,0.952,0.356,Proficient,0.004,0.037,No Data,0.211,446,Proficient,No Data,No Data,0.356,0.356,0.046,0,0.071,0.648,0.244,0.002,0.4,SERGE DAVIS,1,56%,No Data,No Data,1143,0.715,0.83,0.885,0.504,0.682,2018-03-01T00:00:00.000,No Data,163,0.055,47,0.66,163,1141,0.976,94%,No Data,0.793
16K262,0.011,No Data,No Data,0.909,0.013,No Data,No Data,0.0,No Data,No Data,Proficient,0.006,0.008,No Data,0.22,No Data,Proficient,No Data,27,No Data,No Data,0.03,No Data,0.047,0.611,No Data,0.004,0.3,JOELETHA FERGUSON,No Data,60%,No Data,0.911,127,0.142,0.705,0.89,0.472,0.138,2017-12-01T00:00:00.000,11,No Data,0.0,No Data,0.83,No Data,129,0.973,,No Data,0.843
27Q362,0.062,0.714,No Data,0.931,0.017,No Data,No Data,0.002,No Data,No Data,Proficient,0.004,0.213,0.267,0.21,No Data,Proficient,No Data,85,No Data,No Data,0.049,No Data,0.094,0.773,0.143,0.004,0.2,Gemma Ferguson,No Data,23%,No Data,0.99,467,0.63,0.729,0.832,0.46,0.537,2019-03-01T00:00:00.000,44,No Data,0.013,No Data,0.93,No Data,461,0.975,,No Data,0.762
21K329,0.008,0.281,No Data,0.898,0.037,No Data,No Data,0.0,No Data,No Data,Proficient,0.012,0.277,No Data,0.316,No Data,Developing,0,61,No Data,No Data,0.375,No Data,0.177,0.66,0.188,0.002,0.2,SALEMA MARBURY,No Data,59%,0.211,0.936,339,0.283,0.484,0.957,0.493,0.284,2017-12-01T00:00:00.000,15,No Data,0.047,No Data,0.79,No Data,356,0.985,,No Data,0.92
19K089,0.015,0.128,185,0.95,0.038,No Data,0,0.0,0.921,0,Proficient,0.018,0.071,No Data,0.26,185,Proficient,No Data,No Data,0,0,0.017,0.919,0.026,0.896,0.83,0.002,0.4,IRENE LEON,No Data,49%,No Data,No Data,457,0.967,No Data,0.876,0.497,0.653,2018-02-01T00:00:00.000,No Data,62,0.004,4,0.78,62,458,0.976,88%,No Data,0.805
04M182,0.01,0.222,No Data,0.922,0.055,No Data,No Data,0.0,No Data,No Data,Proficient,0.008,0.036,0.28,0.311,No Data,Developing,No Data,56,No Data,No Data,0.035,No Data,0.015,0.74,0.583,0.002,0.3,Yazmin Perez,No Data,86%,No Data,1,270,0.944,No Data,0.95,0.5,0.639,2016-12-01T00:00:00.000,24,No Data,0.007,No Data,0.91,No Data,273,0.971,,No Data,0.867
24Q311,0.005,0.522,746,0.952,0.094,No Data,0.19,0.001,0.888,0.186,Proficient,0.002,0.192,No Data,0.219,746,Proficient,No Data,No Data,0.186,0.186,0.076,0.886,0.079,0.878,0.343,0.001,0.5,Beth Hert,1,0%,No Data,No Data,762,0.965,No Data,0.886,0.509,0.891,2017-01-01T00:00:00.000,No Data,306,0.012,72,0.72,306,753,0.979,94%,2.52,0.818
04M037,0.01,0.704,No Data,0.913,0.023,No Data,No Data,0.0,No Data,No Data,Well Developed,0.006,0.036,No Data,0.33,No Data,Well Developed,No Data,26,No Data,No Data,0.035,No Data,0.009,0.684,No Data,0.003,0.3,Michael Panetta,No Data,65%,No Data,0.991,221,0.502,0.587,0.881,0.475,0.646,2020-01-01T00:00:00.000,19,No Data,0.005,No Data,0.84,No Data,223,0.983,,No Data,0.787
09X593,0.004,No Data,88,0.945,0.013,No Data,No Data,0.0,No Data,No Data,Proficient,0.006,0.008,No Data,0.156,88,Developing,No Data,No Data,No Data,No Data,0.012,No Data,0.042,0.849,No Data,0.004,0.6,ALISON ANGRISANI,No Data,29%,No Data,No Data,96,0.865,No Data,0.895,0.49,0.603,2019-12-01T00:00:00.000,No Data,No Data,0.0,No Data,0.81,No Data,100,0.954,100%,1.99,0.781
11X326,0.014,0.357,390,0.93,0.047,No Data,1,0.0,0.879,0.272,Proficient,0.005,0.066,No Data,0.198,390,Proficient,No Data,No Data,0.272,0.272,0.041,0,0.053,0.715,0.214,0.004,0.5,Charles Johnson,1,14%,No Data,No Data,415,0.583,0.798,0.846,0.477,0.573,2019-01-01T00:00:00.000,No Data,125,0.039,34,0.78,125,403,0.975,0%,2.41,0.764
08X140,0.012,0.261,No Data,0.907,0.003,No Data,No Data,0.0,No Data,No Data,Proficient,0.011,0.055,0.296,0.241,No Data,Developing,0.129,74,No Data,No Data,0.044,No Data,0.117,0.621,0.217,0.001,0.2,PAUL CANNON,No Data,35%,0.276,0.942,506,0.632,0.639,0.947,0.472,0.556,2017-02-01T00:00:00.000,20,No Data,0.0,No Data,No Data,No Data,523,0.975,,No Data,0.885
20K192,0.003,0.691,170,0.938,0.159,No Data,No Data,0.01,0.945,0,Proficient,0.005,0.474,No Data,0.217,170,Proficient,No Data,No Data,0,0,0.242,0,0.003,0.858,0.2,0.01,0.3,LISET ISAAC,No Data,52%,No Data,No Data,609,0.461,No Data,0.872,0.51,0.422,2019-02-01T00:00:00.000,No Data,59,0.164,17,0.74,59,615,0.974,99%,No Data,0.8
10X382,0.007,0.632,No Data,0.928,0.006,No Data,No Data,0.007,No Data,No Data,Proficient,0.004,0.037,No Data,0.198,No Data,Proficient,No Data,49,No Data,No Data,0.053,No Data,0.007,0.755,No Data,0.004,0.1,AVON CONNELL COWELL,No Data,71%,0,0.98,278,0.745,0.803,0.961,0.511,0.814,2017-01-01T00:00:00.000,20,No Data,0.0,No Data,0.79,No Data,275,0.984,,No Data,0.885
25Q201,0.005,0.844,No Data,0.913,0.118,No Data,No Data,0.007,No Data,No Data,Well Developed,0.003,0.562,0.263,0.265,No Data,Proficient,No Data,61,No Data,No Data,0.115,No Data,0.115,0.638,No Data,0.0,0.2,Umit Serin,No Data,33%,0.353,0.94,419,0.394,0.665,0.81,0.453,0.389,2019-10-01T00:00:00.000,23,No Data,0.136,No Data,0.63,No Data,411,0.971,,No Data,0.74
23K518,0.016,No Data,167,0.93,0.008,No Data,1,0.0,0.803,0.338,Proficient,0.011,0.007,No Data,0.343,167,Developing,No Data,No Data,0.338,0.338,0.009,0,0.116,0.55,No Data,0.002,0.8,Ronda Phillips,1,9%,No Data,No Data,181,0.11,0.77,0.882,0.45,0.175,2018-04-01T00:00:00.000,No Data,65,0.0,16,0.62,65,173,0.976,100%,2.21,0.801
25Q285,0.003,0.69,263,0.95,0.571,No Data,1,0.0,1,0.963,Proficient,0.004,0.555,No Data,0.184,263,Proficient,No Data,No Data,0.963,0.963,0.128,0,0.004,0.891,0.119,0.002,1.5,JANINE WERNER,1,31%,No Data,No Data,267,0.375,No Data,0.444,0.539,0.213,2017-12-01T00:00:00.000,No Data,82,0.187,15,No Data,82,264,0.982,0%,3.26,0.38
05M148,0.011,0.25,136,0.889,0.014,No Data,0.978,0.0,0.877,0.898,Well Developed,0.009,0.019,No Data,0.382,136,Proficient,No Data,No Data,0.898,0.898,0.061,0,0.076,0.738,0.167,0.003,0.8,Mahaliel H. Bethea II,1,10%,No Data,No Data,144,0.285,0.625,0.873,0.0,0.459,2016-12-01T00:00:00.000,No Data,49,0.0,14,0.57,49,131,0.976,33%,2.47,0.72
28Q040,0.038,0.4,No Data,0.915,0.08,No Data,No Data,0.111,No Data,No Data,Proficient,0.028,0.283,0.158,0.229,No Data,Proficient,No Data,79,No Data,No Data,0.171,No Data,0.129,0.545,No Data,0.04,0.3,ALISON BRANKER,No Data,91%,0.227,0.965,341,0.273,0.688,0.862,0.499,0.247,2016-11-01T00:00:00.000,34,No Data,0.07,No Data,0.88,No Data,341,0.971,,No Data,0.798
22K277,0.01,0.912,No Data,0.942,0.116,No Data,No Data,0.003,No Data,No Data,Well Developed,0.0,0.166,No Data,0.24,No Data,Proficient,No Data,67,No Data,No Data,0.31,No Data,0.057,0.882,No Data,0.091,0.4,Theresa Vlantis,No Data,57%,No Data,1,388,0.129,No Data,0.404,0.472,0.148,2019-05-01T00:00:00.000,44,No Data,0.165,No Data,0.86,No Data,387,0.97,,No Data,0.338
27Q106,0.062,0.278,No Data,0.89,0.012,No Data,No Data,0.0,No Data,No Data,Proficient,0.014,0.213,No Data,0.355,No Data,Developing,No Data,24,No Data,No Data,0.049,No Data,0.16,0.534,No Data,0.016,0.3,Rachelle Legions,No Data,32%,No Data,0.986,169,0.325,0.573,0.961,0.485,0.239,2020-02-01T00:00:00.000,15,No Data,0.012,No Data,0.74,No Data,166,0.981,,No Data,0.923
11X189,0.012,0.355,No Data,0.92,0.0,No Data,No Data,0.003,No Data,No Data,Proficient,0.004,0.082,0.2,0.217,No Data,Proficient,No Data,55,No Data,No Data,0.061,No Data,0.093,0.662,0.29,0.0,0.2,James Bellon,No Data,49%,No Data,0.958,323,0.449,0.698,0.857,0.517,0.509,2018-11-01T00:00:00.000,27,No Data,0.003,No Data,0.56,No Data,322,0.968,,No Data,0.811
22K195,0.01,0.862,No Data,0.933,0.028,No Data,No Data,0.0,No Data,No Data,Well Developed,0.0,0.166,No Data,0.072,No Data,Well Developed,No Data,63,No Data,No Data,0.31,No Data,0.021,No Data,No Data,0.0,0.4,Bernadette Toomey,No Data,80%,No Data,1,470,0.011,No Data,0.293,0.519,0.044,2019-12-01T00:00:00.000,61,No Data,0.017,No Data,0.94,No Data,471,0.972,,No Data,0.234
08X071,0.011,0.67,547,0.932,0.102,0.667,0.816,0.003,0.928,0,Proficient,0.004,0.053,No Data,0.21,547,Proficient,No Data,No Data,0.189,0,0.049,0,0.051,0.75,0.241,0.002,0.3,Margaret Mirando,No Data,20%,No Data,No Data,1455,0.64,0.662,0.629,0.482,0.647,2020-02-01T00:00:00.000,No Data,164,0.09,38,0.7,164,1461,0.971,0%,No Data,0.546
25Q025,0.003,0.672,1040,0.97,0.558,No Data,0.274,0.005,0.958,0.273,Proficient,0.006,0.555,No Data,0.15,1040,Proficient,No Data,No Data,0.273,0.273,0.128,0,0.041,0.85,0.078,0.005,0.7,MARY ELLEN BEIRNE,1,24%,No Data,No Data,1066,0.219,0.762,0.504,0.45,0.218,2016-11-01T00:00:00.000,No Data,362,0.577,74,0.73,362,1073,0.972,95%,3.39,0.432
19K306,0.017,0.286,No Data,0.902,0.003,No Data,No Data,0.0,No Data,No Data,Proficient,0.014,0.095,0,0.312,No Data,Developing,0.1,46,No Data,No Data,0.02,No Data,0.045,0.548,No Data,0.009,0.2,Lenika Vane,No Data,27%,0.091,0.948,247,0.223,0.621,0.963,0.543,0.217,2018-05-01T00:00:00.000,7,No Data,0.004,No Data,0.83,No Data,255,0.963,,No Data,0.915
23K150,0.01,No Data,No Data,0.887,0.003,No Data,No Data,0.0,No Data,No Data,Developing,0.015,0.009,No Data,0.304,No Data,Developing,No Data,16,No Data,No Data,0.014,No Data,0.12,0.621,0,0.003,0.2,Pamela Bradley Muchere,No Data,36%,No Data,0.947,158,0.342,0.538,0.981,0.462,0.337,2017-05-01T00:00:00.000,2,No Data,0.006,No Data,0.84,No Data,155,0.973,,No Data,0.937
10X307,0.007,0.613,No Data,0.952,0.069,No Data,No Data,0.0,No Data,No Data,Proficient,0.0,0.037,0.056,0.189,No Data,Proficient,No Data,42,No Data,No Data,0.053,No Data,0.027,0.891,0.258,0.003,0.1,Yolanda Valez,No Data,84%,0,0.994,301,0.847,0.7,0.899,0.462,0.81,2016-11-01T00:00:00.000,11,No Data,0.066,No Data,0.77,No Data,301,0.98,,No Data,0.811
10X291,0.007,0.548,No Data,0.922,0.014,No Data,No Data,0.0,No Data,No Data,Well Developed,0.011,0.037,0.2,0.207,No Data,Proficient,0.048,92,No Data,No Data,0.053,No Data,0.089,0.745,0.381,0.0,0.2,CARLOS VELEZ,No Data,38%,0,0.964,576,0.917,0.667,0.925,0.484,0.872,2018-10-01T00:00:00.000,40,No Data,0.003,No Data,0.87,No Data,587,0.97,,No Data,0.863
18K763,0.01,0.367,347,0.952,0.007,No Data,0.516,0.003,0.958,0.286,Well Developed,0.012,0.011,No Data,0.198,347,Well Developed,No Data,No Data,0.286,0.286,0.031,0,0.025,0.808,No Data,0.004,0.7,ANGELA DEFILIPPIS,1,14%,No Data,No Data,353,0.074,0.886,0.596,0.374,0.063,2020-02-01T00:00:00.000,No Data,112,0.011,22,0.76,112,353,0.983,6%,2.63,0.501
10X118,0.006,0.541,1010,0.924,0.006,No Data,0.99,0.01,0.896,0.556,Proficient,0.005,0.036,No Data,0.212,1010,Proficient,No Data,No Data,0.556,0.556,0.041,0,0.065,0.706,0.188,0.001,0.9,GIULIA COX,1,1%,No Data,No Data,1047,0.618,0.688,0.901,0.496,0.696,2017-03-01T00:00:00.000,No Data,358,0.133,76,0.61,358,1030,0.966,71%,2.89,0.806
07X223,0.008,0.314,297,0.932,0.002,No Data,0,0.0,0.959,0,Well Developed,0.005,0.005,No Data,0.182,297,Proficient,No Data,No Data,0,0,0.011,0.304,0.027,0.799,0.353,0.003,0.4,DR. RAMON GONZALEZ,No Data,2%,No Data,No Data,297,0.818,0.738,0.908,0.552,0.719,2019-10-01T00:00:00.000,No Data,79,0.01,34,0.73,79,297,0.978,21%,3.15,0.827
15K146,0.004,0.547,No Data,0.94,0.077,0.839,No Data,0.0,No Data,No Data,Proficient,0.005,0.193,No Data,0.331,No Data,Proficient,No Data,75,No Data,No Data,0.364,No Data,0.006,0.673,0.208,0.002,2.2,ANNA ALLANBROOK,No Data,35%,No Data,0.991,668,0.219,0.846,0.386,0.503,0.253,2020-01-01T00:00:00.000,2,No Data,0.051,No Data,0.93,No Data,666,0.965,,No Data,0.271
