bin,filing_representative_first_name,boiler_equipment_work_type_,initial_cost,little_e,special_inspection_agency_number,house_no,postcode,specialinspectionrequirement,approved_date,place_of_assembly_work_type_,shed,scaffold,lot,street_name,bbl
1015680,ROBERT,0,0.0,No,,31,10001.0,,2023-12-08T08:59:45.000,0,0,0,16,WEST   27 STREET,1008290016.0
4208839,TANUPREET,0,5000.0,No,,159-29,11432.0,,,0,0,1,56,JAMAICA AVENUE,4097560056.0
1011843,,0,9000.0,No,,720,10014.0,,2023-03-09T19:51:45.000,0,0,0,17,GREENWICH STREET,1006320017.0
3340150,,0,20000.0,No,001583,175,11232.0,Tenant Protection Plan Compliance,2023-02-27T12:40:03.000,0,0,0,40,34 STREET,3006840040.0
1017206,JULIAN,0,68250.0,No,002003,52,10016.0,"Fire-Resistant Penetrations and Joints,Tenant Protection Plan Compliance",2024-11-12T08:12:52.000,0,0,0,7501,PARK AVENUE,1008677501.0
5025251,,0,12000.0,No,,2089,10302.0,,2023-07-17T08:21:32.000,0,0,0,67,RICHMOND TERRACE,5010680067.0
3342331,AJ,0,57438.0,No,7854,973,11221.0,"Fire-Resistant Penetrations and Joints,Structural Stability – Alterations of existing buildings",2024-03-14T15:04:00.000,0,0,0,152,MADISON STREET,3033570152.0
1034248,JOHN,0,4000.0,No,,17,10036.0,,,0,1,0,27,WEST 45 STREET,1012610027.0
3404524,MOSES,0,10000.0,No,8885,61 GAR,11218.0,"Construction Operations Influencing Adjacent Structures,Demolition,Structural Stability – Alterations of existing Buildings",2023-07-27T14:03:20.000,0,0,0,25,TEHAMA STREET,3053090025.0
1026752,KRISTIN,0,25000.0,No,513,795,10019.0,"Masonry,Post-installed Anchors",2022-06-08T16:14:18.000,0,0,0,36,9 AVENUE,1010620036.0
2092749,MOHAMMED,0,15000.0,No,,800,10473.0,,,0,1,0,1,SOUNDVIEW AVENUE,2036370001.0
1091585,KAYLEIGH,0,8000.0,No,,1228,10128.0,,2022-07-06T09:56:14.000,0,0,0,54,MADISON AVENUE,1015000054.0
4244210,,0,50402.0,No,005900,116-08,11411.0,"Fire-Resistant Penetrations and Joints,Structural Stability – Alterations of existing buildings",2025-01-02T10:58:13.000,0,0,0,38,217 STREET,4113170038.0
1032218,Daniel,0,224000.0,No,5859,176,10024.0,"Fire-Resistant Penetrations and Joints,Mechanical Systems",2023-07-13T10:52:31.000,0,0,0,64,WEST   87 STREET,1012170064.0
3139398,,0,14880.0,No,03864,1219,11219.0,"Fire-Resistant Penetrations and Joints,Structural Stability – Alterations of existing buildings",2025-01-07T08:14:41.000,0,0,0,68,55 STREET,3056760068.0
3161392,ZHEN,0,4500.0,No,"4802,6244",1651,11214.0,"Fire-Resistant Penetrations and Joints,Tenant Protection Plan Compliance",2025-03-26T09:46:57.000,0,0,0,41,78 STREET,3062470041.0
1077363,JONATHAN,0,100.0,No,000423,712,10019.0,Demolition,2021-04-02T14:10:53.000,0,0,0,38,5 AVENUE,1012710038.0
1044826,,0,248000.0,No,005100,328,10021.0,"Fuel-Oil Storage and Fuel-Oil Piping Systems,Tenant Protection Plan Compliance",2024-01-17T08:40:42.000,0,0,0,31,EAST   70 STREET,1014440031.0
4049497,,0,3000.0,No,,108-39,11368.0,,2018-02-23T12:04:55.000,0,0,0,69,48 AVENUE,4020030069.0
4038415,,0,20000.0,Yes,007330,82-02,11373.0,Fire-Resistant Penetrations and Joints,2024-06-10T11:39:20.000,0,0,0,201,45 AVENUE,4015360201.0
1010593,lloyd,0,33999.98,No,,125,10011.0,,2022-03-30T11:06:42.000,0,0,0,58,WEST   11 STREET,1006070058.0
3001726,RUMYANA,0,14000.0,No,,111,11201.0,,2024-05-31T12:32:45.000,0,0,0,19,HICKS STREET,3002310019.0
1042110,MARSHA,0,65025.0,No,266,168,10065.0,"Concrete - Cast-In-Place,Masonry,Post-installed Anchors,Sprayed fire-resistant materials,Structural Stability – Alterations of existing buildings,Structural Steel - Details,Structural Steel - High Strength Bolting,Structural Steel - Welding",2022-02-03T12:34:37.000,0,0,0,48,EAST   64 STREET,1013980048.0
1036224,PAULA,0,1700.0,Yes,,111,10017.0,,2019-04-01T09:49:47.000,0,0,0,14,EAST 48 STREET,1013030014.0
3098943,,0,8000.0,No,,860,11208.0,,,0,1,0,27,PINE STREET,3045270027.0
1041802,ALEXANDER,0,149625.0,No,4205,70,10075.0,Fire-Resistant Penetrations and Joints,2023-01-18T10:29:09.000,0,0,0,45,EAST   77 STREET,1013910045.0
1078586,MU/RO/BR/SE,0,4000.0,No,"1933,5859",226,10128.0,"Fire-Resistant Penetrations and Joints,Tenant Protection Plan Compliance",2024-01-09T11:17:05.000,0,0,0,36,EAST   87 STREET,1015320036.0
3346512,,0,60000.0,Yes,1808,205,11201.0,"Mechanical Systems,Tenant Protection Plan Compliance",2024-01-10T12:43:22.000,0,0,0,1,STATE STREET,3002710001.0
1088910,JOSEPH,0,0.0,No,,11,10010.0,,2022-12-09T14:21:02.000,1,0,0,7501,MADISON AVENUE,1008547501.0
5039658,Don,0,55000.0,Yes,5344,2655,10314.0,Mechanical Systems,2023-03-17T18:00:42.000,0,0,0,180,RICHMOND AVENUE,5024000180.0
1091776,RASHIDAH,0,3000.0,No,006818,1481,10075.0,Sprinkler Systems,2022-05-16T15:27:03.000,0,0,0,21,2 AVENUE,1014320021.0
1035776,ANNA,0,37500.0,No,4983,717,10022.0,"Fire-Resistant Penetrations and Joints,Post-installed Anchors,Sprinkler Systems",2025-03-12T12:19:26.000,0,0,0,7501,FIFTH AVENUE,1012917501.0
1013885,SARAH,0,39000.0,No,00592,250,10011.0,Fire-Resistant Penetrations and Joints,2022-06-08T15:50:00.000,0,0,0,59,WEST   19 STREET,1007680059.0
3066496,,0,515000.0,No,"003882,006175,5671",195,11222.0,"Concrete - Cast-In-Place,Fire-Resistant Penetrations and Joints,Masonry,Post-installed Anchors,Private On-Site Storm Water Disposal Systems-, and Detention Facilities, Installation,Structural Cold-Formed Steel,Structural Stability – Alterations of existing buildings,Structural Steel - Details,Structural Steel - High Strength Bolting,Structural Steel - Welding",2025-10-15T15:35:26.000,0,0,0,30,NORTH HENRY STREET,3026550030.0
1009622,PETER,0,149000.0,No,1741,15,10011.0,"Masonry,Structural Stability – Alterations of existing buildings",2022-03-07T17:10:50.000,0,0,0,49,WEST   12 STREET,1005760049.0
1091643,JEEWAN,0,15500.0,Yes,,310,10013.0,,2023-12-08T14:39:13.000,0,0,0,47,HUDSON STREET,1005790047.0
4623420,ELY,0,1.0,No,,59-20,11378.0,,2021-10-29T15:07:37.000,0,1,0,50,BORDEN AVENUE,4026570050.0
4137812,ROSE,0,30000.0,No,,38-16,11361.0,,2021-03-17T13:21:05.000,0,0,0,11,221 STREET,4062530011.0
4139584,,0,25000.0,No,7225,138-20,11355.0,Fire-Resistant Penetrations and Joints,2022-06-01T08:39:15.000,0,0,0,26,58 ROAD,4063780026.0
2092807,MOHAMMED,0,10000.0,No,,1060,10472.0,,2024-04-25T09:09:59.000,0,1,0,1,BEACH AVENUE,2037300001.0
1035335,JOSEPH,0,80275.0,No,510,60,10017.0,"Fire-Resistant Penetrations and Joints,Sprinkler Systems,Standpipe Systems",2024-09-30T10:40:42.000,0,0,0,42,EAST   42 STREET,1012760042.0
1082102,ANDREW,0,19998.0,No,000513,100,10016.0,"Structural Steel - Details,Structural Steel - High Strength Bolting,Structural Steel - Welding",,0,0,0,88,EAST   30 STREET,1008850088.0
4211275,MOHAMMAD,0,5000.0,No,,172-35,11432.0,,,0,0,0,75,HENLEY ROAD,4098830075.0
2118134,WALTER,0,5000.0,No,001290,1260,10474.0,Fire-Resistant Penetrations and Joints,2020-05-04T09:11:10.000,0,0,0,2,RYAWA AVENUE,2027800002.0
2009646,,0,1.0,No,,1511,10457.0,,2022-05-17T12:03:59.000,0,0,0,30,FULTON AVENUE,2029280030.0
5170926,CAN,0,61000.0,No,3868,429,10305.0,Sprinkler Systems,2022-05-10T20:24:19.000,0,0,0,12,TOMPKINS AVENUE,5028460012.0
2023990,TODD,0,152941.35,No,001102,1580,10472.0,"Fire-Resistant Penetrations and Joints,Mechanical Systems",2021-10-21T09:22:57.000,0,0,0,40,WESTCHESTER AVENUE,2037430040.0
4286188,LIONEL,0,125902.0,No,,182-22,11413.0,,2024-12-17T09:26:45.000,0,0,0,1,150 AVENUE,4134150001.0
3043487,YUN ZHEN,0,198000.0,No,000394,979,11221.0,"Fire-Resistant Penetrations and Joints,Structural Stability – Alterations of existing buildings",2021-06-24T14:30:56.000,0,0,0,7501,LAFAYETTE AVENUE,3016077501.0
1028167,NORBERT,0,16500.0,No,,22,10023.0,,2022-02-24T09:01:13.000,0,0,0,7502,WEST   66 STREET,1011187502.0
4066200,Chang,0,0.0,No,005865,54-27,11373.0,"Construction Operations Influencing Adjacent Structures,Excavations - Sheeting, Shoring, and Bracing,Subgrade Inspections",2023-08-15T09:31:53.000,0,0,0,28,82 STREET,4029060028.0
1013767,JULIO,0,0.0,No,,231,10011.0,,2025-08-22T15:16:49.000,0,0,0,19,WEST   15 STREET,1007650019.0
3189418,,0,63850.0,No,7854,4620,11224.0,"Fire-Resistant Penetrations and Joints,Structural Stability – Alterations of existing buildings",2025-09-05T15:57:59.000,0,0,0,12,BEACH   46 STREET,3070370012.0
3429612,ELY,0,1.0,Yes,,9,11211.0,,2024-03-05T09:48:11.000,0,0,1,14,BUSHWICK AVENUE,
3141676,BRIAN,0,39200.0,No,001856,6309,11220.0,"Fire-Resistant Penetrations and Joints,Mechanical Systems",2023-08-17T15:03:52.000,0,0,0,1,8 AVENUE,3057350001.0
4619928,,0,0.0,Yes,,148-18,11435.0,,,1,0,0,110,ARCHER AVENUE,4099980110.0
4112570,KHEMRAJ,0,13000.0,No,7792,140-33,11354.0,Structural Stability – Alterations of existing buildings,2024-08-22T15:47:58.000,0,0,0,78,34 AVENUE,4049810078.0
3004336,RENNY,0,23000.0,No,400,396,11231.0,"Structural Steel - Details,Structural Steel - High Strength Bolting,Structural Steel - Welding",2024-05-17T15:08:00.000,0,0,0,33,CLINTON STREET,3003380033.0
1040765,Niccolo,0,228711.0,No,,785,10022.0,"Mechanical Systems,Tenant Protection Plan Compliance",,0,0,0,69,FIFTH AVENUE,1013740069.0
4294217,,0,39375.0,No,7341,16341,11414.0,"Fire-Resistant Penetrations and Joints,Structural Stability – Alterations of existing buildings",2025-05-01T10:59:03.000,0,0,0,64,83 STREET,4140670064.0
3063337,KATARZYNA,0,150000.0,No,"3955,4174",357,11211.0,"Fire-Resistant Penetrations and Joints,Masonry,Structural Stability – Alterations of existing buildings",2023-08-04T09:39:29.000,0,0,0,17,KEAP STREET,3024360017.0
4075223,DINESH,0,8000.0,No,,102-30,11375.0,,,0,0,1,7501,QUEENS BOULEVARD,4031737501.0
4274293,AJ,0,46347.0,No,07854,122-56,11413.0,"Fire-Resistant Penetrations and Joints,Structural Stability – Alterations of existing buildings",2025-02-07T17:05:02.000,0,0,0,58,SPRINGFIELD BOULEVARD,4127330058.0
1018089,JIN MOON,0,6640.0,No,,333,10010.0,,2022-05-13T09:02:16.000,0,0,0,92,PARK AVENUE SOUTH,1008800092.0
3005883,,0,12000.0,No,005633,157,11217.0,Fire-Resistant Penetrations and Joints,2021-05-04T15:50:22.000,0,0,0,62,WYCKOFF STREET,3003860062.0
4120240,JOSHUA,0,31200.0,No,2454,192-23,11358.0,Fire-Resistant Penetrations and Joints,2023-03-22T11:24:50.000,0,0,0,40,STATION ROAD,4053250040.0
3107633,,0,3800.0,No,,131,11203.0,,2020-02-19T09:50:09.000,0,0,0,60,EAST 45 STREET,3048250060.0
3023976,MIN,0,9000.0,No,006781,239,11215.0,Mechanical Systems,2024-10-22T11:16:24.000,0,0,0,54,16 STREET,3010480054.0
3066746,ANTONIO,0,50000.0,No,3155,517,11222.0,Fire-Resistant Penetrations and Joints,2022-05-24T08:52:09.000,0,0,0,26,LEONARD STREET,3026800026.0
3329423,ANTHONY,0,36000.0,No,00678,45,11201.0,Mechanical Systems,2023-01-31T09:04:35.000,0,0,0,1,MAIN STREET,3000370001.0
3165865,CHI-MAN,0,15000.0,No,,2039,11214.0,,2023-02-14T16:38:47.000,0,0,0,62,86 STREET,3063460062.0
4250348,,0,30750.0,No,9281,116-20,11420.0,"Fire-Resistant Penetrations and Joints,Structural Stability – Alterations of existing buildings",2025-05-28T12:34:53.000,0,0,0,10,111 AVENUE,4116210010.0
3078324,NIKITA,0,17500.0,No,006357,201,11221.0,Fire-Resistant Penetrations and Joints,2023-06-08T16:21:08.000,0,0,0,53,WEIRFIELD STREET,3033970053.0
1031373,,0,15000.0,No,,10,10024.0,,,0,1,0,40,WEST   86 STREET,1011990040.0
3379800,PETER,0,1000.0,No,,211,11222.0,,,0,0,0,7501,MCGUINESS BOULEVARD,3025767501.0
1015771,MARK,0,480000.0,No,,24,10001.0,"Fire-Resistant Penetrations and Joints,Post-installed Anchors",2025-11-05T10:38:29.000,0,0,0,7501,WEST   30 STREET,1008317501.0
1013552,RAFAEL,0,195000.0,Yes,002827,315,10001.0,"Fire-Resistant Penetrations and Joints,Sprinkler Systems",2022-08-26T10:36:36.000,0,0,0,22,WEST   33 STREET,1007570022.0
1009098,JOHN,0,30000.0,No,,40,10003.0,,,0,1,0,14,EAST 10 STREET,1005610014.0
3136210,CHARLIE,0,1.0,No,,4320,11219.0,,,0,1,1,46,14 AVENUE,3056050046.0
3071356,MOHAMMED,0,10000.0,No,,111,11206.0,,,0,0,1,70,HUMBOLDT STREET,3030800070.0
1012326,KEYANA,0,10000.07,No,000666,535,10011.0,Sprinkler Systems,2022-09-12T12:02:39.000,0,0,0,14,WEST   22 STREET,1006940014.0
2005121,,0,10000.0,No,002018,650,10455.0,"Mechanical Systems,Tenant Protection Plan Compliance",2023-02-08T14:39:29.000,0,0,0,1,PROSPECT AVENUE,2026860001.0
1046824,KATHERINE,0,55000.0,No,2082,38,10028.0,"Fire-Resistant Penetrations and Joints,Mechanical Systems",2025-02-28T11:58:41.000,0,0,0,54,EAST   85 STREET,1014960054.0
3428652,,0,5000.0,No,,186,11235.0,,,0,0,0,1,DOVER STREET,3087350001.0
1001135,MIKHAIL,0,70000.0,No,423,160,10038.0,Sprinkler Systems,2021-08-13T13:02:00.000,0,0,0,43,WATER STREET,1000700043.0
2006402,,0,1000.0,No,,1355,10474.0,,,0,0,0,193,SENECA AVENUE,2027610193.0
5106523,Paola,0,310500.0,No,008144,355,10310.0,Sprinkler Systems,2023-01-19T17:04:22.000,0,0,0,1,BARD AVENUE,5001020001.0
1008335,Jong Hae,0,1400.0,No,,132,10012.0,,2022-05-23T13:39:50.000,0,0,0,76,WEST HOUSTON STREET,1005260076.0
4315207,GRAZYNA( GRACE),0,50000.0,No,,83-25,11421.0,,,0,1,0,960,98 STREET,4039070960.0
4114832,RUIFANG,0,20000.0,No,008855,147-42,11355.0,Fire-Resistant Penetrations and Joints,2025-11-25T09:47:12.000,0,0,0,45,BARCLAY AVENUE,4050530045.0
5171948,LETTICIA,0,1000.0,No,2504,386,10301.0,Fire-Resistant Penetrations and Joints,2022-01-19T13:04:38.000,0,0,0,3,FOREST AVENUE,5002520003.0
1036903,VALENTINA,0,9750.0,No,2477,465,10022.0,Fire-Resistant Penetrations and Joints,2021-11-15T10:05:37.000,0,0,0,7502,PARK AVENUE,1013127502.0
1085695,TARO,0,75000.0,Yes,000423,562,10016.0,"Fire-Resistant Penetrations and Joints,Post-installed Anchors",2023-03-15T14:08:13.000,0,0,0,7501,FIRST AVENUE,1009627501.0
3014456,,0,255000.0,No,3563,755,11220.0,Fire-Resistant Penetrations and Joints,2025-03-03T10:24:07.000,0,0,0,59,54 STREET,3008180059.0
2000933,Walter,0,386024.84,No,678,349,10451.0,"Fire-Resistant Penetrations and Joints,Heating Systems,Mechanical Systems",2020-02-04T18:20:18.000,0,0,0,7501,EAST 149 STREET,2023317501.0
3057434,KHEMRAJ,0,7000.0,Yes,,1163,11216.0,,2019-03-18T11:43:08.000,0,1,0,37,FULTON STREET,3019990037.0
1011053,JOLANTA,0,5000.0,No,,247,10014.0,,,0,0,1,86,WEST 12 STREET,1006150086.0
3147922,,0,3000.0,No,,7317,11209.0,,2021-02-04T15:56:54.000,0,0,0,3,5 AVENUE,3059200003.0
1008324,ELY,0,1.0,No,,188,10012.0,,,0,0,1,65,SULLIVAN STREET,1005260065.0
4312090,TEISHA,0,5500.0,No,,123-25,11415.0,,2020-12-21T15:43:42.000,0,0,0,7501,82 AVENUE,4033587501.0
1007616,NATHAN,0,182000.0,No,,119,10012.0,,2022-11-24T14:15:41.000,0,0,0,28,MERCER STREET,1004990028.0
3247052,STEVEN,0,800.0,No,,3100,11235.0,,2024-04-23T11:09:00.000,0,0,0,6,OCEAN AVENUE,3087740006.0
1060164,KHEMRAJ,0,17000.0,No,,129,10030.0,,2025-04-03T10:39:42.000,0,0,0,16,WEST  144 STREET,1020130016.0
3429762,PETER,0,1000.0,No,001471,16,11232.0,"Emergency and Standby Power Systems (Generator),Heating Systems,Mechanical Systems",2023-05-31T11:10:35.000,0,0,0,13,19 STREET,
3055969,ELY,0,1.0,No,,420,11238.0,,,0,1,0,22,CLINTON AVENUE,3019600022.0
4019066,Eriseld,0,0.0,No,006081,23-29,11102.0,"Concrete - Cast-In-Place,Exterior Insulation and Finish Systems (EIFS),Fire-Resistant Penetrations and Joints,Masonry",,0,0,0,5,ASTORIA BOULEVARD,4008720005.0
2011766,YONA,0,185900.0,No,6912,525,10458.0,"Fire-Resistant Penetrations and Joints,Structural Stability – Alterations of existing buildings",2024-01-16T11:09:57.000,0,0,0,39,EAST  187 STREET,2030570039.0
4003546,CLAUDIA,0,42996.8,No,589,30-02,11101.0,"Fire-Resistant Penetrations and Joints,Sprinkler Systems",2021-05-12T15:22:51.000,0,0,0,11,48 AVENUE,4002870011.0
1041027,DENNIS,0,150000.0,No,005149,717,10065.0,"Fire-Resistant Penetrations and Joints,Mechanical Systems,Post-installed Anchors",2020-09-23T15:46:44.000,0,0,0,23,MADISON AVENUE,1013780023.0
1091833,BROOKE,0,50000.0,Yes,1471,3761,10034.0,"Emergency and Standby Power Systems (Generator),Fire-Resistant Penetrations and Joints,Mechanical Systems",2022-06-14T16:48:17.000,0,0,0,1,10 AVENUE,1021980001.0
4442342,Jeffrey,0,0.0,No,,96-20,11429.0,,2022-07-01T10:40:24.000,0,0,0,282,222 STREET,4107890282.0
1023161,JOAN,0,31634.8,No,000423,1301,10019.0,Sprinkler Systems,2021-01-26T10:19:36.000,0,0,0,29,AVENUE OF THE AMERICAS,1010050029.0
3053238,ANTONIO,0,20000.0,No,,74,11216.0,Structural Stability – Alterations of existing buildings,,0,0,0,22,MACON STREET,3018490022.0
3031037,KHEMRAJ,0,6000.0,No,,850,11213.0,,2022-11-29T12:11:48.000,0,0,1,37,ST MARKS AVENUE,3012280037.0
4112289,COLIN,0,25000.0,No,000544,135-28,11354.0,"Fire-Resistant Penetrations and Joints,Sprinkler Systems",2023-11-29T09:48:38.000,0,0,0,22,37 AVENUE,4049740022.0
1000816,SANGIN FRANK,0,15000.0,No,1327,26,10005.0,Sprinkler Systems,2022-01-31T10:13:24.000,0,0,0,50,BROAD STREET,1000230050.0
1015729,,0,1000.0,No,,250,10001.0,,,0,0,0,7502,5 AVENUE,1008307502.0
3042804,Ben,0,50000.0,No,006818,1508,11233.0,"Demolition,Structural Stability – Alterations of existing Buildings",2025-04-04T11:13:21.000,0,0,0,18,HERKIMER STREET,3015750018.0
1052513,,0,5950.0,No,,2185,10029.0,,,0,0,0,16,2 AVENUE,1016620016.0
2004185,Satwant,0,5000.0,No,,590,10456.0,,,0,1,0,62,EAST 166 STREET,2026070062.0
3426048,,0,107000.0,No,007495,8218,11236.0,"Concrete - Cast-In-Place,Masonry,Structural Steel - Details,Structural Steel - High Strength Bolting,Structural Steel - Welding",2022-08-17T14:11:54.000,0,0,0,42,AVENUE J,3080340042.0
2028631,DINESH,0,7000.0,No,,1517,10460.0,,,0,1,0,18,TAYLOR AVENUE,2039200018.0
2086306,Christopher,0,5000.0,No,"006420,9212",5410,10471.0,"Sprinkler Systems,Tenant Protection Plan Compliance",2024-04-09T15:25:10.000,0,0,0,406,NETHERLAND AVENUE,2059500406.0
