participated,ge10,sp0217,politicalparty_15,politicalparty_12,borocode_16,civilcourtdistrict_16,politicalparty_18,pr08,pr0616,electiondistrict_11,congressdistrict_15,assemblydistrict_17,nta_16,ct2010_11,registrationyear,councildistrict_11,eligible,ge12,councildistrict_09,councildistrict_16,congressdistrict_09,politicalparty_08,weights,congressdistrict_11,nta_13,sp0609,communitydistrict_16,senatedistrict_12,pr0912
5,,,DEM,,1.0,2.0,DEM,,1.0,,12.0,74.0,MN22,,2014,,11,,,2.0,,,0.34375,,,,103.0,,
5,0.0,,BLK,BLK,3.0,8.0,BLK,,,44.0,9.0,41.0,BK58,32900.0,1992,40.0,14,0.0,40.0,45.0,11.0,DEM,0.4375,11.0,BK58,,318.0,21.0,
5,1.0,,DEM,DEM,2.0,2.0,DEM,,0.0,11.0,15.0,77.0,BX26,21100.0,2008,16.0,22,1.0,9.0,16.0,15.0,DEM,0.6875,16.0,BX26,,204.0,29.0,0.0
7,1.0,,DEM,DEM,4.0,1.0,DEM,,0.0,69.0,12.0,36.0,QN70,5300.0,1992,22.0,22,1.0,22.0,22.0,14.0,DEM,0.6875,14.0,QN70,,401.0,12.0,
1,,,,,,,DEM,,,,,,,,2018,,3,,,,,,0.09375,,,,,,
1,,,,,4.0,4.0,REP,,,,,29.0,QN66,,2016,,3,,,31.0,,,0.09375,,,,413.0,,
0,0.0,,DEM,DEM,4.0,6.0,DEM,,,27.0,6.0,40.0,QN22,85500.0,2006,20.0,22,0.0,20.0,20.0,5.0,BLK,0.6875,5.0,QN22,,407.0,16.0,0.0
0,,,BLK,BLK,4.0,3.0,BLK,,,,6.0,28.0,QN19,,2012,,6,0.0,,30.0,,,0.1875,,QN19,,405.0,15.0,
1,,,,,,,DEM,,,,,,,,2018,,1,,,,,,0.03125,,,,,,
9,1.0,,DEM,DEM,4.0,4.0,DEM,,0.0,87.0,16.0,24.0,QN06,46201.0,2004,12.0,24,0.0,12.0,23.0,7.0,DEM,0.75,7.0,BX13,,408.0,36.0,
2,,,,,4.0,3.0,WEP,,,,,37.0,QN20,,2016,,3,,,30.0,,,0.09375,,,,405.0,,
2,0.0,0.0,BLK,BLK,1.0,10.0,BLK,,,6.0,13.0,71.0,MN03,25900.0,2007,7.0,12,1.0,7.0,9.0,15.0,BLK,0.375,15.0,MN03,,110.0,30.0,
8,,,DEM,,1.0,7.0,DEM,,1.0,,13.0,72.0,MN01,,2014,,9,,,10.0,,,0.28125,,,,112.0,,
11,1.0,,DEM,DEM,3.0,3.0,DEM,,,20.0,8.0,50.0,BK99,54300.0,2004,35.0,21,1.0,35.0,35.0,11.0,DEM,0.65625,10.0,BK99,,302.0,26.0,
3,,,,,4.0,4.0,DEM,,,,,29.0,QN06,,2016,,6,,,23.0,,,0.1875,,,,412.0,,
5,1.0,,REP,REP,3.0,8.0,REP,,,69.0,8.0,59.0,BK45,69602.0,1992,46.0,20,1.0,46.0,46.0,9.0,REP,0.625,9.0,BK45,,318.0,19.0,
0,,,,,,,BLK,,,,,,,,2018,,1,,,,,,0.03125,,,,,,
8,1.0,,REP,REP,1.0,6.0,REP,,,70.0,12.0,76.0,MN32,14401.0,1992,5.0,16,1.0,5.0,5.0,14.0,REP,0.5,14.0,MN32,,108.0,28.0,
19,1.0,,DEM,DEM,3.0,6.0,DEM,,,84.0,9.0,43.0,BK60,80400.0,1971,40.0,23,1.0,40.0,40.0,11.0,DEM,0.71875,11.0,BK60,,309.0,20.0,
11,1.0,,REP,REP,2.0,1.0,REP,,,49.0,14.0,82.0,BX10,27402.0,1973,13.0,17,1.0,13.0,13.0,7.0,REP,0.53125,7.0,BX10,,210.0,34.0,
1,0.0,,REP,REP,2.0,1.0,REP,,,27.0,14.0,87.0,BX46,21602.0,2004,18.0,18,0.0,18.0,18.0,7.0,REP,0.5625,7.0,BX46,,209.0,32.0,
0,0.0,,BLK,BLK,3.0,7.0,BLK,,,58.0,7.0,54.0,BK83,117201.0,1989,37.0,11,0.0,37.0,37.0,12.0,BLK,0.34375,12.0,BK83,,305.0,18.0,
3,,,,REP,,,REP,,,,,74.0,,,2012,,6,1.0,,,,,0.1875,,MN21,,,28.0,
19,1.0,,DEM,DEM,1.0,1.0,DEM,1.0,1.0,12.0,10.0,65.0,MN25,1501.0,1992,1.0,24,0.0,1.0,1.0,8.0,DEM,0.75,8.0,MN25,,101.0,26.0,
0,,,,,,,BLK,,,,,35.0,,,2017,,1,,,,,,0.03125,,,,,,
0,,,,,,,DEM,,,,,28.0,,,2017,,3,,,,,,0.09375,,,,,,
2,0.0,,REP,REP,1.0,6.0,REP,,,74.0,12.0,76.0,MN32,14602.0,1996,5.0,16,0.0,5.0,5.0,14.0,REP,0.5,14.0,MN32,,108.0,28.0,
2,,,,,1.0,5.0,DEM,,,,,67.0,MN12,,2016,,5,,,6.0,,,0.15625,,,,107.0,,
1,,,DEM,,3.0,8.0,DEM,,,,11.0,45.0,BK25,,2015,,8,,,47.0,,,0.25,,,,315.0,,
0,,,REP,REP,4.0,5.0,REP,,,77.0,5.0,23.0,QN15,103202.0,2011,31.0,15,0.0,,31.0,,,0.46875,6.0,QN15,,414.0,15.0,0.0
0,0.0,,REP,REP,1.0,2.0,REP,,,81.0,12.0,65.0,MN28,1200.0,2006,1.0,17,0.0,1.0,1.0,12.0,REP,0.53125,12.0,MN28,,103.0,26.0,
4,,0.0,DEM,DEM,1.0,10.0,DEM,,0.0,,9.0,71.0,MN03,,2012,,15,,,9.0,,,0.46875,,BK60,,110.0,21.0,
2,0.0,,DEM,DEM,1.0,6.0,DEM,,0.0,11.0,13.0,68.0,MN33,15602.0,1979,8.0,23,0.0,8.0,8.0,15.0,DEM,0.71875,15.0,MN33,,111.0,29.0,
4,0.0,,DEM,DEM,3.0,5.0,DEM,,,40.0,9.0,44.0,BK40,50000.0,2001,39.0,20,1.0,39.0,39.0,11.0,BLK,0.625,11.0,BK40,,312.0,21.0,
0,0.0,,REP,REP,4.0,2.0,REP,,,24.0,14.0,34.0,QN28,27700.0,1997,21.0,17,0.0,22.0,21.0,14.0,REP,0.53125,7.0,QN28,,403.0,13.0,
5,1.0,,REP,REP,4.0,2.0,REP,,,26.0,6.0,35.0,QN18,71702.0,2003,25.0,17,1.0,25.0,29.0,9.0,REP,0.53125,9.0,QN18,,406.0,16.0,
3,,,,,,,DEM,,,,,50.0,,,2017,,4,,,,,,0.125,,,,,,
0,,,BLK,,2.0,1.0,BLK,,,,15.0,85.0,BX08,,2014,,5,,,18.0,,,0.15625,,BX08,,209.0,,
0,,,REP,REP,1.0,5.0,REP,,,,10.0,75.0,MN14,,2012,,9,0.0,,6.0,,,0.28125,,MN14,,107.0,27.0,
6,0.0,,DEM,DEM,2.0,1.0,DEM,,,21.0,16.0,82.0,BX13,37000.0,2008,12.0,23,0.0,12.0,12.0,17.0,DEM,0.71875,17.0,BX44,,210.0,36.0,
7,0.0,,DEM,DEM,4.0,6.0,DEM,0.0,,11.0,6.0,40.0,QN51,116300.0,1980,20.0,24,1.0,20.0,20.0,5.0,DEM,0.75,5.0,QN51,,407.0,16.0,0.0
1,0.0,,BLK,BLK,4.0,2.0,BLK,,,42.0,14.0,34.0,QN28,27700.0,2007,21.0,12,0.0,21.0,25.0,7.0,BLK,0.375,7.0,QN28,,403.0,13.0,
16,1.0,,DEM,DEM,4.0,1.0,DEM,,0.0,6.0,12.0,37.0,QN71,8100.0,2000,22.0,22,1.0,22.0,22.0,14.0,DEM,0.6875,14.0,QN71,,401.0,12.0,
0,,,,,,,BLK,,,,,,,,2018,,1,,,,,,0.03125,,,,,,
0,0.0,,DEM,DEM,3.0,4.0,DEM,0.0,,66.0,9.0,55.0,BK61,35900.0,1998,41.0,25,0.0,41.0,41.0,11.0,DEM,0.78125,11.0,BK61,,308.0,20.0,0.0
1,0.0,,BLK,BLK,4.0,2.0,BLK,,,25.0,14.0,34.0,QN28,28100.0,1991,25.0,11,0.0,25.0,25.0,7.0,BLK,0.34375,7.0,QN28,,403.0,13.0,
0,,,WOR,,4.0,4.0,WOR,,,,5.0,31.0,QN55,,2012,,5,,,28.0,,,0.15625,,QN55,,410.0,,
15,1.0,,REP,REP,3.0,8.0,REP,,,42.0,9.0,45.0,BK44,58000.0,1999,48.0,19,1.0,48.0,48.0,9.0,REP,0.59375,9.0,BK44,,315.0,17.0,
0,0.0,,,DEM,3.0,7.0,DEM,0.0,,87.0,,54.0,BK83,118800.0,1993,37.0,25,0.0,37.0,37.0,10.0,DEM,0.78125,10.0,BK83,,305.0,19.0,0.0
0,0.0,,,DEM,,,DEM,0.0,,17.0,,32.0,,20800.0,1996,28.0,21,0.0,28.0,,6.0,DEM,0.65625,6.0,QN61,,,10.0,0.0
15,1.0,,DEM,DEM,4.0,6.0,DEM,0.0,,23.0,6.0,27.0,QN38,122701.0,1997,24.0,25,1.0,24.0,24.0,9.0,DEM,0.78125,9.0,QN38,,408.0,16.0,1.0
4,1.0,,DEM,DEM,3.0,6.0,DEM,,,2.0,9.0,42.0,BK43,74800.0,2010,45.0,19,1.0,,45.0,,,0.59375,10.0,BK43,,318.0,21.0,0.0
3,0.0,,DEM,DEM,2.0,2.0,DEM,,,80.0,16.0,81.0,BX29,29301.0,2008,11.0,22,0.0,11.0,11.0,17.0,DEM,0.6875,17.0,BX29,,208.0,34.0,
0,0.0,,BLK,BLK,2.0,1.0,BLK,,,8.0,14.0,82.0,BX37,28600.0,1992,13.0,11,0.0,13.0,13.0,7.0,BLK,0.34375,7.0,BX37,,211.0,34.0,
1,,,,,1.0,6.0,BLK,,,,,76.0,MN32,,2016,,3,,,5.0,,,0.09375,,,,108.0,,
8,,,DEM,DEM,3.0,4.0,DEM,1.0,,,9.0,59.0,BK50,,2016,,18,1.0,40.0,46.0,11.0,DEM,0.5625,,BK91,,318.0,21.0,
3,0.0,,DEM,BLK,3.0,4.0,DEM,,,21.0,9.0,58.0,BK91,83800.0,2004,45.0,17,1.0,45.0,45.0,10.0,BLK,0.53125,10.0,BK91,,317.0,21.0,
5,0.0,,DEM,DEM,4.0,4.0,DEM,0.0,0.0,48.0,5.0,31.0,QN03,30600.0,1996,31.0,27,1.0,31.0,31.0,6.0,DEM,0.84375,6.0,QN03,,413.0,10.0,0.0
0,,,REP,REP,1.0,7.0,REP,,,58.0,13.0,72.0,MN35,26700.0,2011,10.0,11,0.0,,10.0,,,0.34375,15.0,MN35,,112.0,31.0,
12,1.0,,DEM,DEM,4.0,2.0,DEM,,,42.0,14.0,39.0,QN28,29100.0,1996,25.0,23,1.0,25.0,25.0,7.0,DEM,0.71875,7.0,QN28,,403.0,13.0,
0,0.0,,BLK,BLK,3.0,8.0,BLK,,,69.0,9.0,41.0,BK43,54600.0,2006,48.0,12,0.0,48.0,48.0,9.0,BLK,0.375,9.0,BK43,,314.0,17.0,
5,1.0,,DEM,DEM,3.0,6.0,DEM,,,25.0,9.0,57.0,BK61,21700.0,2009,35.0,21,1.0,35.0,35.0,11.0,,0.65625,11.0,BK61,,308.0,20.0,0.0
14,1.0,,REP,REP,5.0,2.0,REP,0.0,,95.0,11.0,62.0,SI11,24401.0,1980,51.0,23,1.0,51.0,51.0,13.0,REP,0.71875,13.0,SI11,,503.0,24.0,
5,0.0,,DEM,DEM,4.0,4.0,DEM,,0.0,71.0,5.0,29.0,QN61,46200.0,2002,27.0,25,1.0,27.0,27.0,6.0,DEM,0.78125,6.0,QN61,,412.0,14.0,
10,1.0,,REP,REP,5.0,2.0,REP,0.0,,37.0,11.0,62.0,SI54,14604.0,2004,51.0,23,1.0,51.0,51.0,13.0,REP,0.71875,13.0,SI54,,503.0,24.0,
5,0.0,,DEM,DEM,1.0,9.0,DEM,,0.0,87.0,12.0,73.0,MN40,15002.0,1996,4.0,23,1.0,4.0,4.0,14.0,DEM,0.71875,14.0,MN40,,108.0,28.0,
7,0.0,0.0,DEM,DEM,1.0,10.0,DEM,,0.0,8.0,13.0,70.0,MN11,19000.0,1998,9.0,25,1.0,9.0,9.0,15.0,DEM,0.78125,15.0,MN11,,110.0,30.0,
17,1.0,,DEM,DEM,4.0,5.0,DEM,,0.0,55.0,5.0,23.0,QN10,93402.0,2004,32.0,25,1.0,32.0,32.0,9.0,DEM,0.78125,9.0,QN10,,414.0,15.0,
6,0.0,,REP,REP,2.0,2.0,REP,,,31.0,15.0,84.0,BX39,3900.0,1992,17.0,17,1.0,17.0,8.0,16.0,REP,0.53125,16.0,BX39,,201.0,29.0,
6,0.0,,DEM,DEM,3.0,5.0,DEM,,0.0,70.0,10.0,51.0,BK31,19500.0,2009,35.0,19,1.0,35.0,43.0,10.0,,0.59375,10.0,BK31,,310.0,23.0,
7,1.0,,BLK,BLK,3.0,8.0,BLK,,,15.0,11.0,45.0,BK25,58800.0,2001,48.0,12,1.0,48.0,48.0,9.0,BLK,0.375,9.0,BK25,,315.0,22.0,
3,0.0,,DEM,DEM,2.0,1.0,DEM,,,88.0,16.0,83.0,BX31,34800.0,2010,12.0,18,1.0,,12.0,,,0.5625,7.0,BX31,,211.0,36.0,
10,1.0,,DEM,DEM,1.0,6.0,DEM,,0.0,62.0,12.0,76.0,MN32,13800.0,1972,5.0,22,0.0,5.0,5.0,14.0,DEM,0.6875,14.0,MN32,,108.0,28.0,
0,,,,,,,DEM,,,,,,,,2018,,2,,,,,,0.0625,,,,,,
3,0.0,,BLK,BLK,3.0,3.0,BLK,,,25.0,7.0,53.0,BK73,52300.0,2000,34.0,10,1.0,34.0,34.0,12.0,BLK,0.3125,12.0,BK73,,301.0,18.0,
10,1.0,,DEM,DEM,1.0,5.0,DEM,,0.0,118.0,10.0,75.0,MN14,15300.0,1986,6.0,22,0.0,6.0,6.0,8.0,DEM,0.6875,8.0,MN14,,107.0,27.0,0.0
19,0.0,,DEM,DEM,3.0,4.0,DEM,1.0,,34.0,8.0,59.0,BK50,95800.0,2001,46.0,25,1.0,46.0,46.0,10.0,DEM,0.78125,10.0,BK50,,318.0,19.0,
5,0.0,,DEM,DEM,4.0,1.0,DEM,,,31.0,14.0,36.0,QN72,9500.0,1998,22.0,20,1.0,22.0,22.0,14.0,DEM,0.625,14.0,QN72,,401.0,12.0,
1,0.0,,BLK,BLK,3.0,7.0,BLK,,,32.0,7.0,54.0,BK78,41500.0,2008,37.0,11,0.0,37.0,37.0,12.0,BLK,0.34375,12.0,BK78,,304.0,18.0,
3,,,DEM,DEM,4.0,2.0,DEM,,,,14.0,37.0,QN31,,2012,,13,1.0,,26.0,,,0.40625,,BK77,,402.0,18.0,
2,0.0,,DEM,DEM,4.0,2.0,DEM,0.0,,49.0,6.0,28.0,QN18,69702.0,2008,29.0,22,0.0,29.0,29.0,9.0,DEM,0.6875,9.0,QN18,,406.0,15.0,
1,,,,,1.0,7.0,BLK,,,,,71.0,MN04,,2016,,3,,,7.0,,,0.09375,,,,109.0,,
5,0.0,,DEM,DEM,4.0,4.0,DEM,,0.0,46.0,5.0,24.0,QN06,47600.0,1988,23.0,26,1.0,23.0,23.0,5.0,DEM,0.8125,5.0,QN06,,408.0,11.0,
1,,,,,4.0,2.0,WEP,,,,,35.0,QN27,,2016,,3,,,21.0,,,0.09375,,,,403.0,,
0,,,,,,,DEM,,,,,,,,2018,,2,,,,,,0.0625,,,,,,
1,0.0,,DEM,DEM,3.0,5.0,DEM,,0.0,36.0,10.0,48.0,BK88,23800.0,2008,44.0,22,0.0,44.0,44.0,8.0,DEM,0.6875,8.0,BK88,,312.0,17.0,0.0
1,,,DEM,REP,3.0,3.0,DEM,0.0,0.0,,7.0,53.0,BK78,,2007,,19,0.0,,34.0,,REP,0.59375,,BK78,,301.0,18.0,
5,0.0,,DEM,DEM,3.0,7.0,DEM,0.0,,17.0,8.0,60.0,BK82,116400.0,1999,37.0,24,1.0,37.0,42.0,10.0,DEM,0.75,10.0,BK82,,305.0,18.0,0.0
0,,,DEM,,4.0,4.0,DEM,,0.0,,5.0,24.0,QN54,,2012,,13,,,29.0,,,0.40625,,QN54,,409.0,,
1,,,,,,,BLK,,,,,,,,2018,,1,,,,,,0.03125,,,,,,
12,1.0,,DEM,DEM,4.0,2.0,DEM,,,71.0,14.0,37.0,QN31,17900.0,2010,26.0,16,1.0,,26.0,,,0.5,12.0,QN31,,402.0,12.0,
6,1.0,,DEM,REP,3.0,8.0,DEM,,,82.0,8.0,46.0,BK21,34200.0,2006,47.0,23,1.0,47.0,47.0,8.0,REP,0.71875,8.0,BK21,,313.0,23.0,0.0
6,0.0,,DEM,DEM,2.0,1.0,DEM,,,32.0,14.0,82.0,BX52,26400.0,1998,13.0,22,1.0,13.0,13.0,7.0,DEM,0.6875,7.0,BX52,,210.0,34.0,
2,,,,,3.0,5.0,DEM,,0.0,,,49.0,BK88,,2016,,7,,,38.0,,,0.21875,,,,312.0,,
0,,,,,,,DEM,,,,,,,,2018,,2,,,,,,0.0625,,,,,,
2,,,IND,IND,4.0,1.0,IND,,,55.0,12.0,36.0,QN72,5900.0,2011,22.0,6,1.0,,22.0,,,0.1875,14.0,QN70,,401.0,12.0,
6,,,BLK,BLK,3.0,1.0,BLK,,,58.0,7.0,52.0,BK33,7500.0,2011,33.0,6,1.0,,33.0,,,0.1875,11.0,BK33,,306.0,25.0,
1,,,,,,,BLK,,,,,,,,2018,,1,,,,,,0.03125,,,,,,
0,0.0,,,BLK,3.0,8.0,BLK,,,43.0,,45.0,BK19,36600.0,1998,48.0,11,0.0,48.0,48.0,8.0,BLK,0.34375,8.0,BK19,,313.0,23.0,
0,0.0,,,DEM,1.0,3.0,DEM,,0.0,88.0,,37.0,MN15,4500.0,2004,39.0,23,0.0,3.0,3.0,8.0,DEM,0.71875,11.0,BK33,,104.0,26.0,
8,0.0,,REP,REP,4.0,6.0,REP,,,18.0,6.0,24.0,QN42,129104.0,1993,23.0,19,1.0,23.0,23.0,5.0,REP,0.59375,5.0,QN42,,411.0,11.0,
4,,,DEM,,3.0,1.0,DEM,,0.0,,7.0,52.0,BK33,,2013,,9,,,39.0,,,0.28125,,BK33,,306.0,,
6,,,DEM,,2.0,1.0,DEM,,1.0,,15.0,85.0,BX08,,2015,,9,,,18.0,,,0.28125,,,,209.0,,
0,0.0,,DEM,DEM,3.0,7.0,DEM,0.0,,22.0,8.0,60.0,BK83,120200.0,1996,37.0,25,0.0,37.0,37.0,10.0,DEM,0.78125,10.0,BK83,,305.0,19.0,0.0
5,1.0,,DEM,DEM,1.0,5.0,DEM,,0.0,25.0,10.0,67.0,MN14,15500.0,2000,6.0,23,1.0,6.0,6.0,8.0,DEM,0.71875,8.0,MN14,,107.0,27.0,0.0
2,0.0,,DEM,DEM,1.0,9.0,DEM,,0.0,126.0,12.0,73.0,MN17,11202.0,2004,4.0,22,1.0,4.0,4.0,14.0,DEM,0.6875,14.0,MN17,,105.0,28.0,
0,,,,,3.0,1.0,DEM,,,,,57.0,BK38,,2016,,4,,,35.0,,,0.125,,,,302.0,,
1,,,BLK,,4.0,1.0,BLK,,,,14.0,36.0,QN72,,2013,,5,,,22.0,,,0.15625,,QN72,,401.0,,
4,0.0,,DEM,DEM,2.0,1.0,DEM,,,78.0,16.0,82.0,BX13,46201.0,1988,12.0,24,1.0,12.0,12.0,7.0,DEM,0.75,7.0,BX13,,210.0,36.0,
16,1.0,,DEM,DEM,1.0,2.0,DEM,0.0,1.0,26.0,12.0,74.0,MN28,2800.0,1997,2.0,27,1.0,18.0,2.0,7.0,DEM,0.84375,12.0,MN28,0.0,103.0,27.0,0.0
16,1.0,,DEM,DEM,2.0,2.0,DEM,,,72.0,16.0,81.0,BX22,30701.0,1992,11.0,23,1.0,11.0,11.0,17.0,DEM,0.71875,17.0,BX22,,208.0,34.0,
5,1.0,,DEM,DEM,4.0,4.0,DEM,0.0,0.0,4.0,3.0,33.0,QN43,161700.0,1992,23.0,26,1.0,23.0,23.0,6.0,DEM,0.8125,6.0,QN43,,413.0,11.0,0.0
0,0.0,,BLK,BLK,5.0,2.0,BLK,,,35.0,11.0,62.0,SI54,14604.0,2004,51.0,13,0.0,51.0,51.0,13.0,BLK,0.40625,13.0,SI54,,503.0,24.0,
8,0.0,,DEM,DEM,4.0,4.0,DEM,,0.0,45.0,5.0,29.0,QN05,61602.0,2010,31.0,20,0.0,,31.0,,,0.625,6.0,QN05,,413.0,14.0,
0,,,DEM,,2.0,2.0,DEM,,0.0,,15.0,77.0,BX26,,1998,,15,,,8.0,,DEM,0.46875,,BX26,,204.0,,
6,,,DEM,DEM,4.0,4.0,DEM,,0.0,,5.0,29.0,QN08,,2012,,16,1.0,,27.0,,,0.5,,QN08,,412.0,14.0,
5,1.0,,DEM,DEM,2.0,2.0,DEM,0.0,0.0,3.0,15.0,86.0,BX01,39500.0,1988,15.0,26,1.0,15.0,15.0,16.0,DEM,0.8125,16.0,BX01,,206.0,33.0,0.0
10,1.0,,DEM,DEM,4.0,2.0,DEM,0.0,,79.0,6.0,28.0,QN17,73900.0,1994,29.0,23,1.0,29.0,29.0,9.0,DEM,0.71875,9.0,QN17,,406.0,15.0,
0,0.0,,DEM,DEM,2.0,2.0,DEM,0.0,0.0,78.0,15.0,79.0,BX14,6100.0,1988,16.0,26,0.0,16.0,16.0,16.0,DEM,0.8125,16.0,BX14,,204.0,32.0,
1,0.0,,DEM,DEM,4.0,3.0,DEM,,,73.0,6.0,30.0,QN30,51700.0,2008,30.0,21,0.0,30.0,30.0,7.0,DEM,0.65625,7.0,QN30,,405.0,15.0,
0,,,,,4.0,2.0,DEM,,,,,35.0,QN27,,2016,,5,,,21.0,,,0.15625,,,,403.0,,
2,0.0,,REP,REP,1.0,5.0,REP,,,9.0,10.0,69.0,MN12,17300.0,2001,6.0,17,0.0,6.0,6.0,15.0,REP,0.53125,15.0,MN12,,107.0,30.0,
0,0.0,,BLK,DEM,1.0,7.0,BLK,,,6.0,13.0,71.0,MN36,25900.0,2013,7.0,13,0.0,7.0,10.0,15.0,DEM,0.40625,15.0,MN36,,112.0,30.0,
0,0.0,,DEM,DEM,1.0,6.0,DEM,,0.0,9.0,12.0,68.0,MN33,16002.0,2008,8.0,21,0.0,8.0,4.0,14.0,DEM,0.65625,14.0,MN33,,111.0,29.0,
2,0.0,,DEM,DEM,2.0,2.0,DEM,0.0,0.0,31.0,15.0,86.0,BX41,23501.0,2005,14.0,26,1.0,14.0,14.0,16.0,DEM,0.8125,16.0,BX41,,205.0,33.0,0.0
6,1.0,,REP,REP,3.0,8.0,REP,,,14.0,11.0,45.0,BK25,58800.0,2007,48.0,20,0.0,48.0,48.0,9.0,REP,0.625,9.0,BK25,,315.0,22.0,
11,1.0,,DEM,DEM,1.0,7.0,DEM,0.0,1.0,67.0,13.0,72.0,MN01,29900.0,1999,10.0,26,1.0,10.0,10.0,15.0,DEM,0.8125,15.0,MN01,,112.0,31.0,0.0
4,0.0,,REP,REP,4.0,3.0,REP,,,74.0,5.0,24.0,QN55,10600.0,1999,32.0,17,1.0,32.0,28.0,6.0,REP,0.53125,6.0,QN55,,409.0,10.0,
0,,,,,,,DEM,,,,,,,,2018,,0,,,,,,0.0,,,,,,
9,1.0,,DEM,DEM,2.0,1.0,DEM,,,33.0,14.0,87.0,BX46,21002.0,1988,18.0,25,1.0,18.0,18.0,7.0,DEM,0.78125,7.0,BX46,,209.0,32.0,0.0
10,0.0,,DEM,DEM,4.0,4.0,DEM,,1.0,5.0,5.0,32.0,QN61,24000.0,2010,24.0,19,1.0,,24.0,,,0.59375,6.0,QN61,,412.0,14.0,
0,,,,,,,DEM,,,,,,,,2018,,0,,,,,,0.0,,,,,,
2,0.0,,DEM,DEM,3.0,2.0,DEM,,,60.0,8.0,56.0,BK35,29500.0,2008,36.0,22,0.0,36.0,36.0,10.0,DEM,0.6875,10.0,BK75,,303.0,18.0,0.0
2,0.0,,DEM,DEM,2.0,1.0,DEM,0.0,0.0,55.0,15.0,85.0,BX27,11900.0,2008,17.0,27,1.0,17.0,17.0,16.0,DEM,0.84375,16.0,BX27,0.0,202.0,32.0,
