civilcourtdistrict_18,assemblydistrict_13,politicalparty_17,ct2010_14,senatedistrict_10,communitydistrict_08,sp13,politicalparty_11,ge18,sp15,senatedistrict_17,participation_score_2018,electiondistrict_18,pr0916,ro09,congressdistrict_12,borocode_09,ct2000_08,borocode_14,councildistrict_08,nta_12,ct2010_16,congressdistrict_18,pr09,age,borocode_13,electiondistrict_16,assemblydistrict_09,sp0210,ge13,politicalparty_14,borocode_15,councildistrict_10,councildistrict_13,ro13,communitydistrict_18,electiondistrict_09,pr17,borocode_18,sp12
4,55.0,DEM,89200.0,19.0,316.0,,DEM,0.0,,20.0,0.0,94,0.0,0.0,9.0,3.0,89200.0,3.0,41.0,BK81,89200.0,9,0.0,35,3.0,94.0,55.0,,0.0,DEM,3.0,41.0,41.0,0.0,316,89.0,0.0,3,
7,54.0,BLK,43700.0,,,,,0.0,,18.0,0.0,37,,,7.0,,,3.0,,BK77,43700.0,7,,36,3.0,37.0,,,0.0,BLK,3.0,,37.0,,304,,,3,
1,60.0,DEM,38000.0,19.0,305.0,,IND,1.0,,36.0,20.0,38,0.0,,8.0,3.0,105800.0,2.0,42.0,BK93,38000.0,16,,36,3.0,38.0,40.0,,0.0,IND,2.0,42.0,42.0,,212,106.0,0.0,2,
6,,,,,,,,1.0,,,100.0,75,,,,,,,,,,9,,60,,,,,,,,,,,309,,,3,
2,57.0,DEM,23300.0,18.0,303.0,,DEM,1.0,,25.0,62.5,33,0.0,0.0,8.0,3.0,23300.0,3.0,36.0,BK75,23300.0,8,0.0,46,3.0,33.0,57.0,,1.0,DEM,3.0,36.0,35.0,0.0,303,106.0,1.0,3,
6,,,,,,,,0.0,,,0.0,18,,,,,,,,,,13,,19,,,,,,,,,,,111,,,1,
5,,DEM,,,,,,0.0,,20.0,14.2857142857143,65,,,,,,,,,7600.0,7,,53,,65.0,,,,,3.0,,,,307,,0.0,3,
8,59.0,DEM,69601.0,19.0,318.0,,DEM,1.0,,19.0,44.0,56,0.0,0.0,8.0,3.0,95400.0,3.0,46.0,BK45,69601.0,8,0.0,59,3.0,56.0,41.0,,1.0,DEM,3.0,46.0,46.0,0.0,318,8.0,1.0,3,
2,35.0,DEM,34700.0,13.0,403.0,,DEM,0.0,,13.0,9.09090909090909,51,,0.0,14.0,4.0,34700.0,4.0,21.0,QN28,34700.0,14,0.0,30,4.0,51.0,35.0,,0.0,DEM,4.0,21.0,21.0,0.0,403,3.0,0.0,4,
7,69.0,DEM,20901.0,30.0,109.0,,DEM,0.0,,30.0,4.0,101,0.0,0.0,13.0,1.0,20901.0,1.0,7.0,MN09,20901.0,13,0.0,79,1.0,101.0,69.0,,0.0,DEM,1.0,7.0,7.0,0.0,109,95.0,0.0,1,
2,,DEM,3400.0,,,,,1.0,,27.0,45.4545454545455,34,,,,,,1.0,,,3400.0,12,,41,,34.0,,,,DEM,1.0,,,,103,,0.0,1,
8,41.0,BLK,73400.0,20.0,309.0,,DEM,0.0,,21.0,35.7142857142857,32,,1.0,9.0,3.0,32900.0,3.0,40.0,BK58,73400.0,9,0.0,43,3.0,32.0,43.0,,0.0,BLK,3.0,40.0,45.0,,318,44.0,,3,
2,77.0,DEM,21100.0,28.0,110.0,,DEM,0.0,,29.0,22.7272727272727,9,,0.0,15.0,1.0,22200.0,2.0,9.0,BX26,21100.0,15,0.0,48,2.0,6.0,70.0,,0.0,DEM,2.0,16.0,16.0,0.0,204,14.0,0.0,2,
1,36.0,DEM,5300.0,12.0,401.0,,DEM,0.0,,12.0,31.8181818181818,3,,0.0,12.0,4.0,5300.0,4.0,22.0,QN70,5300.0,12,0.0,84,4.0,3.0,36.0,,1.0,DEM,4.0,22.0,22.0,0.0,401,69.0,0.0,4,
1,,,,,,,,1.0,,,33.3333333333333,27,,,,,,,,,,16,,19,,,,,,,,,,,212,,,2,
4,,REP,,,,,,0.0,,14.0,33.3333333333333,52,,,,,,,,,68200.0,5,,33,,52.0,,,,,,,,,413,,,4,
6,40.0,DEM,85500.0,16.0,407.0,,DEM,0.0,,16.0,0.0,22,0.0,0.0,6.0,4.0,85500.0,4.0,20.0,QN22,85500.0,6,0.0,62,4.0,22.0,22.0,,0.0,DEM,4.0,20.0,20.0,0.0,407,27.0,0.0,4,
3,28.0,BLK,63700.0,,,,,0.0,,15.0,0.0,16,,,6.0,,,4.0,,QN19,63700.0,6,,24,4.0,16.0,,,0.0,BLK,4.0,,30.0,,405,,,4,
6,,,,,,,,1.0,,,100.0,23,,,,,,,,,,9,,23,,,,,,,,,,,314,,,3,
4,82.0,DEM,46201.0,36.0,210.0,,DEM,1.0,,14.0,37.5,27,,0.0,16.0,2.0,46201.0,2.0,12.0,BX13,49200.0,5,0.0,32,2.0,29.0,82.0,,0.0,DEM,2.0,12.0,12.0,0.0,408,87.0,0.0,4,
3,,WEP,,,,,,1.0,,12.0,66.6666666666667,68,,,,,,,,,59100.0,7,,29,,68.0,,,,,,,,,405,,,4,
10,71.0,BLK,25900.0,30.0,110.0,,BLK,0.0,,30.0,16.6666666666667,102,,,13.0,1.0,23102.0,1.0,7.0,MN03,25900.0,13,,46,1.0,12.0,71.0,,0.0,BLK,1.0,7.0,9.0,,110,6.0,,1,
7,,DEM,30700.0,,,,,1.0,,31.0,88.8888888888889,67,0.0,,,,,1.0,,,30700.0,13,,39,,67.0,,,,DEM,1.0,,,,112,,1.0,1,
1,50.0,DEM,54300.0,25.0,308.0,,DEM,1.0,,26.0,52.3809523809524,27,,0.0,8.0,3.0,20500.0,3.0,35.0,BK99,54300.0,8,0.0,42,3.0,87.0,57.0,,1.0,DEM,3.0,35.0,35.0,0.0,302,38.0,0.0,3,
4,,DEM,,,,,,1.0,,14.0,50.0,36,,,,,,,,,47800.0,5,,58,,36.0,,,,,,,,,412,,0.0,4,
8,59.0,REP,69602.0,27.0,318.0,,REP,0.0,,19.0,25.0,60,,,8.0,3.0,69600.0,3.0,46.0,BK45,69602.0,8,,61,3.0,60.0,59.0,,0.0,REP,3.0,46.0,46.0,,318,69.0,,3,0.0
2,,,,,,,,0.0,,,0.0,71,,,,,,,,,,14,,39,,,,,,,,,,,402,,,4,
6,76.0,REP,14401.0,26.0,108.0,,REP,1.0,,28.0,50.0,64,,,12.0,1.0,14401.0,1.0,5.0,MN32,14401.0,12,,63,1.0,64.0,65.0,,0.0,REP,1.0,5.0,5.0,,108,70.0,,1,
6,43.0,DEM,80400.0,20.0,309.0,,DEM,1.0,0.0,20.0,82.6086956521739,22,,1.0,9.0,3.0,80400.0,3.0,40.0,BK60,80400.0,9,1.0,68,3.0,22.0,43.0,,1.0,DEM,3.0,40.0,40.0,1.0,309,84.0,1.0,3,
1,82.0,REP,27402.0,34.0,210.0,,REP,1.0,,34.0,64.7058823529412,49,,,14.0,2.0,27400.0,2.0,13.0,BX10,27402.0,14,,80,2.0,49.0,82.0,,1.0,REP,2.0,13.0,13.0,,210,49.0,,2,
1,87.0,REP,21602.0,32.0,209.0,,REP,0.0,,32.0,5.55555555555556,53,,,14.0,2.0,21602.0,2.0,18.0,BX46,21602.0,14,,46,2.0,53.0,76.0,,0.0,REP,2.0,18.0,18.0,,209,27.0,,2,
7,54.0,BLK,117201.0,17.0,305.0,,BLK,0.0,,18.0,0.0,46,,,7.0,3.0,117201.0,3.0,37.0,BK83,117201.0,7,,48,3.0,46.0,54.0,,0.0,BLK,3.0,37.0,37.0,,305,58.0,,3,
1,74.0,REP,6400.0,,,,,0.0,,28.0,50.0,71,,,12.0,,,1.0,,MN21,,10,,30,1.0,,,,1.0,REP,,,2.0,,102,,,1,
1,65.0,DEM,1501.0,25.0,101.0,,DEM,1.0,,26.0,79.1666666666667,8,1.0,1.0,10.0,1.0,1501.0,1.0,1.0,MN25,1501.0,10,1.0,60,1.0,8.0,64.0,,1.0,DEM,1.0,1.0,1.0,0.0,101,12.0,1.0,1,
4,,BLK,,,,,,0.0,,13.0,0.0,61,,,,,,,,,,5,,49,,,,,,,,,,,412,,,4,
4,,DEM,,,,,,0.0,,10.0,0.0,5,,,,,,,,,,5,,19,,,,,,,,,,,409,,,4,
6,76.0,REP,14602.0,26.0,108.0,,REP,0.0,,28.0,12.5,67,,,12.0,1.0,14602.0,1.0,5.0,MN32,14602.0,12,,58,1.0,67.0,65.0,,0.0,REP,1.0,5.0,5.0,,108,74.0,,1,
5,,DEM,,,,,,1.0,,29.0,40.0,63,,,,,,,,,16100.0,10,,29,,63.0,,,,,,,,,107,,0.0,1,
8,,DEM,,,,,,0.0,0.0,22.0,12.5,35,,,,,,,,,38800.0,11,,37,,35.0,,,,,3.0,,,,315,,0.0,3,
5,23.0,REP,103202.0,14.0,,0.0,REP,0.0,,15.0,0.0,28,,,5.0,,,4.0,,QN15,103202.0,5,,26,4.0,28.0,,,0.0,REP,4.0,31.0,31.0,,414,,,4,
2,,DEM,,,,,,0.0,,29.0,16.6666666666667,23,,,,,,,,,20501.0,13,,58,,23.0,,,,,,,,,205,,0.0,2,
1,,DEM,,,,,,1.0,,36.0,20.0,101,,,,,,,,,,16,,19,,,,,,,,,,,210,,0.0,2,
6,42.0,REP,75200.0,19.0,314.0,,REP,1.0,,17.0,43.75,64,,,9.0,3.0,75200.0,3.0,48.0,BK43,75200.0,9,,76,3.0,64.0,42.0,,0.0,REP,3.0,48.0,45.0,,314,8.0,,3,
2,79.0,BLK,16100.0,32.0,203.0,,DEM,1.0,,29.0,22.7272727272727,27,,0.0,15.0,2.0,16100.0,2.0,15.0,BX75,5300.0,13,0.0,48,2.0,27.0,79.0,,0.0,DEM,2.0,15.0,17.0,0.0,205,31.0,,2,
3,28.0,BLK,61900.0,15.0,,,BLK,0.0,,15.0,22.2222222222222,73,,,6.0,,,4.0,,QN21,61900.0,6,,31,4.0,73.0,,,0.0,BLK,4.0,30.0,30.0,,405,,,4,
2,39.0,DEM,28300.0,,,,,0.0,,13.0,7.14285714285714,19,,,14.0,,,4.0,,QN28,28300.0,14,,64,4.0,19.0,,,0.0,DEM,4.0,,25.0,0.0,403,,0.0,4,
1,69.0,DEM,18300.0,,,,,1.0,,26.0,21.4285714285714,89,0.0,,,,,1.0,,,1300.0,10,,31,1.0,89.0,,,0.0,DEM,1.0,,6.0,0.0,101,,0.0,1,
2,86.0,DEM,23501.0,33.0,205.0,,DEM,0.0,,33.0,0.0,31,0.0,0.0,15.0,2.0,23501.0,2.0,14.0,BX41,23501.0,15,0.0,59,2.0,31.0,86.0,,0.0,DEM,2.0,14.0,14.0,0.0,205,27.0,0.0,2,
5,,DEM,,,,,,1.0,,23.0,33.3333333333333,64,,,,,,,,,29600.0,11,,67,,64.0,,,,,,,,,311,,0.0,3,
7,60.0,DEM,112400.0,19.0,305.0,,DEM,1.0,,19.0,33.3333333333333,88,0.0,0.0,8.0,3.0,112400.0,3.0,42.0,BK82,112400.0,8,0.0,74,3.0,88.0,40.0,,0.0,DEM,3.0,42.0,42.0,0.0,305,45.0,0.0,3,
5,,,,,,,,1.0,,,100.0,51,,,,,,,,,,11,,23,,,,,,,,,,,310,,,3,
7,60.0,DEM,122000.0,19.0,305.0,,DEM,1.0,,19.0,32.0,61,0.0,0.0,8.0,3.0,122000.0,3.0,42.0,BK82,122000.0,8,0.0,65,3.0,61.0,40.0,,0.0,DEM,3.0,42.0,42.0,0.0,305,66.0,0.0,3,
2,62.0,IND,20804.0,24.0,503.0,,IND,1.0,0.0,24.0,69.2307692307692,32,,,11.0,5.0,20804.0,5.0,51.0,SI32,20804.0,11,,33,5.0,32.0,62.0,,1.0,IND,5.0,51.0,51.0,,503,69.0,,5,
2,74.0,DEM,2400.0,25.0,103.0,,DEM,1.0,,27.0,46.1538461538462,27,,0.0,7.0,1.0,2400.0,1.0,2.0,MN28,2400.0,7,0.0,85,1.0,27.0,74.0,,1.0,DEM,1.0,2.0,2.0,0.0,103,27.0,1.0,1,
7,60.0,DEM,105801.0,19.0,305.0,,DEM,0.0,,19.0,12.0,5,0.0,0.0,8.0,3.0,105800.0,3.0,42.0,BK93,105801.0,8,0.0,74,3.0,5.0,40.0,,0.0,DEM,3.0,42.0,42.0,0.0,305,102.0,0.0,3,
3,,DEM,,,,,,0.0,,12.0,14.2857142857143,65,,,,,,,,,56700.0,7,,31,,10.0,,,,,3.0,,,,405,,0.0,4,
5,67.0,OTH,17100.0,29.0,107.0,,BLK,1.0,,31.0,72.7272727272727,82,,,10.0,1.0,17100.0,1.0,6.0,MN12,17100.0,10,,55,1.0,82.0,67.0,,1.0,BLK,1.0,6.0,6.0,,107,104.0,,1,
5,44.0,DEM,46201.0,27.0,314.0,,DEM,0.0,,17.0,29.6296296296296,25,0.0,0.0,9.0,3.0,46201.0,3.0,44.0,BK42,46201.0,9,0.0,42,3.0,25.0,44.0,,1.0,DEM,3.0,44.0,44.0,0.0,314,62.0,0.0,3,0.0
7,72.0,DEM,27900.0,31.0,112.0,,DEM,1.0,,31.0,38.4615384615385,30,0.0,0.0,13.0,1.0,27900.0,1.0,10.0,MN35,27900.0,13,1.0,50,1.0,30.0,72.0,,0.0,DEM,1.0,10.0,10.0,0.0,112,31.0,0.0,1,
7,71.0,DEM,27300.0,31.0,112.0,,DEM,0.0,,31.0,20.0,79,0.0,0.0,13.0,1.0,27300.0,1.0,7.0,MN35,27300.0,13,0.0,54,1.0,79.0,71.0,,0.0,DEM,1.0,7.0,10.0,0.0,112,66.0,1.0,1,
6,40.0,BLK,116300.0,16.0,407.0,,BLK,0.0,,16.0,0.0,23,,,6.0,4.0,116300.0,4.0,20.0,QN51,116300.0,6,,67,4.0,23.0,22.0,,0.0,BLK,4.0,20.0,20.0,,407,31.0,,4,
8,45.0,DEM,55600.0,27.0,315.0,,DEM,0.0,0.0,17.0,4.0,14,,0.0,11.0,3.0,55600.0,3.0,48.0,BK25,55600.0,11,0.0,68,3.0,14.0,45.0,,0.0,DEM,3.0,48.0,48.0,0.0,315,46.0,0.0,3,0.0
7,54.0,DEM,114202.0,17.0,305.0,,DEM,0.0,,18.0,7.69230769230769,43,0.0,0.0,7.0,3.0,114202.0,3.0,37.0,BK83,114202.0,7,0.0,39,3.0,43.0,54.0,,0.0,DEM,,37.0,37.0,0.0,305,56.0,0.0,3,
3,53.0,DEM,49300.0,17.0,301.0,,DEM,1.0,,18.0,47.8260869565217,40,0.0,0.0,7.0,3.0,49300.0,3.0,34.0,BK78,49300.0,7,0.0,31,3.0,40.0,53.0,,1.0,DEM,3.0,34.0,34.0,0.0,301,53.0,0.0,3,
5,51.0,BLK,8400.0,18.0,307.0,,BLK,0.0,,25.0,0.0,52,,,7.0,3.0,8400.0,3.0,38.0,BK32,8400.0,7,,65,3.0,52.0,51.0,,0.0,BLK,3.0,38.0,38.0,,307,23.0,,3,
2,62.0,BLK,17010.0,,,,,1.0,0.0,24.0,25.0,26,,,,,,5.0,,,17010.0,11,,24,5.0,26.0,,,0.0,BLK,5.0,,51.0,,503,,,5,
2,78.0,DEM,26300.0,,,,,1.0,,33.0,20.0,46,0.0,,13.0,,,2.0,,BX30,26300.0,13,,30,2.0,46.0,,,0.0,DEM,2.0,,14.0,0.0,207,,0.0,2,
5,67.0,IND,17500.0,31.0,,,IND,1.0,,31.0,57.1428571428571,98,,,10.0,,,1.0,,MN12,17500.0,10,,44,1.0,98.0,,,1.0,IND,1.0,6.0,6.0,,107,,,1,
1,86.0,BLK,22901.0,,,,,0.0,,32.0,14.2857142857143,7,,,15.0,,,2.0,,BX41,22901.0,15,,25,2.0,37.0,,,0.0,BLK,2.0,,15.0,,206,,,2,
8,68.0,DEM,18000.0,28.0,111.0,,DEM,1.0,,30.0,33.3333333333333,70,,0.0,13.0,1.0,18000.0,1.0,8.0,MN34,18000.0,13,0.0,66,1.0,70.0,68.0,,0.0,DEM,1.0,8.0,8.0,0.0,111,77.0,0.0,1,
1,,BLK,,,,,,0.0,,34.0,0.0,16,,,,,,,,,15800.0,14,,38,,16.0,,,,,2.0,,,,210,,,2,
2,,DEM,,,,,,0.0,,16.0,28.5714285714286,3,0.0,,,,,,,,47500.0,6,,23,,3.0,,,,,,,,,404,,0.0,4,
5,23.0,REP,92800.0,26.0,106.0,,DEM,0.0,,15.0,4.76190476190476,6,,0.0,5.0,1.0,9000.0,4.0,4.0,QN10,92800.0,5,0.0,40,4.0,6.0,73.0,,0.0,REP,4.0,4.0,32.0,,414,5.0,,4,
1,,,,,,,,0.0,,,0.0,19,,,,,,,,,,14,,19,,,,,,,,,,,211,,,2,
2,,IND,,,,,,1.0,,27.0,40.0,77,,,,,,,,,11100.0,12,,40,,63.0,,,,,,,,,103,,,1,
2,86.0,DEM,23502.0,33.0,205.0,,DEM,1.0,,33.0,12.5,32,0.0,0.0,15.0,2.0,23502.0,2.0,14.0,BX41,23502.0,15,0.0,29,2.0,32.0,86.0,,0.0,DEM,2.0,14.0,15.0,0.0,205,64.0,0.0,2,
4,74.0,BLK,8800.0,26.0,106.0,,BLK,0.0,,28.0,18.1818181818182,90,,,12.0,1.0,8800.0,1.0,4.0,MN19,8800.0,12,,75,1.0,89.0,74.0,,0.0,BLK,1.0,4.0,4.0,,106,108.0,,1,
7,60.0,DEM,120800.0,,,,,0.0,,19.0,18.1818181818182,24,0.0,,,,,3.0,,,120800.0,8,,23,3.0,24.0,,,0.0,DEM,3.0,,42.0,,305,,0.0,3,
8,46.0,DEM,32600.0,23.0,313.0,,DEM,1.0,,23.0,39.1304347826087,15,0.0,0.0,8.0,3.0,32600.0,3.0,47.0,BK21,32600.0,8,0.0,32,3.0,15.0,46.0,,1.0,DEM,3.0,47.0,47.0,0.0,313,74.0,0.0,3,
1,,DEM,,,,,,1.0,,27.0,33.3333333333333,61,0.0,,,,,,,,6300.0,10,,61,,61.0,,,,,,,,,102,,0.0,1,
7,54.0,DEM,117202.0,,,,,1.0,,18.0,50.0,48,0.0,,7.0,,,3.0,,BK83,117202.0,7,,57,3.0,48.0,,,1.0,DEM,3.0,,37.0,0.0,305,,0.0,3,
4,,,,,,,,1.0,,,100.0,71,,,,,,,,,,7,,23,,,,,,,,,,,409,,,4,
4,32.0,DEM,33402.0,10.0,412.0,,DEM,0.0,,10.0,0.0,65,0.0,0.0,5.0,4.0,33402.0,4.0,28.0,QN02,33402.0,5,0.0,51,4.0,65.0,32.0,,0.0,DEM,4.0,28.0,28.0,0.0,412,45.0,0.0,4,
5,48.0,DEM,22000.0,23.0,312.0,,DEM,0.0,,17.0,0.0,13,,0.0,10.0,3.0,22000.0,3.0,39.0,BK88,22000.0,10,0.0,44,3.0,10.0,48.0,,0.0,DEM,3.0,39.0,44.0,0.0,312,47.0,0.0,3,
6,25.0,DEM,143500.0,11.0,411.0,,DEM,0.0,,11.0,0.0,29,,0.0,6.0,4.0,143500.0,4.0,19.0,QN46,143500.0,6,0.0,58,4.0,29.0,24.0,0.0,0.0,DEM,4.0,19.0,23.0,0.0,411,7.0,0.0,4,
5,,DEM,,,,,,1.0,,10.0,80.0,36,,,,,,,,,,5,,23,,,,,,,,,,,414,,1.0,4,
8,59.0,BLK,69602.0,27.0,318.0,,DEM,0.0,,19.0,11.7647058823529,60,,0.0,8.0,3.0,69600.0,3.0,46.0,BK45,69602.0,8,0.0,28,3.0,60.0,59.0,,0.0,BLK,3.0,46.0,46.0,,318,69.0,,3,0.0
4,,BLK,,,,,,0.0,,14.0,33.3333333333333,68,,,,,,,,,63800.0,5,,48,,68.0,,,,,,,,,413,,,4,
2,,DEM,,,,,,1.0,,25.0,16.6666666666667,56,,,,,,,,,31500.0,9,,26,,56.0,,,,,,,,,308,,0.0,3,
1,52.0,DEM,4500.0,29.0,107.0,,DEM,1.0,,26.0,47.6190476190476,44,,0.0,7.0,1.0,16700.0,3.0,6.0,BK33,6500.0,7,0.0,36,3.0,44.0,67.0,,1.0,DEM,3.0,6.0,39.0,0.0,306,74.0,1.0,3,
10,,DEM,,,,,,0.0,,30.0,22.2222222222222,109,0.0,,,,,,,,35300.0,13,,24,,73.0,,,,,,,,,110,,0.0,1,
2,86.0,BLK,24100.0,,,,,0.0,,33.0,0.0,29,,,,,,2.0,,,24100.0,15,,52,2.0,29.0,,,0.0,BLK,2.0,,14.0,,205,,,2,
1,83.0,DEM,46000.0,36.0,212.0,,DEM,0.0,,36.0,52.0,13,0.0,0.0,16.0,2.0,46000.0,2.0,12.0,BX03,46000.0,16,1.0,94,2.0,13.0,83.0,,1.0,DEM,2.0,12.0,12.0,0.0,212,13.0,0.0,2,
7,60.0,DEM,120800.0,19.0,,,DEM,1.0,,19.0,58.8235294117647,28,0.0,,8.0,,,3.0,,BK82,120800.0,8,,42,3.0,28.0,,,0.0,DEM,3.0,42.0,42.0,0.0,305,,1.0,3,
2,55.0,DEM,37700.0,18.0,303.0,,DEM,1.0,,25.0,41.6666666666667,10,0.0,0.0,8.0,3.0,37700.0,3.0,41.0,BK35,37700.0,8,1.0,57,3.0,10.0,55.0,,1.0,DEM,3.0,41.0,41.0,0.0,303,7.0,0.0,3,
4,31.0,DEM,32000.0,10.0,413.0,0.0,DEM,0.0,,10.0,0.0,38,0.0,0.0,5.0,4.0,32000.0,4.0,31.0,QN03,32000.0,5,0.0,69,4.0,38.0,31.0,,0.0,DEM,4.0,31.0,31.0,0.0,413,46.0,0.0,4,
4,,,,21.0,314.0,,DEM,1.0,,,60.0,40,,1.0,9.0,3.0,78800.0,,45.0,BK42,,5,1.0,54,,,58.0,,,,,45.0,,,413,12.0,,4,
7,72.0,DEM,28500.0,31.0,112.0,,DEM,1.0,,31.0,42.3076923076923,44,0.0,0.0,13.0,1.0,28500.0,1.0,10.0,MN35,28500.0,13,0.0,64,1.0,44.0,72.0,,0.0,DEM,1.0,10.0,10.0,0.0,112,44.0,0.0,1,
6,44.0,DEM,16700.0,20.0,306.0,,DEM,1.0,,21.0,87.5,68,1.0,1.0,9.0,3.0,6500.0,3.0,39.0,BK37,16700.0,9,1.0,43,3.0,68.0,44.0,,1.0,DEM,3.0,39.0,39.0,1.0,306,14.0,1.0,3,
4,,DEM,,,,,,0.0,,20.0,16.6666666666667,88,,,,,,,,,88200.0,9,,21,,88.0,,,,,,,,,317,,0.0,3,
6,26.0,BLK,119300.0,11.0,407.0,,BLK,0.0,,11.0,0.0,56,,,6.0,4.0,119300.0,4.0,19.0,QN52,119300.0,6,,32,4.0,56.0,25.0,,0.0,BLK,4.0,19.0,19.0,,407,80.0,,4,
9,75.0,REP,5400.0,29.0,105.0,,REP,1.0,,27.0,20.0,27,,,12.0,1.0,5400.0,1.0,3.0,MN13,5400.0,12,,44,1.0,1.0,66.0,,0.0,REP,1.0,3.0,3.0,,105,92.0,,1,
7,,DEM,,,,,,0.0,,18.0,20.0,28,,,,,,,,,39700.0,8,,34,,28.0,,,,,,,,,304,,0.0,3,
1,66.0,BLK,6300.0,29.0,102.0,,BLK,0.0,,27.0,40.0,47,,,10.0,1.0,6300.0,1.0,1.0,MN23,6300.0,10,,43,1.0,47.0,66.0,,0.0,BLK,1.0,1.0,1.0,,102,75.0,,1,
2,79.0,DEM,6900.0,32.0,310.0,,DEM,0.0,,32.0,0.0,63,0.0,0.0,15.0,2.0,7000.0,2.0,43.0,BX34,6900.0,15,0.0,43,2.0,63.0,84.0,,0.0,DEM,2.0,17.0,17.0,0.0,201,43.0,0.0,2,
1,,DEM,,,,,,0.0,,26.0,20.0,102,,,,,,,,,900.0,7,,32,,14.0,,,,,,,,,302,,0.0,3,
4,43.0,DEM,80600.0,,,,,0.0,0.0,20.0,0.0,54,,,9.0,,,3.0,,BK60,80600.0,9,,24,3.0,54.0,,,0.0,DEM,3.0,,41.0,0.0,309,,0.0,3,
4,32.0,DEM,33000.0,10.0,412.0,0.0,DEM,1.0,,10.0,44.4444444444444,79,0.0,0.0,5.0,4.0,33000.0,4.0,31.0,QN02,33000.0,5,0.0,62,4.0,60.0,31.0,,1.0,DEM,4.0,31.0,31.0,0.0,412,37.0,1.0,4,
2,64.0,DEM,15603.0,24.0,503.0,,DEM,1.0,0.0,24.0,29.1666666666667,58,,0.0,11.0,5.0,15603.0,5.0,51.0,SI54,15603.0,11,0.0,53,5.0,7.0,60.0,,0.0,DEM,5.0,51.0,51.0,0.0,503,60.0,0.0,5,
8,,GRE,,,,,,0.0,,19.0,33.3333333333333,25,,,,,,,,,58000.0,9,,25,,25.0,,,,,,,,,315,,,3,
5,46.0,DEM,5800.0,22.0,310.0,,DEM,1.0,1.0,22.0,56.0,58,0.0,0.0,11.0,3.0,5800.0,3.0,43.0,BK31,5800.0,11,0.0,41,3.0,58.0,46.0,,1.0,DEM,3.0,43.0,43.0,0.0,310,5.0,1.0,3,
1,63.0,DEM,27702.0,24.0,502.0,,DEM,0.0,0.0,24.0,0.0,11,,0.0,11.0,5.0,27702.0,5.0,51.0,SI24,27702.0,11,0.0,28,5.0,11.0,63.0,,0.0,DEM,5.0,51.0,51.0,0.0,502,47.0,0.0,5,
