borocode_08,councildistrict_17,pr15,civilcourtdistrict_13,politicalparty_13,sp0409,assemblydistrict_11,ge11,civilcourtdistrict_11,pr13,nta_08,communitydistrict_12,assemblydistrict_15,civilcourtdistrict_10,pp16,congressdistrict_10,senatedistrict_11,councildistrict_18,assemblydistrict_10,communitydistrict_09,senatedistrict_14,nta_11,sp11,councildistrict_15,ct2010_17,electiondistrict_10,senatedistrict_18,ge17,communitydistrict_17,nta_17,assemblydistrict_14,congressdistrict_17,pr0618,politicalparty_09,electiondistrict_12
,38.0,,,,,,,,,,,51.0,,0.0,,,38,,,,,,38.0,7600.0,,20,0.0,307.0,BK32,,7.0,,,
3.0,46.0,,8.0,DEM,,59.0,0.0,8.0,1.0,BK50,318.0,59.0,8.0,1.0,10.0,19.0,46,59.0,318.0,19.0,BK45,,46.0,69601.0,61.0,19,0.0,318.0,BK45,59.0,8.0,,DEM,56.0
4.0,21.0,,2.0,DEM,,35.0,0.0,2.0,0.0,QN28,403.0,35.0,2.0,0.0,7.0,13.0,21,35.0,403.0,13.0,QN28,,21.0,34700.0,3.0,13,0.0,403.0,QN28,35.0,14.0,0.0,DEM,51.0
1.0,7.0,,7.0,DEM,,69.0,0.0,7.0,0.0,MN09,109.0,69.0,7.0,0.0,15.0,30.0,7,69.0,109.0,30.0,MN09,,7.0,20901.0,95.0,30,0.0,109.0,MN09,69.0,13.0,,DEM,101.0
,2.0,,,,,,,,,,,74.0,,1.0,,,2,,,27.0,,,2.0,3400.0,,27,0.0,103.0,MN22,74.0,12.0,0.0,,
3.0,45.0,,8.0,BLK,,43.0,0.0,4.0,,BK60,318.0,41.0,4.0,,11.0,20.0,45,43.0,309.0,21.0,BK60,,45.0,73400.0,44.0,21,1.0,318.0,BK58,41.0,9.0,,DEM,32.0
1.0,16.0,,2.0,DEM,,77.0,0.0,2.0,0.0,MN11,204.0,77.0,2.0,0.0,16.0,28.0,16,77.0,110.0,29.0,BX26,,16.0,21100.0,11.0,29,0.0,204.0,BX26,77.0,15.0,,DEM,9.0
4.0,22.0,,1.0,DEM,,36.0,0.0,1.0,0.0,QN70,401.0,36.0,1.0,0.0,14.0,12.0,22,36.0,401.0,12.0,QN70,,22.0,5300.0,69.0,12,1.0,401.0,QN70,36.0,12.0,0.0,DEM,3.0
,,,,,,,,,,,,,,,,,12,,,,,,,,,36,,,,,,0.0,,
,31.0,,,,,,,,,,,,,,,,31,,,,,,,68200.0,,14,0.0,413.0,QN66,,5.0,,,
4.0,20.0,,6.0,DEM,,22.0,0.0,6.0,0.0,QN22,407.0,40.0,6.0,0.0,5.0,16.0,20,22.0,407.0,16.0,QN22,,20.0,85500.0,27.0,16,0.0,407.0,QN22,40.0,6.0,,DEM,22.0
,30.0,,3.0,BLK,,,,,,,405.0,28.0,,,,,30,,,15.0,,,30.0,63700.0,,15,0.0,405.0,QN19,28.0,6.0,,,16.0
,,,,,,,,,,,,,,,,,40,,,,,,,,,21,,,,,,,,
2.0,23.0,,1.0,DEM,0.0,82.0,0.0,1.0,0.0,BX13,210.0,82.0,1.0,1.0,7.0,36.0,23,82.0,210.0,36.0,BX13,,12.0,49200.0,87.0,14,1.0,408.0,QN06,82.0,5.0,0.0,DEM,87.0
,30.0,,,,,,,,,,,,,,,,30,,,,,,,59100.0,,12,0.0,405.0,QN20,,7.0,,,
1.0,9.0,,10.0,BLK,,71.0,0.0,10.0,,MN03,110.0,71.0,10.0,,15.0,30.0,9,71.0,110.0,30.0,MN03,,9.0,25900.0,6.0,30,0.0,110.0,MN03,71.0,13.0,,BLK,12.0
,10.0,,,,,,,,,,,72.0,,1.0,,,10,,,31.0,,,10.0,30700.0,,31,1.0,112.0,MN01,72.0,13.0,,,
3.0,35.0,,3.0,DEM,,50.0,0.0,3.0,0.0,BK64,302.0,50.0,3.0,1.0,10.0,25.0,33,50.0,308.0,26.0,BK99,,35.0,54300.0,20.0,25,1.0,302.0,BK99,50.0,8.0,,DEM,87.0
,23.0,,,,,,,,,,,,,,,,23,,,,,,,47800.0,,14,1.0,412.0,QN06,,5.0,0.0,,
3.0,46.0,,8.0,REP,,59.0,0.0,8.0,0.0,BK45,318.0,59.0,8.0,0.0,9.0,27.0,46,59.0,318.0,19.0,BK45,0.0,46.0,69602.0,69.0,19,1.0,318.0,BK45,59.0,8.0,,REP,60.0
,,,,,,,,,,,,,,,,,26,,,,,,,,,12,,,,,,,,
1.0,5.0,,6.0,REP,,65.0,0.0,6.0,1.0,MN32,108.0,76.0,6.0,1.0,14.0,26.0,5,65.0,108.0,28.0,MN32,,5.0,14401.0,70.0,28,0.0,108.0,MN32,76.0,12.0,,REP,64.0
3.0,40.0,,6.0,DEM,,43.0,0.0,6.0,1.0,BK60,309.0,43.0,6.0,1.0,11.0,20.0,40,43.0,309.0,20.0,BK60,,40.0,80400.0,84.0,20,1.0,309.0,BK60,43.0,9.0,1.0,DEM,22.0
2.0,13.0,,1.0,REP,0.0,82.0,0.0,1.0,1.0,BX10,210.0,82.0,1.0,1.0,7.0,34.0,13,82.0,210.0,34.0,BX10,,13.0,27402.0,49.0,34,1.0,210.0,BX10,82.0,14.0,,REP,49.0
2.0,18.0,,1.0,REP,0.0,76.0,0.0,1.0,0.0,BX46,209.0,87.0,1.0,0.0,7.0,32.0,18,76.0,209.0,32.0,BX46,,18.0,21602.0,27.0,32,0.0,209.0,BX46,87.0,14.0,,REP,53.0
3.0,37.0,,7.0,BLK,,54.0,0.0,7.0,,BK83,305.0,54.0,7.0,,12.0,17.0,37,54.0,305.0,18.0,BK83,0.0,37.0,117201.0,58.0,18,0.0,305.0,BK83,54.0,7.0,,BLK,46.0
,2.0,,4.0,REP,,,,,1.0,,106.0,,,,,,3,,,28.0,,,,6400.0,,27,0.0,106.0,MN21,74.0,12.0,,,64.0
1.0,1.0,,1.0,DEM,,64.0,0.0,1.0,1.0,MN25,101.0,65.0,1.0,1.0,8.0,25.0,1,64.0,101.0,26.0,MN25,,1.0,1501.0,12.0,26,1.0,101.0,MN25,65.0,10.0,,DEM,8.0
,21.0,,,,,,,,,,,,,,,,31,,,,,,,45500.0,,10,,404.0,QN25,,14.0,,,
,29.0,,,,,,,,,,,,,,,,29,,,,,,,13200.0,,10,,409.0,QN54,,5.0,0.0,,
1.0,5.0,,6.0,REP,,65.0,0.0,6.0,0.0,MN32,108.0,76.0,6.0,0.0,14.0,26.0,5,65.0,108.0,28.0,MN32,,5.0,14602.0,74.0,28,0.0,108.0,MN32,76.0,12.0,,REP,67.0
,6.0,,,,,,,,,,,,,,,,6,,,,,,,16100.0,,29,0.0,107.0,MN12,,10.0,,,
,47.0,,,,,,,,,,,45.0,,0.0,,,47,,,,,,47.0,38800.0,,22,0.0,315.0,BK25,,11.0,0.0,,
,31.0,,5.0,REP,,23.0,0.0,5.0,0.0,,414.0,23.0,5.0,0.0,6.0,14.0,31,23.0,,15.0,QN15,0.0,31.0,103202.0,77.0,15,0.0,414.0,QN15,23.0,5.0,,,28.0
5.0,51.0,,2.0,REP,,62.0,0.0,2.0,0.0,SI48,503.0,62.0,2.0,0.0,13.0,24.0,51,62.0,503.0,24.0,SI48,,51.0,17007.0,58.0,24,0.0,503.0,SI48,62.0,11.0,0.0,REP,28.0
,,,,,,,,,,,,,,,,,4,,,,,,,,,27,,,,,,,,
,15.0,,2.0,DEM,,,,,0.0,,,78.0,,0.0,,,15,,,33.0,,,15.0,40502.0,,33,0.0,207.0,BX05,78.0,13.0,,,
,20.0,,,,,,,,,,,25.0,,,,,20,,,,,,20.0,141700.0,,16,0.0,411.0,QN48,,6.0,,,
,46.0,,8.0,DEM,,,,,1.0,,318.0,59.0,,1.0,,,46,,,19.0,,,46.0,69602.0,,19,1.0,318.0,BK45,59.0,8.0,,,51.0
,34.0,,,,,,,,,,,56.0,,0.0,,,34,,,,,,36.0,50100.0,,18,0.0,301.0,BK90,,12.0,0.0,,
,11.0,,2.0,DEM,,,,,0.0,,207.0,78.0,,0.0,,,11,,,34.0,,,11.0,41500.0,,34,0.0,207.0,BX05,78.0,13.0,,,31.0
4.0,28.0,,4.0,DEM,,32.0,1.0,4.0,1.0,QN02,412.0,32.0,4.0,1.0,6.0,10.0,28,32.0,412.0,10.0,QN02,,28.0,33402.0,35.0,10,0.0,412.0,QN02,32.0,5.0,0.0,DEM,62.0
,27.0,,4.0,DEM,,,,,0.0,,,29.0,,0.0,,,27,,,14.0,,,31.0,62200.0,,14,0.0,413.0,QN33,29.0,5.0,0.0,,
,47.0,,8.0,REP,,,,,0.0,,,46.0,,0.0,,,47,,,23.0,,,47.0,33600.0,,23,0.0,313.0,BK21,46.0,8.0,,,
3.0,47.0,,8.0,DEM,,,,,0.0,BK21,313.0,46.0,,0.0,,,47,,,23.0,,,47.0,33000.0,,23,0.0,313.0,BK21,46.0,8.0,,,5.0
,4.0,,6.0,REP,,73.0,0.0,6.0,0.0,,108.0,73.0,6.0,0.0,14.0,26.0,4,73.0,,28.0,MN40,0.0,4.0,12000.0,51.0,28,0.0,108.0,MN40,73.0,12.0,,,57.0
,23.0,,,,,,,,,,,,,,,,23,,,,,,,129102.0,,11,0.0,411.0,QN42,,6.0,,,
,41.0,,,,,,,,,,,,,,,,41,,,,,,,38700.0,,25,0.0,303.0,BK35,,8.0,,,
1.0,4.0,,4.0,DEM,,74.0,0.0,4.0,0.0,MN50,106.0,74.0,4.0,0.0,14.0,29.0,4,74.0,106.0,27.0,MN50,,4.0,4400.0,41.0,27,0.0,106.0,MN50,74.0,12.0,0.0,DEM,42.0
2.0,11.0,,2.0,DEM,0.0,81.0,0.0,2.0,1.0,BX43,207.0,81.0,2.0,1.0,17.0,33.0,22,81.0,207.0,36.0,BX43,,11.0,42100.0,7.0,12,1.0,207.0,BX43,81.0,13.0,0.0,DEM,98.0
,24.0,,,,,,,,,,,,,,,,24,,,,,,,122701.0,,16,0.0,408.0,QN38,,6.0,,,
4.0,27.0,,4.0,BLK,,29.0,0.0,4.0,,QN61,412.0,29.0,4.0,,6.0,11.0,27,29.0,412.0,11.0,QN61,,27.0,47000.0,74.0,11,0.0,412.0,QN61,29.0,5.0,,BLK,10.0
,23.0,0.0,6.0,DEM,,24.0,0.0,6.0,0.0,,411.0,25.0,6.0,0.0,5.0,16.0,23,24.0,411.0,16.0,QN42,,23.0,137700.0,63.0,16,0.0,411.0,QN42,25.0,6.0,,DEM,24.0
1.0,7.0,,7.0,DEM,,69.0,0.0,7.0,0.0,MN09,109.0,69.0,7.0,1.0,15.0,31.0,7,69.0,109.0,31.0,MN09,,7.0,19900.0,75.0,31,0.0,109.0,MN09,69.0,10.0,,DEM,86.0
,19.0,,,,,,,,,,,,,,,,19,,,,,,,119500.0,,11,0.0,407.0,QN52,,6.0,,,
2.0,8.0,,2.0,BLK,0.0,84.0,0.0,2.0,,BX63,204.0,84.0,2.0,,16.0,28.0,8,84.0,204.0,29.0,BX63,,8.0,19500.0,10.0,29,0.0,204.0,BX63,84.0,15.0,,DEM,10.0
2.0,28.0,,1.0,DEM,0.0,76.0,0.0,1.0,0.0,BX46,209.0,87.0,1.0,1.0,7.0,32.0,28,76.0,209.0,32.0,BX46,,18.0,18600.0,26.0,10,0.0,412.0,QN76,87.0,5.0,0.0,BLK,51.0
2.0,11.0,,2.0,DEM,0.0,81.0,0.0,2.0,1.0,BX22,208.0,81.0,2.0,0.0,17.0,34.0,11,81.0,208.0,34.0,BX22,,11.0,34300.0,61.0,34,1.0,208.0,BX22,81.0,16.0,1.0,DEM,61.0
,37.0,,,,,,,,,,,54.0,,,,,37,,,,,,37.0,117202.0,,18,0.0,305.0,BK83,,7.0,,,
,7.0,,,,,,,,,,,,,,,,7,,,,,,,24700.0,,31,1.0,112.0,MN36,,13.0,,,
,,,,,,,,,,,,,,,,,27,,,,,,,,,14,,,,,,,,
,39.0,,2.0,DEM,,,,,0.0,,,74.0,,1.0,,,39,,,27.0,,,2.0,13500.0,,20,0.0,306.0,BK37,74.0,7.0,,,
,36.0,,,,,,,,,,,,,,,,36,,,,,,,26500.0,,25,0.0,303.0,BK75,,8.0,,,
,32.0,,5.0,REP,,,,,0.0,,,23.0,,0.0,,,32,,,15.0,,,32.0,93800.0,,15,1.0,414.0,QN10,23.0,5.0,,,
1.0,,,7.0,DEM,,70.0,0.0,7.0,0.0,MN04,109.0,,7.0,,15.0,31.0,11,70.0,109.0,,MN04,,,,72.0,34,,,,,,,DEM,1.0
,,,,,,,,,,,,,,,,,44,,,,,,,,,17,,,,,,0.0,,
3.0,47.0,,8.0,DEM,,46.0,0.0,8.0,0.0,BK21,313.0,46.0,8.0,0.0,8.0,23.0,47,46.0,313.0,23.0,BK21,,47.0,33000.0,102.0,23,0.0,313.0,BK21,46.0,8.0,,DEM,4.0
1.0,7.0,,7.0,DEM,,70.0,0.0,7.0,0.0,MN04,109.0,71.0,7.0,1.0,15.0,30.0,7,70.0,109.0,31.0,MN04,,7.0,22900.0,65.0,31,1.0,109.0,MN04,71.0,13.0,,DEM,5.0
5.0,49.0,,2.0,BLK,,63.0,0.0,2.0,,SI05,502.0,63.0,2.0,0.0,13.0,24.0,49,63.0,502.0,24.0,SI05,,49.0,18702.0,28.0,24,0.0,502.0,SI05,63.0,11.0,0.0,BLK,69.0
,39.0,,1.0,DEM,,,,,0.0,,306.0,52.0,,0.0,,,35,,,20.0,,,39.0,11700.0,,25,0.0,306.0,BK37,52.0,7.0,,,94.0
,,,,,,,,,,,,,,,,,18,,,,,,,,,32,,,,,,,,
,41.0,,4.0,BLK,,,,,,,,55.0,,,,,41,,,25.0,,,41.0,30300.0,,25,0.0,316.0,BK79,55.0,8.0,,,
1.0,5.0,,6.0,BLK,,73.0,0.0,6.0,,MN40,108.0,73.0,6.0,,14.0,28.0,5,73.0,108.0,28.0,MN40,0.0,5.0,14802.0,95.0,28,0.0,108.0,MN40,73.0,12.0,,BLK,85.0
,,,,,,,,,,,,,,,,,39,,,,,,,,,25,,,,,,,,
3.0,47.0,,8.0,BLK,,46.0,0.0,8.0,,BK21,313.0,46.0,8.0,,8.0,23.0,47,46.0,313.0,23.0,BK21,,47.0,33600.0,91.0,23,0.0,313.0,BK21,46.0,8.0,,BLK,1.0
3.0,45.0,,6.0,DEM,,42.0,0.0,6.0,0.0,BK95,317.0,42.0,6.0,0.0,11.0,21.0,45,42.0,317.0,21.0,BK95,,45.0,82600.0,56.0,21,0.0,317.0,BK95,42.0,9.0,0.0,DEM,42.0
,3.0,,,,,,,,,,,,,,,,3,,,,,,,14500.0,,27,0.0,104.0,MN14,,10.0,,,
1.0,5.0,,6.0,DEM,,65.0,0.0,6.0,0.0,MN32,108.0,76.0,6.0,1.0,14.0,26.0,5,65.0,108.0,28.0,MN32,,5.0,13600.0,56.0,28,0.0,108.0,MN32,76.0,12.0,0.0,DEM,51.0
,,,2.0,DEM,,,,,0.0,,501.0,,,,,,16,,,29.0,,,,,,29,,,,77.0,,,,8.0
,,,,,,,,,,,,,,,,,32,,,,,,,,,15,,,,,,,,
,35.0,,3.0,DEM,,,,,,,,57.0,,1.0,,,35,,,27.0,,,35.0,1500.0,,25,1.0,302.0,BK38,67.0,8.0,,,
,31.0,,,,,,,,,,,,,,,,31,,,,,,,103201.0,,10,0.0,414.0,QN15,,5.0,0.0,,
,9.0,,,,,,,,,,,,,,,,9,,,,,,,23100.0,,30,0.0,109.0,MN04,,13.0,,,
,22.0,,,,,,,,,,,,,,,,22,,,,,,,12500.0,,12,1.0,401.0,QN72,,14.0,0.0,,
4.0,20.0,,6.0,DEM,,22.0,0.0,6.0,0.0,QN51,407.0,40.0,6.0,0.0,5.0,11.0,20,22.0,407.0,16.0,QN51,,20.0,116300.0,11.0,16,0.0,407.0,QN51,40.0,6.0,,DEM,20.0
3.0,39.0,,5.0,REP,,44.0,0.0,5.0,1.0,BK41,312.0,44.0,5.0,1.0,11.0,21.0,39,44.0,312.0,21.0,BK41,,39.0,48800.0,50.0,21,1.0,312.0,BK41,44.0,10.0,,DEM,19.0
,51.0,,,,,,,,,,,62.0,,,,,51,,,24.0,,,51.0,24402.0,,24,0.0,503.0,SI11,62.0,11.0,,,
4.0,23.0,0.0,6.0,DEM,,,,,0.0,QN46,411.0,25.0,,0.0,,,23,,411.0,16.0,,,23.0,137700.0,,16,0.0,411.0,QN42,25.0,6.0,,DEM,24.0
1.0,8.0,,8.0,DEM,,68.0,0.0,8.0,0.0,MN34,111.0,68.0,8.0,0.0,15.0,30.0,8,68.0,111.0,30.0,MN34,,8.0,18200.0,72.0,30,0.0,111.0,MN34,68.0,13.0,,DEM,65.0
5.0,50.0,,1.0,DEM,,61.0,0.0,1.0,0.0,SI28,501.0,61.0,1.0,0.0,13.0,24.0,50,61.0,501.0,24.0,SI28,,50.0,25100.0,73.0,24,1.0,501.0,SI28,61.0,11.0,0.0,DEM,48.0
3.0,49.0,,6.0,REP,,41.0,0.0,6.0,0.0,BK58,318.0,41.0,6.0,0.0,10.0,19.0,49,41.0,318.0,17.0,BK58,,45.0,9700.0,40.0,23,0.0,501.0,SI22,41.0,11.0,0.0,REP,52.0
,43.0,,,,,,,,,,,64.0,,1.0,,,43,,,22.0,,,43.0,3600.0,,22,0.0,310.0,BK31,64.0,11.0,0.0,,
3.0,45.0,,6.0,DEM,,42.0,0.0,6.0,0.0,BK91,317.0,,6.0,0.0,11.0,21.0,45,42.0,317.0,21.0,BK91,,,85400.0,56.0,21,0.0,317.0,BK91,42.0,9.0,0.0,DEM,42.0
3.0,33.0,,3.0,DEM,,50.0,0.0,3.0,1.0,BK72,301.0,50.0,3.0,0.0,10.0,25.0,33,50.0,301.0,18.0,BK72,,33.0,54500.0,34.0,18,0.0,301.0,BK72,50.0,7.0,,BLK,63.0
1.0,5.0,,6.0,DEM,,65.0,0.0,6.0,1.0,MN31,108.0,76.0,6.0,1.0,14.0,28.0,5,65.0,108.0,29.0,MN31,,5.0,23801.0,97.0,29,1.0,108.0,MN31,76.0,12.0,1.0,DEM,83.0
,50.0,,2.0,REP,,,,,0.0,,,62.0,,0.0,,,50,,,24.0,,,50.0,13800.0,,24,0.0,503.0,SI25,62.0,11.0,0.0,,
4.0,20.0,,6.0,BLK,,24.0,0.0,6.0,,QN48,411.0,25.0,6.0,,9.0,11.0,20,24.0,411.0,11.0,QN48,0.0,20.0,140902.0,69.0,11,0.0,411.0,QN48,25.0,6.0,,BLK,37.0
,19.0,,6.0,DEM,,,,,0.0,,411.0,25.0,,0.0,,,19,,,11.0,,,19.0,144700.0,,11,0.0,411.0,QN46,25.0,6.0,,,31.0
,9.0,,10.0,BLK,,,,,,,,70.0,,,,,9,,,30.0,,,9.0,21500.0,,30,0.0,110.0,MN03,70.0,13.0,,,
1.0,3.0,,3.0,DEM,,75.0,1.0,3.0,0.0,MN15,104.0,75.0,3.0,0.0,8.0,29.0,3,75.0,104.0,27.0,MN15,,3.0,12100.0,77.0,27,1.0,104.0,MN15,75.0,10.0,,DEM,71.0
,10.0,,7.0,BLK,,,,,,,,72.0,,,,,10,,,31.0,,,10.0,27700.0,,31,0.0,112.0,MN35,72.0,13.0,,,
,26.0,,,,,,,,,,,,,,,,26,,,,,,,25301.0,,12,1.0,402.0,QN31,,14.0,1.0,,
5.0,50.0,,2.0,BLK,,60.0,0.0,2.0,,SI36,502.0,64.0,2.0,0.0,13.0,23.0,50,60.0,502.0,23.0,SI36,,50.0,7000.0,17.0,24,1.0,502.0,SI36,64.0,11.0,0.0,REP,39.0
,9.0,,7.0,DEM,,,,,1.0,,110.0,70.0,,1.0,,,9,,,30.0,,,9.0,20102.0,,30,0.0,110.0,MN11,70.0,13.0,,,6.0
4.0,31.0,,4.0,DEM,,29.0,0.0,4.0,1.0,QN66,413.0,29.0,4.0,1.0,6.0,14.0,31,29.0,413.0,14.0,QN66,,31.0,61601.0,44.0,14,1.0,413.0,QN66,29.0,5.0,1.0,DEM,60.0
1.0,2.0,,2.0,DEM,,74.0,0.0,2.0,0.0,MN28,103.0,74.0,2.0,1.0,12.0,25.0,2,74.0,103.0,26.0,MN28,,2.0,2601.0,9.0,26,0.0,103.0,MN28,74.0,12.0,0.0,DEM,15.0
4.0,19.0,,6.0,BLK,,26.0,0.0,6.0,,QN51,407.0,40.0,6.0,,5.0,11.0,19,26.0,407.0,11.0,QN51,,19.0,104700.0,89.0,11,0.0,407.0,QN51,40.0,6.0,,BLK,13.0
,49.0,,1.0,DEM,,61.0,0.0,1.0,0.0,,501.0,61.0,1.0,0.0,13.0,23.0,49,61.0,,23.0,SI22,,49.0,700.0,19.0,23,0.0,501.0,SI22,61.0,11.0,0.0,,2.0
4.0,31.0,,5.0,DEM,,23.0,0.0,5.0,0.0,QN37,414.0,23.0,5.0,0.0,6.0,14.0,31,23.0,408.0,10.0,QN15,1.0,31.0,100802.0,88.0,10,1.0,414.0,QN15,23.0,5.0,0.0,DEM,36.0
,28.0,,,,,,,,,,,,,,,,28,,,,,,,15802.0,,10,0.0,410.0,QN55,,5.0,0.0,,
2.0,17.0,,1.0,DEM,0.0,76.0,0.0,1.0,0.0,BX75,206.0,87.0,1.0,0.0,16.0,36.0,18,76.0,206.0,32.0,BX75,,17.0,6000.0,90.0,34,0.0,206.0,BX75,87.0,15.0,,DEM,13.0
3.0,37.0,,7.0,DEM,,54.0,0.0,7.0,0.0,BK78,304.0,,7.0,0.0,12.0,17.0,37,54.0,304.0,18.0,BK78,0.0,,40500.0,51.0,18,0.0,304.0,BK78,54.0,8.0,,DEM,60.0
3.0,39.0,,6.0,DEM,,43.0,0.0,6.0,0.0,BK60,309.0,52.0,6.0,0.0,11.0,20.0,39,43.0,309.0,21.0,BK60,,39.0,16700.0,61.0,21,0.0,306.0,BK37,52.0,9.0,0.0,DEM,20.0
,18.0,,,,,,,,,,,,,,,,18,,,,,,,400.0,,34,0.0,209.0,BX09,,15.0,,,
,43.0,,,,,,,,,,,,,,,,43,,,,,,,20200.0,,22,1.0,310.0,BK30,,11.0,,,
1.0,3.0,,3.0,DEM,,75.0,0.0,3.0,0.0,MN17,105.0,75.0,3.0,0.0,8.0,26.0,3,75.0,105.0,27.0,MN17,,3.0,10100.0,50.0,27,0.0,105.0,MN17,75.0,12.0,0.0,DEM,48.0
,8.0,,,,,,,,,,,,,,,,8,,,,,,,4100.0,,29,0.0,201.0,BX39,,15.0,,,
,,,,,,,,,,,,,,,,,10,,,,,,,,,31,,,,,,,,
2.0,11.0,,2.0,REP,0.0,81.0,0.0,2.0,0.0,BX29,208.0,81.0,2.0,0.0,17.0,33.0,11,81.0,208.0,33.0,BX29,,11.0,28700.0,46.0,33,0.0,208.0,BX29,81.0,13.0,,REP,46.0
,41.0,,4.0,BLK,,,,,,,,55.0,,,,,41,,,19.0,,,42.0,89200.0,,20,0.0,316.0,BK81,55.0,9.0,,,
5.0,51.0,,2.0,BLK,,62.0,0.0,2.0,,SI48,503.0,62.0,2.0,,13.0,24.0,51,62.0,503.0,24.0,SI48,,51.0,17010.0,59.0,24,0.0,503.0,SI48,62.0,11.0,,BLK,24.0
4.0,30.0,,3.0,DEM,,38.0,0.0,3.0,0.0,QN19,405.0,30.0,3.0,0.0,9.0,15.0,30,38.0,405.0,15.0,QN19,0.0,30.0,66900.0,41.0,15,0.0,405.0,QN21,30.0,6.0,,REP,9.0
2.0,11.0,,2.0,DEM,0.0,81.0,0.0,2.0,1.0,BX29,208.0,81.0,2.0,1.0,17.0,31.0,11,81.0,208.0,34.0,BX29,,11.0,29500.0,74.0,34,1.0,208.0,BX29,81.0,16.0,1.0,DEM,74.0
,,,,,,,,,,,,,,,,,3,,,,,,,,,28,,,,,,,,
4.0,22.0,,1.0,DEM,,36.0,0.0,1.0,0.0,QN72,401.0,36.0,1.0,0.0,14.0,16.0,22,36.0,401.0,13.0,QN72,,22.0,12301.0,3.0,13,1.0,401.0,QN72,36.0,14.0,0.0,DEM,55.0
1.0,6.0,,5.0,DEM,,69.0,0.0,5.0,0.0,MN12,107.0,69.0,5.0,0.0,15.0,31.0,6,69.0,107.0,31.0,MN12,,6.0,18300.0,31.0,31,0.0,107.0,MN12,69.0,10.0,,DEM,46.0
,,,,,,,,,,,,,,,,,9,,,,,,,,,30,,,,,,,,
