location,longitude,createddate,srresolution,descriptor1,stateassembly,:@computed_region_sbqj_enih,communityboard,srcallertype,callerzipcode,citycouncil,complaintnumber,taxclass
"{'type': 'Point', 'coordinates': [-73.91716820439386, 40.886648707914055]}",,2022-09-12T16:05:31,Inspected - Condition Not Found,,,33.0,208.0,,,,,
"{'type': 'Point', 'coordinates': [-73.94769342541035, 40.83459025380565]}",,2015-10-21T03:44:00,No Action - Insufficient Info,For One Address,,21.0,112.0,,na,,1-1-1167283146,
"{'type': 'Point', 'coordinates': [-74.03195494527446, 40.628471198418914]}",,2023-03-04T19:31:00,Work Priority Category - B,Tree Leaning/Uprooted,46.0,41.0,310.0,"Business

Business",,47.0,311-13674277,
"{'type': 'Point', 'coordinates': [-73.92769101138009, 40.706297552346314]}",,2023-05-29T11:16:00,,For One Address,53.0,56.0,301.0,,,34.0,311-14634395,
"{'type': 'Point', 'coordinates': [-73.9193172914942, 40.80379753552959]}",,2020-07-25T14:50:13,Inspected - Condition Not Found,,,23.0,201.0,,,,,
"{'type': 'Point', 'coordinates': [-74.01012994023624, 40.60121939554318]}",,2020-08-04T21:47:00,Work Completed,Branch or Limb Has Fallen Down,47.0,37.0,311.0,"Business

Business",na,43.0,311-03461413,
"{'type': 'Point', 'coordinates': [-73.97172482648693, 40.600747937189354]}",,2022-06-18T14:19:00,Inspected - No Work Order,,,36.0,315.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-74.0073729403103, 40.67813717183629]}",,2020-10-10T19:19:00,Work Completed,,,48.0,306.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.90909741725723, 40.842421875024755]}",,2017-07-05T18:01:00,Work Completed,,,27.0,204.0,,,,,
"{'type': 'Point', 'coordinates': [-73.89787995466877, 40.87133457852421]}",,2022-05-30T23:41:37,No Action - Insufficient Info,,,33.0,208.0,,,,,
"{'type': 'Point', 'coordinates': [-73.87363790270953, 40.67884073673199]}",,2022-01-08T15:34:00,No Action - Insufficient Info,,,47.0,305.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.93176925261673, 40.85578981969187]}",,2022-09-05T18:04:00,Work Priority Category - C,,,22.0,112.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.88098936326467, 40.86873455458207]}",,2021-02-21T16:14:12,Work Priority Category - D,,,34.0,207.0,,,,,
"{'type': 'Point', 'coordinates': [-73.86500273935508, 40.88002825595936]}",,2018-07-11T13:40:00,Inspected - No Work Order,,,30.0,212.0,,,,,
"{'type': 'Point', 'coordinates': [-73.77514881020954, 40.674828289136165]}",,2020-08-19T13:33:00,Work Priority Category - C,,,71.0,412.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.91008004740385, 40.81123571970072]}",,2016-09-13T12:57:00,Reviewed - Inspection Assigned,,,23.0,201.0,,,,,
"{'type': 'Point', 'coordinates': [-74.19123021764885, 40.5181322225533]}",,2020-10-07T16:52:00,Work Completed,,,77.0,503.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.84443439159905, 40.67023477566856]}",,2021-10-06T16:27:09,Work Priority Category - C,,,64.0,,,,,,
"{'type': 'point', 'coordinates': [-73.87731263751068, 40.895556962897636]}",,2019-12-27T17:07:00,Work Order Created,,,30.0,226.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.8943772288228, 40.82486322876445]}",,2016-09-15T13:32:00,Reviewed - Inspection Assigned,,,24.0,202.0,,,,,
"{'type': 'Point', 'coordinates': [-73.93861144449599, 40.6281170578235]}",,2022-07-18T15:50:00,Work Completed,,,38.0,318.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.81340340566004, 40.82220825063683]}",,2020-11-15T18:33:52,Work Priority Category - D,,,28.0,210.0,,,,,
"{'type': 'Point', 'coordinates': [-74.19014740852576, 40.85260261379222]}",,2023-06-24T16:25:05,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.89824130422969, 40.706937966112946]}",,2023-04-05T14:23:26,Work Priority Category - C,,,62.0,405.0,,,,,
"{'type': 'Point', 'coordinates': [-73.74127862027626, 40.739624919835855]}",,2022-07-18T17:46:00,Work Priority Category - C,,,69.0,411.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-74.10611460810871, 40.69465938107448]}",,2021-09-04T05:06:56,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.95473990579178, 40.722211903548974]}",,2023-02-21T17:22:00,Work Completed,,,57.0,301.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.94646104041048, 40.57744585411144]}",,2020-08-05T22:03:36,Inspected - Condition Not Found,,,36.0,315.0,,,,,
"{'type': 'Point', 'coordinates': [-73.90901416477674, 40.83528272377494]}",-73.9092,2017-07-26T16:24:00,Inspected - No Work Order,,77.0,27.0,204.0,,,16.0,,
"{'type': 'Point', 'coordinates': [-73.94138356866353, 40.761335340496075]}",,2019-08-02T21:32:00,Work Completed,,,72.0,401.0,,,,,
"{'type': 'Point', 'coordinates': [-73.91316574316441, 40.678466281069745]}",,2020-06-01T19:20:00,Work Completed,,,46.0,316.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.90445612838973, 40.6960927023809]}",-73.904406,2016-05-12T16:53:00,Planting Declined - Unplantable,,38.0,62.0,405.0,,,34.0,,
"{'type': 'Point', 'coordinates': [-73.90608054071295, 40.65628096523737]}",,2023-06-19T19:21:00,Work Priority Category - C,,,46.0,316.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.94202838281213, 40.64366440313812]}",,2021-08-30T18:20:04,No Action - Insufficient Info,Branch or Limb Has Fallen Down,58.0,40.0,317.0,,,45.0,311-07460993,
"{'type': 'Point', 'coordinates': [-74.12089976092699, 40.623464631589606]}",,2022-08-14T21:57:00,Work Priority Category - D,,,74.0,501.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.96591092838267, 40.65043508202866]}",,2020-09-17T13:11:00,Work Completed,,,43.0,314.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.92514268614089, 40.80772893370373]}",,2017-06-07T15:15:00,Work Completed,,,23.0,201.0,,,,,
"{'type': 'Point', 'coordinates': [-73.97326154116584, 40.689951462289166]}",,2020-05-27T15:55:00,Work Completed,,,55.0,302.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.94906840957978, 40.769463395057976]}",,2018-08-08T13:43:00,Work Completed,,,11.0,108.0,,,,,
"{'type': 'Point', 'coordinates': [-73.9998670031806, 40.609174097068006]}",,2021-04-15T17:55:00,Work Completed,,,37.0,311.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.80498289872908, 40.870634216369965]}",,2021-08-17T12:13:24,Inspected - Condition Not Found,,,28.0,228.0,,,,,
"{'type': 'Point', 'coordinates': [-74.11244944719977, 40.58058641878463]}",-74.112277,2015-06-15T20:33:00,Work Completed,,,76.0,502.0,,,,,
"{'type': 'Point', 'coordinates': [-73.93976468582302, 40.82783414518416]}",,2016-09-21T16:29:00,Reviewed - Inspection Assigned,,,19.0,110.0,,,,,
"{'type': 'Point', 'coordinates': [-73.91610190794655, 40.709183971918904]}",,2016-05-03T17:25:00,Planting Declined - Unplantable,,37.0,62.0,405.0,,,34.0,,
"{'type': 'Point', 'coordinates': [-73.85767005815006, 40.70030489934359]}",,2023-06-29T17:14:00,Work Priority Category - B,,,60.0,482.0,"Business

Business",,,,
"-74.12259573818254, 40.6226162674131]}",,2020-08-05T13:37:00,Inspected - Condition Not Found,,,74.0,501.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.98344605243189, 40.73309056674567]}",-73.984434,2022-09-06T15:02:00,Inspected - Condition Not Found,,,7.0,106.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-74.25099626142385, 40.502322667574056]}",,2020-12-08T14:42:00,Work Completed,,,77.0,503.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.94889178020641, 40.69703888521064]}",,2021-05-08T13:31:00,Work Completed,,,51.0,303.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.93727856904901, 40.71606760168229]}",,2020-02-24T21:04:00,Work Completed,,,56.0,301.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.9575258508121, 40.728752334649094]}",,2020-02-02T19:07:00,Work Completed,,,57.0,301.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.97097489763544, 40.594894391074774]}",,2021-10-22T16:31:00,Work Priority Category - D,,45.0,36.0,315.0,"Business

Business",,47.0,,
"{'type': 'Point', 'coordinates': [-73.91587492067629, 40.895219881164294]}",,2023-06-28T15:16:52,,,,33.0,208.0,,,,,
"{'type': 'Point', 'coordinates': [-73.82128300942723, 40.74629714465131]}",,2022-07-05T16:54:41,Work Priority Category - C,,,67.0,407.0,,,,,
"{'type': 'Point', 'coordinates': [-73.74022313542673, 40.742142631688345]}",,2019-08-23T19:04:00,Work Order Created,,,69.0,411.0,,,,,
"{'type': 'Point', 'coordinates': [-73.8969284109655, 40.74874426112627]}",,2019-06-11T01:49:00,Work Completed,,,66.0,402.0,,,,,
"{'type': 'Point', 'coordinates': [-74.20278499187832, 40.516624155289655]}",,2016-02-26T22:38:00,Inspected - No Work Order,Entire Tree Has Fallen Down,62.0,77.0,503.0,,na,51.0,,
"{'type': 'Point', 'coordinates': [-73.86500135124348, 40.67786939116852]}",,2021-05-08T16:39:00,Work Completed,,,47.0,305.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-74.0586608701276, 40.60826642380138]}",,2022-09-09T17:19:00,Work Completed,,,74.0,501.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.97511492604929, 40.594199518484245]}",-73.974561,2017-11-28T20:14:00,Reviewed - Inspection Assigned,,,36.0,315.0,,,,,
"{'type': 'Point', 'coordinates': [-73.94834551163285, 40.720572242026854]}",,2022-09-17T14:18:00,No Action - Insufficient Info,,,57.0,301.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.96309492643628, 40.65564736455108]}",,2021-06-19T16:48:00,Inspected - Condition Not Found,,,50.0,355.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.96811321676435, 40.57628988501342]}",-73.967811,2023-06-21T09:13:08,,For One Address,46.0,35.0,313.0,,,48.0,311-14887177,
"{'type': 'Point', 'coordinates': [-73.97188497189255, 40.67227619104557]}",-73.971705,2021-10-26T18:46:03,,Remove Debris,52.0,50.0,306.0,,11215,39.0,311-08156933,
"{'type': 'Point', 'coordinates': [-73.8601461991543, 40.741311733939796]}",,2022-07-18T16:45:00,Work Completed,,,68.0,404.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.99540728172542, 40.68113261091024]}",,2021-06-14T16:05:00,Work Completed,,,48.0,306.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.97290216724018, 40.6811564002622]}",,2021-01-16T17:42:08,Inspected - Condition Not Found,,,50.0,308.0,,,,,
"{'type': 'Point', 'coordinates': [-73.96131333567239, 40.699520706560726]}",,2022-08-05T14:03:00,Inspected - No Work Order,,,56.0,301.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.93474330896916, 40.59805469039154]}",-73.935093,2015-09-02T13:44:00,Work Completed,,41.0,36.0,315.0,,,46.0,,
"{'type': 'Point', 'coordinates': [-73.9615501098996, 40.70671262100561]}",,2022-06-18T23:48:00,Inspected - No Work Order,,,56.0,301.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.9467349877998, 40.57654220617864]}",,2020-09-16T14:09:00,Work Completed,,,36.0,315.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.9695090800395, 40.609348834511906]}",,2020-11-15T13:52:00,Inspected - Condition Not Found,,,39.0,312.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.94493111972885, 40.773708506863535]}",,2016-09-21T15:42:00,Reviewed - Inspection Assigned,,,11.0,108.0,,,,,
"{'type': 'Point', 'coordinates': [-73.98511153315472, 40.67993713633509]}",,2021-09-01T14:24:00,Work Completed,,,50.0,306.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-74.030105532609, 40.613194089485575]}",,2016-09-20T13:50:00,Reviewed - Inspection Assigned,,,41.0,310.0,,,,,
"{'type': 'Point', 'coordinates': [-73.94906987579496, 40.5995294847074]}",-73.949046,2015-07-23T16:08:00,,,41.0,36.0,315.0,"Business

Business",,48.0,,
"{'type': 'Point', 'coordinates': [-73.94060676008684, 40.71478614738179]}",,2020-06-04T15:28:00,Inspected - Condition Not Found,,,56.0,301.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.94035963370872, 40.57729563627985]}",,2020-08-05T22:07:00,Work Completed,,,36.0,315.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.74734188907861, 40.67354961197492]}",,2015-11-15T15:45:00,No Action - Insufficient Info,For One Address,,63.0,413.0,,na,,,
"{'type': 'Point', 'coordinates': [-73.75944686335593, 40.66387703261626]}",,2022-11-09T18:31:00,Work Priority Category - C,,,63.0,413.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.93505692503562, 40.87148043432581]}",,2019-05-10T16:09:52,,,,,,,,,,
"{'type': 'Point', 'coordinates': [-73.97855271741524, 40.6605 95162365624]}",,2020-06-11T20:15:00,Work Completed,,,50.0,355.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.91980843131363, 40.78021507230452]}",,2022-04-15T13:21:19,Work Priority Category - C,,,72.0,401.0,,,,,
"{'type': 'Point', 'coordinates': [-73.88825524410939, 40.82248935906566]}",,2021-12-19T15:09:39,Work Priority Category - D,,,24.0,202.0,,,,,
"{'type': 'Point', 'coordinates': [-73.77723030693863, 40.735857689450945]}",,2019-08-10T17:26:00,Work Order Created,,,65.0,408.0,,,,,
"{'type': 'Point', 'coordinates': [-73.96546084183015, 40.65521528104987]}",,2020-10-23T14:39:00,Work Completed,,,50.0,355.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.91739662760644, 40.88030288441929]}",,2023-03-26T21:30:18,Inspected - No Work Order,,,33.0,208.0,,,,,
"{'type': 'Point', 'coordinates': [-73.79031801146513, 40.69316500582316]}",,2019-04-17T17:24:00,Work Priority Category - C,,,61.0,412.0,,,,,
"{'type': 'Point', 'coordinates': [-73.96892339984674, 40.684102660260876]}",,2018-09-19T23:39:00,No Action - Insufficient Info,Branch or Limb Has Fallen Down,57.0,55.0,302.0,,11238,35.0,1-1-1619993542,
"{'type': 'Point', 'coordinates': [-73.90959211112995, 40.622388516124204]}",,2016-09-20T16:54:00,Reviewed - Inspection Assigned,,,38.0,318.0,,,,,
"{'type': 'Point', 'coordinates': [-73.97729789273288, 40.65614357859048]}",,2020-08-03T15:44:45,,Hitting Building,44.0,45.0,307.0,,11215,39.0,311-03435464,
"{'type': 'Point', 'coordinates': [-73.90000579718433, 40.697190126135936]}",-73.89981,2016-05-09T16:46:00,Planting Declined - Unplantable,,38.0,62.0,405.0,,,34.0,,
"{'type': 'Point', 'coordinates': [-74.00476565638863, 40.72144928988775]}",-74.00469,2023-06-28T02:13:16,,For One Address,,1.0,102.0,,,1.0,311-14969855,
"{'type': 'Point', 'coordinates': [-73.90681012384755, 40.8413739328946]}",,2018-02-24T20:47:00,Work Completed,,,27.0,204.0,,,,,
"{'type': 'Point', 'coordinates': [-73.85137490424394, 40.84863170041721]}",,2021-08-23T15:29:00,Inspected - No Work Order,,,32.0,211.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.92075733026324, 40.77941986201095]}",,2022-05-18T21:20:10,Inspected - Condition Not Found,,,72.0,401.0,,,,,
"{'type': 'Point', 'coordinates': [-73.81047451127802, 40.74743384615023]}",,2022-05-23T17:25:00,Work Priority Category - C,,,67.0,407.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.94435521786455, 40.77917958711182]}",-73.944217,2022-09-03T13:13:00,Work Completed,,,11.0,108.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.99012957660737, 40.699243783066805]}",,2020-05-19T18:31:00,Work Completed,,,54.0,302.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.97345765149991, 40.68091185095398]}",,2022-09-11T19:21:00,Inspected - No Work Order,,,50.0,308.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.90038096709736, 40.72627299348441]}",,2022-03-12T18:20:42,Work Priority Category - D,,,62.0,405.0,,,,,
"{'type': 'Point', 'coordinates': [-74.06894920654126, 40.61521922929445]}",,2019-05-31T12:17:00,Work Completed,,64.0,74.0,501.0,,,49.0,,
"{'type': 'Point', 'coordinates': [-73.85757816054978, 40.6979678934149]}",,2021-09-29T21:21:14,,,,60.0,,,,,,
"{'type': 'Point', 'coordinates': [-74.087111502379, 40.63032715133558]}",,2018-11-16T16:48:00,Work Completed,,,74.0,501.0,,,,,
"{'type': 'Point', 'coordinates': [-73.83708921344306, 40.72303213026422]}",,2020-09-21T16:24:00,Work Priority Category - C,,,70.0,406.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-74.01952310455172, 40.64556654902678]}",,2020-02-05T17:50:00,Inspected - Condition Not Found,,,45.0,307.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.88511132231588, 40.878391159476436]}",,2022-10-16T14:25:54,No Action - Insufficient Info,,,34.0,207.0,,,,,
"{'type': 'Point', 'coordinates': [-74.1209668969908, 40.626206346189655]}",,2020-08-09T22:03:00,Work Completed,,,74.0,501.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-74.08509346036857, 40.574184114994885]}",,2023-05-18T16:39:00,Inspected - No Work Order,,,76.0,595.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.91586985642039, 40.887280283179194]}",,2020-07-10T14:34:00,Work Priority Category - D,,,33.0,208.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-74.11939417385088, 40.62133477439316]}",,2023-05-08T13:31:00,Work Completed,,,74.0,501.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.94889797574336, 40.72108492311339]}",,2020-08-30T14:59:00,Inspected - Condition Not Found,,,57.0,301.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.94429710705514, 40.682340208538285]}",,2020-12-03T15:46:00,Work Priority Category - D,,,51.0,303.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.92223996391004, 40.77396596723623]}",,2016-09-22T14:20:00,Planting Declined - Unplantable,,,72.0,401.0,,,,,
"{'type': 'Point', 'coordinates': [-73.93906092412007, 40.84217643929594]}",,2021-09-04T14:22:00,Work Completed,,,21.0,112.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.90538650994054, 40.697562755577316]}",-73.905572,2016-05-12T17:23:00,Reviewed - Inspection Assigned,,38.0,62.0,405.0,,,34.0,,
"{'type': 'Point', 'coordinates': [-73.72472214149533, 40.74082500090311]}",,2020-08-21T13:30:00,Inspected - Condition Not Found,,,63.0,413.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.8633457661643, 40.67591546702085]}",,2021-09-02T16:04:23,Inspected - No Work Order,,,47.0,305.0,,,,,
"{'type': 'Point', 'coordinates': [-73.97187258761899, 40.693895051860494]}",,2017-11-02T13:59:00,Work Completed,,,55.0,302.0,,,,,
"{'type': 'Point', 'coordinates': [-74.1494098549983, 40.610194500891694]}",-74.149269,2015-06-08T14:23:00,Work Completed,,,75.0,501.0,,,,,
"{'type': 'Point', 'coordinates': [-73.91005481607924, 40.88231929455241]}",,2023-04-14T14:59:56,Inspected - No Work Order,,,33.0,208.0,,,,,
"{'type': 'Point', 'coordinates': [-74.1514163224298, 40.5474091201356]}",-74.151186,2016-09-07T16:21:00,Work Completed,,64.0,76.0,503.0,,,51.0,,
"{'type': 'Point', 'coordinates': [-74.03411738047618, 40.62315117334043]}",-74.033987,2017-10-25T16:07:54,Work Completed,Branch or Limb Has Fallen Down,46.0,41.0,310.0,,11209,43.0,1-1-1478499271,1.0
"{'type': 'Point', 'coordinates': [-73.89764516245728, 40.74888334261785]}",,2023-06-25T16:29:59,,,,66.0,402.0,,,,,
"{'type': 'Point', 'coordinates': [-73.8937539163317, 40.671339211635235]}",,2021-04-18T16:45:00,Work Completed,,,47.0,305.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.98856211978796, 40.66280811551496]}",,2020-01-16T19:09:00,Inspected - Condition Not Found,,,45.0,307.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-74.13883953859369, 40.563051892505705]}",,2015-07-08T15:23:00,Work Completed,,62.0,76.0,503.0,,,51.0,,
"{'type': 'Point', 'coordinates': [-73.94334951373776, 40.673502798692795]}",,2021-08-09T11:15:00,Work Completed,,,49.0,308.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-74.1212294899615, 40.62431728150371]}",,2020-01-21T19:34:00,Work Completed,,,74.0,501.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.95062211253571, 40.813196076623484]}",,2016-09-21T15:58:00,Reviewed - Inspection Assigned,,,17.0,109.0,,,,,
"{'type': 'Point', 'coordinates': [-73.87097937559895, 40.872767601542805]}",,2021-09-20T15:05:38,Work Completed,,,30.0,212.0,,,,,
"{'type': 'Point', 'coordinates': [-73.95184717647616, 40.69543093129816]}",,2023-06-20T17:29:00,Work Priority Category - C,,,51.0,303.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.93155546648427, 40.790321542728336]}",-73.92949,2022-07-26T21:16:00,Work Completed,,,16.0,111.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.76786022174045, 40.59835192356935]}",,2020-09-06T15:37:00,Work Completed,,,59.0,414.0,Other In House,,,,
"{'type': 'Point', 'coordinates': [-74.11434813548716, 40.61774878698419]}",,2018-03-26T12:46:00,Inspected - Condition Not Found,,,74.0,501.0,,,,,
"{'type': 'Point', 'coordinates': [-73.87263878422273, 40.87176841645076]}",,2021-10-06T13:41:17,Work Priority Category - D,,,34.0,,,,,,
"{'type': 'Point', 'coordinates': [-73.89224671397214, 40.877719817726806]}",,2022-09-18T14:52:01,Inspected - No Work Order,,,34.0,207.0,,,,,
"{'type': 'Point', 'coordinates': [-73.87606664821323, 40.87799731714032]}",,2022-10-02T14:49:45,Work Priority Category - C,,,34.0,207.0,,,,,
"{'type': 'Point', 'coordinates': [-74.01760684898731, 40.63419866422926]}",,2021-08-31T13:51:00,Work Priority Category - C,,,41.0,310.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.95152898819663, 40.71667265265195]}",,2015-04-10T15:39:00,Work Completed,,50.0,57.0,301.0,,,33.0,,
"{'type': 'Point', 'coordinates': [-73.87061506020125, 40.86702787230982]}",,2021-12-03T15:57:23,Work Completed,,,32.0,227.0,,,,,
"{'type': 'Point', 'coordinates': [-74.12157816019338, 40.62329027709524]}",,2018-06-13T13:04:00,Work Completed,,,74.0,501.0,,,,,
"{'type': 'Point', 'coordinates': [-73.91426887743913, 40.8594227816609]}",,2021-07-03T17:10:39,Work Priority Category - D,,,29.0,205.0,,,,,
"{'type': 'Point', 'coordinates': [-74.15723390339393, 40.607935413723204]}",,2018-06-18T12:55:00,Work Completed,,,75.0,502.0,,,,,
"{'type': 'Point', 'coordinates': [-73.96170033327975, 40.60677061304067]}",-73.961476,2015-08-06T23:02:00,Work Completed,,45.0,36.0,315.0,,,48.0,,
"{'type': 'Point', 'coordinates': [-73.98246118235512, 40.771829244792386]}",-73.982544,2022-06-09T14:43:00,Reviewed - Block Pruning,,,12.0,107.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.91746908943614, 40.8861644077805]}",,2017-09-08T14:30:00,Work Completed,,,33.0,208.0,,,,,
"{'type': 'Point', 'coordinates': [-73.98242830093264, 40.78586647165551]}",-73.976076,2021-09-11T10:41:00,Work Completed,,,12.0,107.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.95950203996978, 40.66026683952476]}",-73.959599,2020-08-25T13:10:06,,Hitting Building,43.0,44.0,309.0,,,40.0,311-03729092,
"{'type': 'Point', 'coordinates': [-73.90077211576336, 40.90349423558317]}",-73.900364,2015-05-13T12:11:00,Work Completed,Dead/Dying Tree,81.0,33.0,208.0,,,11.0,,2.0
"{'type': 'Point', 'coordinates': [-73.90908759639683, 40.8428032091623]}",,2021-11-22T17:12:44,Inspected - No Work Order,,,27.0,204.0,,,,,
"{'type': 'Point', 'coordinates': [-73.92242407519473, 40.834242925138156]}",-73.922456,2020-08-05T12:21:46,,Branch or Limb Has Fallen Down,84.0,27.0,204.0,,,16.0,311-03472376,
"{'type': 'Point', 'coordinates': [-73.896678745801, 40.742345952323554]}",,2022-02-04T17:22:00,Inspected - No Work Order,,,66.0,402.0,"Business

Business",,,,
"t', 'coordinates': [-73.90228735273695,",,2022-10-03T15:08:00,Work Priority Category - C,,,66.0,402.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.78851857716184, 40.71179745542287]}",,2023-05-29T20:37:22,Work Priority Category - C,,,61.0,412.0,,,,,
"{'type': 'Point', 'coordinates': [-73.93472854528032, 40.8590954512274]}",,2020-08-05T17:51:00,Work Completed,,,22.0,112.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.91123368739159, 40.66384308573577]}",,2020-09-23T14:40:00,Inspected - No Work Order,,,46.0,316.0,"Business

Business",,,,
