manhattan_cooperatives_comparable_properties_address,borough,comparable_rental_2_gross_income_per_sqft,postcode,comparable_rental_2_building_classification,comparable_rental_1_neighborhood,comparable_rental_1_boro_block_lot,manhattan_cooperatives_comparable_properties_est_gross_income,longitude,comparable_rental_1_address,comparable_rental_1_est_gross_income,community_council,comparable_rental_1_year_built,bbl,manhattan_cooperatives_comparable_properties_total_units
"{'latitude': '40.806375053606', 'longitude': '-73.965932131829', 'human_address': '{""address"": ""615 113 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,22.72,,D1-ELEVATOR,UPPER WEST SIDE (96-116),1-01867-0049,634616,,"{'latitude': '40.805560031421', 'longitude': '-73.960072608945', 'human_address': '{""address"": ""415 115 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",730652,,1920,,49
"{'latitude': '40.729254024482', 'longitude': '-74.003606466845', 'human_address': '{""address"": ""29 BEDFORD STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,38.9,10014.0,C5-WALK-UP,GREENWICH VILLAGE-WEST,1-00528-0065,296990,-74.003612,"{'latitude': '40.729640732955', 'longitude': '-74.004613707518', 'human_address': '{""address"": ""72 CARMINE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",254424,3.0,1910,1005280037.0,14
"{'latitude': '40.767642295953', 'longitude': '-73.98081284498', 'human_address': '{""address"": ""271 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,20.5,10000.0,D9-ELEVATOR,UPPER WEST SIDE (79-96),1-01236-0044,1842346,-73.965126,"{'latitude': '40.789976247901', 'longitude': '-73.975070978856', 'human_address': '{""address"": ""2412 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1757811,6.0,1915,1011110001.0,27
"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""1809 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,16.67,,D1-ELEVATOR,HARLEM-CENTRAL,1-01735-0040,558812,,"{'latitude': '40.81463825871', 'longitude': '-73.936092227915', 'human_address': '{""address"": ""10 138 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",755918,,1984,,36
"{'latitude': '40.747878983709', 'longitude': '-73.978632294092', 'human_address': '{""address"": ""273 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,40.1,10016.0,D6-ELEVATOR,MURRAY HILL,1-00893-0082,4425000,-73.97871,"{'latitude': '40.596249574187', 'longitude': '-73.990182219467', 'human_address': '{""address"": ""106 38 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",4728000,4.0,1930,1008920025.0,117
"{'latitude': '40.728912282111', 'longitude': '-73.993803856726', 'human_address': '{""address"": ""712 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,41.5,10003.0,D7-ELEVATOR,CHELSEA,1-00767-0043,2120000,-73.993852,"{'latitude': '40.740882258321', 'longitude': '-73.997985704162', 'human_address': '{""address"": ""128 7 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1824000,2.0,1959,1005450008.0,20
"{'latitude': '40.800201539374', 'longitude': '-73.967939355163', 'human_address': '{""address"": ""2730 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,16.75,10025.0,D3-ELEVATOR,UPPER WEST SIDE (96-116),1-01872-0061,2025738,-73.96806,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""832 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1970222,7.0,1913,1018760046.0,74
"{'latitude': '40.736097865125', 'longitude': '-74.006700134626', 'human_address': '{""address"": ""760 GREENWICH STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,32.3,10014.0,D1-ELEVATOR,GREENWICH VILLAGE-WEST,1-00592-0062,1650000,-74.006726,"{'latitude': '40.733202048191', 'longitude': '-74.000629710928', 'human_address': '{""address"": ""140 WAVERLY PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",457000,3.0,1930,1006340023.0,55
"{'latitude': '40.586751520501', 'longitude': '-73.986894902924', 'human_address': '{""address"": ""146 49 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,36.5,,D7-ELEVATOR,UPPER WEST SIDE (59-79),1-01163-0011,1115400,,"{'latitude': '40.634544504763', 'longitude': '-74.027971626852', 'human_address': '{""address"": ""251 71 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1101337,,1920,,40
"{'latitude': '40.766297098869', 'longitude': '-73.963109995866', 'human_address': '{""address"": ""1131 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,41.5,10065.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),1-01559-0019,10382688,-73.963322,"{'latitude': '40.771720010706', 'longitude': '-73.950195731525', 'human_address': '{""address"": ""1493 YORK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10263132,4.0,1956,1014210001.0,260
"{'latitude': '40.624073766538', 'longitude': '-74.024383457306', 'human_address': '{""address"": ""514 82 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,32.7,,C1-WALK-UP,UPPER EAST SIDE (79-96),1-01560-0013,294880,,"{'latitude': '40.626825955216', 'longitude': '-74.025785703846', 'human_address': '{""address"": ""429 80 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",311174,,1925,,15
"{'latitude': '40.801442603774', 'longitude': '-73.970655307692', 'human_address': '{""address"": ""325 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,23.14,10025.0,D3-ELEVATOR,UPPER WEST SIDE (96-116),1-01863-0029,1722677,-73.970415,"{'latitude': '40.800858044455', 'longitude': '-73.96168906706', 'human_address': '{""address"": ""980 COLUMBUS AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2245387,6.0,1900,1018910035.0,53
"{'latitude': '40.571786989521', 'longitude': '-74.141760212495', 'human_address': '{""address"": ""20 MOORE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,23.81,,D7-ELEVATOR,CLINTON,1-01054-0056,1575600,,"{'latitude': '40.648609207133', 'longitude': '-74.008627327677', 'human_address': '{""address"": ""444 45 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1841320,,1926,,20
"{'latitude': '40.671010943345', 'longitude': '-73.993639710354', 'human_address': '{""address"": ""54 11 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,40.9,,D7-ELEVATOR,GREENWICH VILLAGE-WEST,1-00591-0040,890000,,"{'latitude': '40.733067149887', 'longitude': '-74.00405612786', 'human_address': '{""address"": ""317 BLEECKER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1866000,,1900,,11
"{'latitude': '40.73224876684', 'longitude': '-74.006511277', 'human_address': '{""address"": ""482 HUDSON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,32.3,10014.0,D1-ELEVATOR,GREENWICH VILLAGE-WEST,1-00590-0034,775000,-74.006524,"{'latitude': '40.731610248199', 'longitude': '-74.0015919855', 'human_address': '{""address"": ""7 CORNELIA STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",880000,3.0,1900,1005850012.0,35
"{'latitude': '40.785101922502', 'longitude': '-73.957786009453', 'human_address': '{""address"": ""1107 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,,10128.0,,UPPER EAST SIDE (79-96),1-01516-0052,4277936,-73.957696,"{'latitude': '40.624059954012', 'longitude': '-74.040199289359', 'human_address': '{""address"": ""16O 88 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",3830555,4.0,1963,1015030069.0,30
"{'latitude': '40.804561967615', 'longitude': '-73.951752718933', 'human_address': '{""address"": ""202 118 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,17.35,,C7-WALK-UP,HARLEM-CENTRAL,1-01941-0033,255084,,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""2308 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",241519,,1910,,20
"{'latitude': '40.656356518621', 'longitude': '-74.007741064071', 'human_address': '{""address"": ""137 36 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,36.7,,D1-ELEVATOR,MURRAY HILL,1-00888-0055,3650000,,"{'latitude': '40.656410986197', 'longitude': '-74.003425307448', 'human_address': '{""address"": ""142 33 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",910000,,1927,,112
"{'latitude': '40.635529157222', 'longitude': '-74.035325071254', 'human_address': '{""address"": ""45 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,25.1,,D6-ELEVATOR,UPPER EAST SIDE (79-96),1-01517-0020,3060552,,"{'latitude': '40.780956047947', 'longitude': '-73.954494490825', 'human_address': '{""address"": ""1327 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2247303,,1927,,50
"{'latitude': '40.566452986872', 'longitude': '-74.122274606573', 'human_address': '{""address"": ""323 8 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,26.2,,C1-WALK-UP,ALPHABET CITY,1-00376-0011,375015,,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""238 7 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",524000,,1900,,25
"{'latitude': '40.602550096998', 'longitude': '-74.002718227941', 'human_address': '{""address"": ""147 22 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,34.6,,D1-ELEVATOR,CHELSEA,1-00775-0009,1480000,,"{'latitude': '40.599395932882', 'longitude': '-74.002409502923', 'human_address': '{""address"": ""245 25 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1237000,,1938,,15
"{'latitude': '40.586558693814', 'longitude': '-73.987003287383', 'human_address': '{""address"": ""155 49 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,39.9,,D5-ELEVATOR,MIDTOWN WEST,1-01036-0028,1489064,,"{'latitude': '40.650340069421', 'longitude': '-74.01134977815', 'human_address': '{""address"": ""305 45 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1395626,,1914,,71
"{'latitude': '40.649652804578', 'longitude': '-74.008728357742', 'human_address': '{""address"": ""411 44 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,35.5,,C4-WALK-UP,CLINTON,1-01053-0023,603120,,"{'latitude': '40.650131466406', 'longitude': '-74.00800951225', 'human_address': '{""address"": ""417 43 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",800597,,1910,,35
"{'latitude': '40.646538287835', 'longitude': '-74.018790159873', 'human_address': '{""address"": ""220 54 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,29.0,,D6-ELEVATOR,MIDTOWN EAST,1-01343-0049,3795660,,"{'latitude': '40.75528040401', 'longitude': '-73.968227138213', 'human_address': '{""address"": ""956 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",4084145,,1959,,148
"{'latitude': '40.764904409881', 'longitude': '-73.974442747668', 'human_address': '{""address"": ""46 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,50.0,10000.0,D5-ELEVATOR,UPPER WEST SIDE (79-96),1-01232-0014,5013193,-73.965126,"{'latitude': '40.787143383508', 'longitude': '-73.977373243251', 'human_address': '{""address"": ""2326 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",4157479,6.0,1925,1011110001.0,43
"{'latitude': '40.632737676598', 'longitude': '-74.026721493452', 'human_address': '{""address"": ""317 73 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,49.9,,C4-WALK-UP,UPPER EAST SIDE (59-79),1-01453-0007,390730,,"{'latitude': '40.629228991079', 'longitude': '-74.028293571255', 'human_address': '{""address"": ""309 78 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",296902,,1910,,20
"{'latitude': '40.737570596292', 'longitude': '-73.986044857212', 'human_address': '{""address"": ""26 GRAMERCY PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,35.5,10003.0,D1-ELEVATOR,MURRAY HILL,1-00885-0051,1700000,-73.985505,"{'latitude': '40.658074964642', 'longitude': '-74.001636044993', 'human_address': '{""address"": ""150 30 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",758000,2.0,1962,1008750055.0,78
"{'latitude': '40.64516637667', 'longitude': '-74.013386941768', 'human_address': '{""address"": ""411 52 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,33.0,,C4-WALK-UP,CLINTON,1-01053-0012,232500,,"{'latitude': '40.649745745118', 'longitude': '-74.007375750848', 'human_address': '{""address"": ""447 43 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",406485,,1920,,20
"{'latitude': '40.565468044408', 'longitude': '-74.123105305987', 'human_address': '{""address"": ""388 8 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,25.0,,D9-ELEVATOR,ALPHABET CITY,1-00405-0017,757954,,"{'latitude': '40.663456941643', 'longitude': '-73.979776692451', 'human_address': '{""address"": ""518 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",837000,,1930,,36
"{'latitude': '40.633894770992', 'longitude': '-74.028432703755', 'human_address': '{""address"": ""245 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,,,,UPPER EAST SIDE (79-96),1-01508-0001,3418578,,"{'latitude': '40.775731914748', 'longitude': '-73.960245477978', 'human_address': '{""address"": ""903 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",3205420,,1913,,125
"{'latitude': '40.764565767039', 'longitude': '-73.973644018691', 'human_address': '{""address"": ""24 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,38.0,10000.0,D9-ELEVATOR,MIDTOWN WEST,1-01271-0007,3443452,-73.965126,"{'latitude': '40.647270957414', 'longitude': '-74.021384779213', 'human_address': '{""address"": ""57 55 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",3902419,6.0,1962,1011110001.0,38
"{'latitude': '40.62318990761', 'longitude': '-74.033166549252', 'human_address': '{""address"": ""227 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,42.4,,C4-WALK-UP,UPPER EAST SIDE (59-79),1-01456-0005,449975,,"{'latitude': '40.640152195586', 'longitude': '-74.018794962238', 'human_address': '{""address"": ""405 61 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",439468,,1920,,20
"{'latitude': '40.621007751708', 'longitude': '-74.033628282056', 'human_address': '{""address"": ""246 90 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,42.4,,C4-WALK-UP,UPPER EAST SIDE (59-79),1-01467-0038,413600,,"{'latitude': '40.631919604891', 'longitude': '-74.024085854396', 'human_address': '{""address"": ""416 73 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",390724,,1910,,20
"{'latitude': '40.639132373423', 'longitude': '-74.023173426944', 'human_address': '{""address"": ""315 65 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,45.3,,D9-ELEVATOR,UPPER EAST SIDE (59-79),1-01438-0049,4732726,,"{'latitude': '40.763599132781', 'longitude': '-73.962156714515', 'human_address': '{""address"": ""1218 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9297636,,1996,,132
"{'latitude': '40.635673460552', 'longitude': '-74.035902058731', 'human_address': '{""address"": ""31 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,28.7,,D6-ELEVATOR,UPPER EAST SIDE (79-96),1-01509-0020,2592641,,"{'latitude': '40.62892422247', 'longitude': '-74.033804332886', 'human_address': '{""address"": ""151 80 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",3786579,,1922,,34
"{'latitude': '40.737797908748', 'longitude': '-73.98506236165', 'human_address': '{""address"": ""38 GRAMERCY PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,39.0,10010.0,D6-ELEVATOR,MURRAY HILL,1-00885-0051,760000,-73.984538,"{'latitude': '40.658074964642', 'longitude': '-74.001636044993', 'human_address': '{""address"": ""150 30 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",758000,2.0,1962,1008760026.0,38
"{'latitude': '40.624231379941', 'longitude': '-74.030381558405', 'human_address': '{""address"": ""310 85 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,22.34,,D9-ELEVATOR,UPPER WEST SIDE (79-96),1-01253-0048,1011864,,"{'latitude': '40.795246274992', 'longitude': '-73.976006273766', 'human_address': '{""address"": ""227 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1141116,,1930,,36
"{'latitude': '40.765745648338', 'longitude': '-73.976307984392', 'human_address': '{""address"": ""101 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,36.4,10000.0,D9-ELEVATOR,MIDTOWN CBD,1-01302-0033,13836096,-73.965126,"{'latitude': '40.754255176897', 'longitude': '-73.971905365313', 'human_address': '{""address"": ""760 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10353518,6.0,1929,1011110001.0,104
"{'latitude': '40.607483609471', 'longitude': '-74.003678062395', 'human_address': '{""address"": ""12 17 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,43.1,,D9-ELEVATOR,FLATIRON,1-00844-0008,1058400,,"{'latitude': '40.6680646639', 'longitude': '-73.995844244183', 'human_address': '{""address"": ""9 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1268777,,1900,,12
"{'latitude': '40.636054385608', 'longitude': '-74.034401218191', 'human_address': '{""address"": ""59 71 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,29.4,,D3-ELEVATOR,MIDTOWN EAST,1-01320-0018,1924160,,"{'latitude': '40.587999759579', 'longitude': '-73.989276123648', 'human_address': '{""address"": ""235 46 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2191782,,1938,,40
"{'latitude': '40.628511774964', 'longitude': '-74.035608073698', 'human_address': '{""address"": ""100 81 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,40.1,,D9-ELEVATOR,UPPER WEST SIDE (59-79),1-01163-0011,945280,,"{'latitude': '40.634544504763', 'longitude': '-74.027971626852', 'human_address': '{""address"": ""251 71 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1101337,,1920,,17
"{'latitude': '40.835940596818', 'longitude': '-73.945798046802', 'human_address': '{""address"": ""834 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,11.16,10032.0,D1-ELEVATOR,WASHINGTON HEIGHTS LOWER,1-02145-0031,475200,-73.945818,"{'latitude': '40.847970773988', 'longitude': '-73.936717668743', 'human_address': '{""address"": ""660 178 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",341530,7.0,1929,1021360018.0,31
"{'latitude': '40.725395932977', 'longitude': '-73.992850575375', 'human_address': '{""address"": ""10 BLEECKER STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,46.0,10012.0,D5-ELEVATOR,GREENWICH VILLAGE-CENTRAL,1-00558-0044,1421245,-73.992701,"{'latitude': '40.670434681263', 'longitude': '-73.994075591727', 'human_address': '{""address"": ""115 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",2120000,1.0,1900,1005210071.0,25
"{'latitude': '40.635882707671', 'longitude': '-74.03695502964', 'human_address': '{""address"": ""12 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,41.5,,D5-ELEVATOR,UPPER WEST SIDE (79-96),1-01201-0034,5724576,,"{'latitude': '40.767682390306', 'longitude': '-73.980909457879', 'human_address': '{""address"": ""275 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",7512261,,1931,,174
"{'latitude': '40.778258081859', 'longitude': '-73.951454782366', 'human_address': '{""address"": ""1659 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,43.8,10028.0,D7-ELEVATOR,UPPER EAST SIDE (59-79),1-01453-0027,12536886,-73.951678,"{'latitude': '40.628237010694', 'longitude': '-74.027751188525', 'human_address': '{""address"": ""350 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",23139484,5.0,1989,1015320022.0,261
"{'latitude': '40.663281572336', 'longitude': '-73.979284338474', 'human_address': '{""address"": ""547 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,24.98,,C7-WALK-UP,ALPHABET CITY,1-00394-0065,305562,,"{'latitude': '40.664234710764', 'longitude': '-73.979499434', 'human_address': '{""address"": ""607 11 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",253000,,1900,,16
"{'latitude': '40.64479920707', 'longitude': '-74.009854255647', 'human_address': '{""address"": ""520 50 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,41.2,,C1-WALK-UP,CLINTON,1-01078-0014,295275,,"{'latitude': '40.645249922576', 'longitude': '-74.008947878843', 'human_address': '{""address"": ""533 49 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",360534,,1901,,20
