manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_neighborhood,comparable_rental_1_total_units,census_tract,nta,comparable_rental_1_gross_sqft,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_building_classification,comparable_rental_2_est_gross_income,community_board
1-01882-0058,"{'latitude': '40.804037038795', 'longitude': '-73.964431874096', 'human_address': '{""address"": ""536 111 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",47020,5330000.0,111.0,UPPER WEST SIDE (96-116),38,,,47832,99.0,D1-ELEVATOR,1286634.0,
1-00531-0027,"{'latitude': '40.574108882799', 'longitude': '-74.118025178697', 'human_address': '{""address"": ""28 4 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",31756,2620000.0,204.0,GRAMERCY,12,,,33450,173.0,D7-ELEVATOR,534000.0,
1-02179-0440,"{'latitude': '40.856535071289', 'longitude': '-73.937200528202', 'human_address': '{""address"": ""350 CABRINI BOULEVARD"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",91968,5060000.0,54.0,WASHINGTON HEIGHTS UPPER,54,275.0,Washington Heights North                                                   ,84318,51.0,D7-ELEVATOR,1496368.0,12.0
1-02250-0014,"{'latitude': '40.871971580231', 'longitude': '-73.919184353761', 'human_address': '{""address"": ""586 215 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",38505,2700000.0,63.0,INWOOD,43,,,42874,51.0,D1-ELEVATOR,722668.0,
1-01506-0003,"{'latitude': '40.786819627578', 'longitude': '-73.956499978951', 'human_address': '{""address"": ""1133 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",60192,10200000.0,162.0,UPPER EAST SIDE (79-96),52,16001.0,Upper East Side-Carnegie Hill                                              ,57666,168.0,D6-ELEVATOR,2196563.0,8.0
1-01881-0011,"{'latitude': '40.802899509003', 'longitude': '-73.965464673888', 'human_address': '{""address"": ""243 109 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9640,948000.0,99.0,UPPER WEST SIDE (96-116),15,,,8760,87.0,C4-WALK-UP,228813.0,
1-01893-0032,"{'latitude': '40.804356407149', 'longitude': '-73.968514921262', 'human_address': '{""address"": ""370 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",132981,9890000.0,69.0,UPPER WEST SIDE (96-116),97,195.0,Morningside Heights                                                        ,153653,69.0,D3-ELEVATOR,2646375.0,7.0
1-01030-0039,"{'latitude': '40.766983878678', 'longitude': '-73.979379529966', 'human_address': '{""address"": ""210 CENTRAL PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",122071,22600000.0,178.0,MIDTOWN WEST,151,143.0,park-cemetery-etc-Manhattan                                                ,150000,163.0,D5-ELEVATOR,4851850.0,64.0
1-01245-0047,"{'latitude': '40.787889820793', 'longitude': '-73.981123416113', 'human_address': '{""address"": ""110 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",396076,110000000.0,165.0,UPPER WEST SIDE (79-96),293,171.0,Upper West Side                                                            ,335746,104.0,D8-ELEVATOR,23615531.0,7.0
1-00117-0001,"{'latitude': '40.712886219776', 'longitude': '-74.001194809111', 'human_address': '{""address"": ""185 PARK ROW"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",515425,77800000.0,158.0,FINANCIAL,443,27.0,Chinatown                                                                  ,434418,120.0,D6-ELEVATOR,16700000.0,3.0
1-01058-0024,"{'latitude': '40.647390580535', 'longitude': '-74.011010102342', 'human_address': '{""address"": ""413 48 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9475,2000000.0,203.0,CLINTON,20,,,9690,68.0,C4-WALK-UP,406485.0,
1-00542-0025,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""290 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",54924,7510000.0,174.0,GREENWICH VILLAGE-WEST,62,,,45496,163.0,D6-ELEVATOR,1612000.0,
1-01346-0014,"{'latitude': '40.645557028633', 'longitude': '-74.015532917777', 'human_address': '{""address"": ""333 53 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",118694,16000000.0,146.0,UPPER WEST SIDE (79-96),85,,,116021,140.0,D3-ELEVATOR,3442772.0,
1-01504-0031,"{'latitude': '40.784211593693', 'longitude': '-73.954395565402', 'human_address': '{""address"": ""1160 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",181136,34200000.0,188.0,UPPER EAST SIDE (59-79),182,16001.0,Upper East Side-Carnegie Hill                                              ,189612,107.0,D6-ELEVATOR,6975958.0,8.0
1-01236-0003,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""584 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",64865,6600000.0,99.0,UPPER WEST SIDE (79-96),61,,,76193,116.0,D3-ELEVATOR,1592813.0,
1-01823-0063,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""1867 ADAM"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",26059,735000.0,28.8,HARLEM-CENTRAL,24,,,22164,30.3,D1-ELEVATOR,283616.0,
1-01393-0043,"{'latitude': '40.630403870955', 'longitude': '-74.036138455808', 'human_address': '{""address"": ""66 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",55760,11200000.0,205.0,UPPER EAST SIDE (79-96),66,,,56980,208.0,D6-ELEVATOR,2285177.0,
1-01540-0035,"{'latitude': '40.617530530958', 'longitude': '-74.034861797229', 'human_address': '{""address"": ""224 95 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8150,1230000.0,151.0,UPPER EAST SIDE (59-79),16,,,8016,177.0,C4-WALK-UP,263057.0,
1-00373-0049,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""311 3 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",20076,1670000.0,104.0,ALPHABET CITY,29,,,16002,55.0,C7-WALK-UP,403000.0,
1-00354-0031,"{'latitude': '40.719640271989', 'longitude': '-73.986933036422', 'human_address': '{""address"": ""128 RIVINGTON STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",19405,1400000.0,73.0,LOWER EAST SIDE,42,3001.0,Chinatown                                                                  ,21412,41.9,C7-WALK-UP,375000.0,3.0
1-01369-0029,"{'latitude': '40.64131330532', 'longitude': '-74.016141847295', 'human_address': '{""address"": ""446 58 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",18939,2160000.0,118.0,UPPER EAST SIDE (59-79),24,,,18654,140.0,D9-ELEVATOR,521002.0,
1-02072-0055,"{'latitude': '40.823264930787', 'longitude': '-73.950900909656', 'human_address': '{""address"": ""552 141 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",22518,1050000.0,35.7,HARLEM-UPPER,24,,,24200,27.6,D1-ELEVATOR,372451.0,
1-01185-0019,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""325 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",160203,22200000.0,157.0,UPPER WEST SIDE (79-96),233,,,160049,168.0,D6-ELEVATOR,4756889.0,
1-01683-0027,"{'latitude': '40.793150854664', 'longitude': '-73.937497304472', 'human_address': '{""address"": ""2159 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",22068,954000.0,30.0,HARLEM-EAST,48,180.0,East Harlem North                                                          ,22596,38.7,D1-ELEVATOR,450043.0,11.0
1-01150-0037,"{'latitude': '40.630146852484', 'longitude': '-74.035355758896', 'human_address': '{""address"": ""112 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",104238,19700000.0,188.0,UPPER WEST SIDE (79-96),64,,,109896,149.0,D1-ELEVATOR,4016950.0,
1-01331-0014,"{'latitude': '40.644833525462', 'longitude': '-74.02038282191', 'human_address': '{""address"": ""227 57 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",93153,21300000.0,200.0,MIDTOWN CBD,129,,,104810,177.0,D6-ELEVATOR,4331926.0,
1-01888-0036,"{'latitude': '40.797557532608', 'longitude': '-73.973542131406', 'human_address': '{""address"": ""264 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",82938,4730000.0,63.0,UPPER WEST SIDE (96-116),69,187.0,Upper West Side                                                            ,88930,67.0,D7-ELEVATOR,1264951.0,7.0
1-01827-0052,"{'latitude': '40.801171623144', 'longitude': '-73.955667859439', 'human_address': '{""address"": ""242 112 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",11630,1060000.0,103.0,HARLEM-CENTRAL,20,,,13200,27.2,C4-WALK-UP,312472.0,
1-01184-0028,"{'latitude': '40.780875108964', 'longitude': '-73.985449155074', 'human_address': '{""address"": ""5 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",127782,24500000.0,187.0,MIDTOWN CBD,213,159.0,Lincoln Square                                                             ,143791,177.0,D7-ELEVATOR,5000929.0,7.0
1-00567-0007,"{'latitude': '40.733431455104', 'longitude': '-73.995440956448', 'human_address': '{""address"": ""33 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",65028,7330000.0,256.0,GREENWICH VILLAGE-WEST,137,59.0,West Village                                                               ,97290,155.0,D7-ELEVATOR,1494000.0,2.0
1-01034-0019,"{'latitude': '40.651250628566', 'longitude': '-74.009866046842', 'human_address': '{""address"": ""325 43 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9535,1420000.0,163.0,MIDTOWN WEST,20,,,9975,70.0,C4-WALK-UP,305265.0,
1-01453-0001,"{'latitude': '40.772898122564', 'longitude': '-73.955366833194', 'human_address': '{""address"": ""1498 2 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",139000,,,,154,134.0,Lenox Hill-Roosevelt Island                                                ,128132,153.0,D6-ELEVATOR,,8.0
1-00740-0044,"{'latitude': '40.601425610061', 'longitude': '-74.009956986455', 'human_address': '{""address"": ""322 17 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10800,982000.0,190.0,GREENWICH VILLAGE-WEST,15,,,8000,79.0,C1-WALK-UP,200000.0,
1-00498-0017,"{'latitude': '40.723462390614', 'longitude': '-73.998408385516', 'human_address': '{""address"": ""543 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",60000,5510000.0,142.0,SOHO,86,49.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,44256,168.0,D1-ELEVATOR,1182870.0,2.0
1-01523-0014,"{'latitude': '40.78473320047', 'longitude': '-73.951751558636', 'human_address': '{""address"": ""1450 LEXINGTON AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",67882,10800000.0,157.0,UPPER EAST SIDE (79-96),65,15801.0,Upper East Side-Carnegie Hill                                              ,66731,149.0,D6-ELEVATOR,2309430.0,8.0
1-01508-0027,"{'latitude': '40.629421966378', 'longitude': '-74.032515319857', 'human_address': '{""address"": ""173 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",92216,7840000.0,96.0,UPPER EAST SIDE (59-79),87,,,75854,149.0,D3-ELEVATOR,1892995.0,
1-01163-0001,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""246 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",125284,16000000.0,146.0,UPPER WEST SIDE (79-96),54,,,104942,149.0,D3-ELEVATOR,3442772.0,
1-01394-0007,"{'latitude': '40.642926634963', 'longitude': '-74.02193348898', 'human_address': '{""address"": ""118 60 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",325173,,,,176,,,348130,145.0,D6-ELEVATOR,,
1-01224-0013,"{'latitude': '40.619513921485', 'longitude': '-74.03660121705', 'human_address': '{""address"": ""149 93 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",34322,5300000.0,138.0,CLINTON,48,,,31152,91.0,C1-WALK-UP,1137773.0,
1-01215-0061,"{'latitude': '40.625122361259', 'longitude': '-74.034207910981', 'human_address': '{""address"": ""170 85 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",20945,2290000.0,100.0,UPPER WEST SIDE (59-79),22,,,19573,55.0,C7-WALK-UP,552064.0,
1-01392-0070,"{'latitude': '40.776099708989', 'longitude': '-73.964378039927', 'human_address': '{""address"": ""965 5 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",113150,,,,41,142.0,Upper East Side-Carnegie Hill                                              ,113052,161.0,D6-ELEVATOR,,8.0
1-01244-0063,"{'latitude': '40.786325000462', 'longitude': '-73.981366233061', 'human_address': '{""address"": ""90 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",282295,35000000.0,141.0,UPPER WEST SIDE (79-96),174,167.0,Upper West Side                                                            ,323690,95.0,D3-ELEVATOR,7512261.0,7.0
1-01046-0038,"{'latitude': '40.644115500159', 'longitude': '-74.017772448743', 'human_address': '{""address"": ""306 56 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",65000,10300000.0,117.0,MIDTOWN EAST,109,,,84000,140.0,D6-ELEVATOR,2483712.0,
1-01379-0051,"{'latitude': '40.640527472243', 'longitude': '-74.025611485126', 'human_address': '{""address"": ""30 65 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",147121,,,,94,,,147534,137.0,D6-ELEVATOR,,
