black,multi_racial,dbn,native_american,poverty,grade_6,school_name,grade_4,missing_race_ethnicity_data_1,year,grade_7,multi_racial_1,asian,english_language_learners_1
153,7,02M374,3,392,0,Gramercy Arts High School,0,0.021,2020-21,0,0.014,29,0.037
17,15,02M411,1,192,0,Baruch College Campus High School,0,0.023,2018-19,0,0.032,166,0.011
37,20,02M003,1,120,0,P.S. 003 Charrette School,102,0.002,2020-21,0,0.033,48,0.032
15,58,02M040,0,77,0,P.S. 040 Augustus Saint-Gaudens,106,0.002,2021-22,0,0.097,84,0.017
25,23,03M243,0,34,64,M.S. 243 Center School,0,0.0,2018-19,59,0.095,12,0.0
1,30,02M124,0,280,0,P.S. 124 Yung Wing,90,0.0,2021-22,0,0.05,539,0.237
56,0,01M015,2,155,0,P.S. 015 Roberto Clemente,29,0.0,2019-20,0,0.0,27,0.089
80,0,02M308,4,220,0,Lower Manhattan Arts Academy,0,0.038,2018-19,0,0.0,25,0.069
92,6,02M294,2,230,0,Essex Street Academy,0,0.028,2021-22,0,0.017,24,0.023
171,8,03M191,2,389,60,The Riverside School for Makers and Artists,56,0.002,2018-19,65,0.014,42,0.069
110,0,02M419,5,269,0,Landmark High School,0,0.006,2018-19,0,0.0,10,0.055
67,0,02M500,2,244,0,Unity Center for Urban Technologies,0,0.011,2019-20,0,0.0,29,0.06
81,55,02M167,4,342,394,J.H.S. 167 Robert F. Wagner,0,0.015,2021-22,389,0.048,230,0.035
196,0,02M400,9,980,0,High School for Environmental Studies,0,0.008,2017-18,0,0.0,145,0.085
93,2,02M313,1,175,0,"James Baldwin School, The: A School for Expedition",0,0.005,2020-21,0,0.01,5,0.09
50,1,02M399,1,187,0,The High School For Language And Diplomacy,0,0.017,2020-21,0,0.004,32,0.105
22,18,02M412,4,152,0,N.Y.C. Lab School for Collaborative Studies,0,0.028,2017-18,0,0.036,98,0.008
127,0,02M280,5,298,0,Manhattan Early College School for Advertising,0,0.027,2017-18,0,0.0,23,0.038
89,3,03M242,1,119,0,P.S. 242 - The Young Diplomats Magnet Academy,15,0.0,2019-20,0,0.021,4,0.079
103,3,01M448,5,507,0,University Neighborhood High School,0,0.0,2020-21,0,0.005,182,0.146
68,1,01M292,5,230,0,Orchard Collegiate Academy,0,0.017,2021-22,0,0.003,44,0.055
91,2,01M448,4,434,0,University Neighborhood High School,0,0.002,2021-22,0,0.004,178,0.144
13,45,02M234,1,73,0,P.S. 234 Independence School,67,0.002,2020-21,0,0.097,50,0.011
10,0,02M427,0,Above 95%,0,Manhattan Academy For Arts & Language,0,0.0,2017-18,0,0.0,4,0.684
71,1,02M533,7,361,0,Union Square Academy for Health Sciences,0,0.014,2021-22,0,0.002,51,0.073
53,21,02M297,1,164,341,M.S. 297,0,0.007,2018-19,220,0.037,48,0.034
42,1,02M529,3,154,0,Jacqueline Kennedy Onassis High School,0,0.0,2020-21,0,0.005,8,0.031
0,48,02M077,0,35,0,P.S. 77 Lower Lab School,58,0.003,2020-21,0,0.137,157,0.011
76,5,02M580,2,217,0,Richard R. Green High School of Teaching,0,0.014,2021-22,0,0.017,35,0.056
11,3,02M289,2,142,99,I.S. 289,0,0.004,2017-18,93,0.011,125,0.018
71,12,02M051,2,278,0,P.S. 051 Elias Howe,64,0.0,2018-19,0,0.025,62,0.073
76,44,03M054,7,224,255,J.H.S. 054 Booker T. Washington,0,0.016,2021-22,254,0.057,89,0.03
22,32,03M859,3,59,14,Special Music School,15,0.062,2019-20,12,0.105,43,0.007
36,57,02M391,1,80,0,District 2 Pre-K Center,0,0.0,2019-20,0,0.103,95,0.0
75,1,01M292,6,227,0,Orchard Collegiate Academy,0,0.024,2020-21,0,0.003,30,0.074
3,1,03M247,0,191,67,M.S. M247 Dual Language Middle School,0,0.0,2020-21,85,0.004,2,0.257
39,0,02M002,0,450,0,P.S. 002 Meyer London,79,0.0,2018-19,0,0.0,367,0.317
11,10,02M006,0,69,0,P.S. 006 Lillie D. Blake,79,0.003,2020-21,0,0.017,117,0.037
19,47,02M397,5,102,55,Spruce Street School,46,0.006,2020-21,59,0.096,96,0.03
24,66,02M276,1,102,91,Battery Park City School,64,0.003,2021-22,83,0.091,163,0.058
60,3,02M933,3,179,74,City Knoll Middle School,0,0.017,2017-18,85,0.013,23,0.089
59,0,03M402,2,223,0,The Urban Assembly School for Green Careers,0,0.004,2021-22,0,0.0,8,0.066
22,51,02M397,7,99,62,Spruce Street School,54,0.002,2018-19,61,0.091,92,0.025
12,71,02M040,1,86,0,P.S. 040 Augustus Saint-Gaudens,93,0.0,2018-19,0,0.1,86,0.025
139,0,03M149,5,Above 95%,33,P.S. 149 Sojourner Truth,22,0.0,2018-19,27,0.0,9,0.17
64,0,02M439,2,349,0,Manhattan Village Academy,0,0.042,2018-19,0,0.0,40,0.02
102,0,01M034,3,Above 95%,39,P.S. 034 Franklin D. Roosevelt,43,0.003,2018-19,44,0.0,8,0.072
81,1,02M135,3,235,0,The Urban Assembly School for Emergency Management,0,0.007,2020-21,0,0.004,15,0.074
53,0,01M292,5,163,0,Orchard Collegiate Academy,0,0.01,2018-19,0,0.0,19,0.117
10,30,02M412,1,156,0,N.Y.C. Lab School for Collaborative Studies,0,0.023,2020-21,0,0.062,109,0.006
80,0,02M432,2,231,0,Murray Hill Academy,0,0.027,2019-20,0,0.0,16,0.019
102,5,04M007,2,336,45,P.S. 007 Samuel Stern,26,0.0,2019-20,53,0.014,18,0.117
66,15,01M696,0,258,0,Bard High School Early College,0,0.0,2018-19,0,0.024,178,0.002
180,5,02M400,11,952,0,High School for Environmental Studies,0,0.013,2018-19,0,0.004,125,0.087
102,3,04M072,6,532,73,The Lexington Academy,54,0.0,2019-20,79,0.005,11,0.087
222,2,03M076,4,Above 95%,29,P.S. 076 A. Philip Randolph,23,0.0,2021-22,38,0.007,3,0.095
44,0,02M002,0,Above 95%,0,P.S. 002 Meyer London,63,0.0,2020-21,0,0.0,287,0.302
14,6,02M289,1,146,90,I.S. 289,0,0.008,2020-21,82,0.023,135,0.053
44,0,02M047,1,196,0,47 The American Sign Language and English Secondar,0,0.013,2021-22,0,0.0,5,0.038
51,15,03M245,5,120,134,M.S. M245 The Computer School,0,0.012,2018-19,135,0.037,31,0.017
21,24,01M363,1,105,0,Neighborhood School,43,0.004,2021-22,0,0.097,16,0.016
74,2,03M256,3,116,52,Lafayette Academy,0,0.0,2018-19,47,0.013,1,0.124
274,165,03M485,7,806,0,Fiorello H. LaGuardia High School of Music & Art a,0,0.021,2018-19,0,0.06,543,0.002
49,20,02M225,10,96,30,Ella Baker School,35,0.0,2018-19,11,0.062,19,0.015
45,30,02M116,2,168,0,P.S. 116 Mary Lindley Murray,81,0.002,2018-19,0,0.06,112,0.05
116,52,02M033,4,312,0,P.S. 033 Chelsea Prep,113,0.0,2018-19,0,0.082,149,0.06
79,5,02M570,3,213,0,Satellite Academy High School,0,0.0,2019-20,0,0.02,2,0.094
83,9,03M862,1,199,123,Mott Hall II,0,0.011,2021-22,111,0.025,15,0.042
94,1,02M544,2,280,0,Independence High School,0,0.0,2018-19,0,0.003,4,0.075
106,1,02M139,5,326,0,Stephen T. Mather Building Arts & Craftsmanship Hi,0,0.005,2018-19,0,0.002,17,0.072
130,3,02M529,5,460,0,Jacqueline Kennedy Onassis High School,0,0.005,2017-18,0,0.005,35,0.102
7,32,02M089,2,87,0,P.S. 89,76,0.0,2017-18,0,0.074,75,0.046
69,1,02M533,2,355,0,Union Square Academy for Health Sciences,0,0.0,2019-20,0,0.002,44,0.062
182,7,03M185,3,272,0,The Locke School of Arts and Engineering,54,0.0,2019-20,0,0.02,5,0.032
66,1,02M432,4,215,0,Murray Hill Academy,0,0.026,2020-21,0,0.004,28,0.023
13,69,02M040,2,68,0,P.S. 040 Augustus Saint-Gaudens,97,0.0,2019-20,0,0.099,98,0.026
116,1,02M419,4,309,0,Landmark High School,0,0.003,2017-18,0,0.003,11,0.066
111,2,03M149,3,185,31,P.S. 149 Sojourner Truth,21,0.0,2020-21,26,0.01,13,0.128
93,4,04M096,5,374,51,P.S. 096 Joseph Lanzetta,37,0.0,2018-19,51,0.01,8,0.211
40,7,01M063,1,162,0,The STAR Academy - P.S.63,26,0.014,2020-21,0,0.034,6,0.014
28,35,02M212,0,82,0,P.S. 212 Midtown West,53,0.0,2019-20,0,0.095,56,0.032
51,3,01M064,0,226,0,P.S. 064 Robert Simon,36,0.0,2017-18,0,0.012,11,0.02
31,2,03M250,0,80,31,M.S. 250 West Side Collaborative Middle School,0,0.0,2021-22,28,0.021,1,0.074
287,5,02M420,18,"1,365",0,High School for Health Professions and Human Servi,0,0.009,2018-19,0,0.003,395,0.042
18,65,03M087,0,67,0,P.S. 087 William Sherman,93,0.014,2021-22,0,0.104,56,0.029
106,49,02M033,5,291,0,P.S. 033 Chelsea Prep,88,0.0,2019-20,0,0.08,148,0.074
154,2,04M057,10,645,90,James Weldon Johnson,70,0.0,2019-20,81,0.003,31,0.123
89,19,02M551,4,309,0,Urban Assembly New York Harbor School,0,0.05,2021-22,0,0.036,33,0.029
101,1,02M615,2,381,0,Chelsea Career and Technical Education High School,0,0.011,2019-20,0,0.002,58,0.049
51,5,01M134,1,Above 95%,0,P.S. 134 Henrietta Szold,30,0.006,2021-22,0,0.028,13,0.045
28,13,03M291,1,82,113,West End Secondary School,0,0.005,2018-19,101,0.03,31,0.005
1,17,02M150,0,34,0,P.S. 150,29,0.0,2018-19,0,0.09,39,0.021
20,9,03M291,1,65,104,West End Secondary School,0,0.015,2017-18,102,0.027,27,0.009
54,0,01M458,1,132,0,Forsyth Satellite Academy,0,0.0,2020-21,0,0.0,5,0.081
4,0,03M247,0,199,85,M.S. M247 Dual Language Middle School,0,0.0,2019-20,77,0.0,2,0.234
66,0,02M438,2,306,0,International High School at Union Square,0,0.0,2017-18,0,0.0,65,0.864
102,0,02M139,3,333,0,Stephen T. Mather Building Arts & Craftsmanship Hi,0,0.005,2017-18,0,0.0,8,0.066
49,9,03M452,6,110,0,P.S. 452,43,0.008,2021-22,0,0.024,64,0.038
133,141,01M539,9,433,153,"New Explorations into Science, Technology and Math",144,0.0,2019-20,145,0.078,615,0.013
161,3,03M415,6,300,24,Wadleigh Secondary School for the Performing & Vis,0,0.017,2020-21,30,0.008,3,0.05
9,14,02M042,1,309,0,P.S. 042 Benjamin Altman,85,0.002,2021-22,0,0.027,411,0.221
85,3,02M655,4,294,0,The High School for Climate Justice,0,0.006,2020-21,0,0.009,29,0.102
94,57,02M167,8,428,464,J.H.S. 167 Robert F. Wagner,0,0.007,2018-19,448,0.041,251,0.03
150,1,03M415,4,229,34,Wadleigh Secondary School for the Performing & Vis,0,0.014,2017-18,24,0.004,2,0.032
54,35,02M104,2,375,265,J.H.S. 104 Simon Baruch,0,0.012,2021-22,307,0.039,340,0.031
98,53,02M167,7,400,427,J.H.S. 167 Robert F. Wagner,0,0.004,2019-20,471,0.039,249,0.034
42,5,02M605,1,184,0,Humanities Preparatory Academy,0,0.023,2021-22,0,0.019,26,0.069
86,1,04M072,1,566,66,The Lexington Academy,62,0.0,2017-18,81,0.002,16,0.119
46,10,02M198,3,180,0,P.S. 198 Isador E. Ida Straus,61,0.002,2017-18,0,0.022,96,0.059
27,18,02M003,3,132,0,P.S. 003 Charrette School,86,0.0,2021-22,0,0.032,47,0.047
43,32,02M003,3,137,0,P.S. 003 Charrette School,89,0.0,2019-20,0,0.045,62,0.032
165,1,03M415,5,257,25,Wadleigh Secondary School for the Performing & Vis,0,0.019,2018-19,38,0.003,2,0.029
21,45,02M260,4,122,88,The Clinton School,0,0.035,2021-22,94,0.059,112,0.004
27,65,03M166,0,91,0,P.S. 166 The Richard Rodgers School of The Arts an,111,0.003,2019-20,0,0.098,95,0.021
30,15,02M896,2,184,127,Lower Manhattan Community Middle School,0,0.0,2019-20,129,0.04,165,0.045
23,32,02M212,0,85,0,P.S. 212 Midtown West,53,0.0,2017-18,0,0.087,51,0.036
62,79,02M011,2,262,0,P.S. 011 William T. Harris,142,0.0,2019-20,0,0.088,143,0.027
31,57,03M166,2,97,0,P.S. 166 The Richard Rodgers School of The Arts an,104,0.012,2020-21,0,0.094,95,0.023
55,1,01M142,4,Above 95%,0,P.S. 142 Amalia Castro,44,0.006,2018-19,0,0.003,13,0.074
120,18,03M075,4,412,0,P.S. 075 Emily Dickinson,98,0.0,2017-18,0,0.032,12,0.154
1,42,02M077,0,42,0,P.S. 77 Lower Lab School,64,0.0,2018-19,0,0.117,118,0.0
72,34,03M333,3,149,50,P.S. 333 Manhattan School for Children,59,0.006,2021-22,48,0.068,37,0.022
16,19,02M114,5,50,148,East Side Middle School,0,0.024,2017-18,150,0.042,55,0.0
69,57,03M054,9,228,290,J.H.S. 054 Booker T. Washington,0,0.017,2020-21,266,0.069,94,0.028
253,5,02M420,17,"1,411",0,High School for Health Professions and Human Servi,0,0.012,2020-21,0,0.003,394,0.052
175,4,02M489,8,600,0,High School of Economics and Finance,0,0.008,2017-18,0,0.005,160,0.065
54,1,02M001,0,179,0,P.S. 001 Alfred E. Smith,38,0.0,2020-21,0,0.004,111,0.206
58,1,02M459,0,220,0,Manhattan International High School,0,0.007,2020-21,0,0.003,53,0.775
21,27,02M391,2,41,0,District 2 Pre-K Center,0,0.003,2017-18,0,0.076,66,0.0
62,0,01M515,1,408,0,Lower East Side Preparatory High School,0,0.0,2019-20,0,0.0,232,0.704
29,109,02M475,16,"1,460",0,Stuyvesant High School,0,0.004,2018-19,0,0.033,2425,0.0
89,3,02M534,3,305,0,Harvest Collegiate High School,0,0.035,2021-22,0,0.007,21,0.058
162,9,03M191,1,382,65,The Riverside School for Makers and Artists,46,0.0,2017-18,53,0.017,29,0.091
13,23,02M114,2,73,151,East Side Middle School,0,0.018,2018-19,148,0.051,63,0.0
41,9,02M347,1,129,17,The 47 American Sign Language & English Lower Scho,12,0.005,2020-21,12,0.047,6,0.141
95,0,01M650,4,205,0,Cascades High School,0,0.0,2017-18,0,0.0,10,0.029
103,0,02M308,2,273,0,Lower Manhattan Arts Academy,0,0.006,2021-22,0,0.0,27,0.062
60,19,02M126,2,538,118,P.S. 126 Jacob August Riis,54,0.0,2019-20,113,0.027,470,0.125
106,0,02M313,0,186,0,"James Baldwin School, The: A School for Expedition",0,0.004,2019-20,0,0.0,7,0.073
17,15,02M418,1,311,0,Millennium High School,0,0.034,2021-22,0,0.023,326,0.006
120,8,04M037,1,221,0,River East Elementary,32,0.0,2020-21,0,0.029,4,0.066
95,0,02M303,2,301,0,"Facing History School, The",0,0.008,2018-19,0,0.0,4,0.11
142,2,03M492,4,385,0,"High School for Law, Advocacy and Community Justic",0,0.007,2018-19,0,0.005,20,0.065
107,0,01M034,1,Above 95%,28,P.S. 034 Franklin D. Roosevelt,17,0.0,2021-22,47,0.0,8,0.062
11,54,02M234,0,71,0,P.S. 234 Independence School,100,0.002,2018-19,0,0.085,56,0.013
38,18,02M281,3,105,0,The River School,58,0.002,2021-22,0,0.039,157,0.133
47,2,01M332,0,180,69,University Neighborhood Middle School,0,0.0,2017-18,65,0.01,18,0.054
82,0,02M437,1,257,0,Hudson High School of Learning Technologies,0,0.01,2021-22,0,0.0,19,0.081
214,52,03M479,8,513,0,Beacon High School,0,0.069,2021-22,0,0.035,188,0.001
13,11,02M006,1,57,0,P.S. 006 Lillie D. Blake,81,0.003,2019-20,0,0.017,126,0.022
39,14,02M896,1,213,133,Lower Manhattan Community Middle School,0,0.0,2018-19,127,0.036,166,0.06
24,56,02M527,1,80,0,P.S. 527 - East Side School for Social Action,71,0.002,2021-22,0,0.128,75,0.044
78,25,03M163,0,242,0,P.S. 163 Alfred E. Smith,77,0.002,2020-21,0,0.051,41,0.074
53,2,02M001,1,229,0,P.S. 001 Alfred E. Smith,47,0.003,2018-19,0,0.007,147,0.19
65,1,02M432,5,202,0,Murray Hill Academy,0,0.04,2021-22,0,0.004,28,0.024
105,3,02M655,3,327,0,The High School for Climate Justice,0,0.003,2019-20,0,0.008,31,0.099
118,4,04M108,2,352,46,P.S. 108 Assemblyman Angelo Del Toro Educational C,23,0.003,2021-22,59,0.011,11,0.068
14,4,02M545,0,350,0,High School for Dual Language and Asian Studies,0,0.02,2017-18,0,0.01,341,0.131
44,5,03M417,3,266,0,Frank McCourt High School,0,0.034,2021-22,0,0.012,23,0.022
39,25,02M116,1,136,0,P.S. 116 Mary Lindley Murray,70,0.0,2020-21,0,0.061,88,0.083
5,21,02M267,0,53,0,"East Side Elementary School, PS 267",63,0.0,2019-20,0,0.048,50,0.037
8,22,02M267,0,55,0,"East Side Elementary School, PS 267",53,0.0,2021-22,0,0.057,63,0.031
126,2,03M492,6,370,0,"High School for Law, Advocacy and Community Justic",0,0.012,2019-20,0,0.005,22,0.052
119,17,03M075,2,384,0,P.S. 075 Emily Dickinson,112,0.0,2018-19,0,0.031,14,0.153
25,62,03M166,1,87,0,P.S. 166 The Richard Rodgers School of The Arts an,97,0.012,2021-22,0,0.105,94,0.017
70,0,03M404,0,151,0,Innovation Diploma Plus,0,0.0,2018-19,0,0.0,2,0.054
7,32,02M255,1,41,130,M.S. 255 Salk School of Science,0,0.003,2017-18,128,0.083,64,0.005
196,3,04M057,10,714,87,James Weldon Johnson,95,0.0,2018-19,99,0.004,35,0.113
6,24,02M267,0,39,0,"East Side Elementary School, PS 267",61,0.0,2020-21,0,0.06,47,0.033
66,0,03M402,1,254,0,The Urban Assembly School for Green Careers,0,0.016,2019-20,0,0.0,10,0.118
12,27,02M412,5,135,0,N.Y.C. Lab School for Collaborative Studies,0,0.021,2019-20,0,0.053,100,0.004
24,45,01M184,3,469,101,P.S. 184m Shuang Wen,51,0.001,2019-20,107,0.064,498,0.14
94,22,02M407,4,129,64,Institute for Collaborative Education,0,0.0,2017-18,68,0.045,34,0.008
91,15,03M862,3,213,105,Mott Hall II,0,0.012,2017-18,116,0.044,15,0.02
90,0,01M650,0,162,0,Cascades High School,0,0.0,2018-19,0,0.0,5,0.021
92,5,02M534,3,311,0,Harvest Collegiate High School,0,0.024,2020-21,0,0.011,25,0.038
21,13,02M442,2,57,22,"Ballet Tech, NYC Public School for Dance",26,0.0,2021-22,18,0.102,27,0.031
224,48,03M479,13,500,0,Beacon High School,0,0.078,2020-21,0,0.032,178,0.0
86,0,02M300,2,308,0,"Urban Assembly School of Design and Construction,",0,0.017,2017-18,0,0.0,18,0.104
112,0,02M305,1,281,0,"Urban Assembly Academy of Government and Law, The",0,0.006,2019-20,0,0.0,22,0.034
34,74,02M276,0,112,99,Battery Park City School,87,0.001,2017-18,92,0.089,162,0.031
144,7,02M519,2,305,0,Talent Unlimited High School,0,0.053,2019-20,0,0.013,19,0.008
57,2,01M142,5,301,0,P.S. 142 Amalia Castro,44,0.009,2020-21,0,0.006,1,0.066
22,74,02M276,0,120,99,Battery Park City School,87,0.001,2020-21,97,0.094,180,0.037
50,23,02M151,0,131,0,Yorkville Community School,53,0.003,2021-22,0,0.061,36,0.05
41,10,02M347,0,133,16,The 47 American Sign Language & English Lower Scho,11,0.0,2018-19,10,0.052,7,0.197
61,22,02M126,1,472,105,P.S. 126 Jacob August Riis,49,0.002,2021-22,104,0.037,368,0.115
25,48,02M391,2,47,0,District 2 Pre-K Center,0,0.0,2018-19,0,0.103,102,0.0
113,6,01M450,6,447,99,East Side Community School,0,0.015,2017-18,105,0.009,81,0.009
104,2,02M580,4,282,0,Richard R. Green High School of Teaching,0,0.003,2019-20,0,0.006,15,0.043
60,12,02M376,3,227,0,NYC iSchool,0,0.054,2021-22,0,0.026,38,0.013
150,2,02M288,1,335,0,Food and Finance High School,0,0.026,2017-18,0,0.005,17,0.053
17,8,02M006,2,83,0,P.S. 006 Lillie D. Blake,106,0.003,2017-18,0,0.012,103,0.029
70,15,02M051,1,281,0,P.S. 051 Elias Howe,59,0.0,2019-20,0,0.031,71,0.074
249,7,02M420,16,"1,309",0,High School for Health Professions and Human Servi,0,0.017,2021-22,0,0.004,370,0.053
202,37,03M479,11,527,0,Beacon High School,0,0.07,2018-19,0,0.026,128,0.001
64,2,01M134,3,273,0,P.S. 134 Henrietta Szold,57,0.007,2017-18,0,0.007,33,0.088
48,0,01M015,1,147,0,P.S. 015 Roberto Clemente,20,0.0,2018-19,0,0.0,24,0.046
113,5,04M037,1,221,0,River East Elementary,43,0.0,2019-20,0,0.019,2,0.057
144,0,04M108,3,405,62,P.S. 108 Assemblyman Angelo Del Toro Educational C,47,0.0,2017-18,59,0.0,15,0.091
12,48,02M059,5,47,0,P.S. 059 Beekman Hill International,82,0.0,2020-21,0,0.082,130,0.063
78,2,02M316,3,156,0,"Urban Assembly School of Business for Young Women,",0,0.006,2019-20,0,0.011,12,0.09
15,31,02M183,2,63,0,P.S. 183 Robert L. Stevenson,79,0.0,2019-20,0,0.051,96,0.079
3,38,02M089,2,18,0,P.S. 89,49,0.0,2020-21,0,0.112,75,0.076
81,2,01M448,2,431,0,University Neighborhood High School,0,0.0,2019-20,0,0.004,187,0.14
10,90,02M041,0,50,0,P.S. 041 Greenwich Village,90,0.0,2018-19,0,0.13,51,0.016
72,0,03M241,2,124,0,STEM Institute of Manhattan,32,0.0,2017-18,0,0.0,4,0.172
