nycgov_pov_stat,agep,est_incometax,nycgov_income,dis,povunit_rel
2,3,241534.41,375803.53,2,3
2,43,4734.2241,83605.102,2,4
2,72,9609.3584,84785.539,1,4
2,2,4147.9194,60048.949,2,3
1,55,-500.0,12685.553,2,4
1,64,0.0,10783.66,2,1
2,71,442.73404,59155.457,2,2
2,20,-2818.8745,59752.699,2,4
1,95,-8175.2144,35537.504,2,1
2,46,4618.7153,142167.5,2,1
1,6,-14732.632,29960.037,2,3
2,36,21170.678,59101.199,2,1
2,34,13080.374,80196.945,2,4
2,29,25966.777,130552.08,2,4
1,86,0.0,13337.996,1,1
2,84,3762.1802,109075.82,2,1
1,38,0.0,-2713.0,2,1
2,57,9609.3584,84785.539,2,4
1,63,-51.0,14217.164,1,1
2,12,95952.039,220150.11,2,3
2,34,12398.608,52901.098,2,1
1,66,0.0,280.32001,2,1
2,95,0.0,17296.268,1,1
1,89,0.0,-1281.0345,2,1
2,56,318179.66,438802.91,2,1
2,45,10146.971,52296.414,2,1
1,9,0.0,31098.99,1,3
1,56,0.0,237.0,2,2
2,30,4039.5901,23614.217,2,1
2,8,12752.104,87942.445,2,3
2,17,-9944.2686,46481.168,2,3
1,12,-3257.8718,50525.559,1,3
2,53,-4756.7866,23791.51,1,1
1,56,0.0,28043.254,2,1
2,79,11074.677,57838.91,1,4
2,57,20581.076,72173.961,2,1
2,15,4618.7153,142167.5,2,3
2,25,28565.195,73863.0,2,1
2,67,3075.0408,27186.857,2,1
2,76,0.0,33153.906,1,1
2,50,-1967.38,60102.742,1,2
1,54,633.82141,19130.223,2,2
2,74,3298.1333,43000.895,2,2
2,54,-878.19275,36299.742,2,1
2,73,10954.733,74048.594,2,1
2,11,-12218.837,41030.457,2,3
2,53,22871.297,124918.7,2,2
2,6,-11317.05,61047.0,2,3
2,53,4734.2241,83605.102,2,4
2,28,63132.172,144863.63,2,2
2,65,0.0,32123.096,2,2
2,10,241536.91,359024.22,2,3
2,29,31504.1,81546.031,2,2
2,35,9690.5361,153737.7,2,1
2,17,7085.7412,47623.891,2,3
2,13,12752.104,87942.445,2,3
2,40,10163.219,68523.719,2,4
2,31,11621.926,109029.68,2,4
2,46,-1527.2177,54910.676,2,1
1,32,-4721.4736,14662.853,1,4
2,36,39823.758,85673.008,2,1
2,61,5082.6245,34233.125,2,1
1,9,-8175.2144,35537.504,2,3
2,39,2234.6489,17623.133,2,1
2,18,30807.303,90503.313,2,4
2,9,9690.5361,153737.7,2,3
2,51,-1967.38,60102.742,2,1
1,4,0.0,16107.146,2,3
2,13,-1527.2177,54910.676,2,3
1,34,0.0,22131.006,1,4
2,13,-12218.837,41030.457,2,3
2,2,31409.23,144316.94,2,3
2,8,-5025.7788,47491.227,2,3
2,66,31044.83,90542.305,2,2
2,6,6512.5879,88324.672,2,3
2,30,4216.793,25299.576,2,1
1,60,0.0,2890.3694,1,1
2,18,7359.7676,45073.453,2,4
2,7,318179.66,438802.91,2,3
2,49,5052.0386,32812.324,2,2
2,89,25966.777,130552.08,2,1
1,47,-6278.0161,40521.395,2,1
2,22,-2475.4619,66525.875,2,4
2,39,22373.135,89569.656,2,1
2,13,-11317.05,61047.0,2,3
1,58,-8175.2144,35537.504,2,4
2,42,16459.545,101801.66,2,4
2,51,0.0,27872.674,2,4
2,60,10149.899,40073.254,2,1
2,41,4769.3882,40593.988,2,1
2,27,21200.502,85059.539,2,4
2,24,13404.611,47486.16,2,1
2,60,25006.021,96333.43,2,2
2,71,37406.105,123389.45,2,2
2,27,31136.049,135805.03,2,4
2,7,16459.545,101801.66,2,3
2,43,95952.039,220150.11,2,2
2,34,1784.2529,17122.244,2,1
1,19,-7115.0034,30081.068,2,4
2,68,95755.305,245724.14,2,1
2,50,-148.65997,87916.344,2,1
1,30,-235.03214,8728.4434,2,1
2,22,34208.129,129931.63,2,4
2,25,35408.574,142867.27,2,4
2,15,-2818.8745,59752.699,2,3
2,22,21431.385,85266.219,2,4
2,29,24224.207,65067.707,2,1
2,11,1596.895,119133.55,2,3
2,5,22871.297,124918.7,2,3
2,27,11988.177,62593.598,2,1
2,24,21769.869,68142.32,2,2
2,76,-5.9193411,37427.738,2,2
2,83,11312.644,66882.656,1,1
2,60,-79.516968,19941.521,1,1
2,55,4338.1792,46715.512,2,2
2,16,251204.61,380808.06,2,3
2,70,-7000.3267,53248.367,2,1
2,17,6980.8237,43690.957,2,3
2,14,31136.049,135805.03,2,3
2,34,-9944.2686,46481.168,2,1
1,39,-5637.5586,23188.855,2,1
2,37,5546.9976,59251.5,2,1
2,38,14398.937,94357.758,2,4
2,31,77490.273,175565.2,2,2
2,17,-11317.05,61047.0,2,3
2,64,245751.44,330625.41,2,1
2,24,7968.7476,92165.422,2,4
2,6,3762.1802,109075.82,2,3
1,41,-6662.5518,30911.928,2,1
2,69,3729.0413,95434.258,2,2
2,37,-9990.4404,49475.27,2,1
1,24,0.0,28043.254,2,4
2,86,-282.79276,24277.564,2,1
2,44,-8578.2021,48054.344,2,2
2,78,-1581.1896,39285.277,1,4
2,80,-95.125427,22722.986,2,1
2,64,0.0,49186.633,2,1
2,60,3022.3687,34990.051,2,1
2,14,-3253.1648,39647.813,2,3
2,59,17755.861,93321.898,2,1
1,29,1115.2131,19685.875,2,1
2,5,5305.4106,62901.41,2,3
1,49,0.0,31098.99,1,2
