brooklyn_condominium_property_condo_section,brooklyn_condominium_property_full_market_value,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_1_est_gross_income,comparable_rental_2_year_built,comparable_rental_1_neighborhood,brooklyn_condominium_property_total_units,comparable_rental_1_total_units,postcode,nta,census_tract,comparable_rental_2_gross_income_per_sqft,borough,comparable_rental_2_full_market_value,comparable_rental_1_gross_sqft
92-R1,2030002,0.2,591705,1910.0,WILLIAMSBURG-SOUTH,18,25,11211.0,North Side-South Side                                                      ,547.0,20.02,3,1990000.0,26631
2340-R1,4190000,2.4,480000,1910.0,GREENPOINT,50,11,11205.0,Bedford                                                                    ,241.0,15.66,3,1140000.0,16000
265-R1,471000,0.35,262702,,BAY RIDGE,18,24,11209.0,Bay Ridge                                                                  ,68.0,,3,,26700
2083-R1,2119998,0.8,304835,1915.0,WILLIAMSBURG-SOUTH,14,24,11206.0,Bedford                                                                    ,531.0,20.9,3,963000.0,14470
114-R1,2236000,0.8,410892,,SUNSET PARK,16,32,11219.0,Borough Park                                                               ,114.0,,3,,24620
1287-R1,2840000,1.05,591705,1915.0,WILLIAMSBURG-SOUTH,28,25,11206.0,Bedford                                                                    ,531.0,22.2,3,998000.0,26631
2311-R1,4349996,0.55,869182,,CROWN HEIGHTS,45,85,11238.0,Prospect Heights                                                           ,215.0,,3,,94596
1864-R1,1290006,1.55,214127,1915.0,SUNSET PARK,16,16,11215.0,Sunset Park West                                                           ,147.0,25.1,3,1370000.0,10460
2104-R1,1470004,0.5,1074387,1920.0,WILLIAMSBURG-EAST,16,35,11222.0,Greenpoint                                                                 ,499.0,29.2,3,4430000.0,37500
2051-R1,2880002,5.1,173106,,CROWN HEIGHTS,21,16,11229.0,Madison                                                                    ,560.0,,3,,6100
599-R1,3120000,0.45,891236,1920.0,PARK SLOPE,131,30,11215.0,Park Slope-Gowanus                                                         ,137.0,18.58,3,2450000.0,35298
2072-R1,2030002,0.8,304835,1915.0,WILLIAMSBURG-SOUTH,14,24,11206.0,Bedford                                                                    ,531.0,20.9,3,963000.0,14470
1691-R1,1279999,0.65,550145,1927.0,CARROLL GARDENS,13,22,11231.0,Carroll Gardens-Columbia Street-Red Hook                                   ,47.0,22.81,3,1850000.0,24150
1305-R1,2489998,0.2,846687,1930.0,CLINTON HILL,48,45,11238.0,Clinton Hill                                                               ,199.0,9.42,3,831000.0,35820
872-R1,7720008,1.1,3527222,1920.0,WILLIAMSBURG-NORTH,68,68,11249.0,Williamsburg                                                               ,545.0,28.5,3,5310000.0,105718
2358-R1,983999,0.1,295428,1910.0,WILLIAMSBURG-NORTH,12,15,11249.0,North Side-South Side                                                      ,555.0,20.7,3,650000.0,9400
2555-R1,2258238,1.6,881843,1949.0,DOWNTOWN-FULTON MALL,29,60,11216.0,Clinton Hill                                                               ,229.0,18.81,3,2830000.0,39770
1313-R1,2940000,1.05,591705,1915.0,WILLIAMSBURG-SOUTH,20,25,11206.0,Bedford                                                                    ,531.0,22.2,3,998000.0,26631
284-R1,2610000,0.35,956687,,SHEEPSHEAD BAY,62,77,11235.0,Homecrest                                                                  ,588.0,,3,,72840
2304-R1,2320000,0.65,550102,1907.0,WILLIAMSBURG-SOUTH,24,24,11211.0,East Williamsburg                                                          ,497.0,20.16,3,956000.0,23562
1235-R1,1830000,0.65,531148,1920.0,WILLIAMSBURG-SOUTH,14,36,11206.0,Williamsburg                                                               ,509.0,18.68,3,955000.0,26532
344-R1,839003,0.65,270995,,CROWN HEIGHTS,23,30,11216.0,Crown Heights North                                                        ,31701.0,,3,,20960
123-R1,5329993,0.15,1269701,1920.0,DOWNTOWN-FULTON FERRY,57,23,11201.0,Brooklyn Heights-Cobble Hill                                               ,1.0,23.33,3,4680000.0,50932
2446-R1,1610029,1.75,557973,1946.0,CLINTON HILL,12,26,11211.0,East Williamsburg                                                          ,497.0,22.32,3,2310000.0,25000
792-R1,14499992,9.1,1052908,,WILLIAMSBURG-SOUTH,102,66,,,,,3,,58430
2078-R1,2979998,0.45,1074387,1920.0,WILLIAMSBURG-EAST,24,35,11222.0,Greenpoint                                                                 ,499.0,29.2,3,4430000.0,37500
2111-R1,2000002,1.3,595838,1910.0,GREENPOINT,37,20,11211.0,North Side-South Side                                                      ,553.0,21.82,3,1100000.0,27309
1374-R1,970000,3.0,410892,,SUNSET PARK,12,32,11228.0,Bath Beach                                                                 ,170.0,,3,,24620
1207-R1,1060000,0.35,304835,1915.0,WILLIAMSBURG-SOUTH,12,24,11211.0,North Side-South Side                                                      ,549.0,22.2,3,998000.0,14470
1058-R1,3690000,0.4,1269701,2002.0,DOWNTOWN-FULTON FERRY,37,23,11201.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,21.0,21.65,3,2540000.0,50932
180-R1,726000,1.85,262702,,BAY RIDGE,26,24,11219.0,Sunset Park East                                                           ,112.0,,3,,26700
2027-R1,10800001,1.5,2707032,1980.0,CROWN HEIGHTS,113,122,11215.0,Park Slope-Gowanus                                                         ,135.0,20.62,3,6410000.0,144493
1663-R1,449996,1.1,744473,,BOROUGH PARK,50,51,11219.0,Sunset Park East                                                           ,112.0,,3,,41131
2267-R1,1420002,1.15,62212,1931.0,BEDFORD STUYVESANT,12,11,11205.0,Bedford                                                                    ,1237.0,29.6,3,985000.0,5980
21-R1,2220003,0.2,591705,1910.0,WILLIAMSBURG-SOUTH,19,25,11211.0,North Side-South Side                                                      ,547.0,20.02,3,1990000.0,26631
1023-R1,2959998,3.2,695261,1925.0,BAY RIDGE,15,17,11215.0,park-cemetery-etc-Brooklyn                                                 ,177.0,8.72,3,812000.0,20630
1220-R1,5630001,0.8,1781214,1938.0,BROOKLYN HEIGHTS,40,94,11231.0,Carroll Gardens-Columbia Street-Red Hook                                   ,63.0,28.8,3,7250000.0,73032
1777-R1,28999978,0.9,8212471,1919.0,BROOKLYN HEIGHTS,179,187,11217.0,Fort Greene                                                                ,35.0,31.8,3,16300000.0,182000
2674-R1,596588,1.95,1091014,1931.0,FORT GREENE,19,78,11215.0,Park Slope-Gowanus                                                         ,143.0,19.3,3,4580000.0,57460
2197-R1,2759999,0.5,591705,1912.0,WILLIAMSBURG-SOUTH,24,25,11249.0,North Side-South Side                                                      ,555.0,22.24,3,963000.0,26631
2365-R1,4310000,0.4,400172,,OCEAN PARKWAY-NORTH,13,36,11230.0,Ocean Parkway South                                                        ,452.0,,3,,23400
1293-R1,1439995,0.55,211376,,BEDFORD STUYVESANT,12,16,11205.0,Bedford                                                                    ,1237.0,,3,,7150
1580-R1,4039998,1.05,881843,1920.0,DOWNTOWN-FULTON MALL,31,60,11201.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,21.0,23.33,3,4680000.0,39770
2528-R1,1615459,3.75,294150,1931.0,FLATBUSH-CENTRAL,14,23,11206.0,East Williamsburg                                                          ,511.0,13.0,3,898000.0,23641
2011-R1,3820002,0.35,449841,1926.0,MIDWOOD,44,48,11230.0,Midwood                                                                    ,762.0,9.57,3,1500000.0,42420
2149-R1,1789999,0.7,891236,1931.0,PARK SLOPE,11,30,11215.0,Park Slope-Gowanus                                                         ,135.0,22.04,3,1880000.0,35298
1431-R1,1390001,0.65,367193,1915.0,WILLIAMSBURG-SOUTH,14,22,11249.0,Williamsburg                                                               ,537.0,17.42,3,849000.0,20295
1097-R1,2739999,7.4,711270,,BEDFORD STUYVESANT,18,86,11235.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,608.0,,3,,24528
881-R1,7869978,0.75,1282472,1930.0,WILLIAMSBURG-SOUTH,66,33,11249.0,Williamsburg                                                               ,545.0,33.4,3,16400000.0,45000
2651-R1,490199,3.1,145960,1914.0,SUNSET PARK,16,21,11217.0,Park Slope-Gowanus                                                         ,159.0,8.45,3,298000.0,17057
2298-R1,1850000,0.4,398277,1930.0,BOERUM HILL,13,20,11217.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,71.0,25.4,3,823000.0,17640
1351-R1,2479998,0.55,211376,,BEDFORD STUYVESANT,14,16,11205.0,Bedford                                                                    ,1237.0,,3,,7150
2680-R1,5457621,0.6,1887773,2006.0,DOWNTOWN-FULTON FERRY,24,59,11201.0,Brooklyn Heights-Cobble Hill                                               ,502.0,36.6,3,8150000.0,50457
933-R1,5210001,1.05,866384,1920.0,WILLIAMSBURG-EAST,40,27,11211.0,North Side-South Side                                                      ,549.0,28.5,3,5310000.0,48000
520-R1,1060000,0.2,178182,1975.0,SHEEPSHEAD BAY,25,16,11235.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,608.0,16.55,3,504000.0,10384
1370-R1,2670000,1.2,877362,1921.0,BOERUM HILL,13,60,11201.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,21.0,29.8,3,4400000.0,29214
1047-R1,1580001,0.1,304835,1919.0,WILLIAMSBURG-SOUTH,16,24,11211.0,North Side-South Side                                                      ,523.0,20.97,3,849000.0,14470
2402-R1,3480000,0.55,591705,1920.0,WILLIAMSBURG-SOUTH,31,25,11211.0,North Side-South Side                                                      ,553.0,28.5,3,5310000.0,26631
1283-R1,2990000,1.05,591705,1915.0,WILLIAMSBURG-SOUTH,28,25,11206.0,Bedford                                                                    ,531.0,22.2,3,998000.0,26631
1017-R1,2600003,0.65,563678,,PROSPECT HEIGHTS,31,35,,,,,3,,32835
