brooklyn_condominium_property_condo_section,brooklyn_condominium_property_address,brooklyn_condominium_property_boro_block_lot,latitude,longitude,bin,comparable_rental_1_year_built,council_district
2173-R1,10002 4 AVENUE,3-06137-7502,40.612757,-74.033727,3398632.0,2003,43.0
2028-R1,2523 OCEAN AVENUE,3-07325-7504,40.60015,-73.951541,3392803.0,1990,48.0
1603-R1,260 SKILLMAN STREET,3-01941-7501,40.690313,-73.956271,3390791.0,1995,36.0
1874-R1,417 HART STREET,3-01593-7501,40.694954,-73.933347,3391823.0,1900,36.0
2013-R1,28 LYNCH STREET,3-02235-7505,40.700559,-73.956344,3392431.0,1911,33.0
141-R1,3111 OCEAN PARKWAY,3-08679-7501,40.575571,-73.968693,3254894.0,2000,48.0
2374-R1,20 NORTH 5 STREET,3-02340-7502,40.719377,-73.96316,3391206.0,1920,33.0
1421-R1,575 EAST NEW YORK AVENUE,3-01332-7502,40.662006,-73.943764,3388025.0,1927,40.0
1354-R1,136 WALLABOUT STREET,3-02262-7504,40.699627,-73.957653,3388255.0,1915,33.0
1033-R1,102 SOUTH 8 STREET,3-02137-7502,40.709653,-73.965149,3059586.0,1920,33.0
841-R1,25 BERGEN STREET,3-00280-7502,40.687486,-73.992367,3002841.0,1928,33.0
1552-R1,230 NORTH 8 STREET,3-02321-7501,40.716917,-73.954785,3061973.0,1946,33.0
1726-R1,346 CONEY ISLAND AVENUE,3-05322-7501,40.649467,-73.971754,3391379.0,2000,39.0
2458-R1,20 BUTLER PLACE,3-01171-7503,40.675012,-73.968412,3029335.0,1923,35.0
949-R1,559 FLUSHING AVENUE,3-02264-7512,40.699591,-73.951804,3061427.0,1911,33.0
2399-R1,662 BERGEN STREET,3-01145-7502,40.679192,-73.967159,3395388.0,1931,35.0
1594-R1,367 CLASSON AVENUE,3-01949-7501,40.68858,-73.959936,3390793.0,1910,35.0
468-R3,971 JEROME STREET,3-04414-7501,40.656793,-73.878505,3324273.0,2000,42.0
321-R1,75 POPLAR STREET,3-00207-7502,40.700908,-73.992206,3250373.0,1938,33.0
983-R1,59 THROOP AVENUE,3-02267-7502,40.702485,-73.946558,3348884.0,1915,33.0
2242-R1,264 CUMBERLAND STREET,3-02101-7503,40.688131,-73.972841,3058985.0,1930,35.0
2004-R1,415 36 STREET,3-00693-7501,40.65395,-74.003802,3392407.0,1927,38.0
993-R1,234 KEAP STREET,3-02200-7501,40.705808,-73.957253,3350263.0,1920,33.0
2278-R1,789 BEDFORD AVENUE,3-01715-7508,40.697159,-73.956645,3393658.0,1900,33.0
1449-R1,790 WYTHE AVENUE,3-02223-7502,40.699968,-73.959586,3388250.0,1915,33.0
1973-R1,2752 OCEAN AVENUE,3-07404-7503,40.594155,-73.950429,3392744.0,1982,48.0
34-R1,64 7 AVENUE,3-00951-7501,40.67553,-73.974746,3019673.0,1920,39.0
1238-R1,319 18 STREET,3-00874-7502,40.661391,-73.988949,3378431.0,1915,38.0
300-R1,300 8 STREET,3-01005-7501,40.669389,-73.984997,3022124.0,1931,39.0
241-R1,1206 PACIFIC STREET,3-01206-7501,40.677765,-73.951664,3029986.0,1925,36.0
2614-R1,318 KNICKERBOCKER AVENUE,3-03235-7503,40.701406,-73.922932,3396713.0,1920,37.0
2150-R1,360 FURMAN STREET,3-00245-7501,40.693398,-73.999488,3393008.0,2003,33.0
1073-R1,42 MAIN STREET,3-00036-7502,40.702659,-73.990702,3000085.0,2002,33.0
1731-R1,85 ADAMS STREET,3-00052-7501,40.701816,-73.988596,3391222.0,2000,33.0
935-R1,605 EAST NEW YORK AVENUE,3-01333-7501,40.662099,-73.942254,3347531.0,1963,41.0
1422-R1,70 WASHINGTON STREET,3-00045-7501,40.702181,-73.989656,3388734.0,1914,33.0
64-R1,1113 5 AVENUE,3-00941-7501,,,,1920,
1930-R1,925 PACIFIC STREET,3-01124-7502,40.680111,-73.963593,3391761.0,1931,35.0
1745-R1,929 40 STREET,3-05583-7501,40.644969,-73.99497,3392313.0,1990,38.0
2103-R1,84 ENGERT AVENUE,3-02713-7502,40.721345,-73.948249,3392152.0,1930,33.0
1500-R1,34 BUTLER PLACE,3-01171-7502,40.675158,-73.968134,3388742.0,2002,35.0
888-R1,156 SACKETT STREET,3-00336-7502,40.684813,-74.001821,3348261.0,1927,39.0
196-R1,205 HICKS STREET,3-00242-7501,40.695424,-73.995752,3255619.0,1920,33.0
2328-R1,100 SPENCER STREET,3-01734-7506,40.695742,-73.95542,3048417.0,1900,33.0
464-R1,384 NEW JERSEY AVENUE,3-03755-7501,40.670049,-73.894382,3084095.0,1930,42.0
1656-R1,35 UNDERHILL AVENUE,3-01131-7501,40.679913,-73.964938,3423483.0,1930,35.0
1201-R1,713 BEDFORD AVENUE,3-02263-7502,40.699407,-73.957094,3378364.0,1915,33.0
97-R1,99 4 AVENUE,3-00937-7501,40.681125,-73.980516,3250767.0,1912,39.0
939-R1,547 FLUSHING AVENUE,3-02264-7508,40.699476,-73.952788,3348502.0,1911,33.0
2127-R1,50 BAYARD STREET,3-02721-7504,40.718972,-73.950498,3393895.0,1920,33.0
1558-R1,505 COURT STREET,3-00476-7501,40.675574,-73.999156,3397571.0,1917,39.0
1536-R1,794 DE KALB AVENUE,3-01781-7501,40.69218,-73.94428,3389351.0,1931,36.0
312-R1,446 MYRTLE AVENUE,3-01903-7501,40.693254,-73.967563,3054810.0,1915,35.0
1273-R1,53 BOERUM PLACE,3-00169-7501,40.689997,-73.989972,3350516.0,2000,33.0
1754-R1,34 NORTH 6 STREET,3-02332-7501,40.719956,-73.962622,3391328.0,1930,33.0
1979-R1,1 NORTH PIER,3-02340-7501,,,,1930,
338-R1,260 LINDEN BOULEVARD,3-04868-7501,40.652671,-73.949099,3108501.0,1937,40.0
2010-R1,447 HUMBOLDT STREET,3-02740-7501,40.717835,-73.94323,3393902.0,1915,34.0
1935-R1,170 WEST 11 STREET,3-02298-7501,,,,1920,
1799-R1,727 OCEAN VIEW AVENUE,3-08668-7503,40.579944,-73.960494,3391416.0,1928,48.0
943-R1,344 DE GRAW STREET,3-00421-7501,40.683185,-73.993795,3348504.0,1922,39.0
940-R1,543 FLUSHING AVENUE,3-02264-7509,40.699452,-73.953019,3348503.0,1911,33.0
1216-R1,249 16 STREET,3-01048-7501,40.664174,-73.988159,3330589.0,1920,39.0
1927-R1,794 ST JOHN'S PLACE,3-01254-7502,40.671724,-73.952058,3032229.0,1920,35.0
2169-R1,756 MYRTLE AVENUE,3-01754-7502,40.695021,-73.952276,3393745.0,1931,36.0
964-R1,159 SOUTH 8 STREET,3-02133-7501,40.709334,-73.962174,3348231.0,1920,34.0
2412-R1,105 LEXINGTON AVENUE,3-01967-7504,40.686858,-73.95813,3335030.0,1927,35.0
2247-R1,143 HURON STREET,3-02522-7501,40.732931,-73.955875,3393883.0,1930,33.0
928-R1,145 PROSPECT PARK WEST,3-01093-7501,40.664455,-73.976985,3026085.0,1920,39.0
1816-R1,2381 OCEAN AVENUE,3-07299-7502,40.603351,-73.952154,3397666.0,1927,48.0
1543-R1,84 FRONT STREET,3-00051-7501,40.702505,-73.989285,3389054.0,1910,33.0
1981-R1,524 ST JOHN'S PLACE,3-01178-7501,40.673042,-73.960367,3391814.0,1905,35.0
1980-R1,75 SMITH STREET,3-00176-7501,40.689201,-73.988739,3395986.0,1922,33.0
864-R1,1062 BERGEN STREET,3-01219-7501,40.676148,-73.951049,3030656.0,1905,36.0
1983-R1,47 NORTH 8 STREET,3-02309-7501,40.72076,-73.96093,3392233.0,1920,33.0
2225-R1,7620 BAY PARKWAY,3-06241-7501,40.607107,-73.98845,3392191.0,1928,44.0
2130-R1,34 ECKFORD STREET,3-02714-7501,40.721084,-73.947896,3393891.0,1930,33.0
1982-R1,483 WASHINGTON AVENUE,3-01979-7502,40.683871,-73.964936,3391834.0,1905,35.0
1486-R1,101 WYCKOFF AVENUE,3-03238-7501,40.704701,-73.919841,3388754.0,1931,37.0
1544-R1,24 DUNHAM PLACE,3-02469-7501,40.711407,-73.967331,3388875.0,1915,33.0
2076-R1,133 STERLING PLACE,3-00942-7503,40.677297,-73.974215,3391533.0,2002,39.0
200-R1,130 PROSPECT PLACE,3-01157-7501,40.678518,-73.972971,3255806.0,1931,35.0
1070-R1,1460 WEST 5 STREET,3-06579-7501,40.611569,-73.979348,3173388.0,2006,44.0
1850-R1,26 BROADWAY,3-02129-7507,40.710752,-73.967973,3391744.0,1920,33.0
2155-R1,626 SUTTER AVENUE,3-03771-7501,40.669285,-73.895739,3391591.0,1931,42.0
54-R1,1 ROCKWELL PLACE,3-02095-7501,40.689622,-73.979468,3058613.0,1900,35.0
833-R1,60 OCEANA DRIVE,3-08720-7503,,,,1995,
2355-R1,4 LYNCH STREET,3-02235-7510,40.700227,-73.956856,3394321.0,1911,33.0
1077-R1,90 MIDDLETON STREET,3-02240-7514,40.701716,-73.953054,3394194.0,1920,33.0
2015-R1,463 FLUSHING AVENUE,3-02263-7505,40.69905,-73.956482,3392435.0,1911,33.0
846-R1,52 92 STREET,3-06099-7501,40.620787,-74.038986,3154976.0,1930,43.0
1346-R1,1733 OCEAN AVENUE,3-07638-7503,40.619736,-73.955251,3387941.0,1995,48.0
1971-R1,20 BAYARD STREET,3-02721-7503,40.718884,-73.951425,3391875.0,1920,33.0
182-R2,1900 51 STREET,3-05462-7501,40.625606,-73.97956,3256720.0,1924,44.0
1229-R1,372 15 STREET,3-01104-7504,40.662925,-73.98387,3350114.0,1920,39.0
800-R1,115 96 STREET,3-06120-7501,40.61608,-74.037377,3256798.0,2003,43.0
733-R1,35 HEYWARD STREET,3-02224-7504,40.70008,-73.958623,3346954.0,1915,33.0
1203-R1,721 BEDFORD AVENUE,3-02263-7504,40.699149,-73.957044,3350265.0,1915,33.0
1082-R1,45 OCEANA DRIVE,3-08720-7507,,,,1995,
