queens_cooperatives_comparable_properties_address,comparable_rental_2_est_gross_income,queens_cooperatives_comparable_properties_market_value_per_sqft,nta,comparable_rental_1_market_value_per_sqft
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""32 05 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",335000.0,67.0,,63.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""130 BEACH 121 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4074665.0,56.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,55.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""107 01 PARK LANE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1915664.0,54.0,Douglas Manor-Douglaston-Little Neck                                       ,54.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 25 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",751599.0,39.1,Flushing                                                                   ,38.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 11 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",677927.0,38.8,Kew Gardens                                                                ,38.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 25 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2359528.0,46.6,Flushing                                                                   ,46.3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 30 172 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",140850.0,49.2,Murray Hill                                                                ,54.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 20 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",806248.0,56.0,Forest Hills                                                               ,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""18 40 211 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2539788.0,58.0,Ft. Totten-Bay Terrace-Clearview                                           ,58.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 23 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2711229.0,47.5,Astoria                                                                    ,47.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""50 05 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1176753.0,65.0,Hunters Point-Sunnyside-West Maspeth                                       ,63.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 05 48 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1193233.0,60.0,Hunters Point-Sunnyside-West Maspeth                                       ,65.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""241 20 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1178683.0,41.4,Douglas Manor-Douglaston-Little Neck                                       ,48.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 10 44 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",557580.0,65.0,,41.7
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 04 GRAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",528827.0,47.3,Elmhurst                                                                   ,46.9
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 10"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",940500.0,48.8,,42.3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 21 79 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11310145.0,39.9,,133.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 35 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1089693.0,57.0,Forest Hills                                                               ,59.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 06 88 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",939317.0,41.6,Jamaica                                                                    ,41.1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 46 85 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",194104.0,47.9,,45.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 31 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4950000.0,49.5,Queensbridge-Ravenswood-Long Island City                                   ,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 06 58 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4950000.0,48.0,Corona                                                                     ,40.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 10 65 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",867313.0,66.0,Forest Hills                                                               ,72.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 40 45 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2359528.0,48.3,Flushing                                                                   ,48.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 31 54 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1561574.0,29.3,,36.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 34 85 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",194104.0,47.9,,45.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""48 10 45 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1495310.0,47.5,,58.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""168 01 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",607904.0,40.5,Whitestone                                                                 ,35.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""268 18 82 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",356641.0,42.4,Glen Oaks-Floral Park-New Hyde Park                                        ,30.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 32 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",279732.0,23.62,Lindenwood-Howard Beach                                                    ,38.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""164 10 WILLETS POINT BOUL"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",206276.0,58.0,,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 20 141 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2549644.0,54.0,Briarwood-Jamaica Hills                                                    ,54.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""15 04 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",206276.0,58.0,Ft. Totten-Bay Terrace-Clearview                                           ,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 40 82 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",534571.0,23.39,,41.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""9 05 162 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",607904.0,40.5,,35.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 26 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",867313.0,48.8,Forest Hills                                                               ,41.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 08 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",497780.0,41.7,Lindenwood-Howard Beach                                                    ,41.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 41 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1380875.0,55.0,Forest Hills                                                               ,67.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 41 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1576250.0,63.0,Murray Hill                                                                ,63.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 16 85 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",927384.0,35.4,,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 85 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2711229.0,47.5,Astoria                                                                    ,47.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 14 77 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",955520.0,30.3,,58.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""213 06 75 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1178683.0,56.0,Oakland Gardens                                                            ,38.3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""45 08 40 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",716762.0,64.0,,64.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 05 255 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",356641.0,42.2,Glen Oaks-Floral Park-New Hyde Park                                        ,30.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 50 204 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",774905.0,46.6,Jamaica Estates-Holliswood                                                 ,38.9
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 39 76 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1783961.0,64.0,Forest Hills                                                               ,55.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""82 35 134 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",978460.0,59.0,Briarwood-Jamaica Hills                                                    ,59.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""166 31 9 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",607904.0,40.5,Whitestone                                                                 ,35.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 56 79 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",127600.0,24.67,,27.9
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""102 55 67 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",867313.0,65.0,Forest Hills                                                               ,72.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""70 35"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",718819.0,39.8,,63.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 27 147 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",454587.0,49.8,Kew Gardens Hills                                                          ,51.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 21 78 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",584000.0,29.5,,40.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 07 66 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1380875.0,56.0,Forest Hills                                                               ,67.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 60 84 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",524031.0,41.6,Briarwood-Jamaica Hills                                                    ,41.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""59 30 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",820961.0,40.5,Corona                                                                     ,41.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""227 01 HILLSIDE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",173742.0,51.0,Bellerose                                                                  ,67.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 70 41 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1339570.0,51.0,Murray Hill                                                                ,47.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""10 10 166 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",607904.0,40.5,Whitestone                                                                 ,35.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""26 15 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1339570.0,47.3,Murray Hill                                                                ,47.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""138 10 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2359528.0,54.0,Flushing                                                                   ,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""68 20 SELFRIDGE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3909882.0,63.0,Forest Hills                                                               ,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 03"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",356641.0,42.3,,30.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 16 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",655708.0,29.4,,46.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 50 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1178683.0,41.3,Oakland Gardens                                                            ,38.3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 74 TALBOT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",743538.0,64.0,Kew Gardens                                                                ,64.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 20 87 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1392902.0,40.5,,48.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""166 35 9 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",607904.0,40.5,Whitestone                                                                 ,35.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 74 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3909882.0,63.0,Rego Park                                                                  ,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 51 82 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",206880.0,40.5,,38.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 10 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",497780.0,41.7,Lindenwood-Howard Beach                                                    ,41.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 11 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",820961.0,35.5,Jackson Heights                                                            ,35.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""211 35 23 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",206276.0,58.0,Ft. Totten-Bay Terrace-Clearview                                           ,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 30 84 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",524031.0,41.5,Briarwood-Jamaica Hills                                                    ,41.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""64 62 BOOTH STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1279053.0,63.0,Rego Park                                                                  ,69.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 92"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3909882.0,63.0,,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 33 66 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",194104.0,47.9,Forest Hills                                                               ,45.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""65 74 SAUNDERS STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",940500.0,48.8,Forest Hills                                                               ,42.3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 15 WETHEROLE STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3909882.0,63.0,Forest Hills                                                               ,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 59 89 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",578083.0,46.6,,46.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 10 THORNTON PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",26595320.0,62.0,Forest Hills                                                               ,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""195 05 39 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",235000.0,55.0,Auburndale                                                                 ,38.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 30 DOUGLASTON PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1178683.0,49.6,Douglas Manor-Douglaston-Little Neck                                       ,48.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 36 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",127600.0,38.2,,27.9
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 50 85 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",820961.0,36.1,,37.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 70 173 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1459674.0,41.6,Jamaica                                                                    ,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""98 33 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1380875.0,56.0,Rego Park                                                                  ,67.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""55 30 98 PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",820961.0,36.2,Corona                                                                     ,37.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""251 38 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",356641.0,47.0,Glen Oaks-Floral Park-New Hyde Park                                        ,67.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 18 MELBOURNE AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",115233.0,42.0,,57.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""220 55 46 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1178683.0,40.5,Bayside-Bayside Hills                                                      ,38.3
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 40 HIGHLAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",939317.0,41.7,Jamaica Estates-Holliswood                                                 ,41.1
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 66 108 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2549644.0,40.5,Forest Hills                                                               ,40.5
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 10 109 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",584966.0,38.8,Richmond Hill                                                              ,39.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 60 118 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",720792.0,47.8,Kew Gardens                                                                ,48.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 45 SHORE PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",279732.0,23.62,Lindenwood-Howard Beach                                                    ,38.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 30 59 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4950000.0,42.3,Corona                                                                     ,37.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 05 SHORE PARKWAY"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",279732.0,23.65,Lindenwood-Howard Beach                                                    ,38.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 55 62 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",867313.0,65.0,Forest Hills                                                               ,72.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 20 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",718819.0,51.0,,63.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 31 51 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",2711229.0,60.0,,47.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""97 11 63 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",867313.0,40.4,Rego Park                                                                  ,41.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 45 84 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",194104.0,47.9,,45.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""1 50 BEACH 77 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4074665.0,39.6,Hammels-Arverne-Edgemere                                                   ,55.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 11 84 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",194104.0,48.0,,45.8
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 34 84 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",927384.0,35.5,,57.0
