queens_cooperatives_comparable_properties_boro_block_lot,latitude,longitude,queens_cooperatives_comparable_properties_neighborhood,comparable_rental_2_boro_block_lot,community_board,comparable_rental_1_building_classification,comparable_rental_1_neighborhood,queens_cooperatives_comparable_properties_total_units,comparable_rental_1_full_market_value,comparable_rental_2_total_units,comparable_rental_1_gross_income_per_sqft
4-16175-0001,,,ROCKAWAY PARK,4-15815-0220,,D7-ELEVATOR,FAR ROCKAWAY,651,11900000,402.0,14.04
4-02238-0001,40.719295,-73.839098,FOREST HILLS,4-02265-0079,6.0,D1-ELEVATOR,FOREST HILLS,166,3280000,92.0,13.47
4-07912-0002,,,HOLLIS HILLS,4-09834-0056,,D1-ELEVATOR,JAMAICA HILLS,96,1960000,110.0,10.43
4-02114-0034,40.730944,-73.853192,REGO PARK,4-02139-0001,6.0,D1-ELEVATOR,FOREST HILLS,160,6510000,112.0,16.47
4-01472-0015,,,JACKSON HEIGHTS,4-01532-0016,,C1-WALK-UP,CORONA,18,722000,16.0,12.2
4-02086-0050,40.732805,-73.860517,REGO PARK,4-02086-0040,6.0,D3-ELEVATOR,REGO PARK,1098,108000000,419.0,15.27
4-03322-0024,40.706576,-73.833257,KEW GARDENS,4-09245-0240,9.0,D1-ELEVATOR,KEW GARDENS,148,3360000,75.0,12.74
4-09209-0049,40.704156,-73.835687,KEW GARDENS,4-10461-0057,9.0,D1-ELEVATOR,JAMAICA,58,2390000,62.0,11.11
4-01449-0001,40.754332,-73.879251,JACKSON HEIGHTS,4-01448-0032,3.0,D1-ELEVATOR,JACKSON HEIGHTS,90,3720000,84.0,11.01
4-05314-0003,40.76258,-73.789896,FLUSHING-NORTH,4-05306-0018,11.0,C1-WALK-UP,FLUSHING-NORTH,22,497000,16.0,10.91
4-04772-0001,40.77429,-73.826278,FLUSHING-NORTH,4-05146-0001,7.0,D1-ELEVATOR,FLUSHING-NORTH,384,9090000,148.0,10.28
4-02139-0007,40.724672,-73.848982,FOREST HILLS,4-02136-0033,6.0,D1-ELEVATOR,FOREST HILLS,111,7460000,109.0,14.12
4-05042-0023,40.755898,-73.830445,FLUSHING-NORTH,4-05053-0011,7.0,D1-ELEVATOR,FLUSHING-NORTH,35,3330000,90.0,12.99
4-00169-0029,,,SUNNYSIDE,4-05964-0001,,C9-WALK-UP,ASTORIA,23,2920000,24.0,15.78
4-03082-0082,40.728953,-73.861867,REGO PARK,4-02104-0001,6.0,D1-ELEVATOR,REGO PARK,178,4280000,206.0,12.57
4-00157-0040,40.745095,-73.919969,SUNNYSIDE,4-00184-0014,2.0,D1-ELEVATOR,SUNNYSIDE,73,1700000,49.0,11.85
4-08929-0106,40.691629,-73.851995,WOODHAVEN,4-10461-0057,9.0,D1-ELEVATOR,JAMAICA,66,2390000,62.0,11.11
4-00202-0023,,,SUNNYSIDE,4-00184-0014,,D1-ELEVATOR,SUNNYSIDE,60,1700000,49.0,11.85
4-00196-0027,40.741623,-73.923221,SUNNYSIDE,,2.0,D1-ELEVATOR,SUNNYSIDE,48,2100000,,13.67
4-08517-0002,40.750877,-73.713519,GLEN OAKS,4-06691-0011,13.0,C1-WALK-UP,FLUSHING-NORTH,180,380000,42.0,9.16
4-02151-0127,40.731333,-73.848786,FOREST HILLS,4-02146-0028,6.0,D1-ELEVATOR,REGO PARK,81,4280000,76.0,12.57
4-01267-0064,,,JACKSON HEIGHTS,4-15543-0046,,D1-ELEVATOR,REGO PARK,11,9790000,37.0,12.57
4-03341-0024,40.717077,-73.834833,FOREST HILLS,4-03340-0052,6.0,D1-ELEVATOR,FOREST HILLS,54,7260000,60.0,15.82
4-01291-0064,,,JACKSON HEIGHTS,4-01292-0069,,D1-ELEVATOR,ELMHURST,101,5410000,59.0,11.94
4-09714-0018,40.712058,-73.816038,BRIARWOOD,4-03100-0014,8.0,D1-ELEVATOR,BRIARWOOD,118,6410000,144.0,15.38
4-15627-0001,40.595258,-73.748506,FAR ROCKAWAY,4-09236-0033,14.0,D1-ELEVATOR,ELMHURST,114,3280000,57.0,11.28
4-07347-0007,40.756816,-73.765521,BAYSIDE,4-05295-0047,11.0,C1-WALK-UP,BAYSIDE,39,2240000,16.0,13.52
4-04588-0024,40.79452,-73.831318,BEECHHURST,4-05022-0008,7.0,D1-ELEVATOR,FLUSHING-NORTH,32,1530000,62.0,10.55
4-01235-0070,40.747958,-73.911571,WOODSIDE,4-01505-0076,2.0,D1-ELEVATOR,REGO PARK,67,2540000,21.0,13.1
4-05028-0007,40.764067,-73.816746,FLUSHING-NORTH,4-05146-0001,7.0,D1-ELEVATOR,FLUSHING-NORTH,108,9090000,148.0,10.28
4-11434-0025,40.66681,-73.845111,HOWARD BEACH,4-12311-0050,10.0,C9-WALK-UP,SO. JAMAICA-BAISLEY PARK,150,1170000,46.0,11.82
4-08256-0108,40.766084,-73.725132,LITTLE NECK,4-09834-0056,11.0,D1-ELEVATOR,JAMAICA HILLS,252,1960000,110.0,10.43
4-03099-0007,40.726932,-73.858559,REGO PARK,4-03094-0034,6.0,D1-ELEVATOR,REGO PARK,60,2640000,72.0,12.0
4-05019-0101,40.758679,-73.82907,FLUSHING-NORTH,4-05101-0033,7.0,D1-ELEVATOR,FLUSHING-NORTH,59,2290000,78.0,10.98
4-03205-0020,40.720952,-73.850595,FOREST HILLS,4-03205-0024,6.0,D1-ELEVATOR,FOREST HILLS,24,3200000,20.0,14.24
4-01278-0070,,,JACKSON HEIGHTS,4-01282-0193,,C1-WALK-UP,JACKSON HEIGHTS,15,285000,16.0,8.48
4-05003-0011,40.765618,-73.823673,FLUSHING-NORTH,4-05101-0033,7.0,D1-ELEVATOR,FLUSHING-NORTH,54,2290000,78.0,10.98
4-06656-0063,40.731923,-73.814936,FLUSHING-SOUTH,4-06024-0017,8.0,C1-WALK-UP,BAYSIDE,248,2240000,46.0,13.52
4-06527-0050,40.734497,-73.823246,FLUSHING-SOUTH,4-05023-0001,8.0,D1-ELEVATOR,FLUSHING-NORTH,106,3330000,88.0,12.99
4-05857-0050,40.786432,-73.779428,BAYSIDE,4-05421-0036,7.0,C9-WALK-UP,FLUSHING-NORTH,168,1120000,19.0,14.52
4-01421-0001,,,JACKSON HEIGHTS,4-02086-0040,,D1-ELEVATOR,ELMHURST,330,18800000,419.0,15.47
4-01290-0013,,,JACKSON HEIGHTS,4-02117-0001,,D7-ELEVATOR,REGO PARK,44,13300000,312.0,13.22
4-06852-0011,40.722058,-73.804592,FLUSHING-SOUTH,4-05146-0001,8.0,D1-ELEVATOR,FLUSHING-NORTH,119,9090000,148.0,10.28
4-00141-0024,,,SUNNYSIDE,4-00137-0004,,D1-ELEVATOR,SUNNYSIDE,69,4570000,106.0,15.45
4-05192-0055,40.754328,-73.821349,FLUSHING-NORTH,4-05040-0027,7.0,D1-ELEVATOR,FLUSHING-NORTH,141,8870000,128.0,12.44
4-01280-0063,,,JACKSON HEIGHTS,4-01282-0193,,C1-WALK-UP,JACKSON HEIGHTS,15,285000,16.0,8.48
4-00134-0045,,,SUNNYSIDE,4-00137-0020,,D1-ELEVATOR,SUNNYSIDE,43,4570000,96.0,15.45
4-01841-0001,40.736554,-73.873907,ELMHURST,4-01448-0032,4.0,D1-ELEVATOR,JACKSON HEIGHTS,120,3720000,84.0,11.01
4-09917-0013,40.712937,-73.78044,HOLLIS,4-10821-0060,12.0,D1-ELEVATOR,HOLLIS,65,1750000,96.0,11.06
4-05185-0043,,,FLUSHING-NORTH,4-05040-0027,,D1-ELEVATOR,FLUSHING-NORTH,77,3330000,128.0,12.99
4-02116-0065,40.728436,-73.854468,REGO PARK,4-02265-0079,6.0,D1-ELEVATOR,FLUSHING-NORTH,53,2010000,92.0,11.62
4-11421-0013,40.614352,-73.821176,HOWARD BEACH,4-12311-0050,14.0,C9-WALK-UP,SO. JAMAICA-BAISLEY PARK,131,1170000,46.0,11.82
4-09426-0054,40.686451,-73.834804,RICHMOND HILL,4-09711-0075,9.0,D1-ELEVATOR,BRIARWOOD,32,3880000,120.0,14.1
4-01266-0001,40.753448,-73.887616,JACKSON HEIGHTS,4-00490-0101,3.0,D3-ELEVATOR,ARVERNE,150,20600000,1104.0,27.5
4-05857-0110,40.784224,-73.780288,BAYSIDE,4-05421-0036,7.0,C9-WALK-UP,FLUSHING-NORTH,60,1120000,19.0,14.52
4-01277-0012,,,JACKSON HEIGHTS,4-09694-0052,,D1-ELEVATOR,JACKSON HEIGHTS,108,2170000,78.0,12.38
4-08358-0001,40.757864,-73.725581,LITTLE NECK,4-06691-0011,11.0,C1-WALK-UP,FLUSHING-NORTH,288,380000,42.0,9.16
4-01280-0057,,,JACKSON HEIGHTS,4-01282-0193,,C1-WALK-UP,JACKSON HEIGHTS,15,285000,16.0,8.48
4-02382-0020,40.732986,-73.900081,MASPETH,4-09260-0011,5.0,D1-ELEVATOR,ELMHURST,78,2500000,48.0,12.51
4-09266-0001,40.703062,-73.831051,KEW GARDENS,4-09663-0020,9.0,D1-ELEVATOR,KEW GARDENS,60,2100000,138.0,14.0
4-06085-0025,40.766157,-73.784311,BAYSIDE,4-10494-0123,11.0,C7-WALK-UP,REGO PARK,14,2660000,60.0,17.52
4-01267-0028,,,JACKSON HEIGHTS,4-15543-0046,,D1-ELEVATOR,REGO PARK,11,9790000,37.0,12.57
4-02268-0014,40.704595,-73.872716,FOREST HILLS,4-02265-0079,5.0,D1-ELEVATOR,FOREST HILLS,57,3280000,92.0,13.47
4-01264-0035,40.751328,-73.889124,JACKSON HEIGHTS,4-00137-0020,3.0,D5-ELEVATOR,ASTORIA,97,18900000,96.0,18.53
4-01263-0001,40.75316,-73.890406,JACKSON HEIGHTS,4-12235-0022,3.0,D3-ELEVATOR,FAR ROCKAWAY,109,30500000,231.0,12.64
4-05310-0001,40.761655,-73.79283,FLUSHING-NORTH,4-05306-0018,11.0,C1-WALK-UP,FLUSHING-NORTH,36,700000,16.0,11.12
4-04588-0036,,,BEECHHURST,4-05022-0008,,D1-ELEVATOR,FLUSHING-NORTH,32,1530000,62.0,10.55
4-04573-0001,40.79452,-73.831318,BEECHHURST,4-05181-0048,7.0,C1-WALK-UP,FLUSHING-NORTH,92,509000,45.0,7.99
4-04591-0103,40.793066,-73.799035,BEECHHURST,4-05022-0008,7.0,D1-ELEVATOR,FLUSHING-NORTH,32,1530000,62.0,10.55
4-09830-0035,40.711332,-73.787623,JAMAICA,4-09793-0033,12.0,D1-ELEVATOR,JAMAICA,90,4150000,96.0,11.68
4-08496-0002,40.74459,-73.721936,GLEN OAKS,4-06691-0011,13.0,C1-WALK-UP,FLUSHING-NORTH,112,380000,42.0,9.16
4-00578-0023,40.766621,-73.925723,ASTORIA,4-01342-0009,1.0,C1-WALK-UP,WOODSIDE,30,920000,42.0,16.55
4-05302-0097,40.762678,-73.795166,FLUSHING-NORTH,4-05195-0036,7.0,C1-WALK-UP,FLUSHING-NORTH,16,932000,20.0,13.65
4-00178-0025,,,SUNNYSIDE,4-00137-0013,,D1-ELEVATOR,SUNNYSIDE,262,4960000,96.0,15.91
4-02945-0001,40.725661,-73.872578,MIDDLE VILLAGE,4-09236-0033,5.0,D1-ELEVATOR,KEW GARDENS,76,2100000,57.0,14.0
4-05015-0012,40.763782,-73.822328,FLUSHING-NORTH,4-05024-0080,7.0,D1-ELEVATOR,FLUSHING-NORTH,86,1680000,158.0,15.57
4-03253-0051,40.718418,-73.845879,FOREST HILLS,4-02138-0011,6.0,D1-ELEVATOR,FOREST HILLS,96,7260000,105.0,15.82
4-02269-0002,40.716538,-73.832388,FLUSHING MEADOW PARK,4-04994-0078,6.0,D1-ELEVATOR,FOREST HILLS,84,5620000,90.0,14.83
4-01281-0065,,,JACKSON HEIGHTS,4-15543-0046,,D1-ELEVATOR,REGO PARK,65,9790000,37.0,12.57
4-03076-0022,40.731448,-73.868172,REGO PARK,4-09247-0001,6.0,C9-WALK-UP,GLENDALE,73,3110000,103.0,16.97
4-09711-0020,40.709387,-73.817614,BRIARWOOD,4-10723-0001,8.0,C9-WALK-UP,QUEENS VILLAGE,32,2220000,90.0,12.36
4-04285-0010,40.774301,-73.8263,FLUSHING-NORTH,4-05137-0102,7.0,D1-ELEVATOR,REGO PARK,504,18400000,325.0,11.08
4-06607-0001,40.72096,-73.823059,FLUSHING-SOUTH,4-06258-0016,8.0,C1-WALK-UP,FLUSHING-NORTH,132,597000,54.0,14.34
4-12944-0036,,,LAURELTON,4-12311-0050,,C9-WALK-UP,SPRINGFIELD GARDENS,80,2820000,46.0,11.27
4-04767-0001,40.783637,-73.800045,WHITESTONE,4-05430-0048,7.0,C1-WALK-UP,FLUSHING-NORTH,32,597000,20.0,14.34
4-06587-0006,40.720511,-73.825538,FLUSHING-SOUTH,4-06258-0016,8.0,C1-WALK-UP,FLUSHING-NORTH,174,597000,54.0,14.34
4-06527-0052,40.734508,-73.822936,FLUSHING-SOUTH,4-05023-0001,8.0,D1-ELEVATOR,FLUSHING-NORTH,134,3330000,88.0,12.99
4-01280-0054,,,JACKSON HEIGHTS,4-01282-0193,,C1-WALK-UP,JACKSON HEIGHTS,11,285000,16.0,8.48
4-07738-0001,40.7405,-73.758123,OAKLAND GARDENS,4-09834-0056,11.0,D1-ELEVATOR,BRIARWOOD,180,13700000,110.0,10.88
4-04459-0062,,,WHITESTONE,4-05005-0042,,C1-WALK-UP,FLUSHING-NORTH,16,608000,14.0,11.05
4-06791-0025,40.738064,-73.808482,FLUSHING-SOUTH,4-09711-0056,8.0,D1-ELEVATOR,FLUSHING-SOUTH,184,9150000,132.0,11.83
4-08401-0096,40.752088,-73.720393,GLEN OAKS,4-06825-0040,13.0,C1-WALK-UP,FLUSHING-NORTH,128,380000,20.0,9.16
4-01334-0022,40.741687,-73.905979,WOODSIDE,4-01294-0029,2.0,D3-ELEVATOR,JACKSON HEIGHTS,89,4410000,88.0,15.06
4-00131-0036,,,SUNNYSIDE,4-00137-0020,,D1-ELEVATOR,SUNNYSIDE,42,4570000,96.0,15.45
4-09755-0050,40.704594,-73.802104,JAMAICA,4-09793-0033,12.0,D1-ELEVATOR,JAMAICA,114,4150000,96.0,11.68
4-00206-0101,40.739217,-73.925829,SUNNYSIDE,4-00860-0001,2.0,C9-WALK-UP,ASTORIA,17,2920000,60.0,15.78
4-01451-0001,40.754527,-73.877392,JACKSON HEIGHTS,4-01448-0032,3.0,D1-ELEVATOR,JACKSON HEIGHTS,111,3720000,84.0,11.01
4-01278-0066,,,JACKSON HEIGHTS,4-01282-0193,,C1-WALK-UP,JACKSON HEIGHTS,15,285000,16.0,8.48
4-00341-0001,,,LONG ISLAND CITY,4-00343-0024,,D1-ELEVATOR,LONG ISLAND CITY,61,1940000,72.0,13.76
4-02252-0010,,,FOREST HILLS,4-02086-0040,,D3-ELEVATOR,REGO PARK,221,108000000,419.0,15.27
4-01548-0006,40.738305,-73.878963,ELMHURST,4-01564-0034,4.0,D1-ELEVATOR,ELMHURST,75,2670000,90.0,11.65
4-09951-0011,40.714659,-73.78078,JAMAICA ESTATES,4-09793-0033,8.0,D1-ELEVATOR,JAMAICA,98,4150000,96.0,11.68
4-06149-0001,40.766496,-73.783469,BAYSIDE,4-09226-0042,11.0,C7-WALK-UP,FLUSHING-NORTH,62,1320000,40.0,10.81
4-00170-0001,,,SUNNYSIDE,4-02319-0010,,D7-ELEVATOR,REGO PARK,93,8280000,233.0,11.49
4-02215-0001,40.722536,-73.844264,FOREST HILLS,4-02086-0040,6.0,D3-ELEVATOR,REGO PARK,254,108000000,419.0,15.27
4-08447-0001,40.751672,-73.718951,GLEN OAKS,4-06691-0011,13.0,C1-WALK-UP,FLUSHING-NORTH,248,380000,42.0,9.16
4-01279-0046,,,JACKSON HEIGHTS,4-09694-0052,,D1-ELEVATOR,JACKSON HEIGHTS,78,2170000,78.0,12.38
4-01268-0033,,,JACKSON HEIGHTS,4-09694-0052,,D1-ELEVATOR,JACKSON HEIGHTS,126,2170000,78.0,12.38
4-03099-0025,40.726668,-73.857831,REGO PARK,4-03094-0034,6.0,D1-ELEVATOR,REGO PARK,47,2640000,72.0,12.0
4-09884-0043,40.714792,-73.788611,JAMAICA ESTATES,4-09793-0033,8.0,D1-ELEVATOR,JAMAICA,82,4150000,96.0,11.68
4-09631-0232,40.711375,-73.827001,KEW GARDENS,4-09711-0056,9.0,D1-ELEVATOR,BRIARWOOD,132,5770000,132.0,14.01
4-02101-0016,40.729848,-73.857445,REGO PARK,4-02139-0001,6.0,D1-ELEVATOR,FOREST HILLS,146,6510000,112.0,16.47
4-03321-0069,40.706141,-73.836248,KEW GARDENS,4-03322-0105,9.0,D1-ELEVATOR,KEW GARDENS,59,3360000,64.0,12.74
4-04602-0034,,,BEECHHURST,4-05022-0008,,D1-ELEVATOR,FLUSHING-NORTH,32,1530000,62.0,10.55
4-03156-0114,40.725406,-73.856546,REGO PARK,4-03155-0027,6.0,D3-ELEVATOR,REGO PARK,75,108000000,286.0,15.27
4-03151-0043,40.720167,-73.85678,REGO PARK,4-03155-0027,6.0,D3-ELEVATOR,REGO PARK,112,108000000,286.0,15.27
4-05020-0001,40.760566,-73.826166,FLUSHING-NORTH,4-05146-0001,7.0,D1-ELEVATOR,FLUSHING-NORTH,235,9090000,148.0,10.28
4-10682-0053,40.726573,-73.750554,QUEENS VILLAGE,4-10593-0002,13.0,C9-WALK-UP,HOLLISWOOD,25,8190000,384.0,14.25
4-01545-0033,40.739359,-73.879571,ELMHURST,4-01842-0031,4.0,D7-ELEVATOR,ELMHURST,122,7590000,109.0,15.06
4-04603-0018,40.79452,-73.831318,BEECHHURST,4-05022-0008,7.0,D1-ELEVATOR,FLUSHING-NORTH,32,1530000,62.0,10.55
4-05958-0075,40.781735,-73.776021,BAYSIDE,4-05865-0112,7.0,D1-ELEVATOR,BAYSIDE,126,8460000,152.0,14.57
4-00158-0001,,,SUNNYSIDE,4-00184-0009,,D1-ELEVATOR,SUNNYSIDE,94,2100000,50.0,13.67
4-09834-0041,40.7111,-73.787014,JAMAICA,4-09711-0056,12.0,D1-ELEVATOR,BRIARWOOD,115,5770000,132.0,14.01
4-00569-0056,40.765246,-73.926681,ASTORIA,4-01307-0018,1.0,C1-WALK-UP,WOODSIDE,59,1420000,21.0,15.62
4-00654-0034,,,ASTORIA,4-05102-0015,,C1-WALK-UP,ASTORIA,49,1050000,32.0,12.21
4-04411-0001,40.768819,-73.829968,FLUSHING-NORTH,4-05040-0019,7.0,D7-ELEVATOR,FLUSHING-NORTH,136,9030000,204.0,14.1
4-01418-0001,,,JACKSON HEIGHTS,4-02086-0040,,D1-ELEVATOR,ELMHURST,396,18800000,419.0,15.47
4-07754-0003,40.739054,-73.756079,OAKLAND GARDENS,4-05295-0047,11.0,C1-WALK-UP,BAYSIDE,296,2240000,16.0,13.52
4-03322-0135,40.704208,-73.833519,KEW GARDENS,4-03321-0037,9.0,D1-ELEVATOR,KEW GARDENS,120,7590000,84.0,13.66
4-03880-0097,40.706636,-73.855129,GLENDALE,4-02104-0001,6.0,D1-ELEVATOR,REGO PARK,278,2550000,206.0,11.68
4-01526-0016,,,ELMHURST,4-01567-0040,,D1-ELEVATOR,ELMHURST,100,2670000,98.0,11.65
4-01266-0038,40.751516,-73.887334,JACKSON HEIGHTS,4-09694-0052,3.0,D1-ELEVATOR,JACKSON HEIGHTS,47,2170000,78.0,12.38
4-01281-0054,,,JACKSON HEIGHTS,4-15543-0046,,D1-ELEVATOR,REGO PARK,59,9790000,37.0,12.57
4-08363-0001,40.757497,-73.727207,LITTLE NECK,4-06691-0011,11.0,C1-WALK-UP,FLUSHING-NORTH,216,380000,42.0,9.16
4-02099-0040,40.731869,-73.858029,REGO PARK,4-02139-0001,6.0,D1-ELEVATOR,FOREST HILLS,144,6510000,112.0,16.47
4-09666-0001,40.713667,-73.819676,BRIARWOOD,4-03322-0040,8.0,D1-ELEVATOR,KEW GARDENS,282,7590000,186.0,13.66
4-02214-0019,40.723434,-73.844727,FOREST HILLS,4-02139-0001,6.0,D1-ELEVATOR,FOREST HILLS,124,6510000,112.0,16.47
4-09758-0006,40.705537,-73.801509,JAMAICA,4-09834-0056,12.0,D1-ELEVATOR,JAMAICA,191,3310000,110.0,11.8
4-01443-0057,,,JACKSON HEIGHTS,4-01574-0001,,C1-WALK-UP,ELMHURST,11,746000,20.0,10.93
