queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_address,postcode,comparable_rental_2_gross_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_2_gross_income_per_sqft,queens_cooperatives_comparable_properties_full_market_value,comparable_rental_1_year_built,bbl,comparable_rental_2_year_built
4-05878-0003,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""18 40 211 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11360.0,147700.0,70.0,17.2,23500000,1969,4058780003.0,1973.0
4-00579-0042,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 23 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11106.0,214496.0,47.6,12.64,798000,1952,4005790042.0,1962.0
4-00131-0004,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""50 05 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11377.0,73197.0,65.0,16.08,4190000,1931,4001310004.0,1931.0
4-00175-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 05 48 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11377.0,79450.0,60.0,15.02,3180000,1942,4001750001.0,1931.0
4-08178-0008,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""241 20 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11362.0,100947.0,41.1,11.68,4690000,1963,4081780008.0,1963.0
4-00162-0028,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""43 10 44 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,40800.0,51.0,13.67,2290000,1937,,1937.0
4-02864-0017,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 04 GRAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11373.0,37772.0,56.0,14.0,2550000,1960,4028640017.0,1959.0
4-03149-0019,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""75 10"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,73620.0,48.1,12.78,2810000,1937,,1936.0
4-01279-0058,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 21 79 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,1116500.0,34.2,10.13,2790000,1964,,1950.0
4-02236-0043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 35 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,79050.0,55.0,13.78,7280000,1951,4022360043.0,1967.0
4-09824-0043,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 06 88 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11432.0,79572.0,41.6,11.8,2460000,1963,4098240043.0,1961.0
4-01472-0028,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 46 85 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14952.0,48.8,12.98,826000,1926,,1933.0
4-01438-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""33 31 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11101.0,317305.0,63.0,15.6,18300000,1965,,1965.0
4-01946-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 06 58 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11368.0,317305.0,63.0,15.6,11300000,1962,4019460001.0,1965.0
4-02152-0106,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 10 65 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,53525.0,66.0,16.2,2850000,1964,4021520106.0,1951.0
4-05146-0027,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 40 45 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,189748.0,46.7,12.44,3760000,1963,4051460027.0,1962.0
4-01132-0036,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 31 54 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,145398.0,32.9,10.74,1710000,1941,,1931.0
4-01472-0020,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 34 85 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14952.0,48.8,12.98,906000,1926,,1933.0
4-02288-0027,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""48 10 45 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,114486.0,49.1,13.06,2830000,1963,,1958.0
4-04602-0119,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""168 01 12 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11357.0,48786.0,46.9,12.46,1650000,1957,4046020119.0,1962.0
4-08762-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""268 18 82 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11040.0,30981.0,40.7,11.51,4010000,1928,4087620001.0,1950.0
4-11466-0025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 32 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11414.0,39618.0,21.68,7.06,1750000,1948,4114660025.0,1952.0
4-05730-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""164 10 WILLETS POINT BOUL"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,15263.0,51.0,13.51,4380000,1950,,1928.0
4-09665-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 20 141 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11435.0,212202.0,42.4,12.02,13700000,1950,4096650001.0,1940.0
4-05863-0060,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""15 04 212 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11360.0,15263.0,51.0,13.51,5450000,1950,4058630060.0,1928.0
4-01281-0025,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 40 82 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,37260.0,44.0,14.35,1600000,1938,,1925.0
4-04591-0083,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""9 05 162 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,48786.0,46.9,12.46,1650000,1957,,1962.0
4-02266-0100,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 26 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,53525.0,66.0,16.2,1170000,1959,4022660100.0,1951.0
4-11434-0007,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 08 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11414.0,31365.0,64.0,15.87,6210000,1951,4114340007.0,1972.0
4-11446-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 09 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11414.0,31365.0,64.0,15.87,6610000,1951,4114460001.0,1972.0
4-05181-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""142 05 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,106848.0,56.0,14.23,3480000,1963,,1963.0
4-07656-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""221 08 64 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11364.0,12580.0,30.2,9.16,5380000,1950,4076560002.0,1928.0
4-01277-0058,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 25 77 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,50070.0,49.1,13.1,4600000,1928,,1927.0
4-05300-0022,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""172 02 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11358.0,12915.0,38.5,10.91,718000,1928,4053000022.0,1930.0
4-04758-0010,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""18 09 160 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11357.0,15600.0,39.0,11.05,5210000,1996,4047580010.0,1927.0
4-05135-0044,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""138 15 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,189748.0,46.7,12.44,8990000,1958,4051350044.0,1962.0
4-03337-0060,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""82 40 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11415.0,56636.0,57.0,14.24,3100000,1941,4033370060.0,1937.0
4-01518-0009,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 30 VIETOR AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11373.0,172494.0,48.8,12.99,7890000,1956,4015180009.0,1956.0
4-01457-0048,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 49 83 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,14952.0,48.8,12.98,799000,1926,,1933.0
4-06305-0024,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""215 05 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11361.0,14080.0,57.0,14.31,951000,1948,4063050024.0,1922.0
4-01267-0046,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 47 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,37260.0,44.0,14.35,497000,1938,,1925.0
4-03169-0031,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""99 44 67 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,275197.0,56.0,14.21,3090000,1960,4031690031.0,1959.0
4-00198-0019,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""47 25 40 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,40800.0,51.0,13.67,2050000,1937,,1937.0
4-04591-0075,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""10 21 162 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11357.0,48786.0,46.9,12.46,1650000,1957,4045910075.0,1962.0
4-03907-0960,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""83 55 WOODHAVEN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11421.0,204340.0,40.5,11.49,15600000,1941,4039070960.0,1952.0
4-09714-0075,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 23 MANTON STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11435.0,44695.0,41.4,11.72,1860000,1961,4097140075.0,1958.0
4-01508-0011,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 22 KETCHAM STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11373.0,99383.0,30.8,9.33,5070000,1927,4015080011.0,1938.0
4-03233-0014,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""9 71 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,45117.0,72.0,17.73,1680000,1950,4032330014.0,1949.0
4-05374-0023,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 44 SANFORD AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,308016.0,42.2,11.97,1900000,1938,4053740023.0,1939.0
4-08349-0036,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""249 57 60 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11362.0,30981.0,40.7,11.51,6810000,1928,4083370001.0,1950.0
4-01434-0029,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 11 34 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11372.0,76512.0,36.2,10.73,2620000,1954,4014340029.0,1951.0
4-02093-0245,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""61 25 98 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,470000.0,39.1,11.08,23000000,1960,,1960.0
4-00159-0021,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""41 08 43 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,40800.0,51.0,13.67,3810000,1937,,1937.0
4-09711-0032,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""139 21 85 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11435.0,212202.0,42.4,12.02,6660000,1950,4097110032.0,1940.0
4-09837-0044,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""87 15 165 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11432.0,79572.0,41.6,11.8,2290000,1963,4098370044.0,1961.0
4-05300-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 47 172 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11358.0,12915.0,38.5,10.91,752000,1928,4053000001.0,1930.0
4-08276-0020,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""244 08"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,13281.0,49.2,13.08,8480000,1950,,1927.0
4-02236-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""72 11 110 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,53525.0,66.0,16.2,3100000,1958,4022360001.0,1951.0
4-02140-0021,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 10"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,111672.0,46.5,12.37,10600000,1942,,1943.0
4-02157-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 71"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,111672.0,46.5,12.37,6460000,1942,,1943.0
4-09837-0080,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""165 20 HIGHLAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11432.0,79572.0,41.6,11.8,2250000,1963,4098370080.0,1961.0
4-05750-0006,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""166 02 17 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11357.0,15263.0,51.0,13.51,9770000,1950,4057500006.0,1928.0
4-04782-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""27 05 PARSONS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11354.0,80241.0,67.0,16.52,2180000,1957,4047820001.0,1971.0
4-08441-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 43 255 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11004.0,30981.0,40.7,11.51,6140000,1928,4084410001.0,1950.0
4-01474-0058,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 27 86 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,76512.0,36.2,10.73,4180000,1954,,1951.0
4-09186-0049,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 03 102 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11418.0,53200.0,38.7,11.0,2680000,1928,4091860049.0,1939.0
4-09715-0228,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""140 21 84 DRIVE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11435.0,46692.0,38.6,10.94,5630000,1953,,1962.0
4-01278-0018,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 26 79 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10208.0,47.0,12.5,708000,1926,,1926.0
4-11434-0075,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""153 25 88 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11414.0,31365.0,64.0,15.87,3240000,1951,4114340075.0,1972.0
4-02186-0088,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""111 01 66 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,14952.0,48.8,12.98,1650000,1926,4021860088.0,1933.0
4-01280-0051,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""35 47 80 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,10208.0,47.0,12.5,513000,1926,,1926.0
4-06631-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 24 78 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11367.0,36000.0,47.5,12.63,7420000,1950,4066310001.0,1931.0
4-01199-0020,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 43 60 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,334586.0,76.0,18.69,3310000,1972,,1972.0
4-07742-0003,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 36"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,12580.0,30.2,9.16,10400000,1950,,1928.0
4-00654-0039,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""24 39 38 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,21533.0,70.0,17.21,1050000,1937,,1926.0
4-15507-0007,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""833 CENTRAL AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11691.0,48000.0,32.9,9.73,3620000,1961,4155070007.0,1956.0
4-02214-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""106 15 QUEENS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,111672.0,46.5,12.37,8500000,1942,4022140001.0,1943.0
4-08305-0010,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""245 01 62 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11362.0,12580.0,30.2,9.16,4250000,1950,4083050010.0,1928.0
4-01443-0049,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""34 47 82 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,16920.0,46.0,12.23,632000,1928,,1936.0
4-01949-0106,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""58 03 CALLOWAY STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11368.0,76512.0,36.2,10.73,6720000,1963,4019490106.0,1951.0
4-09249-0040,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""84 70 129 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11415.0,53200.0,38.7,11.0,5950000,1928,4092490040.0,1939.0
4-07628-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 01 BELL BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11364.0,12580.0,30.2,9.16,6470000,1950,4076280002.0,1928.0
4-02156-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""67 35"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,111672.0,46.5,12.37,5000000,1942,,1943.0
