gi_id,bbl,tree_latin,constructed_date,status_gro,row_onsite,asset_y_co,constructi,asset_area,asset_type,asset_leng,program_ar,dep_contra,sewer_type,:@computed_region_92fq_4b7q
6244B,4022950031.0,Quercus bicolor,2017-12-19T00:00:00.000,Constructed,ROW,207720.488,GQBB09-01,40.0,ROWB,10.0,Right of Way (ROW),GQBB09-01,Combined,33
IB1174-1b,4065370028.0,No Tree,2021-10-31T00:00:00.000,Constructed,ROW,206068.89,GCTI10-4B,60.0,ROW Infiltration Basin with Grass Top,10.0,Right of Way (ROW),GQTI10-04,Combined,24
B141-01STa,3041550001.0,,2019-07-01T00:00:00.000,Constructed,Onsite,186701.714,,8540.0,Synthetic Turf Field Storage Layer,122.0,External,B141-116M,Combined,37
2013gs,4024500001.0,No Tree,2015-12-17T00:00:00.000,Constructed,ROW,208351.926,GQBB06-01,277.0,ROWSGS,0.0,Right of Way (ROW),GQBB06-01,Combined,5
IB6115C,3081650032.0,No Tree,2025-03-13T00:00:00.000,Constructed,ROW,174613.3633,GKCI05-3A,49.5,ROW Infiltration Basin with Concrete Top,11.0,Right of Way (ROW),GKCI05-03,Combined,25
Q136-01SPa,4040490019.0,,2026-07-15T00:00:00.000,In Construction,Onsite,225403.727,GI-CONS-2,558.0,Subsurface Pipe/Broken Stone,0.0,Public Onsite,GQ-P-P115,Combined,20
CYPR-30PPa,3042920061.0,,2022-02-10T00:00:00.000,Constructed,Onsite,183285.071,,1776.36,Porous Asphalt,135.6,Public Onsite,GK26W5-06-OS3,Combined,25
IB2630a,3044990039.0,No Tree,2021-07-21T00:00:00.000,Constructed,ROW,180897.47,53320022-04,76.5,ROW Infiltration Basin with Concrete Top,17.0,Right of Way (ROW),GK26W5-04,Combined,25
IB1371O,4088500075.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,192343.369,53320022-02,80.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GK26W5-05,Combined,34
2580a,4053760013.0,Transplant,2022-08-31T00:00:00.000,Constructed,ROW,215445.33,GCTI10-1B,90.0,ROWB,15.0,Right of Way (ROW),GQTI10-01,Combined,3
RG739b,2047830015.0,No Tree,2021-05-03T00:00:00.000,Constructed,ROW,256112.24,GXHP14-02,55.0,ROWRG,11.0,Right of Way (ROW),GXHP14-02,Combined,2
IB3201c,4117950093.0,No Tree,2022-06-09T00:00:00.000,Constructed,ROW,182931.5614,GCJA03-3B,52.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GQJA03-03,Combined,46
B287-01SPa,3076290063.0,,2024-09-05T00:00:00.000,Constructed,Onsite,166170.53766,GI-CONS-1,1080.0,Subsurface Pipe/Broken Stone,0.0,Public Onsite,GK-P-ANDR,Combined,26
403B,3011580087.0,No Tree,2016-09-15T00:00:00.000,Constructed,ROW,186082.2323,GKRH34-02-GKOH07-02,50.0,ROWB,10.0,Right of Way (ROW),OGI-DESIGN-1,Combined,48
5076A,3082020042.0,Acer rubrum 'Bowhall',2025-03-13T00:00:00.000,Constructed,ROW,173330.9432,GKCI05-3A,90.0,ROWB,20.0,Right of Way (ROW),GKCI05-03,Combined,8
1106C,4050260001.0,Liquidambar styraciflua,2019-10-21T00:00:00.000,Constructed,ROW,217206.566,GCTI11-02,100.0,ROWB,20.0,Right of Way (ROW),GQTI11-03,Combined,3
857f,4027500062.0,Other (See notes),2016-12-28T00:00:00.000,Constructed,ROW,201756.89627,GCNC77-02,100.0,ROWB,20.0,Right of Way (ROW),GQNC77-01,Combined,34
199A,4024820010.0,No Tree,2022-12-30T00:00:00.000,Constructed,ROW,205955.82,BB05-01-A,54.0,ROWB,12.0,Right of Way (ROW),GQBB05-02,Combined,34
3046A,3080230051.0,No Tree,2025-03-13T00:00:00.000,Constructed,ROW,171833.1188,GKCI05-3A,50.0,ROWB,10.0,Right of Way (ROW),GKCI05-03,Combined,8
1279B,4089190072.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,191231.1939,53320022-02,90.0,ROWB,20.0,Right of Way (ROW),GK26W5-05,Combined,41
IB4116D,3079650033.0,No Tree,2025-03-13T00:00:00.000,Constructed,ROW,173470.8905,GKCI05-3A,80.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GKCI05-03,Combined,8
595c,4014790003.0,No Tree,2016-03-15T00:00:00.000,Constructed,ROW,212714.14,GQBB08-01,50.0,ROWB,10.0,Right of Way (ROW),OGI-DESIGN-3,Combined,21
IB1041c,4066800001.0,No Tree,2021-10-31T00:00:00.000,Constructed,ROW,203984.84,GCTI10-4B,58.5,ROW Infiltration Basin with Grass Top,13.0,Right of Way (ROW),GQTI10-04,Combined,24
1638A,4047880008.0,Amelanchier canadensis,2019-10-21T00:00:00.000,Constructed,ROW,220023.915,GCTI11-02,65.0,ROWB,13.0,Right of Way (ROW),GQTI11-03,Combined,3
1435D,4035980010.0,Acer ginnala 'Flame',2022-12-30T00:00:00.000,Constructed,ROW,193940.9673,BB05-01-A,65.0,ROWB,13.0,Right of Way (ROW),OGI-DESIGN-1,Combined,34
979e,4019340040.0,Prunus serrulata,2019-07-09T00:00:00.000,Constructed,ROW,210075.616,GQBB09-01,100.0,ROWB,20.0,Right of Way (ROW),OGI-DESIGN-3,Combined,21
2-IB263a,3017700008.0,No Tree,2022-07-16T00:00:00.000,Constructed,ROW,191609.812,GNCB14-2A,40.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GKNC14-06,Combined,49
342A,2043260007.0,No Tree,2020-10-22T00:00:00.000,Constructed,ROW,250811.45422,GXHP07-03,52.0,ROWB,13.0,Right of Way (ROW),GXHP07-03,Combined,12
IB1872a,3040190133.0,No Tree,2021-07-21T00:00:00.000,Constructed,ROW,184392.18,53320022-04,58.5,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GK26W5-04,Combined,37
457b,2047590042.0,Liquidambar styraciflua,2021-05-03T00:00:00.000,Constructed,ROW,256568.05,GXHP14-02,100.0,ROWB,20.0,Right of Way (ROW),GXHP14-02,Combined,2
IB2084DA,3048090031.0,No Tree,2024-04-30T00:00:00.000,Constructed,ROW,179545.59741,GKCI05-1A,90.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GKCI05-01,Combined,11
684A,2038190043.0,No Tree,2021-05-03T00:00:00.000,Constructed,ROW,242267.9283,GXHP33-01,48.0,ROWB,12.0,Right of Way (ROW),GXHP33-01,Combined,31
IB6004A,3048910037.0,No Tree,2024-04-30T00:00:00.000,Constructed,ROW,175880.289,GKCI05-1A,75.0,ROW Infiltration Basin with Concrete Top,15.0,Right of Way (ROW),GKCI05-01,Combined,26
X300-01RGb,2031090001.0,,2015-06-25T00:00:00.000,Constructed,Onsite,247656.9915,,939.0,Rain Garden,0.0,Public Onsite,GXHP04-03,Combined,22
IB2660c,3045230003.0,No Tree,2021-07-21T00:00:00.000,Constructed,ROW,181041.7,53320022-04,65.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GK26W5-04,Combined,25
IB2333b,4117650014.0,,2022-06-09T00:00:00.000,Constructed,ROW,183960.929,GCJA03-3B,50.0,ROW Infiltration Basin with Grass Top,10.0,Right of Way (ROW),GQJA03-03,Combined,46
IB82F,2044510053.0,,2021-05-30T00:00:00.000,Constructed,ROW,254592.03,GXHP07-03,60.0,ROW Infiltration Basin with Grass Top,15.0,Right of Way (ROW),GXHP07-03,Combined,12
IB3103D,3048130001.0,No Tree,2024-04-30T00:00:00.000,Constructed,ROW,179629.61001,GKCI05-1A,100.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GKCI05-01,Combined,17
IB2006a,3037900004.0,No Tree,2021-07-21T00:00:00.000,Constructed,ROW,182240.64,53320022-04,54.0,ROW Infiltration Basin with Concrete Top,12.0,Right of Way (ROW),GK26W4-01,Combined,25
IB738A,4013410044.0,No Tree,2022-12-30T00:00:00.000,Constructed,ROW,210279.35,BB05-01-A,65.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GQBB05-02,Combined,33
IB1114B,3080340040.0,No Tree,2025-03-13T00:00:00.000,Constructed,ROW,170636.4827,GKCI05-3A,56.0,ROW Infiltration Basin with Concrete Top,14.0,Right of Way (ROW),GKCI05-03,Combined,8
856a,4091370270.0,No Tree,2021-05-06T00:00:00.000,Constructed,ROW,185238.37,53320022-03,58.5,ROWB,13.0,Right of Way (ROW),GK26W5-06,Combined,41
IB169B,4012777501.0,No Tree,2022-09-30T00:00:00.000,Constructed,ROW,212456.04,BB05-02-A,40.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GQBB05-04,Combined,5
IB1212c,4067890065.0,No Tree,2021-10-31T00:00:00.000,Constructed,ROW,206091.0,GCTI10-4B,65.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GQTI10-04,Combined,24
SGS40A,4105260132.0,No Tree,2021-11-18T00:00:00.000,Constructed,ROW,203341.28,GCTI10-02,220.0,ROWSGS,40.0,Right of Way (ROW),GQTI10-02,Combined,16
IB42A,4013720056.0,No Tree,2022-09-30T00:00:00.000,Constructed,ROW,217192.96013,BB05-02-A,52.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GQBB05-05,Combined,21
IB3037B,2048310035.0,No Tree,2021-05-30T00:00:00.000,Constructed,ROW,263816.14007,GXHP07-02,58.5,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GXHP07-02,Combined,2
2203a,4052730034.0,No Tree,2022-08-31T00:00:00.000,Constructed,ROW,218228.05769,GCTI10-1B,58.5,ROWB,13.0,Right of Way (ROW),GQTI10-01,Combined,20
Q357B01-01SS,4021200001.0,,2025-11-05T00:00:00.000,In Construction,Onsite,207537.21,GI-CONS-1,830.0,Subsurface Storage,0.0,Public Onsite,GQ-P-BARR,Combined,28
1414a,4017340023.0,No Tree,2016-03-15T00:00:00.000,Constructed,ROW,214144.71,GQBB08-01,75.0,ROWB,15.0,Right of Way (ROW),OGI-DESIGN-3,Combined,21
9B,3066040044.0,No Tree,2021-05-25T00:00:00.000,Constructed,ROW,160985.7179,GI-NYR-3,66.0,ROWB,12.0,Right of Way (ROW),GI-NYR,Combined,18
1286D,4089160005.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,190740.73,53320022-02,70.0,ROWB,14.0,Right of Way (ROW),GK26W5-05,Combined,41
429d,3037770001.0,Quercus bicolor,2015-08-01T00:00:00.000,Constructed,ROW,182019.65744,GK26W3-03,60.0,ROWB,15.0,Right of Way (ROW),GK26W3-03,Combined,17
