gi_id,bbl,tree_latin,constructed_date,status_gro,row_onsite,asset_y_co,constructi,asset_area,asset_type,asset_leng,program_ar,dep_contra,sewer_type,:@computed_region_92fq_4b7q
138a,3036320019.0,Nyssa sylvatica,2016-06-30T00:00:00.000,Constructed,ROW,178094.48,GK26W3-03,100.0,ROWB,20.0,Right of Way (ROW),GK26W3-03,Combined,25
174e,3033950008.0,Other (See notes),2017-08-10T00:00:00.000,Constructed,ROW,190015.16,GKNC15-02,75.0,ROWB,15.0,Right of Way (ROW),GKNC15-02,Combined,37
6081m,3079300001.0,No Tree,2024-12-23T00:00:00.000,Constructed,ROW,173139.82,GKCI05-2A,100.0,ROWB,20.0,Right of Way (ROW),GKCI05-02,Combined,26
H-320a,4093350018.0,Magnolia virginiana,2017-12-22T00:00:00.000,Constructed,ROW,194671.376,GCJAM-01,100.0,ROWB,20.0,Right of Way (ROW),GQJA03-01,Combined,28
IB4101E,3048790044.0,No Tree,2024-04-30T00:00:00.000,Constructed,ROW,176813.93171,GKCI05-1A,90.0,ROW Infiltration Basin with Concrete Top,18.0,Right of Way (ROW),GKCI05-01,Combined,17
IB92504G,4048310042.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,221546.54,GQTI03-23,56.0,ROW Infiltration Basin with Grass Top,14.0,Right of Way (ROW),GQTI23-01,Combined,20
IB3077-1D,3048250079.0,No Tree,2024-04-30T00:00:00.000,Constructed,ROW,179680.09623,GKCI05-1A,90.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GKCI05-01,Combined,17
H-191f,4093030019.0,Amelanchier canadensis,2017-12-22T00:00:00.000,Constructed,ROW,193373.672,GCJAM-01,50.0,ROWB,10.0,Right of Way (ROW),GQJA03-01,Combined,28
IB11196C,4044600014.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,227187.1,GQTI03-23,54.0,ROW Infiltration Basin with Grass Top,12.0,Right of Way (ROW),GQTI03-01,Combined,20
2-343d,3017430018.0,Zelkova serrata,2019-10-28T00:00:00.000,Constructed,ROW,193196.7869,GNCB14-1A,100.0,ROWB,20.0,Right of Way (ROW),GKNC14-06,Combined,49
IB72824B,4057990016.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,221650.6452,GQTI03-23,72.0,ROW Infiltration Basin with Concrete Top,16.0,Right of Way (ROW),GQTI23-01,Combined,20
442g,3016080034.0,Magnolia virginiana,2016-07-15T00:00:00.000,Constructed,ROW,191598.0,GKNC15-02,75.0,ROWB,15.0,Right of Way (ROW),GKNC15-02,Combined,49
1049I,3041290044.0,Maackia amurensis,2021-06-29T00:00:00.000,Constructed,ROW,188678.147,53320022-02,40.0,ROWB,10.0,Right of Way (ROW),GK26W5-05,Combined,37
4e,4013490028.0,Quercus bicolor,2019-07-09T00:00:00.000,Constructed,ROW,209816.311,GQBB09-01,100.0,ROWB,20.0,Right of Way (ROW),OGI-DESIGN-3,Combined,33
6290J,4002090042.0,Carpinus betulus,2020-12-31T00:00:00.000,Constructed,ROW,207936.43,GCBB26-01,65.0,ROWB,13.0,Right of Way (ROW),GQBB09-01,Combined,33
262B,4013980003.0,No Tree,2022-09-30T00:00:00.000,Constructed,ROW,215925.68007,BB05-02-A,52.0,ROWB,13.0,Right of Way (ROW),GQBB05-05,Combined,5
4-IB54a,3018570066.0,No Tree,2022-07-16T00:00:00.000,Constructed,ROW,187165.281,GNCB14-2A,100.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GKRH05-01,Combined,49
IB5083B,3048800034.0,No Tree,2024-04-30T00:00:00.000,Constructed,ROW,176717.93115,GKCI05-1A,100.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GKCI05-01,Combined,17
4337a,4021480033.0,Ulmus parvifolia,2015-05-20T00:00:00.000,Constructed,ROW,206531.89776,GQBB06-01,100.0,ROWB,20.0,Right of Way (ROW),GQBB06-01,Combined,28
IB3417c,4051850054.0,No Tree,2022-08-31T00:00:00.000,Constructed,ROW,214606.89069,GCTI10-1B,40.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GQTI10-01,Combined,3
IB1140b,3042810034.0,No Tree,2021-05-06T00:00:00.000,Constructed,ROW,183709.86,53320022-03,90.0,ROW Infiltration Basin with Concrete Top,15.0,Right of Way (ROW),GK26W5-06,Combined,25
IB6023e,3047400056.0,,2024-12-23T00:00:00.000,Constructed,ROW,175263.81,GKCI05-2A,55.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GKCI05-02,Combined,26
1255D,4089100010.0,Taxodium distichum,2021-06-29T00:00:00.000,Constructed,ROW,190437.0504,53320022-02,80.0,ROWB,16.0,Right of Way (ROW),GK26W5-05,Combined,34
6102a,3047770017.0,Cornus florida 'Cherokee Sunset',2024-12-23T00:00:00.000,Constructed,ROW,173448.19,GKCI05-2A,64.0,ROWB,16.0,Right of Way (ROW),GKCI05-02,Combined,26
IB2209E,4090270065.0,No Tree,2021-05-14T00:00:00.000,Constructed,ROW,189280.145,53320022-05,52.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GK26W5-05,Combined,41
IB1327a,4061420050.0,No Tree,2021-06-24T00:00:00.000,Constructed,ROW,217713.35742,GCTI10-1A,72.0,ROW Infiltration Basin with Concrete Top,12.0,Right of Way (ROW),GQTI10-01,Combined,20
967A,4093880026.0,No Tree,2021-06-11T00:00:00.000,Constructed,ROW,190611.8417,GCJA03-2B,85.5,ROWB,19.0,Right of Way (ROW),GQJA03-02,Combined,46
1-IB199f,3013650077.0,No Tree,2022-07-16T00:00:00.000,Constructed,ROW,184344.9307,GNCB14-2A,50.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GKNC14-05,Combined,49
