ind3,ind1rank,perc_other,year_published,perc_white,ind5rank,ind3definition,goalfullname,scorerank,ind8,perc_hispanic
IDNYC Acceptance,43.0,0.077,2020,0.017,31.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Middle,,0.169
Health Care Access,46.0,0.011,2020,0.013,39.0,Percentage of adults who did not receive needed medical care in past year,"Goal 2: Access to Affordable, High-Quality Goods & Services",Bottom,,0.688
IDNYC Acceptance,30.0,0.022,2020,0.293,28.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Middle,,0.371
Minority And Women-Owned Business Enterprise,17.0,0.023,2020,0.069,50.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Middle,,0.226
Goal 3: Access to Quality Jobs & Income Supports,8.0,0.026,2020,0.677,12.0,,Overall Neighborhood Financial Health,Top,,0.144
Labor Force Participation,34.0,0.029,2020,0.028,54.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Goal 3: Access to Quality Jobs & Income Supports,Bottom,Adults With High School Diploma,0.584
Minority And Women-Owned Business Enterprise,36.0,0.028,2020,0.609,1.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Top,,0.146
Labor Force Participation,28.0,0.026,2020,0.677,24.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Goal 3: Access to Quality Jobs & Income Supports,Top,Adults With High School Diploma,0.144
Goal 3: Access to Quality Jobs & Income Supports,22.0,0.022,2020,0.293,15.0,,Overall Neighborhood Financial Health,Top,,0.371
Labor Force Participation,8.0,0.029,2020,0.478,4.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Goal 3: Access to Quality Jobs & Income Supports,Top,Adults With High School Diploma,0.272
Health Insurance Access,8.0,0.028,2020,0.609,7.0,Percentage of residents with health insurance,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Top,,0.146
Health Care Access,53.0,0.015,2020,0.442,18.0,Percentage of adults who did not receive needed medical care in past year,"Goal 2: Access to Affordable, High-Quality Goods & Services",Middle,,0.144
Minority And Women-Owned Business Enterprise,42.0,0.012,2020,0.021,22.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Bottom,,0.211
Minority And Women-Owned Business Enterprise,49.0,0.015,2020,0.178,40.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Bottom,,0.701
,,0.017,2020,0.022,,,Majority Race or Ethnicity,,,0.074
IDNYC Acceptance,12.0,0.028,2020,0.609,9.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Top,,0.146
IDNYC Acceptance,10.0,0.011,2020,0.836,4.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Middle,,0.097
IDNYC Acceptance,16.0,0.031,2020,0.331,27.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Top,,0.249
Minority And Women-Owned Business Enterprise,18.0,0.022,2020,0.35,35.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Middle,,0.235
Minority And Women-Owned Business Enterprise,55.0,0.011,2020,0.013,38.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Bottom,,0.688
,,0.017,2020,0.23,,,Majority Race or Ethnicity,,,0.08
,,0.02,2020,0.707,,,Majority Race or Ethnicity,,,0.109
Labor Force Participation,37.0,0.017,2020,0.022,37.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Goal 3: Access to Quality Jobs & Income Supports,Middle,Adults With High School Diploma,0.074
Goal 3: Access to Quality Jobs & Income Supports,31.0,0.081,2020,0.179,19.0,,Overall Neighborhood Financial Health,Middle,,0.418
,,0.028,2020,0.761,,,Majority Race or Ethnicity,,,0.09
Health Care Access,1.0,0.019,2020,0.683,3.0,Percentage of adults who did not receive needed medical care in past year,"Goal 2: Access to Affordable, High-Quality Goods & Services",Top,,0.136
,,0.016,2020,0.223,,,Majority Race or Ethnicity,,,0.412
Labor Force Participation,25.0,0.023,2020,0.281,9.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Goal 3: Access to Quality Jobs & Income Supports,Middle,Adults With High School Diploma,0.332
Minority And Women-Owned Business Enterprise,28.0,0.042,2020,0.447,8.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Middle,,0.158
Labor Force Participation,37.0,0.013,2020,0.531,42.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Goal 3: Access to Quality Jobs & Income Supports,Middle,Adults With High School Diploma,0.358
IDNYC Acceptance,13.0,0.013,2020,0.531,21.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Top,,0.358
Minority And Women-Owned Business Enterprise,43.0,0.021,2020,0.631,10.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Bottom,,0.233
,,0.016,2020,0.148,,,Majority Race or Ethnicity,,,0.605
,,0.029,2020,0.694,,,Majority Race or Ethnicity,,,0.087
Health Care Access,23.0,0.018,2020,0.017,44.0,Percentage of adults who did not receive needed medical care in past year,"Goal 2: Access to Affordable, High-Quality Goods & Services",Middle,,0.641
Health Care Access,43.0,0.027,2020,0.396,32.0,Percentage of adults who did not receive needed medical care in past year,"Goal 2: Access to Affordable, High-Quality Goods & Services",Middle,,0.151
,,0.018,2020,0.017,,,Majority Race or Ethnicity,,,0.641
Health Care Access,55.0,0.034,2020,0.213,46.0,Percentage of adults who did not receive needed medical care in past year,"Goal 2: Access to Affordable, High-Quality Goods & Services",Bottom,,0.122
Health Insurance Access,35.0,0.025,2020,0.198,39.0,Percentage of residents with health insurance,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Middle,,0.096
Minority And Women-Owned Business Enterprise,33.0,0.016,2020,0.223,44.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Middle,,0.412
Health Care Access,25.0,0.031,2020,0.381,11.0,Percentage of adults who did not receive needed medical care in past year,"Goal 2: Access to Affordable, High-Quality Goods & Services",Middle,,0.293
Health Insurance Access,33.0,0.034,2020,0.213,19.0,Percentage of residents with health insurance,Goal 4: Stable Housing & Capacity to Limit Financial Shocks,Middle,,0.122
,,0.032,2020,0.716,,,Majority Race or Ethnicity,,,0.07
Health Care Access,7.0,0.025,2020,0.256,16.0,Percentage of adults who did not receive needed medical care in past year,"Goal 2: Access to Affordable, High-Quality Goods & Services",Top,,0.176
Minority And Women-Owned Business Enterprise,40.0,0.029,2020,0.478,18.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Middle,,0.272
Health Care Access,42.0,0.023,2020,0.281,25.0,Percentage of adults who did not receive needed medical care in past year,"Goal 2: Access to Affordable, High-Quality Goods & Services",Bottom,,0.332
