severity,infraction_code5,violation_description,infraction_code1,penality_imposed,amount_paid,section_law_description1,isn_dob_bis_extract,hearing_time,nan with block,172 with block,244 with block,BQ7 with block
CLASS - 1,,97X10 97X10 ONLY ELEVATOR IN BLDG OUT OF SERVICE RESTORE TO SERVICE   1RCNY NY 11-02,151,1000,1000,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE COMPLIANT MANNER: SERVICE EQUIPME,18838,830,3253.0,,,
CLASS - 2,,MISC. VIOLATIONS FAILURE TO PROVIDE REQUIRED GUARDRAILS & TOE BOARDS FOR SCAFFOLD PLATFORM.NO GUARD RAILS OR TOE BOARDS ON APPROX 18FT HIGH SCAFFOLDING.REMEDY:COMPLY W/NOV.STOP ALL WORK.PROVIDE REQUIRED GUARDRA,206,0,0,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,638,1030,6460.0,,,
CLASS - 3,,WORK W/O A PERMIT AT TIME OF INSPECTION INSTALLATION OF A CANOPY WITH ALUMINUM FRAME & FIBERGLASS ROOF APPROX 20FTWX15FTD AT THE FRONT OF PREMISES OBSERVED REMEDY: OBTAIN PERMIT OR RESTORE PREMISES TO PRIOR,301,0,0,28-105.1                                                                    WORK WITHOUT A PERMIT,20053,1030,1510.0,,,
Hazardous,,VIOLATION OF PARKING IN A RESIDENTIAL DISTRICT- A COMMERICAL VECHILE A GREY COOR DODGE VAN PLATEXH7360 WAS PARKED IN DRIVEWAY AT TIME OF INSPECTION IN RESIDINTIAL YARD. REMEDY: CONFORM TO PARKING REGULATIONS.,B57,0,0,25-00                                                                       VIOLATION OF PARKING REGULATIONS IN A RESIDENTIAL DISTRICT,1703125,1030,6410.0,,,
CLASS - 1,,UNLAWFUL ACTS. FAILURE TO COMPLY W/ AN ORDER OF THE COMMISSIONER. NOTE: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOC 34755136X FOR WORK W/O A PERMIT @ 2ND FL EAST WALL CREATED AN OPENING,187,12000,2400,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1630373,1000,1616.0,,,
Non-Hazardous,,ALTERED BUILDING OCCUPIED WITHOUT A VALID C OF O. BLDG OCCUPIED ALT 1507-50 ALTERATION. DEM 220-50 LNO 3101 FL 1 DENIED RETAIL STORES. LNO 3113 FL DENIED RETAIL STORE. LNO 3150 1ST FL DENIED RETAIL STORE.FILE,B02,180,180,27-215                                                                      ALTERED BLDG OCCUPIED WITHOUT A VALID CERTIFICATE OF OCCUPANCY,1368936,1030,5046.0,,,
CLASS - 1,,UNLAWFUL ACTS. FAIL TO COMPLY W.COMM ORDER. RESPONDENT FAILED TO CORRECT THE CONDITION CITED IN THE PRIOR NOV 34682594Z- FOR WORK W.O A PERMIT. INSTALLED 3 PC BATHROOM & GAS LINE AT CELLAR LEVEL. NO RECORD OF C,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705149,800,13463.0,,,
CLASS - 2,,WORK W.O PERMIT. WORK NOTED: AT FRONT COURT YARD- NO LANDSCAPE/NO PAVEMENT & FOUND DIRT/EARTH EVIDENT WITH OPEN HOLES IN VARIOUS LOCATIONS. ALT 2 420105326 DISAPPROVED 12/7/09. PROPOSE TO RENOVATE EXISTING COUR,201,800,800,28-105.1                                                                    WORK WITHOUT A PERMIT,5757,1030,5024.0,,,
CLASS - 1,,"RESIDENCE ALTERED FOR OCCUPANCY AS A DWELLING FOR MORE THAN THE LEGALLY APPROVED # OF FAMILIES,DEPT OF BUILDING RECORDS INDICATE PREMISES TO BE LEGALLY APPROVED FOR A (6) FAMILY NOW PREMISES CONVERTED TO BE A 6",105,4400,6106,28-210.1                                                                    RES ALTER FOR OCC DWELL FROM 1 OR 2 FAMILES TO GREATER THAN 4,28099,830,,3329.0,,
CLASS - 1,,FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER VECB # 34766271M ISSUED ON 3/03/09 FOR WORK W/O PERMIT AT BSMT INSTALLEDROUGHING AND PIPING TO SUPPORT GAS STOVE RESIDENTIAL SINK & 3PC BATH,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1670719,1030,8036.0,,,
CLASS - 3,,WORK W/O OUT A PERMIT NOTE FULL HEIGHT INTERIOR PARTITION WALLS ERECTED SUBDIVIDED CELLAR CREATING 2 BDRM W/ 3PC BTRM W/ BATHTUB PLUMBING AND ELECTRICAL WORK COMPLETED FOR SPACE CREATED W/O APPROVAL REM: OBTAIN,301,200,200,28-105.1                                                                    WORK WITHOUT A PERMIT,18927,830,7836.0,,,
CLASS - 1,,"FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER. NOTED: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PREVIOUS NOV #34719363H,  HAVING CONSTRUCTED AT CELLAR FULL HEIGHT PARTITIONS CREATING ROOMS",187,6000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1706282,1030,9425.0,,,
CLASS - 1,,"DUNLAWFUL ACTS.FAILURE TO COMPLY W/AN ORDER OF THE COMM NOTED:RESP FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV#34739925Z, HAVINGINSTALLED @ 2ND FLR WATER & WATSE LINES FOR A RESIDENTIAL SINK, TUB &",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1672772,1030,1867.0,,,
CLASS - 2,,SEC. BC 3109.5 ABOVE GROUND SWIMMING POOLS REQUIREMENTS: NOTED: 1 FAMILY DWELLING LOT SIZE 25 X 100. INSTALL ABOVE GROUND (4'-0H) SWIMMING POOL AT BACK YARD. 2'-0 FROM ADJACENT LOT LINE. WHICH REQUIREMENT 3'-0,206,0,0,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,18791,830,3038.0,,,
CLASS - 1,,FAILURE TO COMPLY W/AN ORDER OF THE COMM'S RESPONDENT FAILED TO CORRECT CONDITIONS IN #34780124N IN CELLAR INSTALLED WATER AND WASTE LINE FOR 3PC BATH GAS LINE FOR STOVE REMEDY:COMPLY W/CODE,187,2400,1800,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705309,800,12324.0,,,
CLASS - 2,,21M07 07 INSTALL MISSING HOISTWAY DOOR INTERLOCK COVERS,251,2500,125,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,30473,830,210.0,,,
CLASS - 2,,"WORK W.O PERMIT. WORK NOTED AT SIDE PASSAGEWAY. GRADE HAS BEEN RAISED APPROX 42"". MEN BRICK RETAINING WALL ERECTED. NEW CONCRETE SLAB INSTALLED TO USE SIDE YARD. AS PARKING SPACE. (4) FOUR STRIPS BUILT BETWEEN",201,800,800,28-105.1                                                                    WORK WITHOUT A PERMIT,4919,830,5619.0,,,
CLASS - 2,,"WORK WITHOUT A PERMIT! ILLEGAL WORK NOTED; AT BUILDING SIDE YARD SETBACK FOUND WITH STEEL STRUCTURE WITH IRON COLUMN AND PLATFORM WITH IRON FENCE AND ENCLOSURE @ 9'-6"" HEIGHT ADJACENT AND 1 TO RAMP 2 LEFT OF EN",201,500,566,28-105.1                                                                    WORK WITHOUT A PERMIT,20928,830,2145.0,,,
CLASS - 1,,"UNLAWFUL ACTS,FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER NOTED:RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV#34622798X,HAVING CONSTRUCTED FULL HEIGHT PARTITIONS IN THE CELLAR & ALS",187,24000,6000,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1671950,1030,3445.0,,,
CLASS - 2,,WORK DOES NOT CONFIRM TO APPROVED SITE SAFETY PLAN EXCAVATION IS IN PROGRESS APPROX 15'DEEP EXCAVATION THE RAMP PROVIDED FOR THE EGRESS / INGRESS THE SLOPE IS NOTE CONFORMING THE APPROVED SLOPE WHICH IS 1:4 AS,282,0,0,28-105.12.2                                                                 WRK DOESN'T CONFORM TO APPROV DOCS AND/OR APPROV AMENDMENTS,25219,1030,146.0,,,
CLASS - 1,,"UNLAWFUL ACTS-FAILURE TO COMPLY WITH A COMMISSIONER'S ORDER TO CORRECTVIOLATION #34624437J, ISSUED ON 05/05/08, ISSUED FOR THE ILLEGAL STORAGE OF A SHIPPING CONTAINER, DEBRIS BOX DUMPSTERS, A COMMERCIAL DUMP TR",187,2400,2400,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1271448,930,544.0,,,
CLASS - 2,,FAILURE TO SAFEGUARD ALL PERSONS & PROPERTY AFFECTED BY CONST OPERATIONS NO SMOKING SIGNS WITHIN CONST SITE NOT OBSERVED IN VIO OF NYC FIRE CODE 1404.1 & FC310 NB PERMIT 320037250 WORK ONGOING @ TIME INSPECTION,209,1200,1200,"BC 3301.2,27-1009(A)                                                        FAIL TO SAFEGUARD PERS/PROPERTY AFFECTED BY CONSTRUCTION OP",1451,830,2312.0,,,
CLASS - 1,,FAILURE TO SAFEGUARD ALL PERSONS & PROPERTY AFFECTED BY CONSTRUCTION OPERATIONS. GUARDRAILS ARE MISSING AT REAR EXP 3 LADDERS AT OPENINGS DOES NOT PAST LANDING 3' & ARE NOT STAYED FROM MOVEMENT.,109,0,0,"BC 3301.2,27-1009(A)                                                        FAIL TO SAFEGUARD PERS/PROPERTY AFFECTED BY CONSTRUCTION OP",30985,830,9423.0,,,
CLASS - 2,,FAILURE TO FILE AN ACCEPTABLE SIXTH ROUND TECHNICAL REPORT IN COMPLIANCE WITH CODE PROVISIONS: PERIODIC INSPECTION OF EXTERIOR WALLS AND APPURTENANCES AS REQUIRED BY ARTICLE 28.302 AND THE DEPARTMENT OF BUILDIN,230,4000,0,28-302.4                                                                    FAILURE TO SUBMIT A REQUIRED REPORT OF CRITICAL EXAMINATION DOCUMENTIN,1275659,830,3076.0,,,
CLASS - 1,,FAILURE TO COMPLY W/COMM'S ORDER TO CORRECT VIO#34831871Y FOR WORK W/OPERMIT SUBDIVIDE 1 & 2 APTS INTO 6SRO'S W/3PC COMP BATHROOMS. NO RECORD OF CORRECTION.REM:COMPLY W/COMM'S ORDER TO OBTAIN PERMIT,187,12000,2400,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,772559,830,1541.0,,,
CLASS - 2,,"ILLEGAL USE IN A RESIDENTIAL DISTRICT IN THAT, THE STORAGE & KEEPING OF 2 BOAT TRAILERS & 1 BOAT ON THE RESIDENTIAL PROPERTY IS IN VIOLATIONOF THE ZONING RESOLUTION SEC 22-00. REMEDY: REMOVE BOAT & BOAT TRAILER",205,0,0,ZR 22-00                                                                    ILLEGAL USE IN RESIDENTIAL DISTRICT,15101,830,6843.0,,,
CLASS - 1,,UNLAWFUL ACTS FAILURE TO COMPLY W/ COMM ORDER TO CORRECT CONDITIONS CITED IN NOV FOR WORK DONE W/O A PERMIT REM: CORRECT VIOLATION,187,0,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,17580,830,3916.0,,,
CLASS - 1,,FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO CORRECT CONDITIONS CITED IN NOV 34761135P FOR WORK DONE W/O A PERMIT REMEDY:CORRECT CONDITIONS CITED.,187,0,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,15755,930,202.0,,,
CLASS - 2,,12B10.70O02.12B LIGHTS OUT IN CAR,251,0,0,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,393289,830,1691.0,,,
CLASS - 3,,WORK DOES NOT CONFORM TO APPROVED CONSTRUCTION DOCUMENTS AND/OR APPROVED AMENDMENTS JOB#4200656/A2 DATED 8/11/09 NOTED CELLAR BATH RM 2PC FOUND VOIDED SPACE PLAN SHOWN REMOVED WALL & BATH TUB CEL REAR AREA INST,382,200,200,28-105.12.2                                                                 WRK DOESN'T CONFORM TO APPROV DOCS AND/OR APPROV AMENDMENTS,5152,800,2492.0,,,
CLASS - 1,,FAILURE TO COMPLY W/COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER VIOLATION 34767678Z - INSTALLED WATER & WASTE LINES FOR BATHROOM ETC. W/O A PERMIT. REMEDY: CORRECT VIOLATION 34767678Z.,187,2400,3128,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1426158,830,1517.0,,,
CLASS - 1,,"FAILURE TO SAFEGUARD ALL PERSONS & PROPERTY AFFECTED BY CONSTRUCTION OPERATIONS. UPON INSPECTION AT ACTIVE JOB SITE, CONCRETE FORMING ON BULKHEAD IN PROGRESS ON 22ND FL SETBACK; REBAR BENDING OPERATION ONGOING.",104,2400,2400,28-302.1                                                                    FAILURE TO MAINTAIN BLDG WALL(S) OR APPURTENANCES,20212,1030,701.0,,,
CLASS - 1,,SEC. 3307.5;27-1024(B) NO FLAG PERSON. AT THE TIME OF MY INSPECTION APPROX 7 MEN AT WORK POURING NB CONCRETE FORMS TRUCK BLOCKING SIDEWALK & HALF OF THE STREET. PEDESTRIANS HAVING TO WALK OUT INTO THE STREET,106,1600,2094,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,21542,830,4198.0,,,
CLASS - 1,,FAILURE TO COMPLY W/ COMM ORDER TO CORRECT CONDITIONS CITED IN NOV 34776287X FOR WORK DONE W/O A PERMIT CREATED BTRM ETC AT CELLAR REM: CORRECT VIOLATION 34776287X,187,2400,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1672023,830,3925.0,,,
CLASS - 1,,FAILURE TO COMPLY WITH THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER VCCB #34767877L ISSUED ON 3/12/09 FOR WORK W/O PERMIT: INSTALLED ROUGHING & PIPING TO SUPPORT 2 3PC BATHROOMS & 2 FULL KITCHENS (W/STOVE &,187,2400,2700,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1668751,930,7023.0,,,
CLASS - 1,,PLUMBING WORK W/O A PERMIT ISSUED STOP WORK ORDER (PLUMBING) ENTIRE BLDG DEMOLITION ALT OF THE PLUMBING NEWLY INSTALLED WASTE LINE IN BASEMENT STOP ALL PLUMBING WORK REMEDY: OBTAIN A PERMIT TO LEGALIZE ALL,101,1600,1600,28-105.1                                                                    WORK WITHOUT A PERMIT,31378,830,1750.0,,,
Non-Hazardous,,11D06/85BB05/86BB05.,BP7,2500,0,27-987                                                                      FAILURE TO MAINTAIN ELEVATOR,1752992,1030,5015.0,,,
CLASS - 2,,40D7.59Y2.10M7 40D7 PROVIDE WALL BETWEEN MACHINE RM AND HOISTWAY 59Y2 CLEAN OIL FROM BRAKE PADS AND PULLY 10M7 PROVIDE 2ND CAR DOOR GIB,251,0,0,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLAINT MANNER:SERVICE EQUIPMEN,30281,1030,5078.0,,,
CLASS - 1,,FAILURE TO COMPLY W/COMMISSIONER'S ORDER TO CORRECT VIO #34734674K FORWORK W/O PERMIT AT CELLAR INSTALLED 1 ILLEGAL CLASS 'A'APT NO RECORD  CORRECTION REMEDY:COMPLY W/COMM'S ORDER TO OBTAIN PERMIT,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705305,830,13486.0,,,
CLASS - 1,,UNLAWFUL ACTS FAILURE TO COMPLY W/ AN ORDER OF THE COMM NOTE RESPONDENT FAILED TO CORRECT THE VIOLATING CONDITION CITED IN NOV#34622751X REMOVE GARAGE DOOR AND REPLACE SAME W/ A BRICK WALL & WINDOW REM; COMPLY,187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1575752,1030,4781.0,,,
Non-Hazardous,,"B4A,16,50,50A,50B,50C,50D,50E,50F/50-DEBRIS IN BOILER ROOM/50A-HOLES IN BOILER ROOM/WASTE OIL IN BOILER ROOM/50C-WIRES EXPOSED & ABANDON OILPUMP, TOP OIL TANK/50D-BOILER ROOM LIGHT DEFECTIVE/50E-LOW WATER CUT",B4A,2500,350,27-127                                                                      FAILURE TO MAINTAIN BOILER (A),1696879,1030,733.0,,,
CLASS - 1,,FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER RESPONDENT FAILED TO CORRECT CONDITIONS IN #34681090K INSTALLED ENTRANCE AT THE REAR REMEDY:COMPLY W/CODE,187,2400,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1706673,800,12091.0,,,
CLASS - 1,,BC3314.4.2 FAILURE TO MAINTAIN SUPPORTED SCAFFOLD NOTED SCAFFOLD EXP 1 9TH FL SETBACK APPROX 110H IS MISSING GUARDRAILS TOE BOARDS AND HAS DEBRIS STREWN AN PLANKS THAT ARE NOT SECURE REMEDY: MAINTAIN SUPPORTED,106,1600,1600,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,6709,1030,1661.0,,,
Non-Hazardous,,"FAILURE TO MAINTAIN EXTERIOR BUILDING WALL. DEFECT IS: ALL ORNAMENTAL STONE AROUND WINDOWS AND CORNICE AT ROOF SPALLING, CHIPPING, AND CRACKING. REMEDY: REPAIR AND RESTORE FRONT FACADE IN A WORKMAN LIKE MANOR",B06,1000,1097,27-127                                                                      FAILURE TO MAINTAIN EXTERIOR BUILDING WALL,1666369,830,2089.0,,,
Non-Hazardous,,RESIDENCE IS ALTERED FOR OCCUPANCY AS A DWELLING FOR MORE THAN LEGALLY APPROVED NUMBER OF FAMILY AS PER C OF O #172457 RESIDENCE LEGALLY APPROVED TWO FAMILY RESIDENCE IS NOW ALTERED FOR OCCUPANCY BY THREE FAMIL,BQ5,3050,3050,27-118.1                                                                    RESIDENCE ALTERED FOR OCCUPANCY BY MORE THAN LEGALLY APPROVED NUM,1703697,800,,,,655.0
CLASS - 1,,FAILURE TO COMPLY WITH COMM-ORDER TO OBTAIN A PERMIT VIOLATION 34776114H-FOR INSTALLING BATHROOM AS LINE ETC CELLAR LEVEL W/O A PERMIT. REM: CORRECT VIOLATION 34776115J,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1426433,830,1481.0,,,
CLASS - 1,,UNLAWFUL ACTS.FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER.RESPONDENT FAILED TO COMPLY W/THE COMMISSIONER ORDER TO CORRECT THE CONDITIONCITED IN PRIOR NOT W/ECB #34612046Y FOR CREATED A CLASS A APT W/ECB,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1669629,1030,8172.0,,,
CLASS - 1,,FAILURE TO FILE FORM TRI PRIOR TO START OF CONTROLLED WORK JOB UNDER APPL 402011363 AT TIME OF INSPECTION LIGHT GAUGE FRAMING C-JOIST METAL (12X2) HAS BEEN IN PLACE ON THE 1ST FL THRU 3RD FL OBSERVED REMEDY:,106,1600,1628,27-/28-/BC-MISC                                                             MISCELLANEOUS VIOLATIONS,1734561,800,186.0,,,
CLASS - 2,,FAILURE TO COMPLY WITH THE COMMISSIONER'S ORDER TO CORRECT TEH VIOLATING CONDITION AND FILE A CERTIFICATE OF CORRECTION WITH THE NYC DEPARTMENT OF BUILDINGS FOR NOTICE OF VIOLATION #34594448K REM: CORRECT THE V,263,0,0,AC 28-204.4                                                                 FAIL TO COMPLY W/COMMISSIONER ORDER TO FILE CERT OF CORRECTION W/DOB,3616,830,10124.0,,,
CLASS - 1,,FAILURE TO COMPLY W/ COMMS ORDER TO CORRECT VIO@34762680P FOR WORK W/O PERMIT 1 CLASS A APT W/ 3PC BATH RESID SINK & GASLINE FOR STOVE NO RECORD OF CORRECTION REM; COMPLY W/ COMMS ORDER & OBTAIN PERMIT,187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1704230,1030,8602.0,,,
CLASS - 1,,FAIL TO COMPLY W/THE COMM ORDER TO OOBTAIN A PERMIT PER ECB NOTICE OF VIO#34633647M ISSUED 02/06/08 FOR WRK W/O PERMIT @ 1ST FLR & CELLAR PRIOR NOV#347-923-36H ISSUED 07/06/09 SAME RESPONDENT.REM:COMPLY W/THE,187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1672682,930,8022.0,,,
