payment_id,contract_id_,revised_contract_start_date,payment_recipient,project_status,stimulus_funding,award_lead_city_agency,contract_value,contract_method,funding_source,revised_contract_end_date,actual_completion_date,_of_funds_spent,project_lead_city_agency,stimulus_tracker_id,payment_description
12967.0,,,,Less than 50% completed,707717837.0,DOE,,,Title 1 Grants,,,3.36,DOE,501001.0,Personal Service
11043.0,NCLB006,,COMPREHENSIVE COUNSELING                ,Less than 50% completed,707717837.0,DOE,2704872.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NCLB                                    
3756.0,,,SBS,Completed 50% or more,10792203.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.02,SBS,301013.0,PS
3613.0,,,SBS,Completed 50% or more,5026832.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.04,CUNY,301006.0,PS
3833.0,,,Personal Service,Less than 50% completed,6919294.0,CJC,,,Justice Assistance Grants - Local,,,13.71,DOC,604011.0,Salaries for DOC personnel
,,,,Less than 50% completed,1653945.0,NYCHA,,,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109089.0,
,,,,Less than 50% completed,2794859586.0,OMB,,,Federal Medicaid Aid to States (FMAP),,,0.0,OMB,801001.0,
861.0,9010793,,P.C. RICHARD & SON,Less than 50% completed,23724959.81,NYCHA,22064000.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.15,NYCHA,109004.0,ENERGY EFFICIENT REFRIGERATORS
10918.0,B058812,,B & H FOTO & ELECTRONICS CORP.          ,Less than 50% completed,707717837.0,DOE,13000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,AUDIO/VIDEO EQUIPMENT AND SERVICES      
,,,,Not Started,4000000.0,DCAS,,,Energy Efficiency and Conservation Block Grants (Formula),,,0.0,DOE,201008.0,
7800.0,9975689,,Prince Electric,Completed 50% or more,10000000.0,OMB,1417664.0,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.15,DOE,703007.0,Electrical Work in City School
