contract_name,project_name,date_funds_awarded_by_fed_state,payment_type,displaced_city_funding,actual_start_date
Personal Service,Oakwood Beach Wastewater Treatment Plant Reconstruction of Main Electrical Substation,2009-11-19T00:00:00.000,,0.0,2010-03-08T00:00:00.000
INTERACTIVE WHITE BOARDS,Teacher Center,2009-06-19T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,School-Based Jobs Recovery 2,2009-06-19T00:00:00.000,Personal Service (PS),0.0,2009-09-09T00:00:00.000
Personal Service,Alternatives to Juvenile Detention Services,2009-06-05T00:00:00.000,,0.0,2009-07-01T00:00:00.000
Energy Efficient Refrigerator Replacement at various locations,Energy Efficient Refrigerator Replacement at various locations,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-08-10T00:00:00.000
"PRINTING FORMS, CARDS",Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Reconstruction of Hillside Avenue Street Scape,Hillside Avenue Sidewalk Replacement (Jamaica),,,6743000.0,2010-03-01T00:00:00.000
TRADE BOOKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
AUDIO/VIDEO EQUIPMENT AND SERVICES,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
PRENTICE HALL,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,,0.0,2009-09-09T00:00:00.000
Spray On Foam Roofing at Brooklyn/Staten Island,Spray On Foam Roofing at Various Locations,2009-03-18T00:00:00.000,,0.0,2009-10-30T00:00:00.000
STUDENT SUPPORT SERVICES,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
"Rockaway Development & Revitalization Corporation, 90814",Summer Youth Employment Program (SYEP),2009-03-23T00:00:00.000,Vendor Payment (OTPS),0.0,2009-04-01T00:00:00.000
Personal Service,School-Based Jobs Recovery 1,2009-08-17T00:00:00.000,Personal Service (PS),0.0,2009-09-09T00:00:00.000
Energy Efficient Refrigerator Replacement at various locations,Energy Efficient Refrigerator Replacement at various locations,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-08-10T00:00:00.000
Personal Service,Individual Training Grants - Increase availability,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-06-29T00:00:00.000
TEXTBOOKS,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Chelsea Houses - Elevator Rehabilitation,2009-03-18T00:00:00.000,,0.0,2010-03-16T00:00:00.000
NCLB,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
TRADE BOOKS,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Individual Training Grants - Increase availability,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-06-29T00:00:00.000
Personal Service,Job preparation and placement services to dislocated workers and high need individuals,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
Personal Service,Congregate Meals for the Elderly,2009-06-10T00:00:00.000,,0.0,2009-08-01T00:00:00.000
TRADE BOOKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Emergency Repair Program: Lead Paint,Emergency Repair Program: Lead Paint,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-10-05T00:00:00.000
Personal Service,Teacher Center,2009-06-19T00:00:00.000,Personal Service (PS),0.0,2009-09-09T00:00:00.000
National Grid Energy Management - Gas/Fuel Burner Repair,Code Violation Removal in Schools,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
Personal Service,CUNY pilot program for higher priced trainings in demand occupations expansion,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-01T00:00:00.000
TEACH.TXBKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
"Woodycrest Center For Human Development, 90827",Summer Youth Employment Program (SYEP),2009-03-23T00:00:00.000,Vendor Payment (OTPS),0.0,2009-04-01T00:00:00.000
Personal Service,Disconnected Youth - Subsidized Internships,2009-03-23T00:00:00.000,,0.0,2009-07-01T00:00:00.000
Energy Efficient Refrigerator Replacement at various locations,Energy Efficient Refrigerator Replacement at various locations,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-08-10T00:00:00.000
Emergency Repair Program: Lead Paint,Emergency Repair Program: Lead Paint,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-10-05T00:00:00.000
"YMCA of Greater New York/Corporate, 9963",Beacon Community Centers,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
HEAVY DUTY CAFETERIA  EQUIPMENT,School Kitchen Equipment Stimulus Grant,2009-08-25T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-15T00:00:00.000
"Sports and Arts In Schools Foundation, Inc., 200092A",Out of School Time (OST) Program Option 2,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
Brooklyn Bridge #6-Rehabilitation of Approaches & Ramps and Painting of the Entire Bridge,Brooklyn Bridge Rehabilitation,2009-11-27T00:00:00.000,,0.0,2010-01-19T00:00:00.000
Personal Service,Workforce1 Sector Career Center Launch,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
Personal Service,Teacher Center,2009-06-19T00:00:00.000,Personal Service (PS),0.0,2009-09-09T00:00:00.000
Personal Service,Decatur Ave Retaining Wall Reconstruction (Bedford Park),,,1937000.0,2010-06-14T00:00:00.000
Personal Service,Rockaway Boardwalk Reconstruction,,,13570000.0,2009-07-23T00:00:00.000
Drop-In Center Project Hospitality,Street Solutions (Drop-In Centers),2009-07-21T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-21T00:00:00.000
Woodson Houses - Electrical Upgrade,Woodson Houses - Electrical Upgrade,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-05-29T00:00:00.000
Reconstruction of E. 8th Street Access Ramp Bridge over Belt Parkway,Shore (Belt) Parkway East 8th Street Access Ramp Reconstruction,,Vendor Payment (OTPS),11570000.0,2009-08-10T00:00:00.000
Personal Service,School-Based Jobs Recovery 1,2009-08-17T00:00:00.000,Personal Service (PS),0.0,2009-09-09T00:00:00.000
Personal Service,Job preparation and placement services to dislocated workers and high need individuals,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
Personal Service,Job preparation and placement services to dislocated workers and high need individuals,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
Emergency Repair Program: Lead Paint,Emergency Repair Program: Lead Paint,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-10-05T00:00:00.000
"Rockaway Development & Revitalization Corporation, 90814",Summer Youth Employment Program (SYEP),2009-03-23T00:00:00.000,Vendor Payment (OTPS),0.0,2009-04-01T00:00:00.000
Personal Service,Audits (Energy Audit Program),2009-09-29T00:00:00.000,,0.0,2009-10-01T00:00:00.000
Personal Service,Workforce1 Sector Career Center Launch,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
Installation of Heating Valves and Traps in Manhattan,Installation of Heating Valves and Traps at Various Locations,2009-03-18T00:00:00.000,,0.0,2009-08-19T00:00:00.000
TEACH.TXBKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
PURCHASE OF TEXTBOOK AND ANCILLARY,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
RAISED RAIL REFRIGERATORS,School Kitchen Equipment Stimulus Grant,2009-08-25T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-15T00:00:00.000
"Turning Point, 766457",Adult Literacy Employment Program,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
Personal Service,POP Connect,2009-03-23T00:00:00.000,,0.0,2009-07-01T00:00:00.000
Armstrong Houses I & II - Brickwork Repair and Roofing Replacement,Armstrong Houses I and II - Brickwork Repair and Roofing Replacement,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-04-24T00:00:00.000
TRADE BOOKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Energy Efficient Refrigerator Replacement (installation at Hope Garden & Wyckoff),Energy Efficient Refrigerator Replacement at various locations,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-08-10T00:00:00.000
Personal Service,Sheepshead Bay Houses - Heating Upgrade,2009-03-18T00:00:00.000,,0.0,2009-05-29T00:00:00.000
Personal Service,Child Support Personal Services Funding,2008-10-01T00:00:00.000,Personal Service (PS),0.0,2008-10-01T00:00:00.000
Personal Service,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Personal Service (PS),0.0,2009-09-09T00:00:00.000
Emergency Repair Program: Lead Paint,Emergency Repair Program: Lead Paint,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-10-05T00:00:00.000
TEXTBOOKS  AND ANCILLARY MATERIALS,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Head Start Classroom Renovation and Maintenance,2009-09-02T00:00:00.000,,0.0,2010-06-01T00:00:00.000
Personal Service,Job preparation and placement services to dislocated workers and high need individuals,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
"Global Kids, Inc., 200039A",Out of School Time (OST) Program Option 2,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
TEACH.TXBKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
TRADE BOOKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Evaluation of Meningococcal Conjugate Vaccine and other High Priority Vaccine Preventable Disease,2009-09-03T00:00:00.000,Personal Service (PS),0.0,2009-10-14T00:00:00.000
NCLB,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Energy Efficient Gas/Electric Ranges at Taft and Lehman,Energy Efficient Gas/Electric Ranges at various locations,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-07T00:00:00.000
TEACH.TXBKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
"Energy Efficient Gas/Electric Ranges additional various Manhattan developments (Chelsea, Chelsea Add., Two Bridges, Campos Plaza, Robbins Plaza, Gompers)",Energy Efficient Gas/Electric Ranges at various locations,2009-03-18T00:00:00.000,,0.0,2009-07-07T00:00:00.000
Personal Service,Job preparation and placement services to dislocated workers and high need individuals,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
Personal Service,Individual Training Grants - Increase availability,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-06-29T00:00:00.000
DO NOT DISPLAY - FMAP,Federal Medicaid Aid to States (FMAP),,Miscellaneous (OTPS),0.0,2008-10-01T00:00:00.000
Personal Service,Morris I Houses - Roof Tank Replacement,2009-03-18T00:00:00.000,,0.0,2009-08-05T00:00:00.000
INSTRUCTIONAL LEARNING MATERIALS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Beach 41st Street Houses - Roofing Replacement,Beach 41st Street Houses - Roofing Replacement,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-05-12T00:00:00.000
NCLB,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
"ABC Construction Contracting, Inc. - Lead-based Paint Abatement",Code Violation Removal in Schools,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
"New York City Mission Society, 9973",Beacon Community Centers,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
Congregate Meals for the Elderly at Senior Centers,Congregate Meals for the Elderly,2009-06-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-08-01T00:00:00.000
"New York Junior Tennis League, 200071A",Out of School Time (OST) Program Option 2,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
NCLB,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
"Ridgewood Bushwick Senior Citizens Council, 90813",Summer Youth Employment Program (SYEP),2009-03-23T00:00:00.000,Vendor Payment (OTPS),0.0,2009-04-01T00:00:00.000
Personal Service,Staten Island Ferry System Asset Maintenance - In-house personnel,2009-08-21T00:00:00.000,Personal Service (PS),0.0,2009-07-01T00:00:00.000
"CAMBA, Inc., 766462",Adult Literacy Employment Program,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
Personal Service,Workforce1 Sector Career Center Launch,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
Personal Service,CUNY pilot program for higher priced trainings in demand occupations expansion,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-01T00:00:00.000
Personal Service,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Personal Service (PS),0.0,2009-09-09T00:00:00.000
Flatbush Action Board of Directors,Day Care Restoration of Pre-School Classrooms,2009-05-06T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
RAISED RAIL REFRIGERATORS,School Kitchen Equipment Stimulus Grant,2009-08-25T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-15T00:00:00.000
POSTER MAKER EQUIPMENT,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Emergency Repair Program: Lead Paint,Emergency Repair Program: Lead Paint,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-10-05T00:00:00.000
TRADE BOOKS,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
TRANSLATION & INTERPRETATION,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Neighborhood Stabilization Program 2,2010-01-14T00:00:00.000,,0.0,
Personal Service,Sumner Houses - Elevator Rehabilitation,2009-03-18T00:00:00.000,,0.0,2009-04-28T00:00:00.000
TEXTBOOKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,132nd Street / Linden Place Extension,,,7000000.0,2009-07-01T00:00:00.000
Energy Efficient Refrigerator Replacement (Todt Hill),Energy Efficient Refrigerator Replacement at various locations,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-08-10T00:00:00.000
Newtown Creek Sludge Vessels (3),Newtown Creek Wastewater Treatment Plant Sludge Vessels (3),2009-11-19T00:00:00.000,,0.0,2010-03-01T00:00:00.000
INFORMATION TECHNOLOGY,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
AUDIO/VIDEO EQUIPMENT AND SERVICES,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
TEXTBOOKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Summer Youth Employment Program (SYEP),2009-03-23T00:00:00.000,,0.0,2009-04-01T00:00:00.000
Personal Service,Lehman Village Houses - Roofing Replacement,2009-03-18T00:00:00.000,,0.0,2009-11-20T00:00:00.000
AUDIO/VIDEO EQUIPMENT AND SERVICES,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,The Douglass,2009-06-19T00:00:00.000,,0.0,2009-09-15T00:00:00.000
ELECTRIC FEEDER KITCHEN EQUIP,School Kitchen Equipment Stimulus Grant,2009-08-25T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-15T00:00:00.000
Hobbs Ciena,Hobbs Ciena,2009-06-19T00:00:00.000,Vendor Payment (OTPS),0.0,2009-06-30T00:00:00.000
Personal Service,CUNY pilot program for higher priced trainings in demand occupations expansion,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-01T00:00:00.000
"Charles A. Dimino, Inc. - Plumbing Repairs",Code Violation Removal in Schools,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
Personal Service,Code Violation Removal in Schools,2009-08-10T00:00:00.000,Personal Service (PS),0.0,2009-07-01T00:00:00.000
Hobbs Ciena,Hobbs Ciena,2009-06-19T00:00:00.000,Vendor Payment (OTPS),0.0,2009-06-30T00:00:00.000
EMPLOYMENT AGENCY PROFESSIONAL SERVICES,Education Services for Special Needs Students - Pre-School,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Baisley Park Houses -  Brickwork Repair and Roofing Replacement,Baisley Park Houses -  Brickwork Repair and Roofing Replacement,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-04-23T00:00:00.000
"Arthur Ashe Institute for Urban Health, Inc, 200002A",Out of School Time (OST) Program Option 2,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
Personal Service,St. George and Whitehall Ferry Terminals Retail Improvements,,,4940000.0,2009-04-30T00:00:00.000
Personal Service,Job preparation and placement services to dislocated workers and high need individuals,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
Highbridge Anderson Houses Rehabs - Brickwork Repair and Roofing Replacement,Highbridge Anderson Houses Rehabs - Brickwork Repair and Roofing Replacement,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-05-29T00:00:00.000
TEXTBOOK,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Emergency Repair Program: Lead Paint,Emergency Repair Program: Lead Paint,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-10-05T00:00:00.000
Wards Island Replacement of Primary Sludge System,Wards Island Wastewater Treatment Plant Replacement of Primary Sludge System,2009-11-19T00:00:00.000,,0.0,2009-12-29T00:00:00.000
NCLB,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Job preparation and placement services to dislocated workers and high need individuals,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
DB for the Rehab St. George SIFT Ramps,St. George Ferry Terminal Ramps Rehabilitation,2009-08-21T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-27T00:00:00.000
POSTER MAKER EQUIPMENT,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
NO CHILD LEFT BEHIND,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
INSTRUCTIONAL LEARNING MATERIALS.,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
TEACH.TXBKS,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Education Services for Special Needs Students - Pre-School,2009-04-01T00:00:00.000,Personal Service (PS),0.0,2009-09-09T00:00:00.000
Personal Service,Staten Island Ferry System Asset Maintenance - In-house personnel,2009-08-21T00:00:00.000,Personal Service (PS),0.0,2009-07-01T00:00:00.000
Personal Service,Highbridge Gardens Houses - Brickwork Repair and Roofing Replacement,2009-03-18T00:00:00.000,,0.0,2009-04-27T00:00:00.000
LEASING OF MULTI-FUNCTIONAL DEVICES.,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Brooklyn Bridge #6-Rehabilitation of Approaches & Ramps and Painting of the Entire Bridge,Brooklyn Bridge Rehabilitation,2009-11-27T00:00:00.000,,0.0,2010-01-19T00:00:00.000
TEXTBOOKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Energy Efficient Gas/Electric Ranges at Leavitt Street-34th Avenue and Stapleton,Energy Efficient Gas/Electric Ranges at various locations,2009-03-18T00:00:00.000,,0.0,2009-07-07T00:00:00.000
Personal Service,Workforce1 Career Centers - Advance at Work Program Extension,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
PD SERVICES FOR SCHOOL LEADERS,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Individual Training Grants - Increase availability,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-06-29T00:00:00.000
Personal Service,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Personal Service (PS),0.0,2009-09-09T00:00:00.000
DO NOT DISPLAY- Summer Youth Employment Program (SYEP) Participant Wages,Summer Youth Employment Program (SYEP),2009-04-01T00:00:00.000,Miscellaneous (OTPS),0.0,2009-04-01T00:00:00.000
"ATC Group Services, Inc. - Asbestos Analysis",Code Violation Removal in Schools,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
Brooklyn Bridge #6-Rehabilitation of Approaches & Ramps and Painting of the Entire Bridge,Brooklyn Bridge Rehabilitation,2009-11-27T00:00:00.000,,0.0,2010-01-19T00:00:00.000
Personal Service,East Houston Street Reconstruction (Lower East Side),,,19301000.0,2010-06-21T00:00:00.000
Emergency Repair Program: Lead Paint,Emergency Repair Program: Lead Paint,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-10-05T00:00:00.000
Personal Service,905 Eagle Ave at McKinley Houses - Roofing Replacement,2009-03-18T00:00:00.000,,0.0,2009-07-16T00:00:00.000
NCLB,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Energy Efficient Refrigerators (1),Energy Efficient Refrigerator Replacement at various locations,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-08-10T00:00:00.000
