vendor_name,contract_name,final_spending_deadline,project_description,_of_funds_to_be_spent_by_interim_spending_deadine
,Personal Service,2011-09-30T00:00:00.000,Preserves school-based jobs that might have otherwise been cut due to State and City tax shortfall,
B & H FOTO & ELECTRONICS CORP.,AUDIO/VIDEO EQUIPMENT AND SERVICES,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
sco family of services,"SCO Family of Services, 9950",2010-09-30T00:00:00.000,Support full range of after-school and community-based services for additional children and adults at 66 Beacon Community Centers.,100.0
P. C. Richards & Co.,Energy Efficient Refrigerator Replacement at various locations,2012-03-17T00:00:00.000,Refrigerators.,60.0
P. C. Richards & Co.,Energy Efficient Refrigerator Replacement at various locations,2012-03-17T00:00:00.000,Refrigerators.,60.0
,Personal Service,2010-09-30T00:00:00.000,Support full range of after-school and community-based services for additional children and adults at 66 Beacon Community Centers.,100.0
,Personal Service,2011-06-30T00:00:00.000,Development and launch a Sector-Based Career Center that serves jobseekers and employers. The program will focus on job preparation and placement that provide opportunities for career advancement within a growth economic sector.   ,75.0
ACTION PRESS OF PARK SLOPE CORP.,"PRINTING FORMS, CARDS",2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
,Personal Service,2011-06-30T00:00:00.000,Partnership with Department of Cultural Affairs to prepare low-income individuals for job placement as art handlers within museum and cultural institutions.,75.0
Action Elevator,Elevator Rehabilitation,2012-03-17T00:00:00.000,Roofing Replacement and Elevator Rehabilitation,60.0
"FRANCIS SCHOOL, INC.",NO CHILD LEFT BEHIND,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
,Personal Service,2011-09-30T00:00:00.000,Preserves school-based jobs that might have otherwise been cut due to State and City tax shortfall,
,Personal Service,2013-06-05T00:00:00.000,Reconstruction of Main Electrical Substation,
,Personal Service,2011-09-30T00:00:00.000,The project is created to address the behavioral and educational challenges of students in temporary housing (STH) by providing wrap-around support services. ,
,Personal Service,2011-09-30T00:00:00.000,Preserves school-based jobs that might have otherwise been cut due to State and City tax shortfall,
,Personal Service,2011-06-30T00:00:00.000,"Partnership with CUNY to provide training in key growth industries, including healthcare.",75.0
CHEFS DEPOT kNC,SERVICES FOR RAISED RAIL REFRIG,2010-06-30T00:00:00.000,Purchase of kitchen equipment as well as wiring and installation costs are covered by this grant.,
INGRAM LIBRARY SERVS INC.,TRADE BOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
New York City Mission Society,"New York City Mission Society, 90278A",2011-06-30T00:00:00.000,Funding will be used to provide a new part-time jobs component to the WIA In-School youth (ISY) program during the school year provided youth remain in or return to high school and meet academic and job performance standards.,75.0
"SCHOOL PROFESSIONALS,DIV.OF TEMPOSITIONS",NCLB,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
B & H FOTO & ELECTRONICS CORP.,AUDIO/VIDEO EQUIPMENT AND SERVICES,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
,Personal Service,2011-09-30T00:00:00.000,The project is created to address the behavioral and educational challenges of students in temporary housing (STH) by providing wrap-around support services. ,
,Personal Service,2011-09-30T00:00:00.000,The project is created to address the behavioral and educational challenges of students in temporary housing (STH) by providing wrap-around support services. ,
Linear Environmental Corp.,Emergency Repair Program: Lead Paint,2012-09-30T00:00:00.000,The Emergency Repair Program contracts with vendors to correct lead paint violations in buildings across the City when the owner fails to do so.,
,Personal Service,2012-09-29T00:00:00.000,"ARRA funds will be used to fund a consultant study for DOB to improve compliance with the Energy Conservation Construction Code of New York State.  The funding will allow the consultant to evaluate industry knowledge of the energy code, identify issues, a",
"FRANCIS SCHOOL, INC.",NO CHILD LEFT BEHIND,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
"JFL ENTERPRISES, INC.",NO CHILD LEFT BEHIND,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
Union Settlement Association,"Union Settlement Association, 766458",2010-09-30T00:00:00.000,Provide Adult Basic Education (ABE and GED) services and job readiness services.,100.0
,Personal Service,2011-07-31T00:00:00.000,"Hire additional probation officers, supervising probation officers, branch chiefs and support staff to bring agency staffing to parity.",
,Personal Service,2013-06-05T00:00:00.000,,
OFFICE EQUIP. CO. OF S.I.,OFFICE FURNITURE,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
"SUSSMAN SALES COMPANY, INC.",TEACH.TXBKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
B & H FOTO & ELECTRONICS CORP.,AUDIO/VIDEO EQUIPMENT AND SERVICES,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
EAST NEW YORK COUNCIL FOR THE AGING INC,Congregate Meals for the Elderly at Senior Centers,2010-06-30T00:00:00.000,raw/catered food and disposables for congregate meals for the elderly,
P. C. Richards & Co.,Energy Efficient Refrigerator Replacement at various locations,2012-03-17T00:00:00.000,Refrigerators.,60.0
,Personal Service,2012-07-21T00:00:00.000,This program provides for rapid re-housing of homeless families by inspecting potential apartments according to HUD Housing Quality Standards.,60.0
"Bronx Council On The Arts, Inc.","Bronx Council On The Arts, Inc., 200016A",2010-09-30T00:00:00.000,"Provide a mix of academic, recreational and cultural activities for young people after school, on holidays and during the summer.",100.0
ITALIAN SENIOR CITIZENS CENTER,Congregate Meals for the Elderly at Senior Centers,2010-06-30T00:00:00.000,raw/catered food and disposables for congregate meals for the elderly,
READING EXCELLENCE & DISCOVERY,NCLB,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
,Personal Service,2012-02-16T00:00:00.000,Construction and/or rehabilitation of affordable housing.,75.0
Balter Lehigh Plumbing & Heating Corp.,Emergency Repair Program: Repairs,2012-09-30T00:00:00.000,The Emergency Repair Program contracts with vendors to correct hazardous housing code violations in residential buildings when an owner fails to do so.,
"Inwood Community Services, Inc.","Inwood Community Services, Inc., 766470",2010-09-30T00:00:00.000,Provide Adult Basic Education (ABE and GED) services and job readiness services.,100.0
AUSTRALIAN UNITED STATES,PROFESSIONAL DEVELOPMENT FOR SCHOOL LEAD,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
,PS,2011-06-30T00:00:00.000,"Expansion of program at the Workforce1 Career Centers where low-income participants receive intensive services such as career coaching, access to training and education programs, and connection to work supports such as food stamps.",75.0
,Personal Service,2012-03-17T00:00:00.000,Roof.,60.0
,Personal Service,2012-03-17T00:00:00.000,Brickwork Repair and Roofing Replacement,60.0
GOLDMANSOUR CONSULTATION,PD IN SPECIAL ED AREAS,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
B & H FOTO & ELECTRONICS CORP.,AUDIO/VIDEO EQUIPMENT AND SERVICES,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
PHOENIX LEARNING RESOURCES LLC,TEXTBK/TEAC,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
,Personal Service,2012-02-16T00:00:00.000,Finance the construction and rehabilitation of affordable housing,75.0
TBD,Job preparation and placement services to dislocated workers and high need individuals,2011-06-30T00:00:00.000,Job preparation and placement services for dislocated workers and high need individuals provided by partner organizations throughout the five boroughs.  ,75.0
"CURRICULUM ASSOCIATES, INC",TEXTBOOKS.,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
INGRAM LIBRARY SERVS INC.,TRADE BOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
Allied Barton Security Service,Security Guard Service,2011-09-30T00:00:00.000,"Additionally, DOP works with offenders sentenced to probation relating to the Rockefeller Drug Control Law Reforms",
,Personal Service,2011-06-30T00:00:00.000,Training for individuals accessing unemployment insurance through NYSDOL offices in all five boroughs.  Training options can be found at www.nyc.gov/trainingguide. ,75.0
"Queens Community House, Inc.","Queens Community House, Inc., 90810",2010-09-30T00:00:00.000,Provide summer jobs for youth ages 14 to 24.,100.0
,Personal Service,2012-09-30T00:00:00.000,Funds will be used by the Department of Education to prevent or remove code violations in New York City public schools.  ,
"CAMBA, Inc.","CAMBA, Inc., 107003A",2010-09-30T00:00:00.000,"Provide a mix of academic, recreational and cultural activities for young people after school, on holidays and during the summer.",100.0
,Personal Service,2013-05-29T00:00:00.000,eArraignment streamlines the arrest-to-arraignment process. Funds will be used to hire three technicians to support and enhance this system.,
WILSON LANGUAGE TRAINING,TEXTBOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
INGRAM LIBRARY SERVS INC.,TRADE BOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
Inner City Broadcasting Corp WBLS. FM,Inner City Broadcasting Corp WBLS. FM,2011-12-31T00:00:00.000,"1) Offset increased personnel benefits, 2) increase educational outreach, 3) enhance registry monitoring of school vaccinations.  ",
,Personal Service,2012-03-17T00:00:00.000,Roofing,60.0
,&Personal Service,2011-06-30T00:00:00.000,Training for individuals accessing unemployment insurance through NYSDOL offices in all five boroughs.  Training options can be found at www.nyc.gov/trainingguide. ,75.0
St. Nicholas Neighborhood Preservation Corporation,"St. Nicholas Neighborhood Preservation Corporation, 90821",2011-06-30T00:00:00.000,"Seven-week subsidized work program for NYC youth, ages 14 to 24, with enhanced volunteer component.",75.0
2701 Kingsbridge Terrace HDFC,Jericho Kingsbridge,2012-02-16T00:00:00.000,New Construction of affordable housing,75.0
SCO Family of Services,"SCO Family of Services, 90815",2011-06-30T00:00:00.000,"Seven-week subsidized work program for NYC youth, ages 14 to 24, with enhanced volunteer component.",75.0
,Personal Service,,Funds will be used to rehabilitate Pier 11 in lower Manhattan.,
National Grid Energy Management,National Grid Energy Management - Gas - Dual Fuel Burner,2012-09-30T00:00:00.000,Funds will be used by the Department of Education to prevent or remove code violations in New York City public schools.  ,
"Mosholu Montefiore Community Center, Inc.","Mosholu Montefiore Community Center, Inc., 90269A",2011-06-30T00:00:00.000,Funding will be used to provide a new part-time jobs component to the WIA In-School youth (ISY) program during the school year provided youth remain in or return to high school and meet academic and job performance standards.,75.0
INGRAM LIBRARY SERVS INC.,TRADE BOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
,Personal Service,2011-06-30T00:00:00.000,Job preparation and placement services for dislocated workers and high need individuals provided by partner organizations throughout the five boroughs.  ,75.0
,Personal Service,2011-06-30T00:00:00.000,Training for individuals accessing unemployment insurance through NYSDOL offices in all five boroughs.  Training options can be found at www.nyc.gov/trainingguide. ,75.0
,Personal Service,2011-06-30T00:00:00.000,Job preparation and placement services for dislocated workers and high need individuals provided by partner organizations throughout the five boroughs.  ,75.0
,Personal Service,2011-06-30T00:00:00.000,Job preparation and placement services for dislocated workers and high need individuals provided by partner organizations throughout the five boroughs.  ,75.0
"STV Construction, Inc.",Highbridge Gardens Houses - Brickwork Repair and Roofing Replacement,2012-03-17T00:00:00.000,Brick & Roof.,60.0
"PEARSON EDUCATION, INC.",PRENTICE HALL,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
Rockaway Development & Revitalization Corporation,"Rockaway Development & Revitalization Corporation, 90814",2011-06-30T00:00:00.000,"Seven-week subsidized work program for NYC youth, ages 14 to 24, with enhanced volunteer component.",75.0
,Personal Service,2010-09-30T00:00:00.000,Allocation for ARRA administrative costs.,100.0
,Personal Service,2012-03-17T00:00:00.000,Roof.,60.0
,Personal Service,2012-07-21T00:00:00.000,This program provides for rapid re-housing of homeless families by inspecting potential apartments according to HUD Housing Quality Standards.,60.0
,Personal Service,2013-05-29T00:00:00.000,Funds support the Narcotics Predator and the Manhattan Treatment Court programs. The first program focuses on drug dealers and organizations with violent associations; the second focuses on first time non-violent narcotics felons with drug addictions.,
CORONA CONGREGATIONAL CHURCH,Congregate Meals for the Elderly at Senior Centers,2010-06-30T00:00:00.000,raw/catered food and disposables for congregate meals for the elderly,
,Personal Service,2011-06-30T00:00:00.000,Training for individuals accessing unemployment insurance through NYSDOL offices in all five boroughs.  Training options can be found at www.nyc.gov/trainingguide. ,75.0
CHEFS DEPOT INC,RAISED RAIL REFRIGERATORS,2010-06-30T00:00:00.000,Purchase of kitchen equipment as well as wiring and installation costs are covered by this grant.,
,Personal Service,2011-06-30T00:00:00.000,Job preparation and placement services for dislocated workers and high need individuals provided by partner organizations throughout the five boroughs.  ,75.0
AMERICAN READING COMPANY,PD SERVICES FOR SCHOOL LEADERS,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
"SUSSMAN SALES COMPANY, INC.",TEACH.TXBKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
"Super Eagle Contracting, Inc.",Lower East Side II  Houses - Roofing Replacement,2012-03-17T00:00:00.000,Roof.,60.0
,Personal Service,2011-09-30T00:00:00.000,Preserves school-based jobs that might have otherwise been cut due to State and City tax shortfall,
,Personal Service,2011-06-30T00:00:00.000,Training for individuals accessing unemployment insurance through NYSDOL offices in all five boroughs.  Training options can be found at www.nyc.gov/trainingguide. ,75.0
Ubion Settlement Association,"Union Settlement Association, 766483_",2010-09-30T00:00:00.000,Provide Adult Basic Education (ABE and GED) services and job readiness services.,100.0
,Personal Service,2012-03-17T00:00:00.000,Exterior Compactor.,60.0
"Power Concrete CO., Inc.",Reconstruction of Hillside Avenue Street Scape,,"Replacement of most sidewalks, lamp posts, damaged curb, and possible tree planting. This project uses displaced City funding.",
,Personal Service,2011-06-30T00:00:00.000,Preserves school-based jobs that might have otherwise been cut due to State and City tax shortfall,
"FRANCIS SCHOOL, INC.",NO CHILD LEFT BEHIND,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
,Personal Service,2011-06-30T00:00:00.000,Training for individuals accessing unemployment insurance through NYSDOL offices in all five boroughs.  Training options can be found at www.nyc.gov/trainingguide. ,75.0
BARCLAY SCHOOL SUPPLIES,INSTRUCTIONAL LEARNING M ATERIALS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
"Inwood Community Services, Inc.","Inwood Community Services, Inc., 90793",2011-06-30T00:00:00.000,"Seven-week subsidized work program for NYC youth, ages 14 to 24, with enhanced volunteer component.",75.0
,Personal Service,2012-03-17T00:00:00.000,Heating Upgrade,60.0
"Vannguard Urban Improvement Association, Inc.","Vannguard Urban Improvement Association, Inc., 90825",2011-06-30T00:00:00.000,"Seven-week subsidized work program for NYC youth, ages 14 to 24, with enhanced volunteer component.",75.0
BARCLAY SCHOOL SUPPLIES,INSTRUCTIONAL LEARNING MATERIALS,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
B & H FOTO & ELECTRONICS CORP.,AUDIO/VIDEO EQUIPMENT AND SERVICES,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
SCO Family of Services,"SCO Family of Services, 9975",2010-09-30T00:00:00.000,Support full range of after-school and community-based services for additional children and adults at 66 Beacon Community Centers.,100.0
,Personal Service,2011-06-30T00:00:00.000,Job preparation and placement services for dislocated workers and high need individuals provided by partner organizations throughout the five boroughs.  ,75.0
"AMERICA'S CHOICE, INC.",TEXTBOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,Congregate Meals for the Elderly at Senior Centers,2010-06-30T00:00:00.000,raw/catered food and disposables for congregate meals for the elderly,
,Personal Service,2011-06-30T00:00:00.000,"Partnership with CUNY to provide training in key growth industries, including healthcare.",75.0
,Personal Service,2011-06-30T00:00:00.000,Job preparation and placement services for dislocated workers and high need individuals provided by partner organizations throughout the five boroughs.  ,75.0
"Tycoon Construction, Corp",South Jamaica I & II - Interior Stair Replacement,2012-03-17T00:00:00.000,Interior Stairs,60.0
STV INC.,"Unity Plaza (17, 24, 25A) - Roofing Replacement",2012-03-17T00:00:00.000,Roof replacement,60.0
Woodycrest Center For Human Development,"Woodycrest Center For Humwn Development, 90827",2011-06-30T00:00:00.000,"Seven-week subsidized work program for NYC youth, ages 14 to 24, with enhanced volunteer component.",75.0
Linear Environmental Corp.,Emergency Repair Program: Lead Paint,2012-09-30T00:00:00.000,The Emergency Repair Program contracts with vendors to correct lead paint violations in buildings across the City when the owner fails to do so.,
,Personal Service,2013-05-29T00:00:00.000,"Funds will be used to support the Center for Alternative Sentencing and Employment Services (CASES) ATD program in Manhattan, which provides services in the community for at-risk youth in order to reduce recidivism.",
,Personal Service,2015-09-30T00:00:00.000,Funds will be used for Staten Island Ferry in-house maintenance work.,
Cannon Heyman & Weiss LLP,Consulting Fees For Federalization Initiative,2012-03-17T00:00:00.000,Consulting Fees related to Federalization of 21 City/State Developments,60.0
"N.Y. Merchants Protective Company, Inc.","N.Y. Merchants Protective Company, Inc. - Fire Alarm Systems Service",2012-09-30T00:00:00.000,Funds will be used by the Department of Education to prevent or remove code violations in New York City public schools.  ,
SIGMA CONTRACTING CORP,Leavitt Houses - Roofing Replacement,2012-03-17T00:00:00.000,Roof.,60.0
P. C. Richards & Co.,Energy Efficient Refrigerator Replacement at various locations,2012-03-17T00:00:00.000,Refrigerators.,60.0
,Personal Service,2013-05-29T00:00:00.000,Funding will be used to support a full-time Performance Measurement Coordinator to help enhance and coordinate drug enforcement efforts.,
Brooklyn Bureau of Community Svc.,Brooklyn Bureau of Community Svc.,2010-09-30T00:00:00.000,Funding allocated to re-open pre-school classrooms previously assigned to be closed.,
,Personal Service,2011-06-30T00:00:00.000,Job preparation and placement services for dislocated workers and high need individuals provided by partner organizations throughout the five boroughs.  ,75.0
,Personal Service,2012-09-30T00:00:00.000,The Emergency Repair Program provides for the payment of utility services when a building owner fails to do so.  The Program provides basic utility services to low and moderate income tenants. ,
Xaren Corporation (Subcontractor),Brooklyn Bridge #6-Rehabilitation of Approaches & Ramps and Painting of the Entire Bridge,2015-09-30T00:00:00.000,"Rehabilitation of the approaches and ramps, and painting of the entire Brooklyn Bridge.",0.0
Protective Products International,Body Armor Vests,2011-07-31T00:00:00.000,"Hire additional probation officers, supervising probation officers, branch chiefs and support staff to bring agency staffing to parity.",
"ACME American Repairs, Inc.",Range Fire Suppression Systems in the Bronx,2012-03-17T00:00:00.000,Fire Suppression System.,60.0
,Personal Servicd,2012-03-17T00:00:00.000,Roof.,60.0
"SCHOLASTIC, INCORPORATED",TEXTBOOKS,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
HUDSON GUILD,Congregate Meals for the Elderly at Senior Centers,2010-06-30T00:00:00.000,raw/catered food and disposables for congregate meals for the elderly,
,Personal Service,2013-06-05T00:00:00.000,Reconstruction of Existing Digesters,
"SCHOOL PROFESSIONALS,DIV.OF TEMPOSITIONS",EMPLOYMENT AGENCY PROFESSIONAL SERVICES,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
CAMBA,Homebase CAMBA I,2012-07-21T00:00:00.000,"This program prevents homelessness by providing short and medium term financial assistance, housing relocation and stabilization services, as well as benefits advocacy, case management and aftercare services to households who are at-risk of homelessness.",60.0
P. C. Richards & Co.,Energy Efficient Refrigerator Replacement at various locations,2012-03-17T00:00:00.000,Refrigerators.,60.0
,Personal Service,2012-03-17T00:00:00.000,"Exterior Brick Replacement, Roofing Replacement and Elevator Rehabilitation",60.0
,Personal Service,2011-06-30T00:00:00.000,"Expansion of program at the Workforce1 Career Centers where low-income participants receive intensive services such as career coaching, access to training and education programs, and connection to work supports such as food stamps.",75.0
Fresh Youth Initiatives,"Fresh Youth Initiatives, 200038A",2010-09-30T00:00:00.000,"Provide a mix of academic, recreational and cultural activities for young people after school, on holidays and during the summer.",100.0
,Personal Service,2011-06-30T00:00:00.000,Job preparation and placement services for dislocated workers and high need individuals provided by partner organizations throughout the five boroughs.  ,75.0
"SCHOLASTIC, INCORPORATED",TEXTBOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
P. C. Richards & Co.,Energy Efficient Gas/Electric Ranges - Material Purchase,2012-03-17T00:00:00.000,Ranges.,60.0
BARCLAY SCHOOL SUPPLIES$,INSTRUCTIONAL LEARNING MATERIALS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
Gandhi Engineering,A & E Fees for Stapleton Houses - Brick Repair,2012-03-17T00:00:00.000,Brick and Roof,60.0
,Personal Service,2010-09-30T00:00:00.000,These funds are being used to pay for market rate increases.,
SCO Family of Services,"SCO Family of Services, 766452",2010-09-30T00:00:00.000,Provide Adult Basic Education (ABE and GED) services and job readiness services.,100.0
,Personal Service,2015-09-30T00:00:00.000,Funds will be used for Staten Island Ferry in-house maintenance work.,
A.B.M. Contracting Services Corp.,Brickwork Repair at Various NYCHA Locations -Penn/Wortman Ave,2012-03-17T00:00:00.000,Brick Repair.,60.0
"BOOKSOURCE, INCORPORATED",TRADE BOOKS,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
HOUGHTON MIFFLIN COMPANY,TEXTBOOKS.,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
,DO NOT DISPLAY - FMAP,,Reduces the City's expense for the cost of Medicaid benefits to New Yorkers.,
"AMC United, Inc.",Marcus Garvey Houses - Roofing Replacement,2012-03-17T00:00:00.000,Roof.,60.0
,Personal Service,2011-06-30T00:00:00.000,Training for individuals accessing unemployment insurance through NYSDOL offices in all five boroughs.  Training options can be found at www.nyc.gov/trainingguide. ,75.0
P. C. Richards & Co.,Energy Efficient Refrigerator Replacement at various locations,2012-03-17T00:00:00.000,Refrigerators.,60.0
SEBCO DEVELOPMENT INC,CMFTEASC,2010-06-30T00:00:00.000,raw/catered food and disposables for congregate meals for the elderly,
"Centennial Elevator Industires, Inc.",830 Amsterdam Houses - Elevator Rehabilitation,2012-03-17T00:00:00.000,Elevator Rehabilitation ,60.0
ROURKE PUBLISHING GROUP,TEXTBOOK,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
LEARNER FIRST LLC,NCLB,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
AUSTRALIAN UNITED STATES,PROFESSIONAL DEVELOPMENT FOR SCHOOL LEAD,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
COMMUNITY WORD PROJECT,ARTS EDUCATION SERVICES,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
Linear Environmental Corp.,Emergency Repair Program: Lead Paint,2012-09-30T00:00:00.000,The Emergency Repair Program contracts with vendors to correct lead paint violations in buildings across the City when the owner fails to do so.,
PERFECTION LEARNING CORP.,TEXTBOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
P.C.Richard & Son,Energy Efficient Refrigerators (1)$,2012-03-17T00:00:00.000,Refrigerators.,60.0
,Personal Service,2011-09-30T00:00:00.000,Supplemental services are provided to special education students in pre-school classrooms.,
S J Fuel Co. Inc.,ERP: Repairs,2012-09-30T00:00:00.000,The Emergency Repair Program contracts with vendors to correct hazardous housing code violations in residential buildings when an owner fails to do so.,
INGRAM LIBRARY SERVS INC.,TRADE BOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
"TEQUIPMENT, INCORPORATED",INTERACTIVE WHITE BOARDS,2010-06-30T00:00:00.000,Preserves school-based jobs that might have otherwise been cut due to State and City tax shortfall,
"TEQUIPMENT, INCORPORATED",INTERACTIVE WHITE BOARDS,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
,Personal Service,2011-06-30T00:00:00.000,"Partnership with CUNY to provide training in key growth industries, including healthcare.",75.0
,Personal Service,2011-06-30T00:00:00.000,Training for individuals accessing unemployment insurance through NYSDOL offices in all five boroughs.  Training options can be found at www.nyc.gov/trainingguide. ,75.0
"ATC Group Services, Inc.","ATC Group Services, Inc. - Asbestos Analysis",2012-09-30T00:00:00.000,Funds will be used by the Department of Education to prevent or remove code violations in New York City public schools.  ,
China Construction,CM/Build Services for Modernization at Manhattanville Phase II,2012-03-17T00:00:00.000,Brickwork Repair and Roofing Replacement,60.0
,Personal Service,2012-03-17T00:00:00.000,Roofing replacement,60.0
KAPLAN 12 LEARNING SERVICES,TEXTBOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
INGRAM LIBRARY SERVS INC.,TRADE BOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
Chinese American Planning Council,"Chinese American Planning Council, 90770",2011-06-30T00:00:00.000,"Seven-week subsidized work program for NYC youth, ages 14 to 24, with enhanced volunteer component.",75.0
