dep_boiler_application,building_manager,latitude,bin,total_gallons_high
CA233189R,"CASTEGA -20 VESEY STREET, LLC.",40.711843,1001235.0,41063
CA093669Y,270 MADISON PARTNERS LLC,40.751124,1017588.0,89425
CB157401X,REXTON REALTY CO%HMH REALTY,40.745526,1015722.0,15960
CA158899Y,CHRYSANETHEMMUM FIRST OPERATINGIN,40.743827,1087263.0,10638
CA152081K,247 WEST ASSOCIATES,40.754093,1014476.0,73913
CA248381Z,NSIGNIA MANAGEMENT,40.747926,1067979.0,343684
CB008208H,DEZER PROPERTIES,40.740136,1015491.0,33375
CA182185M,ROCKROSE DEVELOPMENT CORP.COR,40.709448,1000055.0,48000
CB704705P,TOM SULLIVAN LLC,40.728328,1008248.0,31755
CA128097P,110 W.40 JOINT VENTURE,40.753818,1080614.0,57720
CA045080P,19TH ST ASSOC,40.740715,1014730.0,238798
CA160586X,79-01 LLC,40.859343,2013453.0,42340
CB282901M,SOLIL MANAGEMENT,40.763887,1023389.0,64058
CA313185J,BERIK MANAGEMENT,40.747225,1015131.0,65700
CB462703R,251 WEST 39 REALTY CO.,40.754746,1014498.0,25800
CA306493X,130 WEST 57 STREET CO,40.76482,1023461.0,45990
CB032307M,BRAUSE REALTY INC.,40.751721,1015238.0,41250
CA259287X,49 GROVE ST. REALTY LLC. C/O SW MGMT,40.732967,1010192.0,41646
CB143000J,PTG MADISON 31 TRUST,40.745742,1016972.0,52560
CA277792X,215 WEST 40 STREET CO.,40.755056,1024644.0,41063
CA020979M,BROCROS REALTY,40.72487,1007946.0,14500
CA333687H,"NEWMARK & CO.REAL ESTATE, INC.",40.755792,1013681.0,30240
CA293873H,CONCOURSE MGMT/BLDG MGMT INC.,40.760117,1024748.0,29200
CA213589H,157 RESIDENT OWNERS INC.,40.736175,1017882.0,44968
CA140697K,NINE WEST COMPANY,40.77137,1028136.0,22995
CA252483L,ABC PROPERTIES,40.776417,1029632.0,49275
CA175497X,BUILDING MANAGEMENT CO.INC,40.748715,1015877.0,82741
CA257185X,MARK TWAIN OWNERS CORP.,40.736208,1010577.0,57488
CA143180L,GAINSBOROUGH STUDIOS INC.,40.767178,1024920.0,59408
CA119079R,333 7 AVENUE REALTY CO.,40.747629,1015097.0,383250
CA129482X,ANDREWS BUILDING CORP.,40.722572,1083498.0,55500
CA131189J,HARRY GENE INC,40.738758,1011109.0,30405
CA179690X,J.R. BUILDING ASSOCIATES,40.748299,1014283.0,59403
CA058086Z,265 LAFAYETTE ST REALTY ASSOC.,40.723533,1007524.0,80482
CB401305N,STELLAR MANAGEMENT,40.743248,1014952.0,20250
CA258871K,EMOR MGMT/HIGHMOUNT ASSOC.,40.730136,1079353.0,25112
CB034608H,HARVEY 1390 LLC % MAXWELL KATES,40.731281,1010413.0,22229
CA362490R,H.S.C. MANAGEMENT CORP.,40.744149,1014966.0,20257
CA006097J,150 WEST 55TH STREET APT.CORP.,40.763868,1023386.0,29674
CA245071J,WILLIAMS REAL ESTATE,40.741366,1082391.0,111143
CB250800J,WEST 54-7 LLC,40.76333,1023165.0,45442
CA200196Y,39 W.29 ST.OWNERS CORP.,40.746199,1015756.0,24500
CA223793Y,REAL ESTATE INDUSTRIAL INC.,40.764537,1080966.0,78840
CB464203Y,MORLEIGH APTS CORP. % HOFFMAN MGT,40.774542,1028255.0,31755
CA206988J,ROBERT W. RABITT,40.764688,1023460.0,20300
CA256970R,*MANCHESTER WEST 36 LLC,40.752929,1014438.0,56575
CA503685N,GORDON & GORDON INC.,40.73976,1016195.0,27266
CA309988L,12 E 12 STREET CONDO,40.734377,1009294.0,38115
CA052689K,C.S. RITZ HOLDING LP.,40.760476,1076194.0,410020
CB157908X,MARTIN BAUMRIND,40.76326,1026974.0,26953
CA139480L,EAST 9TH STREET APARTMENTS COR,40.730345,1008962.0,238921
CA240957X,EASTSIDE REST CORP,40.718729,,63875
CA445470N,THREE O REALTY CO,40.755484,1087186.0,73913
CA037577K,CHURCH MANAGEMENT,40.750067,1017361.0,168356
CA383185N,401 PARK AVENUE SO. ASSOCS. LLC/,40.743228,1018203.0,127750
CA159981H,MAYFLOWER AGENCY CO. INC.,40.74476,1016929.0,65700
CB053902X,ONE FIFTH AVE APT/INSIGNIA RESIDENT,40.731913,1008847.0,164250
CA334693Z,2 KING STREET APTS CORP.,40.727603,1008100.0,31755
CB032501M,MSB ENTERPRISES%GVA WILLIAMS,40.750716,1015945.0,41063
CA322269L,IRVING REALTY OF NY LLC.,40.738437,1015412.0,51840
CA038382P,RANDELL HOUSE,40.731424,1009099.0,168505
CA042796R,"SOTTO COURT ASSOCIATES, L.P.",40.724746,1084825.0,41063
CA082684Z,PARK ROW REALTY,40.711508,1001249.0,81000
CA249768H,URBAN ASSOCIATES,40.744338,1014129.0,141419
CA203487H,HOFFMAN MANAGEMENT S. HOFFMAN,40.739573,1068310.0,242240
CA444369Y,HUNTER COLLEGE,40.758594,1026319.0,0
CA278172J,GRAMERCY 222 RESIDENTS CORP. /HERON LTD,40.737237,1016151.0,68328
CA309688J,200 EAST 26 STREET ASSOCIATES,40.740629,1019844.0,24638
CA267671K,BILL REIF,40.750999,1015225.0,98404
CA111081J,"HALMO,WILLIAM",40.743218,1014802.0,213525
CA213972K,JEFFREY MANAGEMENT,40.716954,1001838.0,205312
CB126407J,WEST 63 EMPIRE ASSOCIATES LLC,40.771493,1027465.0,93294
CA147468Z,JEROME STABILE,40.718326,1003098.0,24820
CB185502M,ELO EQUITIES LLC,40.757998,1022663.0,24500
CA087385L,LEE KUANG,40.712142,1003329.0,17520
CA377586N,CARL S YOUNG,40.862651,1064507.0,54896
CA286591Y,"BRISTOL RLTY/BLDG MGMT.CO., INC.",40.732503,1009118.0,41647
CA078679M,PM.HOTEL ASSOCIATES L.P.,40.764664,1023455.0,262800
CB172107L,THE SCHOOL OF VISUAL ARTS,40.742065,1014757.0,18375
CB124703P,"TIME EQUITIES, INC.",40.729445,1008637.0,3338956125
CA165489R,30 EAST 33RD ST REALTY CO,40.746983,1017020.0,57600
CA245371L,LONDON TERRACE TOWERS,40.747926,1067979.0,197100
CA504285Z,FIRST PIONEER,40.742082,1014771.0,25313
CB056700L,305 W.52 ST.CONDO%BUCHBINDER&WARREN,40.76368,1025257.0,48728
CA129282L,A.K.A. 5 PENN PLAZA,40.751628,1013547.0,284761
CB066600H,175 VARICK STREET LLC,40.727392,1009754.0,58500
CA094078R,"PICASO,GERARD",40.737781,1015301.0,35770
CA186370M,JONES LANG LASALLE AMERICAS INC.,,,179580
CA377788L,NEWMARK & CO. REAL ESTATE INC.,40.755155,1013646.0,34720
CA509585N,NEW YORK UNIVERSITY,40.733521,1009250.0,69806
CB229102X,LAFAYETTE ARTISTS CORP.,40.722635,1007521.0,18375
