building_manager,city_council_district,borough,boiler_installation_date,total_units,boiler_model,census_tract
"JUSTIN,HENRY",3,Manhattan,1986,44,FEDERAL FST-200,109.0
260 WEST 35TH STREET LLC,3,Manhattan,2000,37,FEDERAL FST-100,109.0
ST. MARK ASSETS,2,Manhattan,1984,22,FEDERAL FST-60,38.0
4837 JOINT VENTURE % ADAMS & CO. R.E.,3,Manhattan,2002,22,FEDERAL FST-250,84.0
15TH STREET ASSOCIATES LLC,2,Manhattan,2006,24,FEDERAL FST-150,48.0
JANOFF & OLSHAN,6,Manhattan,1981,57,ROCKMILLS MP100,161.0
MARBROSE REALTY INC.,3,Manhattan,1983,38,FEDERAL FST-60,75.0
EMOR MGMT/HIGHMOUNT ASSOC.,2,Manhattan,1985,89,FEDERAL FST 100,40.0
ST. ANDREW CHURCH,1,Manhattan,1977,1,H.B.SMITH 44,29.0
WINTHROP MGMT LLC.,1,Manhattan,1981,93,ROCKMILLS MP 300,43.0
BRADFORD SWETT,17,Bronx,1994,1,BEST 4 B 100,51.0
JEFFREY MANAGEMENT,1,Manhattan,1972,68,TITUSVILLE UNKNOWN,31.0
2 CHARLTON OWNERS CORP.,3,Manhattan,1991,181,FEDERAL FLW 3036,37.0
JNPJ REALTY LLC,3,Manhattan,1986,35,BEST 5A- 50,127.0
HERBERT MEDINA,1,Manhattan,1990,22,FEDERAL EASTMOND FST100,3001.0
"LEIST,FRED",14,Bronx,1985,67,PACIFIC 8671,241.0
CHARLES STREET ASSOCIATES,3,Manhattan,1965,19,PACIFIC #213BN,71.0
440 E. 6TH STREET,2,Manhattan,1984,27,ROCKMILLS MP 50,32.0
PR 3,3,Manhattan,2003,12,BEST (NEW) 5A-70,103.0
15 FT. WASHINGTON AVENUE HDFC,7,Manhattan,2006,36,FEDERAL FST - 70 (NEW),
39 TENANTS CORP.,2,Manhattan,1969,95,PACIFIC #52 L2,68.0
ABRAHAM FELDSTEIN,3,Manhattan,1993,50,ROCKMILLS MP #80,93.0
NEW BEDFORD MGMT,3,Manhattan,1978,133,ROCKMILLS MP 4-133,87.0
350 WEST ASSOCIATES%PAUL SCAROLA,3,Manhattan,2002,126,ROCKMILLS MP-125,139.0
NEWMARK & CO REAL ESTATE,1,Manhattan,1987,20,FEDERAL FST 100,47.0
A.K.A 66 CROSBY STREET,1,Manhattan,1979,53,ROCKMILLS MP4-133,45.0
SHIRE REALTY CORP.,3,Manhattan,1976,58,PACIFIC 8473,76.0
141 WEST 28TH STREET OWNERS INC. C/O FAWN REALTY CO.,3,Manhattan,1996,41,FEDERAL FST-80,95.0
244 MADISON RLTY CORP,3,Manhattan,1986,186,BEST 5C -200,82.0
MURRAY HILL OWNERS CO.,3,Manhattan,1977,35,ROCKMILLS MP70,80.0
PABLO ENAMORADO,15,Bronx,1985,21,ROCKMILLS MP-50,40702.0
499 FASHION TOWER LLCC/O KAUFMAN ADLER,3,Manhattan,1996,43,ROCKMILLS MP-175SS,109.0
121 WEST 17 ST OWNERS COR,3,Manhattan,1988,29,ROCKMILLS R-72,81.0
J.R.PERLMAN%ADAM & CO.R.E.,3,Manhattan,1997,24,FEDERAL FST-250,84.0
MANCHESTER WEST 36 LLC,3,Manhattan,1970,15,KEWANEE UNKNOWN,109.0
NEVADA OWNERS INC.,6,Manhattan,1974,270,FEDERAL FLW 331,153.0
D & R REALTY CORP,1,Manhattan,1974,11,ROCKMILLS MP 150,47.0
"CHELSEA 25, LLC",3,Manhattan,1989,69,ROCKMILLS MP-100,91.0
119 FIFTH AVE.CORP.,2,Manhattan,1990,9,ROCKMILLS MP-100,52.0
BELMONT MADISON C/O GVA WILLIAMS,2,Manhattan,1996,30,FEDERAL FST-300,74.0
12 WEST 21ST STREET ASSOC,3,Manhattan,1973,41,ROCKMILLS MP 150,54.0
101-103 CENTRAL PK.W.CO.C/OINSIGNIA RESID.GROUP.,6,Manhattan,1981,104,ROCKMILLS MP 450,157.0
1804 WASHINGTON AVENUE CORP.,2,Manhattan,1989,12,ROCKMILLS MP-150,50.0
ISTA MANAGEMENT COMPANY,4,Manhattan,1983,210,ROCKMILLS MP 300,118.0
CONSTITUTION REALTY ASSOCIATES,1,Manhattan,1981,117,ROCKMILLS MP 600,9.0
162 ASSOCIATES LLCC/O MUTRRY HILL-,3,Manhattan,1989,7,ROCKMILLS MP 150,58.0
"PHILLIPS & HUYLER, LLC % BLDG. MGMT",3,Manhattan,2008,38,BEST 5B-70,73.0
55 PARK TENANTS CORP.,3,Manhattan,1984,33,FEDERAL #FST-80,80.0
499 FASHION TOWER LLCC/O KAUFMAN ADLER,3,Manhattan,1996,43,ROCKMILLS MP-175,109.0
SL GREEN REALTY CORP,3,Manhattan,1997,34,ROCKMILLS MP-175,84.0
GERARD PICASO INC.,3,Manhattan,1968,102,FEDERAL FLW 1822 (RT. SIDE BOILER),71.0
RENROSE ASSOCIATES/MARTIN,2,Manhattan,1982,15,ROCKMILLS MP-40,50.0
STELLAR MANAGEMENT,1,Manhattan,1980,56,ROCKMILLS MP-100,2201.0
ENF. 4/7/92,1,Manhattan,1971,12,ROCKMILLS MP 125,31.0
HERON LTD,6,Manhattan,1980,39,BURNHAM-SPENCER #4F 360-45,153.0
THOMAS F.COMPENNI,3,Manhattan,1986,13,FEDERAL FST 200,109.0
F M RING ASSOCIATES,3,Manhattan,1989,13,SPENCER LW 175,58.0
"GREETING CARD PUBLISHERS, INC.",1,Manhattan,1994,22,ROCKMILLS MP-125,3601.0
29-45 TENANTS CORP % CENTURY OPERATING,2,Manhattan,2005,68,PACIFIC 9212A (EXSTG),59.0
EMERGENCY INSTALLATION,1,Manhattan,2002,39,ROCKMILLS-MP 90,65.0
HUNTER COLLEGE,3,Manhattan,1969,0,,115.0
E. 9TH ST. CONDO ASSOC. %NEWBEDFORD,1,Manhattan,2003,146,BEST 5C-175 (NEW),59.0
246 W. 38 ST. TENANTS CORP.% BERSTEIN REAL ESTATE,3,Manhattan,2002,15,FEDERAL FST 125,109.0
200 CHURCH ST ASSOCIATES,1,Manhattan,1988,21,FEDERAL FST 70SP,33.0
49 WEST 72ND OWNERS CORP. % ALEXANDER WOLF.,6,Manhattan,2005,81,BEST 5B-100 (NEW),157.0
THE 305 CONDOMINIUM,3,Manhattan,1998,60,BEST 5C90,89.0
MARTY MYERS/EDWIN,3,Manhattan,1982,23,FEDERAL BOILER FS-100,87.0
150 E. 37TH ST. CONDO. % C. H. GREENTHAL,4,Manhattan,2005,82,BEST 5B-80 (NEW),80.0
RYER EQUITIES COORP,14,Bronx,1987,48,FEDERAL FST 90,381.0
MAN.CENTER STUDIOS I,3,Manhattan,1984,0,FEDERAL FST-125,111.0
ELO EQUITIES LLC,3,Manhattan,2002,2,FEDERAL FST-80,125.0
JENEL MANAGMENT,3,Manhattan,1992,18,FEDERAL FST-125 (EXG),82.0
N & E CHRISTOPHER LLC.,3,Manhattan,1983,38,SPENCER 5M70,73.0
873 B'WAY/WILLIAMS RL EST,2,Manhattan,1977,38,ROCKMILLS MP-4 133,52.0
GVA WILLIAMS REAL ESTATE CO.,3,Manhattan,1986,13,ROCKMILLS MP 80,91.0
PAT-MAR MANAGEMENT CO.,11,Bronx,1983,48,ROCKMILLS MP 90,421.0
ADAMS & CO REAL ESTATE,4,Manhattan,1985,0,FEDERAL FST 100,78.0
830 BDWY. OWNERS% R. PAPARO,2,Manhattan,1988,21,ROCKMILLS MP 100,61.0
CENTURY OPERATING CORP,2,Manhattan,1977,63,ROCKMILLS MP150,59.0
DEZER PROPERTIES,3,Manhattan,2008,1,ROCKMILLS MP - 150 (EXSTG),54.0
AMG REALTY PARTNERS LLP,1,Manhattan,1977,81,ROCKMILLS MP-200,1502.0
164 WEST 79 STREET CORP./ETC MGMT,6,Manhattan,1980,62,ROCKMILLS MP4-162,165.0
MIDBORO MANAGEMENT,6,Manhattan,2003,73,FEDERAL FST 125(EXISTING),153.0
GERARD J. PICASO INC.,6,Manhattan,1986,34,FEDERAL FST 125,153.0
110 W.40 JOINT VENTURE,3,Manhattan,1997,114,FEDERAL FST 200,113.0
TWO CORNELIA CONDO.,3,Manhattan,1992,44,ROCKMILLS MP-100,67.0
PND LLC,3,Manhattan,2001,15,BEST 4B-90,76.0
SCHOOL OF VISUAL ARTS.,2,Manhattan,1997,0,FEDERAL FST-150,64.0
A.K.A. 88 PRINCE STREET,1,Manhattan,1973,35,FEDERAL FM 1872,49.0
LEE KWAN CHAH,3,Manhattan,1989,25,ROCKMILLS MP60,113.0
29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,3,Manhattan,2007,14,ROCKMILLS MP - 125 (NEW),84.0
BELLE REALTY CO.,2,Manhattan,1969,18,FEDERAL 1215,68.0
PHOENIX HOUSES OF NEW YORK,6,Manhattan,1984,1,FEDERAL FST-70 SP,157.0
TEN - TWENTY - SIX INVESTORS LP,3,Manhattan,2005,1,ROCKMILLS MP-200 (NEW),99.0
A. TRENKMANN EST INC.,1,Manhattan,1984,19,FEDERAL EASTMOND #FST-250 SP,45.0
88 UNIVERSITY PL. ASSOC./MERINOFF PROPERTIES,2,Manhattan,1994,1,ROCKMILLS MP-100,61.0
JEFFREYMANAGEMENT,2,Manhattan,1979,13,FEDERAL FST-250,52.0
PEMBROKE OWNERS INC.,6,Manhattan,1980,75,FEDERAL FST 100,139.0
&ENF. 11/20/92,1,Manhattan,1970,6,ROCKMILLS MP-60,21.0
BRISTOL REALTY CO.INC.,2,Manhattan,1986,60,FEDERAL FST-90,68.0
77 park ave. condominium,4,Manhattan,1993,106,FEDERAL EASTMOND (NEW) ESP-200,80.0
HRC CORPORATION,3,Manhattan,1994,116,FEDERAL FST-350,54.0
543 BWAY CORP. % CORNERSTONE MGT,1,Manhattan,2003,19,ROCKMILLS MP-90 (NEW),49.0
KARTEN,1,Manhattan,1986,3,ROCKMILLS MP-60,31.0
11 EAST 32ND ST. HOUSING CORP.,3,Manhattan,1985,83,ROCKMILLS MP-100,74.0
54 W. 16 ST. APT. CORP. % C.H. GREENTHAL,3,Manhattan,2003,121,BEST 5D-150 (NEW),54.0
J & B ASSOCIATES,3,Manhattan,1987,73,ROCKMILLS MP 100 SS,67.0
COOPER SUARE REALTY,3,Manhattan,1978,86,FEDERAL #FMA-1822,63.0
284 5 APT. INC.,3,Manhattan,1981,40,ROCKMILLS MP70,76.0
JM COHEN EXEC. EST. RO.CO.,3,Manhattan,1985,0,ROCKMILLS MP-90,84.0
NEW SCHOOL UNIVERSITY,3,Manhattan,1985,4,FEDERAL FST 70,63.0
COLONIAL HARDWARE CORP.,3,Manhattan,1981,7,KEELER - UNKNOWN,37.0
160 MADISON AVENUE OWNERS CORP,3,Manhattan,1973,8,H.B. SMITH A-36-11,74.0
MAJESTIC REALTY CORP.,6,Manhattan,1987,68,ROCKMILLS MP 150,157.0
MURRAY HILL PROP MGMT INC.,3,Manhattan,1954,18,SPENCER LW85,71.0
170 SPRING ST.LLC./TIME EQUITIES INC.,1,Manhattan,1994,49,FEDERAL FST-60,47.0
JEFFERY MANGEMENT CORP.,2,Manhattan,1991,180,FEDERAL FST-300,61.0
JOHN J. REPETTI,3,Manhattan,1975,41,FEDERAL FM 547,69.0
CHELSEA WARREN CORP,3,Manhattan,1986,62,ROCKMILLS MP-80,87.0
"141 FIFTH AVENUE LLC., att: Wharton Rlty.",2,Manhattan,1980,37,ROCKMILLS MP 175,52.0
SP 41 PARK LLC,3,Manhattan,1981,119,FITZGIBBONS DM 151,80.0
54 WEST 74TH ST.CONDOMINIUM,6,Manhattan,1986,63,ROCKMILLS MP-100,157.0
CHARLES H. GREENTHAL,6,Manhattan,1976,376,ROCKMILLS MP 300,153.0
MERCER SQUARE OWNERS CORP.,1,Manhattan,1995,275,FEDERAL FST-250,5501.0
THE MAC INTTYRE BUILDING CORP.,2,Manhattan,1992,24,ROCKMILLS MP-60,52.0
DIVERSIFIED MANAGEMENT,3,Manhattan,1993,42,FEDERAL FST-70,113.0
J.A.R REALTY,3,Manhattan,1985,23,FEDERAL FST-150,95.0
WEST 63 EMPIRE ASSOCIATES LLC,6,Manhattan,2007,7,ROCKMILLS MP - 300 (R-H BOILER) (EXSTG),149.0
MARTIN BAUMRIND,3,Manhattan,2008,10,EASTMOND ESP - 80 (NEW),129.0
105 EAST 15TH STREET CORP.,2,Manhattan,1994,71,EASTMOND ESP-80,50.0
NATIONAL ARTS CLUB,2,Manhattan,1977,55,ROCKMILLS MP 150,50.0
SHRINE CHURCH ST ANTHONY,3,Manhattan,1976,1,ROCKMILLS MP 60,49.0
MOSHE GLICKMAN,6,Manhattan,1970,37,YORK SHIPLEY #WBL-90,159.0
50 WEST 17TH LLC % THE ARGO CORP.,3,Manhattan,2003,13,BEST 5C-150 (NEW),54.0
MERINIOFF PROPERTIES INC.,3,Manhattan,1974,19,ROCKMILLS MP 150,58.0
CHURCH MANAGEMENT,3,Manhattan,1977,229,ROCKMILLS #MP-175,82.0
LAVOISIER AMERICAN PROPERTIES,3,Manhattan,1985,1,KEWANEE L3S-200-04JB,113.0
KERWAY REALTY LLC,1,Manhattan,2008,19,ROCKMILLS MP 125 (NEW),5502.0
"SNOW PLOW, LLC",1,Manhattan,1967,30,TITUSVILLE HRT,33.0
A.J. CLARKE MGMT CORP,6,Manhattan,1983,53,FEDERAL FST-70,139.0
1165 BROADWAY CORP.,3,Manhattan,2003,67,FEDERAL FST-80 (NEW),58.0
ALBERT APT. CORP. % DOUGLAS ELLIMAN PROPERTY,2,Manhattan,2005,215,ROCKMILLS MP-250 (EXSTG),61.0
24 GRAMERCY PARK INC.,2,Manhattan,2002,18,PACIFIC 9103 A,50.0
MECOX PARTNERS L.P./BLDG MGMT.,3,Manhattan,1991,40,FEDERAL FST-70,77.0
SOLIL MGMT CORP,4,Manhattan,1999,131,FEDERAL FST-100,80.0
T.U.C. MANAGEMENT CO.INC.,4,Manhattan,1985,31,ROCKMILLS MP-80,80.0
SOLIL MANAGEMENT,4,Manhattan,1985,39,ROCKMILLS MP80,80.0
77 REALTY CORP/MARBROSE RLTY,6,Manhattan,1983,42,FEDERAL FST 60,161.0
BRAUSE REALTY,2,Manhattan,1989,192,FEDERAL FST-200 SP,52.0
WASSERSTEIN BROS,3,Manhattan,1987,28,FEDERAL FST 70,111.0
470P.A.ASSOC/S.L.GREEN MG,2,Manhattan,1994,31,EASTMOND ESP-200,74.0
KATHY STANIS,3,Manhattan,1996,731,FEDERAL FST-300,93.0
OUR LADY OF POMPEI R.C.CHURCH,3,Manhattan,1992,4,FEDERAL FST-125 (NEW),67.0
T.J. MONTANA ENTERPRISES,2,Manhattan,1957,23,KEWANEE TYPE C 2751,3602.0
LIANT RECORDS INCORPORATE,3,Manhattan,1980,88,ROCKMILLS MP125,63.0
MAROLDA PROPERTIES C/O 1 BANK CORP.,3,Manhattan,1975,81,ROCKMILLS MP-125,77.0
227 TENANTS CORP.,6,Manhattan,1988,22,ROCKMILLS MP 60,169.0
AM PROPERTY HOLDING,3,Manhattan,1993,19,FEDERAL FST-200,95.0
M.J. CARLISLE,2,Manhattan,1970,17,FEDERAL FST 250SP,56.0
"KIPNES,NEIL",1,Manhattan,1998,24,ROCKMILLS MP-100,18.0
A.K.A 154 E 29TH STREET,2,Manhattan,1977,150,ROCKMILLS MP 200,72.0
THREE  O REALTY LLC,3,Manhattan,1998,58,FEDERAL FST-150,113.0
WEINER REALTY,7,Manhattan,1982,58,ROCKMILLS MP80,303.0
CARNEGIE PLAZA CONDOMINIUM,4,Manhattan,1993,67,ROCKMILLS MP-150 SL,137.0
130 WEST 57 STREET CO,4,Manhattan,1993,85,ROCKMILLS MP 125,137.0
THE WALTON CONDO % ORSID RLTY.,6,Manhattan,2005,84,FEDERAL FST-200 (NEW),153.0
GOODSTEIN MGMT INC.,3,Manhattan,1986,121,ROCKMILLS MP-175-SS,73.0
28TH STREET TENANTS CORP.,2,Manhattan,1977,37,ROCKMILLS R-85,72.0
225 W.35 ST. ASSOC/CONDREN RLTY MGMT,3,Manhattan,1988,13,FEDERAL FST 250,109.0
WALTER JONES,3,Manhattan,1972,8,US RADIATOR 240,84.0
WASSERSTEIN BROTHERS,3,Manhattan,1988,8,FEDERAL FST 250,87.0
KAUFMAN WALES ASSOCIATES,3,Manhattan,1980,0,BURNHAM (SPENCER) 3-200-50,109.0
"32 W. 39 MIDTOWN PROPERTIES, LLC",3,Manhattan,1984,13,FEDERAL FST 100,84.0
JANOFF & OLSHAN INC.,3,Manhattan,1987,134,FEDERAL FST 250,103.0
104 W. 27TH ST. REALTY INC.,3,Manhattan,1993,9,FEDERAL FST 125,95.0
304-310 WEST 14 REALTY LLC.,3,Manhattan,1989,73,ROCKMILLS MP 80,77.0
REAL ESTATE INDUSTRIAL INC.,3,Manhattan,1993,3,FEDERAL FST 200,129.0
"ADAMS & MILLER NO. 247, LLC",3,Manhattan,2002,28,FEDERAL FST-125,109.0
COAST EQUITIES LLC,3,Manhattan,1984,72,ROCKMILLS MP 150,111.0
105 WEST 13TH CORP.,3,Manhattan,1985,102,FEDERAL FST 150,71.0
315 W 23 STREET OWNERS C/O MAXWELL-KATE,3,Manhattan,1978,76,ROCKMILLS MP4-122,93.0
"TUR,JOSE",10,Manhattan,1990,30,FEDERAL EASTMOND FST 50,269.0
ORDER OF ST BASIL THE GREAT,2,Manhattan,1956,1,H B SMITH 60 S 24,38.0
12 E 12 STREET CONDO,2,Manhattan,1988,27,FEDERAL FST 125,61.0
DIANN FERRARA,2,Manhattan,1981,102,ROCKMILLS MP175,72.0
SILVERBOW REALTY COMPANY.,3,Manhattan,1995,65,ROCKMILLS MP-90,93.0
WEST 27TH LOFT CORPORATION,3,Manhattan,1959,16,PIERCE BUTLER S408,95.0
CONCOURSE MGMT/BLDG MGMT INC.,3,Manhattan,1973,0,ROCKMILLS #R-54,125.0
_ONE HUDSON PARK INC,1,Manhattan,1979,33,ROCKMILLS MP-4-162,33.0
MIRANDA REALTY ASSOC.,3,Manhattan,1972,46,KEWANEE C,95.0
PARTNERSHIP 76 L.P.%BLDG MGMT CO. INC.,2,Manhattan,1995,1,FEDERAL FST-200,68.0
"VILLAGE HOUSE,A CONDOMINIUM%J&C LAMB",3,Manhattan,2001,70,FEDERAL FST-150,63.0
CARL S YOUNG,10,Manhattan,1986,72,ROCKMILLS MP-150,299.0
VISTA REALTY CORP,2,Manhattan,1987,25,FEDERAL FST 80,48.0
