owner,borough_block_lot,city_community_board,utility,burner_model,year_built,greener_greater_buildings,condo,bldg_sqft,of_bldgs,owner_address,coop,boiler_capacity_gross_btu
"CITY UNIVERSITY OF NY,ATT:H.N.APSAN",1010500006,M 04,Con Edison,RAY AEOR144-200,1958,1,,"* 168,570",1,"535 EAST 80 STREET, NEW YORK NY 10021",,0.0
RIVERGATE COMPANY,1009660001,M 06,Con Edison,CLEAVER-BROOKS CB400-400,1985,1,,"* 835,279",1,"103 WEST 55 STREET, MANHATTAN NY 10019",,16.73
GVA WILLIAMS REAL ESTATE CO.,1008010014,M 04,Con Edison,ICI MEG-34P,1911,0,,"* 41,579",1,"380 MADISON AVENUE -3 FLR, MANHATTAN NY 10017",,3.43
"200 W. 60th ST. ASSOCIATES,LLC",1011517501,M 07,Con Edison,CLEAVER BROOKS (INTEGRAL),1991,1,Yes,"* 385,502",1,"400 WEST 59 STREET, MANHATTAN NY 10019",,16.8
GUMLEY HAFT,1010460021,M 04,Con Edison,HEVE (ICI)MMG-34 (P),1912,0,,"* 43,243",1,"415 MADISON AVE., 5TH FL., NEW YORK N.Y. 10017",,3.08
OUR LADY OF POMPEI R.C.CH,1005860020,M 02,Con Edison,IND. COMB. MMG-54 (P) (EXG),1928,1,,"* 76,888",1,"25 CARMINE STREET, MANHATTAN NY 10014",,5.25
Matana LLC NEWMARK & CO.,1008240015,M 05,Con Edison,(NEW) ICI DEG-145P (NEW),1906,1,,"* 284,930",2,"545 FIFTH AVE, NEW YORK NY 10017-5695",,11.7
125-127 ALLEN STREET ASSO.,1004150033,M 03,Con Edison,ICI MMG 28,1900,0,,"* 10,254",1,"708 W. 177TH ST. AA, NEW CITY NY 10033",,2.59
LEXINGTON PARC CONDOMINIUM ASSN LCD CORP.,1008867503,M 05,Con Edison,S.T.JOHNSON FD68CAHM-150,1988,1,Yes,"* 63,418",1,"1862 MUTTONTOWN ROAD, MUTTONTOWN NY 11791",,5.35
DUELL LLC.,1005510016,M 02,Con Edison,ICI,1900,0,,"* 32,409",1,"5 EAST 57 STREET 10th fl, MANHATTAN NY 10022",,3.55
JUSTIN MANAGEMENT,1008320001,M 05,Con Edison,ICI DEG-105,1900,1,,"* 187,973",6,"1235 BROADWAY, MANHATTAN NY 10001",,10.4
ANDREWS BUILDING CORP.,1007347501,M 04,Con Edison,ICI DEG 145 S,1915,1,Yes,"* 178,173",1,"666 BROARDWAY 12TH FL., MANHATTAN NY 10012",,11.9
CADIGGER CORP/KENNETH REED,1004700009,M 02,Con Edison,ICI MEG 42P (EXG),1900,0,,"* 35,955",2,"PO BOX 253/KNICKERBOCKER STATION, MANHATTAN NY 10002",,4.07
CHARLES H. GREENTHAL MGMT./VICTOR J. KAVY,1011380001,M 07,Con Edison,HEV-E-OIL DEG 145,1962,1,,"* 367,600",1,"4 PARK AVENUE 3rd FL., MANHATTAN NY 10016",Yes,12.6
11 WAVERLY ASSOCIATES,1005480040,M 02,Con Edison,ICI MMG 42,1929,1,,"* 80,895",1,"11 WAVERLY PLACE, MANHATTAN NY 10003",,4.2
WASSERSTEIN BROS.,1007600055,M 04,Con Edison,ICI ME 34 P,1927,1,,"* 100,244",1,"19 WEST 36 STREET, MANHATTAN NY 10018",,2.81
SP GRAMERCY PROPERTIES %STONEHENGE MGT.,1008750079,M 05,Con Edison,INDUSTRIAL COMBUSTION MMG-42P,1940,0,,"* 44,713",1,"235 WEST 48 STREET #35F, NEW YORK NY 10036",,3.3
ALIMIR MGMT%A.J.CLARKE,1007920020,M 04,Con Edison,I.C. MMG-42 P,1918,0,,"* 39,504",1,"1881 BROADWAY (4TH FLOOR), MANHATTAN NY 10023",,3.72
CENTURY MANAGEMENT,1008770074,M 06,Con Edison,I C I MMG-84P,1931,1,,"* 120,300",2,"7 PENN PLAZA SUITE #1400, MANHATTAN NY 10001",Yes,8.3
2395 HOLDING LTD.,2031840071,Bx 05,Con Edison,ICI MMG 30,1922,0,,"* 45,952",1,"P.O. BOX 16, FAR ROCKAWAY NY 11691",,2.5
S & P ASSOC/MILFORD MGMT.CORP.,1011157503,M 07,Con Edison,CLEAVER-BROOK CB-600-400,1979,0,,"* 30,000",1,"99 BATTERY PLACE, MANHATTAN NY 10280",,16.75
T.U.C. MGMT. CO. INC.TIM O'KEEFE,1008910062,M 06,Con Edison,IND COMB INC MEG34P,1916,0,,"* 40,966",1,"200 WEST 57 ST., MANHATTAN NY 10019",,2.8
201 W. 21ST STREET TENANTS CORP.,1007710038,M 04,Con Edison,HEVEOIL DE 54 S,1963,1,,"* 80,977",1,"210 EAST 23rd STREET, MANHATTAN NY 10011",Yes,5.2
GUMLEY HAFT.,1008930020,M 06,Con Edison,HEVEOILDE-63,1959,1,,"* 115,914",1,"415 MADISON AVENUE, MANHATTAN NY 10017",Yes,6.3
162 ASSOCATES LLC c/o ABS PARTNERS RE LLC,1.01e+09,M 05,Con Edison,ICI DEG 63P,1930,1,,"* 108,167",1,"200 PARK AVENUE SOUTH, MANHATTAN NY 10003",,6.27
12 E. 12TH STREET CORP. /ANDAEWS,1005697501,M 02,Con Edison,ICI MMG 54 P,1907,1,Yes,"* 54,132",1,"12 EAST 12TH STREET, MANHATTAN NY 10012",,5.3
F.M. RING ASSOC.INC.,1011130013,M 07,Con Edison,I.C.I. DEG 54 (P),1921,1,,"* 76,511",1,"20 WEST 47 STREET, MANHATTAN NY 10036",,4.96
MASS MUTUAL LIFE INSURANCE,1010710001,M 04,Con Edison,CLEAVERBROOK CB 800 250,1987,1,,"* 388,273",1,"560 WEST 43RD STREET, NY NY 10036",,10.45
EXTELL DEVELOPMENT COMPANY,1001710001,M 01,Con Edison,PETRO WD 8 AH,1920,1,,"* 141,311",1,"805 THIRD AVE 7TH FL., MANHATTAN NY 10022",,10.5
MERCEDES-BENZ MANHATTAN I,1007100011,M 04,Con Edison,I.C.I. MMG-54 P,1929,1,,"* 51,845",1,"536 WEST 41 STREET, MANHATTAN NY 10036",,4.8
BOARD OF JEWISH EDUCATION,1010677502,M 04,Con Edison,PETRO WD4 AH,1910,0,,"* 40,101",1,"426 WEST 58 STREET, MANHATTAN NY 10019",,3.6
STATFORD AMS C/O AMDA INC.,1011420024,M 07,Con Edison,INDUSTRIAL COMBUSTION - DEG-54(P),1928,1,,"* 75,313",1,"211 WEST 61ST STREET, MANHATTAN NY 10023",,5.2
"625 OWNERSHIP, LLC",1007940030,M 04,Con Edison,ICI MMG - 28 (NEW),1904,1,,"* 134,235",1,"675 SIXTH AVENUE, MANHATTAN NY 10010",,2.3
C.H.H. REALTY,1001960021,M 01,Con Edison,INDUST COMBUST MM-28,1900,0,,"* 42,500",1,"589 BROADWAY, MANHATTAN NY 10012",,2.6
MESA RLTY/ASSOC. LLC.,1008280022,M 05,Con Edison,ICI MMG-28,1910,0,,"* 45,085",1,"15 WEST 26 STREET 9TH FLR., MANHATTAN NY 10010",,2.8
FLOWER TENANTS CORP.%MATTHEW ADAM PROPERTIES,1008300074,M 05,Con Edison,ICI MEG 42P,1924,1,,"* 61,418",2,"127 E. 59TH STREET3RD FL., NEW YORK NY 10022",Yes,3.6
ROCK 7th AVE INC % ROCKEFELLER GROUP,1010010001,M 05,Con Edison,HEVEOIL AM5CM,1920,0,,"* 47,125",1,"723 7 AVENUE 7FL, MANHATTAN NY 10019",,3.4
IGS REALTY CO.,1007600063,M 04,Con Edison,RAY PAEOR-144 SIZE 200,1928,1,,"* 122,817",1,"336 WEST 37 STREET, MANHATTAN NY 10018",,7.8
16 E. 40 REALTY LLC C/O QUARTZ RLTY.,1008690064,M 05,Con Edison,ICI MMG-54 P (NEW),1911,1,,"* 89,423",1,"260 WEST 36TH STREET, MANHATTAN NY 10018",,5.3
4 PARK AVE ASSOC. C/O BROADWAY MGMT.,1008630044,M 05,Con Edison,INDUSTRIAL COMB. DEG-84 P,1913,1,,"* 341,950",1,"7 PENN PLAZA, MANHATTAN NY 10001",,7.31
ABS PARTNERS REAL ESTATE LLC.,1007870025,M 05,Con Edison,ST JOHNSON 30 AVH-5 12,1923,1,,"* 163,103",1,"200 PARK AVE SOUTH , MANHATTAN NY 10003",,6.0
BD BLAKELY LLC.,1010070049,M 05,Con Edison,ICI MMG 34,1929,1,,"* 70,478",1,"136 WEST 55 STREET, MANHATTAN NY 10019",,3.08
SOLIL MGMT.,1011210017,M 07,Con Edison,IND.COMB. DEG-63 P,1925,1,,"* 106,519",1,"640 5 AVENUE, MANHATTAN N.Y. 10019",,6.27
GRAMERCY FLOWER ASSOCIATES,1009230047,M 06,Con Edison,ICI MMG 28,1910,0,,"* 16,680",1,"535 5 AVENUE, MANHATTAN NY 10017",,2.6
DAVID CONELL,1011430024,M 07,Con Edison,ICI MMG 42P,1913,1,,"* 55,382",1,"119 WEST 71 STREET, MANHATTAN NY 10023",Yes,3.72
HOLD BOUNCED CHECK,100145001200.00%,M 01,Con Edison,HEV-E-OIL AM 4 12 DH,1920,0,,"* 39,075",1,"999999999999 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX, XXXXXXXXXXXXXXX XX 99999",,2.5
"LEIST, FRED",2028070070,Bx 05,Con Edison,I.C.I DEG 84P,1939,1,,"* 68,000",1,"3857 KINGS HIGHWAY, BROOKLYN NY 11234",,12.18
UNIVERSITY PLACE ASSOCS c/o GERSHON CO./Gary White,1005710025,M 02,Con Edison,I.C.I. MMG-34P,1959,1,,"* 59,299",1,"207 WEST 25 STREET, MANHATTAN NY 10001",,3.1
BROCROS REALTY,1005110016,M 02,Con Edison,HEVEOIL AM-6,1900,1,,"* 65,192",1,"600 BROADWAY, MANHATTAN NY 10012",,4.2
SP20 LLC - % STONEHENGE MGMT LLC,1008650032,M 06,Con Edison,INDUSTRIAL COMBUSTION MMG-42P,1939,1,,"* 101,306",1,"235 WEST 48 STREET, NEW YORK NY 10025",,3.0
1 LEXINGTON AVE.OWNERS /DOUG.EILLI. MGMT.,1008770022,M 06,Con Edison,ICI DE 42 P,1910,1,,"* 75,379",1,"1 LEXINGTON AVE, MANHATTAN NY 10028",Yes,4.2
MGMT.% WALTER SCHIK LAKE REALTY,1008060006,M 05,Con Edison,IND COMB MMG-54(P),1912,1,,"* 85,517",2,"521 WEST 26TH ST., MANHATTAN NY 10001",,4.3
STELLAR MANAGEMENT CO.,1006030028,M 02,Con Edison,ICI DEG 145 S,1911,1,,"* 154,328",1,"156 WILLIAM STREET, MANHATTAN NY 10038",,13.5
"CHELSEA TOWN SERIES LL, LLC%HOFFMAN MGMT",1007540021,M 04,Con Edison,I.C.I. MEG 42 (P),1963,0,,"* 40,016",1,"300 WEST 55 STREET, NEW YORK NY 10019",,3.6
DINO & SONS REALTY CORP.,1008280035,M 05,Con Edison,ICI DEG 105 P,1912,1,,"* 134,706",1,"177 BEAZH147TH ST., NEPONIST NY 11694",,10.36
NEWMARK KNIGHT FRANK,1010540041,M 04,Con Edison,INDUSTRIAL COMB. MMG-42 (P),1910,1,,"* 59,152",3,"1501 BROADWAY-SUITE 1603, MANHATTAN NY 10036",,4.2
THE LOVETT CORP.,1008900001,M 06,Con Edison,IND.COMB. DEG-63 (P),1953,1,,"* 200,000",4,"450 7 AVENUE, SUITE 1106, NEW YORK NY 10123",Yes,6.27
"EOR-EAST 27th ST. APTS..,LLC",1009070025,M 06,Con Edison,CLEAVER BROOKS CB800-200,1977,1,,"* 348,386",1,"2 NORTH RIVERSIDE PLAZA,STE #400, CHICAGO IL 60606",,5.9
MFM PROPERTIES LLC.,1008050019,M 05,Con Edison,PETRO W4AH,1911,1,,"* 70,862",1,"135 WEST 29TH STREET SUITE 506, MANHATTAN NY 10001",,3.5
38TH & 6TH ASSOCIATES LLC c/o FIRST PIONEER PROP..,1008130040,M 05,Con Edison,INDUSTRIAL COMBUSTION MMG-42P,1906,0,,"* 37,271",1,"34-09 QUEENS BLVD, L.I.C NY 11101",,3.78
227 TENANTS/SANDBERG MGT.CORP.,1011960035,M 07,Con Edison,ICI MMG 30,1900,0,,"* 28,206",1,"345 SEVENTH AVE 8FL., MANHATTAN NY 10001",,2.59
EAST GATE REALTY CORP.,1007610033,M 04,Con Edison,ICI DED-84P,1927,1,,"* 166,874",1,"1841 BROADWAY,SUITE-215, MANHATTAN NY 10023",,7.77
CHAS.ST.ASSOC/MARTIN MGMT,1006110045,M 02,Con Edison,HEV-E-OIL AM 3,1910,0,,"* 14,450",1,"114 EAST 39 STREET, MANHATTAN NY 10016",,1.1
VINTAGE REAL ESTATE MGMT. LTD 242 APART.,1008990032,M 06,Con Edison,HEVE (ICI) DEG 84 P,1929,1,,"* 138,470",1,"450 SEVENTH AVE SUITE2107, MANHATTAN NY 10123",Yes,7.0
J W REALTY CO. LLC,1004820016,M 02,Con Edison,IRON FIREMAN EED G06-8.5 RK,1907,1,,"* 109,377",1,"15 MAIDEN LANE SUITE 1300, MANHATTAN NY 10038",,6.3
CHURCH MANAGEMENT,1008687502,M 06,Con Edison,HEV-E DE 84-S,1956,0,Yes,"* 189,755",1,"545 MADISON AVENUE, MANHATTAN NY 10022",,15.5
ONE FIFTH AVE APT.CORP. c/o ROSE ASSOC.INC.,1005500022,M 02,Con Edison,HEVE LNDEG-175 P-30,1927,1,,"* 238,923",1,"200 MADISON AVE 5TH FL., NEW YORK N.Y. 10016",Yes,16.8
ELO EQUITIES LLC,1009990009,M 05,Con Edison,INDUSTRIAL COMBUSTION MMG-34P,1928,1,,"* 61,160",1,"42 WEST 48TH STREET, NEW YORK NY 10036",,24.0
GVA WILLIAMS,1008490063,M 05,Con Edison,I.C.I. DEG 84 P,1916,1,,"* 93,927",1,"380 MADISON AVENUE, MANHATTAN NY 10017",,7.7
SOLIL MANAGEMENT,1008940032,M 06,Con Edison,INDUSTRIAL COMBUSTION DEG-63P,1936,1,,"* 105,000",1,"640 5TH AVENUE-3RD FL., MANHATTAN NY 10019",,6.27
BUCHBINDER & WARREN,1007977502,M 04,Con Edison,INDUSTRIAL COMBUSTION MODEL DEG-42-P,1911,1,Yes,"* 54,079",1,"1 UNION SQUARE,4TH FL., MANHATTAN NY 10003",,3.8
MELOHN PROPERTIES,1010080026,M 05,Con Edison,HEVE DEG 54 P,1917,1,,"* 54,838",1,"1995 BROADWAY, MANHATTAN NY 10023",,5.3
"160 OWNER LLC C/O RFR REALTY LLC,as agents",1008220039,M 05,Con Edison,ICI DEG-63P,1900,1,,"* 112,188",1,"275 MADISON AVE, NEW YORK NY 10016",,6.27
CONVENTION OVERLOOK CORP.c/o LAWRENCE,1007310060,M 04,Con Edison,ICI DEG-84P,1963,1,,"* 108,402",1,"430 WEST 34TH ST., MANHATTAN NY 10001",Yes,8.2
DAVID ESHAGHIAN,1007850018,M 05,Con Edison,PETRO W6AH,1924,1,,"* 144,141",1,"205 LEXINGTON AVE STE 900, MANHATTAN NY 10016",,6.7
"60-68 APT. CORP. % M.A. PROPERTIES,INC.",1011200057,M 07,Con Edison,INDUSTRIAL COMBUSTION DEG-54S (NEW),1920,1,,"* 61,908",1,"127 EAST 59th 3rd fl., NEW YORK NY 10022",Yes,4.18
THE ARGO CORP.,1004670022,M 03,Con Edison,INDUST COMUBS DEG-54P,1928,1,,"* 56,845",1,"50 WEST 17TH ST , MANHATTAN NY 10011",Yes,5.6
114 WEST 70 OWNERS CORP.,1011410037,M 07,Con Edison,ICI DEG42YP,1922,0,,"* 41,034",1,"352 PARK AVENUE SOUTH 9 FLOOR, MANHATTAN NY 10010",,2.8
NEWMARK KNIGHT FRANK,1007290163,M 04,Con Edison,S.T. JOHNSON A 53 HIM,1913,1,,"* 165,600",1,"125 PARK AVE, MANHATTAN NY 10017",,14.0
JOSE TUR,1021570081,M 12,Con Edison,ICI MMG 22,1915,0,,"* 25,700",1,"572 W. 187 STREET, NEW YORK NY 10033",,2.0
KING ENTERPRISES LTD.,1005190026,M 02,Con Edison,IND COMB MM54P,1920,0,,"* 11,826",1,"1345 3 AVENUE, MANHATTAN NY 10075",,4.3
889 REALTY INC.,1008480012,M 05,Con Edison,INDUSTRIAL COMB. MMG-34 P,1920,0,,"* 38,983",1,"889 BROADWAY, MANHATTAN NY 10003",,3.43
PARK ROW REALTY,1000907501,M 01,Con Edison,ICI DEG-252 (P),1896,1,Yes,"* 336,447",1,"80 BROAD ST 29th STREET, MANHATTAN NY 10004",,24.22
115 COMPANY L.L.C.%COOPER SQUARE RLTY.,1011450025,M 07,Con Edison,ICI DEG 42 P,1920,1,,"* 55,012",1,"6 EAST 43 STREET, MANHATTAN NY 10017",,4.2
1790 BROADWAY ASSOCIATES,1010290053,M 05,Con Edison,YORK C225,1912,1,,"* 196,334",1,"1790 BROADWAY, MANHATTAN NY 10019",,9.8
IMPERIAL INVESTING CORP,1008330057,M 05,Con Edison,HEV-E-OIL DEG 63-S (ICI),1913,1,,"* 108,000",1,"7 GRACE AVENUE, GREAT NECK NY 11021",,6.4
56 7 AVE LLC%NORTHBROOK PARTNERS LLC,1006180033,M 02,Con Edison,INDUSTRIAL COMBUSTION DEG-63,1931,1,,"* 142,204",1,"1776 BROADWAY , NEW YORK NY 10019",,5021000.0
ROOSEVELT LEE 38 LLC,1008330018,M 05,Con Edison,INDUSTRIAL COMBUSTION DEG 105P,1915,1,,"* 132,844",1,"P.O. BOX 750311, FLUSHING NY 11375-0311",,8.82
12TH STREET APT CORP.,1005760049,M 02,Con Edison,HEVE MEG 84 P,1959,1,,"* 71,215",1,"1740 BROADWAY ,2nd fl., MANHATTAN NY 10019",Yes,7.0
JUSTIN MGMT.,1008060026,M 05,Con Edison,IND COMBUSTION DEG-84 (P),1912,1,,"* 151,525",1,"1235 BROADWAY, MANHATTAN NY 10001",,7.0
WALTER & SAMUELS INC.,1007607501,M 04,Con Edison,INDUSTRIAL COMB. DEG-105 P,0,1,,"* 33,425",1,"419 PARK AVENUE SOUTH, MANHATTAN NY 10016",,9.55
221 E. 10th ST. INC.,1004520047,M 03,Con Edison,HEVE OIL AL3C,1900,0,,"* 10,470",1,"98-41 64 ROAD, REGO PARK NY 11374",,1.3
160 W. 77th Owners Corp.c/o Midboro MANAGEMENT CO,1011480056,M 07,Con Edison,HEVE MMG34P,1927,1,,"* 53,427",1,"148 WEST 37TH ST. , MANHATTAN NY 10018",Yes,3.4
60E9 STREET OWNERS CORP.,1005607503,M 02,Con Edison,ST JOHNSON FD68HM,1954,1,Yes,"* 204,426",1,"200 MADISON AVE, NEW YORK NY 10016",,12.6
WEINREB MANAGEMENT LLC,1011620141,M 07,Con Edison,HEV-E-OIL #AM 4 1/2 DH,1920,0,,"* 38,463",1,"276 RIVERSIDE DRIVE, MANHATTAN NY 10025",,2.8
GRAND CHELSEA CONDO.%ROSE ASSO.INC,1007667502,M 04,Con Edison,S.T.JOHNSON FD68CAHM-150,1989,1,Yes,"* 136,095",1,"200 MADISON AVE., MANHATTAN NY 10016",,6.3
NINHURSAG PROPERTIES,1007620019,M 04,Con Edison,ICI MMG 30,1929,1,,"* 110,188",1,"500 5 TH AVENUE, MANHATTAN NY 10110",,2.94
77 PARK AVE CONDO C/O CHARLES H. GREENTHAL MGMT.,100894750100.00%,M 06,Con Edison,(EXISTING) HEVE DEG-84 (S),1924,1,Yes,"* 110,958",1,"4 PARK AVE, MANHATTAN NY 10016",,8.19
HAMPTON INN (TIMES SQ. NORTH)/JONATHAN DESPUES,1010427501,M 04,Con Edison,CLEAVER BROOKS CB 800-250,1962,1,Yes,"* 264,932",1,"851 EIGHT AVENUE, MANHATTAN NY 10019",,10.46
HABERN RLTY.%BERNSTEIN REAL ESTATE,1008060034,M 05,Con Edison,ICI DEG-54 P,0,0,,0,0,"855 AVENUE OF THE AMERICAS, NEW YORK N.Y. 10001",,4.31
SOLIL MANAGEMENT,1005720038,M 02,Con Edison,(2) ICI DEG-84P,1940,1,,"* 132,420",1,"640 5 AVENUE, MANHATTAN NY 10019",,7.0
DOUGLAS ELLIMAN 70 EAST 10TH STREET OWNERS,1005550001,M 02,Con Edison,ICI DEG-175 P,1960,1,,"* 651,391",1,"70 EAST 10TH STREET, MANHATTAN NY 10003",Yes,13.39
CARLTON MGMT.,1008820050,M 06,Con Edison,ICI MMG-54P,1963,1,,"* 69,300",1,"136 GLENWOOD ROAD, GLENWOOD LAND NY 11574",Yes,5.25
WG 27th STREET LLC C/O THE WITKOFF GROUP,1.01e+09,M 05,Con Edison,HEVE DE-105,1910,1,,"* 108,594",1,"220 EAST 42nd ST., MANHATTAN NY 10017",,8.2
OWNERS CORP.c/o ADVANCED MGMT.SVCS..,1011210045,M 07,Con Edison,IND COMB INC MM-28,1925,0,,"* 27,308",1,"26 COURT STREET- SUITE #804, BROOKLYN NY 11242",,2.5
"110 W.40 JOINT VEN%ADAMS & CO.,LLC",1008150039,M 05,Con Edison,INDUSTRIAL COMB. DEG-84 P,1914,1,,"* 129,808",2,"411 5 AVENUE, MANHATTAN NY 10016",,8.4
1 HUDSON PK INC/ANDREW BL. CORP.,1.00e+09,M 01,Con Edison,ICI DE-84-P,1915,1,,"* 78,306",3,"666 BROADWAY, MANHATTAN NY 10012",Yes,6.4
410 WEST 24TH STREET OWNERS,1007217501,M 04,Con Edison,NEW HEVE (ICI)DEG-145 P,1932,1,Yes,"* 68,810",2,"410 WEST24TH STREET OWNERS, MANHATTAN NY 10011",,12.62
"WEISSBERG,HERBERT R.",1008770018,M 06,Con Edison,RAY AR141-7,1924,1,,"* 188,933",1,"2 LEXINGTON AVENUE, MANHATTAN NY 10010",,4.0
1441 BROADWAY ASSOCIATES C/O CHARNEY ASSOC.,1009930055,M 05,Con Edison,HEV-E DEG 145 P,1929,1,,"* 460,730",1,"P.O.BOX 1435, MANHATTAN NY 10018",,28.2
SAMCO PROPERTY/ SMITH AFFILIATES,1008820076,M 05,Con Edison,S.T. JOHNSON FD68 CAHM (SIZE 100),1915,1,,"* 70,217",1,"440 PARK AVENUE SOUTH, MANHATTAN NY 10016",,5.25
BRISTOL RTY/BLDG.MGMT.CO.INC.,1009160041,M 06,Con Edison,INDUSTRIAL COMBUSTION DEG 84 (P),1963,1,,"* 95,057",1,"417 FIFTH AVENUE, MANHATTAN NY 10016",,7.4
"W.25 ,LLC.",1008010024,M 04,Con Edison,HEV-E MMG-63P,1906,1,,"* 113,062",1,"816 56TH ST., MANHATTAN NY 11220",,6.4
221 WEST 26 ST CORP.,1007760021,M 05,Con Edison,ICI ME 63 P,1930,1,,"* 53,118",1,"221 WEST 26 STREET, MANHATTAN NY 10001",,5.9
