property_name,metered_areas_water,data_center_cooling_equipment_redundancy,wastewater_treatment_plant_gross_floor_area_ft,national_median_reference_property_type,data_center_it_site_energy_kwh,last_modified_date_water_meters,weather_normalized_site_natural_gas_use_therms,nta,convention_center_gross_floor_area_ft,metered_areas_energy,total_ghg_emissions_metric_tons_co2e,annual_maximum_demand_meter_name_meter_id,outpatient_rehabilitation_physical_therapy_gross_floor_area_ft,multifamily_housing_percent_that_can_be_heated,multifamily_housing_number_of_laundry_hookups_in_all_units,mailing_center_post_office_gross_floor_area_ft,parent_property_name,enclosed_mall_gross_floor_area_ft,year_built,municipally_supplied_potable_water_outdoor_use_kgal,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,municipally_supplied_potable_water_mixed_indoor_outdoor_use_kgal,last_modified_date_electric_meters,alert_water_meter_has_less_than_12_full_calendar_months_of_data,primary_property_type_portfolio_manager_calculated,fuel_oil_5_6_use_kbtu,medical_office_percent_that_can_be_cooled,percent_of_electricity_that_is_green_power,list_of_all_property_use_types_at_property,multifamily_housing_total_number_of_residential_living_units,_3rd_largest_property_use_type_gross_floor_area_ft,manufacturing_industrial_plant_gross_floor_area_ft,site_energy_use_kbtu,release_date,number_of_active_energy_meters_total,museum_gross_floor_area_ft,k_12_school_gross_floor_area_ft,green_power_offsite_kwh,_2nd_largest_property_use_type,multifamily_housing_resident_population_type,indoor_water_use_all_water_sources_kgal,natural_gas_use_kbtu,hospital_general_medical_surgical_percent_that_can_be_heated,estimated_data_flag_fuel_oil_no_5_and_no_6,leed_us_project_id,propane_use_kbtu,alert_energy_meter_has_single_entry_more_than_65_days,adult_education_gross_floor_area_ft,community_board,electricity_use_generated_from_onsite_renewable_systems_and_used_onsite_kbtu,supermarket_grocery_gross_floor_area_ft,barracks_gross_floor_area_ft,avoided_emissions_onsite_green_power_metric_tons_co2e
Q166-0400151,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,69494.7,Astoria,Not Available,Whole Property,542.4,0400151E (8015820),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1950,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,8859521.2,2021-05-28T17:29:28.000,3,Not Available,126125,0,Not Available,Not Available,Not Available,6043799.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,401.0,Not Available,Not Available,Not Available,Not Available
Q174-0400156,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 09:54 AM EDT,8.9,Rego Park,Not Available,Whole Property,404.2,0400156E (8015799),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1948,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,5308916.6,2021-05-28T17:29:28.000,3,Not Available,87860,0,Not Available,Not Available,472.9,800,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,406.0,Not Available,Not Available,Not Available,Not Available
K874-0300120,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 04:42 PM EDT,16681.1,Prospect Heights,Not Available,Whole Property,142.1,0300120E (7944517),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1937,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,2272883.1,2021-05-28T17:29:28.000,3,Not Available,25715,0,Not Available,Not Available,8290.9,1461100,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,308.0,Not Available,Not Available,Not Available,Not Available
K130-0300137,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,25268.6,Windsor Terrace,Not Available,Whole Property,245.7,0300137E (7896370),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1930,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,3851146.5,2021-05-28T17:29:28.000,3,Not Available,60000,0,Not Available,Not Available,Not Available,2249200,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,307.0,Not Available,Not Available,Not Available,Not Available
Q515-0401240,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,46188.1,Kew Gardens Hills,Not Available,Whole Property,655.5,0401240E (12924709),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1991,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,9476674.7,2021-05-28T17:29:28.000,3,Not Available,210100,0,Not Available,Not Available,Not Available,3660700,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,408.0,Not Available,Not Available,Not Available,Not Available
10781-Ceasar's Bay,Whole Property,Not Available,Not Available,CBECS - Retail Store,Not Available,Not Available,31442.4,Bensonhurst West,Not Available,Whole Property,621.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,2004,Not Available,Not Available,Not Available,04/28/2021 04:58 PM EDT,Possible Issue,Retail Store,Not Available,Not Available,0,Retail Store,Not Available,Not Available,Not Available,8712996.8,2021-04-30T16:20:10.000,2,Not Available,Not Available,0,Not Available,Not Available,Not Available,2698200.2,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,311.0,Not Available,Not Available,Not Available,Not Available
R045-0500068,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,54763.9,New Brighton-Silver Lake,Not Available,Whole Property,368,0500068E (8027102),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1930,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,6265852.1,2021-05-28T17:29:28.000,3,Not Available,87680,0,Not Available,Not Available,Not Available,4879700.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,501.0,Not Available,Not Available,Not Available,Not Available
K158-0300160,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 02:09 PM EDT,39088.9,East New York,Not Available,Whole Property,340.4,0300160E (7896398),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1908,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,5492083,2021-05-28T17:29:28.000,3,Not Available,102000,0,Not Available,Not Available,865.8,3540800.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,305.0,Not Available,Not Available,Not Available,Not Available
X036-0200073,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 08:25 AM EDT,41380.5,Westchester-Unionport,Not Available,Whole Property,315.7,0200073E (8032686),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1901,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,5185364.7,2021-05-28T17:29:28.000,3,Not Available,85260,0,Not Available,Not Available,0,3560300,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,209.0,Not Available,Not Available,Not Available,Not Available
X115-0200118,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,64311.3,Fordham South,Not Available,Whole Property,572.5,0200118E (8080118),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1914,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,9025995.5,2021-05-28T17:29:28.000,2,Not Available,133325,0,Not Available,Not Available,Not Available,5491300.2,Not Available,No,Not Available,Not Available,Ok,Not Available,205.0,Not Available,Not Available,Not Available,Not Available
Two Penn Plaza,Whole Property,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,05/13/2021 01:52 PM EDT,Not Available,Midtown-Midtown South,Not Available,Whole Property,6406.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1965,Not Available,Not Available,Not Available,05/12/2021 03:54 PM EDT,Ok,Office,Not Available,Not Available,0,"Bank Branch, Data Center, Fast Food Restaurant, Office",Not Available,19664,Not Available,87137797.3,2021-05-17T12:28:03.000,8,Not Available,Not Available,0,Fast Food Restaurant,Not Available,12385.7,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,105.0,Not Available,Not Available,Not Available,Not Available
41 Madison Ave LP,Whole Property,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,04/29/2021 07:52 PM EDT,2201.5,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Whole Property,3455.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1972,Not Available,Not Available,Not Available,04/19/2021 08:48 PM EDT,Ok,Office,Not Available,Not Available,0,"Office, Other, Restaurant",Not Available,4000,Not Available,48835719.3,2021-05-26T11:44:43.000,5,Not Available,Not Available,0,Restaurant,Not Available,5659.2,220147.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,105.0,Not Available,Not Available,Not Available,Not Available
K376-0301609,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,23364,Bushwick North,Not Available,Whole Property,311.4,0301609E (7935434),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1994,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,4581736.9,2021-05-28T17:29:28.000,3,Not Available,90100,0,Not Available,Not Available,Not Available,2000900.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,304.0,Not Available,Not Available,Not Available,Not Available
M625-0100186,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 08:57 AM EDT,99417.7,Clinton,Not Available,Whole Property,838.1,0100186E (7937454),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1957,Not Available,Not Available,Not Available,04/21/2021 02:17 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,13504527.7,2021-05-28T17:29:28.000,3,Not Available,272912,0,Not Available,Not Available,0.7,8918799.7,Not Available,No,Not Available,Not Available,Ok,Not Available,104.0,Not Available,Not Available,Not Available,Not Available
K201-0300204,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 02:17 PM EDT,51110.7,Dyker Heights,Not Available,Whole Property,465.4,0300204E (7896926),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1924,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,7433896.4,2021-05-28T17:29:28.000,3,Not Available,128400,0,Not Available,Not Available,1309.1,4504699.5,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,310.0,Not Available,Not Available,Not Available,Not Available
Q119-0400105,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 11:52 AM EDT,52289.4,Glendale,Not Available,Whole Property,468.9,0400105E (8013754),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1927,Not Available,Not Available,Not Available,04/21/2021 02:18 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,7492927.1,2021-05-28T17:29:28.000,3,Not Available,121375,0,Not Available,Not Available,286.8,4610900,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,405.0,Not Available,Not Available,Not Available,Not Available
Center for Automotive Education and Training,Whole Property,Not Available,Not Available,CBECS - Education,Not Available,02/24/2021 10:23 PM EST,28957.3,Whitestone,Not Available,Whole Property,380.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,2005,Not Available,Not Available,Not Available,03/24/2021 12:17 PM EDT,Ok,Vocational School,Not Available,Not Available,0,Vocational School,Not Available,Not Available,Not Available,5605846.1,2021-03-28T14:42:16.000,4,Not Available,Not Available,0,Not Available,Not Available,1037.5,2466272.1,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,407.0,Not Available,Not Available,Not Available,Not Available
560 Lexco LP,Whole Property,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,02/11/2021 07:20 AM EST,Not Available,Turtle Bay-East Midtown,Not Available,Whole Property,1156.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1980,Not Available,Not Available,Not Available,04/13/2021 03:04 PM EDT,Possible Issue,Office,Not Available,Not Available,0,"Food Sales, Food Service, Library, Office",Not Available,1440,Not Available,15170325.3,2021-06-01T12:13:18.000,16,Not Available,Not Available,0,Library,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,105.0,Not Available,Not Available,Not Available,Not Available
K324-0300122,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 04:14 PM EDT,5.3,Stuyvesant Heights,Not Available,Whole Property,740.4,0300122E (7935419),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1974,Not Available,Not Available,Not Available,04/30/2021 02:05 PM EDT,Ok,K-12 School,Not Available,Not Available,10.45785,K-12 School,Not Available,Not Available,Not Available,10174664.6,2021-05-28T17:29:28.000,4,Not Available,205200,0,Not Available,Not Available,307.1,400,Not Available,No,Not Available,Not Available,Ok,Not Available,303.0,502178.2,Not Available,Not Available,71.4
M451-0101197,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 08:53 AM EDT,13027.2,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,Whole Property,205.5,0101197E (7937450),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1903,Not Available,Not Available,Not Available,04/21/2021 02:17 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,2934124,2021-05-28T17:29:28.000,3,Not Available,48953,0,Not Available,Not Available,0.9,1050700,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,104.0,Not Available,Not Available,Not Available,Not Available
X172-0201224,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 08:40 AM EDT,13531,Highbridge,Not Available,Whole Property,162,0201224E (8080447),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1997,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,2412206.4,2021-05-28T17:29:28.000,3,Not Available,45600,0,Not Available,Not Available,161.6,1125200,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,204.0,Not Available,Not Available,Not Available,Not Available
M041-0100057,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,3106.6,West Village,Not Available,Whole Property,320.8,0100057E (7934712),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1957,Not Available,Not Available,Not Available,04/21/2021 02:17 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,4330634.6,2021-05-28T17:29:28.000,3,Not Available,97300,0,Not Available,Not Available,Not Available,303200,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,102.0,Not Available,Not Available,Not Available,Not Available
Q011-0400011,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 10:03 AM EDT,56669.1,Woodside,Not Available,Whole Property,621.9,0400011E (7978355),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1990,Not Available,Not Available,Not Available,04/21/2021 02:16 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,9488979.8,2021-05-28T17:29:28.000,3,Not Available,192480,0,Not Available,Not Available,1113.4,5013800.4,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,402.0,Not Available,Not Available,Not Available,Not Available
K106-0300116,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 02:33 PM EDT,34008,Bushwick North,Not Available,Whole Property,288.2,0300116E (7877775),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1893,Not Available,Not Available,Not Available,04/21/2021 03:23 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,4668092.4,2021-05-28T17:29:28.000,3,Not Available,99600,0,Not Available,Not Available,582.9,2987000,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,304.0,Not Available,Not Available,Not Available,Not Available
M003-0100028,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,66089.3,West Village,Not Available,Whole Property,420,0100028E (7934497),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1906,Not Available,Not Available,Not Available,04/21/2021 02:17 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,7194566.4,2021-05-28T17:29:28.000,3,Not Available,121280,0,Not Available,Not Available,Not Available,5697100.2,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,102.0,Not Available,Not Available,Not Available,Not Available
M088-0100176,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 09:30 AM EDT,2323,Central Harlem South,Not Available,Whole Property,1037,0100176E (7935354),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1930,Not Available,Not Available,Not Available,04/21/2021 02:16 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,13670941.9,2021-05-28T17:29:28.000,3,Not Available,208925,0,Not Available,Not Available,96.4,232300,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,110.0,Not Available,Not Available,Not Available,Not Available
M149 & M207 Tandem-0100131,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,89923.6,Central Harlem South,Not Available,Whole Property,603.6,0100131E (7936381),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1968,Not Available,Not Available,Not Available,04/21/2021 02:16 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,10060105.3,2021-05-28T17:29:28.000,2,Not Available,151200,0,Not Available,Not Available,Not Available,7431500.4,Not Available,No,Not Available,Not Available,Ok,Not Available,110.0,Not Available,Not Available,Not Available,Not Available
