site_id,site_name,address_1,contract_id,capacity,state_assembly_district,council_district,catchment_intersection_1
1214,African Refuge,185 Park Hill Ave,6566,,61.0,49.0,
1340,Beach 41st - CCNY,426 Beach 40th Street,1233,165.0,31.0,31.0,
881,Butler,1402 WEBSTER AVENUE,8629,,79.0,16.0,
193,Legal Service NYC RI,40 WORTH STREET,669,,66.0,1.0,
857,Brownsville Houses,90 BEAVER STREET,5030,,53.0,34.0,
679,Cure Violence - 113 Precinct,,5679,,,,
328,Manhattan,2090 Adam Clayton Powell Jr Blvd,5787,,70.0,9.0,
772,East New York,,9146,,,,
352,Manhattan CIRT,2090 Adam Clayton Powell Jr. Blvd.,5892,,70.0,9.0,
655,Hostos HS,600 St Ann's Ave,5676,,84.0,17.0,
686,NYC,,5679,,,,
609,114 Precinct (Queens),34-16 Astoria Blvd S,8328,,36.0,22.0,
1229,Ali Forney Center,224 West 35th Street,7379,,75.0,3.0,
652,General MacArthur Park,,4740,,,,
252,NYC Business Solutions Upper Manhattan Center,361 WEST 125 STREET,4190,,70.0,9.0,
346,Provider office,199 Water Street,4586,,65.0,1.0,
610,115 Precinct (Queens),92-15 Northern Blvd,8328,,34.0,21.0,
1183,Academic Tutoring Success Youth Program,169-65 137TH Avenue,540,,32.0,28.0,
685,Queens,,5679,,,,
1444,Bronx Lab High School,800 EAST GUN HILL ROAD,2488,,83.0,12.0,
65,BRONX-LEBANON HOSPITAL CENTER_Bronx,1276 FULTON AVENUE,3197,,79.0,16.0,
