address_1,alert_meter_has_gaps,energy_star_certification_5,district_chilled_water_use,other_weekly_operating_hours,residence_hall_dormitory,green_power_onsite_kwh,avoided_emissions_offsite,multifamily_housing_gross,retail_store_percent_that,laboratory_gross_floor_area,generation_date,multifamily_housing_number_1,retail_store_walk_in,convenience_store_without,college_university_number,green_power_offsite_kwh,national_median_total_ghg,fuel_oil_no_5_and_no_6_cost,estimated_data_flag_district,fuel_oil_no_4_cost,hotel_gross_floor_area_ft,financial_office_gross_floor,financial_office_weekly,enclosed_mall_gross_floor,electricity_use_generated,office_computer_density_number,municipally_supplied_potable_2,postcode,diesel_2_use_kbtu,propane_use_kbtu,egrid_output_emissions_rate,museum_gross_floor_area_ft,percent_of_total_electricity,energy_cost_intensity_ft,source_eui_kbtu_ft,latitude,indirect_ghg_emissions_metric,other_number_of_computers,water_use_all_water_sources,site_eui_kbtu_ft,medical_office_weekly,parking_gross_floor_area,retail_store_number_of_open,district_hot_water_use_kbtu,veterinary_office_gross_floor,hospital_general_medical_10,date_property_last_modified,multifamily_housing_number_2,alert_gross_floor_area_is,weather_normalized_source_1,energy_star_certification_4,city,office_number_of_computers,number_of_buildings,percent_of_recs_retained,national_median_source_energy,adult_education_gross_floor,refrigerated_warehouse_gross,hotel_gym_fitness_center,weather_normalized_site_2
115 East 90th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,55061,Not Available,Not Available,2015-07-31T14:52:21.000,10,Not Available,Not Available,Not Available,0,297.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10128,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,80.2,40.782432,61.7,Not Available,Not Available,49.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,4,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,7329021.8,Not Available,Not Available,Not Available,14731.3
800 Ave H,Ok,No,Not Available,Not Available,Not Available,Not Available,0,77400,Not Available,Not Available,2015-04-29T17:48:32.000,0,Not Available,Not Available,Not Available,0,394.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11230,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,114.5,40.62924,60.4,Not Available,Not Available,90.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,5,Ok,8620701.3,Not Available,Brooklyn,Not Available,1,Not Available,8900854.7,Not Available,Not Available,Not Available,60359.6
599 Lexington,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-17T07:50:17.000,Not Available,Not Available,Not Available,Not Available,0,8599.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.94309,25607,10022,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,213.8,,6301.8,Not Available,25607,68.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10/29/2014 12:49 PM EDT,Not Available,Ok,238702947.4,Not Available,New York,4400,1,Not Available,325573335.5,Not Available,Not Available,Not Available,Not Available
43-22,Ok,No,Not Available,Not Available,Not Available,Not Available,0,61950,Not Available,Not Available,2015-04-28T16:41:41.000,Not Available,Not Available,Not Available,Not Available,0,239.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11104,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,,50.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,1,Ok,Not Available,Not Available,Sunnyside,Not Available,1,Not Available,7925275.2,Not Available,Not Available,Not Available,Not Available
388 GREENWICH STREET,Ok,Yes,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T17:00:45.000,Not Available,Not Available,Not Available,Not Available,0,16329.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.7085,32420.4,10013,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,202.6,40.720659,11343.2,Not Available,32420.4,78.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11/21/2014 02:10 PM EST,Not Available,Ok,378737772.7,Not Available,NEW YORK,6934,1,Not Available,538998951.7,Not Available,Not Available,Not Available,24679.9
87-20 175th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,73313,Not Available,Not Available,2015-04-28T09:58:32.000,0,Not Available,Not Available,Not Available,0,367.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3337.8,11432,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,128.4,40.711332,93.3,Not Available,3337.8,91.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,8,Ok,9203011.6,Not Available,Jamaica,Not Available,1,Not Available,8860106.7,Not Available,Not Available,Not Available,54519.6
64-45 188 St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,48000,Not Available,Not Available,2015-04-24T12:08:25.000,Not Available,Not Available,Not Available,Not Available,0,248.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,82.9,Not Available,Not Available,1.26,201.4,40.737168,89.9,Not Available,Not Available,146.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:41 PM EDT,Not Available,Ok,9604461.8,Not Available,Fresh Meadows,Not Available,1,Not Available,5905037.6,Not Available,Not Available,Not Available,59649.6
108-110 West 107th street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T15:24:12.000,Not Available,Not Available,Not Available,Not Available,0,159.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10025,Not Available,Not Available,82.9,Not Available,Not Available,1.29,73.3,40.800158,193.1,Not Available,84.2,29.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,8120299,Not Available,New York,Not Available,1,Not Available,5419806.2,Not Available,Not Available,Not Available,8254.2
303 East 43rd Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,117055,100,Not Available,2015-07-31T14:52:32.000,0,0,Not Available,Not Available,0,577.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10017,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,137.7,40.750359,241.3,Not Available,Not Available,83.2,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,6,Ok,16132417.9,Not Available,New York,Not Available,1,Not Available,15467399.4,Not Available,Not Available,Not Available,67371.5
725 Fifth Ave.,Ok,No,Not Available,Not Available,Not Available,Not Available,0,549320,Not Available,Not Available,2015-04-30T14:19:36.000,526,Not Available,Not Available,Not Available,0,5171.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10.3188,Not Available,10022,Not Available,Not Available,82.9,Not Available,Not Available,0.95,210.8,40.762508,5386.2,Not Available,Not Available,89.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:36 PM EDT,20,Ok,168915491.6,Not Available,New York,2647,1,Not Available,160827372.8,Not Available,Not Available,Not Available,14122.9
255 East 49th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,193589,100,Not Available,2015-07-31T14:52:22.000,20,0,Not Available,Not Available,0,936.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10022,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,106.3,40.754696,411.9,Not Available,Not Available,53.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,10,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,24406642.1,Not Available,Not Available,Not Available,6941.1
20 West 55th Street Ent,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T13:49:01.000,Not Available,Not Available,Not Available,Not Available,0,481.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Not Available,10019,Not Available,Not Available,82.9,Not Available,Not Available,5.52,267.2,40.762042,564.4,Not Available,Not Available,94.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:44 PM EDT,Not Available,Ok,19772187.8,Not Available,New York,149.05,1,Not Available,16979482.6,Not Available,Not Available,Not Available,Not Available
42-41 201st Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-03-27T11:02:43.000,Not Available,Not Available,Not Available,Not Available,0,2657.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17313.7,11361,Not Available,Not Available,82.9,Not Available,Not Available,2.19,314.8,40.758999,1188.1,Not Available,17313.7,203.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,92559845.4,Not Available,Bayside,Not Available,1,Not Available,68345430.3,Not Available,Not Available,Not Available,450674.6
144-45 35 Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,129650,Not Available,Not Available,2015-04-30T11:04:37.000,Not Available,Not Available,Not Available,Not Available,0,756.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11354,Not Available,Not Available,82.9,Not Available,Not Available,0,128.9,40.765965,140,Not Available,Not Available,96.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:35 PM EDT,Not Available,Ok,16708672.6,Not Available,Flushing,Not Available,1,Not Available,17626677.1,Not Available,Not Available,Not Available,108665
103 JOHN STREET,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T15:49:27.000,Not Available,Not Available,Not Available,Not Available,0,2918.9,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.5017,Not Available,10038,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,196.6,40.707833,1948,Not Available,Not Available,86.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/29/2015 03:47 PM EDT,Not Available,Ok,57030380.2,Not Available,NEW YORK,1345,1,Not Available,88004785.5,Not Available,Not Available,Not Available,Not Available
3085-3097 Brighton 13th St.,Ok,No,Not Available,Not Available,Not Available,Not Available,0,66993,100,Not Available,2015-05-18T14:10:53.000,0,0.43478,Not Available,Not Available,0,415.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11235,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,117.4,40.578455,73.6,Not Available,Not Available,87.6,Not Available,Not Available,5,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,0,Ok,7903064.4,Not Available,Brooklyn,Not Available,1,Not Available,9158906,Not Available,Not Available,Not Available,42338
522 West End Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,80328,Not Available,Not Available,2015-04-30T14:09:57.000,18,Not Available,Not Available,Not Available,0,539.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10024,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,102.3,40.788406,90.2,Not Available,Not Available,72.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,5,Ok,7934613.8,Not Available,New York,Not Available,1,Not Available,10088389.2,Not Available,Not Available,Not Available,1488.5
50 W 57th St,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-30T19:13:24.000,Not Available,0.2289,Not Available,Not Available,0,774.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,5025.2,10019,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,219.5,40.763639,434.2,Not Available,5025.2,100.5,Not Available,Not Available,18,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,16150652.2,Not Available,New York,123.94,1,Not Available,23617751.3,Not Available,Not Available,Not Available,19888.5
1841 Broadway,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-19T16:03:01.000,Not Available,Not Available,Not Available,Not Available,0,1096.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,5051.6,10023,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,265.1,40.769158,540.7,Not Available,5051.6,141.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,29050082.4,Not Available,New York,211.15,1,Not Available,27176376.1,Not Available,Not Available,Not Available,13173.9
940 Park Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,64058,Not Available,Not Available,2015-04-30T14:10:04.000,28,Not Available,Not Available,Not Available,0,379.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10028,Not Available,Not Available,82.9,Not Available,Not Available,0,132.2,40.777194,116,Not Available,Not Available,84.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,0,Ok,8167421.3,Not Available,New York,Not Available,1,Not Available,7769214.7,Not Available,Not Available,Not Available,836.6
350 E 77 Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,66162,Not Available,Not Available,2015-04-30T14:09:51.000,0,Not Available,Not Available,Not Available,0,523.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10075,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,118.2,40.771508,86.2,Not Available,3067,84.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,6,Ok,7603338,Not Available,New York,Not Available,1,Not Available,9792387,Not Available,Not Available,Not Available,1925.5
2 South Pinehurst Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,62000,Not Available,Not Available,2015-04-14T10:47:29.000,Not Available,Not Available,Not Available,Not Available,0,357.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10033,Not Available,Not Available,82.9,Not Available,Not Available,0.61,83,40.847544,13.4,Not Available,Not Available,73.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,4900599.9,Not Available,New York,Not Available,1,Not Available,7426574.8,Not Available,Not Available,Not Available,41827.5
200 Hudson Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-29T11:46:11.000,Not Available,Not Available,Not Available,Not Available,0,4121.1,267849.07,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.03242,Not Available,10013,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,160.4,40.722992,1099.3,Not Available,Not Available,74.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,52324556.2,Not Available,New York,2200,1,Not Available,111310861.4,Not Available,Not Available,Not Available,116.8
33 Liberty Street,Ok,No,Not Available,168,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T18:17:53.000,Not Available,Not Available,Not Available,Not Available,0,8147.1,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.98247,Not Available,10045,Not Available,Not Available,82.9,Not Available,Not Available,4.91,262.7,40.708157,7941,0,Not Available,125.1,40,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:18 PM EDT,Not Available,Ok,225276879.1,Not Available,New York,2391,1,Not Available,231678470.8,Not Available,Not Available,Not Available,18685.6
299 Park Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-17T14:47:27.000,Not Available,Not Available,Not Available,Not Available,0,10681.9,Not Available,No,Not Available,Not Available,910915,65,Not Available,Not Available,2.17659,Not Available,10016,Not Available,Not Available,82.9,Not Available,Not Available,2.44,255.3,40.756456,10529.8,Not Available,Not Available,107.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:18 PM EDT,Not Available,Ok,324534802.7,Not Available,New York,800,1,Not Available,331064902.7,Not Available,Not Available,Not Available,Not Available
825 Eighth Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-10T09:54:09.000,Not Available,Not Available,Not Available,Not Available,0,15372.6,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.24787,Not Available,10019,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,210,40.762074,11346.5,Not Available,Not Available,79.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:17 PM EDT,Not Available,Ok,379776153.9,Not Available,New York,5927,1,Not Available,515504259.7,Not Available,Not Available,Not Available,15818.3
2 Avenue of the Americas,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-24T11:56:54.000,Not Available,Not Available,Not Available,Not Available,0,893.3,Not Available,No,Not Available,132689,Not Available,Not Available,Not Available,Not Available,Not Available,12076.1,10013,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,345.9,40.719128,1358.2,Not Available,12076.1,144,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,45789260.1,Not Available,New York,Not Available,1,Not Available,28376385.6,Not Available,Not Available,625,16352
80 Wall Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-24T11:40:01.000,Not Available,Not Available,Not Available,Not Available,0,1034,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.95657,Not Available,10005,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,62.1,40.705456,286.6,Not Available,Not Available,37.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:18 PM EDT,Not Available,Ok,Not Available,Not Available,New York,210.82,1,Not Available,24154182.5,Not Available,Not Available,Not Available,Not Available
40 Central Park South,Ok,No,Not Available,53.27,Not Available,Not Available,0,181221,Not Available,Not Available,2015-04-29T12:51:27.000,50,Not Available,Not Available,Not Available,0,1187.4,435360.62,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15267.1,10019,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,271.4,40.765086,748.8,23,15267.1,175.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/09/2015 07:42 AM EDT,10,Ok,55151426.4,Not Available,NY,Not Available,1,Not Available,25014967.5,Not Available,Not Available,Not Available,65084.4
55 East 59th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-29T14:58:03.000,Not Available,0,Not Available,Not Available,0,2234.7,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.0081,4875.5,10022,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,207.7,40.763336,1619.9,Not Available,4875.5,72.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,10/14/2014 02:33 PM EDT,Not Available,Ok,61556952.2,Not Available,New York,859,1,Not Available,80615015.2,Not Available,Not Available,Not Available,15679.2
