wire_2_nd,spc_latin,state,sidw_raise,cncldist,nta_name,status,pit_type
No,TILIA CORDATA,New York,No,6,Upper West Side,Excellent,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,9,Central Harlem South,Good,Sidewalk Pit
No,Unknown Dead,New York,No,1,Lower East Side,Dead,Sidewalk Pit
No,TILIA CORDATA,New York,No,8,East Harlem North,Excellent,Sidewalk Pit
No,PYRUS CALLERYANA,New York,Yes,9,Central Harlem South,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Excellent,Sidewalk Pit
No,ZELKOVA SERRATA,New York,No,7,Washington Heights South,Good,Continuous Pit
No,TILIA TOMENTOSA,New York,No,6,Upper West Side,Excellent,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,3,West Village,Excellent,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Excellent,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,ROBINIA PSEUDOACACIA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,QUERCUS PALUSTRIS,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Excellent,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,2,East Village,Good,Sidewalk Pit
No,TILIA CORDATA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,QUERCUS RUBRA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,6,Upper West Side,Good,Continuous Pit
No,GLEDITSIA TRIACANTHOS,New York,No,6,Upper West Side,Poor,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,3,West Village,Excellent,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,6,Clinton,Excellent,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,9,Central Harlem South,Excellent,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,1,Lower East Side,Good,Sidewalk Pit
No,TILIA CORDATA,New York,No,2,East Village,Good,Sidewalk Pit
No,TILIA CORDATA,New York,No,2,East Village,Excellent,Sidewalk Pit
No,TILIA AMERICANA,New York,No,6,Clinton,Poor,Sidewalk Pit
No,TILIA CORDATA,New York,No,5,Yorkville,Excellent,Continuous Pit
No,TILIA AMERICANA,New York,No,6,Clinton,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,2,East Village,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Excellent,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,1,Battery Park City-Lower Manhattan,Excellent,Sidewalk Pit
No,ACER RUBRUM,New York,No,9,Central Harlem South,Good,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,9,Central Harlem South,Excellent,Sidewalk Pit
No,AILANTHUS ALTISSIMA,New York,No,8,East Harlem South,Excellent,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Excellent,Sidewalk Pit
No,METASEQUOIA GLYPTOSTROBOIDES,New York,No,5,Yorkville,Excellent,Continuous Pit
No,ACER RUBRUM,New York,No,8,East Harlem South,Excellent,Lawn
No,UNKNOWN,New York,No,1,Battery Park City-Lower Manhattan,Poor,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,0,,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,FRAXINUS PENNSYLVANICA,New York,No,3,West Village,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,GINKGO BILOBA,New York,No,8,East Harlem South,Excellent,Lawn
No,TILIA CORDATA,New York,No,3,West Village,Poor,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,2,East Village,Good,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,Yes,8,East Harlem South,Excellent,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,8,East Harlem South,Excellent,Sidewalk Pit
No,STYPHNOLOBIUM JAPONICUM,New York,No,2,East Village,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,Yes,2,East Village,Good,Continuous Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Poor,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Excellent,Continuous Pit
No,PLATANUS ACERIFOLIA,New York,No,3,West Village,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,8,East Harlem South,Excellent,Sidewalk Pit
No,ACER RUBRUM,New York,No,8,East Harlem North,Poor,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,3,West Village,Excellent,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem North,Poor,Sidewalk Pit
No,GINKGO BILOBA,New York,No,6,Clinton,Good,Sidewalk Pit
No,POPLAR SPECIES,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,TILIA AMERICANA,New York,No,8,East Harlem North,Good,Continuous Pit
No,QUERCUS BICOLOR,New York,No,8,East Harlem North,Excellent,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Good,Continuous Pit
No,GLEDITSIA TRIACANTHOS,New York,Yes,6,Upper West Side,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,Yes,8,East Harlem South,Poor,Sidewalk Pit
No,ACER PLATANOIDES,New York,No,44,Borough Park,Good,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Excellent,Continuous Pit
No,GINKGO BILOBA,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Excellent,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Excellent,Sidewalk Pit
No,CARPINUS BETULUS,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,ACER RUBRUM,New York,No,7,Washington Heights South,Good,Sidewalk Pit
No,ROBINIA PSEUDOACACIA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,ACER CAMPESTRE,New York,No,8,East Harlem North,Good,Continuous Pit
No,GINKGO BILOBA,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,7,Washington Heights South,Good,Sidewalk Pit
No,QUERCUS PALUSTRIS,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,MORUS,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Excellent,Continuous Pit
No,TILIA TOMENTOSA,New York,No,6,Upper West Side,Excellent,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,1,Battery Park City-Lower Manhattan,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Good,Sidewalk Pit
No,TILIA CORDATA,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,FRAXINUS PENNSYLVANICA,New York,No,8,East Harlem North,Poor,Sidewalk Pit
No,GINKGO BILOBA,New York,No,6,Upper West Side,Excellent,Sidewalk Pit
No,GINKGO BILOBA,New York,No,7,Washington Heights South,Good,Sidewalk Pit
No,TILIA CORDATA,New York,No,6,Upper West Side,Excellent,Sidewalk Pit
No,ACER RUBRUM,New York,No,7,Washington Heights South,Poor,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,5,Lenox Hill-Roosevelt Island,Excellent,Lawn
No,GLEDITSIA TRIACANTHOS,New York,No,9,Central Harlem South,Excellent,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Excellent,Sidewalk Pit
No,QUERCUS RUBRA,New York,No,6,Lincoln Square,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,3,West Village,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,FRAXINUS PENNSYLVANICA,New York,No,9,Central Harlem South,Good,Sidewalk Pit
No,ROBINIA PSEUDOACACIA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,ZELKOVA SERRATA,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,GINKGO BILOBA,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Good,Sidewalk Pit
No,QUERCUS PALUSTRIS,New York,No,8,East Harlem North,Excellent,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,3,West Village,Excellent,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Good,Continuous Pit
No,PYRUS CALLERYANA,New York,No,8,East Harlem North,Good,Continuous Pit
No,QUERCUS PHELLOS,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,Unknown Dead,New York,No,8,East Harlem North,Dead,Sidewalk Pit
No,QUERCUS PALUSTRIS,New York,Yes,8,East Harlem South,Good,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Good,Continuous Pit
No,GLEDITSIA TRIACANTHOS,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,CERCIS CANADENSIS,New York,Yes,8,East Harlem North,Poor,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Good,Continuous Pit
No,FRAXINUS PENNSYLVANICA,New York,No,8,East Harlem North,Good,Continuous Pit
No,ACER PSEUDOPLATANUS,New York,No,5,Yorkville,Poor,Continuous Pit
No,STYPHNOLOBIUM JAPONICUM,New York,No,1,Battery Park City-Lower Manhattan,Good,Continuous Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,2,East Village,Good,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,9,Central Harlem South,Excellent,Sidewalk Pit
No,TILIA AMERICANA,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Excellent,Sidewalk Pit
No,ZELKOVA SERRATA,New York,No,6,Upper West Side,Excellent,Sidewalk Pit
No,GINKGO BILOBA,New York,No,8,East Harlem North,Poor,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,Yes,8,East Harlem South,Good,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,5,Yorkville,Good,Continuous Pit
No,ACER SACCHARINUM,New York,No,1,Lower East Side,Poor,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,1,Chinatown,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,1,Battery Park City-Lower Manhattan,Good,Sidewalk Pit
No,ZELKOVA SERRATA,New York,No,8,East Harlem South,Poor,Sidewalk Pit
No,ROBINIA PSEUDOACACIA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,ROBINIA PSEUDOACACIA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,1,Battery Park City-Lower Manhattan,Good,Sidewalk Pit
No,ROBINIA PSEUDOACACIA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,6,Upper West Side,Poor,Sidewalk Pit
No,QUERCUS PALUSTRIS,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Excellent,Sidewalk Pit
No,ROBINIA PSEUDOACACIA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,3,Clinton,Good,Sidewalk Pit
No,TILIA CORDATA,New York,No,2,East Village,Excellent,Sidewalk Pit
No,GINKGO BILOBA,New York,No,6,Clinton,Poor,Sidewalk Pit
No,QUERCUS RUBRA,New York,No,6,Upper West Side,Excellent,Sidewalk Pit
No,PYRUS CALLERYANA,New York,Yes,3,West Village,Good,Sidewalk Pit
No,QUERCUS PALUSTRIS,New York,No,6,Clinton,Poor,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Good,Sidewalk Pit
No,STYPHNOLOBIUM JAPONICUM,New York,No,3,West Village,Good,Sidewalk Pit
No,GINKGO BILOBA,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,CELTIS OCCIDENTALIS,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,TILIA CORDATA,New York,Yes,3,West Village,Good,Sidewalk Pit
No,UNKNOWN,New York,No,6,Upper West Side,Good,Continuous Pit
No,GINKGO BILOBA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Excellent,Sidewalk Pit
No,ACER RUBRUM,New York,No,7,Washington Heights South,Good,Continuous Pit
No,TILIA AMERICANA,New York,No,2,East Village,Excellent,Sidewalk Pit
No,GINKGO BILOBA,New York,No,6,Lincoln Square,Good,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Poor,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,44,Borough Park,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,TILIA CORDATA,New York,No,6,Clinton,Good,Sidewalk Pit
No,ULMUS AMERICANA,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Excellent,Sidewalk Pit
No,FRAXINUS PENNSYLVANICA,New York,No,3,West Village,Excellent,Sidewalk Pit
No,GINKGO BILOBA,New York,Yes,3,West Village,Excellent,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,2,East Village,Good,Sidewalk Pit
No,ZELKOVA SERRATA,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,6,Upper West Side,Excellent,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,7,Washington Heights South,Good,Sidewalk Pit
No,TILIA CORDATA,New York,No,3,West Village,Good,Sidewalk Pit
No,TILIA CORDATA,New York,No,6,Clinton,Good,Sidewalk Pit
No,GINKGO BILOBA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,PLATANUS ACERIFOLIA,New York,No,8,East Harlem South,Excellent,Continuous Pit
No,PLATANUS ACERIFOLIA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,QUERCUS RUBRA,New York,No,6,Lincoln Square,Excellent,Sidewalk Pit
No,ULMUS AMERICANA,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,TILIA AMERICANA,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,ACER RUBRUM,New York,No,9,Central Harlem South,Good,Sidewalk Pit
No,ACER RUBRUM,New York,Yes,8,East Harlem North,Good,Sidewalk Pit
No,TILIA AMERICANA,New York,No,8,East Harlem North,Excellent,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,TILIA CORDATA,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,PYRUS CALLERYANA,New York,No,8,East Harlem South,Excellent,Sidewalk Pit
No,TILIA TOMENTOSA,New York,No,1,Chinatown,Good,Sidewalk Pit
No,ACER CAMPESTRE,New York,No,8,East Harlem North,Good,Continuous Pit
No,GLEDITSIA TRIACANTHOS,New York,No,2,East Village,Poor,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,6,Upper West Side,Poor,Sidewalk Pit
