program_code,site_id,program_name,class_most_recent_assessment_year,ecers_personal_care_routines_score,supportive_environment_survey_percent_positive,collaborative_teachers_survey_percent_positive,ecers_language_reasoning_score,ecers_observation_average_score
25QBIZ,RAEW,Preschool R Us II,2016-17 School Year,4.3,0.98,,7.0,5.4
02M111,02M111,P.S. 111 Adolph S. Ochs,2016-17 School Year,2.0,1.0,0.85,3.3,3.3
27Q066,25Q193,P.S. 66 Jacqueline Kennedy Onassis,,2.3,1.0,0.93,5.5,3.8
16KBNL,KBLI,Bedford Stuyvesant ECDC 265,2014-15 School Year,2.8,,,4.8,4.0
14K132,13K305,P.S. 132 The Conselyea School,2015-16 School Year,1.7,1.0,0.92,6.3,4.3
17KBJH,KBAZ,All My Children Day Care 10,2014-15 School Year,2.0,1.0,,4.8,3.5
20KBPT,KBOF,NYL - William O'Connor,2015-16 School Year,3.0,0.87,,7.0,5.4
18KBPI,KBNC,Breukelen Head Start,2015-16 School Year,2.5,,,5.3,3.9
03MAVA,MAWJ,Bloomingdale Family Program 2,,2.7,,,4.8,3.7
27Q146,26Q031,P.S. 146 Howard Beach,,2.5,0.95,0.91,6.3,5.2
02M130,02M130,P.S. 130 Hernando De Soto,2016-17 School Year,3.0,1.0,0.96,6.8,4.5
20K204,19K306,P.S. 204 Vince Lombardi,,2.5,0.98,0.92,5.5,4.1
29Q052,27Q207,P.S. 52 Queens,,1.8,0.93,0.9,6.3,3.9
02M033,02M033,P.S. 33 Chelsea Prep,,2.8,0.97,0.78,6.3,4.8
18KATX,KADN,"Hebrew Academy for Special Children, INC.",,2.6,,,3.3,3.6
14KBJI,KBBB,Marcy Children's Center,2014-15 School Year,2.7,0.92,,4.0,4.0
07X025,06M348,P.S. 25 Bilingual School,,2.5,1.0,0.79,5.8,4.0
02M042,02M042,P.S. 42 Benjamin Altman,2015-16 School Year,2.5,1.0,0.96,5.3,4.4
02M281,02M281,The River School,2015-16 School Year,2.5,1.0,1.0,7.0,4.9
25Q120,23K446,P.S. 120 Queens,2016-17 School Year,2.5,0.98,0.88,4.8,3.9
31R038,30Q069,P.S. 38 George Cromwell,,1.8,0.99,0.96,6.0,3.9
17KBKP,KBFC,All My Children # 11,2014-15 School Year,2.5,1.0,,6.3,4.2
26Q159,Z022,P.S. 159,2016-17 School Year,2.5,0.93,0.94,5.5,4.5
22KBQX,KBPP,GET SET KINDERGARTEN SCHOOL SITE - Cortelyou,2015-16 School Year,2.5,1.0,,5.5,3.3
22K193,21K100,P.S. 193 Gil Hodges,2016-17 School Year,2.2,0.96,0.83,5.0,3.5
21K177,20K180,P.S. 177 The Marlboro,2016-17 School Year,1.3,0.96,0.94,6.3,5.1
25Q021,23K184,P.S. 21 Edward Hart,2014-15 School Year,1.2,0.98,0.92,4.8,3.7
32K377,31R011,P.S. 377 Alejandrina B. De Gautier,2016-17 School Year,2.3,0.88,0.78,5.3,3.3
28Q174,27Q097,P.S. 174 William Sidney Mount,2016-17 School Year,3.2,0.95,0.74,6.3,5.2
08X392,08X138,Bronx Delta School,2015-16 School Year,2.5,0.93,0.95,7.0,4.1
15KBMT,KBKH,OPEN HOUSE NURSERY SCHOOL,,2.8,,,5.8,4.7
13K003,12X195,P.S. 3 The Bedford Village,2016-17 School Year,3.0,0.91,0.92,5.8,3.9
84X491,31R044,Academic Leadership Charter School,2016-17 School Year,2.3,0.95,0.74,3.5,3.2
08X093,Z028,P.S. 93 Albert G. Oliver,2016-17 School Year,1.0,0.89,0.91,4.3,2.7
02M126,02M126,P.S.  126 Jacob August Riis,2015-16 School Year,2.3,1.0,0.88,4.8,3.8
15KBMU,KBKJ,%ACE Early Childhood Center,2015-16 School Year,1.8,1.0,,4.5,3.7
31R056,30Q151,P.S. 56 The Louis Desario School,,2.0,0.99,0.91,5.3,3.8
13KCQE,MACU,Stuyvesant Heights Day Care/New Vision One,2016-17 School Year,2.3,1.0,,4.8,4.1
21KAFZ,31R080,HIDEC,2015-16 School Year,1.5,0.96,,4.5,3.6
17K532,17K091,New Bridges Elementary,2016-17 School Year,2.3,0.96,0.88,5.5,3.7
31R861,Z058,Staten Island School of Civic Leadership,2016-17 School Year,2.2,1.0,0.84,4.8,3.9
10X360,10X077,P.S. 360,,2.5,0.95,0.81,5.5,5.2
27QAVE,QAYU,DE ANNA LEARNING CENTER,,1.5,,,6.0,4.4
30QBHR,RACL,Kathy's Day Care,2016-17 School Year,2.8,1.0,,5.0,4.1
16KBKK,KBEZ,Friends of Crown Heights 29,2014-15 School Year,2.8,1.0,,5.5,4.6
24Q229,Z012,P.S. 229 Emanuel Kaplan,2014-15 School Year,1.8,1.0,0.91,5.5,4.1
27Q362,26Q213,Wave Preparatory Elementary School,,2.0,1.0,0.92,6.0,4.0
05M046,04M171,P.S. 46 Arthur Tappan,,2.8,1.0,0.88,5.5,3.9
12X150,Z037,P.S. 150 Charles James Fox,,2.8,1.0,0.89,5.0,3.8
25Q129,23K599,P.S. 129 Patricia Larkin,2016-17 School Year,1.3,0.97,0.94,5.0,4.2
20KAOA,84Q705,Yeshiva HeadStart 40th Street,2015-16 School Year,2.6,0.99,,5.3,5.3
06MAXL,MBAG,Our Lady Queen of Martyrs,2014-15 School Year,,,,,
17KBOI,KBMA,Joan Watkins Corp D/B/A Pre-School Minds DCC,2016-17 School Year,3.5,1.0,,5.8,5.5
18KBOX,KBMP,John F. Kennedy ECDC,2014-15 School Year,,,,,
17K091,16K005,P.S. 91 The Albany Avenue School,2016-17 School Year,3.7,0.96,0.88,5.0,4.3
31R019,29Q181,P.S. 19 The Curtis School,2016-17 School Year,2.3,0.98,0.85,5.5,4.9
11X097,10X340,P.S. 97 Bronx,2016-17 School Year,1.7,0.9,0.77,5.3,3.5
31R042,30Q078,P.S. 42 Eltingville,2014-15 School Year,3.5,0.96,0.91,6.0,4.9
31R018,29Q176,P.S. 18 John G. Whittier,2016-17 School Year,1.8,0.97,0.75,3.8,3.3
15K001,14K110,P.S. 1 The Bergen,,2.3,0.99,0.72,5.5,3.8
04M057,03M185,James Weldon Johnson,,2.0,0.85,0.84,3.0,2.7
29QAXV,QBEK,REDEEMER LUTHERAN CHURCH AND NURSERY SCHOOL,2016-17 School Year,2.7,1.0,,6.3,4.7
21KBBE,KAOV,PAL Carey gardens,2014-15 School Year,1.7,1.0,,3.8,3.7
22KASI,KABF,Cortelyou Early Childhood Center,2016-17 School Year,2.7,0.97,,5.8,5.2
31R065,30Q228,P.S. 65 The Academy of Innovative Learning,2016-17 School Year,1.3,1.0,0.97,3.0,2.9
01M063,01M063,The STAR Academy - P.S. 63,,2.5,1.0,0.88,3.5,3.3
31R006,29Q134,P.S. 6 Corporal Allan F. Kivlehan School,2016-17 School Year,2.0,,0.95,6.0,5.1
14K414,14K084,Brooklyn Arbor Elementary School,2014-15 School Year,3.0,1.0,0.88,5.5,4.9
08X333,08X119,P.S. 333 - The Museum School,2014-15 School Year,1.8,0.88,0.84,3.3,2.7
22K052,Z073,P.S. 52 Sheepshead Bay,2016-17 School Year,2.3,0.97,0.96,3.5,2.7
04M155,04M083,P.S. 155 William Paca,2016-17 School Year,2.2,,0.91,2.0,2.3
14K034,13K133,P.S. 34 Oliver H. Perry,,2.5,0.96,0.88,6.0,4.0
19K108,18K114,P.S. 108 Sal Abbracciamento,2016-17 School Year,1.7,0.98,0.91,5.3,4.1
15KBYJ,KBWQ,"Al Madinah School, Inc.",2015-16 School Year,2.8,0.89,,5.5,4.6
09X163,09X053,P.S. 163 Arthur A. Schomburg,2016-17 School Year,1.5,1.0,0.64,2.5,2.2
26QAUT,QAYK,All My Children Day Care 2,2015-16 School Year,2.7,,,5.0,4.4
29Q118,27Q253,P.S. 118 Lorraine Hansberry,2016-17 School Year,4.2,0.98,0.93,6.8,5.6
26Q191,25Q022,P.S. 191 Mayflower,,3.5,1.0,0.95,6.3,4.7
30Q127,28Q220,P.S. 127 Aerospace Science Magnet,2016-17 School Year,3.8,1.0,0.76,6.0,4.8
14K196,14K017,P.S. 196 Ten Eyck,2016-17 School Year,1.2,0.97,0.94,1.5,1.9
12X006,11X111,P.S. 6 West Farms,2016-17 School Year,2.2,0.97,0.91,5.0,3.5
18K244,17K375,$P.S. 244 Richard R. Green,2015-16 School Year,2.8,0.96,0.71,5.5,4.7
13KBLM,KBJE,Salvation Army - Bedford,2015-16 School Year,3.0,0.8,,4.5,3.3
20KABD,31R053,Bais Tziporah,2016-17 School Year,2.3,1.0,,5.8,4.3
04M096,04M007,P.S. 96 Joseph Lanzetta,,3.7,,0.68,6.3,4.3
22K198,21K188,P.S. 198 Brooklyn,2016-17 School Year,2.6,1.0,0.85,3.8,3.4
18KBQW,KBPO,Get Set Kindergarten School - Linden,2014-15 School Year,1.8,1.0,,6.3,4.1
25Q193,24Q088,P.S. 193 Alfred J. Kennedy,2016-17 School Year,2.3,0.98,0.97,5.0,4.1
22KBFD,KAXC,Saint Marks,2014-15 School Year,3.2,0.97,,5.3,3.9
11X160,11X078,P.S. 160 Walt Disney,2015-16 School Year,2.7,0.92,0.82,3.0,3.3
31R060,30Q212,P.S. 60 Alice Austen,,2.3,0.95,0.8,5.3,4.5
23K178,22K194,P.S. 178 Saint Clair Mckelway,,1.8,0.98,0.95,5.5,4.0
11XAEF,XAOK,Saint Mary School,2015-16 School Year,2.5,,,5.3,4.6
25Q079,23K327,P.S. 79 Francis Lewis,,3.2,0.96,0.89,6.3,4.4
16KBNP,KBLL,Community Parents Head Start,2015-16 School Year,2.5,1.0,,5.0,3.7
32KBKE,KBEB,LSSMNY: Early LIFE Children's Center 9,2014-15 School Year,3.7,,,4.8,5.1
24Q343,23K165,The Children's Lab School,2016-17 School Year,3.5,0.9,0.96,4.5,4.2
20K192,19K273,P.S. 192 - The Magnrt School for Math and Science Inquiry,,2.2,,0.87,5.8,3.8
11X106,10X360,P.S. 106 Parkchester,,1.7,0.98,0.9,5.5,3.7
22K152,21K099,School of Science & Technology,2016-17 School Year,1.5,0.84,0.9,5.8,4.5
01M019,01M019,P.S. 19 Asher Levy,2016-17 School Year,2.7,0.96,0.91,5.0,3.9
15K029,14K147,P.S. 29 John M. Harrigan,2015-16 School Year,2.5,0.94,0.92,5.5,3.5
15K015,14K120,P.S. 15 Patrick F. Daly,,2.5,0.98,0.91,5.3,3.8
25Q029,23K298,P.S. 29 Queens,,3.2,1.0,0.85,5.5,4.2
16K309,15K676,P.S. 309 The George E. Wibecan Preparatory Academy,2016-17 School Year,3.0,0.97,0.82,4.3,4.0
14KBMA,KBJP,Tiferes Bnos,2014-15 School Year,3.8,1.0,,5.3,4.9
14KBMC,KBJR,Small World,2016-17 School Year,3.0,0.98,,5.5,4.1
32KBSA,KBQF,Bushwick United HDFC 2,2015-16 School Year,2.5,1.0,,3.5,3.1
10XAPD,,Riverdale Y Early Childhood Program,2016-17 School Year,2.8,0.98,,6.8,5.0
19KABU,31R059,BE-ER HAGOLAH INSTITUTES,2015-16 School Year,3.2,,,3.5,3.8
19KBPA,KBMU,Boulevard Nursery School,2014-15 School Year,3.3,,,5.3,3.9
15K516,15K038,Sunset Park Avenues Elementary School,2015-16 School Year,2.2,0.97,0.91,5.3,4.0
32K075,Z070,P.S. 75 Mayda Cortiella-,2016-17 School Year,1.7,0.94,0.83,5.0,4.1
17KAYU,KAJR,"BAMBI Day Care CENTER, INC.",2016-17 School Year,3.5,0.97,,7.0,5.5
19KBPD,KBNA,Sylvia Klein Child Care Center,2014-15 School Year,2.8,,,4.8,4.2
24Q058,22K251,P.S. 58 - The School of Heroes,2016-17 School Year,4.8,0.95,0.75,5.3,4.9
06M513,06M189,Castle Bridge School,2015-16 School Year,2.2,0.91,0.96,5.5,4.3
24Q102,22K361,P.S. 102 Bayview,2016-17 School Year,3.0,1.0,0.86,6.8,5.3
30Q234,29Q037,P.S. 234,2016-17 School Year,4.5,0.94,0.82,5.3,5.6
29Q136,27Q316,P.S. 136 Roy Wilkins,2016-17 School Year,3.7,1.0,0.92,6.0,5.4
04M102,04M037,P.S. 102 Jacques Cartier,,2.5,0.97,0.77,4.8,3.8
21KBQL,KBPG,SHOREFRONT YM-YWHA,2015-16 School Year,2.4,0.98,,4.8,4.4
17KBDT,KASZ,Mary Bobb Learning Academy,2016-17 School Year,3.0,1.0,,4.8,3.8
32K145,31R004,P.S. 145 Andrew Jackson,,2.2,1.0,0.91,6.3,4.4
32KBRZ,KBQE,Bushwick United HDFC 3,2014-15 School Year,2.3,,,4.8,3.7
27Q123,26Q026,P.S. 123,2016-17 School Year,1.8,0.95,0.9,3.8,3.0
15K058,14K257,P.S. 58 The Carroll,,1.5,1.0,0.93,4.5,3.4
30QAYX,QBHB,Saint Joseph School,2015-16 School Year,3.3,1.0,,6.3,4.9
04M007,03M163,P.S. 7 Samuel Stern,,2.5,1.0,0.83,5.5,4.3
20KBPP,KBNT,Georgia L. Mcmurray Bat Kids Center,,2.8,,,6.3,4.7
09X274,09X073,The New American Academy at Roberto Clemente State Park,2014-15 School Year,2.8,1.0,0.94,7.0,5.4
21KATZ,KADP,Neptune Avenue Head Start,2015-16 School Year,2.7,0.99,,4.8,3.3
02M158,02M158,P.S. 158 Bayard Taylor,2015-16 School Year,2.3,0.99,0.84,4.0,3.5
08X182,08X100,P.S. 182,2016-17 School Year,1.3,0.95,0.69,3.5,3.1
84M351,31R030,Success Academy Charter School - Harlem 1,,,,,,
17KBLA,KBGJ,"The Little Darlings Day Care Center, Inc.",2016-17 School Year,2.5,1.0,,6.5,4.6
18K115,17K191,p.s. 115 daniel mucatel school,2016-17 School Year,2.5,1.0,0.93,2.3,2.7
13KBLI,KBGU,Young Minds Day Care Center,2016-17 School Year,2.6,1.0,,5.0,3.7
15K118,14K297,The Maurice Sendak Community School,2015-16 School Year,2.7,1.0,0.97,5.3,3.7
12X463,12X067,Urban Scholars Community School,2016-17 School Year,1.8,1.0,0.93,3.0,2.9
20KBPY,KBON,Smart Start Early Childhood Center,2014-15 School Year,3.2,1.0,,6.3,5.1
21K153,20K179,P.S. 153 Homecrest,2016-17 School Year,2.5,0.96,0.84,5.5,4.5
01MATU,MAUW,Grand St Settlement Head Start Center,2016-17 School Year,4.0,,,4.3,4.5
30QAYI,QBGI,Brite Adventure Center (30th Avenue),2016-17 School Year,2.5,0.97,,6.0,3.9
19K007,17K705,P.S. 7 Abraham Lincoln,,2.2,0.92,0.83,5.0,4.3
25Q022,23K284,P.S. 22 Thomas Jefferson,2016-17 School Year,1.0,0.97,0.91,4.5,3.7
31R054,30Q148,P.S. 54 Charles W. Leng,,2.5,0.97,0.91,4.8,3.6
17KBNV,KBLT,Friends of Crown Heights #16,2016-17 School Year,2.7,,,5.3,3.8
31R036,30Q017,P.S. 36 J. C. Drumgoole,2016-17 School Year,3.0,0.94,0.74,5.5,4.7
04MAWA,MAXS,Union Washington Child Care Center,2014-15 School Year,3.8,,,6.5,4.6
05M133,05M036,P.S. 133 Fred R Moore,,2.5,1.0,0.68,4.0,4.0
10X023,09X236,P.S. 23 The New Children's School,2016-17 School Year,2.2,0.96,0.89,5.3,3.4
84M382,31R031,DREAM Charter School,2016-17 School Year,2.7,0.92,0.81,5.5,4.7
19KBRP,KBQA,Friends of Crown Heights Educational Center #5,2015-16 School Year,,,,,
13KBLK,KBIS,Bedford Stuyvesant ECDC 5Q,2016-17 School Year,6.5,1.0,,5.8,5.5
27QAVS,QBAB,SAINT JOHN'S LUTHERAN CHURCH,2016-17 School Year,2.8,1.0,,5.5,4.8
25Q169,24Q081,P.S. 169 Bay Terrace#,,2.3,0.98,0.97,6.3,3.8
15K230,15K024,P.S. 230 Doris L. Cohen,2015-16 School Year,2.4,0.99,0.92,5.5,3.9
11X357,11X106,Young Voices Academy of the Bronx,2015-16 School Year,2.7,1.0,0.99,5.3,4.3
05M030,04M146,P.S. 30 Hernandez/Hughes,2016-17 School Year,2.5,0.95,0.86,6.0,4.9
16K025,15K130,P.S. 25 Eubie Blake School,2014-15 School Year,2.0,0.81,0.99,5.8,3.6
12X211,11X567,P.S. 211,2016-17 School Year,1.8,0.96,0.72,3.8,3.4
27Q047,25Q163,P.S. 47 Chris Galas,,3.3,1.0,0.86,6.3,4.6
27Q051,25Q164,P.S. 51,2015-16 School Year,3.2,0.95,0.95,7.0,4.8
19KBDC,KASI,Cypress Hills CCC,2014-15 School Year,2.8,1.0,,3.5,3.5
28Q101,27Q051,P.S. 101 School in the Gardens,2016-17 School Year,1.8,1.0,0.93,6.0,4.4
17K138,16K025,P.S. 138 Brooklyn,,2.5,1.0,0.94,6.3,4.0
15KBNA,KBKU,Sunset Park Children's School,2016-17 School Year,2.8,0.95,,6.3,5.2
19KBPL,KBNL,Recreation Rooms and Settlement Starrett Early Learning,2016-17 School Year,5.7,0.98,,6.0,5.0
