ela_level_4,math_level_4,math_l3_l4_1,grade_8,grade_1,ell_bengali_1,female_1,grade_6,grade_k,ela_level_1,ell_russian,ela_test_takers,asian_1,math_level_3,ell_other_1
s,s,s,s,,,s,s,,s,,s,s,s,
s,s,s,,s,,54.1%,,s,s,,16,s,s,
s,s,s,,,,s,,,s,,8,s,s,
,,,,s,,s,,,,,,s,,
s,s,s,,17,,55.9%,,15,7,,17,s,s,
,,,,,s,50.0%,,14,,s,,s,,s
s,s,s,,s,,s,,s,s,,s,s,s,
s,s,s,,23,,51.9%,,21,s,,15,31.6%,s,
67,83,98.9%,,29,,52.3%,,25,s,,90,93.2%,6,
s,s,s,,s,,s,,,s,,s,s,s,
,,,,,,s,,,,,,s,,
,,,,,s,s,,s,,s,,s,,s
,,,,19,,62.5%,,13,,,,s,,
,,,,s,s,s,,s,,s,,s,,s
14,22,97.1%,,,,58.3%,,,s,,35,s,12,
,,,,,,s,,s,,,,s,,
,,,,,s,s,,s,,s,,s,,s
s,s,s,,s,,56.3%,,s,9,,14,s,s,
,,,,33,,64.4%,,26,,,,s,,
s,s,s,,s,,51.7%,,s,s,,16,s,s,
61,79,95.6%,,32,,53.3%,,25,s,,88,35.6%,7,
s,s,s,13,,,53.6%,6,,21,,28,s,s,
s,s,s,,s,,s,,,s,,s,s,s,
s,s,s,,17,s,45.3%,,19,s,s,10,s,s,s
,,,,11,,60.9%,,s,,,,s,,
s,s,s,,s,,s,,,s,,s,s,s,
s,s,s,s,7,s,52.7%,8,,24,s,55,s,s,s
s,s,s,,,,47.1%,,,s,,41,s,14,
s,11,39.4%,,,,39.2%,s,,s,,71,s,17,
s,s,s,,,s,s,,,s,s,s,s,s,s
s,s,s,,13,s,57.5%,,15,18,s,38,s,s,s
s,s,s,s,,,s,,,s,,s,s,s,
,,,,s,s,s,,,,s,,s,,s
s,s,s,,,s,54.2%,24,,17,s,23,s,s,s
,,,,18,,33.3%,,6,,,,s,,
s,s,s,,9,,47.5%,,s,12,,17,s,s,
s,s,s,,,,s,,,s,,11,s,8,
,,,,,,45.2%,,31,,,,s,,
,,,,s,,s,,,,,,s,,
s,,,,,,s,,,s,,s,s,,
s,s,s,,s,,s,,s,s,,6,s,s,
s,s,s,58,,,50.0%,24,,71,,101,s,s,
s,s,s,,,,s,,,s,,s,s,s,
15,24,s,,7,,56.5%,,s,s,,29,21.7%,s,
s,s,s,,s,,43.8%,,8,s,,8,s,s,
s,s,s,,,,s,,,s,,s,s,s,
s,s,s,,s,,35.3%,,s,s,,12,s,s,
,,,,s,,46.7%,,s,,,,s,,
s,s,s,7,,s,47.4%,,,10,s,19,s,s,s
s,s,s,,s,,43.8%,,s,s,,7,s,s,
s,s,s,,s,,s,,,s,,s,s,s,
s,s,s,,,s,31.4%,s,,14,s,34,s,s,s
s,s,s,14,11,,33.0%,17,s,41,,69,s,s,
47,57,90.8%,,32,,47.2%,,23,s,,86,13.9%,22,
,,,,,s,s,,s,,s,,s,,s
6,9,s,,s,,s,,s,s,,11,s,s,
12,17,s,,s,,42.4%,,s,s,,21,36.4%,s,
,,,,s,,s,,s,,,,s,,
s,s,s,,s,,60.6%,,s,6,,11,s,s,
s,s,s,,19,,60.6%,,12,s,,41,s,s,
,,,,,,s,,s,,,,s,,
s,s,s,,,,s,,s,s,,6,s,s,
6,s,s,30,,,48.3%,29,,21,,81,s,s,
9,9,77.1%,,10,,60.3%,,9,s,,35,17.5%,18,
s,s,s,,,s,s,,,s,s,s,s,s,s
s,s,s,,,,s,,,s,,s,s,s,
s,s,s,s,,,s,s,,s,,10,s,s,
s,s,s,,,,s,,,s,,10,s,s,
,,,,,,s,,,,,,s,,
,,,,s,s,s,,s,,s,,s,,s
s,s,s,,s,,s,,s,s,,8,s,s,
s,s,s,31,,,33.3%,33,,47,,83,s,s,
s,s,s,,10,,64.7%,,s,s,,s,s,s,
55,75,97.6%,,27,,53.0%,,19,s,,85,11.6%,8,
s,s,s,,s,,43.8%,,s,s,,10,s,s,
s,s,s,s,,,s,,,s,,s,s,s,
66,188,62.9%,,96,,51.1%,,105,121,,491,64.2%,120,
s,s,s,,s,,62.2%,,8,s,,20,s,s,
s,s,s,,s,,s,,,s,,s,s,s,
s,s,s,,10,s,46.6%,,s,9,s,17,s,s,s
,,,,s,,s,,s,,,,s,,
,s,s,,,,s,,,,,,s,s,
,,,,,,s,,,,,,s,,
,,,,s,,s,,,,,,s,,
260,292,97.7%,,116,,50.1%,,100,s,,345,37.2%,45,
14,24,s,,17,,59.8%,,19,s,,30,s,s,
s,s,s,,,,35.0%,s,,s,,18,s,s,
s,s,s,,s,,50.0%,,,6,,12,s,s,
s,s,s,,14,,37.3%,,6,17,,44,s,s,
s,s,s,,18,,56.9%,,9,s,,47,s,s,
,,,,,,47.4%,,19,,,,s,,
53,65,75.4%,,72,,53.6%,,81,s,,170,2.5%,64,
s,7,s,,s,,53.3%,,s,s,,9,s,s,
s,s,s,,,,s,,,s,,s,s,s,
16,20,s,,7,,36.4%,,,s,,22,100.0%,s,
,,,,16,,72.7%,,6,,,,s,,
s,s,s,12,,,54.2%,s,,12,,21,s,s,
,,,,8,,60.0%,,7,,,,s,,
s,s,s,,,,57.1%,28,,18,,27,s,s,
s,s,s,,s,,s,,,6,,10,s,s,
,s,s,,,,s,,,,,,s,s,
s,s,s,,s,,s,,s,s,,s,s,s,
36,40,71.3%,,42,,56.6%,,48,s,,115,s,42,
s,s,s,,s,,59.1%,s,s,s,,10,s,s,
s,s,s,,8,s,43.9%,,s,s,s,18,s,s,s
s,7,34.8%,22,,,48.6%,24,,23,,66,s,17,
,,,,,s,s,,,,s,,s,,s
,,,,s,,s,,s,,,,s,,
59,82,98.9%,,32,,47.8%,,,s,,93,70.7%,10,
s,s,s,,,,s,,,s,,s,s,s,
s,s,s,14,,s,44.0%,s,,15,s,23,s,s,s
s,s,s,,6,,50.0%,,6,s,,6,s,s,
s,s,s,,,,s,,,s,,6,s,s,
s,s,s,s,s,,56.1%,s,,s,,40,s,14,
s,s,s,s,,,s,s,,s,,8,s,s,
,,,,s,,s,,s,,,,s,,
s,s,s,,7,,56.3%,,,s,,s,62.5%,s,
,s,s,,,,s,,,,,,s,s,
60,77,98.8%,,32,,46.6%,,25,s,,84,44.3%,6,
s,s,s,,s,,s,,s,s,,s,s,s,
s,s,s,,13,s,59.3%,,8,8,s,17,s,s,s
s,s,s,,s,,58.8%,,s,s,,8,s,s,
32,44,100.0%,,,,60.3%,,,s,,51,41.2%,7,
s,,,,s,,s,,,s,,s,s,,
s,s,s,18,,,s,,,s,,17,s,s,
s,s,s,,s,,s,,s,s,,7,s,s,
s,s,s,,,,s,s,,s,,s,s,s,
,,,,s,,s,,s,,,,s,,
s,s,s,,,,s,,,s,,s,s,s,
s,s,s,,s,,s,,,s,,s,s,s,
11,9,s,,s,,56.0%,,s,s,,14,s,s,
11,6,29.2%,24,,,51.4%,25,,12,,71,s,15,
s,s,s,,s,,s,,s,s,,s,s,s,
s,s,s,,,,55.6%,,,7,,17,s,6,
,,,,26,,45.2%,,43,,,,s,,
s,s,s,,,,s,,,s,,s,s,s,
,,,,7,s,s,,,,s,,s,,s
s,s,s,s,,,40.0%,6,,s,,15,s,7,
s,11,s,,s,,44.4%,,s,s,,13,s,s,
s,s,s,,s,,44.4%,,s,7,,16,s,s,
s,s,s,,s,,s,,,s,,7,s,s,
,,,,10,,s,,9,,,,s,,
s,s,s,,,,s,,,s,,s,s,s,
s,s,s,,s,,s,,,s,,s,s,s,
s,s,s,,s,,s,,s,s,,s,s,s,
s,s,s,,s,s,s,,s,s,s,s,s,s,s
,,,,,,s,,s,,,,s,,
,,,,,,s,,,,,,s,,
29,33,57.6%,,39,,54.0%,,42,24,,150,s,54,
,,,,s,s,s,,s,,s,,s,,s
s,s,s,,,,s,,s,s,,s,s,s,
119,142,100.0%,,53,,53.6%,,47,s,,157,38.2%,15,
106,138,96.7%,,55,,49.2%,,50,s,,151,16.6%,9,
,,,,57,,59.0%,,48,,,,97.1%,,
11,14,s,,s,,55.0%,,s,s,,22,15.0%,s,
s,s,s,,,,s,,s,s,,s,s,s,
,,,,,,s,,,,,,s,,
s,s,s,s,,,s,,,s,,s,s,s,
s,s,s,,,,s,,s,s,,s,s,s,
,,,,,,71.0%,,31,,,,s,,
,,,,s,,s,,s,,,,s,,
,,,,55,,59.8%,,42,,,,97.9%,,
s,10,39.7%,,14,,59.2%,,17,26,,78,s,21,
s,s,s,s,,,s,,,s,,s,s,s,
129,150,98.8%,,56,,45.8%,,47,s,,173,39.0%,21,
,,,,s,s,s,,,,s,,100.0%,,s
s,s,s,,,,s,,,s,,9,s,s,
,,,,,,s,,s,,,,s,,
,s,s,,,,s,,,,,,s,s,
s,s,s,,s,,s,,,s,,s,s,s,
s,s,s,,,s,s,s,,s,s,s,s,s,s
s,s,s,,s,,41.2%,,s,s,,6,s,s,
s,s,s,,48,,56.0%,,46,s,,19,s,s,
s,6,s,,8,,64.5%,,s,s,,10,32.3%,s,
,,,,38,s,58.9%,,18,,s,,96.4%,,s
s,s,s,,,,s,,s,s,,6,s,s,
s,s,s,,,,58.8%,s,s,s,,7,s,s,
s,12,35.0%,13,16,,55.4%,15,26,23,,79,s,16,
s,s,s,,,,s,s,,s,,s,s,s,
,,,,10,,61.3%,,12,,,,s,,
,,,,s,,s,,,,,,s,,
s,s,s,,14,,54.8%,,17,s,,56,s,s,
,,,,s,,s,,s,,,,s,,
s,s,s,,,,s,s,,s,,s,s,s,
s,s,s,,28,,50.0%,,19,14,,30,s,s,
s,s,s,,,,s,,,s,,s,s,s,
s,s,s,,7,,54.5%,,s,s,,10,s,s,
,,,,s,,s,,,,,,s,,
,,,,18,,41.4%,,11,,,,s,,
s,s,s,s,,,s,s,,s,,11,s,s,
s,s,s,,,,s,,,s,,s,s,s,
s,s,s,,40,,48.6%,,32,12,,35,s,s,
