job__,bin__,total_est_fee,owner_type,initial_cost,fee_status,sign_dist_from_highway,pre_filing_date,sign_illumination,job_description,job_type,sign_height_curb,sign_non_conforming,sign_sq_footage,sign_projection,house__
220591759,2097205,170.9,2,7500,STANDARD,0,2017-09-18T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,210, ,50,12,1041        
123123379,1013890,160.6,2,6900,STANDARD,0,2017-10-12T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,174, ,46,5,176         
321622623,3424736,100.0,2,351,STANDARD,0,2017-08-23T00:00:00.000,Y,"ILLUMINATED NON ADVERTISING DOUBLE FACED PROJECTING ACCESSORY SIGN. NO CHANGE TO USE, EGRESS OR OCCUPANCY.",SG,157, ,3,18,200         
220612638,2101893,100.0,2,1056,STANDARD,0,2017-08-23T00:00:00.000,,"ERECT NON ILLUMINATED TEMPORARY ACCESSORY BUSINESS BANNER ON WALL.  NOT WITHIN VIEW OF ARTERIAL HIGHWAY OR PUBLIC PARK 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,180, ,24,0,3362        
421544975,4148802,120.0,2,3750,STANDARD,0,2017-08-24T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO  CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,264, ,25,6,175-30      
421559183,4070116,150.3,1,5773,STANDARD,0,2017-09-29T00:00:00.000,Y,"INSTALL AN ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NOT WITHIN VIEW OF ARTERIAL HIGHWAY OR PUBLIC PARK 1/2 ACRE OR MORE. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,197, ,49,10,63-76       
220610649,2003879,292.4,1,13000,STANDARD,0,2017-08-09T00:00:00.000,,NON ILLUMINATED ADVERTISING SIGN ON A ROOF STRUCTURE (12'X 24')  DESIGNED FOR CHANGEABLE COPY. ALL AS PER PLANS FILED HEREWITH.,SG,420, ,288,0,441         
421541291,4162174,135.0,3,1000,STANDARD,0,2017-08-16T00:00:00.000,Y,"PROPOSE TO REPLACE SIGN FACE WITH NEW SIGN FACE ON EXISTING GROUND SIGN AND SIGN STRUCTURE. SIGN-BP LOGO,SHOP,DUNKIN DONUTS, BP INVIGORATE, ATM, LOTTERY SIGN LOCATED ON SOUTH SIDE OF HORACE HARDING EXPRESSWAY. ALL AS PER PLANS FILED HEREWITH. NO CHANGE IN USE EGRESS OR OCCUPANCY IS PROPOSED UNDER THIS APPLICATION.",SG,300, ,90,0,219-02      
420998031,4231700,201.8,2,11000,STANDARD,0,2017-08-03T00:00:00.000,Y,"ERECT ILLUMINATED NON ADVERTISING SIGN ON WALL. NO CHANGE OF USE, EGRESS OR OCCUPANCY.",SG,144, ,87,0,211-02      
321624097,3413940,100.0,2,150,STANDARD,0,2017-07-28T00:00:00.000,,"INSTALL NON-ILLUMINATED DOUBLE FACED BLADE SIGN ON WALL. NO CHANGE IN USE, EGRESS, OR OCCUPANCY",SG,156, ,2,12,1062        
321624159,3064832,100.0,2,2175,STANDARD,0,2017-08-18T00:00:00.000,,"INSTALL NON-ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,126, ,29,3,893         
123068624,1009195,100.0,2,1404,STANDARD,0,2017-08-07T00:00:00.000,Y,"ERECT ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL.  NOT WITHIN VIEW/200' OF ARTERIAL HIGHWAY OR PUBLIC PARK OF 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,144, ,12,4,101         
123085286,1036890,100.0,2,2025,STANDARD,0,2017-08-10T00:00:00.000,,"INSTALL NON-ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,144, ,27,5,130         
520307114,5153747,100.0,1,2850,STANDARD,0,2017-07-27T00:00:00.000,Y,"INSTALL NON-ILLUMINATED ACCESSORY BUSINESS SIGN. NO CHANGE IN OCCUPANCY, USE, OR EGRESS.",SG,132, ,19,0,1674        
220603210,2088065,100.0,3,715,STANDARD,0,2017-09-11T00:00:00.000,,"ERECT NON-ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NOT WITHIN VIEW/200' OF ARTERIAL HIGHWAY OR PUBLIC PARK OF 1/2 ACRE OR MORE.  NO CHANGE IN USE, EGRESS OR OCCUPANCY.",SG,120, ,11,0,2140        
421466229,4017619,140.0,2,4650,STANDARD,0,2017-08-01T00:00:00.000,Y,"INSTALL ILLUMINATED ACCESSORY BUSINESS SIGN ON WALL. NO CHANGE IN OCCUPANCY, USE OR EGRESS.",SG,207, ,31,10,22-32       
