bin,comparable_rental_1_building_classification,_comparable_rental_1_boro_block_lot,comparable_rental_2_neighborhood,brooklyn_condominium_property_neighborhood,brooklyn_condominium_property_market_value_per_sqft,comparable_rental_2_address,comparable_rental_2_market_value_per_sqft,comparable_rental_1_gross_income_per_sqft
3398632.0,D1-ELEVATOR,3-06107-0033,BOROUGH PARK,BAY RIDGE,89.0,6402 FT HAMILTON PARKWAY,77.0,20.27
3063463.0,C7-WALK-UP,3-02434-0006,WILLIAMSBURG-SOUTH,WILLIAMSBURG-SOUTH,89.0,171 SOUTH 4 STREET,73.0,23.07
3043258.0,C1-WALK-UP,3-01776-0063,BEDFORD STUYVESANT,BEDFORD STUYVESANT,52.0,159 ELLERY STREET,53.0,12.89
3390208.0,C1-WALK-UP,3-01149-0006,,CLINTON HILL,136.0,,,28.4
3256966.0,C1-WALK-UP,3-08786-0029,,SHEEPSHEAD BAY,66.0,,,17.16
3391540.0,D6-ELEVATOR,3-00221-0020,BROOKLYN HEIGHTS,DOWNTOWN-FULTON FERRY,92.0,200 CLINTON STREET,101.0,22.34
3029419.0,C1-WALK-UP,3-00822-0041,SUNSET PARK,PROSPECT HEIGHTS,67.0,423 57 STREET,17.9,8.56
3027610.0,D5-ELEVATOR,3-01156-0080,CROWN HEIGHTS,PROSPECT HEIGHTS,33.3,805 ST MARK'S AVENUE,23.2,17.37
3.03e+06,C1-WALK-UP,3-01203-0001,CROWN HEIGHTS,CROWN HEIGHTS,43.8,1226 LINCOLN PLACE,41.5,10.97
3378319.0,C1-WALK-UP,3-01789-0033,WINDSOR TERRACE,BEDFORD STUYVESANT,106.0,577 PROSPECT AVENUE,74.0,29.6
3330048.0,C1-WALK-UP,3-02494-0026,GREENPOINT,GREENPOINT,73.0,101 SUTTON STREET,66.0,21.82
3392184.0,D5-ELEVATOR,3-00056-0003,DOWNTOWN-FULTON MALL,DOWNTOWN-METROTECH,113.0,205 STATE STREET,104.0,31.8
3395987.0,D5-ELEVATOR,3-00036-0016,DOWNTOWN-FULTON FERRY,DOWNTOWN-FULTON FERRY,79.0,65 WASHINGTON STREET,174.0,24.93
,C1-WALK-UP,3-02449-0001,GREENPOINT,WILLIAMSBURG-EAST,76.0,1085 MANHATTAN AVENUE,38.0,19.33
3250585.0,C7-WALK-UP,3-00915-0038,CARROLL GARDENS,CARROLL GARDENS,67.0,356 UNION STREET,73.0,17.13
3393724.0,C1-WALK-UP,3-01281-0007,CROWN HEIGHTS,CROWN HEIGHTS,56.0,1035 WASHINGTON AVENUE,27.6,17.62
3397577.0,D1-ELEVATOR,3-06552-0070,BOROUGH PARK,BOROUGH PARK,46.6,6301 23 AVENUE,32.7,13.11
306165200.00%,D7-ELEVATOR,3-02130-0017,WILLIAMSBURG-SOUTH,WILLIAMSBURG-NORTH,65.0,367 SOUTH 2 STREET,40.3,22.22
3391418.0,D1-ELEVATOR,3-00254-0013,CARROLL GARDENS,CARROLL GARDENS,116.0,104 LUQUER STREET,97.0,30.6
3070130.0,D7-ELEVATOR,3-02130-0017,WILLIAMSBURG-SOUTH,WILLIAMSBURG-EAST,91.0,247 SOUTH 3 STREET,44.3,22.22
3378994.0,D1-ELEVATOR,3-01148-0020,WILLIAMSBURG-SOUTH,CROWN HEIGHTS,129.0,440 BERRY STREET,38.2,13.85
3393839.0,D9-ELEVATOR,3-02409-0009,WILLIAMSBURG-SOUTH,WILLIAMSBURG-NORTH,87.0,355 SOUTH 2 STREET,44.4,20.74
3393477.0,D1-ELEVATOR,3-00928-0013,PARK SLOPE,PARK SLOPE SOUTH,100.0,862 UNION STREET,69.0,17.99
3392255.0,D7-ELEVATOR,3-02396-0001,WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,75.0,367 SOUTH 2 STREET,40.3,28.5
3251605.0,C1-WALK-UP,3-02073-0033,FORT GREENE,FORT GREENE,67.0,162 ADELPHI STREET,65.0,17.31
3129738.0,D1-ELEVATOR,3-05628-0001,BOROUGH PARK,BOROUGH PARK,37.2,970 42 STREET,34.6,10.37
3341560.0,C7-WALK-UP,3-00284-0017,CARROLL GARDENS,BOERUM HILL,110.0,204 HUNTINGTON STREET,159.0,34.0
3348480.0,C7-WALK-UP,3-00182-0057,BOERUM HILL,BOERUM HILL,97.0,311 BALTIC STREET,94.0,25.1
,D9-ELEVATOR,3-01959-0027,WILLIAMSBURG-SOUTH,BRIGHTON BEACH,104.0,440 BERRY STREET,38.2,26.2
3000995.0,C7-WALK-UP,3-00182-0057,BOERUM HILL,BOERUM HILL,85.0,145 COURT STREET,107.0,25.1
3038418.0,C1-WALK-UP,3-04630-0001,FLATBUSH-NORTH,FLATBUSH-NORTH,34.9,270 EAST 92 STREET,22.39,14.75
3392419.0,D1-ELEVATOR,3-01079-0040,PARK SLOPE,PARK SLOPE SOUTH,72.0,78 PROSPECT PARK WEST,76.0,17.02
3387990.0,D6-ELEVATOR,3-00250-0030,BROOKLYN HEIGHTS,WILLIAMSBURG-SOUTH,136.0,52 CLARK STREET,117.0,45.1
3335422.0,D6-ELEVATOR,3-03782-0130,,EAST NEW YORK,19.65,,,8.91
3392431.0,D9-ELEVATOR,3-02409-0015,WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,95.0,247 SOUTH 3 STREET,44.3,21.07
3024401.0,C1-WALK-UP,3-01093-0001,PARK SLOPE,PARK SLOPE,69.0,288 6 STREET,67.0,22.03
3251011.0,C1-WALK-UP,3-01187-0066,CROWN HEIGHTS,PROSPECT HEIGHTS,34.2,993 PRESIDENT STREET,40.3,11.4
3391879.0,D5-ELEVATOR,3-02789-0011,WILLIAMSBURG-EAST,WILLIAMSBURG-EAST,84.0,68 RICHARDSON STREET,136.0,18.05
3388788.0,C1-WALK-UP,3-06792-0015,,MADISON,39.4,,,11.44
3343740.0,D1-ELEVATOR,3-01637-0001,BEDFORD STUYVESANT,BEDFORD STUYVESANT,91.0,510 QUINCY STREET,40.3,29.0
3388092.0,D9-ELEVATOR,3-02409-0011,WILLIAMSBURG-SOUTH,WILLIAMSBURG-SOUTH,70.0,228 SOUTH 3 STREET,67.0,19.25
3387960.0,D7-ELEVATOR,3-00051-0012,BEDFORD STUYVESANT,SHEEPSHEAD BAY,159.0,854 GATES AVENUE,62.0,37.4
3347208.0,C1-WALK-UP,3-02147-0021,WILLIAMSBURG-NORTH,WILLIAMSBURG-SOUTH,62.0,169 WYTHE AVENUE,73.0,13.33
3056260.0,D5-ELEVATOR,3-01946-0004,CLINTON HILL,CLINTON HILL,65.0,250 WASHINGTON AVENUE,55.0,17.2
3136754.0,C1-WALK-UP,3-05351-0008,BOROUGH PARK,BOROUGH PARK,67.0,1005 45 STREET,65.0,17.47
3320913.0,C1-WALK-UP,3-00177-0034,MIDWOOD,MIDWOOD,100.0,2011 OCEAN AVENUE,55.0,31.5
3394365.0,D9-ELEVATOR,3-02437-0003,WILLIAMSBURG-SOUTH,BUSHWICK,81.0,228 SOUTH 3 STREET,67.0,22.24
3387992.0,D9-ELEVATOR,3-02305-0018,DOWNTOWN-FULTON MALL,WILLIAMSBURG-SOUTH,93.0,65 HOYT STREET,74.0,33.4
3161689.0,D1-ELEVATOR,3-05578-0001,,BENSONHURST,37.2,,,12.57
3392433.0,D9-ELEVATOR,3-02421-0018,WILLIAMSBURG-SOUTH,WILLIAMSBURG-EAST,72.0,367 SOUTH 2 STREET,40.3,20.02
3029356.0,C1-WALK-UP,3-00774-0059,PROSPECT HEIGHTS,PROSPECT HEIGHTS,74.0,41 UNDERHILL AVENUE,93.0,18.8
3007961.0,C1-WALK-UP,3-00436-0022,CARROLL GARDENS,CARROLL GARDENS,73.0,104 2 PLACE,103.0,18.81
3135216.0,C1-WALK-UP,3-00925-0021,BOROUGH PARK,BOROUGH PARK,61.0,850 42 STREET,21.47,15.44
3021564.0,D1-ELEVATOR,3-01081-0043,PARK SLOPE,GOWANUS,88.0,150 PROSPECT PARK WEST,105.0,20.43
3392422.0,D9-ELEVATOR,3-02145-0018,,FLATBUSH-NORTH,155.0,,,18.02
3391309.0,C1-WALK-UP,3-01830-0079,BEDFORD STUYVESANT,BEDFORD STUYVESANT,75.0,640 LAFAYETTE AVENUE,138.0,10.4
3032183.0,C1-WALK-UP,3-01149-0006,,CROWN HEIGHTS,136.0,,,28.4
3348500.0,D9-ELEVATOR,3-02409-0015,WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,88.0,362 SOUTH 2 STREET,47.1,21.07
3391823.0,C1-WALK-UP,3-01839-0011,FLATBUSH-NORTH,BEDFORD STUYVESANT,71.0,702 EAST NEW YORK AVENUE,38.3,19.14
3251652.0,C1-WALK-UP,3-02098-0011,CLINTON HILL,FORT GREENE,66.0,407 WASHINGTON AVENUE,68.0,20.72
3251736.0,D7-ELEVATOR,3-02396-0001,WILLIAMSBURG-EAST,WILLIAMSBURG-NORTH,78.0,740 GRAND STREET,68.0,28.5
339402000.00%,D1-ELEVATOR,3-00271-0001,BROOKLYN HEIGHTS,DOWNTOWN-METROTECH,112.0,182 MONTAGUE STREET,221.0,25.2
3058206.0,D7-ELEVATOR,3-00275-0001,BROOKLYN HEIGHTS,DOWNTOWN-METROTECH,96.0,25 MONROE PLACE,119.0,24.39
3378363.0,C1-WALK-UP,3-02147-0021,WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,61.0,158 BROADWAY,50.0,13.33
3394118.0,C1-WALK-UP,3-05053-0006,FLATBUSH-CENTRAL,FLATBUSH-CENTRAL,103.0,81 CROOKE AVENUE,74.0,13.0
3389079.0,C7-WALK-UP,3-00278-0015,BOERUM HILL,BOERUM HILL,87.0,103 SMITH STREET,104.0,25.8
3391299.0,D7-ELEVATOR,3-01190-0014,,CROWN HEIGHTS,16.39,,,9.19
3391311.0,C1-WALK-UP,3-01830-0079,BEDFORD STUYVESANT,BEDFORD STUYVESANT,75.0,640 LAFAYETTE AVENUE,138.0,10.4
3350162.0,D9-ELEVATOR,3-02421-0018,WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,72.0,354 SOUTH 2 STREET,39.6,20.02
3245729.0,D1-ELEVATOR,3-05163-0048,,BRIGHTON BEACH,26.5,,,9.3
3388251.0,D9-ELEVATOR,3-02409-0008,WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,84.0,276 SOUTH 1 STREET,44.6,20.74
3391321.0,C1-WALK-UP,3-01839-0011,,BEDFORD STUYVESANT,64.0,,,19.14
3244397.0,C1-WALK-UP,3-08678-0073,SUNSET PARK,BRIGHTON BEACH,59.0,4018 5 AVENUE,56.0,14.05
3392237.0,D1-ELEVATOR,3-01148-0020,CROWN HEIGHTS,GRAVESEND,63.0,1515 ST JOHN'S PLACE,69.0,13.85
3017220.0,C7-WALK-UP,3-00657-0042,SUNSET PARK,SUNSET PARK,103.0,602 44 STREET,139.0,20.55
3388752.0,D9-ELEVATOR,3-02409-0015,WILLIAMSBURG-SOUTH,WILLIAMSBURG-CENTRAL,89.0,362 SOUTH 2 STREET,47.1,21.07
3387774.0,C1-WALK-UP,3-03388-0001,GREENPOINT,WILLIAMSBURG-EAST,134.0,113 GREENPOINT AVENUE,111.0,28.1
,C1-WALK-UP,3-02494-0026,GREENPOINT,GREENPOINT,88.0,107 GREENPOINT AVENUE,105.0,21.82
3392622.0,D2-ELEVATOR,3-02732-0005,WILLIAMSBURG-EAST,GREENPOINT,87.0,740 GRAND STREET,68.0,29.2
3168729.0,C1-WALK-UP,3-06447-0018,BATH BEACH,BATH BEACH,32.0,107 BAY 25 STREET,27.9,12.26
3017415.0,D5-ELEVATOR,3-01156-0090,CROWN HEIGHTS,SUNSET PARK,101.0,480 ST MARK'S AVENUE,105.0,37.8
3387624.0,D9-ELEVATOR,3-01959-0027,,BRIGHTON BEACH,93.0,,,26.2
3182049.0,D7-ELEVATOR,3-06767-0080,BOERUM HILL,MIDWOOD,104.0,397 ATLANTIC AVENUE,147.0,16.27
3389114.0,D9-ELEVATOR,3-02421-0018,WILLIAMSBURG-SOUTH,WILLIAMSBURG-EAST,72.0,367 SOUTH 2 STREET,40.3,20.02
3388607.0,C1-WALK-UP,3-03261-0020,BUSHWICK,CROWN HEIGHTS,27.1,1060 HANCOCK STREET,21.56,9.95
3345585.0,D7-ELEVATOR,3-00275-0001,BROOKLYN HEIGHTS,COBBLE HILL-WEST,95.0,25 MONROE PLACE,119.0,24.39
3041541.0,C7-WALK-UP,3-00714-0044,OCEAN HILL,OCEAN HILL,49.0,1631 EASTERN PARKWAY EXT,29.1,16.69
