brooklyn_condominium_property_address,comparable_rental_1_full_market_value,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_gross_sqft,comparable_rental_2_boro_block_lot
579 WASHINGTON AVENUE,3240000,5.3,43900.0,3-06034-0070
444 12 STREET,2810000,1.1,51288.0,3-01179-0037
358 COURT STREET,1390000,0.25,14050.0,3-00436-0020
1833 EAST 13 STREET,3330000,0.9,47000.0,3-06792-0015
234 SKILLMAN AVENUE,4450000,0.35,48000.0,3-02789-0011
78 SPENCER STREET,985000,,,
593 FLUSHING AVENUE,646000,0.7,21197.0,3-02424-0012
341 WALLABOUT STREET,1990000,0.6,28800.0,3-02412-0027
392 14 STREET,1400000,0.35,20562.0,3-01091-0040
4 WATER STREET,4090000,0.45,31692.0,3-00237-0037
258 RICHARDSON STREET,646000,0.85,21197.0,3-02424-0012
328 BERGEN STREET,1650000,0.6,17215.0,3-00187-0014
417 HART STREET,315000,2.3,18560.0,3-04795-0013
2511 OCEAN AVENUE,1390000,,,
381 CARLTON AVENUE,4260000,0.05,19350.0,3-02119-0010
2569 OCEAN AVENUE,776000,0.75,16280.0,3-07465-0009
279 LAKE STREET,991000,5.5,6100.0,3-01149-0006
128 NEWTON STREET,4450000,0.2,32532.0,3-02732-0005
831 43 STREET,572000,0.1,20642.0,3-00742-0046
6214 24 AVENUE,946000,2.45,14116.0,3-00925-0024
355 KINGS HIGHWAY,3050000,,,
207 PROSPECT PARK SOUTHWE,2340000,,,
886 MYRTLE AVENUE,315000,0.95,17460.0,3-03044-0029
8686 BAY PARKWAY,647000,,,
70 OCEANA DRIVE WEST,2450000,6.7,44650.0,3-01381-0062
296 COLUMBIA STREET,1020000,0.55,7000.0,3-00306-0024
460 FLUSHING AVENUE,1390000,,,
15 LYNCH STREET,646000,0.7,21197.0,3-02424-0012
5 UNKNOWN,955000,0.6,23000.0,3-02424-0016
2781A OCEAN AVENUE,1390000,,,
290 WALLABOUT STREET,2450000,0.7,21197.0,3-02424-0012
2955 BRIGHTON 4 STREET,1300000,9.0,24949.0,3-02132-0016
172 STUYVESANT AVENUE,4140000,7.3,16500.0,3-06115-0151
98 HAVEMEYER STREET,2470000,0.15,23700.0,3-02420-0043
446 KENT AVENUE,4450000,0.75,45000.0,3-02396-0001
866 EASTERN PARKWAY,717000,1.05,94596.0,3-01190-0014
2806 EAST 23 STREET,666000,,,
34 BROADWAY,2450000,0.55,21744.0,3-02421-0035
689 MYRTLE AVENUE,1390000,0.9,8025.0,3-01824-0057
241 SOUTH 2 STREET,1300000,0.1,15836.0,3-02409-0008
3165 EMMONS AVENUE,2980000,1.2,75000.0,3-07357-0001
85 NORTH 3 STREET,5310000,1.05,48000.0,3-02789-0011
224 22 STREET,726000,0.95,11520.0,3-00719-0051
95 LEXINGTON AVENUE,161000,0.5,7150.0,3-01789-0033
1764 EAST 19 STREET,1390000,,,
330 WYTHE AVENUE,3900000,2.3,65402.0,3-03168-0001
2012 JEROME AVENUE,889000,7.1,24528.0,3-01637-0001
2108 DORCHESTER ROAD,1300000,0.95,43000.0,3-05053-0028
120 OCEANA DRIVE,7750000,9.1,58430.0,3-02145-0018
6511 FT HAMILTON PARKWAY,1390000,,,
195 SPENCER STREET,985000,2.7,18105.0,3-01116-0063
299 BEDFORD AVENUE,778000,0.5,23000.0,3-02424-0016
177 TAYLOR STREET,1300000,0.45,15836.0,3-02409-0011
2421 OCEAN AVENUE,717000,,,
937 UNION STREET,3140000,0.75,42562.0,3-01156-0015
809 BEDFORD AVENUE,985000,1.05,4400.0,3-01839-0011
10002 4 AVENUE,800000,1.85,8008.0,3-05743-0021
560 STATE STREET,2000000,0.7,16800.0,3-00278-0015
266 KEAP STREET,1250000,0.2,25800.0,3-02183-0058
234 NORTH 9 STREET!,1500000,0.35,16250.0,3-02396-0027
442 ST MARK'S AVENUE%,273000,1.45,28647.0,3-01389-0016
150 MIDDLETON STREET,1990000,0.5,24126.0,3-02424-0006
302 2 STREET,3140000,0.7,35298.0,3-01093-0038
42 SKILLMAN STREET,985000,0.5,10090.0,3-01766-0047
425 14 STREET,1080000,1.15,21600.0,3-00936-0008
189 FRANKLIN AVENUE,315000,1.55,24528.0,3-01637-0001
161 WOODRUFF AVENUE,504000,0.55,31496.0,3-05074-0055
401 HICKS STREET,6810000,0.3,104370.0,3-00258-0017
40 OCEANA DRIVE,532000,0.3,42120.0,3-08668-0815
936 FULTON STREET,1180000,0.35,36000.0,3-01966-0063
107 SKILLMAN STREET,985000,1.55,24528.0,3-01637-0001
7 OCEAN PA,9220000,0.7,23400.0,3-06523-0023
336 99 STREET,395000,,,
214 AVENUE P,5880000,3.35,23641.0,3-05053-0010
86 MESEROLE AVENUE,503000,1.15,6000.0,3-02436-0026
660 4 AVENUE,1100000,0.1,6000.0,3-00642-0024
215 PARKVILLE AVENUE,800000,,,
222 PARK PLACE,679000,0.35,4120.0,3-01146-0018
63/69 STAGG STREET,1960000,1.85,13250.0,3-02495-0042
1489 EAST 8 STREET,256000,2.05,22176.0,3-05355-0012
2943 BRIGHTON 4 STREET,532000,5.4,24620.0,3-00714-0044
1364 EAST 92 STREET,1180000,,,
150 MtRTLE AVENUE,25300000,0.45,182000.0,3-00250-0030
13 LORIMER STREET,955000,0.6,23000.0,3-02424-0016
1492 BEDFORD AVENUE,1720000,0.25,18768.0,3-01185-0052
28 LYNCH STREET,646000,0.75,21744.0,3-02421-0035
384 NEW JERSEY AVENUE,592000,0.1,17600.0,3-03771-0033
35 MC DONALD AVENUE,3690000,0.8,20562.0,3-01091-0040
200 CORBIN PLACE,1750000,,,
611 BANNER AVENUE,697000,,,
159 CARLTON AVENUE,1320000,0.6,19744.0,3-01963-0028
