marketplace_id,identifier,identifier_type,asin-_fivetran_synced
MPIDRANDOM,5948022,MINSAN,B0E7STG4612-2024-08-01 08:02:17
MPIDRANDOM,5948023,SKU,B0E7STG1246-2024-05-02 01:04:13
MPIDRANDOM,5948024,UPC,B0E7STG5474-2024-03-09 07:23:00
MPIDRANDOM,5948025,ASIN,B0E7STG6072-2024-01-31 07:49:07
MPIDRANDOM,5948026,EAN,B0E7STG4480-2024-12-05 23:01:44
MPIDRANDOM,5948027,GTIN,B0E7STG5204-2024-10-18 22:19:49
MPIDRANDOM,5948028,ISBN,B0E7STG2857-2024-07-25 17:04:54
MPIDRANDOM,5948029,JAN,B0E7STG5913-2024-03-03 14:09:31
MPIDRANDOM,5948030,MINSAN,B0E7STG6775-2024-04-05 11:04:32
MPIDRANDOM,5948031,SKU,B0E7STG7251-2024-07-31 17:11:57
MPIDRANDOM,5948032,UPC,B0E7STG3615-2024-08-30 16:31:46
MPIDRANDOM,5948033,ASIN,B0E7STG6802-2024-09-21 18:43:49
MPIDRANDOM,5948034,EAN,B0E7STG8958-2024-06-12 03:06:36
MPIDRANDOM,5948035,GTIN,B0E7STG1102-2024-04-01 23:26:24
MPIDRANDOM,5948036,ISBN,B0E7STG9465-2024-03-28 23:56:54
MPIDRANDOM,5948037,JAN,B0E7STG3945-2024-07-08 05:59:48
MPIDRANDOM,5948038,MINSAN,B0E7STG1846-2024-05-18 16:20:04
MPIDRANDOM,5948039,SKU,B0E7STG9963-2024-12-27 15:53:37
MPIDRANDOM,5948040,UPC,B0E7STG4464-2024-10-14 00:50:42
MPIDRANDOM,5948041,ASIN,B0E7STG6452-2024-08-18 22:23:23
MPIDRANDOM,5948042,EAN,B0E7STG8651-2024-10-16 15:44:54
MPIDRANDOM,5948043,GTIN,B0E7STG2962-2024-04-08 04:51:04
MPIDRANDOM,5948044,ISBN,B0E7STG1843-2024-06-03 07:31:20
MPIDRANDOM,5948045,JAN,B0E7STG2877-2024-10-31 00:05:54
MPIDRANDOM,5948046,MINSAN,B0E7STG5820-2024-05-29 01:22:00
MPIDRANDOM,5948047,SKU,B0E7STG4583-2024-05-13 01:18:35
MPIDRANDOM,5948048,UPC,B0E7STG8517-2024-08-28 21:48:51
MPIDRANDOM,5948049,ASIN,B0E7STG4890-2024-07-07 11:56:55
MPIDRANDOM,5948050,EAN,B0E7STG9714-2024-07-01 04:26:22
MPIDRANDOM,5948051,GTIN,B0E7STG4951-2024-05-04 17:23:14
MPIDRANDOM,5948052,ISBN,B0E7STG9825-2024-06-15 21:07:01
MPIDRANDOM,5948053,JAN,B0E7STG6668-2024-10-28 19:07:17
MPIDRANDOM,5948054,MINSAN,B0E7STG6940-2024-04-23 18:32:00
MPIDRANDOM,5948055,SKU,B0E7STG1464-2024-03-19 00:09:06
MPIDRANDOM,5948056,UPC,B0E7STG2635-2024-10-13 08:01:43
MPIDRANDOM,5948057,ASIN,B0E7STG6311-2024-05-09 20:14:09
MPIDRANDOM,5948058,EAN,B0E7STG2301-2024-03-07 03:51:58
MPIDRANDOM,5948059,GTIN,B0E7STG7800-2024-09-06 05:38:55
MPIDRANDOM,5948060,ISBN,B0E7STG6338-2024-02-18 06:59:09
MPIDRANDOM,5948061,JAN,B0E7STG6512-2024-06-01 13:31:17
MPIDRANDOM,5948062,MINSAN,B0E7STG5084-2024-08-21 00:54:01
MPIDRANDOM,5948063,SKU,B0E7STG1689-2024-01-28 00:12:26
MPIDRANDOM,5948064,UPC,B0E7STG1501-2024-04-29 16:33:51
MPIDRANDOM,5948065,ASIN,B0E7STG3302-2024-08-25 07:18:42
MPIDRANDOM,5948066,EAN,B0E7STG4846-2024-02-10 21:33:05
MPIDRANDOM,5948067,GTIN,B0E7STG1857-2025-01-01 11:48:59
MPIDRANDOM,5948068,ISBN,B0E7STG9484-2024-05-25 01:25:09
MPIDRANDOM,5948069,JAN,B0E7STG9270-2024-05-26 03:58:08
MPIDRANDOM,5948070,MINSAN,B0E7STG1444-2024-04-30 06:21:13
MPIDRANDOM,5948071,SKU,B0E7STG4557-2024-09-12 03:08:28
MPIDRANDOM,5948072,UPC,B0E7STG4684-2024-05-11 13:40:19
MPIDRANDOM,5948073,ASIN,B0E7STG4263-2024-09-01 01:24:47
MPIDRANDOM,5948074,EAN,B0E7STG4368-2024-06-16 19:44:35
MPIDRANDOM,5948075,GTIN,B0E7STG9074-2024-03-30 18:38:20
MPIDRANDOM,5948076,ISBN,B0E7STG9062-2024-02-13 15:20:39
MPIDRANDOM,5948077,JAN,B0E7STG5938-2024-04-20 08:07:53
MPIDRANDOM,5948078,MINSAN,B0E7STG1636-2025-01-10 23:56:06
MPIDRANDOM,5948079,SKU,B0E7STG2699-2024-11-20 08:11:06
MPIDRANDOM,5948080,UPC,B0E7STG3532-2024-04-09 05:01:48
MPIDRANDOM,5948081,JAN,B0E7STG3510-2024-01-31 03:06:29
MPIDRANDOM,5948082,MINSAN,B0E7STG3787-2024-08-11 03:34:22
MPIDRANDOM,5948083,SKU,B0E7STG5917-2024-03-28 23:06:15
MPIDRANDOM,5948084,UPC,B0E7STG1691-2025-01-09 17:01:53
