unnamed_column_1,q24_in_how_many_of_your_1,q33_i_feel_like_i_belong_1,q36_my_teachers_treat_me,q30_there_is_at_least_one,q42_in_how_many_of_your,q34_my_teachers_will_always,q49_i_feel_safe_in_my_classes_1,q4_my_teachers_use_examples,q32_there_is_time_at_school,q15_during_this_school_year_1,q49_i_feel_safe_in_my_classes,q54_at_this_school_students_1,q29_my_school_expects_all_1,q11_during_this_school_year,q14_during_this_school_year,q16_during_this_school_year_1,q59_if_you_are_a_student_1,q10_i_am_presented_with,q12_during_this_school_year,q35_my_teachers_always_do_1,q44_in_how_many_of_your_1,q5_i_see_people_of_many_races_1,q47_i_feel_safe_traveling,q55_at_this_school_students,q50_at_this_school_students_1,q53_at_this_school_students_1,q64_if_you_are_a_student_1,q63_if_you_are_a_student_1,q3_my_school_encourages_and,q19_in_how_many_of_your_1,q58_if_you_are_a_student_1,q38_when_my_teachers_tell,q6_at_this_school_we_have_1,q35_my_teachers_always_do,q15_during_this_school_year,q43_in_how_many_of_your_1,q18_in_how_many_of_your_1,q8_i_feel_that_my_teachers_1,q26_in_how_many_of_your,q13_during_this_school_year,q13_during_this_school_year_1,q41_in_how_many_of_your,q24_in_how_many_of_your,q23_in_how_many_of_your,q37_most_students_treat,q36_my_teachers_treat_me_1,unnamed_column_2,q5_i_see_people_of_many_races,q20_in_how_many_of_your
P.S. 66,0.54,0.75,0.11,0.23,0.42,0.29,0.89,0.17,0.44,0.65,0.11,0.4,0.88,0.38,0.29,0.42,,0.13,0.1,0.58,0.45,0.87,0.18,0.86,0.58,0.41,,,0.18,0.75,0.78,0.29,0.76,0.42,0.35,0.41,0.81,0.96,0.34,0.38,0.62,0.53,0.46,0.37,0.25,0.89,0.56,0.13,0.33
New Dorp High School,0.53,0.87,0.04,0.17,0.47,0.11,0.96,0.17,0.36,0.71,0.04,0.27,0.94,0.24,0.27,0.54,0.8,0.07,0.05,0.83,0.3,0.91,0.09,0.74,0.26,0.23,0.75,0.91,0.08,0.78,,0.1,0.74,0.17,0.29,0.46,0.83,0.97,0.34,0.27,0.73,0.47,0.47,0.29,0.09,0.96,0.59,0.09,0.24
Achievement First Bushwick Charter School,0.83,0.9,0.01,0.09,0.3,0.06,0.98,0.12,0.21,0.67,0.02,0.16,0.96,0.19,0.33,0.5,,0.05,0.03,0.89,0.65,0.97,0.12,0.92,0.19,0.15,,,0.04,0.93,0.92,0.11,0.96,0.11,0.33,0.67,0.92,0.96,0.19,0.23,0.77,0.23,0.17,0.15,0.06,0.99,0.39,0.03,0.07
Bronx High School of Business,0.73,0.92,0.06,0.14,0.46,0.06,0.93,0.14,0.23,0.67,0.07,0.13,0.95,0.19,0.37,0.52,0.83,0.1,0.09,0.92,0.33,0.91,0.15,0.86,0.19,0.12,0.79,0.84,0.09,0.83,,0.1,0.85,0.08,0.33,0.47,0.9,0.91,0.2,0.22,0.78,0.42,0.27,0.2,0.1,0.94,0.42,0.09,0.2
Teachers College Community School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,
P.S./I.S. 087 Middle Village,0.77,0.88,0.0,0.18,0.44,0.09,0.94,0.11,0.3,0.58,0.06,0.11,0.91,0.18,0.4,0.37,,0.0,0.02,0.93,0.35,0.96,0.08,0.96,0.09,0.12,,,0.08,0.84,0.82,0.05,0.72,0.07,0.42,0.45,0.91,1.0,0.11,0.16,0.84,0.4,0.23,0.16,0.07,1.0,0.32,0.04,0.16
P.S. X721 - Stephen McSweeney School,0.85,0.9,0.07,0.12,0.38,0.07,0.94,0.08,0.1,0.46,0.06,0.27,0.94,0.1,0.48,0.41,0.9,0.1,0.08,0.91,0.71,0.9,0.09,0.83,0.29,0.26,0.67,0.85,0.11,0.86,,0.09,0.83,0.09,0.54,0.65,0.87,0.92,0.14,0.16,0.84,0.26,0.15,0.13,0.12,0.93,0.61,0.1,0.13
New Visions Charter High School for Advanced Math and Science III,0.7,0.83,0.04,0.11,0.44,0.11,0.96,0.06,0.19,0.73,0.04,0.24,0.98,0.27,0.26,0.51,0.94,0.07,0.05,0.81,0.72,0.9,0.11,0.79,0.28,0.24,0.96,0.96,0.08,0.79,,0.14,0.9,0.19,0.27,0.49,0.87,0.96,0.23,0.28,0.72,0.43,0.3,0.15,0.16,0.96,0.79,0.1,0.19
P.S./I.S. 116 William C. Hughley,0.74,0.77,0.13,0.22,0.41,0.14,0.89,0.15,0.28,0.7,0.11,0.25,0.93,0.21,0.39,0.43,,0.11,0.14,0.81,0.55,0.85,0.11,0.86,0.39,0.42,,,0.12,0.77,0.89,0.21,0.83,0.19,0.3,0.5,0.81,0.9,0.19,0.25,0.75,0.49,0.26,0.25,0.2,0.87,0.31,0.15,0.24
P.S. 188 The Island School,1.0,1.0,0.0,0.0,0.02,0.0,0.99,0.01,0.0,0.12,0.01,0.02,1.0,0.0,0.95,0.12,,0.01,0.0,1.0,0.98,0.99,0.01,0.98,0.02,0.02,,,0.01,1.0,1.0,0.0,0.99,0.0,0.88,0.98,1.0,0.99,0.0,0.0,1.0,0.02,0.0,0.0,0.0,1.0,0.7,0.01,0.0
P.S./I.S. 208,0.56,0.83,0.11,0.17,0.89,0.28,1.0,0.2,0.11,0.44,0.0,0.17,0.94,0.28,0.28,0.5,,0.0,0.06,0.83,0.5,0.88,0.08,0.89,0.28,0.11,,,0.15,0.72,0.78,0.39,0.92,0.17,0.56,0.11,0.78,1.0,0.5,0.33,0.67,0.5,0.44,0.39,0.06,0.89,0.06,0.13,0.22
Manhattan Bridges High School,0.74,0.89,0.03,0.13,0.42,0.05,0.96,0.06,0.23,0.7,0.04,0.12,0.99,0.18,0.49,0.58,0.94,0.07,0.09,0.92,0.77,0.89,0.09,0.89,0.14,0.13,0.92,0.93,0.06,0.88,,0.04,0.94,0.08,0.3,0.5,0.89,0.95,0.11,0.18,0.82,0.32,0.26,0.14,0.08,0.97,0.41,0.11,0.12
P.S. 189 The Bilingual Center,0.69,0.81,0.04,0.25,0.53,0.12,0.93,0.1,0.28,0.62,0.07,0.23,0.93,0.23,0.46,0.43,,0.04,0.09,0.83,0.42,0.95,0.18,0.94,0.31,0.29,,,0.11,0.9,0.95,0.09,0.85,0.17,0.38,0.41,0.9,0.98,0.22,0.24,0.76,0.4,0.31,0.24,0.14,0.96,0.71,0.05,0.18
South Brooklyn Community High School,0.92,0.92,0.17,0.08,0.5,0.17,1.0,0.27,0.25,0.33,0.0,0.0,0.92,0.17,0.58,0.17,0.82,0.25,0.17,0.92,0.33,0.83,0.25,0.91,0.0,0.09,1.0,0.92,0.18,0.83,,0.17,0.8,0.08,0.67,0.33,0.83,0.82,0.08,0.33,0.67,0.42,0.08,0.09,0.17,0.83,0.07,0.17,0.08
Mott Haven Village Preparatory High School,0.59,0.77,0.05,0.19,0.43,0.11,0.92,0.11,0.24,0.7,0.08,0.32,0.94,0.23,0.36,0.5,0.87,0.09,0.03,0.74,0.21,0.91,0.05,0.77,0.28,0.31,0.86,0.85,0.07,0.76,,0.1,0.85,0.26,0.3,0.43,0.86,0.98,0.34,0.32,0.68,0.44,0.41,0.22,0.13,0.95,0.28,0.09,0.23
Mott Haven Community High School,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09,1.0,1.0,0.0,0.0,0.92,0.5,1.0,0.11,1.0,0.0,0.0,1.0,1.0,0.0,0.92,,0.0,1.0,0.08,0.0,0.67,0.67,1.0,0.0,0.0,1.0,0.08,0.0,0.0,0.0,1.0,0.06,0.0,0.0
World Academy for Total Community Health High School,0.67,0.82,0.04,0.23,0.6,0.07,0.91,0.1,0.3,0.63,0.09,0.21,0.95,0.26,0.37,0.45,0.82,0.08,0.12,0.86,0.48,0.9,0.13,0.84,0.22,0.18,0.79,0.88,0.05,0.7,,0.08,0.85,0.14,0.37,0.41,0.84,0.94,0.26,0.24,0.76,0.56,0.33,0.21,0.1,0.96,0.67,0.1,0.24
Bronx Academy for Software Engineering (BASE),0.69,0.87,0.02,0.11,0.5,0.06,0.93,0.09,0.27,0.71,0.07,0.1,0.94,0.25,0.32,0.53,0.87,0.04,0.05,0.88,0.47,0.96,0.08,0.89,0.15,0.11,0.89,0.92,0.03,0.78,,0.09,0.97,0.12,0.29,0.42,0.86,0.97,0.24,0.24,0.76,0.43,0.31,0.14,0.04,0.98,0.38,0.04,0.2
International School for Liberal Arts,0.84,0.93,0.03,0.07,0.24,0.05,0.95,0.06,0.16,0.82,0.05,0.21,0.96,0.09,0.28,0.72,0.95,0.05,0.08,0.94,0.79,0.94,0.08,0.8,0.24,0.23,0.92,0.94,0.05,0.86,0.93,0.05,0.92,0.06,0.18,0.7,0.89,0.96,0.12,0.15,0.85,0.22,0.16,0.11,0.07,0.97,0.65,0.06,0.15
P.S./I.S. 217 Roosevelt Island,0.67,0.8,0.0,0.14,0.53,0.02,0.95,0.1,0.49,0.7,0.05,0.13,0.84,0.17,0.31,0.48,,0.04,0.0,0.69,0.61,0.96,0.08,1.0,0.21,0.17,,,0.05,0.92,0.77,0.15,0.86,0.31,0.3,0.51,0.82,1.0,0.25,0.28,0.72,0.55,0.33,0.22,0.02,1.0,0.56,0.04,0.13
Bronxdale High School,0.68,0.87,0.03,0.13,0.39,0.04,0.97,0.08,0.24,0.77,0.03,0.17,0.95,0.23,0.33,0.57,0.89,0.03,0.01,0.89,0.38,0.95,0.07,0.86,0.2,0.16,0.89,0.95,0.05,0.74,,0.06,0.93,0.11,0.23,0.58,0.87,0.97,0.21,0.23,0.77,0.33,0.32,0.2,0.06,0.97,0.52,0.05,0.2
Harvest Collegiate High School,0.58,0.81,0.02,0.14,0.45,0.1,0.99,0.11,0.33,0.79,0.01,0.17,0.96,0.35,0.28,0.6,0.81,0.04,0.04,0.75,0.63,0.95,0.13,0.79,0.25,0.18,0.79,0.93,0.04,0.68,,0.14,0.93,0.25,0.21,0.51,0.79,0.99,0.32,0.31,0.69,0.38,0.42,0.21,0.08,0.98,0.41,0.05,0.27
Urban Action Academy,0.78,0.85,0.04,0.13,0.48,0.07,0.92,0.11,0.22,0.6,0.08,0.27,0.94,0.26,0.33,0.43,0.85,0.07,0.06,0.84,0.63,0.95,0.09,0.75,0.24,0.28,0.82,0.9,0.09,0.78,,0.12,0.86,0.16,0.4,0.44,0.81,0.97,0.17,0.24,0.76,0.45,0.22,0.18,0.14,0.96,0.74,0.05,0.24
One World Middle School at Edenwald,0.75,0.87,0.03,0.19,0.4,0.1,0.95,0.15,0.22,0.61,0.05,0.2,0.92,0.19,0.36,0.48,,0.05,0.06,0.81,0.54,0.94,0.14,0.92,0.24,0.18,,,0.07,0.86,0.88,0.1,0.86,0.19,0.39,0.5,0.86,0.95,0.19,0.27,0.73,0.34,0.25,0.18,0.12,0.97,0.85,0.06,0.18
High School for Violin and Dance,0.6,0.82,0.03,0.09,0.48,0.13,0.97,0.07,0.26,0.67,0.03,0.23,0.96,0.25,0.4,0.5,0.83,0.07,0.06,0.83,0.4,0.93,0.16,0.81,0.3,0.28,0.78,0.9,0.07,0.73,,0.1,0.92,0.17,0.33,0.48,0.83,0.94,0.22,0.28,0.72,0.46,0.4,0.22,0.11,0.97,0.6,0.07,0.29
Benjamin Banneker Academy,0.44,0.81,0.05,0.26,0.41,0.15,0.99,0.11,0.37,0.82,0.01,0.18,0.96,0.35,0.21,0.59,0.8,0.05,0.03,0.76,0.44,0.92,0.09,0.9,0.15,0.13,0.74,0.92,0.1,0.72,,0.09,0.88,0.24,0.18,0.48,0.79,0.99,0.46,0.35,0.65,0.43,0.56,0.39,0.06,0.95,0.32,0.08,0.3
The Bronx School of Young Leaders,0.68,0.85,0.03,0.2,0.5,0.09,0.94,0.11,0.33,0.62,0.06,0.3,0.93,0.16,0.35,0.38,,0.05,0.07,0.82,0.4,0.92,0.11,0.93,0.35,0.28,,,0.06,0.85,0.88,0.12,0.89,0.18,0.38,0.41,0.82,0.97,0.23,0.27,0.73,0.49,0.32,0.28,0.13,0.97,0.69,0.08,0.23
Academy for New Americans,0.85,0.97,0.0,0.06,0.35,0.04,0.98,0.0,0.43,0.77,0.02,0.03,1.0,0.03,0.46,0.49,,0.03,0.06,0.99,0.43,0.99,0.03,0.97,0.03,0.03,,,0.0,0.97,0.97,0.03,0.94,0.01,0.23,0.58,0.96,1.0,0.07,0.03,0.97,0.15,0.15,0.13,0.0,1.0,0.91,0.01,0.07
August Martin High School,0.66,0.79,0.05,0.13,0.45,0.09,0.95,0.11,0.28,0.71,0.05,0.19,0.96,0.3,0.27,0.49,0.79,0.05,0.07,0.82,0.6,0.95,0.1,0.81,0.18,0.13,0.79,0.89,0.1,0.78,,0.13,0.9,0.18,0.29,0.5,0.87,0.98,0.19,0.31,0.69,0.41,0.34,0.24,0.09,0.95,0.31,0.05,0.2
"Bronx School for Law, Government and Justice",0.62,0.8,0.03,0.17,0.45,0.13,0.95,0.09,0.32,0.75,0.05,0.28,0.96,0.3,0.26,0.53,0.83,0.04,0.06,0.78,0.55,0.94,0.13,0.86,0.33,0.3,0.83,0.91,0.11,0.7,0.91,0.13,0.9,0.22,0.25,0.44,0.8,0.98,0.28,0.3,0.7,0.44,0.38,0.22,0.11,0.97,0.63,0.06,0.29
Gregorio Luperon High School for Science and Mathematics,0.71,0.92,0.02,0.16,0.52,0.03,0.98,0.06,0.26,0.62,0.02,0.09,0.97,0.14,0.58,0.49,0.89,0.03,0.06,0.94,0.49,0.91,0.13,0.94,0.11,0.09,0.92,0.91,0.03,0.9,,0.04,0.93,0.06,0.38,0.38,0.86,0.98,0.18,0.18,0.82,0.4,0.29,0.18,0.06,0.98,0.71,0.09,0.16
The Brooklyn School for Social Justice,0.61,0.93,0.01,0.16,0.66,0.01,0.88,0.07,0.22,0.7,0.12,0.17,0.92,0.11,0.38,0.59,0.93,0.0,0.06,0.87,0.35,0.97,0.22,0.84,0.17,0.15,0.89,0.88,0.01,0.81,,0.02,0.9,0.13,0.3,0.3,0.82,0.99,0.22,0.23,0.78,0.48,0.39,0.24,0.12,0.99,0.28,0.03,0.23
Manhattan Business Academy,0.65,0.85,0.02,0.16,0.56,0.08,0.95,0.12,0.3,0.7,0.05,0.16,0.95,0.21,0.27,0.43,0.84,0.06,0.03,0.85,0.72,0.92,0.18,0.85,0.18,0.14,0.82,0.92,0.06,0.7,,0.1,0.92,0.15,0.3,0.41,0.88,0.98,0.22,0.21,0.79,0.53,0.35,0.17,0.07,0.98,0.62,0.08,0.24
Ebbets Field Middle School,0.75,0.9,0.09,0.19,0.55,0.15,0.92,0.13,0.28,0.57,0.08,0.23,0.9,0.2,0.37,0.42,,0.07,0.1,0.82,0.41,0.91,0.14,0.87,0.28,0.25,,,0.13,0.8,0.85,0.09,0.77,0.18,0.43,0.37,0.77,0.95,0.26,0.24,0.76,0.55,0.25,0.24,0.15,0.91,0.86,0.09,0.22
Satellite East Middle School,0.8,0.84,0.05,0.21,0.61,0.07,0.86,0.08,0.16,0.45,0.14,0.12,0.95,0.27,0.53,0.3,,0.06,0.04,0.86,0.57,0.87,0.21,0.93,0.21,0.14,,,0.03,0.77,0.85,0.14,0.86,0.14,0.55,0.45,0.86,0.98,0.2,0.29,0.71,0.41,0.2,0.16,0.14,0.95,0.55,0.13,0.39
Jean Nuzzi Intermediate School,0.63,0.79,0.07,0.3,0.48,0.14,0.92,0.15,0.5,0.69,0.08,0.26,0.93,0.3,0.25,0.55,,0.08,0.09,0.8,0.45,0.93,0.17,0.89,0.34,0.28,,,0.13,0.83,0.86,0.13,0.72,0.2,0.31,0.43,0.83,0.97,0.3,0.31,0.69,0.46,0.37,0.3,0.11,0.93,0.59,0.07,0.25
P.S. 035,0.68,0.75,0.02,0.17,0.37,0.15,0.98,0.15,0.25,0.65,0.02,0.28,0.93,0.25,0.33,0.52,0.9,0.08,0.08,0.83,0.37,0.93,0.11,0.66,0.35,0.33,0.84,0.85,0.08,0.74,,0.11,0.8,0.17,0.35,0.51,0.82,0.96,0.3,0.27,0.73,0.36,0.32,0.22,0.12,0.98,0.38,0.07,0.29
I.S. 227 Louis Armstrong,0.64,0.88,0.03,0.21,0.48,0.11,0.97,0.15,0.42,0.66,0.03,0.2,0.93,0.21,0.33,0.51,,0.05,0.06,0.84,0.52,0.94,0.09,0.94,0.2,0.16,,,0.09,0.86,0.87,0.1,0.77,0.16,0.34,0.47,0.84,0.97,0.27,0.28,0.72,0.43,0.36,0.24,0.09,0.97,0.65,0.06,0.17
Susan E. Wagner High School,0.46,0.88,0.05,0.19,0.42,0.14,0.96,0.15,0.37,0.79,0.04,0.33,0.93,0.29,0.22,0.61,0.81,0.07,0.07,0.78,0.48,0.92,0.09,0.69,0.34,0.28,0.77,0.9,0.14,0.73,,0.12,0.72,0.22,0.21,0.48,0.81,0.96,0.39,0.31,0.69,0.45,0.54,0.37,0.08,0.95,0.7,0.08,0.3
Renaissance School of the Arts,0.68,0.74,0.11,0.1,0.41,0.15,0.92,0.21,0.32,0.61,0.08,0.3,0.92,0.23,0.3,0.43,,0.13,0.05,0.8,0.34,0.89,0.15,0.79,0.36,0.28,,,0.13,0.73,0.88,0.18,0.7,0.2,0.39,0.44,0.78,0.95,0.31,0.3,0.7,0.45,0.32,0.26,0.15,0.89,0.37,0.11,0.36
Bronx Dance Academy School,0.68,0.83,0.03,0.25,0.5,0.06,0.93,0.08,0.24,0.66,0.07,0.17,0.95,0.18,0.37,0.42,,0.03,0.04,0.82,0.49,0.97,0.21,0.95,0.18,0.17,,,0.06,0.85,0.87,0.1,0.86,0.18,0.34,0.43,0.82,0.96,0.27,0.26,0.74,0.41,0.32,0.32,0.1,0.97,0.64,0.03,0.26
Lyons Community School,0.72,0.81,0.01,0.15,0.52,0.1,0.94,0.03,0.22,0.68,0.06,0.27,0.92,0.2,0.29,0.5,0.89,0.02,0.06,0.83,0.56,0.99,0.12,0.89,0.31,0.27,0.85,0.92,0.03,0.75,0.93,0.14,0.94,0.17,0.32,0.48,0.88,0.98,0.2,0.23,0.77,0.44,0.28,0.18,0.1,0.99,0.34,0.01,0.2
World View High School,0.64,0.82,0.02,0.14,0.48,0.06,0.95,0.08,0.22,0.84,0.05,0.14,0.97,0.33,0.32,0.6,0.9,0.04,0.06,0.89,0.46,0.94,0.1,0.88,0.14,0.14,0.86,0.92,0.07,0.82,,0.08,0.93,0.11,0.16,0.44,0.88,0.97,0.26,0.29,0.71,0.41,0.36,0.22,0.05,0.98,0.74,0.06,0.18
I.S. 061 Leonardo Da Vinci,0.68,0.87,0.03,0.23,0.5,0.1,0.95,0.13,0.28,0.57,0.05,0.23,0.93,0.16,0.4,0.45,,0.06,0.05,0.83,0.48,0.94,0.11,0.88,0.31,0.27,,,0.06,0.89,0.86,0.1,0.78,0.17,0.43,0.39,0.84,0.98,0.23,0.25,0.75,0.52,0.32,0.21,0.15,0.97,0.17,0.06,0.19
Albert Shanker School for Visual and Performing Arts,0.62,0.8,0.07,0.23,0.55,0.18,0.91,0.18,0.36,0.69,0.09,0.29,0.89,0.21,0.3,0.51,,0.1,0.13,0.71,0.43,0.89,0.13,0.88,0.36,0.25,,,0.12,0.82,0.86,0.15,0.73,0.29,0.31,0.41,0.87,0.96,0.35,0.28,0.72,0.49,0.38,0.31,0.15,0.93,0.64,0.11,0.21
J.H.S. 383 Philippa Schuyler,0.57,0.82,0.05,0.24,0.46,0.17,0.95,0.13,0.42,0.72,0.05,0.28,0.94,0.26,0.31,0.51,,0.06,0.06,0.76,0.62,0.94,0.13,0.92,0.37,0.31,,,0.14,0.77,0.9,0.15,0.85,0.24,0.28,0.42,0.8,0.97,0.32,0.32,0.68,0.42,0.43,0.33,0.12,0.95,0.65,0.06,0.27
Providing Urban Learners Success In Education High School,0.99,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.99,0.0,0.03,1.0,0.07,0.05,0.97,1.0,0.0,0.01,1.0,0.99,1.0,0.02,0.97,0.03,0.03,1.0,1.0,0.0,0.99,,0.0,1.0,0.0,0.01,1.0,1.0,1.0,0.0,0.01,0.99,0.0,0.01,0.0,0.0,1.0,0.53,0.0,0.0
J.H.S. 088 Peter Rouget,0.65,0.83,0.05,0.23,0.53,0.14,0.96,0.15,0.36,0.66,0.04,0.21,0.88,0.2,0.33,0.46,,0.05,0.07,0.77,0.64,0.94,0.1,0.85,0.27,0.24,,,0.11,0.79,0.83,0.14,0.89,0.23,0.34,0.4,0.83,0.97,0.29,0.3,0.7,0.51,0.35,0.3,0.1,0.95,0.66,0.06,0.2
Washington Heights Expeditionary Learning School,0.83,0.93,0.03,0.12,0.43,0.02,0.97,0.08,0.25,0.61,0.03,0.21,0.96,0.13,0.36,0.44,1.0,0.05,0.02,0.93,0.77,0.93,0.11,0.91,0.21,0.19,0.98,0.98,0.03,0.87,0.96,0.06,0.95,0.07,0.39,0.55,0.86,0.98,0.14,0.16,0.84,0.34,0.17,0.12,0.06,0.97,0.32,0.07,0.17
NYC iSchool,0.65,0.9,0.02,0.1,0.27,0.09,0.98,0.09,0.23,0.83,0.02,0.15,0.97,0.34,0.31,0.62,0.91,0.04,0.03,0.86,0.63,0.91,0.06,0.74,0.09,0.08,0.92,0.96,0.04,0.86,,0.11,0.96,0.14,0.18,0.65,0.89,0.98,0.28,0.36,0.64,0.29,0.35,0.15,0.03,0.98,0.77,0.09,0.14
P.S. 180 Hugo Newman,0.63,0.72,0.1,0.26,0.52,0.23,0.98,0.24,0.52,0.64,0.02,0.27,0.89,0.22,0.35,0.42,,0.12,0.1,0.67,0.6,0.84,0.16,0.87,0.38,0.31,,,0.1,0.74,0.87,0.17,0.8,0.33,0.36,0.47,0.81,0.96,0.35,0.29,0.71,0.46,0.37,0.31,0.21,0.9,0.54,0.16,0.19
