unnamed_column,q31_my_teachers_check_in,q25_in_how_many_of_your,q50_at_this_school_students,q63_if_you_are_a_student,q33_i_feel_like_i_belong,q48_i_feel_safe_in_the_1,q21_in_how_many_of_your_1,q6_at_this_school_we_have,q40_discipline_is_applied,q59_if_you_are_a_student,q46_i_feel_safe_outside_around,q7_in_general_my_teachers,q38_when_my_teachers_tell_1,q51_at_this_school_students,q8_i_feel_that_my_teachers,q9_in_general_my_teachers_1,q57_if_you_are_a_student,q9_in_general_my_teachers,q3_my_school_encourages_and_1,q7_in_general_my_teachers_1,q56_at_this_school_there_1,q48_i_feel_safe_in_the,q53_at_this_school_students,q43_in_how_many_of_your,q41_in_how_many_of_your_1,q14_during_this_school_year_1,q40_discipline_is_applied_1,q34_my_teachers_will_always_1,q19_in_how_many_of_your,q22_in_how_many_of_your_1,q47_i_feel_safe_traveling_1,q45_in_how_many_of_your_1,q28_i_m_learning_a_lot_in_1,q10_i_am_presented_with_1,q61_if_you_are_a_student,q29_my_school_expects_all,q51_at_this_school_students_1,q39_my_classes_at_this_school_1,q22_in_how_many_of_your,q56_at_this_school_there,q55_at_this_school_students_1,q1_most_students_at_this
03M299,0.26,0.31,0.7,0.15,0.31,0.78,0.79,0.19,0.19,0.28,0.2,0.04,0.87,0.87,0.08,0.77,,0.23,0.9,0.96,0.13,0.22,0.74,0.59,0.38,0.6,0.81,0.9,0.33,0.4,0.81,0.7,0.72,0.92,0.3,0.11,0.13,0.76,0.6,0.87,0.26,0.26
75Q811,0.1,0.16,0.86,0.0,0.03,0.95,0.87,0.17,0.17,0.0,0.17,0.0,1.0,0.9,0.0,0.96,0.11,0.04,0.96,1.0,0.07,0.05,0.93,0.47,0.8,0.48,0.83,0.93,0.29,0.71,0.95,0.7,0.94,1.0,0.17,0.03,0.1,0.8,0.29,0.93,0.03,0.04
04M610,0.15,0.17,0.88,0.03,0.13,0.97,0.87,0.02,0.1,0.12,0.05,0.02,0.94,0.95,0.03,0.87,0.04,0.13,0.98,0.98,0.02,0.03,0.88,0.47,0.59,0.66,0.9,0.96,0.2,0.69,0.86,0.82,0.89,0.98,0.15,0.07,0.05,0.88,0.31,0.98,0.1,0.08
02M550,0.16,0.19,0.86,0.2,0.09,0.79,0.9,0.24,0.09,0.14,0.15,0.09,0.89,0.9,0.04,0.9,,0.1,0.84,0.91,0.09,0.21,0.89,0.74,0.43,0.31,0.91,0.97,0.11,0.69,0.76,0.82,0.98,0.92,0.16,0.05,0.1,0.69,0.31,0.91,0.1,0.07
30Q010,0.32,0.26,0.7,,0.12,0.89,0.87,0.41,0.15,,0.11,0.05,0.91,0.83,0.03,0.82,0.15,0.18,0.9,0.95,0.04,0.11,0.75,0.62,0.48,0.61,0.85,0.87,0.13,0.45,0.89,0.79,0.89,0.95,,0.07,0.17,0.78,0.55,0.96,0.08,0.14
17K138,0.18,0.13,0.6,,0.12,0.91,0.87,0.13,0.15,,0.13,0.09,0.93,0.83,0.02,0.9,0.08,0.1,0.93,0.91,0.11,0.09,0.63,0.57,0.59,0.43,0.85,0.91,0.14,0.75,0.88,0.93,0.95,0.93,,0.05,0.17,0.81,0.25,0.89,0.05,0.22
19K660,0.22,0.28,0.65,0.11,0.19,0.88,0.78,0.17,0.26,0.16,0.26,0.13,0.89,0.8,0.05,0.82,,0.18,0.94,0.87,0.23,0.12,0.73,0.59,0.51,0.73,0.74,0.89,0.26,0.58,0.82,0.81,0.85,0.9,0.19,0.04,0.2,0.83,0.42,0.77,0.28,0.26
11X326,0.36,0.36,0.6,,0.23,0.8,0.79,0.16,0.23,,0.17,0.07,0.87,0.78,0.05,0.71,0.16,0.29,0.89,0.93,0.15,0.2,0.69,0.58,0.56,0.75,0.77,0.85,0.22,0.48,0.83,0.78,0.82,0.9,,0.14,0.22,0.74,0.52,0.85,0.12,0.27
22K611,0.24,0.19,0.76,0.13,0.28,0.89,0.76,0.16,0.19,0.24,0.14,0.07,0.88,0.85,0.03,0.83,,0.17,0.88,0.93,0.13,0.11,0.81,0.66,0.52,0.71,0.81,0.89,0.36,0.51,0.9,0.76,0.82,0.93,0.17,0.09,0.15,0.77,0.49,0.87,0.13,0.15
22K206,0.3,0.32,0.66,,0.17,0.87,0.81,0.3,0.21,,0.14,0.05,0.89,0.82,0.03,0.73,0.18,0.27,0.89,0.95,0.05,0.13,0.73,0.67,0.46,0.64,0.79,0.88,0.19,0.57,0.87,0.74,0.83,0.92,,0.11,0.18,0.71,0.43,0.95,0.09,0.16
20K485,0.25,0.25,0.9,0.06,0.09,0.95,0.88,0.03,0.06,0.13,0.06,0.03,0.92,0.93,0.01,0.84,,0.16,0.97,0.97,0.03,0.05,0.91,0.54,0.54,0.66,0.94,0.95,0.16,0.61,0.92,0.83,0.84,0.97,0.09,0.02,0.07,0.85,0.39,0.97,0.08,0.03
84M330,0.42,0.33,0.55,,0.32,0.85,0.74,0.11,0.43,,0.21,0.1,0.74,0.87,0.04,0.64,0.08,0.36,0.8,0.9,0.03,0.15,0.69,0.59,0.56,0.83,0.58,0.84,0.27,0.57,0.71,0.82,0.8,0.92,,0.09,0.13,0.73,0.43,0.97,0.07,0.44
28Q338,0.15,0.15,0.93,0.03,0.07,0.91,0.93,0.11,0.03,0.08,0.14,0.03,0.98,0.98,0.02,0.9,,0.1,0.97,0.98,0.15,0.09,0.95,0.6,0.55,0.51,0.98,0.98,0.08,0.61,0.87,0.73,0.93,1.0,0.13,0.02,0.03,0.87,0.39,0.85,0.13,0.05
11X127,0.28,0.27,0.68,,0.16,0.88,0.86,0.1,0.18,,0.16,0.07,0.91,0.81,0.03,0.81,0.1,0.19,0.94,0.93,0.09,0.12,0.75,0.57,0.52,0.66,0.82,0.9,0.2,0.59,0.86,0.82,0.86,0.94,,0.08,0.19,0.76,0.41,0.91,0.07,0.17
24Q311,0.19,0.22,0.82,,0.13,0.92,0.86,0.14,0.14,,0.09,0.06,0.91,0.89,0.04,0.85,0.07,0.15,0.94,0.94,0.09,0.08,0.86,0.64,0.61,0.64,0.86,0.94,0.16,0.69,0.91,0.85,0.92,0.94,,0.06,0.11,0.78,0.31,0.91,0.09,0.07
06M349,0.2,0.17,0.7,,0.06,0.89,0.9,0.16,0.11,,0.18,0.09,0.95,0.82,0.07,0.87,0.05,0.13,0.88,0.91,0.14,0.11,0.77,0.51,0.59,0.46,0.89,0.96,0.08,0.7,0.89,0.87,0.98,0.89,,0.04,0.18,0.65,0.3,0.86,0.11,0.19
27Q480,0.27,0.28,0.66,0.1,0.19,0.88,0.83,0.2,0.14,0.17,0.15,0.06,0.9,0.76,0.03,0.81,,0.19,0.92,0.94,0.25,0.13,0.72,0.56,0.54,0.73,0.86,0.9,0.23,0.58,0.86,0.78,0.83,0.94,0.18,0.07,0.24,0.8,0.42,0.75,0.31,0.12
84K744,0.18,0.2,0.75,0.05,0.14,0.93,0.87,0.07,0.12,0.08,0.12,0.05,0.91,0.88,0.03,0.92,0.12,0.08,0.93,0.95,0.08,0.07,0.79,0.47,0.63,0.7,0.88,0.92,0.17,0.65,0.9,0.87,0.89,0.95,0.1,0.03,0.12,0.89,0.35,0.92,0.11,0.11
07X224,0.18,0.23,0.67,,0.17,0.83,0.8,0.22,0.27,,0.19,0.12,0.84,0.74,0.1,0.8,0.09,0.2,0.92,0.88,0.18,0.17,0.68,0.62,0.54,0.74,0.73,0.9,0.16,0.59,0.83,0.84,0.91,0.88,,0.07,0.26,0.71,0.41,0.82,0.12,0.17
24Q520,0.17,0.15,0.99,0.04,0.08,0.99,0.91,0.11,0.03,0.12,0.05,0.01,0.96,0.99,0.01,0.9,,0.1,0.99,0.99,0.0,0.01,0.99,0.58,0.67,0.6,0.98,1.0,0.18,0.62,0.89,0.91,0.91,0.99,0.1,0.01,0.01,0.9,0.38,1.0,0.07,0.01
84K740,0.37,0.3,0.55,,0.22,0.89,0.75,0.08,0.37,,0.26,0.05,0.75,0.88,0.02,0.66,0.13,0.34,0.83,0.95,0.05,0.11,0.67,0.58,0.49,0.77,0.63,0.71,0.23,0.46,0.81,0.81,0.9,0.95,,0.11,0.12,0.79,0.54,0.95,0.01,0.4
06M052,0.24,0.22,0.68,,0.19,0.82,0.81,0.2,0.2,,0.16,0.09,0.87,0.77,0.05,0.83,0.14,0.17,0.93,0.91,0.15,0.18,0.71,0.67,0.47,0.69,0.8,0.88,0.19,0.6,0.84,0.82,0.87,0.97,,0.05,0.23,0.64,0.4,0.85,0.13,0.18
30Q580,0.43,0.44,0.74,0.07,0.33,0.89,0.81,0.26,0.15,0.23,0.11,0.09,0.86,0.88,0.04,0.73,0.53,0.27,0.79,0.91,0.04,0.11,0.83,0.34,0.73,0.72,0.85,0.76,0.27,0.56,0.87,0.77,0.8,0.91,0.16,0.07,0.12,0.87,0.44,0.96,0.2,0.1
75K369,0.09,0.18,0.65,0.07,0.21,0.88,0.83,0.19,0.19,0.13,0.15,0.12,0.88,0.79,0.03,0.89,0.12,0.11,0.91,0.88,0.17,0.12,0.73,0.48,0.58,0.48,0.81,0.86,0.13,0.68,0.86,0.84,0.85,0.93,0.1,0.08,0.21,0.76,0.32,0.83,0.11,0.15
18K581,0.29,0.3,0.56,,0.2,0.79,0.76,0.24,0.26,,0.24,0.08,0.89,0.78,0.05,0.77,0.11,0.23,0.92,0.92,0.2,0.21,0.61,0.53,0.46,0.6,0.74,0.87,0.33,0.45,0.83,0.83,0.92,0.91,,0.12,0.22,0.64,0.55,0.8,0.21,0.29
27Q319,0.15,0.22,0.68,,0.18,0.86,0.8,0.14,0.19,,0.16,0.1,0.89,0.86,0.05,0.81,0.1,0.19,0.93,0.9,0.11,0.14,0.78,0.53,0.52,0.65,0.81,0.91,0.2,0.61,0.85,0.84,0.9,0.91,,0.05,0.14,0.81,0.39,0.89,0.09,0.18
13K266,0.2,0.19,0.5,,0.1,0.92,0.86,0.0,0.1,,0.0,0.0,1.0,0.8,0.0,0.9,0.1,0.1,0.95,1.0,0.1,0.08,0.55,0.5,0.63,0.41,0.9,0.85,0.14,0.68,1.0,0.9,0.9,0.95,,0.05,0.2,0.85,0.32,0.9,0.0,0.21
19K615,0.2,0.25,0.68,0.09,0.22,0.86,0.78,0.2,0.17,0.15,0.2,0.08,0.92,0.82,0.04,0.79,,0.21,0.89,0.92,0.29,0.14,0.74,0.51,0.54,0.64,0.83,0.88,0.27,0.65,0.84,0.79,0.83,0.91,0.13,0.05,0.18,0.79,0.35,0.71,0.27,0.16
23K647,0.0,0.0,0.67,0.0,0.0,1.0,1.0,0.0,0.11,0.0,0.0,0.0,1.0,0.89,0.0,1.0,,0.0,1.0,1.0,0.44,0.0,0.78,0.67,0.78,0.56,0.89,1.0,0.0,0.56,0.86,1.0,1.0,1.0,0.11,0.0,0.11,0.88,0.44,0.56,0.22,0.14
05M371,0.09,0.13,0.85,,0.09,0.88,0.92,0.18,0.1,,0.11,0.08,0.9,0.91,0.06,0.86,0.17,0.14,0.98,0.92,0.1,0.12,0.91,0.49,0.56,0.56,0.9,0.94,0.17,0.71,0.89,0.92,0.92,0.94,,0.06,0.09,0.82,0.29,0.9,0.06,0.11
25Q263,0.12,0.15,0.88,0.1,0.12,0.88,0.81,0.1,0.07,0.1,0.08,0.08,0.97,0.89,0.05,0.94,,0.06,0.96,0.92,0.13,0.12,0.88,0.61,0.59,0.46,0.93,0.95,0.17,0.79,0.92,0.89,0.92,0.95,0.1,0.03,0.11,0.8,0.21,0.87,0.13,0.04
75M226,0.08,0.19,0.96,0.13,0.04,1.0,0.88,0.17,0.12,0.06,0.06,0.04,0.96,0.91,0.08,0.92,0.13,0.08,0.91,0.96,0.04,0.0,0.83,0.62,0.62,0.36,0.88,1.0,0.31,0.77,0.94,0.65,0.92,0.87,0.21,0.08,0.09,0.8,0.23,0.96,0.04,0.08
12X273,0.12,0.13,0.76,,0.14,0.85,0.85,0.19,0.15,,0.13,0.04,0.92,0.84,0.04,0.85,0.07,0.15,0.88,0.96,0.1,0.15,0.76,0.5,0.57,0.72,0.85,0.93,0.22,0.63,0.87,0.83,0.94,0.93,,0.08,0.16,0.79,0.37,0.9,0.13,0.22
10X080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32K162,0.21,0.19,0.78,,0.12,0.91,0.89,0.09,0.15,,0.12,0.05,0.94,0.88,0.03,0.87,0.08,0.13,0.94,0.95,0.05,0.09,0.81,0.63,0.57,0.62,0.85,0.95,0.14,0.69,0.91,0.86,0.93,0.93,,0.07,0.12,0.74,0.31,0.95,0.1,0.14
12X251,0.18,0.23,0.79,0.09,0.16,0.89,0.84,0.07,0.11,0.14,0.16,0.08,0.9,0.87,0.04,0.83,,0.17,0.95,0.92,0.1,0.11,0.82,0.6,0.57,0.7,0.89,0.9,0.21,0.66,0.91,0.79,0.84,0.96,0.12,0.04,0.13,0.77,0.34,0.9,0.14,0.13
84M353,0.31,0.21,0.76,0.05,0.15,0.93,0.86,0.11,0.13,0.11,0.13,0.06,0.86,0.89,0.03,0.77,0.12,0.23,0.91,0.94,0.07,0.07,0.79,0.52,0.62,0.68,0.87,0.88,0.18,0.63,0.9,0.84,0.86,0.97,0.07,0.03,0.11,0.81,0.37,0.93,0.1,0.14
15K136,0.22,0.22,0.85,,0.11,0.91,0.87,0.09,0.1,,0.08,0.06,0.94,0.87,0.03,0.83,0.1,0.17,0.95,0.94,0.06,0.09,0.8,0.65,0.44,0.61,0.9,0.96,0.16,0.65,0.91,0.84,0.93,0.92,,0.07,0.13,0.77,0.35,0.94,0.05,0.1
23K184,0.24,0.27,0.59,,0.18,0.88,0.85,0.18,0.27,,0.27,0.16,0.89,0.78,0.1,0.81,0.11,0.19,0.83,0.84,0.22,0.12,0.53,0.46,0.61,0.69,0.73,0.8,0.28,0.63,0.86,0.92,0.88,0.97,,0.12,0.22,0.77,0.37,0.78,0.14,0.31
08X559,0.03,0.19,0.65,0.0,0.23,1.0,0.68,0.07,0.19,0.06,0.19,0.0,0.84,0.87,0.0,0.85,,0.15,0.93,1.0,0.17,0.0,0.84,0.63,0.56,0.72,0.81,0.91,0.38,0.59,0.89,0.88,0.81,1.0,0.06,0.06,0.13,0.77,0.41,0.83,0.1,0.19
19K364,0.27,0.27,0.59,,0.24,0.85,0.71,0.17,0.27,,0.23,0.14,0.84,0.77,0.03,0.75,0.1,0.25,0.79,0.86,0.13,0.15,0.58,0.48,0.6,0.82,0.73,0.81,0.31,0.51,0.77,0.79,0.91,0.9,,0.05,0.23,0.74,0.49,0.88,0.1,0.45
15K429,0.28,0.23,0.83,0.09,0.2,0.94,0.9,0.1,0.15,0.18,0.08,0.03,0.9,0.92,0.03,0.8,,0.2,0.91,0.97,0.07,0.06,0.86,0.53,0.55,0.73,0.85,0.87,0.16,0.67,0.91,0.79,0.86,0.94,0.14,0.05,0.08,0.81,0.33,0.93,0.1,0.12
19K089,0.12,0.19,0.82,,0.09,0.94,0.8,0.06,0.09,,0.05,0.07,0.96,0.85,0.02,0.92,0.06,0.08,0.95,0.93,0.1,0.06,0.78,0.68,0.43,0.62,0.91,0.95,0.12,0.65,0.91,0.81,0.92,0.98,,0.08,0.15,0.69,0.35,0.9,0.07,0.11
84K739,0.17,0.24,0.69,0.14,0.28,0.9,0.8,0.12,0.18,0.27,0.25,0.04,0.94,0.83,0.03,0.79,,0.21,0.93,0.96,0.23,0.1,0.71,0.56,0.45,0.75,0.82,0.88,0.22,0.57,0.82,0.83,0.79,0.94,0.21,0.02,0.17,0.79,0.43,0.77,0.21,0.14
18K588,0.21,0.18,0.59,,0.12,0.94,0.86,0.14,0.21,,0.15,0.07,0.89,0.85,0.04,0.82,0.07,0.18,0.97,0.93,0.14,0.06,0.68,0.51,0.63,0.57,0.79,0.91,0.2,0.6,0.88,0.92,0.95,0.95,,0.03,0.15,0.85,0.4,0.86,0.05,0.27
32K554,0.24,0.2,0.92,0.01,0.11,0.96,0.94,0.08,0.07,0.06,0.05,0.07,0.93,0.97,0.04,0.84,0.07,0.16,0.93,0.93,0.0,0.04,0.94,0.39,0.67,0.62,0.93,0.92,0.09,0.77,0.96,0.84,0.97,0.94,0.04,0.01,0.03,0.89,0.23,1.0,0.01,0.07
29Q243,0.14,0.16,0.88,0.09,0.1,0.95,0.81,0.07,0.06,0.14,0.06,0.05,0.91,0.93,0.03,0.86,,0.14,0.95,0.95,0.1,0.05,0.91,0.52,0.63,0.66,0.94,0.96,0.18,0.68,0.93,0.87,0.89,0.94,0.16,0.03,0.07,0.88,0.33,0.9,0.13,0.07
25Q285,0.32,0.31,0.79,0.1,0.18,0.93,0.82,0.36,0.16,0.21,0.1,0.06,0.89,0.86,0.03,0.75,0.12,0.25,0.87,0.94,0.05,0.07,0.84,0.59,0.5,0.7,0.84,0.86,0.23,0.56,0.94,0.76,0.81,0.92,0.22,0.06,0.14,0.77,0.44,0.95,0.13,0.13
08X282,0.2,0.22,0.72,0.09,0.22,0.89,0.8,0.09,0.15,0.11,0.28,0.09,0.91,0.8,0.06,0.83,,0.17,0.92,0.91,0.15,0.11,0.75,0.45,0.61,0.56,0.85,0.92,0.21,0.66,0.81,0.81,0.84,0.92,0.12,0.09,0.2,0.77,0.34,0.85,0.2,0.12
02M280,0.2,0.0,0.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.6,0.8,0.6,1.0,,0.2,0.8,1.0,0.8,1.0,1.0,0.2,0.0,0.0,1.0,0.2,1.0,0.0,0.0
10X442,0.32,0.32,0.8,0.07,0.15,0.96,0.85,0.18,0.11,0.18,0.1,0.03,0.91,0.92,0.02,0.78,,0.22,0.91,0.97,0.07,0.04,0.84,0.55,0.59,0.73,0.89,0.89,0.28,0.52,0.87,0.77,0.8,0.97,0.19,0.02,0.08,0.85,0.48,0.93,0.14,0.08
75Q009,0.07,0.07,1.0,,0.21,1.0,0.93,0.22,0.07,,0.2,0.0,0.93,1.0,0.07,0.92,0.36,0.08,0.92,1.0,0.07,0.0,1.0,0.62,0.57,0.21,0.93,0.86,0.2,0.8,0.83,1.0,0.93,1.0,,0.07,0.0,0.86,0.2,0.93,0.0,0.0
84K707,0.27,0.22,0.77,0.07,0.21,0.94,0.88,0.05,0.21,0.24,0.06,0.03,0.86,0.87,0.03,0.73,0.25,0.27,0.87,0.97,0.06,0.06,0.81,0.41,0.62,0.83,0.79,0.88,0.2,0.68,0.89,0.83,0.88,0.97,0.12,0.1,0.13,0.8,0.32,0.94,0.24,0.08
19K639,0.16,0.23,0.87,0.1,0.07,1.0,0.87,0.17,0.07,0.07,0.0,0.14,0.94,0.84,0.1,0.87,,0.13,0.93,0.86,0.16,0.0,0.87,0.45,0.65,0.58,0.93,0.87,0.19,0.68,1.0,0.9,0.9,0.89,0.07,0.06,0.16,0.81,0.32,0.84,0.16,0.07
30Q291,0.15,0.17,0.8,,0.1,0.97,0.86,0.06,0.16,,0.05,0.04,0.91,0.88,0.02,0.91,0.07,0.09,0.97,0.96,0.04,0.03,0.84,0.49,0.61,0.67,0.84,0.93,0.13,0.75,0.89,0.89,0.91,0.97,,0.07,0.12,0.83,0.25,0.96,0.06,0.11
14K577,0.24,0.19,0.85,,0.12,0.94,0.89,0.23,0.15,,0.06,0.05,0.93,0.93,0.03,0.83,0.08,0.17,0.93,0.95,0.03,0.06,0.89,0.58,0.57,0.6,0.85,0.91,0.1,0.66,0.89,0.87,0.91,0.95,,0.06,0.07,0.82,0.34,0.97,0.05,0.07
11X287,0.23,0.3,0.54,,0.22,0.79,0.74,0.15,0.32,,0.23,0.1,0.86,0.74,0.03,0.83,0.13,0.17,0.92,0.9,0.25,0.21,0.65,0.6,0.52,0.69,0.68,0.86,0.27,0.51,0.82,0.83,0.86,0.91,,0.07,0.26,0.73,0.49,0.75,0.16,0.33
21K226,0.17,0.2,0.75,,0.12,0.89,0.9,0.14,0.14,,0.06,0.09,0.92,0.84,0.05,0.85,0.14,0.15,0.93,0.91,0.05,0.11,0.81,0.62,0.54,0.5,0.86,0.93,0.15,0.68,0.94,0.82,0.91,0.95,,0.1,0.16,0.8,0.32,0.95,0.05,0.09
14K449,0.41,0.37,0.72,0.07,0.22,0.92,0.87,0.02,0.16,0.22,0.2,0.04,0.9,0.77,0.01,0.8,,0.2,0.93,0.96,0.02,0.08,0.81,0.32,0.74,0.79,0.84,0.91,0.19,0.66,0.79,0.81,0.78,0.97,0.13,0.03,0.23,0.9,0.34,0.98,0.23,0.09
19K583,0.1,0.19,0.87,0.24,0.19,0.91,0.73,0.04,0.1,0.07,0.18,0.03,0.93,0.97,0.03,1.0,,0.0,0.93,0.97,0.13,0.09,0.94,0.84,0.39,0.34,0.9,0.97,0.19,0.77,0.7,0.83,0.91,1.0,0.1,0.06,0.03,0.7,0.23,0.87,0.0,0.07
09X339,0.25,0.28,0.59,,0.25,0.81,0.79,0.24,0.24,,0.29,0.14,0.84,0.76,0.08,0.78,0.12,0.22,0.85,0.86,0.19,0.19,0.69,0.58,0.55,0.65,0.76,0.9,0.19,0.58,0.76,0.8,0.86,0.91,,0.15,0.24,0.7,0.42,0.81,0.17,0.31
10X095,0.24,0.24,0.58,,0.18,0.86,0.84,0.12,0.24,,0.2,0.08,0.9,0.84,0.05,0.77,0.06,0.23,0.89,0.92,0.18,0.14,0.7,0.65,0.5,0.68,0.76,0.9,0.18,0.54,0.85,0.83,0.89,0.94,,0.1,0.16,0.75,0.46,0.82,0.14,0.28
10X363,0.25,0.23,0.74,,0.13,0.89,0.85,0.21,0.14,,0.15,0.07,0.92,0.86,0.04,0.85,0.08,0.15,0.94,0.93,0.13,0.11,0.76,0.63,0.48,0.57,0.86,0.92,0.15,0.57,0.85,0.84,0.88,0.92,,0.08,0.14,0.74,0.43,0.87,0.08,0.15
32K556,0.15,0.22,0.84,0.08,0.11,0.91,0.83,0.14,0.12,0.11,0.1,0.09,0.93,0.9,0.02,0.83,,0.17,0.93,0.91,0.1,0.09,0.86,0.54,0.57,0.65,0.88,0.95,0.19,0.75,0.9,0.83,0.88,0.95,0.11,0.06,0.1,0.83,0.25,0.9,0.12,0.06
29Q265,0.33,0.17,0.67,0.17,0.0,1.0,0.67,0.0,0.0,0.33,0.0,0.0,1.0,0.83,0.0,0.8,,0.2,1.0,1.0,0.17,0.0,0.5,0.67,0.5,0.8,1.0,0.83,0.33,0.17,1.0,0.67,1.0,1.0,0.33,0.0,0.17,0.67,0.83,0.83,0.5,0.25
11X544,0.16,0.3,0.65,0.05,0.26,0.85,0.81,0.17,0.13,0.14,0.19,0.05,0.91,0.84,0.03,0.84,,0.16,0.92,0.95,0.18,0.15,0.77,0.6,0.6,0.67,0.87,0.91,0.25,0.54,0.81,0.81,0.85,0.96,0.27,0.03,0.16,0.84,0.46,0.82,0.23,0.2
27Q324,0.24,0.23,0.68,0.14,0.33,0.95,0.73,0.21,0.2,0.13,0.07,0.07,0.84,0.77,0.04,0.85,,0.15,0.89,0.93,0.26,0.05,0.7,0.68,0.43,0.76,0.8,0.88,0.27,0.63,0.89,0.73,0.82,0.96,0.28,0.1,0.23,0.73,0.37,0.74,0.24,0.19
29Q259,0.32,0.28,0.62,0.06,0.24,0.86,0.81,0.12,0.21,0.13,0.24,0.05,0.85,0.81,0.04,0.78,0.1,0.22,0.88,0.95,0.2,0.14,0.68,0.52,0.55,0.75,0.79,0.84,0.26,0.59,0.84,0.8,0.81,0.95,0.07,0.06,0.19,0.8,0.41,0.8,0.19,0.25
