location_name,_7_superintendent,_11_principal,_20_principal,_14_principal,location_category,_9_removals,_5_superintendent,_9_expulsions,_14_superintendent,_5_principal,_6_removals,_18_principal,_17_expulsions,_12_superintendent,_10_superintendent,_18_removals,_7_expulsions,_16_expulsions,_20_expulsions,_6_principal,_13_removals,_8_removals,_20_removals,_6_superintendent,_19_removals,_10_principal,_19_superintendent,_9_principal,_10_expulsions,_15_principal,_21_principal
P.S. 121 Throop,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S./I.S. 157 The Benjamin Franklin Health & Scien,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
New Millennium Business Academy Middle School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Arbor Elementary School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy for Scholarship and Entrepreneurship: A Co,R,R,R,24,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,41,R
P.S. 023 Carter G. Woodson,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Liberty Avenue Middle School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Middle School 322,R,R,R,7,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Central Park East II,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Pelham Gardens Middle School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R
NYC iSchool,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,9,R
P.S. 398 Walter Weaver,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Laboratory School of Finance and Technology: X,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 195,R,R,R,R,Elementary,19,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 028 The Warren Prep Academy,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The College Academy,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"P.S./M.S. 20 P.O.George J. Werdann, III",R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Leadership Academy High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Longwood Academy of Discovery,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Knowledge and Power Preparatory Academy Internatio,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Thomas C. Giordano Middle School 45,R,6,R,6,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,14,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R
P.S. 018 Edward Bush,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 190 Sheffield,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Validus Preparatory Academy,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,10,R
P.S. 583,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S./I.S. 323,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 062 Inocensio Casanova,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Cornerstone Academy for Social Action,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 186 Dr. Irving A Gladstone,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,R
Bronx Engineering and Technology Academy,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
47 The American Sign Language and English Secondar,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Archer Elementary School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Community School for Social Justice,R,R,R,15,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,40,R
P.S. 130 Hernando De Soto,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn Secondary School for Collaborative Studie,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R
P.S. 132 The Conselyea School,R,R,R,R,Elementary,7,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R
P.S. 046 Arthur Tappan,R,R,R,R,K-8,15,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Urban Assembly School for Green Careers,R,R,R,11,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn School for Music & Theatre,R,R,R,21,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,14,R
The Dr. Emmett W. Bassett School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 161 The Crown,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Walton Yabc,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Marble Hill High School for International Studies,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 105 The Blythebourne,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 087 Bronx,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Academy for Language and Technology,R,R,R,6,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 261 Philip Livingston,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
THE JUDITH S. KAYE HIGH SCHOOL,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Automotive High School Yabc,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 011 Highbridge,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Quest to Learn,R,R,R,8,Secondary School,R,R,R,11,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,11,R
The High School for Global Citizenship,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R
P.S. 009 Teunis G. Bergen,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
High School for Contemporary Arts,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R
"Heritage School, The",R,R,R,7,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,18,R
P.S. 021 Philip H. Sheridan,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The New School for Leadership and Journalism,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 059 Beekman Hill International,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 77 Lower Lab School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Kappa III,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Manhattan Bridges High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 9 Ryer Avenue Elementary School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,11,R,R,R,R,R
Transit Tech Career and Technical Education High S,R,R,R,6,High school,R,R,R,8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,14,R
"The Brooklyn New School, P.S. 146",R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 020 Clinton Hill,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 021 Crispus Attucks,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 002 Meyer London,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 155 William Paca,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Washington Irving Evng Hs T/R @NTHS,R,R,R,R,Ungraded,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 024 Spuyten Duyvil,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 091 The Albany Avenue School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 221 Toussaint L'Ouverture,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Business Of Sports School,R,R,R,6,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,14,R
P.S. 234 Independence School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brooklyn High School for Leadership and Community,R,R,R,R,High school,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Community Health Academy of the Heights,R,7,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R
Urban Action Academy,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
District 11 Pre-K Center,R,R,R,R,District Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Urban Assembly Bronx Academy of Letters,R,R,R,12,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R
P.S./M.S. 280 Mosholu Parkway,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Middle School of Marketing and Legal Studies,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 256 Benjamin Banneker,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 030 Hernandez/Hughes,R,R,R,R,Elementary,9,R,R,R,R,7,R,R,R,R,R,R,R,R,R,R,9,R,R,R,R,R,R,R,R,R
P.S. 084 Jose De Diego,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Early College Academy for Teaching & Learnin,R,R,R,10,Secondary School,R,R,R,R,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,28,R
"East Side Elementary School, PS 267",R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Riverside School for Makers and Artists,R,R,R,R,K-8,R,R,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
One World Middle School at Edenwald,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 086 Kingsbridge Heights,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
J.H.S. 080 The Mosholu Parkway,R,7,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 076 A. Philip Randolph,R,R,R,6,K-8,25,R,R,9,R,7,R,R,R,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R
P.S. 059 The Community School of Technology,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S./M.S. 11X498 - VAN NEST ACADEMY,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Gotham Collaborative High School,R,R,R,14,High school,R,R,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,41,R
M.S. 061 Dr. Gladstone H. Atwell,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Coalition School for Social Change,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R
P.S. 213 New Lots,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Thurgood Marshall Academy for Learning and Social,R,R,R,R,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 132 Juan Pablo Duarte,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,6,R,R,R,R,R
P.S. 197 John B. Russwurm,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 048 P.O. Michael J. Buczek,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Wings Academy,R,R,R,13,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,18,R
Bedford Stuyvesant Preparatory High School,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 171 Patrick Henry,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 044 Marcus Garvey,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
South Bronx Academy for Applied Media,R,6,R,15,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The Angelo Patri Middle School,R,9,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,12,R,R,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R
High School of Arts and Technology,R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Bronx Latin,R,13,R,22,Secondary School,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,7,R,R,R,R,R,R,R,R,19,R
P.S. 092 Mary McLeod Bethune,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
The 47 American Sign Language & English Lower Scho,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 089 Cypress Hills,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 093 Albert G. Oliver,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 3 Raul Julia Micro Society,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Rose Hill Pre-K Center,R,R,R,R,District Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 034 Oliver H. Perry,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Brighter Choice Community School,R,R,R,R,Elementary,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
M.S. K266 - Park Place Community Middle School,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
P.S. 138 Brooklyn,R,R,R,R,K-8,R,R,R,R,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
"Urban Assembly School of Design and Construction,",R,R,R,R,High school,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,15,R
Spruce Street School,R,R,R,R,K-8,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
