objectid,site,councildist
118596,Iyaho,46.0
118498,Good Counsel Homes,49.0
117708,,34.0
118089,730 East Fordham Rd,15.0
118943,St Marks (Catholic Charities),48.0
119147,Village Revival Records,2.0
118623,Korean Community Services of Metropolitan New York,19.0
119002,Storage - DROPOFF BY APPOINTMENT ONLY,5.0
117757,,49.0
117993,3055 Westchester Ave,13.0
