dbn,school_name,ell_bengali_1,ell_french_1,ela_level_2_1,ell_other_2,grade_7,black_1,ell_spanish_2,special_program,math_level_1_1,ell_haitian_creole_2,ell_chinese_1,male_1,ela_level_4_1,hispanic_1,ela_level_3_2,grade_3,ela_l3_l4_1,ela_level_2_2,ela_level_4_2,grade_1,ela_l3_l4_2,total_enrollment
15K024,P.S. 024,s,s,22,s,No Data,s,100.0%,Dual Language,34,s,s,67,s,138,s,29,s,36.7%,s,22,s,139
12X092,P.S. 092 Bronx,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,8,s,16,s,No Data,s,s,s,No Data,s,16
19K662,Liberty Avenue Middle School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
24Q014,P.S. 014 Fairview,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
06M103,Dos Puentes Elementary School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,No Data,s,s
19K089,P.S. 089 Cypress Hills,No Data,No Data,119,No Data,54,15,No Data,Dual Language,171,No Data,No Data,206,10,407,14.7%,43,51,42.7%,3.6%,46,18.3%,431
13K011,P.S. 011 Purvis J. Behan,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
27Q183,P.S. 183 Dr. Richard R. Green,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
18K244,P.S. 244 Richard R. Green,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
18K276,P.S. 276 Louis Marshall,No Data,No Data,No Data,No Data,No Data,27,No Data,Dual Language,No Data,No Data,No Data,12,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,27
06M513,Castle Bridge School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,9,No Data,15,No Data,s,No Data,No Data,No Data,s,No Data,15
01M020,P.S. 020 Anna Silver,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,9
14K084,P.S. 084 Jose De Diego,No Data,No Data,58,No Data,s,s,No Data,Dual Language,38,No Data,No Data,120,18,167,34.3%,74,75,34.9%,10.8%,46,45.2%,270
27Q104,P.S. 104 The Bays Water,s,s,s,s,No Data,s,s,Dual Language,s,s,s,s,s,s,s,No Data,s,s,s,No Data,s,s
06M513,Castle Bridge School,s,s,s,s,No Data,s,96.4%,Dual Language,s,s,s,14,s,27,s,11,s,s,s,s,s,28
15K497,The Boerum Hill School for International Studies,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
17K249,P.S. 249 The Caton,No Data,No Data,26,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,73,12,134,47.1%,32,52,30.6%,14.1%,9,61.2%,135
06M004,P.S. 004 Duke Ellington,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,No Data,s,s
26Q162,P.S. 162 John Golden,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
01M378,School for Global Leaders,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
24Q012,P.S. 012 James B. Colgate,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
06M513,Castle Bridge School,No Data,No Data,s,No Data,No Data,10,No Data,Dual Language,s,No Data,No Data,41,s,58,s,16,s,s,s,s,s,73
05M161,P.S. 161 Pedro Albizu Campos,No Data,No Data,10,No Data,s,s,No Data,Dual Language,14,No Data,No Data,29,s,56,s,9,s,27.8%,s,7,s,56
13K046,P.S. 046 Edward C. Blum,No Data,No Data,17,No Data,No Data,25,No Data,Dual Language,14,No Data,No Data,42,s,67,30.0%,17,s,42.5%,s,23,s,92
09X311,Lucero Elementary School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,7,No Data,No Data,27,s,47,s,8,s,s,s,12,s,48
15K124,P.S. 124 Silas B. Dutcher,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
07X030,P.S. 030 Wilton,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,6,s,s,s,s,s,No Data,s,6
24Q089,P.S. 089 Elmhurst,No Data,No Data,47,No Data,No Data,s,No Data,Dual Language,9,No Data,No Data,197,35,361,50.3%,64,124,26.6%,19.8%,63,70.1%,404
10X046,P.S. 046 Edgar Allan Poe,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,8,No Data,No Data,9,s,16,s,s,s,s,s,s,s,16
06M328,Community Math & Science Prep,No Data,No Data,s,No Data,18,s,No Data,Dual Language,47,No Data,No Data,35,s,62,s,No Data,s,s,s,No Data,s,62
23K137,P.S./I.S. 137 Rachel Jean Mitchell,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
27Q183,P.S. 183 Dr. Richard R. Green,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s
02M131,M.S. 131,No Data,No Data,8,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,66.7%,s,No Data,s,12
24Q007,P.S. 007 Louis F. Simeone,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
04M072,The Lexington Academy,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,7,No Data,No Data,8,s,17,s,7,s,s,s,No Data,s,17
04M155,P.S. 155 William Paca,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,8,No Data,No Data,No Data,No Data,No Data,s,No Data,8
02M111,P.S. 111 Adolph S. Ochs,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
16K627,Brighter Choice Community School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
04M206,P.S. 206 Jose Celso Barbosa,No Data,No Data,16,No Data,No Data,s,No Data,Dual Language,12,No Data,No Data,28,s,47,s,22,s,34.0%,s,No Data,s,48
13K020,P.S. 020 Clinton Hill,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
14K147,P.S. 147 Isaac Remsen,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
09X053,P.S. 053 Basheer Quisim,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
14K250,P.S. 250 George H. Lindsay,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
21K281,I.S. 281 Joseph B Cavallaro,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
07X161,P.S. 161 Juan Ponce De Leon School,No Data,No Data,16,No Data,No Data,s,No Data,Dual Language,15,No Data,No Data,40,s,63,s,15,s,57.1%,s,10,s,64
09X109,P.S. 109 Sedgwick,No Data,No Data,20,No Data,No Data,s,No Data,Dual Language,25,No Data,No Data,51,s,111,s,25,s,32.8%,s,s,s,116
03M165,P.S. 165 Robert E. Simon,No Data,No Data,21,No Data,7,s,No Data,Dual Language,31,No Data,No Data,70,11,150,26.1%,25,34,23.9%,12.5%,21,38.6%,158
07X030,P.S. 030 Wilton,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,7,No Data,No Data,17,s,23,s,6,s,s,s,6,s,25
15K051,M.S. 51 William Alexander,No Data,No Data,s,No Data,8,s,No Data,Dual Language,s,No Data,No Data,s,6,s,s,No Data,s,s,75.0%,No Data,s,8
25Q244,The Active Learning Elementary School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
09X457,Sheridan Academy for Young Leaders,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,6,No Data,No Data,No Data,No Data,No Data,s,No Data,7
10X396,P.S. 396,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
09X063,P.S. 063 Author's Academy,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
24Q081,P.S. 81Q Jean Paul Richter,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
10X390,M.S. 390,No Data,No Data,7,No Data,s,s,No Data,Dual Language,6,No Data,No Data,s,s,10,s,No Data,s,70.0%,s,No Data,s,10
07X223,M.S. 223 The Laboratory School of Finance and Tech,s,s,s,s,No Data,s,s,Dual Language,s,s,s,s,s,s,s,No Data,s,s,s,No Data,s,s
21K238,P.S. 238 Anne Sullivan,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
12X057,P.S. 057 Crescent,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
23K137,P.S./I.S. 137 Rachel Jean Mitchell,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
19K159,P.S. 159 Isaac Pitkin,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,10,No Data,21,No Data,No Data,No Data,No Data,No Data,17,No Data,25
21K090,P.S. 90 Edna Cohen School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
12X463,Urban Scholars Community School,No Data,No Data,9,No Data,No Data,7,No Data,Dual Language,11,No Data,No Data,12,s,18,s,7,s,52.9%,s,s,s,25
14K018,P.S. 018 Edward Bush,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
15K124,P.S. 124 Silas B. Dutcher,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,8,No Data,23,No Data,No Data,No Data,No Data,No Data,20,No Data,32
15K094,P.S. 094 The Henry Longfellow,s,s,71,s,No Data,s,29.1%,Dual Language,69,s,398,287,s,166,s,88,s,37.8%,s,123,s,564
03M087,P.S. 087 William Sherman,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
17K705,Brooklyn Arts and Science Elementary School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,8,s,s,s,s,s,s,s,8
14K059,P.S. 059 William Floyd,s,s,No Data,s,No Data,s,100.0%,Dual Language,No Data,s,s,s,No Data,7,No Data,No Data,No Data,No Data,No Data,s,No Data,7
14K059,P.S. 059 William Floyd,No Data,No Data,s,No Data,No Data,27,No Data,Dual Language,s,No Data,No Data,30,s,29,s,s,s,s,s,19,s,58
17K705,Brooklyn Arts and Science Elementary School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,13,s,s,s,s,s,s,s,14
23K137,P.S./I.S. 137 Rachel Jean Mitchell,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
03M256,M.S. 256 Academic & Athletic Excellence,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
12X458,Samara Community School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,15,No Data,20,No Data,No Data,No Data,No Data,No Data,11,No Data,23
25Q020,P.S. 020 John Bowne,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,s,s,43,s,16,s,100.0%,Dual Language,38,s,s,71,s,136,s,19,s,50.0%,s,22,s,137
03M075,P.S. 075 Emily Dickinson,No Data,No Data,18,No Data,No Data,13,No Data,Dual Language,10,No Data,No Data,61,9,97,26.8%,20,24,32.1%,16.1%,21,42.9%,125
09X449,Grant Avenue Elementary School,No Data,No Data,11,No Data,No Data,13,No Data,Dual Language,s,No Data,No Data,30,s,54,s,26,s,45.8%,s,No Data,s,69
20K179,P.S. 179 Kensington,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
20K180,The SEEALL Academy,s,s,s,s,No Data,s,s,Dual Language,s,s,s,s,s,s,s,No Data,s,s,s,No Data,s,s
01M184,P.S. 184m Shuang Wen,No Data,No Data,86,No Data,No Data,17,No Data,Dual Language,19,No Data,No Data,227,52,59,37.6%,63,151,32.7%,19.8%,56,57.4%,457
07X005,P.S. 5 Port Morris,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
12X047,P.S. 047 John Randolph,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s
09X457,Sheridan Academy for Young Leaders,No Data,No Data,No Data,No Data,No Data,16,No Data,Dual Language,No Data,No Data,No Data,31,No Data,86,No Data,s,No Data,No Data,No Data,43,No Data,102
17K012,Dr. Jacqueline Peek-Davis School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
06M322,Middle School 322,s,s,16,s,13,s,100.0%,Dual Language,28,s,s,27,s,44,s,No Data,s,38.1%,s,No Data,s,44
01M188,P.S. 188 The Island School,No Data,No Data,s,No Data,No Data,6,No Data,Dual Language,s,No Data,No Data,6,s,11,s,8,s,s,s,6,s,18
06M319,M.S. 319 - Maria Teresa,No Data,No Data,10,No Data,s,s,No Data,Dual Language,s,No Data,No Data,7,s,14,s,No Data,s,71.4%,s,No Data,s,14
11X103,P.S. 103 Hector Fontanez,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,18,No Data,28,No Data,No Data,No Data,No Data,No Data,No Data,No Data,33
18K068,I.S. 068 Isaac Bildersee,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
19K218,J.H.S. 218 James P. Sinnott,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
27Q105,P.S. 105 The Bay School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
19K089,P.S. 089 Cypress Hills,No Data,No Data,10,No Data,s,s,No Data,Dual Language,21,No Data,No Data,27,s,43,s,s,s,28.6%,s,s,s,43
27Q104,P.S. 104 The Bays Water,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
10X023,P.S. 023 The New Children's School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,s,s,s
20K176,P.S. 176 Ovington,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
06M319,M.S. 319 - Maria Teresa,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,7,s,No Data,s,s,s,No Data,s,7
06M098,P.S. 098 Shorac Kappock,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,8,s,No Data,s,s,s,No Data,s,9
24Q110,P.S. 110,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,7,No Data,No Data,No Data,No Data,No Data,7,No Data,7
19K218,J.H.S. 218 James P. Sinnott,No Data,No Data,s,No Data,23,s,No Data,Dual Language,25,No Data,No Data,16,s,33,s,No Data,s,s,s,No Data,s,34
06M004,P.S. 004 Duke Ellington,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,No Data,s,s
09X011,P.S. 011 Highbridge,No Data,No Data,No Data,No Data,No Data,15,No Data,Dual Language,No Data,No Data,No Data,56,No Data,116,No Data,No Data,No Data,No Data,No Data,46,No Data,131
19K159,P.S. 159 Isaac Pitkin,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,10,No Data,21,No Data,No Data,No Data,No Data,No Data,17,No Data,25
17K249,P.S. 249 The Caton,s,s,12,s,No Data,s,100.0%,Dual Language,s,s,s,48,s,82,51.4%,25,s,32.4%,s,s,s,82
22K139,P.S. 139 Alexine A. Fenty,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,No Data,No Data,18,No Data,7,s,No Data,Dual Language,16,No Data,No Data,33,s,52,s,7,s,56.3%,s,9,s,52
12X057,P.S. 057 Crescent,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
14K034,P.S. 034 Oliver H. Perry,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,s
08X448,Soundview Academy for Culture and Scholarship,s,s,7,s,s,s,100.0%,Dual Language,15,s,s,11,s,24,s,No Data,s,33.3%,s,No Data,s,25
24Q089,P.S. 089 Elmhurst,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,11,No Data,20,No Data,No Data,No Data,No Data,No Data,12,No Data,21
14K034,P.S. 034 Oliver H. Perry,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,22,No Data,s,No Data,No Data,No Data,No Data,No Data,22,No Data,48
13K054,P.S. 054 Samuel C. Barnes,s,s,No Data,s,No Data,s,100.0%,Dual Language,No Data,s,s,s,No Data,10,No Data,No Data,No Data,No Data,No Data,s,No Data,10
07X018,P.S. 018 John Peter Zenger,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,16,No Data,23,No Data,No Data,No Data,No Data,No Data,No Data,No Data,27
14K196,P.S. 196 Ten Eyck,s,s,No Data,s,No Data,s,100.0%,Dual Language,No Data,s,s,s,No Data,7,No Data,No Data,No Data,No Data,No Data,No Data,No Data,7
24Q016,P.S. Q016 The Nancy DeBenedittis School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,6,s,s,s,s,s,s,s,7
20K200,P.S. 200 Benson School,No Data,No Data,6,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,75.0%,s,No Data,s,10
03M145,"P.S. 145, The Bloomingdale School",No Data,No Data,12,No Data,No Data,13,No Data,Dual Language,14,No Data,No Data,24,s,50,s,11,s,31.6%,s,15,s,70
06M132,P.S. 132 Juan Pablo Duarte,s,s,9,s,No Data,s,100.0%,Dual Language,20,s,s,34,s,83,s,21,s,34.6%,s,15,s,83
25Q032,P.S. 032 State Street,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,65,20,s,40.0%,16,44,s,33.3%,20,73.3%,131
21K101,P.S. 101 The Verrazano,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,8
24Q007,P.S. 007 Louis F. Simeone,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,7,s,s,s,s,s,s,s,7
10X391,The Angelo Patri Middle School,s,s,No Data,s,s,s,s,Dual Language,s,s,s,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
06M098,P.S. 098 Shorac Kappock,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,No Data,s,s
10X077,Bedford Park Elementary School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
06M178,Professor Juan Bosch Public School,No Data,No Data,8,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,8,s,22,s,s,s,72.7%,s,s,s,22
05M161,P.S. 161 Pedro Albizu Campos,No Data,No Data,42,No Data,18,s,No Data,Dual Language,39,No Data,No Data,81,s,174,s,25,s,35.6%,s,21,s,175
06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,No Data,No Data,11,No Data,6,s,No Data,Dual Language,7,No Data,No Data,11,s,30,s,s,s,55.0%,s,7,s,31
09X109,P.S. 109 Sedgwick,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
08X448,Soundview Academy for Culture and Scholarship,No Data,No Data,6,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,12,s,No Data,s,60.0%,s,No Data,s,12
18K068,I.S. 068 Isaac Bildersee,s,s,s,s,9,9,s,Dual Language,s,66.7%,s,s,s,s,s,No Data,s,s,s,No Data,s,9
08X152,P.S. 152 Evergreen,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
01M184,P.S. 184m Shuang Wen,s,s,15,s,No Data,s,s,Dual Language,6,s,86,56,s,s,s,7,s,46.9%,s,14,s,92
03M084,P.S. 084 Lillian Weber,s,17,s,s,No Data,s,25.0%,Dual Language,s,s,s,12,s,6,s,s,s,s,s,6,s,24
02M001,P.S. 001 Alfred E. Smith,No Data,No Data,No Data,No Data,No Data,9,No Data,Dual Language,No Data,No Data,No Data,35,No Data,12,No Data,No Data,No Data,No Data,No Data,23,No Data,74
06M103,Dos Puentes Elementary School,No Data,No Data,7,No Data,No Data,s,No Data,Dual Language,18,No Data,No Data,47,s,97,s,31,s,25.0%,s,19,s,100
07X161,P.S. 161 Juan Ponce De Leon School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,13,s,18,s,s,s,s,s,s,s,19
06M322,Middle School 322,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,6,s,No Data,s,s,s,No Data,s,6
21K101,P.S. 101 The Verrazano,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,8
20K200,P.S. 200 Benson School,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,s,s,s,s,No Data,s,7
04M182,The Bilingual Bicultural School,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,31,No Data,70,No Data,No Data,No Data,No Data,No Data,22,No Data,70
13K113,M.S. 113 Ronald Edmonds Learning Center,No Data,No Data,7,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,6,6,10,s,No Data,s,53.8%,46.2%,No Data,s,13
01M020,P.S. 020 Anna Silver,No Data,No Data,8,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,22,s,18,50.0%,11,s,30.8%,s,22,s,62
20K170,Ralph A. Fabrizio School,s,s,No Data,s,No Data,s,s,Dual Language,No Data,s,32,14,No Data,s,No Data,No Data,No Data,No Data,No Data,s,No Data,32
15K001,P.S. 001 The Bergen,No Data,No Data,22,No Data,No Data,s,No Data,Dual Language,8,No Data,No Data,61,s,129,40.4%,24,s,38.6%,s,26,s,129
03M145,"P.S. 145, The Bloomingdale School",s,s,s,s,No Data,s,91.7%,Dual Language,s,s,s,6,s,11,s,s,s,s,s,s,s,12
02M001,P.S. 001 Alfred E. Smith,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
15K169,P.S. 169 Sunset Park,s,s,s,s,No Data,s,50.0%,Dual Language,s,s,14,10,s,13,s,No Data,s,s,s,No Data,s,28
20K176,P.S. 176 Ovington,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
20K200,P.S. 200 Benson School,No Data,No Data,15,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,33,6,s,32.6%,14,20,34.9%,14.0%,s,46.5%,57
05M161,P.S. 161 Pedro Albizu Campos,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,8,s,15,s,s,s,s,s,s,s,15
25Q032,P.S. 032 State Street,s,s,s,s,No Data,s,s,Dual Language,s,s,s,14,s,s,s,s,s,s,s,s,s,24
17K006,Norma Adams Clemons Academy,No Data,No Data,No Data,No Data,No Data,s,No Data,Dual Language,No Data,No Data,No Data,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
03M084,P.S. 084 Lillian Weber,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,6,s,s,s,s,s,No Data,s,8
06M319,M.S. 319 - Maria Teresa,No Data,No Data,32,No Data,s,s,No Data,Dual Language,15,No Data,No Data,22,s,55,s,No Data,s,62.7%,s,No Data,s,55
09X163,P.S. 163 Arthur A. Schomburg,No Data,No Data,s,No Data,No Data,s,No Data,Dual Language,s,No Data,No Data,s,s,s,s,No Data,s,s,s,No Data,s,s
06M322,Middle School 322,No Data,No Data,s,No Data,s,s,No Data,Dual Language,s,No Data,No Data,s,s,9,s,No Data,s,s,s,No Data,s,9
