boro_nm,community_board,longitude,bldg_id,hzrd_clas,boro
BROOKLYN,306,-74.005765,808527,B,3
BROOKLYN,306,-74.007138,807996,B,3
BROOKLYN,306,-74.005988,807881,C,3
BROOKLYN,306,-74.006843,855500,B,3
BRONX,209,-73.876512,806627,B,2
MANHATTAN,103,-73.975573,804281,B,1
MANHATTAN,111,-73.935217,805285,C,1
BROOKLYN,306,-74.00685,955274,A,3
STATEN ISLAND,501,-74.079879,812476,B,5
MANHATTAN,111,-73.933081,804695,B,1
MANHATTAN,110,-73.946842,806051,C,1
BROOKLYN,313,-73.992063,394747,B,3
BROOKLYN,302,-73.970853,217152,B,3
BRONX,209,-73.866405,111650,A,2
MANHATTAN,107,-73.968478,36821,B,1
MANHATTAN,103,-73.975009,6630,B,1
MANHATTAN,111,-73.935217,805285,C,1
MANHATTAN,103,-73.977517,847224,B,1
BRONX,209,-73.847966,806367,B,2
MANHATTAN,107,-73.964269,804215,B,1
MANHATTAN,103,-73.98232,805245,B,1
BRONX,209,-73.86416,806972,A,2
MANHATTAN,111,-73.94135,864048,A,1
MANHATTAN,111,-73.940237,804657,A,1
MANHATTAN,111,-73.935217,805285,B,1
MANHATTAN,111,-73.94639,1113,B,1
BRONX,204,-73.919417,101148,B,2
QUEENS,401,-73.935834,810386,C,4
QUEENS,401,-73.935834,810386,C,4
BRONX,209,-73.847966,806367,C,2
BROOKLYN,306,-74.007138,807996,B,3
QUEENS,412,-73.795921,810954,B,4
