dbn,q1_2,q16_c5_r1,q15_c9_r3,q17_c9_r1,q16_c6_r3,q17_c5_r2,q17_c8_r4,q16_c1_r4,q17_c8_r3,q14_c6_r2,q14_c8_r4,q14_c3_r4,q15_c11_r2,q17_c10_r2,q14_c11_r2,q12_r1_c1,q16_c2_r1,q12_r2_c3,q17_c7_r3,q15_c4_r1,q8_2,q14_c11_r4,q17_c7_r2,q15_c8_r2,q16_c9_r4,q15_c9_r1,q17_c8_r2,q9_r3_c2,q14_c7_r4,q15_c6_r2,q10_11,q16_c8_r2,q16_c6_r4,q10_16,q15_c10_r1,q17_c5_r4,q15_c1_r2,q16_c10_r1,q16_c3_r1,q14_c1_r2,q14_c7_r3,q16_c12_r4,q15_c3_r3,q15_c8_r1,q10_12,q17_c1_r3,q16_c9_r3,q17_c4_r1,q17_c4_r4,q15_c11_r4,q14_c11_r3,q10_4,q16_c3_r4,q12_r1_c4,q2_1,q13_c1_r4,q9_r4_c1,q14_c1_r1
06M005,Anest,1-10 hrs,,,1-10 hrs,1-10 hrs,,21-30 hrs,,,,21-30 hrs,,,,0,1-10 hrs,0,,0 hrs,,,,,,,,1.0,,1-10 hrs,0,,61-70 hrs,0,,31-40 hrs,1-10 hrs,,1-10 hrs,1-10 hrs,,,1-10 hrs,,0,1-10 hrs,,0 hrs,31-40 hrs,,,1,21-30 hrs,0,0,21-30 hrs,1.0,0 hrs
11X468,Cartagena,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,1.0,
09X126,Osoria,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,0 hrs,,,,0,0 hrs,0,0 hrs,0 hrs,,,0 hrs,,,,,0.0,0 hrs,0 hrs,0,,,0,,0 hrs,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,0,0 hrs,0,0,0 hrs,1.0,0 hrs
16K243,Howard,,,,,,,41-50 hrs,,,,,,,,0,0 hrs,0,,,,,,,,,,0.0,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,,,,,1,41-50 hrs,0,0,41-50 hrs,1.0,0 hrs
11X287,Bialy,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
11X529,Saunders,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
19K507,Encarnacion,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
13K046,Conard,,,,,,,11-20 hrs,,,,11-20 hrs,,,,0,11-20 hrs,0,,0 hrs,,,,,,,,0.0,,,1,,,0,,,0 hrs,,11-20 hrs,11-20 hrs,,,11-20 hrs,,1,1-10 hrs,,,,,,1,11-20 hrs,0,0,11-20 hrs,0.0,1-10 hrs
20K104,Rossicone,1-10 hrs,,,,,,0 hrs,,,,0 hrs,,,,0,1-10 hrs,0,,1-10 hrs,,,,,,,,1.0,,,0,,,0,,,1-10 hrs,,1-10 hrs,1-10 hrs,,,1-10 hrs,,1,1-10 hrs,,1-10 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,1.0,1-10 hrs
01M650,Santiago,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
15K423,Vernon-Jones,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,0.0,
17K138,Brutus,,,,,,,1-10 hrs,,,,1-10 hrs,,,,0,1-10 hrs,0,,,,,,,,,,,,,0,,,0,,,0 hrs,,,0 hrs,,,0 hrs,,0,0 hrs,,,,,,0,,0,0,1-10 hrs,1.0,1-10 hrs
11X289,Gustavson,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
09X215,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,1,,0.0,
07X157,Miyachi,41-50 hrs,,,,0 hrs,,0 hrs,,,,0 hrs,,,,0,41-50 hrs,0,,0 hrs,,,,,,,,0.0,,0 hrs,0,,,0,,0 hrs,0 hrs,,41-50 hrs,0 hrs,,,0 hrs,,0,0 hrs,,31-40 hrs,0 hrs,,,0,0 hrs,0,0,0 hrs,0.0,31-40 hrs
02M212,Heist,,,,,,,1-10 hrs,,,,,,,,1,1-10 hrs,1,,,,,,,,,,13.0,,,1,,,0,,,21-30 hrs,,,21-30 hrs,,,,,1,21-30 hrs,,,,,,1,,0,0,31-40 hrs,1.0,21-30 hrs
09X022,Tejeda,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
10X206,Neering,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,,
07X600,Guzman,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,1.0,
03M247,Henzi,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
20K229,Dorval,0 hrs,,,0 hrs,0 hrs,,0 hrs,,0 hrs,,0 hrs,,,,0,0 hrs,0,,0 hrs,1.0,,,,,,,0.0,0 hrs,0 hrs,0,,0 hrs,0,,0 hrs,0 hrs,,0 hrs,0 hrs,0 hrs,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,31-40 hrs,0.0,0 hrs
02M896,Ayndow,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,0.0,,,1,,,1,,,,,,,,,,,1,,,,,,,0,,0,0,,0.0,
19K654,Kuzaliwa,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
14K016,Van Gunten,,,,,,,21-30 hrs,,,,21-30 hrs,,,,0,1-10 hrs,0,,1-10 hrs,1.0,,,,,,,0.0,,,0,,,0,,,11-20 hrs,,11-20 hrs,11-20 hrs,,,1-10 hrs,,0,1-10 hrs,,1-10 hrs,31-40 hrs,,,1,21-30 hrs,0,0,1-10 hrs,1.0,0 hrs
10X246,Johnson,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,3.0,,0 hrs,0,,,0,,0 hrs,0 hrs,,0 hrs,0 hrs,,,0 hrs,,1,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,0.0,0 hrs
14K582,kuver,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
13K483,Fullwood,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,1,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
09X414,Clarke,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,1,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
11X016,Higgins,,,,,31-40 hrs,,1-10 hrs,,,,0 hrs,,,,1,31-40 hrs,1,,31-40 hrs,,,,,,,,0.0,,,0,,,0,,1-10 hrs,11-20 hrs,,31-40 hrs,31-40 hrs,,,11-20 hrs,,0,21-30 hrs,,31-40 hrs,1-10 hrs,,,0,1-10 hrs,0,0,0 hrs,0.0,31-40 hrs
06M192,Kravetz,,,,,,,1-10 hrs,,,,1-10 hrs,,,,0,0 hrs,0,,,0.0,,,,,,,1.0,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,,,,,0,0 hrs,0,0,0 hrs,1.0,0 hrs
07X005,Diop,0 hrs,,,,0 hrs,,0 hrs,,,,11-20 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,,0 hrs,0,,,0,,0 hrs,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,1,0,11-20 hrs,1.0,0 hrs
05M157,Gehant,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
19K639,MONEREAU-ST.LOUIS,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,1.0,
02M011,Mueller,31-40 hrs,,,,21-30 hrs,,11-20 hrs,,11-20 hrs,,11-20 hrs,,,,1,31-40 hrs,0,,21-30 hrs,,,,,,,,,11-20 hrs,31-40 hrs,0,,,0,,11-20 hrs,31-40 hrs,,31-40 hrs,11-20 hrs,11-20 hrs,,21-30 hrs,,1,11-20 hrs,,31-40 hrs,11-20 hrs,,,1,11-20 hrs,0,0,41-50 hrs,1.0,11-20 hrs
17K543,Kaplan,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
04M497,Rolle,,,,,,,0 hrs,,,,0 hrs,,,,1,21-30 hrs,0,,21-30 hrs,1.0,,,,,,,0.0,,,0,,,0,,,11-20 hrs,,,0 hrs,,,11-20 hrs,,0,1-10 hrs,,,,,,1,,0,0,0 hrs,1.0,21-30 hrs
12X129,Paez-Estrada,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
05M175,Robinson,,,,,0 hrs,,0 hrs,,,,31-40 hrs,,,,1,0 hrs,0,,,0.0,,,,,,,1.0,,,1,,,1,,31-40 hrs,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,31-40 hrs,0,0,31-40 hrs,1.0,1-10 hrs
06M325,Javier,,,,,,,0 hrs,,,,0 hrs,,,,1,0 hrs,0,,,,,,,,,,,,,0,,,0,,,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,0,0 hrs,0,0,0 hrs,1.0,0 hrs
09X443,Owen,,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,,1-10 hrs,,0 hrs,1-10 hrs,,,1-10 hrs,,1,1-10 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
05M285,Tomasiewicz,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
10X023,McGrath,0 hrs,,,,0 hrs,,0 hrs,,,,0 hrs,,,,1,0 hrs,0,,0 hrs,,,,,,,,0.0,,,0,,,0,,11-20 hrs,0 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,1-10 hrs,11-20 hrs,,,0,0 hrs,0,0,0 hrs,0.0,0 hrs
08X530,Bump,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
03M417,Perry,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
12X006,Aker,1-10 hrs,,,1-10 hrs,1-10 hrs,,1-10 hrs,,,,1-10 hrs,,,,1,1-10 hrs,0,1-10 hrs,1-10 hrs,1.0,,1-10 hrs,,,,,25.0,,,0,,1-10 hrs,0,,1-10 hrs,1-10 hrs,,1-10 hrs,1-10 hrs,,,1-10 hrs,,0,1-10 hrs,,1-10 hrs,1-10 hrs,,,1,1-10 hrs,0,0,1-10 hrs,1.0,1-10 hrs
05M469,Javier,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,,,,1,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,1.0,
08X537,Cesene,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
13K282,,0 hrs,,,,21-30 hrs,,31-40 hrs,,,,0 hrs,,,,0,0 hrs,1,,0 hrs,,,,,,,,,,,0,,,0,,31-40 hrs,21-30 hrs,,0 hrs,21-30 hrs,,,0 hrs,,0,0 hrs,,0 hrs,31-40 hrs,,,0,31-40 hrs,0,1,0 hrs,0.0,0 hrs
02M414,Lowy,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,0.0,
12X480,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,1,,,0,,,,,,,,,,,0,,,,,,,1,,0,1,,0.0,
06M463,Topbas-Mejia,,,,,,,,,,,,,,,0,,0,,,,,,,,,,2.0,,,0,,,0,,,,,,,,,,,1,,,,,,,0,,0,0,,1.0,
10X008,Reardon,0 hrs,,,1-10 hrs,0 hrs,,0 hrs,,1-10 hrs,0 hrs,0 hrs,,,,0,0 hrs,0,,0 hrs,,,,1-10 hrs,,,,1.0,0 hrs,1-10 hrs,0,0 hrs,0 hrs,0,,0 hrs,1-10 hrs,,0 hrs,1-10 hrs,1-10 hrs,,1-10 hrs,0 hrs,0,1-10 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,0.0,0 hrs
12X098,Yeam,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
10X308,Pappas,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,0.0,
20K485,Osler,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
19K663,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,1,,,0,,,,,,,,,,,0,,,,,,,0,,0,1,,0.0,
10X046,Bello-Sullivan,1-10 hrs,0 hrs,1-10 hrs,1-10 hrs,1-10 hrs,1-10 hrs,0 hrs,0 hrs,1-10 hrs,0 hrs,0 hrs,,,,0,1-10 hrs,0,0 hrs,0 hrs,,,1-10 hrs,11-20 hrs,0 hrs,0 hrs,1-10 hrs,,0 hrs,1-10 hrs,1,0 hrs,0 hrs,0,,0 hrs,11-20 hrs,1-10 hrs,1-10 hrs,1-10 hrs,1-10 hrs,,0 hrs,0 hrs,1,1-10 hrs,1-10 hrs,1-10 hrs,1-10 hrs,,,1,0 hrs,0,0,0 hrs,,0 hrs
21K101,Russo,11-20 hrs,,,0 hrs,0 hrs,,0 hrs,,,,11-20 hrs,,,,0,11-20 hrs,0,,0 hrs,,,,,,,,0.0,,,1,,0 hrs,0,,31-40 hrs,0 hrs,,11-20 hrs,0 hrs,,,11-20 hrs,,1,0 hrs,,0 hrs,31-40 hrs,,,1,0 hrs,0,0,0 hrs,0.0,0 hrs
10X225,Delpech,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,0.0,,,1,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
07X001,Grande,1-10 hrs,,,1-10 hrs,11-20 hrs,,1-10 hrs,,31-40 hrs,,11-20 hrs,,,,0,1-10 hrs,0,,31-40 hrs,,,,,,,,0.0,11-20 hrs,1-10 hrs,0,,1-10 hrs,0,,1-10 hrs,31-40 hrs,,31-40 hrs,31-40 hrs,1-10 hrs,,1-10 hrs,,1,1-10 hrs,,1-10 hrs,1-10 hrs,,,1,1-10 hrs,0,0,11-20 hrs,1.0,31-40 hrs
02M546,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,1,,1.0,
22K234,Camillieri,,,,,,,,,,,,,,,0,,0,,,,,,,,,,1.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
03M541,Wilks,,,,,,,,,,,,,,,0,,0,,,1.0,,,,,,,1.0,,,0,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
11X455,Alvarado,,,,,,,,,,,,,,,0,,0,,,,,,,,,,0.0,,,0,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,1.0,
19K149,Rambo,0 hrs,,,0 hrs,151-160 hrs,,151-160 hrs,,151-160 hrs,,151-160 hrs,,,,1,0 hrs,0,0 hrs,0 hrs,1.0,,151-160 hrs,,,,,0.0,,,0,,151-160 hrs,0,,151-160 hrs,151-160 hrs,,0 hrs,151-160 hrs,,,0 hrs,,1,0 hrs,,0 hrs,151-160 hrs,,,1,151-160 hrs,0,0,141-150 hrs,1.0,0 hrs
06M143,Gil,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,0.0,,,1,,,0,,,,,,,,,,,0,,,,,,,1,,0,0,,1.0,
21K096,Dempster,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,0,,,0,,,,,,,,,,,0,,,,,,,0,,0,0,,1.0,
01M509,Meyer,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,,,1.0,,,1,,,0,,,,,,,,,,,1,,,,,,,1,,0,0,,,
10X279,Robinson,0 hrs,,,,0 hrs,,0 hrs,,0 hrs,,0 hrs,,,,0,0 hrs,0,,0 hrs,1.0,,,,,,,0.0,,1-10 hrs,0,,,0,,0 hrs,1-10 hrs,,0 hrs,0 hrs,,,0 hrs,,0,0 hrs,,0 hrs,0 hrs,,,1,0 hrs,0,0,0 hrs,1.0,0 hrs
02M267,McEvoy,,,,,,,0 hrs,,,,0 hrs,,,,0,0 hrs,1,,,1.0,,,,,,,,,,0,,,0,,,31-40 hrs,,,31-40 hrs,,,0 hrs,,0,0 hrs,,,,,,1,,0,0,0 hrs,0.0,0 hrs
