evt_code,evt_ppm,evt_created,evt_udfchar13,evt_udfchar12,evt_updated,evt_udfchar10,evt_schedend,evt_multiequip,evt_mrc,evt_type,evt_start,evt_udfchar06,evt_udfchar03,evt_udfchkbox04,evt_updatecount,evt_completed
1244620,,Dec 24 2015  1:59PM,Completed,,,,Dec 24 2015  1:59PM,-,B-18,JOB,,,,-,0,Dec 24 2015  1:59PM
1971551,,Oct 21 2019 12:59PM,GT Open,,Oct 23 2019 11:25AM,,Oct 21 2019 12:00AM,-,X-07,JOB,,,GRNTHUMB,+,1,
1079082,,Mar 10 2015 10:28AM,Completed,,,,Mar 10 2015 10:28AM,-,B-01,JOB,,,,-,0,Mar 10 2015 10:28AM
2035335,,May 19 2020  4:58PM,GT Open,,Jun 15 2020  3:46PM,,May 19 2020 12:00AM,-,Q-12,JOB,,,GRNTHUMB,+,2,
1129051,,May 29 2015  9:46AM,Completed,,,,May 29 2015  9:46AM,-,B-01,JOB,,,,-,0,May 29 2015  9:46AM
1899557,,May 10 2019  2:43PM,GT Open,,Jun  7 2019  9:06AM,,May 10 2019 12:00AM,-,X-04,JOB,,,GRNTHUMB,+,1,
1132047,,Jun  3 2015  9:24AM,Completed,,,,Jun  3 2015  9:24AM,-,B-01,JOB,,,,-,0,Jun  3 2015  9:24AM
2124247,,Feb 22 2021  4:53PM,GT Open,,Feb 23 2021  8:46AM,,Feb 22 2021 12:00AM,-,Q-03,JOB,,,GRNTHUMB,+,1,
2017270,,Mar 12 2020 11:58AM,GT Needs Scoping,,Mar 12 2020 12:00PM,,Mar 12 2020 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,0,
11571,,Apr 23 2009  2:11PM,Completed,,,,Apr 23 2009 12:00AM,-,Q-03,AA,,,,-,0,Apr 23 2009  2:11PM
2072904,,Sep 25 2020  3:29PM,GT Work Request,,Sep 25 2020  3:38PM,,Sep 25 2020 12:00AM,-,B-16,JOB,,,GRNTHUMB,+,0,
2138763,,Apr  9 2021  2:27PM,GT Open,,Apr 12 2021  3:20PM,,Apr  9 2021 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
1137845,,Jun 14 2015 11:36AM,Completed,,,,Jun 14 2015 11:36AM,-,B-13,JOB,,,,-,0,Jun 14 2015 11:36AM
1295130,,Apr 15 2016  2:37PM,Completed,,,,Apr 15 2016  2:37PM,-,B-19,JOB,,,,-,0,Apr 15 2016  2:37PM
2213932,,Sep 24 2021  3:34PM,GT Open,,Sep 27 2021 12:05PM,,Sep 24 2021 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,1,
1912904,,May 22 2019  3:57PM,GT Open,,Jun 27 2019  2:22PM,,May 22 2019 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,3,
1108529,,Apr 25 2015 11:29AM,Completed,,,,Apr 25 2015 11:29AM,-,B-01,JOB,,,,-,0,Apr 25 2015 11:29AM
1888098,,Apr 12 2019  4:15PM,GT Open,,Jun  7 2019  9:04AM,,Apr 12 2019 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
2243370,,Nov 18 2021  4:09PM,GT Open,,Nov 19 2021  2:24PM,,Nov 18 2021 12:00AM,-,Q-12,JOB,,,GRNTHUMB,+,1,
2049754,,Jul  8 2020  4:41PM,GT Open,,Jul  9 2020  2:12PM,,Jul  8 2020 12:00AM,-,X-01,JOB,,,GRNTHUMB,+,1,
1113664,,May  4 2015  9:30AM,Completed,,,,May  4 2015  9:30AM,-,Q-15,JOB,,,,-,0,May  4 2015  9:30AM
1900651,,May 15 2019 11:25AM,GT Open,,Jun 27 2019  2:23PM,,May 15 2019 12:00AM,-,M-03,JOB,,,GRNTHUMB,+,2,
1184701,,Aug 28 2015  9:34AM,Completed,,,,Aug 28 2015  9:34AM,-,Q-13,JOB,,,,-,0,Aug 28 2015  9:34AM
2141855,,Apr 23 2021  8:53AM,GT Open,,May 11 2021  1:39PM,,Apr 23 2021 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
2489519,,Oct 27 2023 11:34AM,Completed,,,,Oct 27 2023 12:00AM,-,B,IN,,,,-,1,Oct 27 2023 11:34AM
2297848,,Mar 30 2022  9:53AM,GT Open,,Apr  1 2022  2:17PM,,Mar 30 2022 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,1,
2284923,,Feb 22 2022  2:18PM,GT Open,,Mar  7 2022 10:43AM,,Feb 22 2022 12:00AM,-,M-11,JOB,,,GRNTHUMB,+,1,
2257276,,Jan  4 2022  3:34PM,GT Open,,Jan 28 2022  6:49PM,,Jan  4 2022 12:00AM,-,X-07,JOB,,,GRNTHUMB,+,2,
2070393,,Sep 16 2020  6:06PM,GT Open,,Sep 24 2020  9:26AM,,Sep 16 2020 12:00AM,-,Q-06,JOB,,,GRNTHUMB,+,1,
2270193,,Feb  3 2022 10:01AM,GT Open,,Feb  4 2022 12:35PM,,Feb  3 2022 12:00AM,-,M-10,JOB,,,GRNTHUMB,+,1,
2524280,,Mar 18 2024  2:47PM,GT Open,,Mar 18 2024  3:20PM,,Mar 18 2024 12:00AM,-,B-01,JOB,,,GRNTHUMB,+,2,
1116154,,May  8 2015  8:19AM,Completed,,,,May  8 2015  8:19AM,-,MR,JOB,,,,-,0,May  8 2015  8:19AM
2133062,,Mar 17 2021  5:04PM,GT Open,,Mar 24 2021  1:58PM,,Mar 17 2021 12:00AM,-,B-16,JOB,,,GRNTHUMB,-,1,
2013133,,Mar  4 2020 10:30AM,GT Open,,Mar 11 2020  3:50PM,,Mar  4 2020 12:00AM,-,Q-12,JOB,,,GRNTHUMB,+,2,
1224952,,Nov 13 2015  2:04PM,Completed,,,,Nov 13 2015  2:04PM,-,Q-06,JOB,,,,-,0,Nov 13 2015  2:04PM
2297254,,Mar 28 2022 10:49AM,GT Open,,Apr  1 2022  2:18PM,,Mar 28 2022 12:00AM,-,Q-14,JOB,,,GRNTHUMB,+,1,
1031928,,Jan 26 2015 10:22AM,Completed,,,,Jan 26 2015 10:22AM,-,B-01,JOB,,,,-,0,Jan 26 2015 10:22AM
1998120,,Jan 27 2020  3:06PM,GT Open,,Jan 28 2020  8:29AM,,Jan 27 2020 12:00AM,-,B-02,JOB,,,GRNTHUMB,+,1,
1707689,,Jun  7 2018 10:27AM,GT Open,,May  1 2019  8:26AM,,Jun  7 2018 12:00AM,-,X-06,JOB,,,GRNTHUMB,+,8,
1013464,,Dec 18 2014 11:14AM,Completed,,,,Dec 18 2014 11:14AM,-,B-10,JOB,,,,-,0,Dec 18 2014 11:14AM
2124602,,Feb 24 2021  9:24AM,GT Open,,Jan 28 2022  6:21PM,,Feb 24 2021 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,3,
2007877,,Feb 25 2020 10:46AM,GT Open,,Feb 25 2020 11:18AM,,Feb 25 2020 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
1998034,,Jan 27 2020 11:06AM,GT Open,,Jan 28 2020  8:29AM,,Jan 27 2020 12:00AM,-,X-03,JOB,,,GRNTHUMB,-,1,
1255285,,Jan 18 2016  1:13PM,Completed,,,,Jan 18 2016  1:13PM,-,B-06,JOB,,,,-,0,Jan 18 2016  1:13PM
2043580,,Jun 19 2020 11:30AM,GT Open,,Jun 29 2020  9:49AM,,Jun 19 2020 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,2,
2014071,,Mar  6 2020  2:14PM,GT Open,,Mar  9 2020 11:53AM,,Mar  6 2020 12:00AM,-,X-04,JOB,,,GRNTHUMB,+,1,
72164,,Mar 18 2010  7:05AM,,,,,Mar 18 2010  7:05AM,-,Q-16,JOB,,,,-,0,Mar 18 2010  7:05AM
2331561,,Jul  6 2022 11:24AM,GT Open,,Jul  8 2022  1:31PM,,Jul  6 2022 12:00AM,-,B-16,JOB,,,GRNTHUMB,+,1,
1088659,,Mar 20 2015 12:32PM,Completed,,,,Mar 20 2015 12:32PM,-,Q-07,JOB,,,,-,0,Mar 20 2015 12:32PM
11730,,Apr 23 2009  2:18PM,Completed,,,,Apr 23 2009 12:00AM,-,Q-15,IN,,,,-,0,Apr 23 2009  2:18PM
1916708,,Jun  3 2019  9:24AM,GT Open,,Jun 13 2019  8:44AM,,Jun  3 2019 12:00AM,-,X-01,JOB,,,GRNTHUMB,+,1,
12698,,Apr 23 2009  2:32PM,Completed,,,,Apr 23 2009 12:00AM,-,Q-08,IN,,,,-,0,Apr 23 2009  2:32PM
1197442,,Sep 21 2015  2:54PM,Completed,,,,Sep 21 2015  2:54PM,-,X-SE,JOB,,,,-,0,Sep 21 2015  2:54PM
1972060,,Oct 22 2019  5:02PM,GT Open,,Oct 23 2019 11:25AM,,Oct 22 2019 12:00AM,-,X-06,JOB,,,GRNTHUMB,+,1,
2634382,,Mar  4 2025  3:29PM,GT Open,,Mar  7 2025 10:10AM,,Mar  4 2025 12:00AM,-,X-03,JOB,,,GRNTHUMB,-,1,
2043630,,Jun 19 2020 12:35PM,GT Open,,Jun 29 2020  9:49AM,,Jun 19 2020 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,2,
2017252,,Mar 12 2020 11:14AM,GT Open,,Mar 23 2020 12:14PM,,Mar 12 2020 12:00AM,-,B-18,JOB,,,GRNTHUMB,+,2,
1011338,,Dec 14 2014 12:46PM,Completed,,,,Dec 14 2014 12:46PM,-,B-01,JOB,,,,-,0,Dec 14 2014 12:46PM
2101816,,Jan  8 2021  2:31PM,GT Open,,Jan 11 2021  3:09PM,,Jan  8 2021 12:00AM,-,X-03,JOB,,,GRNTHUMB,+,1,
1927072,,Jul  1 2019  9:55AM,GT Open,,Jul  8 2019  3:09PM,,Jul  1 2019 12:00AM,-,B-01,JOB,,,GRNTHUMB,+,1,
2300405,,Apr  7 2022 12:38PM,GT Open,,Apr  7 2022  1:08PM,,Apr  7 2022 12:00AM,-,M-10,JOB,,,GRNTHUMB,+,1,
1976840,,Nov  8 2019  3:30PM,GT Open,,Nov 12 2019  9:04AM,,Nov  8 2019 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,1,
2145350,,May  5 2021  2:21PM,GT Open,,May 11 2021  2:25PM,,May  5 2021 12:00AM,-,B-17,JOB,,,GRNTHUMB,+,4,
1142852,,Jun 22 2015  2:04PM,Completed,,,,Jun 22 2015  2:04PM,-,B-06,JOB,,,,-,0,Jun 22 2015  2:04PM
1999433,,Jan 31 2020  5:38PM,GT Work Request,,Jan 31 2020  5:40PM,,Jan 31 2020 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,0,
2288496,,Mar  2 2022  2:53PM,GT Open,,Mar  7 2022 10:42AM,,Mar  2 2022 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
2212883,,Sep 21 2021  2:31PM,GT Open,,Sep 23 2021 11:00AM,,Sep 21 2021 12:00AM,-,B-18,JOB,,,GRNTHUMB,+,2,
2002980,,Feb 10 2020 12:20PM,GT Open,,Feb 12 2020 10:37AM,,Feb 10 2020 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
2053108,,Jul 20 2020 10:34AM,GT Open,,Jul 22 2020 11:31AM,,Jul 20 2020 12:00AM,-,X-03,JOB,,,GRNTHUMB,+,1,
1899554,,May 10 2019  2:39PM,GT Open,,Jun  7 2019  9:06AM,,May 10 2019 12:00AM,-,X-04,JOB,,,GRNTHUMB,+,2,
1793643,,Sep 26 2018  2:33PM,GT Work Request,,Dec 19 2018 12:01PM,,Sep 26 2018 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
2488794,,Oct 24 2023  2:35PM,GT Hold Awaiting Materials,,Nov 20 2023  2:21PM,,Oct 24 2023 12:00AM,-,Q-04,JOB,,,GRNTHUMB,+,2,
1028118,,Jan 19 2015  9:58AM,Completed,,,,Jan 19 2015  9:58AM,-,M-12A,JOB,,,,-,0,Jan 19 2015  9:58AM
1119899,,May 14 2015 10:31AM,Completed,,,,May 14 2015 10:31AM,-,B-18,JOB,,,,-,0,May 14 2015 10:31AM
1896418,,Apr 29 2019  2:29PM,GT Open,,Jun  7 2019  9:05AM,,Apr 29 2019 12:00AM,-,B-08,JOB,,,GRNTHUMB,+,4,
1820466,,Nov 19 2018  3:02PM,GT Open,,Jun  7 2019  7:45AM,,Nov 19 2018 12:00AM,-,B-06,JOB,,,GRNTHUMB,+,2,
2469628,,Aug 25 2023  2:06PM,Work Request,PASSED,Aug 25 2023  2:07PM,FITNESS,,-,R-02B,JOB,,,DISTRICT,+,0,
1912735,,May 22 2019 10:33AM,GT Work Request,,May 22 2019 10:36AM,,May 22 2019 12:00AM,-,X-01,JOB,,,GRNTHUMB,+,0,
2300475,,Apr  7 2022  2:43PM,GT Open,,Apr  8 2022  3:30PM,,Apr  7 2022 12:00AM,-,B-03,JOB,,,GRNTHUMB,+,1,
2097423,,Dec 18 2020  3:54PM,GT Open,,Dec 23 2020  8:35AM,,Dec 18 2020 12:00AM,-,X-03,JOB,,,GRNTHUMB,+,1,
1984412,,Dec 10 2019  2:13PM,GT Open,,Dec 11 2019  8:31AM,,Dec 10 2019 12:00AM,-,M-11,JOB,,,GRNTHUMB,+,1,
1596055,,Dec 14 2017  1:26PM,Completed,,,,Dec 14 2017 12:00AM,-,M,IN,,,,-,1,Dec 14 2017  1:26PM
1698864,,May 19 2018 11:55AM,GT Work Request,,Dec 19 2018 12:30PM,,Jul 31 2018 12:00AM,-,B-04,JOB,,,GRNTHUMB,+,2,
2298946,,Apr  1 2022  2:13PM,GT Open,,Apr  1 2022  2:17PM,,Apr  1 2022 12:00AM,-,B-18,JOB,,,GRNTHUMB,+,1,
1024161,,Jan 11 2015  9:40AM,Completed,,,,Jan 11 2015  9:40AM,-,B-01,JOB,,,,-,0,Jan 11 2015  9:40AM
2094824,,Dec  7 2020  7:07PM,GT Open,,Dec 10 2020  9:11AM,,Dec  7 2020 12:00AM,-,M-12,JOB,,,GRNTHUMB,+,1,
1980507,,Nov 22 2019  3:14PM,GT Open,,Nov 25 2019  9:39AM,,Nov 22 2019 12:00AM,-,B-06,JOB,,,GRNTHUMB,+,1,
1015914,,Dec 23 2014 11:46AM,Completed,,,,Dec 23 2014 11:46AM,-,B-06,JOB,,,,-,0,Dec 23 2014 11:46AM
2246944,,Dec  2 2021  2:11PM,GT Open,,Dec  3 2021  1:38PM,,Dec  2 2021 12:00AM,-,M-03,JOB,,,GRNTHUMB,+,1,
2042349,,Jun 15 2020  2:26PM,GT Open,,Jun 29 2020  9:49AM,,Jun 15 2020 12:00AM,-,X-02,JOB,,,GRNTHUMB,+,2,
1919878,,Jun 12 2019  2:49PM,GT Open,,Jun 27 2019  2:28PM,,Jun 12 2019 12:00AM,-,B-05,JOB,,,GRNTHUMB,+,3,
