instruction_days,religious_holydays,attendance_02,aggregate_attendance,register_06,grade_code
12,4,150.0,1838.0,0,0
12,4,401.0,5012.0,0,0
12,4,356.0,4454.0,0,0
12,4,242.0,2895.0,0,0
12,4,363.0,4718.0,0,0
12,4,448.0,5629.0,0,0
12,4,222.0,2711.0,0,0
12,4,394.0,4819.0,0,0
12,4,818.0,10150.0,0,0
12,4,313.0,3937.0,0,0
12,4,48.0,568.0,0,0
12,4,376.0,4660.0,0,0
12,4,57.0,677.0,0,0
12,4,923.0,11307.0,0,0
12,4,267.0,3493.0,0,0
12,4,431.0,5335.0,0,0
12,4,171.0,2133.0,0,0
12,4,550.0,6778.0,0,0
12,4,354.0,4261.0,0,0
12,4,613.0,7663.0,0,0
12,4,939.0,11451.0,0,0
12,4,466.0,5750.0,0,0
12,4,611.0,7499.0,0,0
6,4,,315.0,0,0
