famtype_pu,est_commuting,est_nutrition,intp_adj,est_povgap,est_heap,retp_adj,np,rntp_adj,educattain
1,2234.5,0.0,0.0,0.0,0,0.0,4,1620.9552,1.0
2,0.0,0.0,233.01231,0.0,0,1418.3358,3,0.0,1.0
6,0.0,574.0,6078.582,0.0,0,0.0,2,0.0,2.0
2,0.0,0.0,0.0,0.0,0,25327.426,2,0.0,1.0
4,0.0,612.5,0.0,0.0,21,0.0,3,1013.097,3.0
2,1476.0,0.0,5065.4849,0.0,0,0.0,2,0.0,4.0
1,0.0,612.5,0.0,0.0,0,0.0,3,1418.3358,1.0
1,1865.0626,0.0,0.0,0.0,0,0.0,4,0.0,4.0
4,0.0,4851.5,0.0,910.67383,35,0.0,2,293.79813,1.0
1,2816.7,612.5,0.0,0.0,0,0.0,4,1620.9552,2.0
1,6131.4678,0.0,0.0,0.0,0,0.0,4,0.0,
6,2932.3201,2358.0,0.0,2606.9922,21,0.0,3,1317.0261,3.0
2,1377.6,8058.0,0.0,0.0,0,0.0,5,0.0,1.0
1,11066.75,1837.5,0.0,0.0,0,0.0,6,2127.5037,1.0
2,0.0,0.0,0.0,0.0,0,0.0,2,2228.8135,2.0
1,11066.75,1837.5,0.0,0.0,0,0.0,6,2127.5037,4.0
1,5412.0,6107.5,0.0,0.0,35,0.0,10,2127.5037,4.0
1,2234.5,0.0,0.0,0.0,0,0.0,4,1620.9552,1.0
2,2706.0,0.0,0.0,0.0,0,0.0,3,0.0,3.0
2,0.0,0.0,0.0,0.0,0,5977.2725,2,0.0,1.0
7,0.0,0.0,0.0,0.0,0,0.0,3,3951.0784,4.0
1,0.0,0.0,0.0,0.0,0,0.0,3,1317.0261,4.0
1,1476.0,0.0,1519.6455,0.0,0,0.0,3,3951.0784,2.0
8,0.0,0.0,0.0,7120.3096,0,0.0,1,1620.9552,4.0
8,1205.4,0.0,0.0,0.0,0,0.0,1,1013.097,4.0
1,2706.0,1225.0,0.0,0.0,0,0.0,5,0.0,1.0
2,0.0,2250.0,1013.097,0.0,0,0.0,2,0.0,4.0
4,1230.0,3931.75,0.0,6024.0898,0,0.0,6,0.0,1.0
4,0.0,15370.75,0.0,31267.734,0,0.0,7,2836.6716,1.0
4,0.0,15370.75,0.0,31267.734,0,0.0,7,2836.6716,1.0
2,0.0,0.0,0.0,0.0,0,14588.597,2,0.0,1.0
8,2681.3999,0.0,0.0,0.0,0,0.0,1,719.29889,1.0
2,3558.6523,6733.0,0.0,0.0,0,0.0,5,0.0,2.0
3,5653.6948,612.5,0.0,0.0,0,0.0,5,1722.2649,1.0
2,0.0,3535.0,0.0,8902.6738,0,0.0,3,0.0,1.0
8,0.0,2277.0,0.0,5133.0527,35,0.0,1,678.77496,1.0
1,2774.8799,612.5,0.0,0.0,0,0.0,4,2330.123,4.0
2,1722.0,0.0,0.0,0.0,0,0.0,2,992.83508,4.0
6,0.0,4395.0,0.0,4444.8379,0,0.0,2,0.0,2.0
4,1862.0834,614.0,0.0,780.52338,0,0.0,2,1418.3358,3.0
5,3353.8,0.0,0.0,0.0,0,0.0,5,0.0,3.0
1,2706.0,1225.0,0.0,0.0,0,0.0,5,0.0,4.0
