dbn,male_2,ell_chinese_2,asian_1,grade_6,grade_5,grade_8,ell_urdu_2,math_test_takers,ell_korean_2,category,ell_urdu_1,ell_haitian_creole_1,math_l3_l4_2,ell_arabic_1,ell_spanish_1,math_level_4_2,ell_bengali_2,ela_level_1_1,ela_level_1_2,grade_k,grade_2
07X161,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
04M206,s,No Data,s,No Data,s,No Data,No Data,18,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,11,61.1%,No Data,No Data
19K214,38.9%,s,s,No Data,No Data,No Data,s,s,s,English Language Learners,s,s,s,s,16,s,s,s,s,s,s
13K113,s,No Data,s,s,No Data,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
09X274,48.2%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
09X109,s,No Data,s,No Data,s,No Data,No Data,7,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
03M180,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
02M001,52.6%,100.0%,19,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,s,s
03M256,65.2%,No Data,s,No Data,No Data,11,No Data,23,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
06M178,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
22K139,37.0%,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,26,No Data,s,No Data,No Data,10,6
15K124,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,s,No Data
25Q130,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
21K238,55.6%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,18,No Data
13K046,s,No Data,s,No Data,s,No Data,No Data,7,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
09X274,41.5%,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,40,No Data,s,No Data,No Data,s,23
22K139,48.3%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,16,17
24Q089,48.8%,No Data,30,No Data,56,No Data,No Data,181,No Data,All Students,No Data,No Data,69.6%,No Data,No Data,35.4%,No Data,6,3.4%,98,61
15K001,47.3%,No Data,s,No Data,No Data,No Data,No Data,57,No Data,Receive free or reduced price lunch,No Data,No Data,45.6%,No Data,No Data,21.1%,No Data,s,s,21,25
10X246,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,No Data,s
04M072,46.0%,No Data,s,No Data,No Data,No Data,No Data,26,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,10,41.7%,No Data,22
09X274,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
12X458,40.6%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,45,41
06M132,43.3%,No Data,s,No Data,19,No Data,No Data,67,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,16,26.7%,19,21
12X463,s,No Data,s,No Data,s,No Data,No Data,6,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
20K180,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
16K627,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,8,No Data
18K068,s,No Data,s,No Data,No Data,No Data,No Data,11,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
21K228,39.2%,No Data,35,No Data,No Data,91,No Data,140,No Data,All Students,No Data,No Data,55.7%,No Data,No Data,22.9%,No Data,s,s,No Data,No Data
19K089,48.9%,No Data,s,51,47,56,No Data,275,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,106,39.8%,39,35
08X182,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
03M145,41.2%,No Data,s,No Data,6,No Data,No Data,11,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
06M128,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
21K281,47.8%,No Data,49,45,No Data,No Data,No Data,69,No Data,All Students,No Data,No Data,50.7%,No Data,No Data,24.6%,No Data,20,35.1%,No Data,No Data
13K046,70.8%,s,s,No Data,s,No Data,s,7,s,English Language Learners,s,s,s,s,24,s,s,s,s,s,s
21K090,42.5%,No Data,s,No Data,No Data,No Data,No Data,26,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,14,53.8%,6,17
04M182,50.0%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
07X018,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
24Q061,51.7%,No Data,s,s,No Data,s,No Data,28,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,20,69.0%,No Data,No Data
06M178,35.3%,s,s,No Data,s,No Data,s,7,s,English Language Learners,s,s,s,s,17,s,s,s,s,s,s
03M163,s,s,s,No Data,No Data,No Data,s,s,s,English Language Learners,s,s,s,s,12,s,s,s,s,s,s
20K506,46.8%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,25,No Data
15K169,41.5%,No Data,28,No Data,No Data,No Data,No Data,s,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,50,s
03M247,s,No Data,s,No Data,No Data,15,No Data,15,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
14K034,46.2%,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,16,No Data
14K084,s,No Data,s,s,s,No Data,No Data,11,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,6,60.0%,No Data,s
17K249,54.1%,No Data,s,No Data,23,No Data,No Data,85,No Data,Receive free or reduced price lunch,No Data,No Data,82.4%,No Data,No Data,48.2%,No Data,7,8.2%,No Data,40
17K189,56.3%,No Data,s,7,s,11,No Data,29,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
05M200,47.8%,No Data,s,No Data,6,No Data,No Data,16,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,14,93.3%,No Data,s
25Q020,59.1%,95.5%,21,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,22,No Data
13K054,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
09X011,49.0%,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,51,No Data,s,No Data,No Data,12,16
04M372,56.7%,s,s,No Data,No Data,14,s,29,s,English Language Learners,s,s,s,s,30,s,s,17,58.6%,No Data,No Data
05M175,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
22K139,50.0%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,24,22
06M048,51.6%,No Data,s,No Data,24,No Data,No Data,70,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,24,35.3%,18,18
06M008,44.6%,s,s,No Data,12,No Data,s,37,s,English Language Learners,s,s,s,s,74,s,s,22,71.0%,6,17
07X049,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
15K051,43.8%,No Data,s,No Data,No Data,No Data,No Data,32,No Data,Receive free or reduced price lunch,No Data,No Data,100.0%,No Data,No Data,56.3%,No Data,s,s,No Data,No Data
09X443,42.7%,s,s,No Data,18,No Data,s,39,s,English Language Learners,s,s,s,s,81,s,s,23,71.9%,16,12
11X087,s,s,s,No Data,No Data,No Data,s,s,s,English Language Learners,s,s,s,s,s,s,s,s,s,No Data,No Data
17K006,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,s,No Data
20K030,39.0%,No Data,s,No Data,No Data,No Data,No Data,19,No Data,All Students,No Data,No Data,78.9%,No Data,No Data,36.8%,No Data,6,31.6%,No Data,20
14K034,45.8%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,26,No Data
19K089,52.5%,No Data,s,s,7,9,No Data,29,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,15,57.7%,s,s
24Q311,43.2%,No Data,s,29,No Data,30,No Data,88,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
15K058,35.3%,No Data,s,No Data,7,No Data,No Data,14,No Data,Attend school outside district of residence,No Data,No Data,100.0%,No Data,No Data,50.0%,No Data,s,s,No Data,s
03M087,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
15K024,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
01M188,51.0%,No Data,s,No Data,No Data,No Data,No Data,17,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,19
24Q311,40.7%,s,s,14,No Data,s,s,27,s,English Language Learners,s,s,s,s,27,s,s,13,68.4%,No Data,No Data
03M075,63.6%,No Data,s,No Data,11,No Data,No Data,38,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,17,43.6%,6,9
25Q079,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,s,No Data
21K090,43.8%,No Data,s,No Data,No Data,No Data,No Data,7,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
24Q110,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
06M098,58.1%,No Data,s,No Data,11,No Data,No Data,36,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,23,63.9%,No Data,26
21K281,47.2%,No Data,24,24,No Data,No Data,No Data,36,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,12,37.5%,No Data,No Data
07X018,59.3%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,27,No Data
03M247,s,No Data,s,No Data,No Data,7,No Data,7,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
09X218,49.7%,No Data,s,11,13,s,No Data,65,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,28,41.8%,26,35
06M004,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
24Q007,49.1%,No Data,23,No Data,No Data,No Data,No Data,15,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,34,17
13K046,40.0%,No Data,s,No Data,s,No Data,No Data,9,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
07X018,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,9,No Data
09X443,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
14K196,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
26Q162,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
09X070,42.9%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,14,No Data
24Q229,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,No Data,No Data
15K516,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
08X182,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
14K018,51.1%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,20,No Data
08X152,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
25Q020,48.9%,No Data,42,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,47,No Data
11X121,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
02M042,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
24Q211,49.1%,No Data,s,No Data,No Data,No Data,No Data,29,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,46,41
13K020,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
25Q079,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
14K250,s,No Data,7,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,11,No Data
20K179,s,s,s,No Data,No Data,No Data,s,11,s,English Language Learners,s,s,s,s,11,s,s,7,63.6%,No Data,No Data
04M155,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
09X311,49.6%,No Data,s,No Data,32,No Data,No Data,84,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,42,51.2%,42,55
24Q013,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Students with Disabilities,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
17K375,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12X463,47.4%,No Data,s,No Data,16,No Data,No Data,48,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,16,32.7%,s,s
26Q173,38.5%,No Data,137,No Data,28,No Data,No Data,86,No Data,All Students,No Data,No Data,93.0%,No Data,No Data,68.6%,No Data,6,7.4%,No Data,31
25Q130,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
01M378,s,100.0%,7,7,No Data,No Data,s,7,s,English Language Learners,s,s,s,s,s,s,s,s,s,No Data,No Data
06M153,s,No Data,s,No Data,s,No Data,No Data,6,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
09X011,48.4%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,11,11
19K345,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
19K065,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
05M200,s,No Data,s,No Data,s,No Data,No Data,6,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,6,100.0%,No Data,No Data
10X046,42.6%,No Data,s,No Data,16,No Data,No Data,80,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,40,51.9%,12,30
09X053,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
03M256,s,s,s,No Data,No Data,s,s,8,s,English Language Learners,s,s,s,s,s,s,s,s,s,No Data,No Data
13K020,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,s,No Data,s,No Data,No Data,s,No Data
20K176,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
21K090,42.5%,No Data,s,No Data,No Data,No Data,No Data,26,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,14,53.8%,6,17
25Q163,54.4%,100.0%,57,No Data,s,No Data,s,27,s,English Language Learners,s,s,85.2%,s,s,40.7%,s,s,s,No Data,29
11X087,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
06M322,55.4%,No Data,s,17,No Data,23,No Data,64,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,27,43.5%,No Data,No Data
20K030,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
25Q130,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
17K012,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
06M348,47.1%,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,34,36
13K113,s,s,s,s,No Data,No Data,s,s,s,English Language Learners,s,s,s,s,s,s,s,s,s,No Data,No Data
17K399,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
24Q016,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
07X161,s,No Data,s,No Data,s,No Data,No Data,8,No Data,Students with Disabilities,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
20K030,37.0%,No Data,s,No Data,No Data,No Data,No Data,15,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,40.0%,No Data,6,40.0%,No Data,17
11X370,s,No Data,s,No Data,No Data,s,No Data,s,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
05M046,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
03M180,53.2%,No Data,s,No Data,No Data,No Data,No Data,17,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,16
07X049,s,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,9,No Data,s,No Data,No Data,9,No Data
19K159,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Reside in temporary housing,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
05M200,47.1%,No Data,s,No Data,s,No Data,No Data,13,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,12,100.0%,No Data,s
09X114,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
20K506,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,No Data
19K662,46.2%,No Data,s,No Data,No Data,19,No Data,36,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,20,51.3%,No Data,No Data
04M206,s,No Data,s,No Data,s,No Data,No Data,7,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
20K506,54.2%,s,s,No Data,No Data,No Data,s,No Data,s,English Language Learners,s,s,No Data,s,22,No Data,s,No Data,No Data,12,No Data
14K250,s,No Data,7,No Data,No Data,No Data,No Data,No Data,No Data,Receive free or reduced price lunch,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,11,No Data
10X246,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,All Students,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s
02M042,s,No Data,s,No Data,s,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,No Data
09X073,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Attend school outside district of residence,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
09X073,52.4%,No Data,s,No Data,6,No Data,No Data,18,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,8,66.7%,6,9
20K180,s,No Data,s,No Data,No Data,No Data,No Data,s,No Data,Receive free or reduced price lunch,No Data,No Data,s,No Data,No Data,s,No Data,s,s,No Data,s
10X054,43.0%,s,s,No Data,No Data,No Data,s,26,s,English Language Learners,s,s,s,s,78,s,s,17,70.8%,19,13
13K020,47.6%,No Data,s,No Data,No Data,No Data,No Data,12,No Data,All Students,No Data,No Data,s,No Data,No Data,s,No Data,s,s,19,17
09X457,s,No Data,s,No Data,No Data,No Data,No Data,No Data,No Data,Attend school outside district of residence,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,s
06M008,40.0%,No Data,s,No Data,s,No Data,No Data,s,No Data,Reside in temporary housing,No Data,No Data,s,No Data,No Data,s,No Data,s,s,s,s
