recordid,address,y,:@computed_region_f5dn_yrer,:@computed_region_efsh_h5xi,zip_new,house_number,borough,cb_new,location,support_structure,nta_2010
217,101 BARCLAY ST,199311.4118,56.0,11728.0,10007,101.0,Manhattan,101,"{'latitude': '40.71374', 'longitude': '-74.011889'}",,MN24
5,80 N MOORE ST,201649.9518,56.0,12076.0,10013,80.0,Manhattan,101,"{'latitude': '40.720159', 'longitude': '-74.010532'}",,MN24
778,21 SPRING ST,202133.2824,57.0,12075.0,10012,21.0,Manhattan,102,"{'latitude': '40.721486', 'longitude': '-73.995137'}",,MN24
647,118 MULBERRY ST,200775.0389,57.0,12076.0,10013,118.0,Manhattan,102,"{'latitude': '40.717758', 'longitude': '-73.998173'}",,MN24
937,155 1 AV,204699.1694,70.0,11724.0,10003,155.0,Manhattan,103,"{'latitude': '40.728528', 'longitude': '-73.984633'}",,MN22
617,179 GRAND ST,201406.8825,57.0,12076.0,10013,179.0,Manhattan,102,"{'latitude': '40.719492', 'longitude': '-73.99779'}",,MN24
748,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
552,500 GREENWICH ST,203742.3402,57.0,12076.0,10013,500.0,Manhattan,102,"{'latitude': '40.725902', 'longitude': '-74.009159'}",Stakes / Wires,MN24
735,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
688,38 WEST ST,197002.675,56.0,10367.0,10006,38.0,Manhattan,101,"{'latitude': '40.707402', 'longitude': '-74.015628'}",,MN25
99,33 THOMAS ST,200245.2749,56.0,11728.0,10007,33.0,Manhattan,101,"{'latitude': '40.716304', 'longitude': '-74.006176'}",,MN24
814,35 STUYVESANT ST,205208.425,70.0,11724.0,10003,35.0,Manhattan,103,"{'latitude': '40.729926', 'longitude': '-73.987868'}",,MN22
737,390 GREENWICH ST,201828.2305,56.0,12076.0,10013,390.0,Manhattan,101,"{'latitude': '40.720648', 'longitude': '-74.010119'}",,MN24
578,47 BEACH ST,201825.074,56.0,12076.0,10013,47.0,Manhattan,101,"{'latitude': '40.72064', 'longitude': '-74.008966'}",,MN24
406,155 Avenue of the Amer,203561.4161,57.0,12075.0,10013,155.0,Manhattan,102,"{'latitude': '40.725406', 'longitude': '-74.004057'}",,MN24
506,34 KING ST,204411.2414,57.0,12077.0,10014,34.0,Manhattan,102,"{'latitude': '40.727738', 'longitude': '-74.003997'}",,MN24
47,290 BROADWAY,199680.6589,56.0,11728.0,10007,290.0,Manhattan,101,"{'latitude': '40.714754', 'longitude': '-74.005823'}",,MN24
32,290 BROADWAY,199680.6589,56.0,11728.0,10007,290.0,Manhattan,101,"{'latitude': '40.714754', 'longitude': '-74.005823'}",,MN24
789,319 E 9 ST,204870.7669,70.0,11724.0,10003,319.0,Manhattan,103,"{'latitude': '40.728999', 'longitude': '-73.986781'}",,MN22
849,159 2 AV,205125.8425,70.0,11724.0,10003,159.0,Manhattan,103,"{'latitude': '40.729699', 'longitude': '-73.986871'}",,MN22
199,275 GREENWICH ST,199844.3514,56.0,11728.0,10007,275.0,Manhattan,101,"{'latitude': '40.715203', 'longitude': '-74.011244'}",,MN24
