app_id,business_name,app_chairs,city,dpqa,send_package_dd,swc_tables,hearing_dd,cp,nan with license_nbr,Approved with license_nbr,Pending Review with license_nbr
8475-2018-RSWC,"HUSSIEN ENVIRONMENT, INC.",16,NEW YORK,Issued Temp Op Letter,2018-05-18T00:00:00.000,9,,Pending Review,,,0916146-DCA
4810-2018-RSWC,MY MOST FAVORITE 72ND ST. CORP.,27,NEW YORK,Issued Temp Op Letter,2018-03-19T00:00:00.000,10,,Pending Review,,,1379700-DCA
34400-2019-RSWC,SALERNITANI LTD,16,NEW YORK,Issued Temp Op Letter,2019-12-04T00:00:00.000,8,2020-01-24T00:00:00.000,Pending Review,,,1391390-DCA
3757-2020-RSWC,PATRICIAS MORRIe PARK CORP.,16,BRONX,Issued Temp Op Letter,2020-02-25T00:00:00.000,4,2020-04-17T00:00:00.000,Pending Review,,,2014465-DCA
19318-2019-RSWC,UNCLE ABIES DELI ON FIRST INC.,40,NEW YORK,Issued Temp Op Letter,2019-05-23T00:00:00.000,11,2020-01-29T00:00:00.000,Proceed Objections Cured,,,1398066-DCA
6572-2018-RSWC,TERMINUS RESTAURANT ASSOCIATES LLC,28,NEW YORK,Issued Temp Op Letter,2018-06-18T00:00:00.000,14,2020-01-24T00:00:00.000,Proceed Objections Cured,,,1022739-DCA
1143-2020-RSWC,"LA PETIT AMELIE, LLC",8,NEW YORK,Issued Temp Op Letter,2020-01-21T00:00:00.000,4,,Pending Review,,,2056574-DCA
27291-2019-RSWC,VABEH FIRST LLC,12,BROOKLYN,Issued Temp Op Letter,2019-09-23T00:00:00.000,6,2019-11-27T00:00:00.000,Pending Review,,,2048673-DCA
35191-2019-RSWC,BUBBYS MP LLC,70,NEW YORK,Issued Temp Op Letter,2019-12-13T00:00:00.000,33,2020-02-13T00:00:00.000,Pending Review,,,1469750-DCA
34812-2019-RSWC,"BILL'S DTM NY, LLC",14,NEW YORK,Issued Temp Op Letter,2019-12-10T00:00:00.000,7,2020-01-29T00:00:00.000,Pending Review,,,1465832-DCA
28090-2019-RSWC,B.L.T.G. PIZZA INC.,30,NEW YORK,Approved,2019-09-27T00:00:00.000,15,2019-12-06T00:00:00.000,,,2056569-DCA,
26326-2019-RSWC,"PLAN A GROUP, LLC",16,NEW YORK,Issued Temp Op Letter,2019-09-09T00:00:00.000,4,2019-10-29T00:00:00.000,Pending Review,,,1458966-DCA
2953-2020-RSWC,VANETT INC.,14,BRONX,Issued Temp Op Letter,2020-02-11T00:00:00.000,7,2020-04-08T00:00:00.000,Pending Review,,,1198574-DCA
3070-2013-RSWC,I MALATESTA TRATTORIA INC.,35,NEW YORK,Issued Temp Op Letter,2016-06-09T00:00:00.000,18,2014-01-17T00:00:00.000,Pending Review,,,1076713-DCA
6549-2020-RSWC,POLLOS MARIO WOODHAVEN CORP.,40,REGO PARK,Issued Temp Op Letter,,10,,Pending Review,,,1305734-DCA
2581-2020-RSWC,HONEYBRAINS LAFAYETTE LLC,19,NEW YORK,Issued Temp Op Letter,2020-02-05T00:00:00.000,10,2020-03-25T00:00:00.000,Pending Review,,,2051482-DCA
20815-2019-RSWC,"SHARAKU, INC.",18,NEW YORK,Issued Temp Op Letter,2019-05-28T00:00:00.000,9,,Pending Review,,,1323624-DCA
15080-2019-RSWC,SARABETH'S PAS LLC,46,NEW YORK,Withdrawal - Refund Request,2019-03-25T00:00:00.000,23,2019-05-16T00:00:00.000,,,1457685-DCA,
35842-2019-RSWC,SOFIA 61ST STREET CORP.,8,NEW YORK,Process Completed,2019-12-23T00:00:00.000,3,2020-03-12T00:00:00.000,,1463548-DCA,,
18656-2019-RSWC,MAC 1 FOOD AND BEVERAGE LLC,32,NEW YORK,Issued Temp Op Letter,2019-04-25T00:00:00.000,5,2019-06-14T00:00:00.000,Proceed,,,2063387-DCA
34704-2019-RSWC,"TIN MARIN BAR & LOUNGE, INC.",14,BRONX,Issued Temp Op Letter,2019-12-09T00:00:00.000,7,2020-01-29T00:00:00.000,Pending Review,,,1454468-DCA
18213-2019-RSWC,3713 RIVERDALE REST CORP.,21,BRONX,Issued Temp Op Letter,2019-04-24T00:00:00.000,9,2019-06-14T00:00:00.000,Pending Review,,,2058401-DCA
3682-2020-RSWC,CALOUNE CORP.,8,LONG ISLAND CITY,Issued Temp Op Letter,2020-02-21T00:00:00.000,4,2020-04-17T00:00:00.000,Pending Review,,,1280217-DCA
35841-2019-RSWC,22 EAST 54TH STREET RESTAURANT CORP.,10,NEW YORK,Issued Temp Op Letter,2020-02-14T00:00:00.000,5,2020-03-05T00:00:00.000,Pending Review,,,1248652-DCA
26578-2019-RSWC,"NARICHE, LLC",44,NEW YORK,Issued Temp Op Letter,2019-09-18T00:00:00.000,20,2020-04-17T00:00:00.000,Pending Review,,,1459346-DCA
20849-2019-RSWC,"MAGNOLIA COLUMBUS AVENUE, LLC",34,NEW YORK,Issued Temp Op Letter,2019-05-28T00:00:00.000,15,,Pending Review,,,1271565-DCA
16864-2019-RSWC,"TAPPO, INC.",10,NEW YORK,Issued Temp Op Letter,2019-04-04T00:00:00.000,5,2019-05-30T00:00:00.000,Pending Review,,,1385967-DCA
20102-2019-RSWC,LENWICH 54TH LLC,35,NEW YORK,Issued Temp Op Letter,2019-05-20T00:00:00.000,19,,Pending Review,,,2042255-DCA
18098-2019-RSWC,TRIM CASTLE CORP.,21,NEW YORK,Issued Temp Op Letter,2019-04-19T00:00:00.000,8,2019-05-20T00:00:00.000,Pending Review,,,1414471-DCA
31265-2018-RSWC,ONE MELON LLC,28,NEW YORK,Approved,2018-12-10T00:00:00.000,14,2019-01-31T00:00:00.000,,,2021429-DCA,
12415-2019-ASWC,ABI GROUP LLC,42,BROOKLYN,Under Review,2019-11-01T00:00:00.000,11,,Pending Review,,,2091930-DCA
31960-2019-RSWC,PQ FIRST INC,8,NEW YORK,Issued Temp Op Letter,2019-11-14T00:00:00.000,4,2020-01-06T00:00:00.000,Pending Review,,,1251803-DCA
6115-2018-RSWC,"CAFE 71, INC.",29,NEW YORK,Issued Temp Op Letter,2018-04-05T00:00:00.000,9,,Proceed,,,1223566-DCA
6032-2020-RSWC,VIDA MEXICANA INC.,36,NEW YORK,Issued Temp Op Letter,,18,,Pending Review,,,1347915-DCA
36469-2019-RSWC,SWEET CHICK FLATBUSH LLC,34,BROOKLYN,Issued Temp Op Letter,2019-12-31T00:00:00.000,14,2020-03-06T00:00:00.000,Pending Review,,,2059550-DCA
3108-2020-RSWC,SLHGI,19,NEW YORK,Issued Temp Op Letter,2020-02-13T00:00:00.000,5,2020-04-08T00:00:00.000,Pending Review,,,1428232-DCA
3018-2020-RSWC,753 WASHINGTON TRATTORIA INC.,24,NEW YORK,Issued Temp Op Letter,2020-02-11T00:00:00.000,10,2020-04-07T00:00:00.000,Pending Review,,,1382062-DCA
2751-2020-RSWC,DONIZETTI LLC,34,NEW YORK,Issued Temp Op Letter,2020-02-06T00:00:00.000,12,,Pending Review,,,1341402-DCA
3128-2020-RSWC,EVIR CORP,24,NEW YORK,Issued Temp Op Letter,,10,,Pending Review,,,2023932-DCA
2781-2020-RSWC,ZEP LLC,12,NEW YORK,Issued Temp Op Letter,2020-02-06T00:00:00.000,6,,Pending Review,,,2030898-DCA
26463-2019-RSWC,"LIRA OF NEW YORK, INC.",8,NEW YORK,Issued Temp Op Letter,2019-09-12T00:00:00.000,4,2019-11-07T00:00:00.000,Pending Review,,,0882869-DCA
35828-2019-RSWC,P12 NEW YORK LLC,12,NEW YORK,Issued Temp Op Letter,2019-12-23T00:00:00.000,6,2020-02-20T00:00:00.000,Pending Review,,,1467798-DCA
9762-2018-ASWC,EL CONDE M&G INC,28,NEW YORK,Under Review,2018-05-09T00:00:00.000,7,,Pending Review,,,2070749-DCA
12420-2019-ASWC,CASA AZUL. INC,18,BROOKLYN,Approved,2019-10-31T00:00:00.000,9,2020-01-08T00:00:00.000,Pending Review,,2093559-DCA,
23522-2019-RSWC,NEW YORK BURGER 10th AVE INC.,54,NEW YORK,Issued Temp Op Letter,2019-07-11T00:00:00.000,25,,Pending Review,,,2041410-DCA
13275-2017-ASWC,"HASHEM MELECH, INC",48,FLUSHING,Under Review,2017-09-25T00:00:00.000,12,,Pending Review,,,2060235-DCA
149-2013-RSWC,FOUR GREEN FIELDS LLC.,24,NEW YORK,Issued Temp Op Letter,2014-03-06T00:00:00.000,12,,Pending Review,1131159-DCA,,
3177-2020-RSWC,"TOMINO, LLC",14,NEW YORK,Issued Temp Op Letter,2020-02-13T00:00:00.000,7,2020-04-08T00:00:00.000,Pending Review,,,2057010-DCA
14524-2017-ASWC,53 WEST 72ND STREET CAFE LLC,26,NEW YORK,Under Review,2017-12-01T00:00:00.000,13,,Pending Review,,,2059443-DCA
35829-2019-RSWC,GRAHAM RESTAURANT LLC,37,BROOKLYN,Issued Temp Op Letter,2019-12-23T00:00:00.000,21,2020-02-13T00:00:00.000,Pending Review,,,1395264-DCA
7337-2019-RSWC,CAFE ARGENTINO INC.,18,BROOKLYN,Issued Temp Op Letter,2019-02-14T00:00:00.000,7,2019-04-10T00:00:00.000,Pending Review,,,1347394-DCA
2854-2020-RSWC,BILTMORE GARAGE RESTAURANT ASSOCIATES LLC,18,NEW YORK,Issued Temp Op Letter,2020-02-07T00:00:00.000,9,,Pending Review,,,2028248-DCA
36231-2019-RSWC,DAR 168 INC.,7,BROOKLYN,Issued Temp Op Letter,2019-12-26T00:00:00.000,3,2020-02-19T00:00:00.000,Pending Review,,,2054418-DCA
19210-2019-RSWC,HERM LLC,20,NEW YORK,Issued Temp Op Letter,2019-05-07T00:00:00.000,6,2020-03-06T00:00:00.000,Proceed,,,2042425-DCA
36440-2019-RSWC,"168 ORCHARD ST PARTNERS, INC.",24,NEW YORK,Issued Temp Op Letter,2019-12-31T00:00:00.000,12,2020-02-19T00:00:00.000,Pending Review,,,1414794-DCA
