business_name,app_tables,issuance_dd,city_council_district,swc_chairs,intake,submit_date,lic_status,street,hearing
NEW YORK BURGER 10th AVE INC.,25,,3,54,Ready For Review,2019-07-10T00:00:00.000,Inactive,W 23RD ST,Pending Review
HONEYBRAINS LAFAYETTE LLC,10,,1,19,Ready For Review,2020-02-04T00:00:00.000,Inactive,LAFAYETTE ST,Waived
"SBCPS, LLC",10,,4,20,Ready For Review,2017-06-15T00:00:00.000,Inactive,CENTRAL PARK S,Pending Review
"ANOTHEROOM, INC.",8,,1,16,Ready For Review,2019-09-12T00:00:00.000,Inactive,W BROADWAY,Waived
"G.V.S. BAKERY, INC.",12,,22,23,Ready For Review,2019-05-08T00:00:00.000,Inactive,DITMARS BLVD,Pending Review
"ST. JAMES ASSOCIATES, L.P.",12,,4,24,,2019-08-30T00:00:00.000,Inactive,E 49TH ST,Recommendation Issued
76 HENRY ST INC,7,,33,16,Ready For Review,2020-01-21T00:00:00.000,Inactive,HENRY ST,Waived
POLLOS MARIO WOODHAVEN CORP.,10,,30,40,Ready For Review,2020-06-18T00:00:00.000,Inactive,WOODHAVEN BLVD,Pending Review
BROOKLYN HEIGHTS WINE BAR LLC,6,,33,12,Ready For Review,2019-11-08T00:00:00.000,Active,HENRY ST,Waived
LE BON NY CORP.,5,,5,10,Ready For Review,2019-12-12T00:00:00.000,Inactive,LEXINGTON AVE,Waived
ALIAGED DINING INC,13,,29,28,Ready For Review,2020-01-31T00:00:00.000,Inactive,70TH RD,Pending Review
WHILE WE WERE YOUNG LLC,3,,3,6,Ready For Review,2019-12-19T00:00:00.000,Inactive,W 10TH ST,Waived
JPS VENTURES INC.,5,,6,16,Ready For Review,2018-05-10T00:00:00.000,Inactive,AMSTERDAM AVE,Pending Review
3713 RIVERDALE REST CORP.,9,,11,21,Ready For Review,2019-04-19T00:00:00.000,Inactive,RIVERDALE AVE,Waived
170 BEDFORD RESTAURANT LLC,3,,33,6,Ready For Review,2019-12-20T00:00:00.000,Inactive,BEDFORD AVE,Waived
VEGG 58TH LLC,8,,3,16,Ready For Review,2018-08-31T00:00:00.000,Inactive,9TH AVE,Waived
"HEX EAST, LLC",12,,5,32,Ready For Review,2019-09-09T00:00:00.000,Inactive,1ST AVE,Pending Review
LAMARCA INC.,5,,2,10,Ready For Review,2017-05-30T00:00:00.000,Active,E 22ND ST,Recommendation Issued
VIDA MEXICANA INC.,18,,10,36,Ready For Review,2020-06-11T00:00:00.000,Inactive,DYCKMAN ST,Pending Review
THANA REST INC.,20,,1,40,Ready For Review,2020-02-25T00:00:00.000,Inactive,DUANE ST,Pending Review
SUSHI GAMA CORP,9,,4,18,Ready For Review,2020-01-14T00:00:00.000,Inactive,2ND AVE,Waived
PLANT BASED PIZZA NEW YORK LLC,10,,2,22,Ready For Review,2018-12-17T00:00:00.000,Inactive,2ND AVE,Waived
"768 MAD RESTAURANT, LLC",2,,4,8,Ready For Review,2019-04-15T00:00:00.000,Inactive,MADISON AVE,Waived
659 REST. INC.,4,,3,8,Ready For Review,2019-12-02T00:00:00.000,Inactive,9TH AVE,Waived
"CAVALLACCI, FABRIZIO",4,,1,8,Ready For Review,2019-12-05T00:00:00.000,Inactive,MACDOUGAL ST,Pending Review
PARM UPPER WEST LLC,6,2016-11-17T00:00:00.000,6,16,Ready For Review,2018-04-04T00:00:00.000,Inactive,COLUMBUS AVENUE,Pending Review
MADISON GLOBAL LLC,3,,4,12,Ready For Review,2019-09-12T00:00:00.000,Inactive,MADISON AVE,Waived
88 2ND AVE. FOOD CORP.,13,2016-01-14T00:00:00.000,2,26,,2015-05-12T00:00:00.000,Active,2ND AVE,Recommendation Issued
108 BAGEL CORP.,6,,32,13,Ready For Review,2020-02-10T00:00:00.000,Inactive,ROCKAWAY BEACH DRIVE,Waived
CAMPANIA FELIX LLC,10,,5,25,Ready For Review,2018-05-17T00:00:00.000,Inactive,2ND AVE,Waived
BEN TAS CORP.,4,,22,12,Ready For Review,2018-11-05T00:00:00.000,Inactive,24TH AVE,Waived
DANA'S LLC,24,,3,46,Ready For Review,2019-12-10T00:00:00.000,Inactive,9TH AVE,Waived
COSITAS RICAS CORP.,10,,25,28,Ready For Review,2020-06-18T00:00:00.000,Inactive,ROOSEVELT AVE,Pending Review
"HASHEM MELECH, INC",12,,24,48,Ready For Review,2017-09-21T00:00:00.000,Inactive,MAIN ST,Pending Review
STARBUCKS CORPORATION,2,,43,6,Ready For Review,2019-08-26T00:00:00.000,Inactive,3RD AVE,Pending Review
1616 SECOND AVENUE RESTAURANT INC.,15,,5,34,Ready For Review,2019-05-13T00:00:00.000,Inactive,2ND AVE,Pending Review
ONE MELON LLC,14,2019-04-03T00:00:00.000,3,28,Ready For Review,2018-12-10T00:00:00.000,Active,MACDOUGAL ST,Waived
