hispanic,grade_7,students_with_disabilities,grade_12,black,dbn,hispanic_1,male_1,female,year,grade_9,grade_4,female_1
30,23,7,0,27,02M442,0.213,0.504,70,2017-18,0,37,0.496
55,0,98,0,14,02M290,0.087,0.474,332,2017-18,0,96,0.526
217,0,128,122,88,02M551,0.415,0.662,177,2019-20,133,0,0.338
273,0,130,0,55,01M142,0.773,0.567,153,2018-19,0,44,0.433
172,0,64,1,114,02M570,0.577,0.409,176,2017-18,295,0,0.591
210,0,135,0,62,02M011,0.233,0.512,439,2019-20,0,142,0.488
195,0,117,0,63,02M111,0.496,0.511,192,2015-16,0,52,0.489
114,57,85,101,116,02M408,0.204,0.28,402,2018-19,119,0,0.72
132,124,103,0,60,01M839,0.353,0.465,200,2016-17,0,0,0.535
205,0,78,81,69,02M300,0.679,0.702,90,2018-19,69,0,0.298
22,0,83,0,3,02M124,0.027,0.54,373,2015-16,0,141,0.46
92,22,83,0,70,02M217,0.149,0.49,314,2017-18,0,101,0.51
236,67,142,0,165,03M191,0.445,0.528,250,2019-20,0,41,0.472
110,0,49,0,52,01M015,0.579,0.479,99,2017-18,0,31,0.521
239,0,102,0,58,01M020,0.515,0.498,233,2019-20,0,65,0.502
247,0,23,56,10,02M427,0.918,0.539,124,2017-18,71,0,0.461
294,0,94,95,96,03M403,0.702,0.513,204,2019-20,105,0,0.487
254,0,119,115,105,02M546,0.552,0.809,88,2017-18,124,0,0.191
182,0,124,0,64,01M134,0.613,0.559,131,2017-18,0,57,0.441
95,0,85,0,42,02M116,0.19,0.474,263,2019-20,0,60,0.526
64,0,124,0,16,02M158,0.08,0.524,379,2018-19,0,124,0.476
248,0,83,0,58,03M165,0.582,0.507,210,2018-19,0,68,0.493
10,0,112,0,1,02M124,0.015,0.504,335,2019-20,0,105,0.496
58,0,25,21,25,01M509,0.598,0.433,55,2019-20,27,0,0.567
75,0,25,47,78,02M316,0.421,0.0,178,2019-20,53,0,1.0
53,148,76,0,13,02M114,0.118,0.426,259,2018-19,0,0,0.574
373,105,181,89,104,01M450,0.549,0.524,324,2019-20,105,0,0.476
18,0,26,0,1,02M150,0.095,0.524,90,2018-19,0,29,0.476
171,0,57,0,88,02M570,0.643,0.466,142,2015-16,252,0,0.534
40,0,46,0,89,03M242,0.286,0.564,61,2019-20,0,15,0.436
946,0,285,442,673,02M600,0.526,0.066,1679,2015-16,496,0,0.934
24,0,29,0,13,03M291,0.176,0.39,83,2015-16,0,0,0.61
135,257,124,0,69,03M054,0.156,0.486,446,2018-19,0,0,0.514
124,0,61,0,98,02M280,0.444,0.47,148,2016-17,106,0,0.53
229,44,110,0,112,04M007,0.616,0.535,173,2015-16,0,37,0.465
124,74,83,0,49,02M933,0.502,0.429,141,2016-17,0,0,0.571
158,0,62,73,71,03M417,0.409,0.427,221,2015-16,110,0,0.573
156,97,103,0,77,01M378,0.551,0.555,126,2016-17,0,0,0.445
175,0,13,69,51,02M459,0.529,0.538,153,2016-17,89,0,0.462
228,0,115,110,96,02M534,0.499,0.414,268,2018-19,113,0,0.586
88,0,85,173,36,02M418,0.132,0.375,416,2017-18,174,0,0.625
152,0,50,68,53,02M605,0.62,0.465,131,2018-19,62,0,0.535
184,0,83,92,64,03M417,0.448,0.453,224,2017-18,114,0,0.545
274,51,129,0,93,04M096,0.695,0.497,198,2018-19,0,37,0.503
77,0,91,161,20,02M418,0.114,0.423,389,2019-20,151,0,0.577
175,0,80,0,97,02M570,0.614,0.411,168,2018-19,285,0,0.589
232,0,80,108,157,02M374,0.496,0.293,331,2018-19,135,0,0.707
15,0,95,0,0,02M124,0.021,0.51,355,2017-18,0,95,0.49
81,86,125,0,30,01M184,0.121,0.509,330,2016-17,0,56,0.491
321,0,180,0,133,03M075,0.564,0.54,262,2015-16,0,81,0.46
192,0,12,91,70,02M438,0.539,0.612,138,2018-19,80,0,0.388
43,57,39,0,27,03M243,0.183,0.472,124,2017-18,0,0,0.528
223,0,137,0,57,02M011,0.242,0.498,463,2017-18,0,150,0.502
230,0,63,96,126,03M492,0.568,0.407,240,2019-20,138,0,0.593
113,130,86,0,55,03M245,0.28,0.486,207,2019-20,0,0,0.514
120,0,92,0,63,02M151,0.253,0.493,241,2019-20,0,68,0.507
223,0,90,66,129,02M419,0.587,0.453,208,2016-17,122,0,0.547
105,0,74,0,34,03M166,0.162,0.515,314,2017-18,0,90,0.485
17,0,28,0,1,02M150,0.089,0.547,86,2019-20,0,30,0.453
104,0,114,0,51,02M198,0.213,0.49,249,2018-19,0,57,0.51
57,0,28,10,36,02M565,0.416,0.438,77,2019-20,14,0,0.562
62,0,113,0,13,02M041,0.089,0.458,379,2016-17,0,114,0.542
258,49,163,75,149,02M422,0.444,0.573,248,2019-20,128,0,0.427
817,0,313,252,242,02M630,0.565,0.365,919,2017-18,376,0,0.635
184,0,14,85,72,02M438,0.524,0.63,130,2019-20,75,0,0.37
16,0,90,0,2,02M124,0.02,0.513,382,2016-17,0,137,0.487
30,0,63,0,24,03M452,0.094,0.517,154,2016-17,0,47,0.483
83,62,32,0,72,04M012,0.138,0.51,294,2019-20,0,64,0.49
199,0,111,64,93,02M308,0.564,0.297,248,2015-16,100,0,0.703
112,92,138,0,27,02M276,0.131,0.507,421,2019-20,0,88,0.493
49,0,85,134,15,02M416,0.091,0.41,319,2019-20,137,0,0.59
192,0,74,67,107,02M282,0.492,0.697,118,2018-19,116,0,0.303
207,364,180,0,79,02M104,0.188,0.535,512,2019-20,0,0,0.465
145,90,100,0,70,01M378,0.566,0.566,111,2017-18,0,0,0.434
253,76,112,0,118,04M007,0.622,0.545,185,2018-19,0,40,0.455
205,0,68,114,147,02M519,0.429,0.203,381,2017-18,129,0,0.797
260,0,91,77,95,02M303,0.699,0.532,174,2018-19,105,0,0.468
162,0,106,53,80,02M308,0.559,0.352,188,2018-19,101,0,0.648
206,0,89,84,86,03M402,0.646,0.555,142,2016-17,71,0,0.445
121,0,65,119,78,01M696,0.197,0.429,350,2019-20,164,0,0.571
282,0,112,91,142,02M393,0.628,0.619,171,2016-17,143,0,0.381
176,56,117,0,342,03M180,0.296,0.521,285,2015-16,0,60,0.479
187,0,76,97,150,02M280,0.45,0.466,222,2018-19,120,0,0.534
224,0,125,0,68,02M011,0.241,0.502,464,2016-17,0,181,0.498
46,0,147,0,10,02M130,0.048,0.508,473,2016-17,0,171,0.492
205,0,103,0,72,02M051,0.453,0.488,232,2017-18,0,64,0.512
230,0,110,0,94,03M163,0.424,0.497,273,2019-20,0,93,0.503
150,22,71,42,141,03M415,0.479,0.339,207,2019-20,81,0,0.661
157,109,141,0,84,02M126,0.207,0.522,363,2015-16,0,57,0.478
59,0,131,0,9,02M234,0.084,0.503,350,2015-16,0,100,0.497
85,0,45,0,25,02M212,0.234,0.479,189,2018-19,0,57,0.521
188,0,85,0,59,02M111,0.476,0.552,177,2017-18,0,58,0.448
164,13,92,79,198,03M415,0.435,0.358,242,2015-16,98,0,0.642
115,0,42,65,82,02M531,0.475,0.178,199,2017-18,60,0,0.822
233,0,94,0,73,03M084,0.422,0.495,279,2015-16,0,75,0.505
972,0,224,374,292,02M420,0.534,0.289,1294,2017-18,515,0,0.711
250,74,178,65,129,02M422,0.427,0.631,216,2017-18,103,0,0.369
155,0,59,46,58,02M047,0.668,0.289,165,2019-20,84,0,0.711
213,457,227,0,80,02M167,0.159,0.527,632,2017-18,0,0,0.473
193,0,78,107,82,02M399,0.436,0.447,245,2015-16,104,0,0.553
40,150,71,0,16,02M114,0.089,0.451,247,2017-18,0,0,0.549
183,0,101,0,117,02M033,0.282,0.474,342,2017-18,0,102,0.526
213,0,113,0,54,03M084,0.31,0.46,371,2019-20,0,92,0.54
41,0,63,0,27,03M452,0.126,0.511,159,2015-16,0,49,0.489
116,23,96,52,223,03M860,0.32,0.616,139,2018-19,83,0,0.384
100,0,167,0,36,03M199,0.113,0.503,439,2016-17,0,143,0.497
88,0,5,130,86,01M696,0.164,0.411,315,2015-16,147,0,0.589
310,0,99,113,105,03M403,0.686,0.54,208,2015-16,112,0,0.46
63,0,105,0,9,02M041,0.094,0.515,324,2019-20,0,106,0.485
48,0,64,0,5,02M267,0.11,0.514,213,2019-20,0,63,0.486
121,0,57,43,70,01M458,0.596,0.424,117,2017-18,16,0,0.576
206,0,46,224,51,01M515,0.379,0.575,231,2018-19,44,0,0.425
102,61,112,0,325,03M076,0.23,0.467,236,2018-19,0,40,0.533
129,0,45,63,79,01M458,0.6,0.414,126,2015-16,17,0,0.586
235,0,99,103,130,02M507,0.528,0.793,91,2017-18,114,0,0.204
285,0,94,366,178,03M479,0.218,0.358,839,2015-16,328,0,0.642
276,0,91,105,162,03M492,0.592,0.423,269,2017-18,145,0,0.577
567,95,225,0,206,04M057,0.681,0.499,417,2016-17,0,99,0.501
208,0,71,73,101,02M419,0.621,0.457,182,2019-20,118,0,0.543
371,0,103,143,130,02M529,0.654,0.443,316,2017-18,92,0,0.557
119,0,154,0,39,02M003,0.163,0.512,357,2018-19,0,99,0.488
70,0,149,0,35,03M199,0.092,0.486,391,2019-20,0,148,0.514
215,0,117,0,47,03M084,0.324,0.456,361,2018-19,0,100,0.544
860,0,266,374,610,02M600,0.515,0.061,1569,2016-17,488,0,0.939
317,0,94,94,145,02M580,0.594,0.324,361,2016-17,210,0,0.676
185,0,12,86,73,02M438,0.511,0.569,156,2016-17,103,0,0.431
88,31,91,0,83,02M217,0.143,0.486,317,2018-19,0,85,0.514
58,0,26,0,21,02M391,0.163,0.515,172,2017-18,0,0,0.485
25,0,11,97,17,02M545,0.063,0.398,239,2016-17,109,0,0.602
84,0,157,0,33,03M199,0.099,0.504,421,2017-18,0,151,0.496
109,92,159,0,34,02M276,0.132,0.522,395,2017-18,0,87,0.478
215,369,201,0,86,02M104,0.188,0.551,514,2016-17,0,0,0.449
264,0,127,289,234,02M560,0.421,0.453,343,2017-18,0,0,0.547
340,0,141,158,191,02M489,0.446,0.58,320,2016-17,226,0,0.42
146,0,103,0,65,01M134,0.596,0.527,116,2019-20,0,45,0.473
148,116,81,0,91,03M862,0.433,0.532,160,2017-18,0,0,0.468
87,6,111,0,42,02M347,0.46,0.508,93,2015-16,0,13,0.492
126,0,159,0,42,03M087,0.148,0.498,428,2015-16,0,122,0.502
63,0,56,113,17,02M411,0.133,0.442,265,2018-19,119,0,0.558
338,0,159,81,136,03M505,0.676,0.522,239,2017-18,11,0,0.478
98,30,66,0,53,02M225,0.295,0.542,152,2019-20,0,39,0.458
240,0,88,95,91,02M303,0.686,0.523,167,2019-20,109,0,0.477
61,0,65,0,140,03M242,0.285,0.575,91,2015-16,0,27,0.425
275,0,82,95,88,02M392,0.677,0.557,180,2019-20,102,0,0.443
63,0,137,0,27,02M002,0.094,0.534,313,2015-16,0,117,0.466
239,0,104,90,138,02M543,0.555,0.394,261,2015-16,135,0,0.606
289,0,97,0,86,04M083,0.632,0.523,218,2016-17,0,83,0.477
288,0,108,119,179,02M298,0.525,0.446,304,2019-20,141,0,0.554
44,59,45,0,25,03M243,0.183,0.485,124,2018-19,0,0,0.515
50,0,66,0,4,02M089,0.11,0.529,214,2019-20,0,51,0.471
43,0,61,0,4,02M267,0.104,0.507,204,2018-19,0,54,0.493
216,59,130,0,102,01M034,0.617,0.514,170,2016-17,0,29,0.486
243,0,86,115,137,02M507,0.515,0.79,99,2015-16,131,0,0.21
113,0,85,0,43,01M364,0.341,0.508,163,2016-17,0,49,0.492
755,0,323,344,202,02M630,0.515,0.331,980,2019-20,378,0,0.669
179,0,70,59,112,02M305,0.556,0.441,180,2019-20,109,0,0.559
252,0,79,128,144,02M519,0.474,0.25,399,2019-20,139,0,0.75
137,72,90,0,43,01M332,0.628,0.624,82,2019-20,0,0,0.376
249,0,105,88,107,02M449,0.583,0.485,220,2018-19,115,0,0.515
47,0,23,16,50,02M565,0.32,0.422,85,2018-19,13,0,0.578
105,0,60,0,57,01M015,0.597,0.528,83,2015-16,0,17,0.472
131,0,65,0,40,01M063,0.645,0.507,100,2015-16,0,19,0.493
246,0,130,91,164,02M543,0.542,0.372,285,2019-20,129,0,0.628
94,60,52,0,53,03M250,0.528,0.551,80,2017-18,0,0,0.449
184,0,87,97,42,03M417,0.458,0.453,220,2019-20,105,0,0.547
130,0,68,92,106,02M313,0.504,0.484,133,2017-18,16,0,0.516
292,49,132,0,47,01M140,0.777,0.5,188,2015-16,0,34,0.5
69,35,43,0,30,01M332,0.627,0.555,49,2015-16,0,0,0.445
35,20,7,0,25,02M442,0.246,0.479,74,2018-19,0,36,0.521
210,66,58,0,3,03M247,0.955,0.477,115,2018-19,0,0,0.523
24,0,29,0,14,02M281,0.158,0.526,72,2015-16,0,0,0.474
79,66,66,0,90,03M421,0.432,0.574,78,2019-20,0,0,0.426
216,0,141,0,51,02M011,0.243,0.516,430,2018-19,0,134,0.484
82,0,43,0,61,02M280,0.429,0.471,101,2015-16,97,0,0.529
277,0,118,109,136,02M437,0.582,0.679,153,2017-18,121,0,0.321
99,61,48,0,58,03M250,0.547,0.552,81,2015-16,0,0,0.448
141,86,97,0,59,01M378,0.564,0.588,103,2018-19,0,0,0.412
181,0,86,93,125,03M299,0.531,0.478,178,2018-19,77,0,0.522
228,53,103,0,102,04M007,0.623,0.538,169,2019-20,0,26,0.462
369,24,138,110,191,02M655,0.599,0.518,297,2015-16,168,0,0.482
32,93,66,0,11,02M289,0.113,0.527,134,2017-18,0,0,0.473
267,0,124,286,235,02M560,0.433,0.425,354,2016-17,1,0,0.575
93,21,76,0,81,02M217,0.152,0.501,306,2016-17,0,66,0.499
423,0,114,157,147,02M529,0.66,0.445,356,2016-17,173,0,0.555
157,0,69,0,39,01M063,0.686,0.546,104,2019-20,0,32,0.454
297,0,100,65,111,02M303,0.689,0.513,210,2016-17,166,0,0.487
73,0,43,38,92,02M520,0.401,0.456,99,2018-19,57,0,0.544
126,0,53,39,54,02M047,0.643,0.286,140,2018-19,76,0,0.714
114,0,67,0,29,01M361,0.386,0.525,140,2016-17,0,35,0.475
300,0,122,115,120,02M437,0.63,0.674,155,2018-19,128,0,0.326
274,0,78,88,97,02M296,0.682,0.271,293,2015-16,131,0,0.729
229,0,109,0,71,02M051,0.476,0.489,246,2018-19,0,64,0.511
890,0,256,317,490,02M600,0.564,0.085,1443,2018-19,531,0,0.915
108,0,108,0,46,02M198,0.234,0.523,220,2017-18,0,61,0.477
26,26,5,0,44,02M442,0.173,0.46,81,2016-17,0,39,0.54
247,0,81,101,117,02M580,0.576,0.331,287,2018-19,100,0,0.669
114,0,99,0,72,02M151,0.235,0.484,251,2018-19,0,60,0.516
117,0,26,97,52,03M404,0.669,0.537,81,2019-20,0,0,0.463
63,0,94,0,20,02M290,0.11,0.452,314,2019-20,0,91,0.548
204,0,133,101,118,02M534,0.445,0.441,256,2016-17,117,0,0.559
289,0,57,163,216,02M575,0.4,0.578,305,2017-18,0,0,0.422
292,65,122,0,46,01M140,0.787,0.509,182,2017-18,0,28,0.491
42,58,42,0,15,02M177,0.296,0.549,64,2015-16,0,0,0.451
132,0,75,0,113,04M037,0.498,0.517,128,2019-20,0,43,0.483
490,81,193,0,154,04M057,0.703,0.486,358,2019-20,0,70,0.514
92,0,15,828,24,02M475,0.028,0.571,1428,2017-18,823,0,0.428
99,0,77,109,69,02M376,0.212,0.459,252,2018-19,131,0,0.541
346,0,127,80,195,03M494,0.601,0.656,198,2015-16,231,0,0.344
253,0,109,0,54,01M142,0.769,0.553,147,2019-20,0,45,0.447
