projectid,mindate,commit_nccfederal,spent_total,adopt_nccother,spent_nccother,plannedcommit_nccfederal,allocate_nccfederal,commit_ccexempt,allocate_ccexempt,plannedcommit_nccstate,commit_nccother,allocate_ccnonexempt,plannedcommit_total,adopt_nccstate
HLQNFLUS,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
LNMNA08LS,2010-02-22T00:00:00.000,0.0,7032793.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840945.54,279000.0,0.0
HLDNBKMM,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418000.0,418000.0,0.0
LNCA0996S,2012-09-18T00:00:00.000,0.0,2639893.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143411.18,3000.0,0.0
HRDKN05J1,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PWDGWHIT,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,150000.0,0.0
PS-287,2025-05-22T00:00:00.000,0.0,848328.05,0.0,0.0,0.0,0.0,4989838.79,86588833.16,0.0,0.0,0.0,86089000.0,0.0
TI-168-L,2018-08-13T00:00:00.000,0.0,23887747.97,0.0,0.0,0.0,0.0,38291982.52,9224269.51,0.0,0.0,0.0,12061000.0,0.0
SAND3702,2016-12-21T00:00:00.000,0.0,86968.79,0.0,0.0,0.0,-271.91,0.0,0.0,0.0,0.0,303.12,0.0,0.0
SANDELEC5,2013-11-12T00:00:00.000,9453.95,4079671.9,0.0,0.0,254000.0,373802.21,0.0,0.0,0.0,0.0,2034.72,254000.0,0.0
PWKNJCCMP,2019-03-12T00:00:00.000,0.0,35122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34878.0,0.0,0.0
P-106MAPE,2018-03-22T00:00:00.000,0.0,12510072.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.38,0.0,0.0
P-311RIWR,2024-04-16T00:00:00.000,0.0,64051.36,0.0,0.0,0.0,0.0,0.0,0.0,2845000.0,0.0,2800000.0,4595000.0,3285000.0
CO306MHCB,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18587000.0,18587000.0,0.0
LNCA15EDW,2018-05-07T00:00:00.000,0.0,523650.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134469.33,0.0,0.0
PS-324,2024-06-14T00:00:00.000,0.0,4636670.5,0.0,0.0,0.0,0.0,32053990.16,7404339.34,0.0,0.0,0.0,8963000.0,0.0
HLXNUNIOE,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0
P-2CPIHCR,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4530000.0,4530000.0,0.0
HL99NYHQ,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LQPOMHVAC,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
PV236AUDI,2030-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5489000.0,5489000.0,0.0
LNEMA08WS,2010-01-19T00:00:00.000,0.0,9360150.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38131.01,3000.0,0.0
P-106CRTN,2026-06-01T00:00:00.000,0.0,175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373000.0,273000.0,0.0
PWD5BAG,2032-06-01T00:00:00.000,0.0,177091.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523016.0,0.0,0.0
C138PURGR,2017-01-11T00:00:00.000,0.0,102190.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688280.02,168000.0,0.0
HL82PCRHL,2018-08-27T00:00:00.000,0.0,299922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0
HH112FWBA,2017-12-04T00:00:00.000,0.0,596563.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3486608.0,3072000.0,0.0
PWD78415A,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0
LNCM10WCH,2013-08-26T00:00:00.000,0.0,4670409.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642827.49,538000.0,0.0
HBPD200KA,2013-08-21T00:00:00.000,0.0,6435161.7,0.0,0.0,0.0,-50.27,0.0,0.0,0.0,0.0,-324.43,0.0,354000.0
PWKNFRONT,2021-08-16T00:00:00.000,0.0,45340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-340.0,0.0,0.0
R2286BPE,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,250000.0,0.0
PWD9NICK,2010-08-30T00:00:00.000,0.0,1218750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31250.0,31000.0,0.0
SANDY4-27,2021-09-28T00:00:00.000,387.18,154235.87,0.0,0.0,926000.0,926296.0,0.0,0.0,0.0,0.0,206366.0,1132000.0,0.0
SIESPLAND,2013-02-05T00:00:00.000,0.0,6387149.35,0.0,0.0,2782000.0,2782035.02,0.0,0.0,0.0,0.0,5978814.87,2782000.0,0.0
NMYRTLE,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0
LBM13FLHC,2015-09-08T00:00:00.000,0.0,408258.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125741.94,0.0,0.0
HRC002MPL,2031-06-01T00:00:00.000,0.0,145478.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030521.2,0.0,0.0
HRLOHC,2030-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4400000.0,4400000.0,0.0
PW193FANS,2010-06-23T00:00:00.000,0.0,107530.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139380.0,0.0,0.0
FOODBANK7,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,13000.0,0.0
N1828VYSE,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
PO187-20B,2014-07-01T00:00:00.000,0.0,101769.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284230.02,94000.0,0.0
HLQNMTSIN,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705000.0,705000.0,0.0
HAM15WSPL,2020-03-12T00:00:00.000,0.0,209263.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.69,0.0,0.0
HAM16AMBL,2023-11-27T00:00:00.000,0.0,993799.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.83,0.0,0.0
LBM15GBRF,2016-07-25T00:00:00.000,0.0,2912043.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603841.82,484000.0,0.0
LNEA08MHV,2010-02-23T00:00:00.000,0.0,6102433.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1917428.18,1638000.0,0.0
PWQ77R213,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,1040000.0,0.0
NVERNON,2024-01-16T00:00:00.000,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650000.0,650000.0,0.0
HLMNHHSCH,2035-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19625.0,19000.0,0.0
42201301,2031-03-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495000.0,495000.0,0.0
P-312JHWR,2025-07-01T00:00:00.000,0.0,76552.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132086.0,950000.0,0.0
LNCM12CPT,2016-04-25T00:00:00.000,0.0,1183583.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13416.99,2000.0,0.0
PS-285,2020-01-27T00:00:00.000,0.0,26881630.97,0.0,0.0,0.0,0.0,533342.53,24564026.5,0.0,0.0,0.0,24666000.0,0.0
P-1HAFFP3,2023-01-30T00:00:00.000,0.0,882002.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8773191.45,7128000.0,0.0
HLQNFLUCA,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260000.0,260000.0,0.0
LNMA12TOT,2014-04-23T00:00:00.000,0.0,295091.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29135.16,4000.0,0.0
HLDNHSSIT,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726000.0,726000.0,0.0
BB-61,2013-10-01T00:00:00.000,0.0,13842890.37,0.0,0.0,0.0,0.0,632719.84,1759389.79,0.0,0.0,0.0,1750000.0,0.0
HBKA23142,2022-01-21T00:00:00.000,0.0,2023085.0,0.0,0.0,27759000.0,27759000.0,0.0,0.0,0.0,0.0,69972543.0,98041000.0,0.0
HH112ETEU,2022-06-21T00:00:00.000,0.0,170684.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,2400000.0,0.0
LNCA10JMB,2010-12-23T00:00:00.000,0.0,13792739.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445319.18,546000.0,0.0
HAM15JFSR,2019-08-08T00:00:00.000,0.0,985008.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85991.7,86000.0,0.0
HLDN36VAN,2023-05-22T00:00:00.000,0.0,373655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0
P-1PBEAST,2022-11-21T00:00:00.000,0.0,1445634.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583254.24,1534000.0,0.0
PW324IMS,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6440000.0,4440000.0,0.0
LBCA06SPK,2010-09-27T00:00:00.000,0.0,521003.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72996.29,0.0,0.0
PO187LCM2,2012-05-22T00:00:00.000,0.0,976983.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725016.64,726000.0,0.0
HAM14MRSR,2020-12-03T00:00:00.000,0.0,2512831.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,831955.0,409000.0,0.0
P-3BOTWAT,2024-08-19T00:00:00.000,0.0,339437.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-836.75,0.0,0.0
HBB241850,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29292000.0,29292000.0,0.0
HAM14KBEY,2021-01-21T00:00:00.000,0.0,2914248.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683729.8,353000.0,0.0
HWPLZ015Q,2030-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8717000.0,8717000.0,0.0
LQD122BR2,2016-11-14T00:00:00.000,0.0,6424712.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36184.23,1000.0,0.0
YWHA92,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630000.0,630000.0,0.0
SANDRENO,2013-05-20T00:00:00.000,68764.89,13330281.02,0.0,0.0,0.0,962710.6,0.0,0.0,0.0,0.0,-14270.31,0.0,0.0
PW322PLAN,2016-08-23T00:00:00.000,0.0,118031095.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777041.66,1575000.0,0.0
HLDNMAIMS,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO294BACK,2013-12-13T00:00:00.000,0.0,1857040.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63477959.11,886000.0,0.0
HAM08RUHI,2010-02-19T00:00:00.000,0.0,4875142.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665857.73,0.0,0.0
PIER94RH,2016-02-02T00:00:00.000,0.0,1097654.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.5,0.0,0.0
P-104MPSK,2022-07-18T00:00:00.000,0.0,889794.57,0.0,0.0,0.0,0.0,0.0,0.0,2592000.0,0.0,8284558.37,10556000.0,2592000.0
CCRENOV,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0
P-414RBRR,2015-04-27T00:00:00.000,0.0,598663.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102336.25,0.0,0.0
NR-115-L,2019-11-27T00:00:00.000,0.0,3727280.38,0.0,0.0,0.0,0.0,8885361.12,173552358.5,0.0,0.0,0.0,173550000.0,0.0
HLQNMTEQP,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
C75GRVRFW,2019-04-29T00:00:00.000,0.0,656256.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750065.0,0.0,0.0
P-104SMPG,2028-06-01T00:00:00.000,0.0,385670.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2562288.02,2562000.0,0.0
PO187-36,2032-06-01T00:00:00.000,0.0,257000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334000.0,182000.0,0.0
PWDHISP,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102000.0,102000.0,0.0
HWCOINFAC,2031-06-01T00:00:00.000,0.0,63381.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7480618.36,6731000.0,0.0
PWDNMOBLE,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0
PS-280,2014-10-06T00:00:00.000,0.0,398918.09,0.0,0.0,0.0,0.0,0.0,451081.91,0.0,0.0,0.0,0.0,0.0
SANDCD10,2020-01-06T00:00:00.000,26588.88,117295.5,0.0,0.0,544000.0,543504.04,0.0,0.0,0.0,0.0,60611.58,604000.0,0.0
PO187-77,2031-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156000.0,156000.0,0.0
HBM1120B,2030-06-01T00:00:00.000,0.0,733.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86079497.0,76437000.0,0.0
PS-321,2025-02-10T00:00:00.000,0.0,3785728.35,0.0,0.0,0.0,0.0,44793076.56,25701195.09,0.0,0.0,0.0,25700000.0,0.0
P-407BPBC,2013-01-30T00:00:00.000,0.0,463293.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19605.37,0.0,200000.0
P-200WCST,2011-06-20T00:00:00.000,0.0,2507072.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109615.31,96000.0,0.0
R-151-L,2026-06-01T00:00:00.000,0.0,24633.16,0.0,0.0,0.0,0.0,0.0,63875366.84,0.0,0.0,0.0,63400000.0,0.0
R-153-L,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29270000.0,0.0,0.0,0.0,29270000.0,0.0
P-107PPV1,2019-02-07T00:00:00.000,0.0,772388.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363255.73,364000.0,0.0
P-4CPIHPP,2026-06-01T00:00:00.000,0.0,311593.34,400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4592460.24,5015000.0,0.0
LQD122LFE,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,50000.0,0.0
LNCA13AGL,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S236-335A,2016-09-19T00:00:00.000,0.0,556407.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-407.34,0.0,0.0
HL82HSS3,2032-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDMFPM,2023-05-02T00:00:00.000,0.0,983084.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26941393.67,23876000.0,0.0
HP-239-L,2023-06-06T00:00:00.000,0.0,9260694.5,0.0,0.0,0.0,0.0,26686816.1,317501489.4,0.0,0.0,0.0,317523000.0,0.0
LAMARQUE4,2015-05-11T00:00:00.000,0.0,155440.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.57,0.0,0.0
HLDNAPICH,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26W-144-L,2024-10-09T00:00:00.000,0.0,961259.93,0.0,0.0,0.0,0.0,20256280.37,74850459.7,0.0,0.0,0.0,86515000.0,0.0
FAC08,2010-12-14T00:00:00.000,0.0,2375000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310000.0,310000.0,0.0
PV262-RT,2010-03-29T00:00:00.000,0.0,9013723.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130707.64,92000.0,0.0
PV423ROOF,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389000.0,1389000.0,0.0
PW771C09,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLDNHOSPT,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBM15RDHC,2016-02-29T00:00:00.000,0.0,3027916.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59720.34,275000.0,0.0
CSO-FC-DF,2019-07-03T00:00:00.000,0.0,13117058.85,0.0,0.0,0.0,0.0,11110077.61,69905863.54,0.0,0.0,0.0,69940000.0,0.0
P-2GPWB07,2014-04-28T00:00:00.000,0.0,3785424.44,0.0,0.0,0.0,0.0,177062.18,24882.22,0.0,0.0,559684.0,585000.0,0.0
AGDNHHOME,2023-03-08T00:00:00.000,0.0,909631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,0.0,0.0
HLDNSLKRH,2024-02-26T00:00:00.000,0.0,898290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35710.0,36000.0,0.0
HAM17BPSC,2018-12-24T00:00:00.000,0.0,424885.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65777.19,66000.0,0.0
CSCN500NS,2015-02-24T00:00:00.000,0.0,2141913.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437086.5,437000.0,0.0
P-217PBYC,2018-06-25T00:00:00.000,0.0,205934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0
HWQF031C,2015-03-23T00:00:00.000,0.0,85850.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250430.0,250000.0,0.0
S136-436A,2033-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14144000.0,14144000.0,0.0
SANDY4-12,2017-12-26T00:00:00.000,0.0,484294.46,0.0,0.0,0.0,2211.68,0.0,0.0,0.0,0.0,493.86,0.0,0.0
P-1OWEND3,2024-09-25T00:00:00.000,0.0,2097471.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,652318.69,542000.0,0.0
HLDNWILLM,2032-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEUCLID,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350000.0,350000.0,0.0
PO79120AC,2023-10-10T00:00:00.000,0.0,396252.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40849.99,41000.0,0.0
NR-99-L,2028-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0
HL99NYUDC,2032-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACEDCL213,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269000.0,269000.0,0.0
SANDVCBC,2013-04-29T00:00:00.000,28966.04,282415.82,0.0,0.0,2351000.0,2961162.3,0.0,0.0,0.0,0.0,842237.5,2851000.0,0.0
TI-170-L,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGDNJACOB,2032-06-01T00:00:00.000,0.0,63315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-315.0,0.0,0.0
FRESHYOU,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,0.0
DEL-415,2023-11-06T00:00:00.000,0.0,163400.0,0.0,0.0,0.0,0.0,0.0,26804600.0,0.0,0.0,0.0,26805000.0,0.0
BAMNSITEA,2010-06-10T00:00:00.000,0.0,2199121.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186878.14,187000.0,0.0
PWD998WWC,2029-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HH112CWFR,2018-11-05T00:00:00.000,0.0,2555804.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1656407.1,418000.0,0.0
PV490ELEC,2016-02-08T00:00:00.000,0.0,4262387.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2057842.8,1618000.0,0.0
HLDNSPSUR,2024-12-23T00:00:00.000,0.0,1170458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-458.0,0.0,0.0
NR-COGEN,2013-03-20T00:00:00.000,0.0,338809483.56,0.0,0.0,0.0,0.0,13213590.49,68271925.95,0.0,0.0,0.0,13794000.0,0.0
PV209-HOL,2033-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HB1070HR,2020-11-30T00:00:00.000,0.0,14095368.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8993.68,10000.0,0.0
HLDNICLBR,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P-1HAFFP4,2025-07-01T00:00:00.000,0.0,175179.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19096068.0,19850000.0,0.0
P-1DBPLYG,2023-02-06T00:00:00.000,0.0,802646.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3278327.5,2645000.0,0.0
P-307RPPI,2013-09-23T00:00:00.000,0.0,7026194.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20076.14,21000.0,0.0
PS-286,2026-06-01T00:00:00.000,0.0,440509.69,0.0,0.0,0.0,0.0,19490.31,29680000.0,0.0,0.0,0.0,28680000.0,0.0
JJCONS,2026-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAM17SHSC,2018-09-07T00:00:00.000,0.0,462284.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37715.01,38000.0,0.0
BRX287S,2010-08-24T00:00:00.000,538165.32,67205852.95,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,2469107.67,0.0,5809000.0
CONEYWEST,2015-07-20T00:00:00.000,0.0,121079348.06,0.0,0.0,0.0,0.0,1361859.66,15399917.04,0.0,0.0,32688691.22,48435000.0,0.0
AGDNJCCSE,2027-06-01T00:00:00.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331000.0,331000.0,0.0
SAND6705,2017-05-23T00:00:00.000,0.0,1587883.94,0.0,0.0,0.0,1116.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
