code1,grade9geapplicantsperseat2,appperseat3specialized,grade9swdapplicants4,requirement_1_3,eligibility5,recruitment_website,method4,census_tract,extracurricular_activities,url,admissionspriority111,grade9swdapplicantsperseat8,code9,seats6specialized,grade9swdapplicantsperseat7,grade9swdapplicantsperseat5,offer_rate1_7,offer_rate1_3,admissionspriority210,requirement_1_5,interest7,eligibility10,seats109,applicants2specialized,psal_sports_coed,grade9geapplicants2,program10,grade9geapplicantsperseat11,latitude,admissionspriority42,prgdesc1,grade9swdfilledflag1,bbl,requirement_1_4,prgdesc10,advancedplacement_courses,seats9ge2,program7,seats9ge9,method11,total_students,code7,eligibility3,requirement_5_1,auditioninformation3,location,grade9swdapplicants2,seats107,requirement_2_6,grade9swdfilledflag10,grade9gefilledflag11,grade9swdfilledflag8,admissionspriority44,seats9swd5,seats9swd2,grade9swdapplicantsperseat4,applicants6specialized,common_audition2,grade9swdfilledflag2,auditioninformation4,pbat,seats9ge5,offer_rate2_2
M84A,,,,,,Instagram: unitycenterhs,,72,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15648'},,,,,,,,,,,,,,,,,,,40.746176,,,Y,1008897501,,,"AP English Literature and Composition, AP United States History, AP Environmental Science, AP Statistics",,,,,267.0,,,,,"111 East 33rd Street, Manhattan NY 10016 (40.74651,-73.98107)",,,,,,,,,,,,,,,,,
K15A,,,,,,mandelaschoolnyc.org,,271,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15033'},,,,,,,,,,,,,,,,,,,40.67944,,,Y,3017010001,,,"AP U.S. Government and Politics, AP World History: Modern, AP English Literature and Composition",,,,,231.0,,,,,"1700 Fulton Street, Brooklyn NY 11213 (40.678478,-73.931604)",,,,,,,,,,,,,,,,,
Q32A,,,,,,https://www.queenshsofteaching.org/prospective-students-enrollment,ASD/ACES Program,1567,,{'url': 'https://www.myschools.nyc/en/schools/high-school/16461'},,,,,,,,,,,,,,,"Cricket, Golf",,,,40.746088,,Students engage in teaching methods in all classes. Students can apply to a voluntary one-year internship in teaching during 11th or 12th grade. Students are part of grade level cohorts and participate in interdisciplinary units and projects.,Y,4078700072,,,"AP Psychology, AP Environmental Science, AP Spanish Language and Culture, AP Human Geography, AP English Language and Composition, AP United States History, AP Computer Science Principles",,,,,1012.0,,,,,"74-20 Commonwealth Blvd, Queens NY 11426 (40.744197,-73.728834)",,,,,,,,,,,,,,,,,
L01R,,,,,,https://www.rachelcarsonhs.org/virtual-tour,,354,"Women's Empowerment, Aquarium Club, Comic Book Club, Video Game Club, Board Games Club, Black Student Union / My Brother's Keeper, Art Club, Youth Pride (LGBTQIA+ Club), 3-D Printing Club, Robotics Club, Volleyball Club, Podcasting & Media",{'url': 'https://www.myschools.nyc/en/schools/high-school/18494'},,,,,,,,,,,,,,,,,,,40.582533,,"Marine and Environmental Sciences, Science Research, Marine Robotics-Sea Perch and MATE, and First Robotics.",Y,3072500025,,,"AP English Language and Composition, AP U.S. Government and Politics, AP United States History, AP Computer Science Principles, AP Calculus AB, AP English Literature and Composition, AP Biology",,,,,619.0,,,,,"521 West Avenue, Brooklyn NY 11224 (40.582518,-73.972009)",,,,,,,,,,,,,,,,,
L61A,N/A - new program,,,,,,,39,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15150'},,,,,,,,,,,,,,,,N/A - new program,,,40.686499,,"Khalil Gibran International Academy's (KGIA) offers a teaching and learning environment where all students develop, maintain, and graduate as life-long learners with a deep understanding of different cultural perspectives, a love of learning and a desire for academic authenticity. We promote holistic student development by supporting learners to grow socially, emotionally, physically and intellectually. The heart of our curriculum focuses on academically-rigorous, standards-based instruction.",N,3001740001,,,,N/A - new program,,,,189.0,,,,,"362 Schermerhorn Street, Brooklyn NY 11217 (40.686147,-73.979829)",N/A - new program,,,,,,,,N/A - new program,,,,,,,,
M50B,2,,,,,,,29,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18742'},,,,,,,,,,,,,,,Stunt,150,,,40.711442,,Well-rounded liberal arts curriculum and opportunities to prepare students for post-secondary options.,N,1001130100,,,"AP English Literature and Composition, AP Computer Science Principles, AP Biology, AP United States History",71,,,,114.0,,,,,"411 Pearl Street, Manhattan NY 10038 (40.711441,-74.000851)",33,,,,,,,,19,,,,N,,,,
L68A,,,,,,,,435,"Robotics, National Honor Society, Rugby, Swimming, Chess, Ping Pong, Photography, Art Club, Weightlifting, Student Government, Year Book, Video Gaming, Step Team, Music Club, Coding. Young Women's Initiative, Choir",{'url': 'https://www.myschools.nyc/en/schools/high-school/15106'},,,,,,,,,,,,,,,,,,,40.697185,,Students can choose to focus on a mathematics and comprehensive science course sequence beginning with their first year or spend their first two years exploring both subject areas and then concentrating on one at the beginning of their third year. Students will have the opportunity to earn college credits before graduation through AP courses. The projected four year science sequence is 9th grade: Physics; 10th grade: Chemistry; 11th grade: Living Environment; and 12th grade: AP Biology.,Y,3033650098,,,"AP Computer Science Principles, AP Biology, AP Statistics, AP Seminar, AP United States History, AP English Language and Composition, AP Research",,,,,304.0,,,,,"400 Irving Avenue, Brooklyn NY 11237 (40.696457,-73.911751)",,,,,,,,,,,,,,,,,
M71A,,,,,,http://beaconschool.org/admissions/,,129,"Africana, Art Club, Asian Student Union, B'DAT Choir, B'DAT Freshman Project, B'DAT Mainstage Theatre, B'DAT Tech Teams, B'SAGA (Beacon's Sexuality and Gender Alliance Club for the LGBTQ+ Community), Beacon Beat (School Newspaper), Beacon Ink (School Magazine), Marine Biology Club, Mock Trial, Pan-Asian 'Anime' Club, Current Events, Debate Team, Dungeons and Dragons, Entrepreneurship Club, Environment Club, Film Club, French Club, Game Makers Club, Girl Up, Girls in Government, Girls Who Code, Integrate Beacon (desegregation & inclusion work), Jewish Student Alliance, Key Club, Korean and Chinese Language Culture Club, Latinx Student Union, Live Poets Society, Math Club, Medical Club, Model Congress, Photography, Podcast Club, Policy and Philosophical Journal, Project ABLE (raises funds to promote literacy and education in East Africa), SAT Math Prep, Spanish Club, Stock Market Club, Student Government, Students Demand Action for Gun Safety, Stylemakers Fashion Club, Sunshine Society (Wellness Club), The Moth (Storytelling Club), Upcycling Club (Recycling Art Club), Young Democrats",{'url': 'https://www.myschools.nyc/en/schools/high-school/17949'},,,,,,,,,,,,,,,,,,,40.761452,,"We offer an inquiry-based college-preparatory program. Beacon fosters a nurturing, collaborative work environment that promotes students' appreciation for intellectual diversity, preparation for the rigors of college, and active engagement in their larger communities. Our humanities and science courses encourage students to search through multiple perspectives and to scour research and experimental data for the answers to difficult questions.",Y,1010720015,,,"AP Calculus AB, AP Biology, AP Physics 1, AP Spanish Language and Culture",,,,,1469.0,,,,,"522 West 44th Street, New York NY 10036 (40.760858,-73.996262)",,,,,,,,,,,,,,,1.0,,
R28L,,,,,,,,29,,{'url': 'https://www.myschools.nyc/en/schools/high-school/19134'},,,,,,,,,,,,,,,"Double Dutch, Golf",,,,40.620347,,A humanities-based approach to excellence in all subject areas.,Y,5005560080,,,"AP Biology, AP English Literature and Composition",,,,,306.0,,,,,"101 Warren Street, Staten Island NY 10304 (40.620443,-74.080695)",,,,,,,,,,,,,,,,,
L37A,,,,,,http://www.kurthahnschool.org/?page_id=845,,936,,{'url': 'https://www.myschools.nyc/en/schools/high-school/16263'},,,,,,,,,,,,,,,Stunt,,,,40.648657,,"Kurt Hahn offers a liberal arts, college preparatory and project based curriculum. Our school offers a challenging and engaging curriculum culminating in performance based assessments, instead of all but the ELA Regents Exam. Our students take advanced course work including AP English, AP Human Geography, and a variety of College Now courses through Kingsborough College. Our students engage in twice yearly student led conferences, empowering them to be leaders of their own learning.",N,3047420001,,,"AP English Literature and Composition, AP Human Geography",,,,,259.0,,,,,"5800 Tilden Avenue, Brooklyn NY 11203 (40.647728,-73.922212)",,,,,,,,,,,,,,,1.0,,
L72A,,,,,,,,326,"Art club, Dance club, Advisory Leadership, After-School Enrichment, Community Service Leadership, Junior Citizens Police Academy, Liberated Leaders, Peer Tutoring, School Leadership Team, School Newspaper, Student Council, Student internship",{'url': 'https://www.myschools.nyc/en/schools/high-school/17336'},,,,,,,,,,,,,,,,,,,40.577208,,,N/A - transfer school,3070200039,,,,,,,,223.0,,,,,"2865 West 19th Street, Brooklyn NY 11224 (40.576976,-73.985413)",,,,,,,,,,,,,,,,,
K70C,6,,52.0,,,https://westinghousehs.org/admissions/,Screened,13,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15835'},,,,,,9.0,,,,,,,,,Double Dutch,274,,,40.694926,,"All students study programming languages including HTML, JavaScript, JQuery, Python and Scratch to develop mobile and database applications. Industry partners work with students to develop their skills and prepare them for internship, career and college opportunities. Students are expected to participate in work-based learning activities including job shadowing, school trips and internships. Students are also expected to pass the industry recognized HTML5 certification exam.",Y,3001310001,2018-19 ELA/Math State Test Scores - 20%,,"AP Biology, AP Calculus AB, AP Human Geography, AP World History: Modern, AP English Language and Composition, AP English Literature and Composition",46,,,,753.0,,,,,"105 Tech Place, Brooklyn NY 11201 (40.695444,-73.986105)",96,,,,,,,10.0,9,10.0,,,Y,,,46.0,
X77R,,,,,,https://sites.google.com/a/metropolitanhs.org/information/,,131,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18946'},,,,,,,,,,,,,,,,,,,40.827315,,,N,2026920014,,,"AP English Literature and Composition, AP Spanish Language and Culture, AP United States History, AP Calculus AB, AP Environmental Science",,,,,273.0,,,,,"1180 Rev. J.A. Polite Avenue, Bronx NY 10459 (40.827539,-73.896925)",,,,,,,,,,,,,,,,,
K28A,24,,269.0,,,,Ed. Opt.,182,"Anime/Manga Club, Arista, Asian Club, Band, Chorus, Dance Club, Disc Jockey (DJ) Club, Fashion Club, Glee Club, International Club, LGBTQ Club, Medical Science Club, Model UN, Newspaper Club, One Catalyst Club, Peer Mediation, Poetry Club, Science Olympiad, Sustainability Club, Student Organization (S.O.), WNUHS Radio.  International Show, Asian New Year Show, Fashion Show.  Movie Nights, Karaoke Nights, S.O./PTA Thanksgiving Dinner, Senior Prom, Senior Trip, Senior Brunch/Carnival. Fundraisers for various charities. International Trips",{'url': 'https://www.myschools.nyc/en/schools/high-school/15821'},,N/A - zoned program,,,,13.0,,,,2018-19 ELA/Math State Test Scores - 20%,,,,,,796,,,40.613262,,"Combines academics and hands-on experience to develop candidates interested in health career professions. Program highlights include Billing & Coding certification, senior year internship opportunities, and a certificate of completion in Health Informatics & Health Assisting.",Y,3062710001,,,"AP Macroeconomics, AP United States History, AP Drawing, AP Physics 1, AP Environmental Science, AP Computer Science Principles, AP Biology, AP Psychology, AP English Language and Composition, AP English Literature and Composition, AP Human Geography, AP Statistics, AP World History: Modern, AP Computer Science A, AP Chinese Language and Culture, AP Calculus AB, AP Microeconomics, AP Italian Language and Culture, AP Spanish Language and Culture, AP Calculus BC, AP U.S. Government and Politics, AP Chemistry",33,New Utrecht High School D75 Inclusion Program,,,3480.0,K28U,,,,"1601 80th Street, Brooklyn NY 11214 (40.613041,-74.002308)",151,,,,,N/A - zoned program,,7.0,7,38.0,,,Y,,,33.0,
A14A,,,,,,,,127,,{'url': 'https://www.myschools.nyc/en/schools/high-school/14817'},,,,,,,,,,,,,,,,,,,40.76337,,,Y,1010590015,,,"AP Statistics, AP Spanish Language and Culture, AP Psychology, AP United States History, AP English Language and Composition",,,,,428.0,,,,,"439 West 49th Street, Manhattan NY 10019 (40.763655,-73.990318)",,,,,,,,,,,,,,,,,
R19A,5,,44.0,2018-19 ELA/Math State Test Scores - 30%,,https://tinyurl.com/y6yx99on,Open,7,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18461'},Guaranteed offer to students who live in the zoned area,2,R19J,,5,4.0,89% of offers went to this group,100% of offers went to this group,,,Performing Arts,,0.0,,"Double Dutch, Golf",338,Curtis High School D75 Inclusion Program,N/A - zoned program,40.644735,,"The SEI's rigorous, four-year sequence equips students with computer technology skills that lead to success in the 21st century workplace. The program introduces students to computer science, programming, web design and engineering. The sequence includes HTML, CSS, Photoshop, Python, JavaScript and SNAP. This program is excellent preparation for students interested in a computer science college major and the opportunity to get advanced college placement by taking an AP Computer Science class.",Y,5000220001,,,"AP Environmental Science, AP English Literature and Composition, AP Calculus AB, AP European History, AP Computer Science Principles, AP English Language and Composition, AP United States History, AP U.S. Government and Politics, AP World History: Modern",65,Performing Arts,52,Zoned Guarantee,2476.0,R19G,,,,"105 Hamilton Avenue, Staten Island NY 10301 (40.645436,-74.082149)",74,0.0,2018-19 Final Grades - 35%,,N/A - zoned program,Y,,14.0,20,3.0,,,Y,,,46.0,5% of offers went to this group
M25A,,,,,,,,9,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15078'},,,,,,,,,,,,,,,Stunt,,,,40.704541,,Comprehensive interdisciplinary liberal arts program with many opportunities for AP courses; Exhibition (a long-frame individual research paper and related presentation) in grade 12.,Y,1000290070,,,"AP English Literature and Composition, AP Biology, AP Chemistry, AP World History: Modern, AP Physics 2, AP English Language and Composition, AP Calculus AB, AP Spanish Language and Culture, AP United States History",,,,,674.0,,,,,"75 Broad Street, Manhattan NY 10004 (40.704697,-74.011202)",,,,,,,,,,,,,,,,,
M46X,,,,,,,,201,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17144'},,,,,,,,,,,,,,,,,,,40.713684,,,Y,1002690041,,,"AP English Literature and Composition, AP United States History, AP Biology",,,,,226.0,,,,,"220 Henry Street, Manhattan NY 10002 (40.713362,-73.986051)",,,,,,,,,,,,,,,,,
K63X,,,,,,,,1156,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18889'},,,,,,,,,,,,,,,Stunt,,,,40.667456,,"Curriculum emphasizes issues relating to civil rights awareness and the American Constitution. Emphasis is placed on Law and Law-related professions. Ongoing debates, cultural performances and talent shows.",N,3037880001,,,"AP English Language and Composition, AP United States History",,,,,233.0,,,,,"400 Pennsylvania Avenue, Brooklyn NY 11207 (40.666868,-73.895122)",,,,,,,,,,,,,,,,,
M65R,,,,,,,,18,"National Honor Society (NHS), Student Government, AGL Law Team, Art Club, Soccer Club, Annual AGL Multicultural Day, AGL Eagle Event Days, and I can BeVital Event Days",{'url': 'https://www.myschools.nyc/en/schools/high-school/17260'},,,,,,,,,,,,,,,,,,,40.717349,,"Students take law themed and government courses such as Law & Ethics, Forensic Science, Advanced Law Topics, Government, US History and Advanced Placement US History.",Y,1004080030,,,"AP Environmental Science, AP English Language and Composition, AP English Literature and Composition, AP United States History, AP Statistics",,,,,322.0,,,,,"350 Grand Street, Manhattan NY 10002 (40.717329,-73.989329)",,,,,,,,,,,,,,,,,
M64A,,,,,,https://theclintonschool.net/high-school-admissions,,52,"Varsity Club, Public Forum Debate Club, Community Service Club, The Social Justice Club, The Green Initiative Club, Love Will Save This Place Club, Yearbook Club, Clinton Soup, Clinton TV, Student Council, Gender Equality Club, The Clinton School Post, Pre-Med Club, Kpop Dance Crew (KPDC), Gender and Sexuality Alliance (GSA), Model United Nations, The Clinton Theatre Company, Film Club, Courageous Conversations, The Clinton Band, Students of Color Matter, Art History Club, Japanese Media Club, Jewelry Making Club, Study Club, Peer Tutoring, Dungeons and Dragons, Chess Club, Bracelet Making Club, Board Game Club, Book Club, The Jewish Student Union (JSU), Prom Committee",{'url': 'https://www.myschools.nyc/en/schools/high-school/18614'},,,,,,,,,,,,,,,,,,,40.736518,,"We are an International Baccalaureate (IB) World School, offering the Diploma Programme (DP). Clinton students become active, compassionate and lifelong learners. We pair the DP with The Yale Center for Emotional Intelligence to develop global citizens. Our program is an ""IB for ALL."" Students complete NYS Regents by the end of 10th grade. All IB DP candidates complete a 4,000 word research essay, a theory of knowledge course (ToK), and engage in creativity, action, and service projects (CAS).",Y,1008420034,,,,,,,,776.0,,,,,"10 East 15th Street, Manhattan NY 10003 (40.736526,-73.992727)",,,,,,,,,,,,,,,,,
X25B,4,,57.0,,,https://www.youtube.com/watch?v=fd089do1Ows,Ed. Opt.,46201,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18680'},,,X25Z,,8,5.0,100% of offers went to this group,99% of offers went to this group,,,Performing Arts/Visual Art & Design,,1.0,,Stunt,473,,,40.874091,,"Experience law enforcement, mock trials, debates, and internships in our state-of-the-art law library and courtroom. Opportunities to network with law enforcement professionals. Affiliated with St. John's University; students may receive college credit.",Y,2051410150,,,"AP Statistics, AP Environmental Science, AP Spanish Language and Culture, AP Seminar, AP European History, AP 2-D Art and Design, AP English Literature and Composition, AP Calculus AB, AP Computer Science Principles, AP Drawing, AP Biology, AP World History: Modern, AP United States History",120,Arts Academy,N/A - zoned program,,2172.0,X25I,,,,"750 Baychester Avenue, Bronx NY 10475 (40.874035,-73.831669)",200,1.0,,,,,,19.0,32,3.0,,,Y,,,71.0,1% of offers went to this group
M30A,N/A - new program,,,,,,,277,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15675'},,,,,,,,,,,,,,,,N/A - new program,,,40.855855,,"This program utilizes our state-of-the-art recording studio and exposes students to course work in Visual Storytelling, Advanced Broadcast Production, and Introduction to Post Production. Students create public service announcements, mini-documentaries, commercials and short films. Students are required to create a short silent film with Film at Lincoln Center and complete a certification program at Manhattan Neighborhood Network.",N,1021600018,,,"AP English Language and Composition, AP 2-D Art and Design, AP United States History, AP Spanish Language and Culture, AP Spanish Literature and Culture, AP English Literature and Composition, AP Biology, AP Psychology",N/A - new program,,,,350.0,,,,,"549 Audubon Avenue, Manhattan NY 10040 (40.856532,-73.92606)",N/A - new program,,,,,,,,N/A - new program,,,,,,,,
M62A,6,,,,,,,251,,{'url': 'https://www.myschools.nyc/en/schools/high-school/16810'},,,,,,,,,,,,,,,,282,,,40.838167,,"Students take a four year sequence in Science, Mathematics, and Social Studies in a bilingual setting; extensive sequence of English as a New Language and English Language Arts; Spanish AP Language and their choice of other AP courses and/or electives; and modified programs to serve the needs of Newcomers transitioning to New York City. All four years encompass objectives of college and career preparedness and readiness.",Y,1021230045,,,"AP Computer Science Principles, AP Spanish Language and Culture, AP Environmental Science, AP Calculus AB, AP Computer Science A, AP Spanish Literature and Culture, AP Music Theory, AP English Language and Composition",47,,,,521.0,,,,,"501 West 165th Street, Manhattan NY 10032 (40.8381,-73.9383)",48,,,,,,,,13,,,,N,,,,0% of offers went to this group
X38A,7,,,,,,,309,"K.H.C.C,  Cosmetology club, Movie Club, Double Dutch Club, Dance club, National Honors Society, Black Pearl, C.O.S.A",{'url': 'https://www.myschools.nyc/en/schools/high-school/17691'},,,,,,,,,,,,,,,"Golf, Stunt",331,,,40.877105,,"Acting, set design, costume design and construction, sound and light design, and technology.",Y,1022150080,,,"AP United States History, AP Environmental Science, AP Spanish Language and Culture, AP English Literature and Composition",48,,,,328.0,,,,,"99 Terrace View Avenue, Bronx NY 10463 (40.877379,-73.912686)",79,,,,,,,,13,,,,Y,,,,3% of offers went to this group
M39,,,,,,https://tinyurl.com/y6n4unr7,,218,,{'url': 'https://www.myschools.nyc/en/schools/high-school/16534'},,,,,,,,,,,,,,,,,,,40.802207,,"The Douglass STEM Institute prepares scholars for success in colleges and careers focused on science, technology, engineering, and mathematics (STEM) through a performance-task-based curriculum. In addition, to our core Science and Math sequence, scholars have access to AP courses as well as electives focused on robotics and engineering. Scholars will be equipped with a foundation of essential knowledge and skills to critically explore and solve real world problems.",Y,1018300019,,,"AP United States History, AP Statistics, AP English Language and Composition, AP English Literature and Composition, AP Biology",,,,,321.0,,,,,"215 West 114th Street, Manhattan NY 10026 (40.80261,-73.954152)",,,,,,,,,,,,,,,,,
K07X,,,,,,,,519,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17724'},,,,,,,,,,,,,,,,,,,40.715073,,"We develop the Habits of Mind (Perspective, Analysis, Connections and Expression), Work (Resourcefulness, Organization, Perseverance, Eagerness and Self-Awareness), and Heart (Flexibility, Insight, Role and Empathy) that students need to succeed in a challenging college program and fulfilling career.",Y,3023300011,,,"AP Chemistry, AP Calculus AB, AP Environmental Science, AP Psychology, AP Spanish Language and Culture, AP European History, AP United States History, AP English Language and Composition, AP 2-D Art and Design",,,,,532.0,,,,,"257 North 6th Street, Brooklyn NY 11211 (40.715561,-73.954815)",,,,,,,,,,,,,,,,,
X59X,,,,,,,,387,"Student Council, Girls United, Young Men with No Limits, Yearbook Club, Art Club, Music Club, TDF Wendy Wasserstein Theatre Scholarship, YDDC Dance Club, Young Men in the Workplace, Unity Club, Photography Club, Gemini Student Group, Catrock Outdoor Education program, TREC Campus Band, ACDP After School Enrichment Program, After school and Saturday Regents prep, AP for All, One Goal program, Genesys Works corporate internship, Capital One Bank internship, Lifeguard training, Partnership with Gear Up at Lehman College, College Now program, Annual upstate overnight college trip, Annual senior activities like overnight trip, prom, Senior Day, many trips, etc",{'url': 'https://www.myschools.nyc/en/schools/high-school/16656'},,,,,,,,,,,,,,,,,,,40.860043,,,Y,2030590001,,,"AP English Literature and Composition, AP English Language and Composition, AP Spanish Language and Culture, AP United States History, AP Chemistry, AP U.S. Government and Politics, AP 2-D Art and Design",,,,,614.0,,,,,"500 East Fordham Road, Bronx NY 10458 (40.859466,-73.888625)",,,,,,,,,,,,,,,,,
M02R,,,,,,,,135,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17531'},,,,,,,,,,,,,,,,,,,40.76525,,"Our relevant, academically rigorous program and the supportive, caring structures we have in place make us an excellent learning community. With our lead partner, Facing History, we help prepare our students for the ethical and moral decisions of adulthood. As a member of the NYS Performance Standards Consortium, we are part of a waiver that allows our students to graduate with a Regents Diploma using performance-based assessment tasks in all core subjects and the ELA Regents.",Y,1010790029,,,"AP Computer Science Principles, AP Statistics, AP English Literature and Composition",,,,,350.0,,,,,"525 West 50th Street, Manhattan NY 10019 (40.765474,-73.9927)",,,,,,,,,,,,,,,1.0,,
M21A,,,,,,,,132,"Art 4 Heart, Asian Pop Culture Club, Chamber Music Society, Chess Club, Choir, Dance, Drama, ElRo Ambassadors, Equity Club, Film, Gaming, Gender & Sexuality Alliance (GSA), Girls Who Code, Girls Lead Our World, Green Team, Girl Up,  High School Democrats of America, Investment and Finance, Jazz Music Ensemble, Kendo Club, Law Team, Making a Difference, Math, Model UN, Modern Band, Multicultural, Naturalists, NHS, NYCTEAM Tutoring, Pawprint Publication, Percussion Club, Pre Med, Ping Pong, Roosevelt Racers, Science Magazine, Stargazer Literary Magazine, Spanish Club, Student Government, Technology Volunteers, Woman in Science, TEDed, Yearbook, and Zim Kids",{'url': 'https://www.myschools.nyc/en/schools/high-school/17355'},,,,,,,,,,,,,,,Golf,,,,40.770187,,We offer students a comprehensive liberal arts curriculum across all disciplines. Students are given the opportunity to pursue higher level courses across the humanities and STEM fields.,Y,1014710005,,,"AP Biology, AP Macroeconomics, AP Art History, AP Comparative Government and Politics, AP Calculus BC, AP World History: Modern, AP Physics C: Mechanics, AP Computer Science Principles, AP English Literature and Composition, AP Chemistry, AP United States History, AP Statistics",,,,,541.0,,,,,"411 East 76th Street, Manhattan NY 10021 (40.770288,-73.953276)",,,,,,,,,,,,,,,,,
M53A,,,,,,https://newdesignhigh.com/admissions,,18,Student Voice,{'url': 'https://www.myschools.nyc/en/schools/high-school/17687'},,,,,,,,,,,,,,,,,,,40.717349,,The CDOS Commencement Credential is a certificate that is meant to show your readiness for entry-level jobs. It is possible to complete high school with a CDOS Commencement Credential only.,Y,1004080030,,,"AP World History: Modern, AP 2-D Art and Design, AP United States History, AP English Literature and Composition, AP Environmental Science",,,,,454.0,,,,,"350 Grand Street, Manhattan NY 10002 (40.717329,-73.989329)",,,,,,,,,,,,,,,,,
Q82A,,,,,,https://www.ewsis.org/prospective,,845,,{'url': 'https://www.myschools.nyc/en/schools/high-school/16661'},,,,,,,,,,,,,,,,,,,40.749545,,"This program is for students who have a strong interest in studying an Asian language. Students accepted are placed in a three- or four- year sequence of either Chinese (Mandarin), Japanese, or Korean. All of our language programs are targeted to non-native speakers. Applicants should follow the link on our school homepage at www.ewsis.org to submit a personal statement about their interest in East Asian culture. Select ""Ed-Opt Program"" under the ""Students"" tab to submit.",Y,4051470001,,,"AP Calculus AB, AP United States History, AP Chinese Language and Culture, AP Psychology, AP Statistics, AP Art History, AP Computer Science Principles, AP English Language and Composition, AP English Literature and Composition",,,,,666.0,,,,,"46-21 Colden Street, Flushing NY 11355 (40.74943,-73.821402)",,,,,,,,,,,,,,,,,
X02R,,,,,,,,404,"Art Club, Cheerleading Team, Chess Club, Dance Club, Guitar Club, PGC Program, and Weight Lifting Club",{'url': 'https://www.myschools.nyc/en/schools/high-school/19423'},,,,,,,,,,,,,,,,,,,40.887831,,,Y,2048640035,,,"AP English Literature and Composition, AP Environmental Science, AP World History: Modern, AP Computer Science Principles, AP United States History, AP Human Geography",,,,,363.0,,,,,"921 East 228th Street, Bronx NY 10466 (40.888242,-73.852714)",,,,,,,,,,,,,,,,,
Q33A,,,,,,,,452,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17206'},,,,,,,,,,,,,,,"Cricket, Double Dutch, Golf, Stunt",,,,40.713218,,Introduction to cooking and baking.,Y,4098580100,,,,,,,,456.0,,,,,"167-01 Gothic Drive, Jamaica NY 11432 (40.714551,-73.798658)",,,,,,,,,,,,,,,,,
X89S,,,,,,https://tinyurl.com/y69chsuz,,409,"Drama (Play/Musical), Mock Trial, Model UN, Robotics (Sciborgs/FeMaidens), S!NG, Speech and Debate, Business Society, DECA, Entrepreneurship Club, Get Your Life Together Club (GYLT), Investment Society, Pre-Medical Society, East Asian Entertainment Club, Filipino Culture Club, French Culture Club, Hindi Cinema Club, Japanese Culture Club, Italian Club, Jewish Student Union, Muslim Students' Association, Latin Club, Lunar New Year Productions, Martial Arts Culture Club, NASHA of Culture, Seekers Christian Fellowship, Vivo Latino, World Culture Cooking Club, E-Sports Club, Chess Club, Dungeons and Dragons, A Cappella Club, Bronx Science Fashion Show, Chamber Music, Crafts for Humanity, DIY Club, Edible Arts, Film Production Club, Jazz Club, Starving Artists Society, Painting Club, Dynamo Literary Magazine, Exposition, Journal of Biology (JOB), Astronomy Club, BioEthics, Bronx Science Hackers, Science Olympiad, Machine Learning Club, Amnesty International, Best Buddies Bronx Science, Current Events Forum, Gay Straight Alliance/ Gender Sexuality Alliance, Helping out NYC's Youth, Key Club, LEAP (League of Environmental and Animal Protection) Club, Mental Health Association, National Organization for Women, Red Cross Club, Unicef",{'url': 'https://www.myschools.nyc/en/schools/high-school/14972'},,,,,,,,,,,,,,,"Cricket, Golf",,,,40.87759,,Admission to this Specialized High School is based solely on the score obtained on the Specialized High Schools Admission Test (SHSAT). Students should speak to their school counselors in the Fall to register for the SHSAT.,,2032510201,,,"AP Biology, AP Chinese Language and Culture, AP Spanish Language and Culture, AP Comparative Government and Politics, AP U.S. Government and Politics, AP World History: Modern, AP Environmental Science, AP Japanese Language and Culture, AP Spanish Literature and Culture, AP Calculus AB, AP English Language and Composition, AP United States History, AP Macroeconomics, AP Physics 1, AP Physics C: Mechanics, AP Calculus BC, AP Microeconomics, AP Physics 2, AP Statistics, AP Art History, AP Chemistry, AP English Literature and Composition, AP Latin, AP Psychology, AP French Language and Culture, AP Computer Science A, AP European History",,,,,2981.0,,,,,"75 West 205 Street, Bronx NY 10468 (40.879958,-73.889011)",,,,,,,,,,,,,,,,,
Q30J,,,,,,,,179,"Girls Inc. Global Growers, The Voice (activism) Running Club, Open Mic, Forensics Club, Softball Club",{'url': 'https://www.myschools.nyc/en/schools/high-school/18683'},,,,,,,,,,,,,,,Golf,,,,40.744412,,"Portfolio-based assessment, five year early college program and out-of-school internships.",Y,4002490001,,,,,,,,507.0,,,,,"45-35 Van Dam Street, Long Island City NY 11101 (40.743253,-73.933316)",,,,,,,,,,,,,,,1.0,,
