code1,grade9geapplicantsperseat2,appperseat3specialized,grade9swdapplicants4,requirement_1_3,eligibility5,recruitment_website,method4,census_tract,extracurricular_activities,url,admissionspriority111,grade9swdapplicantsperseat8,code9,seats6specialized,grade9swdapplicantsperseat7,grade9swdapplicantsperseat5,offer_rate1_7,offer_rate1_3,admissionspriority210,requirement_1_5,interest7,eligibility10,seats109,applicants2specialized,psal_sports_coed,grade9geapplicants2,program10,grade9geapplicantsperseat11,latitude,admissionspriority42,prgdesc1,grade9swdfilledflag1,bbl,requirement_1_4,prgdesc10,advancedplacement_courses,seats9ge2,program7,seats9ge9,method11,total_students,code7,eligibility3,requirement_5_1,auditioninformation3,location,grade9swdapplicants2,seats107,requirement_2_6,grade9swdfilledflag10,grade9gefilledflag11,grade9swdfilledflag8,admissionspriority44,seats9swd5,seats9swd2,grade9swdapplicantsperseat4,applicants6specialized,common_audition2,grade9swdfilledflag2,auditioninformation4,pbat,seats9ge5,offer_rate2_2
X35A,10,,,,,,,228,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18293'},,,,,,,,,,,,,,,,438,,,40.851405,,"A program of study focused on the visual arts, including art history, painting, drawing, photography, sculpture, and mixed media. This curriculum helps students become prepared for advanced study and work in the visual arts.",Y,2042900048,,,"AP Spanish Language and Culture, AP Statistics, AP English Language and Composition",43,,,,440.0,,,,,"2040 Antin Place, Bronx NY 10462 (40.851577,-73.864438)",153,,,,,,,,7,,,,Y,,,,0% of offers went to this group
M29A,,,,,,https://nestmk12.net/admissions/upper-grade-admissions,,2201,"School Newspaper, National Honor Society (NHS), Peer Leaders Club, Student Government, Yearbook, Asian Culture Club, Black Student Union (BSU), Fashion Club, Feminism Club, Gender & Sexuality Alliance (GSA), Genealogy Club, Jewish Student Union, Latino & Hispanic Student Union (LHSU), Mediterranean Culture Club, Muslim Student Association (MSA), Coding Club, Debate Club, Investment Club, Literary Magazine Club, Math Team, Model UN, Next Generation Politics, Robotics Club, Science Olympiad Team Science Research Club, A Capella Project, Anime Club, Art Club, Film Club, Improv Troupe, Jazz Combo Club, Tech Crew, Advertising & Marketing Club, Key Club, Nature Club, Red Cross Club, WE Club, Blog & Podcast Club, Tabletop Gaming Club",{'url': 'https://www.myschools.nyc/en/schools/high-school/15103'},,,,,,,,,,,,,,,,,,,40.718895,,"At NEST+m, intellectualism, inclusivity, collaboration and exploration within and beyond our school community enable our students to lead lives filled with learning, discovery and purpose. We provide a range of services for students with disabilities including a full-inclusion program. NEST+m students blossom into practitioners: scientists, mathematicians, engineers, artists, writers, historians, musicians, painters, and linguists who approach their studies with passion and purpose.",Y,1003350001,,,"AP Calculus BC, AP Computer Science Principles, AP Spanish Language and Culture, AP World History: Modern, AP Chemistry, AP Biology, AP English Language and Composition, AP Statistics, AP Calculus AB, AP Physics 1, AP United States History, AP English Literature and Composition, AP Psychology",,,,,1806.0,,,,,"111 Columbia Street, Manhattan NY 10002 (40.719416,-73.979581)",,,,,,,,,,,,,,,,,
X87R,,,,,,,,404,"Student Government, Youth Philanthropy Initiative (YPI), Community Service, Yearbook, Enrichment Activities including chess club, aspiring architects & engineers club, international club, dance, music, talent shows, and multicultural shows",{'url': 'https://www.myschools.nyc/en/schools/high-school/17169'},,,,,,,,,,,,,,,,,,,40.887831,,,N,2048640035,,,"AP Spanish Language and Culture, AP United States History, AP Environmental Science, AP Human Geography, AP English Language and Composition, AP French Language and Culture",,,,,365.0,,,,,"921 East 228th Street, Bronx NY 10466 (40.888242,-73.852714)",,,,,,,,,,,,,,,,,
K98X,,,,,,,,213,"Dream Team, French Heritage,Chinese Club, Yearbook Club,Moth Storytelling, Ballet, National Honor Society, Senior Committee, Student Government, Acting Club, Glass Wing, City Rocks, Tap Dance, Haitian Dance, Arabic Club, Anime, and The Green Team",{'url': 'https://www.myschools.nyc/en/schools/high-school/15362'},,,,,,,,,,,,,,,"Cricket, Double Dutch",,,,40.670349,,,Y,3011870001,,,"AP Spanish Language and Culture, AP Computer Science Principles",,,,,370.0,,,,,"883 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",,,,,,,,,,,,,,,1.0,,
K90H,11,,,,,,,288,,{'url': 'https://www.myschools.nyc/en/schools/high-school/18894'},,,,,,,,,,,,,,,,497,,,40.604879,Then to New York City residents,"Small group instruction on band instruments. Participation in concert bands. Electives in Music Theory, Music History, Sight-Singing. Preparation for outside performances. Evaluations of solo and ensemble work.",Y,3063290032,,,"AP English Language and Composition, AP Computer Science Principles, AP English Literature and Composition, AP United States History, AP U.S. Government and Politics",45,,,,926.0,,,,,"8310 21st Avenue, Brooklyn NY 11214 (40.60498,-73.995084)",154,,,,,,,,6,,,,Y,,,,26% of offers went to this group
K91A,3,,,,,,,69,,{'url': 'https://www.myschools.nyc/en/schools/high-school/19659'},,,,,,,,,,,,,,,,347,,,40.684524,,"Whether discovering new cancer treatments or teaching healthy lifestyle choices, today's biomedical science professionals are tackling big challenges to make the world a better place. Our Biomedical Science students, through Project Lead the Way courses, are taking on these same real-world challenges while still in high school. Students engage in compelling, hands-on activities and work together to find solutions to problems using the same tools used by professionals in hospitals and labs.",Y,3003970011,,,"AP English Language and Composition, AP United States History, AP English Literature and Composition, AP Statistics",100,,,,512.0,,,,,"347 Baltic Street, Brooklyn NY 11201 (40.684869,-73.990884)",64,,,,,,,,20,,,,Y,,,,9% of offers went to this group
K67A,4,,86.0,,,https://gradyhs.com/prospective-students,Ed. Opt.,366,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17323'},,,,,,6.0,,,,,,,,,,169,,,40.582585,,State certified three-year sequence in the culinary arts. Internships available for eligible students. All students must take industry exams for certification.,Y,3072610201,,,"AP English Literature and Composition, AP English Language and Composition, AP United States History, AP Biology, AP Computer Science Principles",46,William E. Grady Career and Technical Education High School ACES 15:1 Program,,,453.0,K67Y,,,,"25 Brighton 4th Road, Brooklyn NY 11235 (40.583263,-73.963764)",64,,,,,,,12.0,9,10.0,,,Y,,,70.0,
K09X,,,,,,,,519,"Architecture Club, Architectural Grille, Art Club, Revit Club, Newspaper Team, WHSAD Senate, Electrical Club, Yearbook Club, Entrepreneurship Club, Community Service Club, Chess Club, and My Brother's Keeper",{'url': 'https://www.myschools.nyc/en/schools/high-school/17429'},,,,,,,,,,,,,,,,,,,40.715073,,"Students engage in coursework that promotes creative thought and technical proficiency. Students learn principles of design to articulate and defend their creative decisions. They learn industry methodologies to draft, communicate, and render physical prototypes of their designs. This ability to both create and build makes our students highly desirable for paid internships with industry partners.",Y,3023300011,,,"AP Spanish Language and Culture, AP English Literature and Composition, AP Environmental Science, AP Human Geography, AP United States History",,,,,587.0,,,,,"257 North 6th Street, Brooklyn NY 11211 (40.715561,-73.954815)",,,,,,,,,,,,,,,,,
K69B,3,,109.0,2018-19 ELA/Math State Test Scores - 45%,,,Screened,1196,,{'url': 'https://www.myschools.nyc/en/schools/high-school/15533'},,,,,7,7.0,,,,2018-19 ELA/Math State Test Scores - 45%,Computer Science & Technology,,,,Cricket,160,,,40.678276,,"Prepares students for careers in computer forensics and law enforcement. The course focuses on concepts of computers and transitions into security awareness, hacking, and mobile device and advanced computer forensics. Certificates/Industry exams-IC3, IT Fundamentals, and Cyber-Security.",Y,3041550075,2018-19 ELA/Math State Test Scores - 45%,,"AP English Language and Composition, AP Biology, AP Psychology, AP Statistics, AP Calculus AB, AP English Literature and Composition, AP United States History, AP Environmental Science",62,Information Technology,,,715.0,K69R,,,,"1 Wells Street, Brooklyn NY 11208 (40.67878,-73.875328)",83,1.0,,,,,,12.0,13,7.0,,,Y,,,58.0,
X89A,6,,,,,,,409,,{'url': 'https://www.myschools.nyc/en/schools/high-school/17297'},,,,,,,,,,,,,,,Cricket,226,,,40.882178,,"This program is for any student who is interested in a well-rounded education that prepares them for college and careers. We provide a learning environment that fosters critical thinking, which helps students develop well-informed and independent global perspectives. Our program seeks to ensure that our graduates are qualified, competitive and confident for the ever-changing future.",Y,2032510201,,,"AP Spanish Language and Culture, AP English Literature and Composition, AP English Language and Composition, AP Research, AP Seminar, AP Environmental Science",39,,,,583.0,,,,,"100 West Mosholu Parkway South, Bronx NY 10468 (40.879958,-73.889011)",23,,,,,,,,11,,,,Y,,,,
