location_name,borough_block_lot,nta,y_coordinate,fax_number,nta_name,geographical_district_code,highschool_network_superintendent,principal_phone_number,grades_text,state_code
The High School of Fashion Industries,1007740019,MN13,210947,212-255-4756,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,2,"ROSALES, MARISOL",212-255-1235,"09,10,11,12,SE",NY
P.S. 019 Judith K. Weiss,2033860001,BX62,266964,718-994-9132,Woodlawn-Wakefield                                                         ,11,,718-324-1924,"0K,01,02,03,04,05,06,07,08,SE",NY
Jonas Bronck Academy,2030337501,BX40,252977,718-365-3892,Fordham South                                                              ,10,,718-365-2502,"06,07,08,SE",NY
P.S. 305 Dr. Peter Ray,3018190014,BK75,189083,718-622-3474,Bedford                                                                    ,13,,718-789-3962,"PK,0K,01,02,03,04,05,SE",NY
P.S. 007 Abraham Lincoln,3041060039,BK83,190401,718-827-4004,Cypress Hills-City Line                                                    ,19,,718-647-3600,"PK,0K,01,02,03,04,05,SE",NY
I.S. 528 Bea Fuller Rodgers School,1021640032,MN35,249211,212-781-7302,Washington Heights North                                                   ,6,,212-740-4900,"06,07,08,SE",NY
The Urban Assembly School for Collaborative Health,3040940001,BK99,191783,718-277-6041,park-cemetery-etc-Brooklyn                                                 ,19,"WALSH, FRED",718-277-1572,"09,10,11,12,SE",NY
The Urban Assembly Unison School,3019830010,BK69,188583,718-857-0548,Clinton Hill                                                               ,13,,718-399-1061,"06,07,08,SE",NY
P.S. 234 Independence School,1001420025,MN24,201421,212-374-1719,SoHo-TriBeCa-Civic Center-Little Italy                                     ,2,,212-233-6034,"0K,01,02,03,04,05,SE",NY
PROGRESS High School for Professional Careers,3030160001,BK78,198368,718-782-0911,Bushwick South                                                             ,14,"WATTS, KAREN",718-387-0228,"09,10,11,12,SE",NY
MANHATTAN BUSINESS ACADEMY,1007420007,MN13,210120,212-647-1989,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,2,"ROSALES, MARISOL",212-647-1983,"09,10,11,12,SE",NY
The New School for Leadership and Journalism,2032530141,BX28,258311,718-601-2867,Van Cortlandt Village                                                      ,10,,718-601-2869,"06,07,08,SE",NY
J.H.S. 143 Eleanor Roosevelt,1021550035,MN35,248712,212-781-5539,Washington Heights North                                                   ,6,,212-927-7739,"06,07,08,SE",NY
M.S. 319 - Maria Teresa,1021120058,MN36,245005,212-740-8012,Washington Heights South                                                   ,6,,212-923-3827,"06,07,08,SE",NY
P.S. 047 John Randolph,2037860016,BX08,242618,718-904-1166,West Farms-Bronx River                                                     ,12,,718-824-0950,"0K,01,02,03,04,05,SE",NY
M.S. 255 Salk School of Science,1009250012,MN21,207177,212-614-0095,Gramercy                                                                   ,2,,212-614-8785,"06,07,08,SE",NY
P.S. 083 Donald Hertz,2041250001,BX37,248687,718-863-5525,Van Nest-Morris Park-Westchester Square                                    ,11,,718-863-1993,"0K,01,02,03,04,05,06,07,08,SE",NY
P.S. 026 Jesse Owens,3016160001,BK35,191221,718-574-2803,Stuyvesant Heights                                                         ,16,,718-919-5707,"PK,0K,01,02,03,04,05,SE",NY
Ebbets Field Middle School,3013010001,BK63,181629,718-284-7973,Crown Heights South                                                        ,17,,718-941-5097,"06,07,08,SE",NY
P.S. 165 Robert E. Simon,1018800013,MN09,231707,212-222-6700,Morningside Heights                                                        ,3,,212-678-2873,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
Special Music School,1011390008,MN14,221724,212-501-3339,Lincoln Square                                                             ,3,,212-501-3318,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",NY
"I.S. X318 Math, Science & Technology Through Arts",2029510032,BX17,246681,718-901-0778,East Tremont                                                               ,12,,718-294-8504,"06,07,08,SE",NY
Teachers College Community School,0,MN06,235267,212-316-8085,Manhattanville                                                             ,5,,212-316-8080,"PK,0K,01,02,03,04,05,06,SE",NY
Clara Barton High School,3011870001,BK63,183307,718-857-3688,Crown Heights South                                                        ,17,"PRAYOR, MICHAEL",718-636-4900,"09,10,11,12,SE",NY
Brooklyn Bridge Academy,3079980005,BK50,170435,718-968-1678,Canarsie                                                                   ,18,"CONYERS, DONALD",718-968-1689,"09,10,11,12,SE",NY
The Angelo Patri Middle School,2031430043,BX41,250523,718-584-1358,Mount Hope                                                                 ,10,,718-584-1295,"06,07,08,SE",NY
J.H.S. 218 James P. Sinnott,3042780001,BK82,183408,718-827-5839,East New York                                                              ,19,,718-647-9050,"06,07,08,SE",NY
"Science, Technology and Research Early College Hig",3051030010,BK95,175947,718-564-2541,Erasmus                                                                    ,17,"WALSH, FRED",718-564-2540,"06,07,08,09,10,11,12",NY
Lower Manhattan Community Middle School,0,MN25,196375,646-826-8101,Battery Park City-Lower Manhattan                                          ,2,,646-826-8100,"06,07,08,SE",NY
Urban Assembly Academy for Future Leaders,1019840033,MN06,236479,212-694-4124,Manhattanville                                                             ,5,,212-543-4960,"06,07,08,SE",NY
P.S. 132 Garret A. Morgan,2023900001,BX01,242475,718-681-6466,Claremont-Bathgate                                                         ,9,,718-681-6455,"0K,01,02,03,04,05,SE",NY
The Mott Hall School,1019570001,MN06,236800,212-491-3451,Manhattanville                                                             ,6,,212-281-5028,"06,07,08,SE",NY
P.S. 133 William A. Butler,3009400111,BK37,186989,718-385-5325,Park Slope-Gowanus                                                         ,13,,718-398-5320,"PK,0K,01,02,03,04,05,SE",NY
Mott Hall Bronx High School,2029130001,BX01,245148,718-466-6801,Claremont-Bathgate                                                         ,9,"MENDEZ, JUAN",718-466-6800,"09,10,11,12,SE",NY
Bronx Design and Construction Academy,2024110022,BX34,237542,718-402-4216,Melrose South-Mott Haven North                                             ,7,"STAPLE, CARRON",718-402-7690,"09,10,11,12,SE",NY
Providing Urban Learners Success In Education High,2030610055,BX17,248385,718-584-7809,East Tremont                                                               ,10,"ROTONDO, PAUL",718-294-0230,"09,10,11,12,SE",NY
P.S. 051 Elias Howe,1010730014,MN15,216735,212-315-7165,Clinton                                                                    ,2,,212-315-7160,"PK,0K,01,02,03,04,05,SE",NY
High School of Hospitality Management,1010790029,MN15,218160,212-265-1307,Clinton                                                                    ,2,"ROSALES, MARISOL",212-586-0963,"09,10,11,12,SE",NY
P.S. 186 Dr. Irving A Gladstone,3062390001,BK28,161850,718-331-9181,Bensonhurst West                                                           ,20,,718-236-7071,"0K,01,02,03,04,05,SE",NY
Urban Assembly Institute of Math and Science for Y,3001400010,BK38,192349,718-260-2301,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,13,"WALSH, FRED",718-260-2300,"06,07,08,09,10,11,12,SE",NY
M.S. K266 - Park Place Community Middle School,3009410050,BK37,186586,718-245-8769,Park Slope-Gowanus                                                         ,13,,718-245-8766,"06,07,08,SE",NY
Sunset Park Prep,3007130020,BK32,176864,718-840-1962,Sunset Park West                                                           ,15,,718-840-1951,"06,07,08,SE",NY
P.S. 256 Benjamin Banneker,3017840020,BK75,190883,718-783-7384,Bedford                                                                    ,13,,718-857-9820,"PK,0K,01,02,03,04,05,06,SE",NY
"The Brooklyn New School, P.S. 146",3003690001,BK33,186823,718-923-4780,Carroll Gardens-Columbia Street-Red Hook                                   ,15,,718-923-4750,"PK,0K,01,02,03,04,05,SE",NY
P.S. 046 Edgar Allan Poe,2032950001,BX05,255230,718-584-7402,Bedford Park-Fordham North                                                 ,10,,718-584-4450,"0K,01,02,03,04,05,SE",NY
Urban Assembly School for the Performing Arts,1019840033,MN06,236479,212-234-4975,Manhattanville                                                             ,5,"WALSH, FRED",212-543-4460,"09,10,11,12,SE",NY
Manhattan / Hunter Science High School,1011570025,MN14,221591,212-501-1171,Lincoln Square                                                             ,3,"WALSH, FRED",212-501-1235,"09,10,11,12,SE",NY
P.S. 146 Edward Collins,2026320027,BX35,239758,718-328-5858,Morrisania-Melrose                                                         ,8,,718-378-9664,"PK,0K,01,02,03,04,05,SE",NY
I.S. 136 Charles O. Dewey,3007130020,BK32,176864,718-840-1955,Sunset Park West                                                           ,15,,718-840-1950,"06,07,08,SE",NY
M.S. M247 Dual Language Middle School,1011480014,MN12,223648,212-496-1087,Upper West Side                                                            ,3,,212-496-1050,"06,07,08,SE",NY
P.S. 164 Caesar Rodney,3056000001,BK88,171390,718-853-9306,Borough Park                                                               ,20,,718-854-4100,"PK,0K,01,02,03,04,05,SE",NY
P.S. 38 Roberto Clemente,1016520016,MN33,226615,212-860-6093,East Harlem South                                                          ,4,,212-860-5882,"PK,0K,01,02,03,04,05,SE",NY
The SEEALL Academy,3054920001,BK88,167511,718-853-9308,Borough Park                                                               ,20,,718-851-8070,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
Business Of Sports School,1010590015,MN15,217497,212-246-2913,Clinton                                                                    ,2,"CONYERS, DONALD",212-246-2183,"09,10,11,12,SE",NY
P.S. 208 Elsa Ebeling,3047690025,BK91,173437,718-451-0185,East Flatbush-Farragut                                                     ,18,,718-629-1670,"PK,0K,01,02,03,04,05,SE",NY
The Global Learning Collaborative,1012150001,MN12,225688,212-877-1138,Upper West Side                                                            ,3,"WALSH, FRED",212-877-1103,"09,10,11,12,SE",NY
Castle Bridge School,1021250001,MN36,245694,212-740-4706,Washington Heights South                                                   ,6,,212-740-4701,"PK,0K,01,02,03,04,05,SE",NY
P.S. 013 Roberto Clemente,3038230001,BK85,181232,718-345-2396,East New York (Pennsylvania Ave)                                           ,19,,718-498-3717,"PK,0K,01,02,03,04,05,SE",NY
J.H.S. 118 William W. Niles,2030690001,BX17,248501,718-584-7763,East Tremont                                                               ,10,,718-584-2330,"06,07,08,SE",NY
School of Performing Arts,2027140004,BX27,238792,718-589-7998,Hunts Point                                                                ,12,,718-589-4844,"06,07,08,SE",NY
P.S. 192 - The Magnet School for Math and Science,3054450001,BK88,168366,718-871-8721,Borough Park                                                               ,20,,718-633-3061,"PK,0K,01,02,03,04,05,06,07,08,SE",NY
P.S. 046 Edward C. Blum,3020450011,BK68,192314,718-243-0726,Fort Greene                                                                ,13,,718-834-7694,"PK,0K,01,02,03,04,05,SE",NY
P.S. 249 The Caton,3050750001,BK42,175912,718-284-5146,Flatbush                                                                   ,17,,718-282-8828,"PK,0K,01,02,03,04,05,SE",NY
Forsyth Satellite Academy,1004220072,MN27,202472,212-260-3063,Chinatown                                                                  ,1,"PELLES, KATHY",212-677-8900,"09,10,11,12,SE",NY
P.S. 096 Richard Rodgers,2043410013,BX07,252892,718-231-2889,Bronxdale                                                                  ,11,,718-652-4959,"0K,01,02,03,04,05,SE",NY
The Science And Medicine Middle School,3082150012,BK50,175159,718-688-6401,Canarsie                                                                   ,18,,718-688-6400,"06,07,08,SE",NY
Schuylerville Preparatory High School,2053680001,BX52,245271,718-935-5089,Schuylerville-Throgs Neck-Edgewater Park                                   ,8,"STAPLE, CARRON",718-904-5080,"09,10,11,12,SE",NY
Soundview Academy for Culture and Scholarship,2036440001,BX09,239122,718-991-4807,Soundview-Castle Hill-Clason Point-Harding Park                            ,8,,718-991-4027,"06,07,08,SE",NY
University Neighborhood Middle School,1002690041,MN28,199174,212-349-8224,Lower East Side                                                            ,1,,212-267-5701,"06,07,08,SE",NY
P.S. 241 Emma L. Johnston,3011880001,BK63,182982,718-230-5468,Crown Heights South                                                        ,17,,718-636-4725,"PK,0K,01,02,03,04,05,SE",NY
P.S. 328 Phyllis Wheatley,3037680001,BK85,182658,718-345-6566,East New York (Pennsylvania Ave)                                           ,19,,718-345-9393,"PK,0K,01,02,03,04,05,SE",NY
School of the Future Brooklyn,3038020015,BK85,181733,718-345-5196,East New York (Pennsylvania Ave)                                           ,19,,718-345-5190,"06,07,08,SE",NY
P.S. 092 Bronx,2030920014,BX17,247592,718-294-1561,East Tremont                                                               ,12,,718-731-7900,"PK,0K,01,02,03,04,05,SE",NY
J.H.S. 127 The Castle Hill,2039480055,BX46,244894,718-892-8300,Parkchester                                                                ,11,,718-892-8600,"06,07,08,SE",NY
P.S. 153 Adam Clayton Powell,1020780019,MN04,240403,212-234-4616,Hamilton Heights                                                           ,6,,212-927-8611,"PK,0K,01,02,03,04,05,SE",NY
P.S. 042 Claremont,2029030023,BX01,244830,718-583-7345,Claremont-Bathgate                                                         ,9,,718-583-7366,"PK,0K,01,02,03,04,05,SE",NY
STEM Institute of Manhattan,1018280015,MN11,231315,212-678-2975,Central Harlem South                                                       ,3,,212-678-2898,"0K,01,02,03,04,05,SE",NY
