ats_system_code,beds_number,location_type_description,community_school_sup_name,administrative_district_name,open_date,principal_name,admin_district_location_code,:@computed_region_92fq_4b7q,census_tract,field_support_center_name,location_1
84K182      ,331400861024,General Academic,,OFFICE OF CHARTER SCHOOLS,2012-07-01T00:00:00.000,Abigail Johnson,,30,52300,,"{'latitude': '40.711915', 'longitude': '-73.960137', 'human_address': '{""address"": ""183 SOUTH 3 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11211""}'}"
11X418      ,321100011418,General Academic,,,2001-07-01T00:00:00.000,IRIS WITHERSPOON,HS02,12,22800,Field Support Center - Bronx,"{'latitude': '40.851577', 'longitude': '-73.864438', 'human_address': '{""address"": ""2040 ANTIN PL"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10462""}'}"
02M570      ,310200011570,Transfer School,,,1999-07-01T00:00:00.000,Steven Zbaida,HS10,10,9500,Field Support Center - Manhattan,"{'latitude': '40.747425', 'longitude': '-73.990562', 'human_address': '{""address"": ""120 WEST 30 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10001""}'}"
10X032      ,321000010032,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1899-07-01T00:00:00.000,Rebecca Lew,X810,22,39100,Field Support Center - Bronx,"{'latitude': '40.851724', 'longitude': '-73.88622', 'human_address': '{""address"": ""690 EAST 183 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10458""}'}"
06M468      ,310600011468,General Academic,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,1999-05-11T00:00:00.000,Javier Trejo,M806,39,27700,Field Support Center - Manhattan,"{'latitude': '40.856532', 'longitude': '-73.92606', 'human_address': '{""address"": ""549 AUDUBON AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10040""}'}"
08X392      ,320800010392,General Academic,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,2014-07-01T00:00:00.000,Maria Rogalle,X808,12,15800,Field Support Center - Bronx,"{'latitude': '40.826794', 'longitude': '-73.818083', 'human_address': '{""address"": ""650 HOLLYWOOD AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10465""}'}"
27Q273      ,342700010273,General Academic,"BARTON, MARY",COMMUNITY SCHOOL DISTRICT 27,2010-07-01T00:00:00.000,BRENDA WARD,Q827,41,2800,Field Support Center - Queens South,"{'latitude': '40.693613', 'longitude': '-73.844335', 'human_address': '{""address"": ""88-07 102ND STREET"", ""city"": ""QUEENS"", ""state"": ""NY"", ""zip"": ""11418""}'}"
17K546      ,331700011546,General Academic,,,2003-07-01T00:00:00.000,Sean Rice,HS07,11,81000,Affinity Group,"{'latitude': '40.658671', 'longitude': '-73.943839', 'human_address': '{""address"": ""600 KINGSTON AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11203""}'}"
20K204      ,332000010204,General Academic,"COSTANTINO, KARINA",COMMUNITY SCHOOL DISTRICT 20,1929-07-01T00:00:00.000,Nancy Tomasuolo,K820,44,18400,Field Support Center - Brooklyn South,"{'latitude': '40.613535', 'longitude': '-74.006137', 'human_address': '{""address"": ""8101 15 AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11228""}'}"
06M189      ,310600010189,General Academic,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,1923-07-01T00:00:00.000,ROSALINA PEREZ,M806,39,27700,Field Support Center - Manhattan,"{'latitude': '40.853045', 'longitude': '-73.928048', 'human_address': '{""address"": ""2580 AMSTERDAM AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10040""}'}"
24Q744      ,342400011744,Transfer School,,,2008-07-01T00:00:00.000,Nicholas Bleiberg,HS08,5,46300,Affinity Group,"{'latitude': '40.743228', 'longitude': '-73.871505', 'human_address': '{""address"": ""45-10 94TH STREET"", ""city"": ""QUEENS"", ""state"": ""NY"", ""zip"": ""11373""}'}"
19K615      ,331900011615,Career Technical,,,1941-07-01T00:00:00.000,Marlon Bynum,HS05,37,119600,Field Support Center - Brooklyn North,"{'latitude': '40.67878', 'longitude': '-73.875328', 'human_address': '{""address"": ""1 WELLS STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11208""}'}"
14K126      ,331400010126,General Academic,"WINNICKI, ALICJA",COMMUNITY SCHOOL DISTRICT 14,1966-07-01T00:00:00.000,MARIA ORTEGA,K814,38,49900,Field Support Center - Brooklyn North,"{'latitude': '40.719818', 'longitude': '-73.947932', 'human_address': '{""address"": ""424 LEONARD STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11222""}'}"
13K093      ,331300010093,General Academic,"FREEMAN, BARBARA",COMMUNITY SCHOOL DISTRICT 13,1909-07-01T00:00:00.000,SANDRA PHILIP,K813,49,24700,Field Support Center - Brooklyn North,"{'latitude': '40.679079', 'longitude': '-73.946381', 'human_address': '{""address"": ""31 NEW YORK AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11216""}'}"
09X327      ,320900010327,General Academic,"RODRIGUEZ-ROSARIO, LETICIA",COMMUNITY SCHOOL DISTRICT 09,1999-07-01T00:00:00.000,Alixandre Ricci,X809,29,20900,Field Support Center - Bronx,"{'latitude': '40.842503', 'longitude': '-73.916084', 'human_address': '{""address"": ""1501 JEROME AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10452""}'}"
04M037      ,310400010037,General Academic,"ESTRELLA, ALEXANDRA",COMMUNITY SCHOOL DISTRICT 04,1999-07-01T00:00:00.000,Michael Panetta,M804,35,19200,Field Support Center - Manhattan,"{'latitude': '40.796889', 'longitude': '-73.930528', 'human_address': '{""address"": ""508 EAST 120 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10035""}'}"
11X249      ,321100011249,General Academic,,,2004-09-08T00:00:00.000,MIRIAM RIVAS,HS02,2,46201,Field Support Center - Bronx,"{'latitude': '40.874035', 'longitude': '-73.831669', 'human_address': '{""address"": ""750 BAYCHESTER AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10475""}'}"
15K676      ,331500010676,General Academic,"SKOP, ANITA",COMMUNITY SCHOOL DISTRICT 15,2009-07-01T00:00:00.000,Deanna Thompson,K815,7,5900,Field Support Center - Brooklyn North,"{'latitude': '40.677914', 'longitude': '-74.005151', 'human_address': '{""address"": ""27 HUNTINGTON STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11231""}'}"
11X508      ,321100011508,General Academic,,,2011-07-01T00:00:00.000,Carolyne Quintana,HS02,12,32400,Field Support Center - Bronx,"{'latitude': '40.860443', 'longitude': '-73.860729', 'human_address': '{""address"": ""925 ASTOR AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10469""}'}"
13K009      ,331300010009,General Academic,"FREEMAN, BARBARA",COMMUNITY SCHOOL DISTRICT 13,1957-07-01T00:00:00.000,DENITA KELLMAN DAVILAR,K813,48,20500,Field Support Center - Brooklyn North,"{'latitude': '40.678554', 'longitude': '-73.966333', 'human_address': '{""address"": ""80 UNDERHILL AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11238""}'}"
15K592      ,331500011592,General Academic,,,2007-07-01T00:00:00.000,WINSTON HAMANN,HS07,38,3900,Affinity Group,"{'latitude': '40.686147', 'longitude': '-73.979829', 'human_address': '{""address"": ""362 SCHERMERHORN STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11217""}'}"
08X269      ,320800011269,General Academic,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,2004-09-08T00:00:00.000,Dawn Verhille,X808,43,8900,Field Support Center - Bronx,"{'latitude': '40.820388', 'longitude': '-73.892961', 'human_address': '{""address"": ""928 SIMPSON STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10459""}'}"
17K532      ,331700010532,General Academic,"ELLIS, CLARENCE",COMMUNITY SCHOOL DISTRICT 17,2013-07-01T00:00:00.000,Kevin Bowles,K817,48,35300,Field Support Center - Brooklyn South,"{'latitude': '40.669557', 'longitude': '-73.934316', 'human_address': '{""address"": ""1025 EASTERN PARKWAY"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11213""}'}"
08X125      ,320800010125,General Academic,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,1952-07-01T00:00:00.000,Michael Collins,X808,31,4001,Field Support Center - Bronx,"{'latitude': '40.829153', 'longitude': '-73.857882', 'human_address': '{""address"": ""1111 PUGSLEY AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10472""}'}"
02M289      ,310200010289,General Academic,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,1998-05-27T00:00:00.000,Zeynep Ozkan,M802,32,31703,Field Support Center - Manhattan,"{'latitude': '40.71701', 'longitude': '-74.013967', 'human_address': '{""address"": ""201 WARREN STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10282""}'}"
03M076      ,310300010076,General Academic,"ALTSCHUL, ILENE",COMMUNITY SCHOOL DISTRICT 03,1965-07-01T00:00:00.000,CHARLES DEBERRY,M803,36,22000,Field Support Center - Manhattan,"{'latitude': '40.806534', 'longitude': '-73.951451', 'human_address': '{""address"": ""220 WEST 121 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10027""}'}"
09X543      ,320900011543,General Academic,,,2003-07-01T00:00:00.000,Franklin Sim,HS09,42,13500,Field Support Center - Bronx,"{'latitude': '40.827455', 'longitude': '-73.90392', 'human_address': '{""address"": ""1110 BOSTON ROAD"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10456""}'}"
19K273      ,331900010273,General Academic,THOMAS MCBRYDE JR,COMMUNITY SCHOOL DISTRICT 19,1952-07-01T00:00:00.000,MELESSA AVERY,K819,25,107800,Field Support Center - Brooklyn North,"{'latitude': '40.6585', 'longitude': '-73.879276', 'human_address': '{""address"": ""923 JEROME STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11207""}'}"
20K445      ,332000011445,General Academic,,,1924-07-01T00:00:00.000,MAUREEN GOLDFARB,HS06,44,18200,Field Support Center - Brooklyn South,"{'latitude': '40.613041', 'longitude': '-74.002308', 'human_address': '{""address"": ""1601 80 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11214""}'}"
08X072      ,320800010072,General Academic,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,1925-07-01T00:00:00.000,MARGARITA COLON,X808,12,15800,Field Support Center - Bronx,"{'latitude': '40.823237', 'longitude': '-73.818172', 'human_address': '{""address"": ""2951 DEWEY AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10465""}'}"
15K130      ,331500010130,General Academic,"SKOP, ANITA",COMMUNITY SCHOOL DISTRICT 15,1903-07-01T00:00:00.000,MARIA NUNZIATA,K815,27,50000,Field Support Center - Brooklyn North,"{'latitude': '40.648924', 'longitude': '-73.976053', 'human_address': '{""address"": ""70 OCEAN PARKWAY"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11218""}'}"
10X086      ,321000010086,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1928-07-01T00:00:00.000,Fiona Tyson,X810,40,40900,Field Support Center - Bronx,"{'latitude': '40.869061', 'longitude': '-73.897066', 'human_address': '{""address"": ""2756 RESERVOIR AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10468""}'}"
11X153      ,321100010153,General Academic,"ROSS PORTER, MEISHA",COMMUNITY SCHOOL DISTRICT 11,1971-07-01T00:00:00.000,"KELLEY, MEGHAN",X10C,2,46201,Field Support Center - Bronx,"{'latitude': '40.874035', 'longitude': '-73.831669', 'human_address': '{""address"": ""650 BAYCHESTER AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10475""}'}"
07X369      ,320700010369,General Academic,"ALVAREZ, ELISA",COMMUNITY SCHOOL DISTRICT 07,2008-07-01T00:00:00.000,Jaleelah Cooke,X807,35,3900,Field Support Center - Bronx,"{'latitude': '40.80908', 'longitude': '-73.919773', 'human_address': '{""address"": ""468 EAST 140 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10454""}'}"
13K067      ,331300010067,General Academic,"FREEMAN, BARBARA",COMMUNITY SCHOOL DISTRICT 13,1923-07-01T00:00:00.000,Kyesha Jackson,K813,48,2901,Field Support Center - Brooklyn North,"{'latitude': '40.695339', 'longitude': '-73.977674', 'human_address': '{""address"": ""51 SAINT EDWARDS STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11205""}'}"
02M126      ,310200010126,General Academic,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,1966-07-01T00:00:00.000,Carlos Romero,M802,32,2500,Field Support Center - Manhattan,"{'latitude': '40.710651', 'longitude': '-73.99742', 'human_address': '{""address"": ""80 CATHERINE STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10038""}'}"
10X141      ,321000011141,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1957-07-01T00:00:00.000,LORI OMARA,X810,40,30900,Field Support Center - Bronx,"{'latitude': '40.887407', 'longitude': '-73.914141', 'human_address': '{""address"": ""660 WEST 237 STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10463""}'}"
04M964      ,310400010964,General Academic,"ESTRELLA, ALEXANDRA",COMMUNITY SCHOOL DISTRICT 04,1999-07-01T00:00:00.000,NAOMI SMITH,M804,35,16800,Field Support Center - Manhattan,"{'latitude': '40.792302', 'longitude': '-73.951425', 'human_address': '{""address"": ""19 EAST 103 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10029""}'}"
11X194      ,321100010194,General Academic,"ROSS PORTER, MEISHA",COMMUNITY SCHOOL DISTRICT 11,2003-07-01T00:00:00.000,Rosa Sifuentes-Rosado,X10C,31,9600,Field Support Center - Bronx,"{'latitude': '40.83541', 'longitude': '-73.846594', 'human_address': '{""address"": ""2365 WATERBURY AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10462""}'}"
03M256      ,310300010256,General Academic,"ALTSCHUL, ILENE",COMMUNITY SCHOOL DISTRICT 03,1999-06-28T00:00:00.000,Brian Zager,M803,19,17700,Field Support Center - Manhattan,"{'latitude': '40.791395', 'longitude': '-73.971011', 'human_address': '{""address"": ""154 WEST 93 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}"
17K770      ,331700010770,General Academic,"ELLIS, CLARENCE",COMMUNITY SCHOOL DISTRICT 17,2010-07-01T00:00:00.000,Jessica Saratovsky,K817,17,88200,Field Support Center - Brooklyn South,"{'latitude': '40.663388', 'longitude': '-73.927979', 'human_address': '{""address"": ""60 EAST 94 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11212""}'}"
09X114      ,320900010114,General Academic,"RODRIGUEZ-ROSARIO, LETICIA",COMMUNITY SCHOOL DISTRICT 09,1941-07-01T00:00:00.000,OLIVIA FRANCIS WEBBER,X809,42,6300,Field Support Center - Bronx,"{'latitude': '40.834979', 'longitude': '-73.923297', 'human_address': '{""address"": ""1155 CROMWELL AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10452""}'}"
02M111      ,310200010111,General Academic,"LABOY, BONNIE",COMMUNITY SCHOOL DISTRICT 02,1958-07-01T00:00:00.000,Edward Gilligan,M802,10,13300,Field Support Center - Manhattan,"{'latitude': '40.76588', 'longitude': '-73.989776', 'human_address': '{""address"": ""440 WEST 53 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10019""}'}"
17K138      ,331700010138,General Academic,"ELLIS, CLARENCE",COMMUNITY SCHOOL DISTRICT 17,1902-07-01T00:00:00.000,MARIE CHAUVET MONCHIK,K817,49,31701,Field Support Center - Brooklyn South,"{'latitude': '40.673943', 'longitude': '-73.951559', 'human_address': '{""address"": ""760 PROSPECT PLACE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11216""}'}"
06M192      ,310600010192,General Academic,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,1952-07-01T00:00:00.000,Hilduara Abreu,M806,23,22301,Field Support Center - Manhattan,"{'latitude': '40.82051', 'longitude': '-73.952023', 'human_address': '{""address"": ""500 WEST 138 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10031""}'}"
01M315      ,310100010315,General Academic,"PHILLIPS, DANIELLA",COMMUNITY SCHOOL DISTRICT 01,1999-07-01T00:00:00.000,Bradley Goodman,M801,50,2800,Field Support Center - Manhattan,"{'latitude': '40.727537', 'longitude': '-73.978254', 'human_address': '{""address"": ""610 EAST 12 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10009""}'}"
09X297      ,320900011297,General Academic,,,2004-09-08T00:00:00.000,Matthew Mazzaroppi,HS08,42,13500,Affinity Group,"{'latitude': '40.827455', 'longitude': '-73.90392', 'human_address': '{""address"": ""1110 BOSTON ROAD"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10456""}'}"
09X063      ,320900010063,General Academic,"RODRIGUEZ-ROSARIO, LETICIA",COMMUNITY SCHOOL DISTRICT 09,1924-07-01T00:00:00.000,REINALDO DIAZ LENS,X809,42,14900,Field Support Center - Bronx,"{'latitude': '40.83093', 'longitude': '-73.901859', 'human_address': '{""address"": ""1260 FRANKLIN AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10456""}'}"
04M377      ,310400010377,General Academic,"ESTRELLA, ALEXANDRA",COMMUNITY SCHOOL DISTRICT 04,2008-07-01T00:00:00.000,Brian Bradley,M804,35,18800,Field Support Center - Manhattan,"{'latitude': '40.797507', 'longitude': '-73.935895', 'human_address': '{""address"": ""319 EAST 117 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10035""}'}"
14K132      ,331400010132,General Academic,"WINNICKI, ALICJA",COMMUNITY SCHOOL DISTRICT 14,1902-07-01T00:00:00.000,BETH LUBECK,K814,30,49700,Field Support Center - Brooklyn North,"{'latitude': '40.714772', 'longitude': '-73.945663', 'human_address': '{""address"": ""320 MANHATTAN AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11211""}'}"
19K214      ,331900010214,General Academic,THOMAS MCBRYDE JR,COMMUNITY SCHOOL DISTRICT 19,1925-07-01T00:00:00.000,Sharon Mahabir,K819,37,120200,Field Support Center - Brooklyn North,"{'latitude': '40.675881', 'longitude': '-73.862961', 'human_address': '{""address"": ""2944 PITKIN AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11208""}'}"
06M462      ,310600011462,General Academic,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,1999-05-11T00:00:00.000,Timothy Sigerson,M806,39,27700,Field Support Center - Manhattan,"{'latitude': '40.856532', 'longitude': '-73.92606', 'human_address': '{""address"": ""549 AUDUBON AVENUE"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10040""}'}"
18K211      ,331800010211,General Academic,"WILKINS, BEVERLY",COMMUNITY SCHOOL DISTRICT 18,1958-07-01T00:00:00.000,Carolyn James,K818,8,98800,Field Support Center - Brooklyn South,"{'latitude': '40.642931', 'longitude': '-73.895224', 'human_address': '{""address"": ""1001 EAST 100 STREET"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11236""}'}"
08X107      ,320800010107,General Academic,"AMES, KAREN",COMMUNITY SCHOOL DISTRICT 08,1937-07-01T00:00:00.000,Katherine Hamm,X808,31,2000,Field Support Center - Bronx,"{'latitude': '40.819221', 'longitude': '-73.868735', 'human_address': '{""address"": ""1695 SEWARD AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10473""}'}"
10X280      ,321000010280,General Academic,"HULLA, MARIBEL",COMMUNITY SCHOOL DISTRICT 10,1988-06-10T00:00:00.000,JAMES WEEKS,X810,40,41900,Field Support Center - Bronx,"{'latitude': '40.876819', 'longitude': '-73.881245', 'human_address': '{""address"": ""3202 STEUBEN AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10467""}'}"
06M209      ,310600010209,General Academic,"RAMIREZ, MANUEL",COMMUNITY SCHOOL DISTRICT 06,2014-07-01T00:00:00.000,BENJAMIN LEV,M806,23,22301,Field Support Center - Manhattan,"{'latitude': '40.82051', 'longitude': '-73.952023', 'human_address': '{""address"": ""500 WEST 138 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10031""}'}"
11X288      ,321100011288,General Academic,,,2004-09-08T00:00:00.000,Fredrick Nelson,HS02,12,32400,Field Support Center - Bronx,"{'latitude': '40.860443', 'longitude': '-73.860729', 'human_address': '{""address"": ""925 ASTOR AVENUE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10469""}'}"
02M550      ,310200011550,Transfer School,,,1999-07-01T00:00:00.000,Rhonda Huegel,HS10,10,8100,Field Support Center - Manhattan,"{'latitude': '40.74182', 'longitude': '-74.000238', 'human_address': '{""address"": ""250 WEST 18 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10011""}'}"
03M145      ,310300010145,General Academic,"ALTSCHUL, ILENE",COMMUNITY SCHOOL DISTRICT 03,1961-07-01T00:00:00.000,Dr. Natalia Russo,M803,23,18900,Field Support Center - Manhattan,"{'latitude': '40.799098', 'longitude': '-73.965611', 'human_address': '{""address"": ""150 WEST 105 STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10025""}'}"
17K012      ,331700010012,General Academic,"ELLIS, CLARENCE",COMMUNITY SCHOOL DISTRICT 17,1993-07-01T00:00:00.000,NYREE DIXON,K817,17,36300,Field Support Center - Brooklyn South,"{'latitude': '40.673124', 'longitude': '-73.920095', 'human_address': '{""address"": ""430 HOWARD AVENUE"", ""city"": ""BROOKLYN"", ""state"": ""NY"", ""zip"": ""11233""}'}"
06M346      ,310600011346,General Academic,,,2006-07-01T00:00:00.000,MARK HOUSE,HS07,23,24100,Affinity Group,"{'latitude': '40.833695', 'longitude': '-73.942074', 'human_address': '{""address"": ""504 WEST 158TH STREET"", ""city"": ""MANHATTAN"", ""state"": ""NY"", ""zip"": ""10032""}'}"
12X536      ,321200010536,General Academic,"ESPINAL PACHECO, RAFAELA",COMMUNITY SCHOOL DISTRICT 12,2011-07-01T00:00:00.000,JESSE YARBROUGH,X812,31,21601,Field Support Center - Bronx,"{'latitude': '40.838151', 'longitude': '-73.866038', 'human_address': '{""address"": ""1827 ARCHER STREET"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10460""}'}"
07X043      ,320700010043,General Academic,"ALVAREZ, ELISA",COMMUNITY SCHOOL DISTRICT 07,1906-07-01T00:00:00.000,DR. GIOVANNA DELUCCHI,X807,35,2500,Field Support Center - Bronx,"{'latitude': '40.806452', 'longitude': '-73.921593', 'human_address': '{""address"": ""165 BROWN PLACE"", ""city"": ""BRONX"", ""state"": ""NY"", ""zip"": ""10454""}'}"
