cd_21,multi_ethnic,cd_01,cd_22,unknown_cd,cd_31,cd_28,cd_45,cd_14,cd_04,cd_51,cd_42,cd_18,caucasian,_25_44,hispanic,cd_48
0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,597,35,64,800,113,119,136,165,14,37,135,140,572,2703,1887,72
0,*,0,0,*,0,0,0,*,0,0,0,0,*,*,*,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,*,0
*,*,*,*,*,0,0,*,0,0,0,*,*,*,34,24,*
0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0
0,61,*,*,11,*,*,*,*,*,*,*,*,46,27,52,*
0,0,0,0,*,0,0,0,*,0,0,0,0,0,*,*,0
0,*,0,0,0,*,0,0,0,0,0,0,0,0,*,*,0
*,0,0,0,0,0,0,0,0,0,0,0,*,0,*,*,0
0,0,0,0,*,0,0,0,0,0,0,*,0,*,*,*,0
0,0,0,0,0,0,0,*,0,0,0,0,0,*,0,*,0
0,14,*,*,52,*,0,*,*,0,*,*,*,*,72,35,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,*,*,*,12,*,*,*,*,0,*,*,*,*,30,35,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0
*,27,*,*,50,11,*,*,10,*,*,*,*,26,147,93,*
0,*,0,0,*,0,0,0,0,0,0,0,0,*,*,*,0
0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0
0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0
0,*,0,0,*,0,0,*,0,0,0,0,0,0,*,0,0
0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,*,0
*,36,*,*,38,*,*,*,*,0,*,12,*,19,*,118,*
48,387,33,56,904,104,71,86,146,22,40,141,111,582,1946,1506,64
0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0
*,*,0,0,*,*,0,0,0,0,0,*,0,0,11,*,0
357,3514,255,305,8320,730,526,625,870,289,150,805,621,2843,18095,11261,381
*,63,*,*,90,*,*,*,11,0,*,14,12,39,246,161,*
0,*,0,0,*,0,0,0,*,0,0,0,0,0,*,*,0
0,*,0,0,*,*,0,0,*,0,0,*,0,0,*,*,0
127,911,61,56,1464,169,123,135,353,28,43,214,243,806,3962,3000,104
0,0,0,0,0,0,0,*,0,0,0,0,*,0,*,*,0
0,*,0,0,*,0,0,0,*,0,0,0,0,*,*,*,*
0,*,0,0,12,*,*,0,*,0,0,*,*,*,31,27,0
*,14,*,*,10,*,*,*,*,0,0,*,*,*,38,27,0
*,10,0,0,*,0,*,*,0,0,*,0,0,*,21,14,*
0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0
240,1524,56,131,1671,299,259,276,342,39,97,310,260,1478,6349,4047,237
*,44,*,*,69,11,10,*,12,*,*,11,12,36,169,126,*
0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0
19,46,*,11,72,22,10,12,24,*,*,22,23,53,297,239,*
0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0
0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,*,0
215,2627,134,200,3426,321,309,309,491,83,150,448,419,2156,8776,6363,190
0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,*,0,0,*,0,0,0
*,35,*,10,57,*,*,*,*,*,*,*,13,53,192,113,*
0,*,0,0,0,0,0,0,0,*,0,0,0,0,*,0,0
*,45,*,*,146,14,11,10,15,*,*,20,12,43,329,205,*
0,*,0,0,*,*,0,0,0,0,0,0,0,*,16,*,0
18,168,21,14,364,28,16,28,25,26,*,23,12,123,872,635,22
0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,96,0,0,*,0,0,0,0,0,0,0,0,24,12,19,0
0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,*,0
0,0,0,0,*,0,0,0,0,0,0,0,*,0,*,*,0
*,15,*,*,33,*,*,*,*,0,*,*,*,19,*,85,0
0,0,0,0,0,*,0,0,*,0,0,0,0,0,*,*,0
0,*,*,*,17,*,0,*,*,*,*,*,*,10,48,33,0
0,*,0,0,*,0,0,0,0,0,0,0,0,0,*,*,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*,*,0,*,14,0,*,*,*,*,0,*,0,*,31,28,0
0,*,0,0,22,0,0,0,*,0,0,0,*,*,17,13,0
0,0,0,0,*,0,0,0,0,0,0,*,0,0,*,*,0
*,18,*,*,25,*,*,*,*,*,*,0,*,65,108,38,*
*,52,*,*,131,10,*,*,*,*,*,18,10,50,150,154,*
0,0,0,0,*,*,0,0,0,0,0,0,0,0,*,0,0
0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,*,0
0,*,0,0,*,0,0,0,0,0,0,0,*,0,*,0,0
0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,*,0
*,0,0,0,0,0,0,*,0,0,0,0,0,*,*,*,0
125,1147,117,111,4261,242,207,248,289,75,51,242,199,1002,6864,4745,132
112,748,61,95,3166,176,158,136,189,79,34,186,150,774,4890,3298,87
0,0,0,0,*,0,0,0,0,0,0,0,*,0,*,*,*
*,37,*,0,24,*,*,*,12,*,*,10,*,17,92,85,*
*,40,*,*,71,*,*,*,*,12,0,*,*,35,207,147,*
0,11,*,0,50,*,0,0,0,0,0,*,*,18,45,19,0
0,*,*,0,*,*,*,0,0,0,0,*,0,*,12,*,0
0,*,0,0,*,0,0,0,0,*,0,0,0,0,*,0,0
*,72,*,*,125,15,*,14,22,*,*,21,19,50,320,254,*
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*,*,0,0,*,*,0,0,*,0,*,0,*,*,31,14,*
0,*,0,0,*,*,*,*,0,0,0,*,0,*,*,*,0
*,43,*,*,80,16,*,12,20,*,*,15,*,60,125,180,*
*,*,0,*,*,*,*,0,*,0,*,*,*,*,68,42,*
38,208,*,18,513,76,60,52,69,*,17,95,26,277,1422,830,27
0,*,0,0,13,0,0,0,0,0,0,0,*,*,10,*,0
0,*,0,0,*,0,*,0,0,*,0,0,0,0,*,*,0
0,*,0,0,*,0,0,0,0,0,0,*,0,*,*,*,0
*,33,*,*,34,*,*,*,*,*,*,*,*,68,160,80,*
*,18,*,*,50,*,*,*,*,*,0,*,*,31,133,91,10
51,630,54,41,2262,158,83,86,292,38,29,225,204,511,4596,2836,47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0
0,0,0,0,*,0,0,0,0,0,0,*,0,*,*,*,0
0,*,0,0,*,0,0,0,0,0,0,*,*,*,13,*,0
124,849,49,76,967,189,153,149,292,21,60,295,256,574,4822,3122,70
*,64,*,*,86,13,*,*,19,*,*,29,26,85,373,242,11
*,*,0,0,*,0,0,0,0,0,0,0,0,*,11,10,0
0,0,0,0,*,0,0,0,0,0,0,0,*,*,*,*,0
*,31,*,*,54,*,*,*,*,*,*,*,10,83,188,95,11
0,0,0,0,*,0,0,0,*,0,0,0,0,*,*,*,*
0,18,*,*,29,*,*,*,*,0,*,*,*,18,62,50,*
0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0
0,0,0,0,*,0,0,0,0,0,0,*,0,0,*,*,0
0,*,0,0,*,0,0,0,*,0,0,*,0,0,*,*,0
0,0,0,0,*,0,0,0,0,0,0,0,0,0,0,*,0
0,*,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0
177,1509,74,117,1742,345,244,275,455,46,118,474,379,1050,8075,4954,122
