manhattan_condominiums_comparable_properties_condo_section,manhattan_condominiums_comparable_properties_address,manhattan_condominiums_comparable_properties_boro_block_lot,comparable_rental_3_distance_from_condo_in_miles,postcode,manhattan_condominiums_comparable_properties_gross_sqft,comparable_rental_1_building_classification,comparable_rental_3_market_value_per_sqft,comparable_rental_3_estimated_expense
1061-R1@,38 NORTH MOORE STREET,1-00189-7508,0.5,10013.0,18315,D9-ELEVATOR,152.8,"356,644"
2036-R2,533 11 AVENUE,1-01089-7502,1.1,10036.0,994310,D8-ELEVATOR,172.14,"10,703,883"
1381-R1,49 EAST 21 STREET,1-00850-7506,0.15,10010.0,60609,D5-ELEVATOR,216.09,"582,257"
2084-R1,30 WEST 63 STREET,1-01115-7503, ,10023.0,591835,D6-ELEVATOR, , 
0921-R1,144 COLUMBUS AVENUE,1-01138-7501, ,10023.0,271808,D8-ELEVATOR, , 
0533-R1,317 WEST 95 STREET,1-01253-7501, ,10025.0,32905,D3-ELEVATOR, , 
0767-R1,135 WEST 58 STREET,1-01011-7504,0.16,10019.0,35328,D9-ELEVATOR,181.84,"767,546"
0494-R1,7 BOND STREET,1-00529-7502, ,10012.0,24630,D5-ELEVATOR, , 
1066-R1,99 JANE STREET,1-00642-7502,1.95,10014.0,147335,D9-ELEVATOR,193.63,"660,879"
0181-R1,34 WEST 72 STREET,1-01124-7501,0.21,10023.0,114510,D7-ELEVATOR,221.82,"1,519,056"
1509-R1,158 HESTER STREET,1-00204-7501,0.15,10013.0,60962,D9-ELEVATOR,110.7,"157,336"
0397-R1,241 ELDRIDGE STREET,1-00422-7501, ,10002.0,12777,C7-WALK-UP, , 
1074-R1,354 BROADWAY,1-00171-7502,0.46,10013.0,41204,C7-WALK-UP,125.09,"277,544"
0409-R1,170 WEST END AVENUE,1-01158-7505, ,10023.0,474360,D6-ELEVATOR, , 
1483-R1,87 BOWERY,1-00303-7501,0.2,10002.0,8188,C7-WALK-UP,126.08,"131,484"
1124-R1,625 EAST 11 STREET,1-00394-7503, ,10009.0,11495,C4-WALK-UP, , 
0481-R1,28 WEST 86 STREET,1-01199-7502,0.21,10024.0,28600,D7-ELEVATOR,176.78,"250,357"
1714-R1,425 MAIN STREET,1-01373-7502,0.72,10044.0,185948,D9-ELEVATOR,216.8,"2,249,317"
1472-R1,43 EAST 30 STREET,1-00860-7501,0.13,10016.0,40299,D5-ELEVATOR,210.53,"992,660"
1881-R1,71 LUDLOW STREET,1-00408-7501,0.87,10002.0,31205,D5-ELEVATOR,155.97,"343,276"
1131-R1,270 BROADWAY,1-00135-7504,0.13,10007.0,217318,D8-ELEVATOR,195.64,"5,786,448"
1953-R1,@385 3 AVENUE,1-00908-7502,0.12,10016.0,60117,D9-ELEVATOR,171.88,"366,706"
0230-R1,149 EAST 62 STREET-,1-01397-7502,1.31,10065.0,4777,C7-WALK-UP,208.54,"66,398"
139,300 EAST 55 STREET,1-01347-7501,0.25,10022.0,219278,D8-ELEVATOR,213.08,"4,351,027"
0913-R1,22 WEST 66 STREET,1-01118-7502,0.4,10023.0,58898,D3-ELEVATOR,249.73,"794,441"
1835-R1,555 WEST 59 STREET,1-01151-7503,0.2,10019.0,259288,D9-ELEVATOR,210.91,"4,605,726"
1465-R1,205 EAST 59 STREET,1-01414-7502, ,10022.0,82086,D6-ELEVATOR, , 
1460-R1,50 MADISON AVENUE,1-00856-7501, ,10010.0,26794,D6-ELEVATOR, , 
0085-R1,238 EAST 47 STREET,1-01320-7501,0.13,10017.0,350000,D8-ELEVATOR,163.52,"3,681,892"
0487-R1,175 WEST 12 STREET,1-00608-7501, ,10011.0,165160,D6-ELEVATOR, , 
1148-R1,9 MURRAY STREET,1-00134-7503, ,10007.0,59853,D6-ELEVATOR, , 
0414-R1,150 WEST END AVENUE,1-01158-7503, ,10023.0,452258,D6-ELEVATOR, , 
1800-R1,15 CLIFF STREET,1-00076-7501,0.2,10038.0,142626,D6-ELEVATOR,183.88,"645,225"
0643-R1, EAST 9 S,1-00464-7501, ,10003.0,14650,D6-ELEVATOR, , 
0019-R1,35 EAST 38 STREET,1-00868-7501,0.31,10016.0,88230,D9-ELEVATOR,209.11,"1,211,001"
1603-R1,44 MARKET STREET,1-00274-7503, ,10002.0,9744,D9-ELEVATOR, , 
1191-R1,169 HUDSON STREET,1-00219-7504,0.39,10013.0,51647,D7-ELEVATOR,152.8,"356,644"
1201-R1,41 WEST 72 STREET,1-01125-7501, ,10023.0,139400,D7-ELEVATOR, , 
0131-R1,90 PRINCE STREET,1-00498-7501, ,10012.0,18031,D5-ELEVATOR, , 
0758-R1,36 RIVINGTON STREET,1-00421-7502,0.8,10002.0,13319,D9-ELEVATOR,418.63, 
0510-R1,345 EAST 56 STREET,1-01349-7501, ,10022.0,198115,D6-ELEVATOR, , 
1845-R1,125 WEST 22 STREET,1-00798-7505,0.29,10011.0,66937,D7-ELEVATOR,215.72,"1,010,469"
0430-R1,104 HUDSON STREET,1-00189-7502, ,10013.0,40581,D7-ELEVATOR, , 
1357-R1,344 EAST 50 STREET,1-01342-7503, ,10022.0,10550,C7-WALK-UP, , 
1096-R1,20 CLINTON STREET,1-00350-7501,0.17,10002.0,32476,D5-ELEVATOR,194.17,"355,488"
1055-R1,2 COLUMBUS AVENUE,1-01131-7501,0.54,10019.0,239035,D6-ELEVATOR,243.35,"2,864,090"
0650-R1,2138 BROADWAY,1-01167-7501,0.27,10023.0,107050,D6-ELEVATOR,243.93,"1,655,073"
0916-R1,477 BROOME STREET,1-00475-7503, ,10013.0,32149,D9-ELEVATOR, , 
1477-R1,444 WEST 19 STREET,1-00716-7501,0.04,10011.0,49892,D7-ELEVATOR,275.51,"718,653"
172,40 BOND STREET,1-00530-7505,0.28,10012.0,85000,D9-ELEVATOR,218.59,"242,782"
1351-R1,133 NORFOLK STREET,1-00354-7501, ,10002.0,2787,C7-WALK-UP, , 
1341-R1,21 ASTOR PLACE,1-00545-7503,0.15,10003.0,96566,C5-WALK-UP,97.94,"179,024"
1113-R1,613 EAST 11 STREET,1-00394-7502, ,10009.0,15957,C4-WALK-UP, , 
1629-R1,200 CHAMBERS STREET,1-00142-7502, ,10007.0,314373,D8-ELEVATOR, , 
0600-R1,2373 BROADWAY,1-01234-7501, ,10024.0,412000,D8-ELEVATOR, , 
1134-R1,532 WEST 22 STREET,1-00693-7501,1.54,10011.0,28207,D9-ELEVATOR,226.14,"421,819"
1740-R1,117 east 29 street,1-00885-7501,0.09,10016.0,25354,D9-ELEVATOR,239.94,"352,288"
1706-R1,406 WEST 45 STREET,1-01054-7502,0.29,10036.0,26041,D9-ELEVATOR,206.95,"229,329"
0302-R1,5420 WEST BROADWAY,1-00537-7502, ,,18064,D9-ELEVATOR, , 
2199-R1,885 AVENUE OF THE AMERICA,1-00807-7502,0.34,10001.0,345294,D9-ELEVATOR,114.08,"343,710"
0460-R1,1009 MADISON AVENUE,1-01392-7501, ,10075.0,176897,D6-ELEVATOR, , 
1858-R1,1 RIVER TERRACE,1-00016-7516, ,,434398,D8-ELEVATOR, , 
0050-R1,23 EAST 74 STREET,1-01389-7501, ,10021.0,82280,D9-ELEVATOR, , 
0757-R1,110 west 86 street,1-01216-7502,0,10024.0,88916,D9-ELEVATOR,139.45,"895,398"
1559-R1,1031 6 AVENUE,1-00814-7501, ,10018.0,97349,D9-ELEVATOR, , 
0280-R1,879 8 AVENUE,1-01043-7502,0.1,10019.0,54655,D1-ELEVATOR,178.32,"187,254"
1464-R2,66 WEST 38 STREET,1-00839-7502,0.25,10018.0,48861,D9-ELEVATOR,171.12,"1,145,125"
0178-R1,351 EAST 57 STREET,1-01350-7501, ,10022.0,95347,D6-ELEVATOR, , 
1840-R1,250 EAST 53 STREET,1-01326-7501, ,10022.0,197233,D6-ELEVATOR, , 
1215-R1,31 WEST 21 STREET,1-00823-7503,0.09,10010.0,58439,D9-ELEVATOR,267.04,"157,061"
0542,421 HUDSON STREET,1-00601-7501,0.24,10014.0,212232,D7-ELEVATOR,202.93,"132,025"
1411-R1,49 WARREN STREET,1-00133-7506,0.59,10007.0,22964,D6-ELEVATOR,113.81,"326,119"
2197-R1-,ST 53 STRE,1-01063-7502, ,10019.0,169323,C7-WALK-UP, , 
1765-R1,225 EAST 34 STREET,1-00915-7501, ,10016.0,222784,D6-ELEVATOR, , 
0080-R1,355 GREENWICH STREET,1-00181-7501, ,10013.0,10962,C7-WALK-UP, , 
2046-R1,254 PARK AVENUE SOUTH,1-00849-7508,0.12,10010.0,138922,D6-ELEVATOR,216.09,"582,257"
0450-R1,300 RECTOR PLACE,1-00016-7507,0.38,10280.0,126008,D8-ELEVATOR,183.88,"645,225"
0227-R1,226 EAST 52 STREET,1-01325-7501, ,10022.0,46800,D6-ELEVATOR, , 
0402-R1,7 EAST 20 STREET,1-00849-7502, ,10003.0,29631,D8-ELEVATOR, , 
0562-R1,1 SHERIDAN SQUARE,1-00592-7501,0.13,10014.0,21494,D1-ELEVATOR,167.48,"198,944"
1804-R1,47 3 AVENUE,1-00466-7501,0.93,10003.0,30662,D1-ELEVATOR,284.39,"379,804"
0316-R1,51 MERCER STREET,1-00474-7501, ,10013.0,1158,C7-WALK-UP, , 
1624-R1,51 WALKER STREET,1-00193-7509,0.39,10013.0,34587,D6-ELEVATOR,178.64,"399,654"
0231-R1,211 WEST 71 STREET,1-01163-7501, ,10023.0,58000,D7-ELEVATOR, , 
0379-R1,1 EAST 62 STREET,1-01377-7503, ,10065.0,24508,D1-ELEVATOR, , 
0598-R1,44 EAST 67 STREET,1-01381-7503,0.05,10065.0,62196,D6-ELEVATOR,165.69,"122,324"
1229-R1,6 PERRY STR,1-00637-7504,0.7,10014.0,88141,D3-ELEVATOR,275.51,"718,653"
1654-R1,40 MERCER STREET,1-00474-7506,0.34,10013.0,117311,D7-ELEVATOR,243.47,"194,875"
1567-r1,311 AMSTERDAM AVENUE,1-01146-7504, ,10023.0,13182,D1-ELEVATOR, , 
2052-R1,79 WORTH STREET,1-00173-7503,0.38,10013.0,56292,D9-ELEVATOR,162.66,"271,026"
0016-R1,117 EAST 57 STREET,1-01312-7501,0.35,10022.0,364872,D6-ELEVATOR,216.21,"3,351,487"
0109-R1,12 WEST 18 STREET,1-00819-7501,0.05,10011.0,28804,D7-ELEVATOR,246.8,"827,202"
0144-R1,500 PARK AVENUE,1-01294-7501, ,10022.0,176494,D6-ELEVATOR, , 
0249-R1,210 WEST 19 STREET,1-00768-7501, ,10011.0,51717,D6-ELEVATOR, , 
0709-R1,48 HESTER STREET,1-00297-7502, ,10002.0,23604,D9-ELEVATOR, , 
1593-R1,92 WARREN STREET,1-00137-7503,0.7,10007.0,30062,D5-ELEVATOR,174.42,"543,771"
1500-R1,516 WEST 47 STREET,1-01075-7501,0.35,10036.0,116904,D6-ELEVATOR,217.37,"1,098,175"
0039-R1,806 BROADWAY,1-00557-7501, ,10003.0,83089,D9-ELEVATOR, , 
1165-R1,845 UNITED NATIONS PLAZA,1-01340-7501, ,10017.0,825532,D9-ELEVATOR, , 
1311-R2,80 COLUMBUS CIRCLE,1-01049-7501,0.51,10023.0,217897,D6-ELEVATOR,249.36,"3,794,155"
1641-R2,125 WEST 31 STREET,1-00807-7501, ,10001.0,75799,D6-ELEVATOR, , 
1991-R1,20 EXCHANGE PLACE,1-00027-7502, ,10005.0,346789,D8-ELEVATOR, , 
1989-R1,235 WEST 71 STREET,1-01163-7502, ,10023.0,47000,D5-ELEVATOR, , 
1385-R1,129 LAFAYETTE STREET,1-00208-7501,0.44,10013.0,70649,D1-ELEVATOR,271.75,"221,865"
0630-R1,306 MOTT STREET,1-00521-7501, ,10012.0,9514,D9-ELEVATOR, , 
1642-R1,421 WEST 54 STREET,1-01064-7502, ,10019.0,56495,D7-ELEVATOR, , 
2027-R1,501 WEST 52 STREET,1-01081-7503, ,10019.0,31779,D1-ELEVATOR, , 
2007-R1,231 EAST 55 STREET,1-01329-7501, ,10022.0,54638,D6-ELEVATOR, , 
1257-R1,327 CENTRAL PARK WEST,1-01206-7501, ,10025.0,130259,D9-ELEVATOR, , 
0513-R1,120 WEST 58 STREET,1-01010-7502, ,10019.0,32796,D5-ELEVATOR, , 
1218-R1,130 BEEKMAN STREET,1-00097-7502,0.38,10038.0,23044,D7-ELEVATOR,183.88,"645,225"
0615-R1,85 8 AVENUE,1-00738-7501, ,10011.0,110995,D6-ELEVATOR, , 
2016-R1,442 AMSTERDAM AVENUE,1-01229-7503,0.05,10024.0,8594,C7-WALK-UP,168.45,"120,642"
0421-R1,59 WEST 12 STREET,1-00576-7502,0.05,10011.0,112050,D9-ELEVATOR,106.62,"259,355"
1183-R1,217 EAST 7 STREET,1-00390-7501, ,10009.0,15704,C1-WALK-UP, , 
0420-R1,135 EAST 54 STREET,1-01309-7502,0.13,10022.0,132205,D6-ELEVATOR,211.48,"590,442"
1563-R1,212 EAST 57 STREET,1-01330-7501, ,10022.0,70308,D6-ELEVATOR, , 
0502-R1,160 7 AVENUE,1-00769-7503, ,10011.0,117094,D6-ELEVATOR, , 
0293-R1,76 BEDFORD STREET,1-00587-7501,0.03,10014.0,19320,C7-WALK-UP,108.16,"117,217"
1542-R1,3 WEEHAWKEN STREET,1-00636-7502, ,10014.0,11852,D5-ELEVATOR, , 
0074-R1,250 WEST 88 STREET,1-01235-7501, ,10024.0,56306,D6-ELEVATOR, , 
0451-R1,225 EAST 46 STREET,1-01320-7504, ,10017.0,81745,D1-ELEVATOR, , 
1480-R1,15 BROAD STREET,1-00026-7501,0.45,10005.0,648926,D6-ELEVATOR,272.44,"3,677,770"
0776-R1,295 WEST 11 STREET,1-00623-7501,1.55,10014.0,32638,D9-ELEVATOR,155.97,"343,276"
0252-R1,127 WEST 89 STREET,1-01220-7501, ,10024.0,33570,D9-ELEVATOR, , 
0475-R1,975 1 AVENUE,1-01346-7503, ,10022.0,53435,D5-ELEVATOR, , 
0580-R2,312 EAST 23 STREET,1-00928-7502, ,10010.0,49157,D1-ELEVATOR, , 
0710-R1,101 7 AVENUE,1-00792-7504, ,10011.0,138320,D7-ELEVATOR, , 
0137-R1,311 EAST 38 STREET,1-00944-7501,0.35,10016.0,119395,D6-ELEVATOR,208.83,"1,566,613"
0523-R1,100 WEST 72 STREET,1-01143-7503, ,10023.0,36236,D9-ELEVATOR, , 
0759-R1,2 AMSTERDAM AVENUE,1-01151-7501, ,10023.0,264070,D6-ELEVATOR, , 
0212-R1,496 LA GUARDIA PLACE,1-00525-7502, ,10012.0,6670,D1-ELEVATOR, , 
0401-R1,295 GREENWICH STREET,1-00132-7501, ,10007.0,115909,D5-ELEVATOR, , 
1000-R1,30 WEST 90 STREET,1-01203-7501, ,10024.0,39942,D9-ELEVATOR, , 
0732-R1,640 WEST END AVENUE,1-01239-7501, ,10024.0,59951,D3-ELEVATOR, , 
1023-R1,80 NASSAU STREET,1-00078-7503,1.69,10038.0,31738,D7-ELEVATOR,148.84,"72,201"
1404-R1,160 WOOSTER STREET,1-00514-7505, ,10012.0,41314,D1-ELEVATOR, , 
0021-R1,65 NASSAU STREET,1-00065-7501, ,10038.0,28550,D5-ELEVATOR, , 
0336-R1,100 UNITED NATIONS PLAZA,1-01341-7503,0.34,10017.0,438326,D6-ELEVATOR,299.75,"10,013,280"
1007-R1,38 WARREN STREET,1-00136-7502, ,10007.0,50165,D7-ELEVATOR, , 
1766-R1,421 EAST 13 STREET,1-00441-7503, ,10009.0,93382,D7-ELEVATOR, , 
0824-R1,302 BROOME STREET,1-00419-7501, ,10002.0,7841,D9-ELEVATOR, , 
1921-R1,127 7 AVENUE,1-00793-7508, ,10011.0,70840,D3-ELEVATOR, , 
0098-R1,40 EAST 61 STREET,1-01375-7501, ,10065.0,78349,D9-ELEVATOR, , 
0482-R1,240 EAST 46 STREET,1-01319-7501, ,10017.0,60900,D3-ELEVATOR, , 
1633-R1,139 WOOSTER STREET,1-00515-7501,0.16,10012.0,38591,D7-ELEVATOR,243.47,"194,875"
0747-R1,12 WEST 9 STREET,1-00572-7501,0.07,10011.0,13256,D1-ELEVATOR,108.73,"369,530"
0729-R1,140 WEST 23 STREET,1-00798-7503, ,10011.0,28124,D9-ELEVATOR, , 
1459-e1,223 WEST 10 STREET,1-00620-7502, ,10014.0,22157,C4-WALK-UP, , 
0447-R1,222 WEST 14 STREET,1-00618-7501, ,10011.0,101634,D3-ELEVATOR, , 
0347-R1,150 WEST 51 STREET,1-01003-7501, ,10019.0,328716,D6-ELEVATOR, , 
1207-R1,416 EAST 11 STREET,1-00438-7502,0.27,10009.0,15742,D1-ELEVATOR,155.97,"343,276"
0490-R1,219 WEST 80 STREET,1-01228-7502,0.17,10024.0,27772,D5-ELEVATOR,265.17,"261,967"
0313-R1,320 ALBANY STREET,1-00016-7502, ,10280.0,139719,D8-ELEVATOR, , 
1185-R1,473 BROADWAY,1-00474-7504,0.29,10013.0,35452,D7-ELEVATOR,126.08,"131,484"
1770-R1,124 WEST 24 STREET,1-00799-7501, ,10011.0,23621,D9-ELEVATOR, , 
0154-R1,10 EAST 12 STREET,1-00569-7501,0.16,10003.0,66739,D9-ELEVATOR,112.46,"195,992"
0947-R1,112 LIBERTY STREET,1-00052-7501,0.56,10006.0,21069,D6-ELEVATOR,188.4,"165,637"
1551-R1,71 NASSAU STREET,1-00079-7503,0.41,10038.0,66575,D5-ELEVATOR,113.81,"326,119"
0086-R1,721 5 AVENUE,1-01292-7501, ,10022.0,499668,D6-ELEVATOR, , 
0351-R1,1991 BROADWAY,1-01139-7501,0.2,10023.0,68609,D8-ELEVATOR,243.93,"1,655,073"
1103-R1,468 GREENWICH STREET,1-00595-7502,0.36,10013.0,24850,D7-ELEVATOR,243.47,"194,875"
0266-R1,441 5 AVENUE,1-00869-7501, ,10016.0,134519,D6-ELEVATOR, , 
1912-R1,40 BROAD STREET,1-00024-7501,0.36,10004.0,231300,D6-ELEVATOR,165.01,"1,906,410"
1623-R1,30 WEST STREET,1-00016-7514,0.37,10004.0,431824,D8-ELEVATOR,222.71,"6,514,339"
0159-R1,386 COLUMBUS AVENUE,1-01150-7502, ,10024.0,47376,D9-ELEVATOR, , 
1230-R1,500 WEST END AVENUE,1-01232-7502, ,10024.0,141562,D6-ELEVATOR, , 
1354-R1,443 BROADWAY,1-00231-7501, ,10013.0,44653,C7-WALK-UP, , 
1658-R1,92 GREENE STREET,1-00499-7505,0.23,10012.0,42823,D7-ELEVATOR,243.47,"194,875"
1727-R1,220 WEST 93 STREET,1-01240-7502,0.05,10025.0,116997,D7-ELEVATOR,197.8,"814,704"
0244-R1,4 EAST 62 STREET,1-01376-7501, ,10065.0,33255,D9-ELEVATOR, , 
1638-R1,163 WEST 18 STREET,1-00794-7502,0.36,10011.0,45457,D1-ELEVATOR,208.68,"557,246"
0705-R1,99 EAST 4 STREET,1-00446-7502, ,10003.0,67764,D9-ELEVATOR, , 
0608-R1,9 BARROW STREET,1-00590-7502, ,10014.0,89510,D1-ELEVATOR, , 
0548-R1,211 EAST 3 STREET,1-00386-7501,0.05,10009.0,18990,C7-WALK-UP,191.29,"116,889"
1929-R1,143 LEXINGTON AVENUE,1-00885-7502,0,10016.0,23122,D7-ELEVATOR,211.91,"232,132"
0634-R1,53 WEST 76 STREET,1-01129-7501,0.05,10023.0,6641,C5-WALK-UP,178.3,"75,912"
1002-R1,48 BEAVER STREET,1-00029-7501, ,10004.0,65396,D5-ELEVATOR, , 
0084-R1,108 WEST 56 STREET,1-01008-7501,0,10019.0,96492,D7-ELEVATOR,206.65,"347,772"
-R1,15 CHARLES STREET,1-00612-7504, ,10014.0,92616,D6-ELEVATOR, , 
1117-R1,215 WEST 90 STREET,1-01238-7501, ,10024.0,166559,D6-ELEVATOR, , 
1523-R1,231 10 AVENUE,1-00695-7504, ,10011.0,49658,D7-ELEVATOR, , 
0495-R1,3 BEDFORD STREET,1-00528-7502,0.15,10014.0,15990,C7-WALK-UP,213.19,"361,155"
1809-R1,343 EAST 50 STREET,1-01343-7504,1.39,10022.0,35615,D9-ELEVATOR,197.8,"270,162"
0590-R1,2280 BROADWAY,1-01230-7501,0.15,10024.0,155319,D6-ELEVATOR,120.31,"994,911"
0859-R1,73 5 AVENUE,1-00843-7501,0.13,10003.0,46424,D5-ELEVATOR,184.85,"586,952"
0107-R1,8 WEST 65 STREET,1-01117-7501,1.49,10023.0,9335,D1-ELEVATOR,208.54,"66,398"
1613-R1,30 EAST 37 STREET,1-00866-7502, ,10016.0,87697,D7-ELEVATOR, , 
1329-R1,102 FULTON STREET,1-00078-7506, ,10038.0,22613,D7-ELEVATOR, , 
1111-R1,20 GREENE STREET,1-00230-7503, ,10013.0,30331,C7-WALK-UP, , 
1655-R1,16 WEST 48 STREET,1-01263-7501,0.72,10036.0,148385,D6-ELEVATOR,282.14,"2,322,392"
0386-R1,225 WEST 83 STREET,1-01231-7501, ,10024.0,369189,D8-ELEVATOR, , 
0079-R1,162 CHRISTOPHER STREET,1-00604-7501, ,10014.0,88227,D5-ELEVATOR, , 
2076-R1,462 WEST 58 STREET,1-01067-7503,0.23,10019.0,96337,D8-ELEVATOR,159.69,"1,200,410"
0714-R1,85 AVENUE A,1-00432-7501, ,10009.0,23605,D1-ELEVATOR, , 
1827-R1,120 WEST 72 STREET,1-01143-7505, ,10023.0,45900,D7-ELEVATOR, , 
0428-R1,250 WEST 89 STREET,1-01236-7501,0.21,10024.0,134054,D6-ELEVATOR,145.53,"1,407,605"
0407-R1,140 WEST END AVENUE,1-01158-7504, ,10023.0,640079,D6-ELEVATOR, , 
1432-R1,3 WOOSTER STREET,1-00228-7501, ,10013.0,25300,D9-ELEVATOR, , 
0839-R1,353 CENTRAL PARK WEST,1-01209-7501,0.3,10025.0,53656,D7-ELEVATOR,191.41,"802,569"
0436-R1,157 EAST 32 STREET,1-00888-7501, ,10016.0,71011,D9-ELEVATOR, , 
0678-R1,22 WEST 15 STREET,1-00816-7501, ,10011.0,136255,D6-ELEVATOR, , 
